cbg_id,store_id,rank,distance,geometry,Origin,Destination
3.50E+11,56,0,1707.1,"LINESTRING (-106.4896821 35.12330229999998, -106.4897676 35.1233047, -106.4897676 35.1233831, -106.4902114 35.1253334, -106.4910642 35.12587180000001, -106.4920216 35.1265687, -106.4921009 35.1270069, -106.4920876 35.1275818, -106.489895 35.1301658, -106.4899708 35.1302043, -106.4921103 35.1307147, -106.4921952 35.130712, -106.4922929 35.1307089, -106.4934723 35.13070540000001, -106.4953782 35.1306879, -106.4954007 35.1307247, -106.4954243 35.1307632, -106.4954555 35.1308143, -106.4960003 35.130786, -106.4961147 35.1307888, -106.4968441 35.1308174, -106.4970159 35.1314341, -106.4970991 35.1314297, -106.4972358 35.1314329, -106.4974317 35.1314375, -106.4975872 35.1314411)","(35.123302299999985, -106.4896821)","(35.1314411, -106.4975872)"
3.50E+11,45,1,3048.857,"LINESTRING (-106.4896821 35.12330229999998, -106.4897676 35.1233047, -106.4898712 35.1233064, -106.4907588 35.12332090000001, -106.4921267 35.1233406, -106.4930934 35.12335, -106.4943421 35.1233681, -106.494834 35.1233777, -106.4952569 35.1233834, -106.495349 35.1233846, -106.4961946 35.1234512, -106.497625 35.1234757, -106.497739 35.1234789, -106.497931 35.1234807, -106.498045 35.1234807, -106.4990498 35.1234805, -106.4990672 35.1233869, -106.4990707 35.1233317, -106.4991922 35.1233335, -106.4996116 35.123345, -106.5004799 35.1233385, -106.500537 35.1233397, -106.5005491 35.12296490000001, -106.5005561 35.1217225, -106.5005652 35.1209192, -106.5006406 35.120919, -106.5014065 35.1209276, -106.5015378 35.1209228, -106.5016389 35.120919, -106.5037161 35.1200321, -106.503745 35.1200233, -106.503772 35.1199778, -106.5038021 35.1199273, -106.5051492 35.1183743, -106.5052088 35.1183183, -106.5052575 35.11827249999999, -106.5066021 35.1164742, -106.5066266 35.1164161, -106.5082662 35.1164078, -106.5099039 35.1163898, -106.5127789 35.1163593, -106.5128346 35.1162367, -106.5128493 35.1162014, -106.5129237 35.1161999, -106.5133934 35.1161887, -106.5134752 35.1161848, -106.5137895 35.116176, -106.5138957 35.1161754, -106.5141185 35.1159153, -106.5141283 35.11590420000001, -106.5142697 35.1157227, -106.514278 35.1155786, -106.5142877 35.1154106, -106.5142828 35.1152493, -106.5142727 35.1150797, -106.5142626 35.1149094, -106.5144493 35.1147661, -106.5148806 35.1147552, -106.5149866 35.1147591, -106.5154915 35.1147774, -106.5155596 35.1147799)","(35.123302299999985, -106.4896821)","(35.1147799, -106.5155596)"
3.50E+11,56,0,1779.487,"LINESTRING (-106.4937465 35.1198714, -106.4937495 35.1199487, -106.4938357 35.1199543, -106.4973551 35.1200846, -106.4976183 35.1232983, -106.497621 35.1233684, -106.497625 35.1234757, -106.4976276 35.1235413, -106.4977958 35.13053089999999, -106.4977968 35.1305903, -106.4968767 35.1306074, -106.4968737 35.1307433, -106.4968441 35.1308174, -106.4970159 35.1314341, -106.4970991 35.1314297, -106.4972358 35.1314329, -106.4974317 35.1314375, -106.4975872 35.1314411)","(35.1198714, -106.4937465)","(35.1314411, -106.4975872)"
3.50E+11,45,1,2677.42,"LINESTRING (-106.4937465 35.1198714, -106.4937495 35.1199487, -106.4938357 35.1199543, -106.4973551 35.1200846, -106.4973804 35.115706, -106.497475 35.1157104, -106.497681 35.11572, -106.4977987 35.1157255, -106.4988564 35.1157912, -106.4988803 35.1157378, -106.499413 35.115776, -106.5002403 35.1158564, -106.5012643 35.1159483, -106.502381 35.1160444, -106.504086 35.1162035, -106.5041892 35.1160943, -106.5042078 35.1160329, -106.5050946 35.1161155, -106.5052857 35.1161415, -106.5064597 35.1162494, -106.5065545 35.1162522, -106.5066946 35.1162564, -106.5082324 35.1162427, -106.5082973 35.1162438, -106.5083883 35.1162435, -106.5088482 35.1162474, -106.5095891 35.1162389, -106.5098937 35.1162354, -106.5107417 35.1162257, -106.5127735 35.1162025, -106.5128493 35.1162014, -106.5129237 35.1161999, -106.5133934 35.1161887, -106.5134752 35.1161848, -106.5137895 35.116176, -106.5138957 35.1161754, -106.5141185 35.1159153, -106.5141283 35.11590420000001, -106.5142697 35.1157227, -106.514278 35.1155786, -106.5142877 35.1154106, -106.5142828 35.1152493, -106.5142727 35.1150797, -106.5142626 35.1149094, -106.5144493 35.1147661, -106.5148806 35.1147552, -106.5149866 35.1147591, -106.5154915 35.1147774, -106.5155596 35.1147799)","(35.1198714, -106.4937465)","(35.1147799, -106.5155596)"
3.50E+11,56,0,1585.453,"LINESTRING (-106.5036602 35.1266362, -106.5036812 35.124957, -106.5036062 35.1249568, -106.5026134 35.1254112, -106.5025551 35.1254506, -106.5025064 35.12548360000001, -106.5016552 35.1260857, -106.5016001 35.126124, -106.5015428 35.1261638, -106.501465 35.1278051, -106.5015382 35.1278593, -106.501477 35.127915, -106.5013364 35.1292366, -106.500943 35.12924249999999, -106.5004787 35.129303, -106.5003564 35.1293455, -106.5002637 35.1293782, -106.5002791 35.1297096, -106.5002874 35.1298631, -106.5002914 35.1300912, -106.5002802 35.130518, -106.5002788 35.1306032, -106.5002391 35.1307413, -106.5002055 35.1308079, -106.4996206 35.1308012, -106.4989815 35.1308104, -106.4988805 35.1308175, -106.4986743 35.1308033, -106.4982391 35.1308106, -106.498105 35.1308176, -106.4979231 35.1308272, -106.4978005 35.1308336, -106.4969135 35.1308173, -106.4968441 35.1308174, -106.4970159 35.1314341, -106.4970991 35.1314297, -106.4972358 35.1314329, -106.4974317 35.1314375, -106.4975872 35.1314411)","(35.1266362, -106.50366020000001)","(35.1314411, -106.4975872)"
3.50E+11,57,1,1878.821,"LINESTRING (-106.5036602 35.1266362, -106.5036812 35.124957, -106.5037435 35.1249572, -106.5045149 35.1249502, -106.5045913 35.1249501, -106.504597 35.1255562, -106.5046125 35.127432, -106.504613 35.127503, -106.5051085 35.1275168, -106.5051064 35.1275868, -106.5052561 35.1275859, -106.5059533 35.1275909, -106.5059554 35.1284803, -106.5059572 35.1285491, -106.5060367 35.1285498, -106.5060359 35.1286345, -106.5060351 35.1292395, -106.5060351 35.1293254, -106.5060348 35.12940230000001, -106.5060332 35.13003650000001, -106.5060334 35.1301165, -106.5060329 35.1301766, -106.5060322 35.1305348, -106.5060324 35.1306088, -106.5060321 35.1307425, -106.5079297 35.1307485, -106.5084301 35.1307483, -106.5084308 35.1308, -106.5090896 35.1308003, -106.5102967 35.1307986, -106.5124499 35.1308134, -106.5125505 35.1308134, -106.5126557 35.1308134, -106.5130945 35.1308528, -106.5131828 35.1308485, -106.5131827 35.1309365, -106.5132783 35.1309369, -106.5134956 35.1309377, -106.5135869 35.130938, -106.5136294 35.1309382, -106.5136809 35.1309384, -106.5137691 35.1309388, -106.5139482 35.1309394, -106.5141584 35.1309403, -106.5143595 35.1309411, -106.5143567 35.1313428, -106.5145526 35.1313432)","(35.1266362, -106.50366020000001)","(35.1313432, -106.5145526)"
3.50E+11,57,0,990.351,"LINESTRING (-106.5089199 35.127618, -106.50981 35.127102, -106.510771 35.127371, -106.5112807 35.1274295, -106.5112842 35.1280298, -106.5114317 35.1280297, -106.5117294 35.128145, -106.5119463 35.1283101, -106.5120043 35.1283098, -106.5123247 35.128713, -106.5123264 35.129388, -106.5122998 35.1293881, -106.512307 35.13014689999999, -106.5124775 35.130147, -106.5126496 35.1301469, -106.5126514 35.13025119999999, -106.5126896 35.1305387, -106.51268 35.1306164, -106.5126643 35.1307439, -106.5126557 35.1308134, -106.5130945 35.1308528, -106.5131828 35.1308485, -106.5131827 35.1309365, -106.5132783 35.1309369, -106.5134956 35.1309377, -106.5135869 35.130938, -106.5136294 35.1309382, -106.5136809 35.1309384, -106.5137691 35.1309388, -106.5139482 35.1309394, -106.5141584 35.1309403, -106.5143595 35.1309411, -106.5143567 35.1313428, -106.5145526 35.1313432)","(35.127618, -106.5089199)","(35.1313432, -106.5145526)"
3.50E+11,52,1,1135.82,"LINESTRING (-106.5089199 35.127618, -106.50981 35.127102, -106.510771 35.127371, -106.5112807 35.1274295, -106.5112842 35.1280298, -106.5114317 35.1280297, -106.5117294 35.128145, -106.5119463 35.1283101, -106.5120043 35.1283098, -106.5123247 35.128713, -106.5123264 35.129388, -106.5122998 35.1293881, -106.512307 35.13014689999999, -106.5124775 35.130147, -106.5126496 35.1301469, -106.5126514 35.13025119999999, -106.5126896 35.1305387, -106.5140293 35.1305476, -106.5144843 35.1305466, -106.5147295 35.1305461, -106.5155365 35.1305404, -106.5156267 35.1305395, -106.5157865 35.1305378, -106.5158756 35.1305368, -106.5161858 35.1305424, -106.5170419 35.1305321, -106.5170341 35.1306043)","(35.127618, -106.5089199)","(35.1306043, -106.5170341)"
3.50E+11,52,0,481.042,"LINESTRING (-106.5197275 35.1279487, -106.5197274 35.1280162, -106.5196669 35.1280317, -106.5196621 35.1283141, -106.5191979 35.1294469, -106.5186495 35.13014939999999, -106.518655 35.1305349, -106.5186563 35.1305958, -106.5172545 35.1306034, -106.5171709 35.1306037, -106.5170341 35.1306043)","(35.1279487, -106.5197275)","(35.1306043, -106.5170341)"
3.50E+11,57,1,790.19,"LINESTRING (-106.5197275 35.1279487, -106.5197274 35.1280162, -106.5196669 35.1280317, -106.5196621 35.1283141, -106.5191979 35.1294469, -106.5186495 35.13014939999999, -106.518655 35.1305349, -106.5186563 35.1305958, -106.5172545 35.1306034, -106.5171709 35.1306037, -106.5170341 35.1306043, -106.5161856 35.1306078, -106.5158843 35.1306083, -106.5157867 35.1306084, -106.5156279 35.1306117, -106.5156248 35.1307366, -106.5156223 35.13082640000001, -106.5155272 35.1308283, -106.5147991 35.1308021, -106.5147979 35.1309428, -106.5146748 35.1309424, -106.5145607 35.1309419, -106.5145526 35.1313432)","(35.1279487, -106.5197275)","(35.1313432, -106.5145526)"
