cbg_id,store_id,rank,distance,geometry,Origin,Destination
60590761021,4,0,3626.396,"LINESTRING (-117.895953 33.7922217, -117.8959117 33.7921914, -117.8960198 33.7921148, -117.8971899 33.79179219999999, -117.8971789 33.7913485, -117.8975133 33.7913099, -117.8975728 33.791309, -117.8975841 33.79178610000001, -117.8976062 33.7925094, -117.8976092 33.79264770000001, -117.8976705 33.7938447, -117.8976984 33.7950265, -117.8977002 33.7950955, -117.8977097 33.7953731, -117.897719 33.79563589999999, -117.8977377 33.7960109, -117.8978516 33.7960171, -117.8978765 33.7961101, -117.8978749 33.7962551, -117.8976183 33.7962554, -117.8970716 33.7972321, -117.8980653 33.7981763, -117.898349 33.7984498, -117.8989214 33.7990019, -117.8993495 33.799403, -117.8994159 33.7994703, -117.8995543 33.7995655, -117.9004095 33.8004275, -117.900861 33.80086380000002, -117.9008955 33.8008972, -117.9018901 33.8017884, -117.9034636 33.8019155, -117.9035571 33.8019214, -117.9036292 33.8019271, -117.9043236 33.8031305, -117.9043038 33.8031483, -117.9043103 33.8032594, -117.9043199 33.8034243, -117.904328 33.8035636, -117.9043452 33.803573, -117.9046861 33.80404020000001, -117.9047199 33.8040777, -117.905278 33.8046981, -117.9061465 33.8054089, -117.9062903 33.8055073, -117.9062616 33.8056991, -117.9062352 33.8058942, -117.9060292 33.807234, -117.9060063 33.8073566, -117.9059633 33.8076608, -117.9059446 33.8078116, -117.905912 33.8083344, -117.9059159 33.8088626, -117.9059174 33.8090576, -117.905985 33.81047920000001, -117.9060636 33.8106162, -117.9060819 33.8107278, -117.906131 33.8110267, -117.906143 33.8110994, -117.9061585 33.8111971, -117.9062017 33.81147, -117.9062233 33.8116063, -117.9062413 33.8117181, -117.9062567 33.8118232, -117.9062869 33.8120291, -117.9063279 33.8123187, -117.9063672 33.8125952, -117.9064059 33.81285539999999, -117.906514 33.81358259999999, -117.906534 33.8136865, -117.9065487 33.8137633, -117.9066269 33.8140511, -117.9066476 33.814112, -117.9067648 33.8144714, -117.9067932 33.8145513, -117.9068046 33.8145833, -117.9068439 33.8146946, -117.9069206 33.8149172, -117.9070915 33.81536950000001, -117.9072598 33.8158072, -117.9074365 33.8162821, -117.9076093 33.8162817, -117.9078897 33.8170313)","(33.7922217, -117.895953)","(33.8170313, -117.9078897)"
60590761021,9,1,3907.894,"LINESTRING (-117.895953 33.7922217, -117.8959117 33.7921914, -117.8960198 33.7921148, -117.8971899 33.79179219999999, -117.8971789 33.7913485, -117.8975133 33.7913099, -117.8975728 33.791309, -117.8975841 33.79178610000001, -117.8976062 33.7925094, -117.8976092 33.79264770000001, -117.8976705 33.7938447, -117.8976984 33.7950265, -117.8977002 33.7950955, -117.8977097 33.7953731, -117.897719 33.79563589999999, -117.8977377 33.7960109, -117.8978516 33.7960171, -117.8978765 33.7961101, -117.8978749 33.7962551, -117.8976183 33.7962554, -117.8970716 33.7972321, -117.8980653 33.7981763, -117.898349 33.7984498, -117.8989214 33.7990019, -117.8993495 33.799403, -117.8994159 33.7994703, -117.8995543 33.7995655, -117.9004095 33.8004275, -117.900861 33.80086380000002, -117.9008955 33.8008972, -117.9018901 33.8017884, -117.9034636 33.8019155, -117.9035571 33.8019214, -117.9036292 33.8019271, -117.9043236 33.8031305, -117.9043038 33.8031483, -117.9043103 33.8032594, -117.9043199 33.8034243, -117.904328 33.8035636, -117.9043452 33.803573, -117.9046861 33.80404020000001, -117.9047199 33.8040777, -117.905278 33.8046981, -117.9061465 33.8054089, -117.9062903 33.8055073, -117.9062616 33.8056991, -117.9062352 33.8058942, -117.9060292 33.807234, -117.9060063 33.8073566, -117.9059633 33.8076608, -117.9059446 33.8078116, -117.905912 33.8083344, -117.9059159 33.8088626, -117.9059174 33.8090576, -117.905985 33.81047920000001, -117.9060636 33.8106162, -117.9060819 33.8107278, -117.906131 33.8110267, -117.906143 33.8110994, -117.9061585 33.8111971, -117.9062017 33.81147, -117.9062233 33.8116063, -117.9062413 33.8117181, -117.9062567 33.8118232, -117.9062869 33.8120291, -117.9063279 33.8123187, -117.9063672 33.8125952, -117.9064059 33.81285539999999, -117.906514 33.81358259999999, -117.906534 33.8136865, -117.9065487 33.8137633, -117.9066269 33.8140511, -117.9066476 33.814112, -117.9067648 33.8144714, -117.9067932 33.8145513, -117.9068046 33.8145833, -117.9068439 33.8146946, -117.9069206 33.8149172, -117.9070915 33.81536950000001, -117.9072598 33.8158072, -117.9074365 33.8162821, -117.907857 33.8174414, -117.9078644 33.8174619, -117.908029 33.81791509999999, -117.9080666 33.8180185, -117.9081223 33.8181713, -117.9081622 33.8182822, -117.9082693 33.8185801, -117.9083128 33.8187002, -117.9081324 33.8187408, -117.9079876 33.8187734, -117.9080463 33.8189438, -117.9078473 33.8191653, -117.9078762 33.8192505)","(33.7922217, -117.895953)","(33.8192505, -117.90787620000002)"
60590883011,0,0,567.619,"LINESTRING (-117.9413209 33.799911, -117.9414613 33.7999116, -117.9414469 33.7989949, -117.9414402 33.7985625, -117.941438 33.79842329999999, -117.9414271 33.7977247, -117.9414102 33.796645, -117.941399 33.7959299, -117.9412586 33.7959283, -117.9409765 33.7959296, -117.9412512 33.7954565)","(33.799911, -117.9413209)","(33.7954565, -117.9412512)"
60590883011,1,1,684.511,"LINESTRING (-117.9413209 33.799911, -117.9413297 33.80047820000001, -117.941331 33.8005566, -117.9413328 33.8010188, -117.9413315 33.8014043, -117.9413145 33.8021745, -117.9411201 33.8021758, -117.9409273 33.802177, -117.9407312 33.8021782, -117.9405364 33.8021794, -117.9403343 33.8021806, -117.9401382 33.8021818, -117.9399426 33.802183, -117.9397212 33.8021844, -117.9395167 33.8021856, -117.9393098 33.8021869, -117.9391118 33.8021881, -117.9389179 33.8021893, -117.9387193 33.8021905, -117.9385202 33.80219180000001, -117.9383336 33.8021929, -117.9381192 33.8021942, -117.9381181 33.8025701, -117.9381234 33.802923, -117.9379382 33.8029249, -117.9377285 33.8029271, -117.9375119 33.8029294)","(33.799911, -117.9413209)","(33.8029294, -117.9375119)"
60590883012,0,0,222.951,"LINESTRING (-117.940891 33.7940568, -117.940699 33.79411420000001, -117.9407046 33.79461770000001, -117.941238 33.7946175, -117.9412512 33.7954565)","(33.7940568, -117.940891)","(33.7954565, -117.9412512)"
60590883012,1,1,1402.822,"LINESTRING (-117.940891 33.7940568, -117.940699 33.79411420000001, -117.9407046 33.79461770000001, -117.941238 33.7946175, -117.9412512 33.7954565, -117.9412586 33.7959283, -117.9412658 33.7963944, -117.9412698 33.7966488, -117.9412746 33.7969562, -117.9412867 33.7977275, -117.9412977 33.7984289, -117.9412998 33.7985654, -117.9413066 33.7989964, -117.9413209 33.799911, -117.9413297 33.80047820000001, -117.941331 33.8005566, -117.9413328 33.8010188, -117.9413315 33.8014043, -117.9413145 33.8021745, -117.9411201 33.8021758, -117.9409273 33.802177, -117.9407312 33.8021782, -117.9405364 33.8021794, -117.9403343 33.8021806, -117.9401382 33.8021818, -117.9399426 33.802183, -117.9397212 33.8021844, -117.9395167 33.8021856, -117.9393098 33.8021869, -117.9391118 33.8021881, -117.9389179 33.8021893, -117.9387193 33.8021905, -117.9385202 33.80219180000001, -117.9383336 33.8021929, -117.9381192 33.8021942, -117.9381181 33.8025701, -117.9381234 33.802923, -117.9379382 33.8029249, -117.9377285 33.8029271, -117.9375119 33.8029294)","(33.7940568, -117.940891)","(33.8029294, -117.9375119)"
60590884031,0,0,3299.42,"LINESTRING (-117.9110957 33.7926135, -117.9107914 33.7926154, -117.9107858 33.792407, -117.9112899 33.7924079, -117.9113109 33.7924079, -117.9117145 33.7924072, -117.9120608 33.7924056, -117.9120615 33.7925672, -117.912005 33.792704, -117.9120061 33.7927377, -117.9120625 33.792839, -117.9120648 33.7929814, -117.9135894 33.7929779, -117.914336 33.7929928, -117.9150015 33.7929931, -117.9153602 33.7929943, -117.9155886 33.7929951, -117.9157478 33.79299489999999, -117.9161118 33.7930102, -117.9162899 33.794159, -117.9167491 33.7942509, -117.9167529 33.7942925, -117.9167659 33.79466149999999, -117.9167666 33.7946785, -117.9167819 33.7950496, -117.9167831 33.7950792, -117.9167976 33.7954309, -117.9167994 33.7954743, -117.9168062 33.7956414, -117.9168096 33.7957228, -117.9168162 33.795885, -117.9168209 33.7959985, -117.9168251 33.7961004, -117.9190677 33.7960911, -117.92053 33.7960841, -117.9206099 33.7960837, -117.9208393 33.7960818, -117.9237388 33.7960578, -117.9238762 33.7960582, -117.924053 33.7960555, -117.9248767 33.7960481, -117.9258385 33.7960432, -117.926789 33.7960356, -117.927758 33.7960232, -117.9282624 33.7960111, -117.9287151 33.79600030000001, -117.929665 33.7959952, -117.9306103 33.795988, -117.9315442 33.795985, -117.9320729 33.7959862, -117.9324736 33.7959814, -117.932598 33.7959799, -117.9327703 33.7959787, -117.9339323 33.795972, -117.934729 33.7959636, -117.9364256 33.7959582, -117.9369361 33.7959557, -117.937464 33.7959528, -117.9385688 33.7959424, -117.9386987 33.7959421, -117.9391603 33.7959428, -117.9396591 33.7959408, -117.9401898 33.7959379, -117.9405329 33.7959327, -117.9409765 33.7959296, -117.9412512 33.7954565)","(33.7926135, -117.9110957)","(33.7954565, -117.9412512)"
60590884031,4,1,3432.41,"LINESTRING (-117.9110957 33.7926135, -117.9107914 33.7926154, -117.9107858 33.792407, -117.9112899 33.7924079, -117.9113109 33.7924079, -117.9117145 33.7924072, -117.9120608 33.7924056, -117.9120615 33.7925672, -117.912005 33.792704, -117.9120061 33.7927377, -117.9120625 33.792839, -117.9120648 33.7929814, -117.9111064 33.79337619999998, -117.9102972 33.793538, -117.910301 33.7936051, -117.910302 33.7942748, -117.9102314 33.7942879, -117.9102337 33.79437179999999, -117.9102539 33.795128, -117.9102557 33.7951962, -117.9102572 33.7952647, -117.9102653 33.79563490000001, -117.9102763 33.7960116, -117.9102794 33.79611709999999, -117.9101592 33.7961093, -117.9095183 33.79611340000001, -117.9092108 33.7961154, -117.9092099 33.7962392, -117.9086361 33.7962416, -117.9085515 33.7962419, -117.9065732 33.796259, -117.9065661 33.7963777, -117.9065837 33.7970015, -117.9065943 33.7973792, -117.9066091 33.7979031, -117.906614 33.7980765, -117.9066163 33.7981604, -117.9066277 33.798564, -117.9066299 33.7986447, -117.9066409 33.7990355, -117.906644 33.7991429, -117.9066557 33.7995609, -117.9066585 33.79965880000001, -117.9066638 33.799849, -117.9066701 33.8000699, -117.9066714 33.8001165, -117.9066766 33.8003013, -117.9066839 33.8005618, -117.9066975 33.8010447, -117.9066941 33.8011014, -117.9067581 33.80166029999999, -117.906815 33.8027265, -117.9068345 33.8028216, -117.906873 33.8031293, -117.9068504 33.8031502, -117.9068729 33.8032623, -117.9068758 33.8034234, -117.9068602 33.8035297, -117.9068858 33.8035493, -117.9068468 33.8037126, -117.9068456 33.8037359, -117.9068401 33.8039233, -117.9067293 33.8048443, -117.9067095 33.8049957, -117.9067034 33.8050431, -117.9066506 33.8056888, -117.9066199 33.8057047, -117.9066024 33.80584120000002, -117.9065819 33.8060009, -117.9065886 33.80612940000001, -117.9063881 33.8075109, -117.9063562 33.8076214, -117.9064085 33.807773, -117.906189 33.8089792, -117.906189 33.8090273, -117.9062791 33.8105145, -117.9062709 33.8105241, -117.9062737 33.81058980000001, -117.9062752 33.8106234, -117.9062783 33.8106977, -117.9063055 33.8110112, -117.9063306 33.811186, -117.9063706 33.8114653, -117.9063886 33.8115909, -117.9064198 33.8118089, -117.9064834 33.8120186, -117.9064974 33.81211, -117.9065716 33.8125077, -117.9065559 33.8125944, -117.9065782 33.8126795, -117.9066965 33.8136581, -117.9067131 33.8137392, -117.9067997 33.8140803, -117.9069182 33.8144343, -117.9069523 33.8145237, -117.9070787 33.8148066, -117.9070964 33.8148857, -117.907141 33.8149596, -117.9072226 33.8152475, -117.9072494 33.8153192, -117.9075766 33.8161941, -117.9076093 33.8162817, -117.9078897 33.8170313)","(33.7926135, -117.9110957)","(33.8170313, -117.9078897)"
60590762021,41,0,4620.342,"LINESTRING (-117.8332505 33.8454183, -117.8338062 33.84528920000001, -117.8342474 33.8462984, -117.8345633 33.846677, -117.8345331 33.8468764, -117.834294 33.8470793, -117.8281551 33.8484113, -117.8259734 33.8493766, -117.8241713 33.85007190000001, -117.8227648 33.85084950000001, -117.8219586 33.8511856, -117.8214276 33.8512978, -117.8208585 33.8513718, -117.8193876 33.8515705, -117.8186021 33.85171959999999, -117.817991 33.8518636, -117.8178373 33.85190689999999, -117.8172777 33.8521285, -117.8166917 33.8524565, -117.8165215 33.85253580000001, -117.8158347 33.8527673, -117.8156307 33.852445, -117.8155301 33.8522824, -117.8153622 33.85199910000001, -117.815301 33.8519279, -117.8139851 33.8503076, -117.8135638 33.849798, -117.8134835 33.8496924, -117.8133696 33.8497406, -117.8100702 33.8502004, -117.802065 33.8511172, -117.8019098 33.8511257, -117.7956152 33.8513639, -117.793319 33.8513618, -117.79335 33.85064750000002, -117.7932373 33.8506432, -117.793057 33.8506732, -117.7928783 33.8506685, -117.7926715 33.8506584, -117.7924785 33.8506495, -117.7924434 33.8510651)","(33.8454183, -117.83325050000002)","(33.8510651, -117.79244340000001)"
60590762021,45,1,4792.332,"LINESTRING (-117.8332505 33.8454183, -117.8338062 33.84528920000001, -117.8342474 33.8462984, -117.8345633 33.846677, -117.8345331 33.8468764, -117.8345704 33.8468876, -117.8346695 33.8470179, -117.8347644 33.8471067, -117.8351788 33.84740609999999, -117.8353963 33.8475403, -117.8351097 33.8477104, -117.8326836 33.848396, -117.8175279 33.8545004, -117.817438 33.8545483, -117.8167924 33.8547021, -117.8180609 33.8573916, -117.8184229 33.8593456, -117.8176257 33.8593514, -117.8171299 33.859355, -117.816803 33.8593574, -117.8166018 33.8593589, -117.8161992 33.8593618, -117.8160135 33.8594402, -117.8158499 33.8594409, -117.8155173 33.8594425, -117.8152526 33.8594437, -117.8147032 33.8594462, -117.8146246 33.8594465, -117.8141781 33.8594486, -117.8135488 33.8594515, -117.8131693 33.8594532, -117.8128759 33.8594545, -117.8121114 33.8594578, -117.8116551 33.8594598, -117.8114205 33.8594606, -117.8106286 33.8594639, -117.8105495 33.8594642, -117.8103744 33.859465, -117.8099898 33.8594666, -117.8098559 33.85946719999998, -117.8096876 33.8594679, -117.8095267 33.8594685, -117.8093842 33.8594691, -117.8087728 33.8594717, -117.8086605 33.8594722, -117.808251 33.85947389999998, -117.8078475 33.8594756, -117.8077409 33.8594761, -117.8071225 33.8594192, -117.8066572 33.85941840000001, -117.8066578 33.8595471, -117.8066542 33.8606797, -117.8066447 33.86164180000002, -117.8066435 33.861768, -117.8066397 33.8621562, -117.8066338 33.8627536, -117.8066297 33.8631668, -117.8066282 33.86350130000001, -117.8065976 33.8637254, -117.8065499 33.86389, -117.8063879 33.8642122, -117.8062952 33.8643506, -117.8060955 33.8648849, -117.8059218 33.8649857, -117.8056888 33.8649461, -117.8056643 33.8650644, -117.805651 33.86516670000001, -117.8053082 33.8651446, -117.8052886 33.8653518, -117.804844 33.8653334, -117.8047006 33.8653282, -117.8046794 33.865513, -117.8046552 33.865725, -117.8043928 33.8657137, -117.8043816 33.8659056)","(33.8454183, -117.83325050000002)","(33.8659056, -117.80438160000001)"
