cbg_id,store_id,rank,distance,geometry,Origin,Destination
20200008013,33,0,1834.437,"LINESTRING (-149.7811967 61.2228132, -149.7826318 61.2228129, -149.7826158 61.2223676, -149.7791998 61.2223828, -149.7790237 61.2223822, -149.7787773 61.2223851, -149.7786239 61.2223859, -149.7785207 61.2217096, -149.7785203 61.2216452, -149.7785213 61.2214167, -149.7785232 61.2211036, -149.7785266 61.2205325, -149.7785145 61.2203482, -149.7784984 61.2195739, -149.7784962 61.2192556, -149.7784882 61.2187811, -149.778486 61.2186571, -149.778484 61.2185687, -149.7784426 61.2169045, -149.7784351 61.21548830000001, -149.7784338 61.2150444, -149.7782525 61.2150446, -149.7782461 61.21316940000001, -149.778243 61.21309689999999, -149.7782487 61.2116768, -149.7782547 61.2105019, -149.7778664 61.21049470000001, -149.7768261 61.2101548, -149.7768186 61.2099424, -149.7765047 61.20984820000002, -149.7764941 61.20978030000001)","(61.2228132, -149.78119669999998)","(61.20978030000001, -149.77649409999998)"
20200008013,37,1,2070.129,"LINESTRING (-149.7811967 61.2228132, -149.7826318 61.2228129, -149.7826158 61.2223676, -149.7861001999999 61.2223516, -149.7860833 61.221514, -149.7869884 61.2215173, -149.7879035 61.2215206, -149.788807 61.221518, -149.789729 61.22151529999999, -149.7897207 61.2205813, -149.7906374 61.22060580000002, -149.7929491 61.22059860000001, -149.7930733 61.2206023, -149.7931215 61.2205336, -149.7942171 61.2205345, -149.795585 61.2205357, -149.7962797 61.2205363, -149.7967711 61.2205367, -149.7969315 61.2205357, -149.7971526 61.2205344, -149.7981443 61.2205363, -149.7982744 61.2205365, -149.7990104 61.2205409, -149.7997489 61.2205274, -149.7999584 61.2205282, -149.8008904 61.2205319, -149.8018372 61.2205288, -149.8027689 61.22052579999998, -149.8037161 61.22053270000001, -149.8046033 61.22052750000001, -149.8054256 61.22052219999998, -149.8055785 61.2205212, -149.8063635 61.2205162, -149.8065475999999 61.2205179, -149.8073488 61.2205151, -149.8074595 61.2205045, -149.8075896 61.2204929, -149.8080385999999 61.2204388, -149.8080251 61.2206808, -149.8079659 61.220735, -149.80799 61.2207821, -149.808027 61.2222212, -149.808067 61.2223398, -149.8080968 61.22243550000001, -149.8082562 61.223161, -149.8082877 61.223161, -149.8083178 61.2236988)","(61.2228132, -149.78119669999998)","(61.2236988, -149.80831779999997)"
20200008014,33,0,1035.518,"LINESTRING (-149.7859486 61.2147887, -149.7830031 61.21403710000001, -149.7810233 61.2137592, -149.7800611999999 61.2137651, -149.7791556 61.21398230000001, -149.7786917 61.2139739, -149.7786976 61.2098646, -149.778569 61.2098686, -149.7783278 61.209876, -149.7782363 61.2098788, -149.778184 61.2098517, -149.7773916 61.2098481, -149.7765047 61.20984820000002, -149.7764941 61.20978030000001)","(61.2147887, -149.78594859999998)","(61.20978030000001, -149.77649409999998)"
20200008014,34,1,1499.594,"LINESTRING (-149.7859486 61.2147887, -149.790472 61.214253, -149.7925509 61.2121354, -149.7932542 61.21214530000001, -149.7934155 61.2121476, -149.7934106 61.2102377, -149.79341 61.2098464, -149.7936429 61.2098478, -149.7937126 61.2098291, -149.79731 61.209832, -149.7974619 61.2098306, -149.8000185 61.2098375, -149.8000224 61.209764, -149.800234 61.2097647, -149.8004555 61.2097643, -149.802305 61.2097605, -149.8026013 61.2097599, -149.8043456 61.209654)","(61.2147887, -149.78594859999998)","(61.209654, -149.80434559999998)"
20200008015,34,0,1253.763,"LINESTRING (-149.7967494 61.2159236, -149.7967628 61.2149703, -149.7967467 61.2141334, -149.796746 61.2133698, -149.7967462 61.2132984, -149.7952444 61.2132925, -149.7952358 61.2124752, -149.7952509 61.2116281, -149.7952666 61.2107865, -149.7952761 61.2102859, -149.795733 61.2102825, -149.7959640999999 61.2102837, -149.7965615 61.2102868, -149.7973108 61.210281, -149.79731 61.209832, -149.7974619 61.2098306, -149.8000185 61.2098375, -149.8000224 61.209764, -149.800234 61.2097647, -149.8004555 61.2097643, -149.802305 61.2097605, -149.8026013 61.2097599, -149.8043456 61.209654)","(61.2159236, -149.79674939999998)","(61.209654, -149.80434559999998)"
20200008015,37,1,1472.261,"LINESTRING (-149.7967494 61.2159236, -149.7967652 61.2169058, -149.8005470999999 61.21690789999999, -149.8005471 61.2169717, -149.8005964 61.2173359, -149.8006884 61.2173351, -149.8006916 61.2177547, -149.804649 61.2177965, -149.8056045 61.217798, -149.8057886 61.2182459, -149.8063563 61.2182468, -149.8063529 61.21876050000002, -149.8073603 61.2187591, -149.8073618 61.2188236, -149.8073663 61.2189696, -149.8073762 61.2193141, -149.8081901 61.2193178, -149.8081782 61.2194242, -149.8080385999999 61.2204388, -149.8080251 61.2206808, -149.8079659 61.220735, -149.80799 61.2207821, -149.808027 61.2222212, -149.808067 61.2223398, -149.8080968 61.22243550000001, -149.8082562 61.223161, -149.8082877 61.223161, -149.8083178 61.2236988)","(61.2159236, -149.79674939999998)","(61.2236988, -149.80831779999997)"
20200008016,37,0,1004.367,"LINESTRING (-149.8045392 61.216431, -149.8046563 61.2164311, -149.8046443 61.2169096, -149.804646 61.21722929999999, -149.8046467 61.2173565, -149.804649 61.2177965, -149.8056045 61.217798, -149.8057886 61.2182459, -149.8063563 61.2182468, -149.8063529 61.21876050000002, -149.8073603 61.2187591, -149.8073618 61.2188236, -149.8073663 61.2189696, -149.8073762 61.2193141, -149.8081901 61.2193178, -149.8081782 61.2194242, -149.8080385999999 61.2204388, -149.8080251 61.2206808, -149.8079659 61.220735, -149.80799 61.2207821, -149.808027 61.2222212, -149.808067 61.2223398, -149.8080968 61.22243550000001, -149.8082562 61.223161, -149.8082877 61.223161, -149.8083178 61.2236988)","(61.216431, -149.8045392)","(61.2236988, -149.80831779999997)"
20200008016,34,1,1110.667,"LINESTRING (-149.8045392 61.216431, -149.8046563 61.2164311, -149.8046689 61.21592860000001, -149.8046772 61.2155942, -149.8046753 61.2154385, -149.8046735 61.2152894, -149.8046694 61.21494690000002, -149.8046705 61.21445640000001, -149.8046709 61.2143007, -149.8046716 61.2139697, -149.8046714 61.2139601, -149.8046608 61.21329690000001, -149.8070236 61.2129693, -149.8070673 61.2126693, -149.8081218 61.2126695, -149.8081007 61.21163690000002, -149.8081173 61.21092760000001, -149.8081237 61.2107361, -149.8080718 61.2098827, -149.8080679 61.2097833, -149.8080645 61.2096756, -149.8064071 61.20965469999999, -149.8058505 61.2096503, -149.8043456 61.209654)","(61.216431, -149.8045392)","(61.209654, -149.80434559999998)"
21700006011,45,0,9297.001,"LINESTRING (-149.360396 61.4628221, -149.361059 61.46077720000001, -149.3611591 61.4604863, -149.3616969 61.4589251, -149.3619159 61.4583615, -149.3625249 61.4577124, -149.3678242 61.4545197, -149.3893550999999 61.4428933, -149.396851 61.4377025, -149.4095099 61.4319479, -149.422698 61.4242629, -149.4278918 61.4181143, -149.436033 61.4113163, -149.4491092 61.4082856, -149.461398 61.4042824, -149.4665553 61.4028514, -149.4677554 61.4025587, -149.4678911 61.40250870000001, -149.4683733 61.40326310000001, -149.4687802 61.4040069, -149.468814 61.4040687)","(61.4628221, -149.360396)","(61.4040687, -149.468814)"
21700006011,44,1,17961.366,"LINESTRING (-149.360396 61.4628221, -149.361059 61.46077720000001, -149.3611591 61.4604863, -149.3616969 61.4589251, -149.3619159 61.4583615, -149.3625249 61.4577124, -149.3678242 61.4545197, -149.3893550999999 61.4428933, -149.396851 61.4377025, -149.4095099 61.4319479, -149.422698 61.4242629, -149.4278918 61.4181143, -149.436033 61.4113163, -149.4427481 61.4100911, -149.4418527 61.4091765, -149.4415261 61.4087916, -149.449022 61.407715, -149.4554618 61.40540770000001, -149.4567358 61.4042841, -149.4610128 61.4005809, -149.461138 61.4004766, -149.4618028 61.39987690000001, -149.4625743 61.3981753, -149.46258 61.3980189, -149.4625871 61.39783820000001, -149.4624348 61.3963404, -149.4636812 61.39458, -149.4662088 61.3927159, -149.4708039 61.3906571, -149.4722196 61.3904505, -149.4776984 61.3895056, -149.4778959 61.3894514, -149.4804393 61.38867109999998, -149.4822368 61.3880656, -149.4830687 61.3877862, -149.4864335 61.3866455, -149.4973109 61.381416, -149.5040837999999 61.3750361, -149.5095675 61.3695848, -149.5107753 61.3684519, -149.5108274 61.3684094, -149.5136766 61.366227, -149.5143783 61.3655831, -149.5163416 61.3636845, -149.5186136 61.3614246, -149.5189889 61.36109880000001, -149.5194181 61.3608016, -149.5230694 61.3591997, -149.5237309 61.35883, -149.524265 61.358521, -149.5260514 61.35748690000001, -149.5290168 61.356171, -149.534986 61.35460960000002, -149.5388298 61.3533822, -149.5391962 61.3532584, -149.5409286 61.3526683, -149.544265 61.3508748, -149.5498443 61.34740209999999, -149.5521991 61.3459117, -149.5523628 61.3458091, -149.5530369 61.3453868, -149.554707 61.3443647, -149.5545553999999 61.3427978, -149.5550638999999 61.3427978, -149.5554462 61.3427979, -149.5558142 61.3427979, -149.5560225 61.3427979, -149.5562283 61.34279789999999, -149.5566085 61.34225510000001, -149.5574108 61.34205390000001, -149.5577012 61.3418744, -149.5578377 61.3417905, -149.5580286 61.3416723, -149.5582526 61.34147910000002)","(61.4628221, -149.360396)","(61.34147910000002, -149.5582526)"
