cbg_id,store_id,rank,distance,geometry,Origin,Destination
131210102233,62,0,4227.868,"LINESTRING (-84.41403769999999 33.8777151, -84.4131762 33.8779711, -84.412272 33.87733, -84.411778 33.876613, -84.4113 33.87623, -84.41099029999999 33.8759588, -84.410596 33.875647, -84.40963499999999 33.8747098, -84.4096282 33.8743258, -84.40973200000001 33.873503, -84.40969749999999 33.8733507, -84.4095811 33.8731039, -84.40910529999999 33.8725412, -84.40877999999999 33.872158, -84.4084507 33.8724306, -84.40806000000001 33.872754, -84.40789839999999 33.8728693, -84.4077581 33.8729561, -84.407051 33.873265, -84.40595 33.8739591, -84.40542840000001 33.8746947, -84.404495 33.875509, -84.40323480000002 33.87481180000001, -84.40255879999999 33.8747297, -84.4023674 33.8747122, -84.402064 33.874686, -84.40133760000001 33.8746247, -84.4006565 33.8745725, -84.3998036 33.8745059, -84.39793299999999 33.874418, -84.3978704 33.874351, -84.39778990000001 33.8743779, -84.3957137 33.8735304, -84.3956857 33.87347439999998, -84.39502400000001 33.873906, -84.3943395 33.8740786, -84.39346770000002 33.8742839, -84.392526 33.875075, -84.3919312 33.8757707, -84.3918571 33.8758162, -84.3907368 33.8761395, -84.38805600000001 33.876982, -84.3874793 33.8770611, -84.38740799999999 33.877065, -84.38608309999999 33.87711639999998, -84.38557400000001 33.8771438, -84.385237 33.8771699, -84.384939 33.8772101, -84.384225 33.8773192, -84.38417870000001 33.8773283, -84.38346230000001 33.8776339, -84.3821562 33.87801489999999, -84.3817245 33.8778146, -84.3813461 33.8776051, -84.38114779999999 33.8774965, -84.3810797 33.8774603, -84.38099699999999 33.8774163, -84.38090219999999 33.8773645, -84.3808461 33.8773338, -84.38077029999999 33.877293, -84.38060950000001 33.8772064, -84.3805821 33.8771916, -84.38047160000001 33.877132, -84.38045040000002 33.8771206, -84.3803532 33.87706819999999, -84.379943 33.876847, -84.38002179999999 33.8766931, -84.38009680000002 33.8765465, -84.3801215 33.8764983, -84.38016870000001 33.8764061, -84.3802041 33.8763369, -84.38029229999999 33.8761646, -84.380349 33.8760539, -84.3805199 33.8757201, -84.3806992 33.87529820000001, -84.3807099 33.8752689, -84.3805504 33.8752465)","(33.8777151, -84.4140377)","(33.8752465, -84.3805504)"
131210102233,61,1,4625.229,"LINESTRING (-84.41403769999999 33.8777151, -84.4131762 33.8779711, -84.412272 33.87733, -84.411778 33.876613, -84.4113 33.87623, -84.41099029999999 33.8759588, -84.410596 33.875647, -84.40963499999999 33.8747098, -84.4096282 33.8743258, -84.40973200000001 33.873503, -84.40969749999999 33.8733507, -84.4095811 33.8731039, -84.40910529999999 33.8725412, -84.40877999999999 33.872158, -84.4084507 33.8724306, -84.40806000000001 33.872754, -84.40789839999999 33.8728693, -84.4077581 33.8729561, -84.407051 33.873265, -84.40595 33.8739591, -84.40542840000001 33.8746947, -84.404495 33.875509, -84.40323480000002 33.87481180000001, -84.40255879999999 33.8747297, -84.4023674 33.8747122, -84.402064 33.874686, -84.40133760000001 33.8746247, -84.4006565 33.8745725, -84.3998036 33.8745059, -84.39793299999999 33.874418, -84.3978704 33.874351, -84.39778990000001 33.8743779, -84.3957137 33.8735304, -84.3956857 33.87347439999998, -84.39502400000001 33.873906, -84.3943395 33.8740786, -84.39346770000002 33.8742839, -84.392526 33.875075, -84.3919312 33.8757707, -84.3918571 33.8758162, -84.3907368 33.8761395, -84.38805600000001 33.876982, -84.3874793 33.8770611, -84.38740799999999 33.877065, -84.38608309999999 33.87711639999998, -84.38557400000001 33.8771438, -84.385237 33.8771699, -84.384939 33.8772101, -84.384225 33.8773192, -84.38417870000001 33.8773283, -84.38346230000001 33.8776339, -84.3821562 33.87801489999999, -84.3817245 33.8778146, -84.3813461 33.8776051, -84.38114779999999 33.8774965, -84.3810797 33.8774603, -84.38099699999999 33.8774163, -84.38090219999999 33.8773645, -84.3808461 33.8773338, -84.38077029999999 33.877293, -84.38060950000001 33.8772064, -84.3805821 33.8771916, -84.38047160000001 33.877132, -84.38045040000002 33.8771206, -84.3803532 33.87706819999999, -84.379943 33.876847, -84.38002179999999 33.8766931, -84.38009680000002 33.8765465, -84.3801215 33.8764983, -84.38016870000001 33.8764061, -84.3802041 33.8763369, -84.38029229999999 33.8761646, -84.380349 33.8760539, -84.3805199 33.8757201, -84.3806992 33.87529820000001, -84.3807099 33.8752689, -84.38079999999999 33.8749929, -84.38084019999999 33.8748392, -84.3808502 33.8747984, -84.3808804 33.8746653, -84.38092229999999 33.8744076, -84.38094769999999 33.8741654, -84.38096470000001 33.87400339999999, -84.3809979 33.8736867, -84.38101399999999 33.8735021, -84.3810306 33.87326, -84.3810452 33.8730461, -84.3810488 33.8729935, -84.38104920000002 33.8729432, -84.38105179999999 33.8725825, -84.3810525 33.87249, -84.38105480000002 33.8721849, -84.38105560000001 33.872078, -84.38105880000001 33.8716426, -84.38105920000001 33.8715846)","(33.8777151, -84.4140377)","(33.8715846, -84.38105920000001)"
130890237012,18,0,669.348,"LINESTRING (-84.31615770000001 33.74361639999999, -84.3155905 33.7438445, -84.31551140000001 33.74405919999999, -84.3153822 33.7441585, -84.31527130000001 33.7440716, -84.314764 33.743674, -84.3150783 33.7416548, -84.31468599999999 33.7413163, -84.3141718 33.7408807, -84.3140975 33.7407886, -84.31389 33.740143)","(33.743616399999986, -84.3161577)","(33.740143, -84.31389)"
130890237012,21,1,4558.869,"LINESTRING (-84.31615770000001 33.74361639999999, -84.3155905 33.7438445, -84.31551140000001 33.74405919999999, -84.3153822 33.7441585, -84.31527130000001 33.7440716, -84.314764 33.743674, -84.31466810000001 33.7437701, -84.3141634 33.7444297, -84.31410870000001 33.7447013, -84.3144935 33.7465332, -84.31450460000001 33.7467855, -84.31451 33.747316, -84.3153605 33.7473139, -84.3165374 33.7473138, -84.3166011 33.7473141, -84.3178278 33.7473196, -84.31958899999999 33.747328, -84.3201443 33.7473349, -84.3202367 33.7473349, -84.320798 33.7473404, -84.3208162 33.7473407, -84.3214677 33.74734749999999, -84.3218691 33.7473614, -84.3219641 33.74736209999999, -84.3226478 33.7473664, -84.32326519999999 33.74737039999999, -84.323313 33.7473682, -84.32373579999999 33.7473695, -84.324316 33.747365, -84.3249888 33.7473726, -84.3252868 33.747376, -84.32549299999999 33.7473794, -84.3259585 33.7473869, -84.32630039999999 33.7473925, -84.32649210000001 33.7473975, -84.3269535 33.7474095, -84.3272547 33.7474174, -84.3278186 33.7474171, -84.32805190000001 33.7474226, -84.3285741 33.7474168, -84.3291121 33.7474206, -84.32941649999999 33.7474226, -84.3295775 33.7474237, -84.3296325 33.74742410000001, -84.3297997 33.7474251, -84.3304969 33.7474284, -84.33182100000001 33.747431, -84.332483 33.7474315, -84.33284279999999 33.7474317, -84.3329975 33.7474335, -84.33316189999999 33.7474326, -84.3332498 33.747432, -84.3333147 33.7474336, -84.333609 33.7474415, -84.3337733 33.7474469, -84.33385079999999 33.7474491, -84.334248 33.7474603, -84.3355045 33.747496, -84.3356505 33.7474976, -84.3360974 33.7475023, -84.336336 33.7475048, -84.33647420000001 33.7475062, -84.33693510000001 33.7475111, -84.3374089 33.747517, -84.3383558 33.7475299, -84.338579 33.747533, -84.3392274 33.7475365, -84.33954660000001 33.7475382, -84.339696 33.747539, -84.3403843 33.7475444, -84.34192950000001 33.7475564, -84.342258 33.7475614, -84.343193 33.747558, -84.34434899999999 33.747559, -84.345445 33.747568, -84.3458382 33.7475729, -84.3462937 33.747573, -84.346464 33.747573, -84.3472953 33.747591, -84.3481615 33.7476098, -84.34874790000001 33.7476161, -84.3487733 33.7476164, -84.3488687 33.74761740000001, -84.34921439999999 33.747621, -84.34968069999999 33.7475366, -84.34990929999999 33.7474889, -84.34996150000001 33.7474756, -84.3501455 33.7474283, -84.3503339 33.7473809, -84.35041200000001 33.747361, -84.3504782 33.747347, -84.350714 33.747297, -84.35104250000001 33.7472268, -84.35128109999999 33.7471758, -84.3513142 33.7471687, -84.3514603 33.7471374, -84.35165569999999 33.7470948, -84.3518577 33.7470519, -84.35198490000001 33.7470248, -84.3523275 33.746952, -84.3524264 33.7469311, -84.35272500000001 33.746867, -84.35297850000001 33.7468128, -84.35330329999999 33.7467434, -84.3534863 33.7467043, -84.3542947 33.7465524, -84.354364 33.746545, -84.35558709999999 33.7465593, -84.35565889999999 33.7465601, -84.3557454 33.7465612, -84.3562621 33.7465677, -84.35658669999999 33.7465718, -84.356765 33.746574)","(33.743616399999986, -84.3161577)","(33.746574, -84.356765)"
130890209011,21,0,2075.122,"LINESTRING (-84.3387121 33.7440443, -84.3398238 33.7440849, -84.33988979999999 33.7440877, -84.3409546 33.7441882, -84.34124319999999 33.74421259999998, -84.34143070000002 33.7442275, -84.341976 33.7442623, -84.34289149999999 33.7443392, -84.3432262 33.7443667, -84.34434299999999 33.744453, -84.3476946 33.7435221, -84.347965 33.7434482, -84.34822149999999 33.7433806, -84.34837330000001 33.7433599, -84.3483841 33.7433879, -84.348562 33.7433719, -84.3486025 33.7433765, -84.3487246 33.7435645, -84.34884270000001 33.7437471, -84.3489364 33.7437461, -84.34911339999999 33.7437441, -84.3491406 33.7437439, -84.34922779999999 33.7437431, -84.3492311 33.7438467, -84.349233 33.7439044, -84.3492344 33.7439705, -84.34934040000002 33.7439708, -84.3493663 33.7441972, -84.3493797 33.7442996, -84.34940520000001 33.7446529, -84.34939489999999 33.7460589, -84.34937480000001 33.7464571, -84.34951700000001 33.7465573, -84.34978750000001 33.7468077, -84.3500813 33.7470982, -84.35013789999999 33.7470959, -84.3502483 33.7472027, -84.35041200000001 33.747361, -84.3504782 33.747347, -84.350714 33.747297, -84.35104250000001 33.7472268, -84.35128109999999 33.7471758, -84.3513142 33.7471687, -84.3514603 33.7471374, -84.35165569999999 33.7470948, -84.3518577 33.7470519, -84.35198490000001 33.7470248, -84.3523275 33.746952, -84.3524264 33.7469311, -84.35272500000001 33.746867, -84.35297850000001 33.7468128, -84.35330329999999 33.7467434, -84.3534863 33.7467043, -84.3542947 33.7465524, -84.354364 33.746545, -84.35558709999999 33.7465593, -84.35565889999999 33.7465601, -84.3557454 33.7465612, -84.3562621 33.7465677, -84.35658669999999 33.7465718, -84.356765 33.746574)","(33.7440443, -84.3387121)","(33.746574, -84.356765)"
130890209011,19,1,2466.801,"LINESTRING (-84.3387121 33.7440443, -84.3398238 33.7440849, -84.33988979999999 33.7440877, -84.3409546 33.7441882, -84.34124319999999 33.74421259999998, -84.34143070000002 33.7442275, -84.341976 33.7442623, -84.34289149999999 33.7443392, -84.3432262 33.7443667, -84.34434299999999 33.744453, -84.3476946 33.7435221, -84.347965 33.7434482, -84.34822149999999 33.7433806, -84.34837330000001 33.7433599, -84.3485099 33.7433264, -84.3485325 33.7433268, -84.3485776 33.7433382, -84.34865499999999 33.743342, -84.3486607 33.7432772, -84.348664 33.7432399, -84.3487501 33.7432432, -84.3487506 33.7431943, -84.3489356 33.74308340000001, -84.34913229999999 33.742982, -84.3492171 33.7428938, -84.3492182 33.7428074, -84.34921629999999 33.7427433, -84.3492176 33.7425576, -84.34921799999999 33.7424132, -84.3492183 33.7423083, -84.3492186 33.742208, -84.34921900000001 33.742086, -84.3497397 33.74207620000001, -84.3499803 33.7420717, -84.35044600000001 33.742063, -84.351287 33.742046, -84.351288 33.7404814, -84.3523655 33.7403553, -84.3524223 33.7403467, -84.35340650000001 33.7401488, -84.35427559999999 33.7399756, -84.3552416 33.7398182, -84.35629040000001 33.7398157, -84.3563529 33.7398177, -84.3564312 33.7398202, -84.35645510000001 33.739746, -84.35708099999999 33.7397539, -84.35808419999999 33.7397615, -84.3582129 33.73976319999998, -84.35834749999999 33.7397636, -84.35851959999999 33.739765, -84.3591211 33.7397977, -84.3593503 33.7398361, -84.3595294 33.739879, -84.359557 33.7398253, -84.35973060000001 33.73987489999998, -84.3601448 33.7399931, -84.36019530000002 33.7400075, -84.3612753 33.7403112, -84.3613204 33.7401924, -84.3611198 33.74013930000001)","(33.7440443, -84.3387121)","(33.74013930000001, -84.3611198)"
130890224014,32,0,3795.665,"LINESTRING (-84.339477 33.797964, -84.3358016 33.796817, -84.3356139 33.7968171, -84.3356339 33.7960449, -84.3356599 33.7956134, -84.3359009 33.7946118, -84.3361005 33.7939588, -84.3370079 33.7924692, -84.3380861 33.7910035, -84.3384093 33.7904404, -84.3385475 33.7901997, -84.3387663 33.7898184, -84.3389423 33.7894602, -84.33915709999999 33.7890507, -84.3396527 33.7878389, -84.3397765 33.7875027, -84.34003319999999 33.7869193, -84.3407136 33.7857891, -84.34099500000001 33.785438, -84.3417312 33.7845336, -84.34214760000002 33.7840259, -84.34246090000001 33.7836403, -84.3427262 33.783303, -84.3429211 33.7830552, -84.3429435 33.783019, -84.3431594 33.7826591, -84.34320990000001 33.7825698, -84.3434747 33.7821009, -84.3435068 33.782044, -84.343851 33.781423, -84.34420990000001 33.7807554, -84.3442814 33.7806224, -84.34460989999999 33.7800242, -84.3448542 33.779619, -84.3449356 33.7795073, -84.34507290000001 33.7793205, -84.3451785 33.7791932, -84.3453264 33.7790177, -84.3456065 33.7787536, -84.3457602 33.7786258, -84.3460965 33.7783212, -84.3461652 33.7782591, -84.3465266 33.7779329, -84.3466294 33.77784, -84.34676899999999 33.777714, -84.34702590000001 33.7774337, -84.3472447 33.777195, -84.3473631 33.7770657, -84.34772700000001 33.7766153, -84.347981 33.776301, -84.34800970000001 33.7762651, -84.34825340000002 33.7759601, -84.34870429999999 33.7754015, -84.348957 33.774449, -84.3506536 33.7744428, -84.35249880000001 33.774436, -84.3525629 33.7744362, -84.3525928 33.7739241, -84.35282840000001 33.7739207, -84.3531772 33.7739164, -84.3532127 33.7738309, -84.35342989999999 33.7738302, -84.35349600000001 33.77383, -84.35383 33.7738291, -84.3541032 33.7738283, -84.3543511 33.7738276, -84.3545931 33.7738274)","(33.797964, -84.339477)","(33.7738274, -84.3545931)"
130890224014,48,1,3979.154,"LINESTRING (-84.339477 33.797964, -84.33871600000001 33.798941, -84.33572169999999 33.797949, -84.33593209999999 33.7986238, -84.3363461 33.7994593, -84.3366288 33.7999436, -84.33741910000001 33.80135010000001, -84.33749400000001 33.8014823, -84.3375875 33.8016667, -84.337971 33.8023976, -84.3380774 33.80277, -84.3380957 33.80291740000001, -84.3381052 33.80301630000001, -84.33809720000001 33.8033776, -84.33808639999999 33.8034851, -84.3380654 33.8036491, -84.3380299 33.8038349, -84.337733 33.804487, -84.3373033 33.8049925, -84.337074 33.8051669, -84.3365282 33.8056005, -84.3362762 33.8057954, -84.3360899 33.8059799, -84.3359774 33.8061509, -84.33585600000001 33.806485, -84.3358233 33.8065799, -84.335677 33.807004, -84.3357805 33.8071958, -84.33599719999999 33.8074826, -84.3363255 33.8077254, -84.3369771 33.8079354, -84.3394796 33.808281, -84.34016120000001 33.8139521, -84.3401542 33.8146351, -84.34111660000001 33.8150707, -84.34226529999999 33.8154712, -84.3426898 33.8156307, -84.3430074 33.8157401, -84.3432882 33.8158454, -84.34421519999999 33.8161778, -84.3450589 33.8165009, -84.34557049999999 33.8167309, -84.34723820000001 33.8172286, -84.34848839999999 33.8173795, -84.34862819999999 33.8174105, -84.34975319999999 33.8177815, -84.3498556 33.8178171, -84.35001130000001 33.8178712, -84.35053470000001 33.81805580000001, -84.3510253 33.8182167, -84.3511659 33.818266, -84.3514418 33.8183609, -84.3516511 33.8184334, -84.3515 33.818841, -84.35145679999999 33.8189575)","(33.797964, -84.339477)","(33.8189575, -84.3514568)"
130890211041,60,0,1419.716,"LINESTRING (-84.3482597 33.8580568, -84.34798929999999 33.8581137, -84.347914 33.857854, -84.34849579999999 33.8576506, -84.3486324 33.8575891, -84.3487623 33.8575245, -84.3503477 33.8563243, -84.3513674 33.85580789999999, -84.35149130000001 33.8557571, -84.35160190000001 33.8557147, -84.3524613 33.855398, -84.35252470000002 33.8553771, -84.353174 33.8551522, -84.35343020000001 33.8550597, -84.3536426 33.8549836, -84.35412359999999 33.8548112, -84.3542921 33.8547504, -84.3543754 33.85472, -84.3556006 33.85435529999999, -84.35571210000001 33.8543221, -84.3563905 33.8541832, -84.3564039 33.8540734, -84.3564385 33.8540721, -84.3566454 33.8540623, -84.35675310000001 33.8540569, -84.3568428 33.8540524, -84.3572125 33.854034, -84.35739169999999 33.854025, -84.35751860000001 33.8540187, -84.3576717 33.854011, -84.35772009999999 33.85401179999999, -84.3579254 33.853997, -84.35794009999999 33.8539135, -84.3580003 33.8538559, -84.35804349999999 33.8538494, -84.3581315 33.853836, -84.35821559999999 33.8538233, -84.35885589999999 33.8537208, -84.35937029999999 33.8535813, -84.3593893 33.853525, -84.3594575 33.8534909, -84.35957449999999 33.8534332, -84.3596598 33.8533926, -84.35967789999999 33.8533387, -84.35968800000001 33.8533112, -84.360299 33.852501, -84.3603554 33.8525724)","(33.8580568, -84.3482597)","(33.8525724, -84.3603554)"
130890211041,59,1,1447.313,"LINESTRING (-84.3482597 33.8580568, -84.34798929999999 33.8581137, -84.347914 33.857854, -84.34849579999999 33.8576506, -84.3486324 33.8575891, -84.3487623 33.8575245, -84.3503477 33.8563243, -84.3513674 33.85580789999999, -84.35149130000001 33.8557571, -84.35160190000001 33.8557147, -84.3524613 33.855398, -84.35252470000002 33.8553771, -84.353174 33.8551522, -84.35343020000001 33.8550597, -84.3536426 33.8549836, -84.35412359999999 33.8548112, -84.3542921 33.8547504, -84.3543754 33.85472, -84.3556006 33.85435529999999, -84.35571210000001 33.8543221, -84.3563905 33.8541832, -84.3564039 33.8540734, -84.3564385 33.8540721, -84.3566454 33.8540623, -84.35675310000001 33.8540569, -84.3568428 33.8540524, -84.3572125 33.854034, -84.35739169999999 33.854025, -84.35751860000001 33.8540187, -84.3576717 33.854011, -84.35772009999999 33.85401179999999, -84.3579254 33.853997, -84.35794009999999 33.8539135, -84.3580003 33.8538559, -84.35804349999999 33.8538494, -84.3581315 33.853836, -84.3579709 33.8526976, -84.3579194 33.8520329, -84.35794730000001 33.8519471, -84.3579876 33.8518196, -84.3580171 33.851729, -84.35806220000001 33.8517493, -84.35833049999999 33.8512665, -84.35838390000001 33.8513122)","(33.8580568, -84.3482597)","(33.8513122, -84.3583839)"
