cbg_id,store_id,rank,distance,geometry,Origin,Destination
80010083093,80,0,1520.799,"LINESTRING (-104.7875765 39.743589, -104.7880387 39.74358860000001, -104.786876 39.7415274, -104.7868718 39.7403983, -104.7868702 39.7402695, -104.789248 39.7402684, -104.7906228 39.7402703, -104.791052 39.7402707, -104.791159 39.7402708, -104.7913504 39.74027310000002, -104.7914457 39.740274, -104.7919218 39.7402721, -104.7940647 39.7402784, -104.7959614 39.7402796, -104.79617 39.7402796, -104.7967008 39.7402794, -104.7969382 39.7402799, -104.797246 39.7402805, -104.7976658 39.7402828, -104.7984413 39.74028490000001, -104.7985849 39.7404167, -104.7986439 39.7404906, -104.7987292 39.7405911, -104.7988822 39.740751)","(39.743589, -104.78757649999999)","(39.740751, -104.7988822)"
80010083093,83,1,1869.665,"LINESTRING (-104.7875765 39.743589, -104.7880387 39.74358860000001, -104.786876 39.7415274, -104.7868718 39.7403983, -104.782875 39.7403556, -104.7827712 39.7402593, -104.7827682 39.7401111, -104.7782603 39.7401092, -104.7776914 39.740108, -104.7746122 39.7401129, -104.7746136 39.7402582, -104.774613 39.7404075, -104.774613 39.7406296, -104.774535 39.74062869999999, -104.7744492 39.7406278, -104.7740317 39.7406311, -104.773019 39.741846, -104.772656 39.7418651, -104.7725045 39.7418647, -104.7723509 39.7418644)","(39.743589, -104.78757649999999)","(39.7418644, -104.7723509)"
80350139121,2,0,6026.671,"LINESTRING (-104.7741317 39.5658457, -104.7742451 39.5587876, -104.7742669 39.5587732, -104.7742621 39.5587114, -104.774423 39.5587358, -104.774611 39.5587633, -104.7766134 39.5588644, -104.7767614 39.5588628, -104.7769677 39.5588623, -104.7783057 39.5588547, -104.779215 39.5588397, -104.779902 39.5587734, -104.780603 39.5595863, -104.7819307 39.5615234, -104.7825619 39.5624701, -104.7844925 39.5653389, -104.7868578 39.5688549, -104.7870467 39.56912669999998, -104.7879406 39.570437, -104.7890878 39.5721087, -104.7899777 39.5734002, -104.7900589 39.5735221, -104.7926854 39.5787229, -104.7927378 39.5788468, -104.7929696 39.5787958, -104.7931002 39.5787681, -104.7937695 39.5786053, -104.7948196 39.5783466, -104.7949207 39.5783227, -104.7949536 39.5784006, -104.795398 39.5794726, -104.7954277 39.579544, -104.7954556 39.5796136, -104.7972444 39.5815714, -104.7972942 39.5816448, -104.797339 39.5817102, -104.7980371 39.5827519, -104.7980799 39.5828139, -104.7983836 39.5832715, -104.7985454 39.5835105, -104.7989204 39.5838545, -104.7991807 39.5840844, -104.799251 39.5841465, -104.7993215 39.5842071, -104.7996549 39.5846222, -104.7996915 39.5847034, -104.7997246 39.5847822, -104.7999775 39.58538570000001, -104.8009982 39.58615730000001, -104.8010536 39.5862022, -104.8010983 39.5862419, -104.8014108 39.5872979, -104.8014094 39.5873687, -104.8014061 39.5874652, -104.8014027 39.5878052, -104.8016846 39.588718, -104.8017256 39.5887566, -104.8017702 39.5888008, -104.8019849 39.5890134, -104.8019209 39.5890559, -104.8019713 39.5891172, -104.8020271 39.589184, -104.8016978 39.58957680000001, -104.8016584 39.589699, -104.8016195 39.5898245, -104.801617 39.5898869, -104.801615 39.5899385, -104.8016252 39.5899477, -104.8016198 39.5906455, -104.8016128 39.590653, -104.8016106 39.5907102, -104.8016085 39.59076339999999, -104.80162 39.5907732, -104.8019193 39.59201010000002, -104.8019395 39.5920753, -104.8019811 39.5921324, -104.8037201 39.5932328, -104.803727 39.59323869999999, -104.8038024 39.5932399, -104.8038708 39.593241, -104.8046554 39.5932413, -104.804663 39.5932472)","(39.5658457, -104.77413170000001)","(39.5932472, -104.804663)"
80350139121,3,1,6343.496,"LINESTRING (-104.7741317 39.5658457, -104.7742451 39.5587876, -104.7742669 39.5587732, -104.7742621 39.5587114, -104.774423 39.5587358, -104.774611 39.5587633, -104.7766134 39.5588644, -104.7767614 39.5588628, -104.7769677 39.5588623, -104.7783057 39.5588547, -104.779215 39.5588397, -104.779902 39.5587734, -104.780603 39.5595863, -104.7819307 39.5615234, -104.7825619 39.5624701, -104.7844925 39.5653389, -104.7868578 39.5688549, -104.7870467 39.56912669999998, -104.7879406 39.570437, -104.7890878 39.5721087, -104.7899777 39.5734002, -104.7900589 39.5735221, -104.7926854 39.5787229, -104.7927378 39.5788468, -104.7927689 39.5789249, -104.795697 39.5843925, -104.7965806 39.58572439999999, -104.7981348 39.5881134, -104.798207 39.5882271, -104.7991992 39.5898187, -104.8005547 39.5920499, -104.8025043 39.595575, -104.8039998 39.5983373, -104.8048716 39.599878)","(39.5658457, -104.77413170000001)","(39.599878, -104.80487160000001)"
80050866003,0,0,3657.688,"LINESTRING (-104.7362509 39.5710866, -104.7362505 39.5712394, -104.7365971 39.571408, -104.7366136 39.5713815, -104.736844 39.5709099, -104.7369616 39.5706487, -104.7370997 39.5703624, -104.737161 39.570231, -104.7372494 39.570054, -104.7373688 39.5698703, -104.7376223 39.5696037, -104.7377401 39.56950839999999, -104.7381504 39.5691865, -104.7383903 39.5693588, -104.7391058 39.5698785, -104.739535 39.5702388, -104.7395913 39.5702921, -104.7402008 39.5709473, -104.7402825 39.5710385, -104.7405454 39.5713295, -104.7408238 39.5716329, -104.7409736 39.5717981, -104.7412395 39.5720868, -104.7415192 39.5723945, -104.7416992 39.5725946, -104.7443156 39.575743, -104.7450555 39.5772494, -104.7391632 39.5775879, -104.7253305 39.5800834, -104.7253124 39.5800979, -104.725316 39.58022559999998, -104.72532 39.5803266, -104.7252203 39.5803272, -104.7250741 39.5803284, -104.7236583 39.5824542)","(39.5710866, -104.7362509)","(39.5824542, -104.72365830000001)"
80050866003,5,1,6737.207,"LINESTRING (-104.7362509 39.5710866, -104.7362505 39.5712394, -104.7365971 39.571408, -104.7366136 39.5713815, -104.736844 39.5709099, -104.7369616 39.5706487, -104.7370997 39.5703624, -104.737161 39.570231, -104.7372494 39.570054, -104.7373688 39.5698703, -104.7376223 39.5696037, -104.7377401 39.56950839999999, -104.7381504 39.5691865, -104.7383903 39.5693588, -104.7391058 39.5698785, -104.739535 39.5702388, -104.7395913 39.5702921, -104.7402008 39.5709473, -104.7402825 39.5710385, -104.7405454 39.5713295, -104.7408238 39.5716329, -104.7409736 39.5717981, -104.7412395 39.5720868, -104.7415192 39.5723945, -104.7416992 39.5725946, -104.7443156 39.575743, -104.7450555 39.5772494, -104.7391632 39.5775879, -104.7253305 39.5800834, -104.7253124 39.5800979, -104.725215 39.5800925, -104.725073 39.5800842, -104.7249454 39.5800773, -104.7249345 39.5800684, -104.7248151 39.5796189, -104.7246895 39.57932609999999, -104.7188965 39.5854752, -104.7183849 39.5950131, -104.7153749 39.6014762, -104.716602 39.60197560000001, -104.716615 39.602106, -104.7166271 39.6022537, -104.7166359 39.6023609, -104.716617 39.6023679, -104.716594 39.6032387, -104.7166149 39.603311, -104.7166123 39.6033919, -104.7166275 39.6043875)","(39.5710866, -104.7362509)","(39.6043875, -104.7166275)"
80050071121,4,0,295.54,"LINESTRING (-104.6995347 39.6028124, -104.6998542 39.6031127, -104.7006512 39.6031459, -104.7025301 39.6033602)","(39.6028124, -104.6995347)","(39.6033602, -104.7025301)"
80050071121,6,1,514.597,"LINESTRING (-104.6995347 39.6028124, -104.6998542 39.6031127, -104.7006512 39.6031459, -104.7006565 39.6035561, -104.7017848 39.6040075, -104.7017834 39.6041465, -104.7017906 39.6046326, -104.7017953 39.60471839999999, -104.7017898 39.6048137, -104.7018765 39.6048205, -104.7021493 39.6049308, -104.7021391 39.6049575, -104.7022587 39.6049867, -104.7023158 39.6053183, -104.7025314 39.6053141)","(39.6028124, -104.6995347)","(39.6053141, -104.7025314)"
80050071082,64,0,4297.324,"LINESTRING (-104.7500144 39.7155347, -104.7505597 39.7148894, -104.7568009 39.7174958, -104.7568431 39.7182436, -104.759761 39.7181639, -104.7629465 39.7208156, -104.7640017 39.721678, -104.7699915 39.7223515, -104.770028 39.724187, -104.772428 39.724187, -104.7724444 39.7255313, -104.7724074 39.7257045, -104.7752815 39.7256313, -104.7768445 39.7256306, -104.7788903 39.7256225, -104.781807 39.7256386, -104.7858578 39.7256456, -104.7860876 39.725646, -104.7860882 39.725939, -104.7863115 39.7259411, -104.7877067 39.7263248, -104.7867139 39.726331)","(39.7155347, -104.7500144)","(39.726331, -104.7867139)"
80050071082,83,1,5182.311,"LINESTRING (-104.7500144 39.7155347, -104.7505597 39.7148894, -104.7568009 39.7174958, -104.7568431 39.7182436, -104.759761 39.7181639, -104.7629465 39.7208156, -104.7640017 39.721678, -104.7699915 39.7223515, -104.770028 39.724187, -104.772428 39.724187, -104.7724444 39.7255313, -104.7724074 39.7257045, -104.7723545 39.7261595, -104.7723358 39.7275925, -104.7723218 39.7283408, -104.7722814 39.7331268, -104.774198 39.7352114, -104.7756307 39.7363324, -104.7767259 39.7380561, -104.7775999 39.7386956, -104.7765974 39.738826, -104.7744679 39.7400262, -104.7733653 39.7399847, -104.7727906 39.7399893, -104.7725263 39.739995, -104.772355 39.7399977, -104.772362 39.7401076, -104.7723447 39.7402484, -104.77234 39.7403477, -104.7723509 39.7418644)","(39.7155347, -104.7500144)","(39.7418644, -104.7723509)"
