cbg_id,store_id,rank,distance,geometry,Origin,Destination
484530400004,76,0,849.753,"LINESTRING (-97.70804 30.3468225, -97.7080675 30.3467486, -97.7080933 30.3466794, -97.70753759999999 30.3464014, -97.70782269999999 30.3459489, -97.7066645 30.3452103, -97.70567 30.3444742, -97.70520380000001 30.3442259, -97.7051032 30.3441737, -97.7049616 30.3441003, -97.7048949 30.3440657, -97.7044241 30.3436879, -97.7041512 30.3435163, -97.7039035 30.3432986, -97.70357629999999 30.343016, -97.70269690000001 30.3435344, -97.70266239999999 30.3434918, -97.7025806 30.3435521, -97.70232050000001 30.3437639, -97.7020869 30.3436447)","(30.3468225, -97.70804)","(30.3436447, -97.7020869)"
484530400004,79,1,1708.221,"LINESTRING (-97.70804 30.3468225, -97.7080675 30.3467486, -97.7080933 30.3466794, -97.70753759999999 30.3464014, -97.70782269999999 30.3459489, -97.7097081 30.3466506, -97.70963709999999 30.346756, -97.71047729999999 30.3480403, -97.710763 30.3481111, -97.7112997 30.3483731, -97.71144649999999 30.3484448, -97.7108025 30.3491303, -97.7106034 30.3493269, -97.71065830000001 30.3493775, -97.7103439 30.3496691, -97.71014729999999 30.3498541, -97.70985890000001 30.3501254, -97.7096416 30.3503299, -97.7091807 30.3506853, -97.7091652 30.3508085, -97.7090292 30.3509067, -97.70894939999999 30.3509644, -97.7087064 30.3511393, -97.70856379999999 30.3512429, -97.7080725 30.3515977, -97.7079785 30.3516656, -97.70782370000001 30.35177740000001, -97.7077414 30.3518369, -97.7074965 30.3520116, -97.707331 30.3521275, -97.7070722 30.3523202, -97.7066004 30.3526645, -97.7063088 30.3528773, -97.7059969 30.3531048, -97.70576070000001 30.353276, -97.7057083 30.3533125, -97.7056461 30.3533593, -97.7055786 30.3534082, -97.7054302 30.3535156, -97.70526769999999 30.3536333, -97.7051471 30.3537206, -97.7049954 30.3538304, -97.7049116 30.3538911, -97.7047249 30.3540263, -97.70427669999999 30.3543508, -97.70407020000002 30.3545003, -97.7037692 30.3547208, -97.70355480000001 30.3548779)","(30.3468225, -97.70804)","(30.3548779, -97.7035548)"
484530340001,29,0,15980.976,"LINESTRING (-97.9017578 30.3284578, -97.9018865 30.3287848, -97.90275099999999 30.32841119999999, -97.90376709999998 30.3259762, -97.9038506 30.3252406, -97.90132960000001 30.3218987, -97.90147760000001 30.3214538, -97.90269259999998 30.3198493, -97.9042848 30.3168507, -97.9089768 30.31189680000001, -97.9096562 30.3098486, -97.91048290000001 30.3099329, -97.91173999999999 30.3103263, -97.9118466 30.3103642, -97.91324109999999 30.3107159, -97.9133099 30.3107191, -97.91663079999999 30.3098573, -97.9164779 30.3095497, -97.91699170000001 30.3093686, -97.91728919999998 30.30879080000001, -97.91745469999998 30.3087359, -97.9176298 30.3086778, -97.9177177 30.3086487, -97.9178438 30.3086067, -97.9177923 30.3084929, -97.9176063 30.3082211, -97.91945629999999 30.30707489999999, -97.9218717 30.3065729, -97.92332159999999 30.3066958, -97.92486630000001 30.3067499, -97.92639410000001 30.3064068, -97.92696309999999 30.3061229, -97.9301196 30.3038382, -97.93065729999999 30.3030325, -97.9314992 30.3021181, -97.9300282 30.3008065, -97.9294718 30.3002477, -97.92694400000001 30.2976463, -97.9268837 30.2975712, -97.9262794 30.2968771, -97.92610139999999 30.2966726, -97.92424099999999 30.2946421, -97.92198399999999 30.293001, -97.9203617 30.2920561, -97.91996 30.2918066, -97.91684530000001 30.2871205, -97.91663939999999 30.28617639999998, -97.9166749 30.2845739, -97.91686300000001 30.2821153, -97.9168725 30.2819916, -97.91686210000002 30.2816736, -97.9165921 30.2801101, -97.9147918 30.27646, -97.9147767 30.2764391, -97.91425409999999 30.2754024, -97.91417629999999 30.2752611, -97.9072491 30.2601424, -97.9069288 30.2596757, -97.9061537 30.258838, -97.9053256 30.2580402, -97.9049486 30.257677, -97.90453100000001 30.2572378, -97.9044507 30.2571634, -97.9039629 30.2566859, -97.90334660000001 30.256079, -97.9028172 30.2555566, -97.9024546 30.255205, -97.9006516 30.2534417, -97.89983100000001 30.2527309, -97.89915809999999 30.2522795, -97.897971 30.251664, -97.8968362 30.251113, -97.8965803 30.2509887, -97.89573860000002 30.25058, -97.8944233 30.2499413, -97.8943166 30.2498895, -97.89314460000001 30.2493332, -97.8924166 30.2489876, -97.89227030000001 30.24891589999999, -97.89211450000001 30.2488396, -97.89128150000001 30.2484291, -97.89065840000001 30.2481355, -97.8905864 30.2481039, -97.8897625 30.247704, -97.8893537 30.2475075, -97.88897350000001 30.24732260000001, -97.8885398 30.247117, -97.8883857 30.247036, -97.8875558 30.2466329, -97.88747429999998 30.2465948, -97.8873979 30.24655769999999, -97.88674109999998 30.2462234, -97.8863501 30.2459899, -97.8859906 30.2457362, -97.8856765 30.24548819999999, -97.8845403 30.2444291, -97.88442070000001 30.2443141, -97.88410349999999 30.243986, -97.88361039999999 30.2434834, -97.8829265 30.2428268, -97.882133 30.2420378, -97.8820752 30.2419803, -97.88176470000001 30.2416681, -97.8824592 30.2407223, -97.8833321 30.2393868, -97.88348320000001 30.2378789, -97.88383810000001 30.2378364, -97.8839723 30.2364843, -97.8827764 30.2369822, -97.882175 30.2362156, -97.8817849 30.2352684, -97.8812965 30.2348439, -97.8830695 30.2327578, -97.88318169999999 30.2325835, -97.8832749 30.2324412, -97.88336979999998 30.232297, -97.8834918 30.2321064, -97.8838317 30.2315724, -97.883921 30.2314382, -97.8840398 30.2312518, -97.8841362 30.23111, -97.8842288 30.2309666, -97.88429050000001 30.2308664, -97.88470030000001 30.2301682, -97.88497810000001 30.2297351, -97.8852191 30.2292955, -97.8868897 30.2294303)","(30.3284578, -97.9017578)","(30.2294303, -97.8868897)"
484530340001,38,1,19147.977,"LINESTRING (-97.9017578 30.3284578, -97.9018865 30.3287848, -97.901822 30.329463, -97.9008187 30.3303615, -97.8984427 30.3304095, -97.89530240000001 30.3334067, -97.89436120000001 30.3338144, -97.89393010000001 30.3340014, -97.8941221 30.336312, -97.89282799999999 30.336634, -97.89287659999999 30.3366881, -97.8926246 30.3371197, -97.8924401 30.3375599, -97.8905984 30.3380374, -97.8899569 30.3381684, -97.88930770000002 30.3382627, -97.8892855 30.3382659, -97.8850626 30.3390363, -97.88375000000001 30.339022, -97.88431919999999 30.3371523, -97.884263 30.3368532, -97.88433120000001 30.3355303, -97.8855284 30.3331243, -97.88563689999999 30.3323434, -97.8857244 30.3321043, -97.8844632 30.330395, -97.88316 30.329099, -97.882547 30.328424, -97.882186 30.327994, -97.88077610000001 30.3275805, -97.8802135 30.3274857, -97.87713290000001 30.3241116, -97.8749615 30.3235224, -97.8740871 30.3233245, -97.8731832 30.3230178, -97.871196 30.3221828, -97.8704142 30.3215969, -97.8709466 30.3210461, -97.87054980000001 30.3205735, -97.8702304 30.31967140000001, -97.87004140000001 30.3189172, -97.87006940000001 30.3188381, -97.870384 30.3179485, -97.8693554 30.3174339, -97.8660783 30.3177151, -97.86551590000002 30.3178194, -97.86420320000001 30.3181554, -97.863702 30.3182794, -97.8628001 30.3183533, -97.8616892 30.3181856, -97.8606857 30.3177124, -97.8597022 30.3168615, -97.85903020000001 30.31624549999999, -97.85584249999999 30.314735, -97.8548176 30.314295, -97.85339769999999 30.3136569, -97.85288970000001 30.3134286, -97.8527464 30.31336479999999, -97.85190590000001 30.3130018, -97.851427 30.312795, -97.85046250000001 30.3122319, -97.85034450000001 30.3121354, -97.84922520000001 30.31107, -97.84880870000001 30.3107674, -97.848703 30.3107081, -97.84561239999999 30.3100852, -97.842805 30.3065003, -97.84119760000002 30.3043885, -97.8408098 30.304022, -97.84028089999998 30.3034641, -97.8401102 30.3032169, -97.8399608 30.3029765, -97.8398225 30.3026478, -97.83977230000001 30.3025286, -97.8397354 30.30238339999999, -97.83970530000001 30.302253, -97.83963939999998 30.3019665, -97.83961189999999 30.301854, -97.83950429999999 30.3014136, -97.8394138 30.3011183, -97.83937819999998 30.30100979999999, -97.8392649 30.3008078, -97.8385772 30.3000489, -97.83799729999998 30.2994958, -97.83726369999999 30.2985993, -97.83694730000001 30.2981167, -97.8364966 30.2975037, -97.83534109999999 30.2968367, -97.83477000000001 30.2967234, -97.83415309999999 30.2967212, -97.8338861 30.2967238, -97.83372079999999 30.2967254, -97.8333007 30.2967447, -97.83296720000001 30.29673070000001, -97.83262160000001 30.2967171, -97.8322014 30.2966815, -97.8321004 30.29662480000001, -97.8307386 30.2963036, -97.8300016 30.2961276, -97.8295332 30.2960111, -97.8293535 30.2959641, -97.8288232 30.2956659, -97.8287108 30.2950774, -97.82865150000001 30.2942932, -97.82845930000001 30.2920472, -97.82842489999999 30.2908605, -97.8284117 30.2907545, -97.82763250000001 30.2883521, -97.82594450000001 30.2859204, -97.8243482 30.2837645, -97.82383849999999 30.2830794, -97.82223399999999 30.2809112, -97.82219139999999 30.2808537, -97.82153940000001 30.2799727, -97.8213913 30.2797703, -97.8197602 30.27756419999999, -97.8196725 30.2774535, -97.8195899 30.27734260000001, -97.81773699999999 30.274138, -97.81784500000001 30.2716585, -97.81781340000001 30.2649802, -97.8169321 30.2637102, -97.812394 30.2579842, -97.812327 30.2579007, -97.8091111 30.2537654, -97.8090131 30.25364, -97.80694699999999 30.2510385, -97.8067513 30.250794, -97.8041825 30.247554, -97.8039023 30.2471653, -97.80335359999998 30.2463848, -97.8027774 30.2452686, -97.80132039999999 30.2423186, -97.80093669999999 30.2421869, -97.80086679999999 30.2422148, -97.800471 30.2423725, -97.8003867 30.24220539999999, -97.8000849 30.241768, -97.7999883 30.2416197, -97.79828620000001 30.2385326, -97.79795780000001 30.2378732, -97.79768319999999 30.23734739999999, -97.7975216 30.237309, -97.79728280000002 30.2372506, -97.7971216 30.23720810000001, -97.79700339999999 30.2370963, -97.796898 30.2369561, -97.7967828 30.2368029, -97.796685 30.2366728, -97.79657020000001 30.2365201, -97.79642250000001 30.2363925, -97.7963894 30.2363855, -97.79620130000001 30.2363642, -97.79600790000001 30.2363422, -97.7956346 30.2362928, -97.79551350000001 30.2362751, -97.7952837 30.2362373, -97.7950283 30.2362037, -97.7950051 30.2362007, -97.79480700000001 30.2361763, -97.79463320000001 30.2361642, -97.79460050000002 30.2361649, -97.7944536 30.23618840000001, -97.7944404 30.23619109999999, -97.7942956 30.2362444, -97.7942536 30.2362673, -97.79416519999999 30.2363157, -97.7941139 30.2363437, -97.7940212 30.2363944, -97.793942 30.2364377, -97.79385379999999 30.2364858, -97.793577 30.2366367, -97.79327139999999 30.2368332, -97.7932249 30.2368631, -97.79291439999999 30.2365215, -97.7927894 30.2363929, -97.7926599 30.2363385, -97.7925556 30.2362238, -97.7924888 30.2361504, -97.7924515 30.2361097)","(30.3284578, -97.9017578)","(30.2361097, -97.7924515)"
484530302002,103,0,1966.332,"LINESTRING (-97.7424985 30.378162, -97.7411772 30.3780359, -97.74128450000001 30.378824, -97.74121169999999 30.3788488, -97.7412163 30.3790705, -97.7412041 30.3793488, -97.74118190000002 30.3794696, -97.7410896 30.3798179, -97.741276 30.3798927, -97.7415833 30.3802421, -97.74168450000001 30.3803246, -97.741592 30.3805017, -97.74184609999999 30.3806311, -97.7421212 30.3807712, -97.7424457 30.3809365, -97.74297919999999 30.3812266, -97.7433058 30.3814684, -97.74341029999999 30.3815593, -97.7440885 30.3824479, -97.74429279999998 30.3827672, -97.7443323 30.3828289, -97.74459160000001 30.3832341, -97.7451756 30.3842966, -97.7453228 30.3848091, -97.7453354 30.3848996, -97.7453568 30.3850531, -97.74538459999999 30.3852523, -97.7454889 30.3860012, -97.74550279999998 30.3861006, -97.7456348 30.3868737, -97.7456731 30.3870511, -97.74571760000001 30.387205, -97.7457407 30.3874927, -97.74581070000001 30.3875772, -97.7458973 30.38897480000001, -97.74579840000001 30.3891021, -97.74582940000001 30.3891674, -97.7458949 30.3892932, -97.7459175 30.3893543, -97.74585070000001 30.3893796, -97.74439219999998 30.389941)","(30.378162, -97.7424985)","(30.389941, -97.74439219999998)"
484530302002,101,1,2123.633,"LINESTRING (-97.7424985 30.378162, -97.7411772 30.3780359, -97.74128450000001 30.378824, -97.74121169999999 30.3788488, -97.7412163 30.3790705, -97.7412041 30.3793488, -97.74118190000002 30.3794696, -97.7410896 30.3798179, -97.741276 30.3798927, -97.7415833 30.3802421, -97.74168450000001 30.3803246, -97.741592 30.3805017, -97.74184609999999 30.3806311, -97.7421212 30.3807712, -97.7424457 30.3809365, -97.74297919999999 30.3812266, -97.7433058 30.3814684, -97.74341029999999 30.3815593, -97.7440885 30.3824479, -97.74429279999998 30.3827672, -97.7443323 30.3828289, -97.74459160000001 30.3832341, -97.7451756 30.3842966, -97.7453228 30.3848091, -97.7453354 30.3848996, -97.7453568 30.3850531, -97.74538459999999 30.3852523, -97.7454889 30.3860012, -97.74550279999998 30.3861006, -97.7456348 30.3868737, -97.7456731 30.3870511, -97.74571760000001 30.387205, -97.7457407 30.3874927, -97.74581070000001 30.3875772, -97.7458973 30.38897480000001, -97.74579840000001 30.3891021, -97.7457295 30.3891283, -97.74425549999999 30.3896595, -97.74415140000001 30.3896842, -97.7440817 30.38966380000001, -97.744058 30.3896554, -97.7438281 30.3892132, -97.74380619999999 30.3891713, -97.7434456 30.3884418, -97.7436106 30.3883814)","(30.378162, -97.7424985)","(30.3883814, -97.7436106)"
484530302003,96,0,940.345,"LINESTRING (-97.75185620000001 30.3709271, -97.753536 30.3683123, -97.7544772 30.3696437, -97.7545489 30.3696091, -97.7545689 30.3696397, -97.7550688 30.370308, -97.7552568 30.3702581, -97.7553097 30.3702275, -97.75603769999999 30.37092, -97.75628440000001 30.3710327, -97.75718430000001 30.3713796, -97.7573055 30.3714198, -97.7575811 30.3708459)","(30.3709271, -97.7518562)","(30.3708459, -97.7575811)"
484530302003,84,1,2273.954,"LINESTRING (-97.75185620000001 30.3709271, -97.753536 30.3683123, -97.75279519999999 30.367606, -97.75272219999999 30.3675449, -97.7517797 30.3668904, -97.7517192 30.3668572, -97.75079030000001 30.3664393, -97.7507264 30.3664113, -97.7503306 30.3661672, -97.7501125 30.3659738, -97.749838 30.3656385, -97.7497965 30.3655826, -97.7497599 30.3655333, -97.7496119 30.3652143, -97.7494856 30.3646149, -97.7490126 30.3636388, -97.74829800000001 30.3630226, -97.7468104 30.3618836, -97.7462716 30.3616066, -97.7453252 30.3614015, -97.745265 30.3614356, -97.74518360000002 30.361398, -97.7439789 30.3613526, -97.74391749999999 30.3613535, -97.74392020000001 30.3612994, -97.7439291 30.3612023, -97.743933 30.3611643, -97.7413384 30.3610195, -97.74104509999999 30.3609425, -97.7410364 30.3609253, -97.74091490000001 30.3608962, -97.74079620000001 30.36086, -97.74077160000002 30.3608665, -97.740095 30.360585, -97.7397599 30.3604106, -97.73916389999999 30.3600955, -97.7392286 30.3600096, -97.7388931 30.3598276, -97.73890969999999 30.3596286, -97.73890539999999 30.3589646)","(30.3709271, -97.7518562)","(30.3589646, -97.7389054)"
484530322002,96,0,866.353,"LINESTRING (-97.7560976 30.3652275, -97.75594700000001 30.366072, -97.7572507 30.3667499, -97.75728669999999 30.3668377, -97.757767 30.3671176, -97.7585181 30.3676013, -97.7592709 30.36809310000001, -97.75918830000001 30.3681977, -97.7589289 30.3685495, -97.7589851 30.3686144, -97.75873300000001 30.368989, -97.7584165 30.3694661, -97.758115 30.3699387, -97.75793179999999 30.370226, -97.7577845 30.3704623, -97.75772279999998 30.3705654, -97.7575811 30.3708459)","(30.3652275, -97.7560976)","(30.3708459, -97.7575811)"
484530322002,78,1,1930.374,"LINESTRING (-97.7560976 30.3652275, -97.75654809999999 30.3644645, -97.7570814 30.3637833, -97.757248 30.363224, -97.75641830000001 30.3630314, -97.7566892 30.3626906, -97.757254 30.361899, -97.7576005 30.36128450000001, -97.757677 30.3611861, -97.75698629999999 30.3605339, -97.7541018 30.3589642, -97.7541587 30.3588879, -97.7545239 30.358222, -97.75457590000001 30.35808079999999, -97.7555952 30.3564051, -97.75568890000001 30.3563028, -97.7556575 30.3562229, -97.7563059 30.35555919999999, -97.7562485 30.3555239, -97.75609339999998 30.355439, -97.75482100000001 30.3547947, -97.7549635 30.3545567, -97.755022 30.3544602, -97.7550588 30.3543995, -97.7551217 30.3542973, -97.7551594 30.3542377, -97.7552531 30.3541079, -97.75537 30.3539196, -97.7556902 30.3534312, -97.755537 30.3533428, -97.75557689999999 30.3532778, -97.7557115 30.3530588, -97.7557908 30.3529298, -97.7558884 30.3527741, -97.7559572 30.3526725, -97.75597620000001 30.352627, -97.75605860000002 30.3524863, -97.756156 30.35236470000001)","(30.3652275, -97.7560976)","(30.35236470000001, -97.756156)"
