cbg_id,store_id,rank,distance,geometry,Origin,Destination
60290032091,1,0,1094.102,"LINESTRING (-119.052255 35.291975, -119.052254 35.290888, -119.053122 35.290871, -119.054063 35.290541, -119.054442 35.290847, -119.054912 35.291045, -119.056024 35.291113, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0566025 35.2958378, -119.0565998 35.2959834)","(35.291975, -119.052255)","(35.2959834, -119.05659979999997)"
60290032091,5,1,1250.797,"LINESTRING (-119.052255 35.291975, -119.052254 35.290888, -119.053122 35.290871, -119.054063 35.290541, -119.054442 35.290847, -119.054912 35.291045, -119.056024 35.291113, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0563088 35.2952102, -119.0555129 35.2956139, -119.0555025 35.2958417, -119.0554612 35.2958418, -119.0548272 35.29598959999998, -119.0548233 35.2962315)","(35.291975, -119.052255)","(35.2962315, -119.05482330000001)"
60290032181,1,0,1659.971,"LINESTRING (-119.06168 35.2851525, -119.06168 35.2859057, -119.0607438 35.2859122, -119.0607521 35.286689, -119.0607602 35.2874523, -119.0598087 35.2874585, -119.0591989 35.2874625, -119.0591991 35.2887199, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0566025 35.2958378, -119.0565998 35.2959834)","(35.2851525, -119.06168)","(35.2959834, -119.05659979999997)"
60290032181,5,1,1816.666,"LINESTRING (-119.06168 35.2851525, -119.06168 35.2859057, -119.0607438 35.2859122, -119.0607521 35.286689, -119.0607602 35.2874523, -119.0598087 35.2874585, -119.0591989 35.2874625, -119.0591991 35.2887199, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0563088 35.2952102, -119.0555129 35.2956139, -119.0555025 35.2958417, -119.0554612 35.2958418, -119.0548272 35.29598959999998, -119.0548233 35.2962315)","(35.2851525, -119.06168)","(35.2962315, -119.05482330000001)"
60290032183,4,0,1489.347,"LINESTRING (-119.069664 35.2887923, -119.0721785 35.288838, -119.0744251 35.2888774, -119.0743938 35.2900846, -119.0744034 35.2910094, -119.074407 35.2916358, -119.0744125 35.2924173, -119.0743754 35.2936037, -119.0743869 35.2942078, -119.0745652 35.2948427, -119.0750164 35.2948631, -119.0754776 35.2951529, -119.0755036 35.2955277, -119.0761059 35.2955272, -119.0768793 35.2955343, -119.0773994 35.295539, -119.0775588 35.2955405, -119.0775661 35.2959851, -119.0775712 35.2961139)","(35.2887923, -119.069664)","(35.2961139, -119.0775712)"
60290032183,1,1,1978.967,"LINESTRING (-119.069664 35.2887923, -119.0681023 35.288763, -119.0673647 35.2887494, -119.0672689 35.2887479, -119.0665777 35.2887373, -119.0661 35.28873, -119.0655623 35.2887218, -119.0655195 35.2909523, -119.0648541 35.2909579, -119.0626842 35.2917661, -119.062675 35.2925822, -119.0626646 35.2934361, -119.0616747 35.2934398, -119.061673 35.2952608, -119.0616798 35.295828, -119.0585838 35.295826, -119.0578911 35.2958301, -119.0567916 35.2958366, -119.0566025 35.2958378, -119.0565998 35.2959834)","(35.2887923, -119.069664)","(35.2959834, -119.05659979999997)"
60290032203,1,0,3639.275,"LINESTRING (-119.0521618 35.2669647, -119.0566735 35.2669868, -119.0566634 35.26996970000001, -119.0566639 35.2705515, -119.0566457 35.272566, -119.0566296 35.2742123, -119.0566453 35.2742986, -119.0566487 35.2757304, -119.0566512 35.277117, -119.0566527 35.2774573, -119.0566564 35.2779466, -119.056657 35.278017, -119.0566647 35.2790249, -119.0566651 35.2791478, -119.056669 35.279583, -119.0566778 35.2802157, -119.056679 35.2803537, -119.0566955 35.2814531, -119.0567162 35.2826214, -119.056706 35.2830594, -119.0566961 35.2834942, -119.0566009 35.2837701, -119.056604 35.2843755, -119.0566113 35.2855655, -119.0566995 35.28647520000001, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0566025 35.2958378, -119.0565998 35.2959834)","(35.2669647, -119.0521618)","(35.2959834, -119.05659979999997)"
60290032203,5,1,3795.97,"LINESTRING (-119.0521618 35.2669647, -119.0566735 35.2669868, -119.0566634 35.26996970000001, -119.0566639 35.2705515, -119.0566457 35.272566, -119.0566296 35.2742123, -119.0566453 35.2742986, -119.0566487 35.2757304, -119.0566512 35.277117, -119.0566527 35.2774573, -119.0566564 35.2779466, -119.056657 35.278017, -119.0566647 35.2790249, -119.0566651 35.2791478, -119.056669 35.279583, -119.0566778 35.2802157, -119.056679 35.2803537, -119.0566955 35.2814531, -119.0567162 35.2826214, -119.056706 35.2830594, -119.0566961 35.2834942, -119.0566009 35.2837701, -119.056604 35.2843755, -119.0566113 35.2855655, -119.0566995 35.28647520000001, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0563088 35.2952102, -119.0555129 35.2956139, -119.0555025 35.2958417, -119.0554612 35.2958418, -119.0548272 35.29598959999998, -119.0548233 35.2962315)","(35.2669647, -119.0521618)","(35.2962315, -119.05482330000001)"
60290032101,1,0,2761.539,"LINESTRING (-119.0528466 35.2742271, -119.0529379 35.2742398, -119.0566453 35.2742986, -119.0566487 35.2757304, -119.0566512 35.277117, -119.0566527 35.2774573, -119.0566564 35.2779466, -119.056657 35.278017, -119.0566647 35.2790249, -119.0566651 35.2791478, -119.056669 35.279583, -119.0566778 35.2802157, -119.056679 35.2803537, -119.0566955 35.2814531, -119.0567162 35.2826214, -119.056706 35.2830594, -119.0566961 35.2834942, -119.0566009 35.2837701, -119.056604 35.2843755, -119.0566113 35.2855655, -119.0566995 35.28647520000001, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0566025 35.2958378, -119.0565998 35.2959834)","(35.2742271, -119.05284659999997)","(35.2959834, -119.05659979999997)"
60290032101,5,1,2918.234,"LINESTRING (-119.0528466 35.2742271, -119.0529379 35.2742398, -119.0566453 35.2742986, -119.0566487 35.2757304, -119.0566512 35.277117, -119.0566527 35.2774573, -119.0566564 35.2779466, -119.056657 35.278017, -119.0566647 35.2790249, -119.0566651 35.2791478, -119.056669 35.279583, -119.0566778 35.2802157, -119.056679 35.2803537, -119.0566955 35.2814531, -119.0567162 35.2826214, -119.056706 35.2830594, -119.0566961 35.2834942, -119.0566009 35.2837701, -119.056604 35.2843755, -119.0566113 35.2855655, -119.0566995 35.28647520000001, -119.056672 35.288716, -119.0566729 35.2898467, -119.056674 35.291113, -119.056684 35.2931114, -119.0566123 35.2940392, -119.0566093 35.2945875, -119.0566059 35.2952102, -119.0563088 35.2952102, -119.0555129 35.2956139, -119.0555025 35.2958417, -119.0554612 35.2958418, -119.0548272 35.29598959999998, -119.0548233 35.2962315)","(35.2742271, -119.05284659999997)","(35.2962315, -119.05482330000001)"
