cbg_id,store_id,rank,distance,geometry,Origin,Destination
245100101001,10,0,816.055,"LINESTRING (-76.5742315 39.2832755, -76.5742176 39.28288559999999, -76.5741786 39.28227659999999, -76.57485389999999 39.2822501, -76.575461 39.2822211, -76.5755501 39.2822169, -76.5756307 39.2822142, -76.5756262 39.2821395, -76.57620180000001 39.2821161, -76.5762505 39.282113, -76.5763022 39.2821095, -76.57641839999999 39.2821043, -76.57669610000001 39.2820934, -76.57669490000001 39.2820578, -76.5768573 39.2820497, -76.57681239999999 39.2812218, -76.5769145 39.2812167, -76.5769914 39.2812161, -76.57699049999999 39.2811438, -76.57739719999999 39.28112869999999, -76.57781180000001 39.2811133, -76.57789200000001 39.2811103, -76.5779557 39.2811079, -76.5782026 39.2810987, -76.57830170000001 39.2810951, -76.5784051 39.2810924, -76.5788955 39.2810721, -76.57909960000001 39.2810669, -76.57925419999999 39.2810631, -76.57924389999999 39.2808728, -76.5792349 39.2807072, -76.5792266 39.2805532, -76.5797184 39.2805251, -76.5798685 39.2804085, -76.57956919999999 39.2802248)","(39.2832755, -76.5742315)","(39.2802248, -76.5795692)"
245100101001,32,1,982.421,"LINESTRING (-76.5742315 39.2832755, -76.57430050000001 39.2842952, -76.5743645 39.2853195, -76.5744126 39.2860387, -76.5744225 39.2862533, -76.57440389999999 39.2863325, -76.57438500000001 39.286415, -76.5744108 39.2866856, -76.5734726 39.28750789999999, -76.5734245 39.2875057, -76.5731073 39.287491, -76.573033 39.2874926, -76.573027 39.28743, -76.5729267 39.28743390000001, -76.57264170000001 39.2874445, -76.572396 39.2874537, -76.57232070000001 39.2874565, -76.5722524 39.2874591, -76.5719857 39.2874691, -76.57168369999999 39.2874803, -76.57159969999999 39.28748359999999, -76.5714892 39.2874878, -76.5711615 39.2875001, -76.57089240000001 39.2875101, -76.5708121 39.2875132, -76.5708152 39.2875607, -76.5707391 39.2875707, -76.57047110000001 39.2875829, -76.5701377 39.2875926, -76.5700365 39.2875937, -76.5699413 39.2875961, -76.56958469999999 39.287608, -76.5691968 39.287623, -76.5692576 39.2884935)","(39.2832755, -76.5742315)","(39.2884935, -76.5692576)"
245100101002,10,0,601.011,"LINESTRING (-76.5740263 39.2812541, -76.574117 39.2812507, -76.5747791 39.2812261, -76.5751133 39.2812137, -76.5754031 39.2812029, -76.5754834 39.2811999, -76.5755679 39.28119679999998, -76.5758536 39.2811861, -76.5761945 39.2811734, -76.5765037 39.2811619, -76.57679400000001 39.2811511, -76.5769119 39.2811468, -76.57699049999999 39.2811438, -76.57739719999999 39.28112869999999, -76.57781180000001 39.2811133, -76.57789200000001 39.2811103, -76.5779557 39.2811079, -76.5782026 39.2810987, -76.57830170000001 39.2810951, -76.5784051 39.2810924, -76.5788955 39.2810721, -76.57909960000001 39.2810669, -76.57925419999999 39.2810631, -76.57924389999999 39.2808728, -76.5792349 39.2807072, -76.5792266 39.2805532, -76.5797184 39.2805251, -76.5798685 39.2804085, -76.57956919999999 39.2802248)","(39.2812541, -76.5740263)","(39.2802248, -76.5795692)"
245100101002,6,1,1001.901,"LINESTRING (-76.5740263 39.2812541, -76.57400699999999 39.2809524, -76.5739894 39.2806772, -76.573975 39.28045310000001, -76.5739715 39.2803978, -76.57396749999999 39.2803357, -76.5739557 39.2801498, -76.5739526 39.2801015, -76.5739485 39.2800374, -76.5739337 39.2798067, -76.5739166 39.2795389, -76.5739019 39.2793108, -76.5738972 39.2792369, -76.57389209999999 39.2791567, -76.57387690000002 39.2789194, -76.5738372 39.2782984, -76.5738205 39.278038, -76.5737568 39.2780173, -76.57249710000001 39.2777309, -76.5724898 39.2776559, -76.572489 39.2775399, -76.5723995 39.2775186, -76.57232279999999 39.2775021, -76.5710835 39.2772348, -76.5709726 39.2772109, -76.570837 39.2771886, -76.5694949 39.2770289, -76.56934270000001 39.2770222, -76.56924549999999 39.2770225, -76.5684176 39.277025, -76.5674824 39.2770565, -76.5674762 39.276997, -76.56679 39.2770171)","(39.2812541, -76.5740263)","(39.2770171, -76.56679)"
245100101003,10,0,638.174,"LINESTRING (-76.5735287 39.2789313, -76.57380379999999 39.2789219, -76.5738194 39.2791604, -76.57389209999999 39.2791567, -76.57397709999999 39.2791524, -76.5740232 39.27915, -76.57463850000001 39.2791247, -76.5752584 39.2790992, -76.57534699999999 39.2790822, -76.5754324 39.2790659, -76.5755985 39.2791938, -76.5756387 39.2791938, -76.5757782 39.2791896, -76.5758077 39.2791855, -76.57598900000001 39.2793164, -76.5759958 39.27936950000002, -76.57607729999999 39.27936609999998, -76.5760657 39.2791481, -76.57612760000001 39.2791458, -76.57676619999999 39.2791215, -76.57713440000001 39.2791384, -76.5771384 39.2791792, -76.57728090000001 39.2791877, -76.5775613 39.27917630000001, -76.5775915 39.2791448, -76.57809570000001 39.279449, -76.5783823 39.2796135, -76.5784274 39.2796418, -76.578501 39.2796876, -76.5785714 39.2797292, -76.57956919999999 39.2802248)","(39.2789313, -76.5735287)","(39.2802248, -76.5795692)"
245100101003,6,1,746.942,"LINESTRING (-76.5735287 39.2789313, -76.573179 39.2789483, -76.57256219999999 39.2789731, -76.57255720000001 39.2789003, -76.5724962 39.2780087, -76.57249710000001 39.2777309, -76.5724898 39.2776559, -76.572489 39.2775399, -76.5723995 39.2775186, -76.57232279999999 39.2775021, -76.5710835 39.2772348, -76.5709726 39.2772109, -76.570837 39.2771886, -76.5694949 39.2770289, -76.56934270000001 39.2770222, -76.56924549999999 39.2770225, -76.5684176 39.277025, -76.5674824 39.2770565, -76.5674762 39.276997, -76.56679 39.2770171)","(39.2789313, -76.5735287)","(39.2770171, -76.56679)"
245100102001,42,0,461.178,"LINESTRING (-76.57249109999999 39.29013779999999, -76.5725541 39.2911377, -76.57255859999999 39.2912093, -76.57249539999999 39.29121179999999, -76.5722243 39.2912227, -76.5719252 39.2912346, -76.57181850000001 39.2912389, -76.5717337 39.29124209999998, -76.57142589999999 39.2912536, -76.5711445 39.2912642, -76.5710742 39.2912668, -76.5710782 39.29132989999998, -76.5710924 39.2915573, -76.57111010000001 39.291839, -76.569873 39.2918843, -76.5697895 39.2918874, -76.5694896 39.2919023, -76.5693661 39.2919085)","(39.29013779999999, -76.5724911)","(39.2919085, -76.5693661)"
245100102001,32,1,465.538,"LINESTRING (-76.57249109999999 39.29013779999999, -76.5724866 39.2900723, -76.57241569999999 39.2900751, -76.57216219999999 39.29008519999999, -76.5718548 39.2900975, -76.5717514 39.2901016, -76.571662 39.2901053, -76.57135239999999 39.2901175, -76.5710679 39.2901288, -76.57100509999999 39.2901314, -76.5709064 39.2901353, -76.5706181 39.2901453, -76.5703054 39.2901567, -76.57021330000001 39.2901599, -76.5701091 39.2901648, -76.56974820000001 39.2901815, -76.56963210000001 39.2885584, -76.56925339999999 39.2885721, -76.5692576 39.2884935)","(39.29013779999999, -76.5724911)","(39.2884935, -76.5692576)"
245100102002,32,0,484.627,"LINESTRING (-76.57225529999999 39.286423, -76.5721793 39.2864259, -76.5719263 39.2864358, -76.57162370000002 39.2864481, -76.5715338 39.286451, -76.5714061 39.2864558, -76.5708253 39.28647879999998, -76.57074590000001 39.2864816, -76.5706627 39.28648470000001, -76.5700636 39.2865076, -76.57006269999999 39.2865883, -76.5699796 39.2865909, -76.5699978 39.2869175, -76.570003 39.2870111, -76.5700271 39.287444, -76.56993 39.2874481, -76.5695748 39.2874729, -76.5695817 39.2875475, -76.56958469999999 39.287608, -76.5691968 39.287623, -76.5692576 39.2884935)","(39.286423, -76.5722553)","(39.2884935, -76.5692576)"
245100102002,25,1,557.825,"LINESTRING (-76.57225529999999 39.286423, -76.5721793 39.2864259, -76.5719263 39.2864358, -76.57162370000002 39.2864481, -76.5715338 39.286451, -76.5714061 39.2864558, -76.5708253 39.28647879999998, -76.57074590000001 39.2864816, -76.5706627 39.28648470000001, -76.5700636 39.2865076, -76.56997509999999 39.2865112, -76.5698629 39.2865155, -76.5694951 39.2865296, -76.5695011 39.2866031, -76.5691317 39.286622, -76.56909240000002 39.286621, -76.5690195 39.2866322, -76.5690525 39.2870426, -76.568967 39.2870461, -76.5680304 39.2870848, -76.5673228 39.2871186, -76.5673652 39.2875021, -76.56733590000002 39.287532, -76.56720919999999 39.287553, -76.56721400000001 39.2876236, -76.56710579999999 39.2876282)","(39.286423, -76.5722553)","(39.2876282, -76.5671058)"
