cbg_id,store_id,rank,distance,geometry,Origin,Destination
160010007013,19,0,1851.55,"LINESTRING (-116.179252 43.613084, -116.1793801 43.6128678, -116.1816578 43.6153154, -116.1819781 43.6154709, -116.1823025 43.6154189, -116.183321 43.61514119999999, -116.1834584 43.615106, -116.1843691 43.6148666, -116.1859839 43.6144602, -116.1860344 43.6144476, -116.1860946 43.614432, -116.1875058 43.6140627, -116.1886614 43.6137443, -116.188879 43.6136844, -116.1888717 43.6135655, -116.1888666 43.6134731, -116.1888666 43.6133786, -116.1888696 43.6130205, -116.1888742 43.61276580000001, -116.1893215 43.6124146, -116.1896146 43.6121064, -116.1896863 43.6120326, -116.1897629 43.611953, -116.189709 43.6119189, -116.1902767 43.6113295, -116.1903244 43.6112799, -116.1907999 43.61074940000001, -116.1907692 43.6107328, -116.1908042 43.610689, -116.1908665 43.6106014, -116.1908959 43.6106088, -116.191951 43.6101527, -116.1920822 43.6100102, -116.1920837 43.6098306, -116.1925657 43.609538, -116.1931962 43.609502, -116.1932427 43.6094431, -116.193244 43.6093781, -116.1933648 43.60937839999998, -116.1933698 43.6091121, -116.1933651 43.6085537, -116.1933669 43.60810750000001, -116.1933641 43.6079661, -116.1934344 43.6078441, -116.1933277 43.60779009999999)","(43.613084, -116.179252)","(43.60779009999999, -116.19332769999998)"
160010007013,38,1,2202.911,"LINESTRING (-116.179252 43.613084, -116.1793801 43.6128678, -116.1816578 43.6153154, -116.1819781 43.6154709, -116.181822 43.615582, -116.1819103 43.6156678, -116.1827718 43.6166524, -116.1838365 43.6173652, -116.1856204 43.6176269, -116.1856924 43.6187932, -116.1861506 43.61887639999998, -116.1862166 43.6190091, -116.1863207 43.6189718, -116.1864559 43.6189233, -116.1867167 43.6189125, -116.1872859 43.6187619, -116.1873972 43.6187159, -116.1874568 43.61874120000002, -116.1875407 43.6187218, -116.1881987 43.6187279, -116.1891795 43.6187609, -116.1892768 43.6187685, -116.1894909 43.618828, -116.1899695 43.6191659, -116.1904736 43.6194072, -116.190605 43.619424, -116.191247 43.61943279999998, -116.192172 43.6197579, -116.1922576 43.6197834, -116.1934898 43.6199992, -116.1938052 43.6200089, -116.19397 43.620014, -116.194249 43.619725, -116.194309 43.619759, -116.1951646 43.6203684, -116.1952466 43.6203455, -116.1952789 43.6204144, -116.1953157 43.6204973, -116.1954767 43.6204702, -116.1956478 43.6207373, -116.196432 43.621144, -116.19658 43.621219, -116.1970756 43.6214714, -116.1975194 43.621691, -116.197611 43.621737, -116.1977566 43.6218128, -116.1985433 43.6222218, -116.1986897 43.6222981)","(43.613084, -116.179252)","(43.6222981, -116.19868970000002)"
160010015001,7,0,834.589,"LINESTRING (-116.2248628 43.5915759, -116.226051 43.5915784, -116.2260578 43.5903288, -116.2260631 43.5899162, -116.2261101 43.589831, -116.2267443 43.5898287, -116.226945 43.589828, -116.2272124 43.5898271, -116.2273432 43.5898266, -116.2279829 43.5898243, -116.2285281 43.5898224, -116.2286206 43.5898226, -116.2287276 43.5898217, -116.2296682 43.5898183, -116.2299841 43.5898172, -116.2300588 43.5898169, -116.2303966 43.5898157, -116.2306302 43.5898149, -116.2307336 43.5898145, -116.2311012 43.5898132, -116.2313141 43.5898125, -116.2315071 43.5898118, -116.2315922 43.58981150000001, -116.2316974 43.58981109999998, -116.2318803 43.5898105, -116.2325732 43.589808, -116.2328623 43.589807)","(43.5915759, -116.2248628)","(43.589807, -116.23286229999998)"
160010015001,8,1,1028.045,"LINESTRING (-116.2248628 43.5915759, -116.226051 43.5915784, -116.2260578 43.5903288, -116.2260631 43.5899162, -116.2261101 43.589831, -116.2267443 43.5898287, -116.226945 43.589828, -116.2272124 43.5898271, -116.2273432 43.5898266, -116.2279829 43.5898243, -116.2285281 43.5898224, -116.2286206 43.5898226, -116.2287276 43.5898217, -116.2296682 43.5898183, -116.2299841 43.5898172, -116.2300588 43.5898169, -116.2303966 43.5898157, -116.2306302 43.5898149, -116.2307336 43.5898145, -116.2311012 43.5898132, -116.2313141 43.5898125, -116.2315071 43.5898118, -116.2315922 43.58981150000001, -116.2316974 43.58981109999998, -116.2318803 43.5898105, -116.2325732 43.589808, -116.2328623 43.589807, -116.2335023 43.5898047, -116.2336332 43.5898043, -116.2337339 43.5898038, -116.2338501 43.5898035, -116.2346099 43.5898008, -116.2352643 43.5897985)","(43.5915759, -116.2248628)","(43.5897985, -116.2352643)"
160010015002,15,0,1268.391,"LINESTRING (-116.2222119 43.59632190000001, -116.220638 43.594373, -116.2187583 43.5943814, -116.2187374 43.5935832, -116.2186435 43.5935819, -116.218559 43.5935783, -116.2185346 43.59354, -116.2162181 43.5935472, -116.2162002 43.5934918, -116.2154618 43.5934949, -116.2153448 43.5934934, -116.2143482 43.59350289999998, -116.2143505 43.5934247, -116.2138245 43.593401, -116.2138171 43.5929666, -116.2138198 43.5925075, -116.2138236 43.59187020000001, -116.2136916 43.5918689, -116.2136905 43.5916007, -116.2136908 43.59147639999998, -116.213692 43.5912879, -116.2136928 43.5911111, -116.2136931 43.5909164, -116.2136943 43.59069630000001)","(43.596321900000014, -116.22221190000002)","(43.59069630000001, -116.21369429999999)"
160010015002,6,1,1427.257,"LINESTRING (-116.2222119 43.59632190000001, -116.220638 43.594373, -116.2187583 43.5943814, -116.2187374 43.5935832, -116.2186435 43.5935819, -116.2186331 43.5934763, -116.218637 43.5933695, -116.2186356 43.5926334, -116.21858 43.5926287, -116.2185768 43.5925693, -116.2185739 43.5925171, -116.2185656 43.5925121, -116.2185629 43.5917875, -116.2185574 43.591734, -116.2166848 43.5917389, -116.2166963 43.5899649, -116.216697 43.5898644, -116.2161532 43.5898663, -116.215606 43.5898682, -116.2151078 43.5898706, -116.2151078 43.5897739, -116.2151079 43.5896268, -116.215108 43.5895163, -116.214462 43.58952149999999, -116.2142363 43.5893551, -116.2141571 43.589347, -116.2141562 43.5891868, -116.214028 43.5891876, -116.2138529 43.5891887, -116.2136913 43.5891898)","(43.596321900000014, -116.22221190000002)","(43.5891898, -116.21369129999998)"
160010019003,11,0,1495.239,"LINESTRING (-116.2797206 43.5966167, -116.2785837 43.5966012, -116.2784622 43.5965977, -116.278462 43.596535, -116.2773046 43.5965331, -116.2768002 43.59653229999999, -116.275537 43.5965303, -116.2750328 43.59652950000001, -116.2750362 43.5964784, -116.2744236 43.5964767, -116.2743198 43.5964649, -116.2742964 43.595855, -116.2742947 43.5956946, -116.274211 43.5956952, -116.2742053 43.5952419, -116.2742071 43.5948999, -116.2740852 43.5949002, -116.2739982 43.594898, -116.2739976 43.5948171, -116.2739827 43.59415370000001, -116.27378 43.5934141, -116.2736672 43.59331860000001, -116.2736951 43.592648, -116.273602 43.5926431, -116.2724738 43.5915616, -116.2723868 43.5915358, -116.2716244 43.5913159, -116.2715255 43.5912903, -116.2714533 43.5912716, -116.270885 43.5906496, -116.2708904 43.5905764, -116.270895 43.5904848, -116.270811 43.5904822, -116.2708135 43.5904287, -116.2707465 43.5904289, -116.270605 43.5904292, -116.2705278 43.5903234, -116.2705288 43.5902607, -116.2705223 43.5901447, -116.2701076 43.5901373, -116.270066 43.590137, -116.2698315 43.5901323, -116.2693421 43.5901249, -116.2692901 43.59012389999999, -116.2690651 43.5901218, -116.26877 43.5901172)","(43.5966167, -116.27972060000002)","(43.5901172, -116.26877)"
160010019003,5,1,1762.207,"LINESTRING (-116.2797206 43.5966167, -116.2785837 43.5966012, -116.2784622 43.5965977, -116.278462 43.596535, -116.2773046 43.5965331, -116.2768002 43.59653229999999, -116.275537 43.5965303, -116.2750328 43.59652950000001, -116.2750362 43.5964784, -116.2744236 43.5964767, -116.2743198 43.5964649, -116.2742964 43.595855, -116.2742947 43.5956946, -116.274211 43.5956952, -116.2742053 43.5952419, -116.2742071 43.5948999, -116.2742042 43.5947593, -116.2741959 43.5940036, -116.2741886 43.5932998, -116.2741156 43.5928089, -116.2741166 43.5926788, -116.2741208 43.5921494, -116.2741348 43.5916877, -116.274134 43.590484, -116.2741346 43.590383, -116.2741357 43.5902036, -116.2741368 43.5900202, -116.2741373 43.5899434, -116.2741383 43.5888166, -116.2741532 43.5885661, -116.274153 43.5878333, -116.2741512 43.587687, -116.2742584 43.5875316, -116.2742517 43.5872189, -116.2742416 43.58666680000001, -116.2742372 43.5865158, -116.2742221 43.5857358, -116.2740858 43.5855127, -116.2740036 43.5855121, -116.2740014 43.5850216, -116.2740032 43.5849139, -116.2740861 43.5849122)","(43.5966167, -116.27972060000002)","(43.5849122, -116.27408610000002)"
160010020001,23,0,1113.506,"LINESTRING (-116.253352 43.6100923, -116.2536628 43.6100952, -116.2536469 43.6116233, -116.251552 43.611631, -116.250299 43.611628, -116.2495849 43.61162719999999, -116.2488284 43.61162639999998, -116.248449 43.611626, -116.2474376 43.6116227, -116.2467437 43.6116184, -116.2464292 43.61161939999999, -116.245877 43.6116176, -116.2449123 43.6116153, -116.2443812 43.6116142, -116.2436474 43.6116125, -116.2436492 43.6115187, -116.2436555 43.6115138, -116.2436326 43.6110543, -116.2434547 43.6110554, -116.2433711 43.6110547, -116.2430019 43.6110591)","(43.6100923, -116.253352)","(43.6110591, -116.24300189999995)"
160010020001,24,1,1150.723,"LINESTRING (-116.253352 43.6100923, -116.2536628 43.6100952, -116.2536469 43.6116233, -116.251552 43.611631, -116.250299 43.611628, -116.2495849 43.61162719999999, -116.2488284 43.61162639999998, -116.248449 43.611626, -116.2474376 43.6116227, -116.2467437 43.6116184, -116.2464292 43.61161939999999, -116.245877 43.6116176, -116.2458797 43.6116938, -116.2449197 43.611708, -116.2443806 43.6117226, -116.2442425 43.611724, -116.2437276 43.6117239, -116.243657 43.6117436, -116.243645 43.6117354, -116.2434512 43.61173260000001, -116.2433508 43.6117311, -116.2433427 43.6117383, -116.2427369 43.611721, -116.242568 43.6117203, -116.24238 43.6117185, -116.2419082 43.6117144)","(43.6100923, -116.253352)","(43.6117144, -116.2419082)"
