cbg_id,store_id,rank,distance,geometry,Origin,Destination
360290069013,36,0,409.703,"LINESTRING (-78.8949051 42.9114457, -78.8949786 42.9114081, -78.89592690000001 42.91092369999998, -78.8960051 42.9108838, -78.89607479999999 42.9108482, -78.8970434 42.9103407, -78.8956761 42.9088839)","(42.9114457, -78.8949051)","(42.9088839, -78.8956761)"
360290069013,48,1,470.35,"LINESTRING (-78.8949051 42.9114457, -78.8949492 42.9114924, -78.895081 42.91142519999999, -78.8951342 42.9114796, -78.8959959 42.9123608, -78.8960233 42.9123881, -78.89607959999999 42.9124502, -78.8962569 42.9127824, -78.8962556 42.9128364, -78.8962465 42.912911, -78.8961963 42.9133212, -78.89616239999999 42.91359869999999, -78.896156 42.913651, -78.89614640000001 42.9137335, -78.8960692 42.9143969, -78.89606259999999 42.9144547, -78.8960568 42.9145128, -78.89599149999999 42.9150857, -78.8959103 42.9150908, -78.8959024 42.9151443)","(42.9114457, -78.8949051)","(42.9151443, -78.8959024)"
360290069014,36,0,323.564,"LINESTRING (-78.89306689999999 42.9078823, -78.8944496 42.9093519, -78.8944638 42.9093576, -78.894502 42.9093952, -78.8945502 42.9094426, -78.8945947 42.9094198, -78.8946692 42.9093815, -78.8946921 42.9093913, -78.8956761 42.9088839)","(42.9078823, -78.8930669)","(42.9088839, -78.8956761)"
360290069014,32,1,355.514,"LINESTRING (-78.89306689999999 42.9078823, -78.8931376 42.907854, -78.8932332 42.9077973, -78.8941944 42.9073169, -78.89420699999999 42.9072847, -78.8942907 42.9072416, -78.8943189 42.9072271, -78.89435229999999 42.9072349, -78.895459 42.9066597, -78.89555369999999 42.906612, -78.89560120000002 42.906587, -78.8965365 42.90610809999998, -78.8965453 42.9060928, -78.8965008 42.9060401)","(42.9078823, -78.8930669)","(42.9060401, -78.8965008)"
360290070001,35,0,48.259,"LINESTRING (-78.8988827 42.9091062, -78.89877130000001 42.90898760000001, -78.8990968 42.9088224)","(42.9091062, -78.8988827)","(42.9088224, -78.8990968)"
360290070001,34,1,120.565,"LINESTRING (-78.8988827 42.9091062, -78.89877130000001 42.90898760000001, -78.8990968 42.9088224, -78.8992025 42.9087688, -78.8987695 42.908312)","(42.9091062, -78.8988827)","(42.908312, -78.8987695)"
360290070003,32,0,216.113,"LINESTRING (-78.89499790000001 42.9044553, -78.8950598 42.9045187, -78.89505749999999 42.9045398, -78.89516720000002 42.9046561, -78.89521019999999 42.9047017, -78.8964316 42.9059945, -78.8964634 42.9059957, -78.8965008 42.9060401)","(42.9044553, -78.8949979)","(42.9060401, -78.8965008)"
360290070003,34,1,536.371,"LINESTRING (-78.89499790000001 42.9044553, -78.8950598 42.9045187, -78.8951553 42.9044738, -78.8953193 42.9046482, -78.8965484 42.9059462, -78.896592 42.905994, -78.89664089999999 42.9060461, -78.89802960000002 42.9075276, -78.89807020000001 42.9075717, -78.89811520000001 42.9076197, -78.8987695 42.908312)","(42.9044553, -78.8949979)","(42.908312, -78.8987695)"
360290071023,9,0,528.993,"LINESTRING (-78.8824456 42.894143, -78.8813219 42.89292910000001, -78.88136969999999 42.8929063, -78.88134909999999 42.8928305, -78.8813342 42.8927763, -78.8813364 42.8927605, -78.8820439 42.89240010000001, -78.8820558 42.89240219999999, -78.8821317 42.8923632, -78.8822036 42.8923263, -78.8822036 42.8923209, -78.8831131 42.8918628, -78.88308979999999 42.8918382, -78.88210100000001 42.8907581, -78.8822133 42.8907039, -78.8821477 42.8906341)","(42.894143, -78.8824456)","(42.8906341, -78.8821477)"
360290071023,17,1,534.554,"LINESTRING (-78.8824456 42.894143, -78.8825071 42.8941094, -78.8829004 42.8942875, -78.88305800000001 42.8942079, -78.8835193 42.8939749, -78.8835814 42.8940247, -78.883636 42.8940685, -78.8837047 42.8940332, -78.88509630000001 42.8955105, -78.8851366 42.8955535, -78.8851885 42.8956083, -78.88524390000001 42.8955812, -78.8852706 42.8955853, -78.8856315 42.8954011, -78.885716 42.8954899, -78.8862312 42.896046, -78.8864471 42.8959457, -78.88669179999999 42.895832, -78.88680359999999 42.8957801)","(42.894143, -78.8824456)","(42.8957801, -78.8868036)"
360290071022,9,0,242.708,"LINESTRING (-78.8798097 42.8913829, -78.8798781 42.8913426, -78.87994519999999 42.891299, -78.8799633 42.8913044, -78.8803362 42.8911196, -78.8806774 42.8909505, -78.8806865 42.8909319, -78.880759 42.8909043, -78.8808294 42.8908776, -78.88084480000001 42.8908701, -78.88177810000001 42.8904054, -78.8818622 42.8904972, -78.8820296 42.8906801, -78.8821477 42.8906341)","(42.8913829, -78.8798097)","(42.8906341, -78.8821477)"
