cbg_id,store_id,rank,distance,geometry,Origin,Destination
40135230021,29,0,795.026,"LINESTRING (-111.8459634 33.3173768, -111.8455301 33.3173861, -111.8455345 33.3177658, -111.8455387 33.3181321, -111.8451068 33.31813919999998, -111.8446718 33.31814640000001, -111.8446756 33.3185169, -111.8446804 33.3189856, -111.8445668 33.3194737, -111.8445226 33.3198435, -111.8445226 33.3202223, -111.8430189 33.3206304, -111.8424276 33.3206296, -111.8423918 33.3206296, -111.841833 33.3206289, -111.841615 33.3206297, -111.841624 33.3207916, -111.8416267 33.3210299)","(33.3173768, -111.8459634)","(33.3210299, -111.8416267)"
40135230021,30,1,942.683,"LINESTRING (-111.8459634 33.3173768, -111.8455301 33.3173861, -111.8455345 33.3177658, -111.8455387 33.3181321, -111.8451068 33.31813919999998, -111.8446718 33.31814640000001, -111.8446756 33.3185169, -111.8446804 33.3189856, -111.8445668 33.3194737, -111.8445226 33.3198435, -111.8445226 33.3202223, -111.8430189 33.3206304, -111.8424276 33.3206296, -111.8423918 33.3206296, -111.8423922 33.32087279999999, -111.8423909 33.3210514, -111.8423927 33.3211923, -111.842393 33.3214027, -111.8421687 33.3214086, -111.8421762 33.3219408, -111.8419732 33.3219429, -111.8419775 33.3223716, -111.8416382 33.3224)","(33.3173768, -111.8459634)","(33.3224, -111.8416382)"
40135230051,31,0,874.8,"LINESTRING (-111.8664668 33.3244697, -111.8663322 33.3244693, -111.8635773 33.3244609, -111.8634701 33.3244605, -111.8632646 33.3244599, -111.8629669 33.3243762, -111.8626801 33.324229, -111.8597107 33.324191, -111.8591898 33.3241083, -111.8592045 33.323141, -111.8592121 33.322409)","(33.3244697, -111.8664668)","(33.322409, -111.8592121)"
40135230051,27,1,1591.641,"LINESTRING (-111.8664668 33.3244697, -111.8663322 33.3244693, -111.8671764 33.3266057, -111.8672424 33.3266578, -111.8674814 33.3247242, -111.867778 33.3245733, -111.8677826 33.3249318, -111.8683157 33.3249311, -111.871466 33.3242176, -111.8721264 33.3239618, -111.8723834 33.32337420000001, -111.8728965 33.3227764, -111.8734497 33.3221027, -111.8736022 33.3216514, -111.8736129 33.3214897, -111.8738798 33.3214879, -111.8738817 33.3213438, -111.8741789 33.3209046, -111.874265 33.3209041, -111.8744714 33.320903, -111.8744653 33.3206451, -111.874726 33.3206456)","(33.3244697, -111.8664668)","(33.3206456, -111.874726)"
40135230052,32,0,1247.803,"LINESTRING (-111.8726636 33.3305393, -111.8736506 33.3305464, -111.8736549 33.3309438, -111.8736592 33.3313353, -111.8736047 33.3317152, -111.8734704 33.3319376, -111.8725097 33.3323706, -111.8725267 33.33240450000001, -111.8726848 33.3327374, -111.8728507 33.33309220000001, -111.8728605 33.3331136, -111.8729295 33.33340230000001, -111.8729617 33.33363, -111.8729628 33.3347646, -111.8729638 33.335129, -111.8735964 33.3351312, -111.8736684 33.3351331, -111.8743935 33.3351551, -111.8753832 33.3352293, -111.8762131 33.3352336, -111.876335 33.33523310000001, -111.876542 33.3352324, -111.8766841 33.3352322, -111.8775242 33.3352101, -111.8775279 33.3355069, -111.8773785 33.3355057, -111.8768092 33.3357407, -111.8767865 33.3358485, -111.8765421 33.3358494)","(33.3305393, -111.8726636)","(33.3358494, -111.8765421)"
40135230052,26,1,1582.758,"LINESTRING (-111.8726636 33.3305393, -111.8736506 33.3305464, -111.8736559 33.3301691, -111.8736935 33.3297719, -111.8741092 33.3298392, -111.8751612 33.3298938, -111.8756236 33.3299025, -111.8764275 33.3299175, -111.8764251 33.3284838, -111.8764247 33.3282866, -111.876423 33.3273823, -111.876422 33.3272727, -111.8764186 33.3259109, -111.8764171 33.3254468, -111.8764151 33.3248586, -111.876413 33.3242274, -111.8764128 33.3241323, -111.8764111 33.32338089999999, -111.8764097 33.32313820000001, -111.8764066 33.3221617, -111.8764058 33.3220819, -111.8764075 33.32147290000001, -111.8764043 33.320787, -111.876257 33.3206463, -111.876256 33.320504, -111.8752831 33.320502)","(33.3305393, -111.8726636)","(33.320502, -111.8752831)"
40134222091,34,0,894.103,"LINESTRING (-111.8547929 33.3461885, -111.8575411 33.3461902, -111.8583813 33.3465483, -111.8590653 33.3465467, -111.8590888 33.3470497, -111.8590099 33.347788, -111.8587803 33.3477831, -111.8587719 33.3484339, -111.8587648 33.3489807, -111.8587609 33.3490712, -111.8583055 33.3494366, -111.8581265 33.3494363, -111.8579142 33.3494641, -111.857744 33.349463, -111.8577443 33.3496557)","(33.3461885, -111.8547929)","(33.3496557, -111.8577443)"
40134222091,33,1,1385.701,"LINESTRING (-111.8547929 33.3461885, -111.8547435 33.3466133, -111.8543159 33.3466345, -111.8543159 33.3462274, -111.8543159 33.3457956, -111.8543039 33.3454522, -111.8542902 33.3450571, -111.8542881 33.3447083, -111.8542816 33.3435944, -111.8542775 33.3432428, -111.854273 33.34285590000001, -111.8532355 33.3429338, -111.8531495 33.3425447, -111.8530788 33.3421866, -111.8527637 33.3408629, -111.852719 33.3406342, -111.8525678 33.3395413, -111.8526937 33.3391129, -111.8528252 33.3387828, -111.8529042 33.3386025, -111.8530814 33.3381319, -111.8532295 33.3377526, -111.8533678 33.3373809, -111.8534683 33.3371065, -111.8537293 33.3371731, -111.8538383 33.3371759, -111.8540312 33.3371809, -111.8542347 33.3371862, -111.8544403 33.3371915, -111.8546405 33.3371967)","(33.3461885, -111.8547929)","(33.3371967, -111.8546405)"
40134222151,35,0,1789.129,"LINESTRING (-111.8681958 33.3578026, -111.8705561 33.3573796, -111.8714402 33.3573724, -111.8724749 33.3574925, -111.8725372 33.357482, -111.8726342 33.35680450000001, -111.8764869 33.3567546, -111.8765925 33.3567528, -111.8765351 33.356312, -111.8765292 33.3560779, -111.8765262 33.3555782, -111.8765217 33.3548287, -111.876518 33.354347, -111.8765162 33.3539089, -111.876515 33.35379729999999, -111.8765118 33.35333459999998, -111.8765068 33.3526997, -111.876496 33.3517007, -111.876493 33.3515654, -111.8765543 33.3512213, -111.8765751 33.3505983, -111.8765746 33.3497058, -111.8763905 33.3497204, -111.8764004 33.3504339)","(33.3578026, -111.8681958)","(33.3504339, -111.8764004)"
40134222151,34,1,2330.88,"LINESTRING (-111.8681958 33.3578026, -111.8673976 33.3578026, -111.8674061 33.35816820000002, -111.866548 33.3582804, -111.8638613 33.3588206, -111.8638527 33.3598672, -111.863003 33.3598672, -111.861523 33.3600038, -111.8606936 33.3601493, -111.8590906 33.3601977, -111.8590902 33.3597848, -111.8590925 33.3589196, -111.8590933 33.3586346, -111.8590934 33.3586075, -111.8590929 33.3580413, -111.859092 33.357388, -111.8590937 33.3571061, -111.8590956 33.3569685, -111.8591639 33.3554947, -111.859171 33.354029, -111.859119 33.353208, -111.8591211 33.3520241, -111.8591207 33.35172810000001, -111.8591205 33.3513171, -111.8591996 33.3508803, -111.8592083 33.3504539, -111.85922 33.3498927, -111.8590281 33.3498898, -111.8589247 33.3498096, -111.8589257 33.3496537, -111.8577443 33.3496557)","(33.3578026, -111.8681958)","(33.3496557, -111.8577443)"
40135230053,33,0,1320.072,"LINESTRING (-111.8641062 33.3318444, -111.863937 33.3321837, -111.8637629 33.33253280000002, -111.8633338 33.3323607, -111.8627587 33.3328699, -111.8624068 33.3331065, -111.8621751 33.3333073, -111.8619032 33.333587, -111.8618746 33.3336372, -111.8618192 33.3337297, -111.8615185 33.3344471, -111.8614679 33.3351069, -111.8611339 33.3351046, -111.8606539 33.3351012, -111.8606009 33.3351009, -111.8600459 33.335097, -111.8593079 33.3350919, -111.85911 33.3350905, -111.8588897 33.3350861, -111.8585191 33.3350938, -111.858071 33.3351022, -111.858063 33.3354443, -111.8580522 33.3358868, -111.8578338 33.335883, -111.8578307 33.3362127, -111.8577533 33.3361998, -111.8575537 33.3361555, -111.8573431 33.336138, -111.8571281 33.3361333, -111.8568978 33.3361529, -111.8566758 33.3361742, -111.856467 33.3366571, -111.8563014 33.3367282, -111.8561534 33.3368799, -111.8559024 33.337128, -111.8556948 33.3372237, -111.855499 33.3372222, -111.8552916 33.3371884, -111.8550549 33.3371796, -111.854844 33.3371718, -111.8546405 33.3371967)","(33.3318444, -111.86410619999998)","(33.3371967, -111.8546405)"
40135230053,31,1,1611.061,"LINESTRING (-111.8641062 33.3318444, -111.863937 33.3321837, -111.8637629 33.33253280000002, -111.8633338 33.3323607, -111.8612481 33.3319018, -111.8610822 33.3319537, -111.8608304 33.3320151, -111.860673 33.33204520000001, -111.8605231 33.3320587, -111.8601936 33.3320721, -111.8600433 33.3320704, -111.8597883 33.3320675, -111.8590969 33.3320713, -111.8590937 33.3314643, -111.8591023 33.3304747, -111.8591127 33.3298408, -111.8591115 33.3295143, -111.8591135 33.3291304, -111.8591153 33.3287647, -111.8591168 33.3286515, -111.859119 33.32785, -111.8591776 33.3271047, -111.859181 33.32528, -111.8591863 33.3245209, -111.8591898 33.3241083, -111.8592045 33.323141, -111.8592121 33.322409)","(33.3318444, -111.86410619999998)","(33.322409, -111.8592121)"
40135230062,26,0,1229.982,"LINESTRING (-111.8701352 33.3141352, -111.8701872 33.3152245, -111.8702367 33.315552, -111.8706532 33.3155369, -111.8712356 33.3156318, -111.8713215 33.3156573, -111.8729302 33.3167677, -111.8733476 33.3168376, -111.873634 33.3171667, -111.8740335 33.31764050000001, -111.8743065 33.3181891, -111.8748763 33.31815249999999, -111.8763953 33.3180924, -111.8763963 33.318371, -111.8763966 33.3184837, -111.876397 33.3186762, -111.8760615 33.3190093, -111.8758434 33.3190637, -111.875849 33.3198168, -111.8753832 33.3202256, -111.8752788 33.3202409, -111.8752831 33.320502)","(33.3141352, -111.8701352)","(33.320502, -111.8752831)"
