cbg_id,store_id,rank,distance,geometry,Origin,Destination
450190001001,9,0,598.573,"LINESTRING (-79.9381479 32.7772882, -79.9379792 32.7773057, -79.9378926 32.7773147, -79.9378387 32.7773203, -79.9377786 32.7773265, -79.93767339999999 32.7773374, -79.937561 32.7773491, -79.9374947 32.777356, -79.9374241 32.7773614, -79.937208 32.777378, -79.93697090000001 32.7773962, -79.9368126 32.7774083, -79.93667259999999 32.777419, -79.93647009999999 32.7774347, -79.9362907 32.7774506, -79.9362854 32.7774018, -79.9360171 32.7770953, -79.93596429999999 32.7771008, -79.9359661 32.7771155, -79.93592200000001 32.7771209, -79.9357763 32.7774528, -79.9356147 32.7774678, -79.9354393 32.7774841, -79.935322 32.777495, -79.9352842 32.7774985, -79.9349847 32.7775243, -79.93483569999999 32.7775388, -79.9347013 32.7775519, -79.93456860000001 32.777567, -79.9344643 32.7775748, -79.9341029 32.77761, -79.9340042 32.77762, -79.93391459999999 32.7776291, -79.9337678 32.7776439, -79.93360680000001 32.77766, -79.9335894 32.7776948, -79.9334672 32.777707, -79.9334137 32.7777124, -79.933418 32.7777538, -79.93325780000002 32.7777703, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.9329156 32.7779726)","(32.7772882, -79.9381479)","(32.7779726, -79.9329156)"
450190001001,10,1,760.974,"LINESTRING (-79.9381479 32.7772882, -79.9379792 32.7773057, -79.9378926 32.7773147, -79.9378387 32.7773203, -79.9377786 32.7773265, -79.93767339999999 32.7773374, -79.937561 32.7773491, -79.9375682 32.7773994, -79.93760519999999 32.7777393, -79.9376089 32.7777701, -79.9376122 32.7777978, -79.9376623 32.7782869, -79.9376671 32.7783204, -79.937674 32.7783695, -79.9377004 32.778676, -79.93756999999999 32.7789735, -79.9375728 32.7789921, -79.9375278 32.7789961, -79.9375617 32.7792303, -79.937635 32.7797353, -79.93757669999999 32.7797615, -79.93698620000001 32.779984, -79.9368157 32.7800483, -79.9367628 32.780018, -79.93669079999999 32.78004520000001, -79.9364388 32.7801422, -79.9364246 32.7801477, -79.9363815 32.7801596, -79.93629850000001 32.7801819, -79.93548010000001 32.7803395, -79.93492870000001 32.7803841, -79.93486540000001 32.7803843, -79.9348117 32.7803849, -79.93480700000001 32.7803945, -79.9339547 32.7804717, -79.9333037 32.7805306, -79.9332983 32.7805192)","(32.7772882, -79.9381479)","(32.7805192, -79.9332983)"
450190001002,9,0,775.951,"LINESTRING (-79.9366345 32.7739871, -79.9366399 32.7740224, -79.9366428 32.7740551, -79.93653310000001 32.7740678, -79.93642440000001 32.77408040000001, -79.9362735 32.7740979, -79.9361297 32.7741145, -79.935677 32.7743393, -79.93563690000001 32.7743422, -79.9356521 32.7744709, -79.9356738 32.7746531, -79.93568809999999 32.7747741, -79.9357012 32.7748846, -79.9357132 32.7749851, -79.93572639999999 32.7750965, -79.93572720000002 32.7751033, -79.9357325 32.7751477, -79.9356678 32.7751553, -79.9356832 32.7752907, -79.93570339999999 32.7754683, -79.93574940000001 32.77595319999999, -79.9355688 32.7759695, -79.9354178 32.7759832, -79.93528430000001 32.7759953, -79.93513280000001 32.7760091, -79.934983 32.7760256, -79.93483759999999 32.776042, -79.93484410000001 32.7761068, -79.93464760000001 32.7761255, -79.93461430000001 32.7761287, -79.93462479999999 32.7762, -79.93430770000001 32.7762316, -79.93410950000001 32.7762514, -79.9341062 32.7765975, -79.93410530000001 32.77667179999999, -79.9341029 32.77761, -79.9340042 32.77762, -79.93391459999999 32.7776291, -79.9337678 32.7776439, -79.93360680000001 32.77766, -79.9335894 32.7776948, -79.9334672 32.777707, -79.9334137 32.7777124, -79.933418 32.7777538, -79.93325780000002 32.7777703, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.9329156 32.7779726)","(32.7739871, -79.9366345)","(32.7779726, -79.9329156)"
450190001002,10,1,1055.145,"LINESTRING (-79.9366345 32.7739871, -79.9366399 32.7740224, -79.9366428 32.7740551, -79.93653310000001 32.7740678, -79.93642440000001 32.77408040000001, -79.9362735 32.7740979, -79.9361297 32.7741145, -79.935677 32.7743393, -79.93563690000001 32.7743422, -79.9356521 32.7744709, -79.9356738 32.7746531, -79.93568809999999 32.7747741, -79.9357012 32.7748846, -79.9357132 32.7749851, -79.93572639999999 32.7750965, -79.93572720000002 32.7751033, -79.9357325 32.7751477, -79.9356678 32.7751553, -79.9356832 32.7752907, -79.93570339999999 32.7754683, -79.93574940000001 32.77595319999999, -79.9355688 32.7759695, -79.9354178 32.7759832, -79.93528430000001 32.7759953, -79.93513280000001 32.7760091, -79.934983 32.7760256, -79.93483759999999 32.776042, -79.93484410000001 32.7761068, -79.93464760000001 32.7761255, -79.93461430000001 32.7761287, -79.93462479999999 32.7762, -79.93430770000001 32.7762316, -79.93410950000001 32.7762514, -79.9341062 32.7765975, -79.93410530000001 32.77667179999999, -79.9341029 32.77761, -79.9340042 32.77762, -79.93391459999999 32.7776291, -79.9337678 32.7776439, -79.93360680000001 32.77766, -79.9335894 32.7776948, -79.9334672 32.777707, -79.9334137 32.7777124, -79.933418 32.7777538, -79.93325780000002 32.7777703, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.933007 32.778227, -79.93302850000001 32.7783838, -79.9330451 32.7785311, -79.9331275 32.7791729, -79.93313139999999 32.7792066, -79.9331378 32.779261, -79.93319409999999 32.7796806, -79.9331969 32.7797062, -79.9332022 32.7797539, -79.9332424 32.7800883, -79.93324509999999 32.78010780000001, -79.9332486 32.780133, -79.9332983 32.7805192)","(32.7739871, -79.9366345)","(32.7805192, -79.9332983)"
450190001003,9,0,1043.665,"LINESTRING (-79.94044359999999 32.7739689, -79.940366 32.7739786, -79.9402978 32.77398719999999, -79.9402808 32.7738761, -79.9402096 32.7738837, -79.939936 32.7736835, -79.93933610000001 32.7737488, -79.93926740000001 32.7737563, -79.9391682 32.7737671, -79.93893840000001 32.773791, -79.9383265 32.7738649, -79.93819329999999 32.773881, -79.93811220000001 32.7738914, -79.9380541 32.7739562, -79.9379328 32.7740777, -79.9378461 32.7741645, -79.93776860000001 32.7742421, -79.9377025 32.7743083, -79.9376757 32.7743352, -79.93760380000001 32.7744072, -79.9375988 32.7744122, -79.93751810000001 32.7744929, -79.9374291 32.774582, -79.9374241 32.7745871, -79.9373564 32.7746549, -79.93727370000001 32.7747377, -79.93726049999999 32.7747509, -79.93715690000001 32.7748546, -79.9370493 32.7749623, -79.937003 32.7750087, -79.9369332 32.7750787, -79.9369153 32.7750966, -79.93683969999999 32.7751723, -79.9367924 32.7752196, -79.93676120000001 32.7752509, -79.9367123 32.7752999, -79.9366505 32.7753618, -79.93658499999999 32.7754273, -79.9365458 32.7754666, -79.9364482 32.7755644, -79.9364405 32.7755721, -79.9363245 32.7756882, -79.93622809999999 32.7757847, -79.93618050000002 32.7758324, -79.93609429999999 32.7759187, -79.93601870000001 32.7759944, -79.9358797 32.77600789999999, -79.93583510000001 32.7760122, -79.93576299999999 32.7760191, -79.9355767 32.7760369, -79.9354501 32.776049, -79.93542549999999 32.7760513, -79.93529220000001 32.776064, -79.9351418 32.7760784, -79.9351289 32.7760796, -79.9351353 32.7761519, -79.934731 32.7761899, -79.9346571 32.7761969, -79.93462479999999 32.7762, -79.93430770000001 32.7762316, -79.93410950000001 32.7762514, -79.9341062 32.7765975, -79.93410530000001 32.77667179999999, -79.9341029 32.77761, -79.9340042 32.77762, -79.93391459999999 32.7776291, -79.9337678 32.7776439, -79.93360680000001 32.77766, -79.9335894 32.7776948, -79.9334672 32.777707, -79.9334137 32.7777124, -79.933418 32.7777538, -79.93325780000002 32.7777703, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.9329156 32.7779726)","(32.7739689, -79.9404436)","(32.7779726, -79.9329156)"
450190001003,13,1,1313.18,"LINESTRING (-79.94044359999999 32.7739689, -79.940366 32.7739786, -79.9402978 32.77398719999999, -79.94030840000001 32.7740559, -79.9403137 32.7740906, -79.94031440000001 32.7740951, -79.94033 32.7741969, -79.9403466 32.7743052, -79.9403471 32.7743085, -79.9403636 32.7744161, -79.9402906 32.774426, -79.9403063 32.7745309, -79.94032319999999 32.7746435, -79.9403392 32.7747508, -79.9403556 32.7748603, -79.94037280000001 32.774972, -79.9403957 32.7751146, -79.9402638 32.7755164, -79.94027579999999 32.7755896, -79.9401223 32.7756041, -79.9400316 32.7756127, -79.9396476 32.7756478, -79.939667 32.7757264, -79.93960790000001 32.7757328, -79.93977099999999 32.776011, -79.93981410000001 32.7760878, -79.9398351 32.77612520000001, -79.9399718 32.7763686, -79.94003379999999 32.7764819, -79.94013070000001 32.7766591, -79.94031750000001 32.7770004, -79.94035959999999 32.7770773, -79.9404614 32.777269, -79.9405313 32.7774008, -79.9405934 32.7775156, -79.940648 32.7776136, -79.94072 32.7777431, -79.94088480000001 32.778039, -79.94106789999999 32.778368, -79.941097 32.7784203, -79.94112250000002 32.778467, -79.9412408 32.7786839, -79.9413 32.7787923, -79.9413608 32.7789036, -79.94140140000002 32.7789781, -79.9414259 32.7790231, -79.9416234 32.7793851, -79.94165049999999 32.7794347, -79.9416846 32.779496, -79.9417916 32.7796884, -79.94181089999999 32.7797232, -79.9418654 32.7798212, -79.94194950000001 32.7799726, -79.94195670000001 32.7799855, -79.9419773 32.7800226, -79.94203520000001 32.7801265, -79.94205220000001 32.7801571, -79.94209290000001 32.7802303, -79.9421984 32.7804202, -79.94222480000002 32.7804677, -79.9422545 32.7805228, -79.9424423 32.7808718, -79.9424459 32.7808786, -79.9425317 32.78104089999999, -79.9428187 32.7815502, -79.94317030000001 32.7821997, -79.94339119999999 32.782593, -79.9437997 32.7833507, -79.94382109999999 32.7834077, -79.9439368 32.7837021, -79.94412010000001 32.7836553, -79.9441692 32.7838648, -79.9442325 32.7838427, -79.94423829999999 32.78385730000002)","(32.7739689, -79.9404436)","(32.783857300000015, -79.9442383)"
450190002001,9,0,566.466,"LINESTRING (-79.9294154 32.7763122, -79.92928139999999 32.7763231, -79.92930749999999 32.7765662, -79.9309451 32.7764043, -79.9310357 32.7763949, -79.93111159999999 32.7763851, -79.9311403 32.7763826, -79.93168780000001 32.7763348, -79.9321611 32.7762941, -79.93247030000001 32.7762675, -79.93267 32.7762503, -79.9326792 32.7763129, -79.9326896 32.7763842, -79.9327395 32.77637959999998, -79.9327863 32.7763753, -79.9328158 32.7765923, -79.93284130000001 32.7768051, -79.9328551 32.7769326, -79.9329491 32.7777219, -79.9329638 32.7777199, -79.9329676 32.7777571, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.9329156 32.7779726)","(32.7763122, -79.9294154)","(32.7779726, -79.9329156)"
450190002001,10,1,840.162,"LINESTRING (-79.9294154 32.7763122, -79.92928139999999 32.7763231, -79.92930749999999 32.7765662, -79.9293102 32.7766444, -79.9302442 32.7765597, -79.9309336 32.7764914, -79.93103929999999 32.7764809, -79.9310416 32.7765573, -79.9310789 32.7768644, -79.931138 32.7773614, -79.9311419 32.77739480000001, -79.93116670000001 32.7775885, -79.9312181 32.7779895, -79.93122339999999 32.7780307, -79.9312291 32.7780754, -79.9312412 32.778171, -79.9312706 32.7784033, -79.9313138 32.7787443, -79.93133349999999 32.7788999, -79.9313578 32.7790912, -79.93139170000001 32.7793594, -79.93139789999999 32.7794082, -79.93140529999999 32.7794606, -79.9314359 32.7796776, -79.9314523 32.7798399, -79.9314669 32.7799851, -79.9314681 32.7799966, -79.9314873 32.7801619, -79.9314991 32.7802629, -79.9315751 32.7802579, -79.9320003 32.78023, -79.932107 32.7804339, -79.932135 32.7804346, -79.93236020000001 32.7804275, -79.93237019999999 32.7805973, -79.9324306 32.7805926, -79.9331605 32.7805367, -79.93316470000001 32.7805305, -79.93322209999999 32.7805262, -79.9332983 32.7805192)","(32.7763122, -79.9294154)","(32.7805192, -79.9332983)"
450190002002,9,0,843.525,"LINESTRING (-79.9310948 32.7718943, -79.93108220000001 32.7718034, -79.9311127 32.7718004, -79.931307 32.7717815, -79.93158939999999 32.7717544, -79.9316608 32.7717478, -79.9321109 32.7718467, -79.9321284 32.771984, -79.9321805 32.7719786, -79.9321716 32.7718915, -79.9322016 32.7718896, -79.9323199 32.7727499, -79.9323448 32.7729145, -79.9323641 32.7730647, -79.9323809 32.7731957, -79.9324008 32.7733509, -79.93241930000001 32.7734931, -79.932439 32.7736437, -79.9324732 32.7739055, -79.9324864 32.7740069, -79.93250930000001 32.7741901, -79.9325472 32.7744582, -79.9325522 32.7744993, -79.9325564 32.774535, -79.9325753 32.7746966, -79.9326252 32.7750771, -79.9326363 32.7751619, -79.9326543 32.7752986, -79.93268639999999 32.7755628, -79.9326938 32.7756234, -79.9326985 32.7756627, -79.93270870000001 32.7757463, -79.9327212 32.7758495, -79.9327346 32.7759596, -79.93274169999999 32.7760269, -79.93276659999999 32.7762421, -79.9327737 32.7762417, -79.9327796 32.7763041, -79.9327863 32.7763753, -79.9328158 32.7765923, -79.93284130000001 32.7768051, -79.9328551 32.7769326, -79.9329491 32.7777219, -79.9329638 32.7777199, -79.9329676 32.7777571, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.9329156 32.7779726)","(32.7718943, -79.9310948)","(32.7779726, -79.9329156)"
450190002002,10,1,1122.719,"LINESTRING (-79.9310948 32.7718943, -79.93108220000001 32.7718034, -79.9311127 32.7718004, -79.931307 32.7717815, -79.93158939999999 32.7717544, -79.9316608 32.7717478, -79.9321109 32.7718467, -79.9321284 32.771984, -79.9321805 32.7719786, -79.9321716 32.7718915, -79.9322016 32.7718896, -79.9323199 32.7727499, -79.9323448 32.7729145, -79.9323641 32.7730647, -79.9323809 32.7731957, -79.9324008 32.7733509, -79.93241930000001 32.7734931, -79.932439 32.7736437, -79.9324732 32.7739055, -79.9324864 32.7740069, -79.93250930000001 32.7741901, -79.9325472 32.7744582, -79.9325522 32.7744993, -79.9325564 32.774535, -79.9325753 32.7746966, -79.9326252 32.7750771, -79.9326363 32.7751619, -79.9326543 32.7752986, -79.93268639999999 32.7755628, -79.9326938 32.7756234, -79.9326985 32.7756627, -79.93270870000001 32.7757463, -79.9327212 32.7758495, -79.9327346 32.7759596, -79.93274169999999 32.7760269, -79.93276659999999 32.7762421, -79.9327737 32.7762417, -79.9327796 32.7763041, -79.9327863 32.7763753, -79.9328158 32.7765923, -79.93284130000001 32.7768051, -79.9328551 32.7769326, -79.9329491 32.7777219, -79.9329638 32.7777199, -79.9329676 32.7777571, -79.93297200000001 32.7777996, -79.9329635 32.7778009, -79.93298050000001 32.7779676, -79.933007 32.778227, -79.93302850000001 32.7783838, -79.9330451 32.7785311, -79.9331275 32.7791729, -79.93313139999999 32.7792066, -79.9331378 32.779261, -79.93319409999999 32.7796806, -79.9331969 32.7797062, -79.9332022 32.7797539, -79.9332424 32.7800883, -79.93324509999999 32.78010780000001, -79.9332486 32.780133, -79.9332983 32.7805192)","(32.7718943, -79.9310948)","(32.7805192, -79.9332983)"
