cbg_id,store_id,rank,distance,geometry,Origin,Destination
371190001011,105,0,859.202,"LINESTRING (-80.8499253 35.2196551, -80.8494474 35.2192409, -80.8493892 35.219285, -80.850416 35.220241, -80.8505785 35.2203806, -80.850623 35.22042, -80.8505193 35.2204809, -80.8498894 35.2209725, -80.84872850000001 35.2216449, -80.8486723 35.2215975, -80.84855880000001 35.2216577, -80.8482569 35.2214339, -80.84819450000001 35.2213743, -80.84816010000002 35.2213414, -80.8480137 35.2214447, -80.84794530000001 35.221493, -80.8465343 35.2215725, -80.846433 35.2216152, -80.84599660000001 35.2212387, -80.8456024 35.2208848, -80.84549250000001 35.2207855, -80.84538449999999 35.220688)","(35.2196551, -80.8499253)","(35.220688, -80.8453845)"
371190001011,109,1,1894.919,"LINESTRING (-80.8499253 35.2196551, -80.8494474 35.2192409, -80.8493892 35.219285, -80.850416 35.220241, -80.8505785 35.2203806, -80.850623 35.22042, -80.8506841 35.2204702, -80.8508874 35.220649, -80.85078179999999 35.2207353, -80.85086320000001 35.2208036, -80.85092330000001 35.220854, -80.8509918 35.22095430000001, -80.8507261 35.2212305, -80.8496133 35.22239290000001, -80.8496737 35.2224743, -80.84959979999999 35.2225501, -80.8495327 35.2226189, -80.8485883 35.2234138, -80.8485209 35.2234611, -80.8486087 35.2235469, -80.8485433 35.2236023, -80.849371 35.2244092, -80.8493726 35.2244275, -80.84857770000001 35.2249831, -80.84861780000001 35.225039, -80.8486571 35.2250901, -80.84860740000001 35.2251216, -80.84854830000002 35.22515889999998, -80.8485494 35.2252007, -80.84811379999999 35.2254836, -80.84804699999999 35.2255284, -80.8479813 35.22557230000001, -80.84758979999999 35.2258473, -80.8475859 35.2258877, -80.8475303 35.2259212, -80.8474782 35.2259635, -80.84743709999999 35.2259974, -80.84709239999999 35.22619249999999, -80.84715869999999 35.2262548, -80.8472482 35.2263338, -80.8472163 35.2266311, -80.8472381 35.2266693, -80.847155 35.2267233, -80.8470822 35.2268142, -80.8470758 35.2270727, -80.8473688 35.2273211, -80.8473055 35.2273722, -80.8472538 35.2274145, -80.84731429999999 35.227467, -80.846996 35.2276891, -80.84689760000001 35.2277575, -80.8468732 35.2277745, -80.8468294 35.227805, -80.8466274 35.2279458, -80.8463474 35.2281413, -80.8463014 35.2281738, -80.84624959999999 35.2282104, -80.8463047 35.2282685, -80.84601929999999 35.2284658, -80.84534979999999 35.2289626, -80.8453488 35.2289844, -80.84566359999999 35.2292828, -80.8456053 35.2293912, -80.84551759999999 35.229488, -80.8455245 35.2295138, -80.84537109999999 35.2297288, -80.8449225 35.2305023, -80.84489960000001 35.2305076, -80.84484569999999 35.2305578, -80.8447875 35.23059030000001, -80.8447889 35.2306125, -80.843861 35.2312661, -80.8438129 35.2312645, -80.8437799 35.2313068)","(35.2196551, -80.8499253)","(35.2313068, -80.8437799)"
371190001012,105,0,350.666,"LINESTRING (-80.8441809 35.2228421, -80.84355789999999 35.2222694, -80.84356769999999 35.2222424, -80.843498 35.2221769, -80.8434172 35.2221024, -80.8443808 35.2214256, -80.84527060000001 35.2208089, -80.84525630000002 35.2207698, -80.84538449999999 35.220688)","(35.2228421, -80.8441809)","(35.220688, -80.8453845)"
371190001012,109,1,1275.708,"LINESTRING (-80.8441809 35.2228421, -80.84420009999999 35.2228591, -80.8443383 35.2229809, -80.84529650000002 35.22383480000001, -80.8452952 35.2238488, -80.8453433 35.223929, -80.8453911 35.2240085, -80.84533860000001 35.2240399, -80.84631160000001 35.2248636, -80.84638870000001 35.2249235, -80.8464592 35.2249788, -80.8468761 35.2253413, -80.84684059999999 35.2253684, -80.84688389999999 35.2254067, -80.8470796 35.2255798, -80.8471243 35.2256193, -80.84727599999999 35.2257539, -80.84735379999999 35.22583119999999, -80.8471984 35.2259487, -80.8471187 35.226005, -80.84698520000001 35.2260965, -80.8470478 35.2261513, -80.84709239999999 35.22619249999999, -80.84715869999999 35.2262548, -80.8472482 35.2263338, -80.8472163 35.2266311, -80.8472381 35.2266693, -80.847155 35.2267233, -80.8470822 35.2268142, -80.8470758 35.2270727, -80.8473688 35.2273211, -80.8473055 35.2273722, -80.8472538 35.2274145, -80.84731429999999 35.227467, -80.846996 35.2276891, -80.84689760000001 35.2277575, -80.8468732 35.2277745, -80.8468294 35.227805, -80.8466274 35.2279458, -80.8463474 35.2281413, -80.8463014 35.2281738, -80.84624959999999 35.2282104, -80.8463047 35.2282685, -80.84601929999999 35.2284658, -80.84534979999999 35.2289626, -80.8453488 35.2289844, -80.84566359999999 35.2292828, -80.8456053 35.2293912, -80.84551759999999 35.229488, -80.8455245 35.2295138, -80.84537109999999 35.2297288, -80.8449225 35.2305023, -80.84489960000001 35.2305076, -80.84484569999999 35.2305578, -80.8447875 35.23059030000001, -80.8447889 35.2306125, -80.843861 35.2312661, -80.8438129 35.2312645, -80.8437799 35.2313068)","(35.2228421, -80.8441809)","(35.2313068, -80.8437799)"
371190001021,109,0,504.086,"LINESTRING (-80.8466864 35.2280002, -80.8464268 35.2281938, -80.8464067 35.228191, -80.8463618 35.2282228, -80.8463211 35.2282666, -80.8463047 35.2282685, -80.84601929999999 35.2284658, -80.84534979999999 35.2289626, -80.8453488 35.2289844, -80.84566359999999 35.2292828, -80.8456053 35.2293912, -80.84551759999999 35.229488, -80.8455245 35.2295138, -80.84537109999999 35.2297288, -80.8449225 35.2305023, -80.84489960000001 35.2305076, -80.84484569999999 35.2305578, -80.8447875 35.23059030000001, -80.8447889 35.2306125, -80.843861 35.2312661, -80.8438129 35.2312645, -80.8437799 35.2313068)","(35.2280002, -80.8466864)","(35.2313068, -80.8437799)"
371190001021,105,1,1118.892,"LINESTRING (-80.8466864 35.2280002, -80.8466274 35.2279458, -80.8468294 35.227805, -80.8468732 35.2277745, -80.84689760000001 35.2277575, -80.846996 35.2276891, -80.84731429999999 35.227467, -80.8472538 35.2274145, -80.8473055 35.2273722, -80.8473688 35.2273211, -80.8470758 35.2270727, -80.8470822 35.2268142, -80.847155 35.2267233, -80.8472381 35.2266693, -80.8472163 35.2266311, -80.8472482 35.2263338, -80.84715869999999 35.2262548, -80.84709239999999 35.22619249999999, -80.8470478 35.2261513, -80.8472593 35.2260022, -80.84741200000001 35.2258938, -80.8473642 35.2258324, -80.8473985 35.225806, -80.84743090000001 35.22577110000002, -80.84655309999999 35.2249429, -80.8465262 35.2249329, -80.8464487 35.2248815, -80.8463551 35.2248297, -80.8463639 35.2248043, -80.8463986 35.2247878, -80.84608249999999 35.2245152, -80.846726 35.2239727, -80.8467023 35.2239184, -80.84655720000001 35.2238719, -80.8465152 35.2237025, -80.8466288 35.223612, -80.84660010000002 35.2235733, -80.8466825 35.2234768, -80.8464561 35.2232771, -80.84665560000001 35.2231405, -80.8467533 35.2230642, -80.8468987 35.222963, -80.8471466 35.2227905, -80.84724110000001 35.2227266, -80.8473523 35.2226514, -80.8474346 35.2226094, -80.8473657 35.2225556, -80.8472202 35.2224904, -80.84718239999999 35.22243849999999, -80.84710240000001 35.2223656, -80.8465765 35.2218788, -80.8459517 35.2213316, -80.84599660000001 35.2212387, -80.8456024 35.2208848, -80.84549250000001 35.2207855, -80.84538449999999 35.220688)","(35.2280002, -80.8466864)","(35.220688, -80.8453845)"
371190001022,105,0,689.282,"LINESTRING (-80.8509153 35.2234352, -80.85097349999999 35.2233916, -80.8508973 35.2233272, -80.8508877 35.223333, -80.8504654 35.2230824, -80.85033420000001 35.2230083, -80.85039 35.2229465, -80.8497062 35.2226217, -80.84959979999999 35.2225501, -80.8494888 35.2224679, -80.84904860000002 35.2220898, -80.8487749 35.2218494, -80.84867869999999 35.2217644, -80.8486133 35.2217067, -80.84855880000001 35.2216577, -80.8482569 35.2214339, -80.84819450000001 35.2213743, -80.84816010000002 35.2213414, -80.8480137 35.2214447, -80.84794530000001 35.221493, -80.8465343 35.2215725, -80.846433 35.2216152, -80.84599660000001 35.2212387, -80.8456024 35.2208848, -80.84549250000001 35.2207855, -80.84538449999999 35.220688)","(35.2234352, -80.8509153)","(35.220688, -80.8453845)"
371190001022,109,1,1244.895,"LINESTRING (-80.8509153 35.2234352, -80.85097310000002 35.2234926, -80.8504853 35.2238226, -80.8502671 35.2239718, -80.8502026 35.2240199, -80.8496324 35.2244319, -80.8496067 35.2244312, -80.84954209999999 35.224476, -80.84947870000001 35.22452009999999, -80.8494721 35.2245613, -80.8488183 35.2249993, -80.84869329999999 35.2250972, -80.8486571 35.2250901, -80.84860740000001 35.2251216, -80.84854830000002 35.22515889999998, -80.8485494 35.2252007, -80.84811379999999 35.2254836, -80.84804699999999 35.2255284, -80.8479813 35.22557230000001, -80.84758979999999 35.2258473, -80.8475859 35.2258877, -80.8475303 35.2259212, -80.8474782 35.2259635, -80.84743709999999 35.2259974, -80.84709239999999 35.22619249999999, -80.84715869999999 35.2262548, -80.8472482 35.2263338, -80.8472163 35.2266311, -80.8472381 35.2266693, -80.847155 35.2267233, -80.8470822 35.2268142, -80.8470758 35.2270727, -80.8473688 35.2273211, -80.8473055 35.2273722, -80.8472538 35.2274145, -80.84731429999999 35.227467, -80.846996 35.2276891, -80.84689760000001 35.2277575, -80.8468732 35.2277745, -80.8468294 35.227805, -80.8466274 35.2279458, -80.8463474 35.2281413, -80.8463014 35.2281738, -80.84624959999999 35.2282104, -80.8463047 35.2282685, -80.84601929999999 35.2284658, -80.84534979999999 35.2289626, -80.8453488 35.2289844, -80.84566359999999 35.2292828, -80.8456053 35.2293912, -80.84551759999999 35.229488, -80.8455245 35.2295138, -80.84537109999999 35.2297288, -80.8449225 35.2305023, -80.84489960000001 35.2305076, -80.84484569999999 35.2305578, -80.8447875 35.23059030000001, -80.8447889 35.2306125, -80.843861 35.2312661, -80.8438129 35.2312645, -80.8437799 35.2313068)","(35.2234352, -80.8509153)","(35.2313068, -80.8437799)"
371190001031,109,0,179.804,"LINESTRING (-80.84519120000002 35.2313992, -80.84467789999999 35.2318023, -80.84462019999999 35.231857, -80.8444061 35.231696, -80.84394949999999 35.2313391, -80.8439236 35.2313407, -80.8438958 35.2313116, -80.843861 35.2312661, -80.8438129 35.2312645, -80.8437799 35.2313068)","(35.2313992, -80.84519120000002)","(35.2313068, -80.8437799)"
371190001031,105,1,1780.644,"LINESTRING (-80.84519120000002 35.2313992, -80.84467789999999 35.2318023, -80.84462019999999 35.231857, -80.8444061 35.231696, -80.84394949999999 35.2313391, -80.8448834 35.23069949999999, -80.8448441 35.2306529, -80.8449079 35.2306118, -80.844982 35.2305532, -80.8449225 35.2305023, -80.84537109999999 35.2297288, -80.8455245 35.2295138, -80.84551759999999 35.229488, -80.8456053 35.2293912, -80.84566359999999 35.2292828, -80.8453488 35.2289844, -80.84534979999999 35.2289626, -80.84601929999999 35.2284658, -80.8463047 35.2282685, -80.84624959999999 35.2282104, -80.8463014 35.2281738, -80.8463474 35.2281413, -80.8466274 35.2279458, -80.8468294 35.227805, -80.8468732 35.2277745, -80.84689760000001 35.2277575, -80.846996 35.2276891, -80.84731429999999 35.227467, -80.8472538 35.2274145, -80.8473055 35.2273722, -80.8473688 35.2273211, -80.8470758 35.2270727, -80.8470822 35.2268142, -80.847155 35.2267233, -80.8472381 35.2266693, -80.8472163 35.2266311, -80.8472482 35.2263338, -80.84715869999999 35.2262548, -80.84709239999999 35.22619249999999, -80.8470478 35.2261513, -80.8472593 35.2260022, -80.84741200000001 35.2258938, -80.8473642 35.2258324, -80.8473985 35.225806, -80.84743090000001 35.22577110000002, -80.84655309999999 35.2249429, -80.8465262 35.2249329, -80.8464487 35.2248815, -80.8463551 35.2248297, -80.8463639 35.2248043, -80.8463986 35.2247878, -80.84608249999999 35.2245152, -80.846726 35.2239727, -80.8467023 35.2239184, -80.84655720000001 35.2238719, -80.8465152 35.2237025, -80.8466288 35.223612, -80.84660010000002 35.2235733, -80.8466825 35.2234768, -80.8464561 35.2232771, -80.84665560000001 35.2231405, -80.8467533 35.2230642, -80.8468987 35.222963, -80.8471466 35.2227905, -80.84724110000001 35.2227266, -80.8473523 35.2226514, -80.8474346 35.2226094, -80.8473657 35.2225556, -80.8472202 35.2224904, -80.84718239999999 35.22243849999999, -80.84710240000001 35.2223656, -80.8465765 35.2218788, -80.8459517 35.2213316, -80.84599660000001 35.2212387, -80.8456024 35.2208848, -80.84549250000001 35.2207855, -80.84538449999999 35.220688)","(35.2313992, -80.84519120000002)","(35.220688, -80.8453845)"
