cbg_id,store_id,rank,distance,geometry,Origin,Destination
518100462201,27,0,5212.586,"LINESTRING (-76.22129700000001 36.8144529, -76.221374 36.814165, -76.21941700000001 36.813738, -76.219561 36.813098, -76.22038000000001 36.812343, -76.2205458 36.8111936, -76.2205017 36.81070959999999, -76.2210068 36.8106688, -76.2213422 36.81064279999999, -76.2219606 36.8105462, -76.2222132 36.8104823, -76.2227125 36.8103095, -76.223782 36.8098359, -76.22497989999999 36.8092419, -76.2252482 36.8090679, -76.2254743 36.8089197, -76.22566260000001 36.8087959, -76.2258504 36.8086696, -76.227244 36.8077399, -76.22852930000001 36.8068829, -76.22931130000001 36.80636439999999, -76.2306897 36.8055904, -76.2321664 36.804955, -76.2334654 36.8044285, -76.23492539999999 36.8038959, -76.2376711 36.803053, -76.24037180000001 36.8025172, -76.2417638 36.8020946, -76.24323990000001 36.8016342, -76.2433637 36.8015958, -76.2434657 36.8015631, -76.247281 36.8003051, -76.251153 36.7993194, -76.2525942 36.7989829, -76.2527106 36.7989579, -76.2528824 36.7989202, -76.25414499999999 36.798639, -76.2555371 36.798299, -76.25716269999999 36.79788949999999, -76.2577847 36.7977436, -76.25793419999999 36.7977137, -76.25798519999999 36.797603, -76.2580234 36.7975188, -76.25808550000002 36.7973817, -76.25830759999999 36.79689170000001, -76.25856899999999 36.796315, -76.258979 36.795389, -76.25938499999999 36.79449, -76.25948990000001 36.7942213, -76.259529 36.794121, -76.259764 36.793329, -76.259795 36.793205, -76.2598998 36.79276930000001, -76.2605026 36.7928857, -76.2606576 36.7927816, -76.26085140000001 36.79275839999998, -76.26067740000001 36.7920261, -76.2609657 36.7920111, -76.2609582 36.7918373, -76.2609515 36.79167850000001, -76.26179780000001 36.791637)","(36.8144529, -76.221297)","(36.791637, -76.26179780000001)"
518100462201,24,1,5884.668,"LINESTRING (-76.22129700000001 36.8144529, -76.221374 36.814165, -76.21941700000001 36.813738, -76.219561 36.813098, -76.22038000000001 36.812343, -76.2205458 36.8111936, -76.2205017 36.81070959999999, -76.2204922 36.8105989, -76.2204016 36.8104576, -76.2201216 36.8103521, -76.22007000000001 36.8103354, -76.2198937 36.8101854, -76.219745 36.8100589, -76.21957690000001 36.8099159, -76.2194533 36.80980680000001, -76.2193098 36.8096801, -76.21911950000001 36.8095121, -76.21936030000001 36.8091539, -76.21948770000002 36.8089786, -76.2201069 36.8082586, -76.22047600000001 36.807898, -76.2207452 36.8076577, -76.22108900000001 36.807385, -76.221701 36.806932, -76.222336 36.806466, -76.22296900000001 36.806002, -76.223608 36.805534, -76.22421300000001 36.805086, -76.224862 36.80461, -76.22548399999999 36.804151, -76.22752800000001 36.802651, -76.2277747 36.8024698, -76.2284245 36.8019926, -76.2284882 36.8019459, -76.22933999999999 36.8013204, -76.231014 36.800091, -76.2316551 36.7996183, -76.2320862 36.7993005, -76.232247 36.799182, -76.2325908 36.7989297, -76.23354460000002 36.79823, -76.2344473 36.7975676, -76.234842 36.797278, -76.234826 36.797125, -76.23478350000001 36.7967368, -76.23468680000001 36.7961996, -76.234656 36.796076, -76.23459200000001 36.795836, -76.23452 36.795492, -76.2345122 36.79494509999998, -76.234514 36.794768, -76.2345287 36.7941989, -76.23451 36.794002, -76.23447899999999 36.793667, -76.23440600000001 36.793354, -76.2343509 36.793174, -76.2342127 36.792813, -76.234201 36.792784, -76.23393729999999 36.7920097, -76.23374630000001 36.7913873, -76.233643 36.790996, -76.234261 36.790884, -76.23491490000001 36.7907165, -76.23540989999999 36.7904892, -76.2361342 36.7903649, -76.2365262 36.7904413, -76.23713410000001 36.7904004, -76.2375201 36.7901076, -76.23764509999999 36.7899966, -76.23581919999999 36.7883975, -76.23380539999999 36.7849099, -76.23338819999999 36.7840339, -76.2320903 36.7809524, -76.2315203 36.7794124, -76.2313779 36.7790309, -76.2312201 36.77861260000001, -76.23077979999999 36.7774612, -76.2306232 36.7769792, -76.2305909 36.7768695, -76.23033479999999 36.7761768, -76.2299548 36.7751044, -76.229918 36.7750006, -76.2298759 36.7748653, -76.2298471 36.774787, -76.22942999999999 36.7735933)","(36.8144529, -76.221297)","(36.7735933, -76.22943)"
515500210092,2,0,3154.164,"LINESTRING (-76.205175 36.679209, -76.20513099999999 36.678171, -76.2057855 36.6781506, -76.206412 36.678131, -76.207334 36.678101, -76.2075426 36.6780949, -76.208054 36.67808, -76.20875700000001 36.677154, -76.208692 36.676591, -76.208681 36.676402, -76.20865019999999 36.6759114, -76.208623 36.675478, -76.208828 36.675469, -76.209093 36.6754534, -76.210075 36.675418, -76.211263 36.675373, -76.2113634 36.6769527, -76.21179600000001 36.677851, -76.21191640000001 36.6779437, -76.2119897 36.6779893, -76.21260169999999 36.67823219999999, -76.2136488 36.6782632, -76.21414679999999 36.6782595, -76.21484649999999 36.6782521, -76.2149367 36.6782518, -76.2150378 36.6782516, -76.21581190000001 36.6782513, -76.2164035 36.6783033, -76.2170253 36.6784545, -76.2180683 36.6789769, -76.218554 36.679276, -76.21906250000001 36.6795293, -76.219183 36.679583, -76.219194 36.6795876, -76.21971600000001 36.679773, -76.219956 36.679841, -76.220613 36.6799662, -76.2208868 36.6799985, -76.22233900000001 36.680337, -76.22223099999999 36.681226, -76.22229799999999 36.68216, -76.222341 36.682689, -76.222258 36.6834656, -76.222171 36.6843164, -76.2237976 36.6860781, -76.2241736 36.6863453, -76.2241514 36.6863996, -76.22435860000002 36.6868307, -76.22420830000002 36.6868124, -76.22408 36.6869691, -76.2240316 36.6871903, -76.22397049999999 36.6874699)","(36.679209, -76.205175)","(36.6874699, -76.2239705)"
515500210092,3,1,5148.767,"LINESTRING (-76.205175 36.679209, -76.20513099999999 36.678171, -76.2057855 36.6781506, -76.206412 36.678131, -76.207334 36.678101, -76.2075426 36.6780949, -76.208054 36.67808, -76.20875700000001 36.677154, -76.208692 36.676591, -76.208681 36.676402, -76.20865019999999 36.6759114, -76.208623 36.675478, -76.208828 36.675469, -76.209093 36.6754534, -76.210075 36.675418, -76.211263 36.675373, -76.2113634 36.6769527, -76.21179600000001 36.677851, -76.21191640000001 36.6779437, -76.2119897 36.6779893, -76.21260169999999 36.67823219999999, -76.2136488 36.6782632, -76.21414679999999 36.6782595, -76.21484649999999 36.6782521, -76.2149367 36.6782518, -76.2150378 36.6782516, -76.21581190000001 36.6782513, -76.2164035 36.6783033, -76.2170253 36.6784545, -76.2180683 36.6789769, -76.218554 36.679276, -76.21906250000001 36.6795293, -76.219183 36.679583, -76.219194 36.6795876, -76.21971600000001 36.679773, -76.219956 36.679841, -76.220613 36.6799662, -76.2208868 36.6799985, -76.22233900000001 36.680337, -76.22223099999999 36.681226, -76.22229799999999 36.68216, -76.222341 36.682689, -76.222258 36.6834656, -76.222171 36.6843164, -76.2237976 36.6860781, -76.2241736 36.6863453, -76.2241514 36.6863996, -76.22435860000002 36.6868307, -76.2245013 36.68684809999998, -76.2245855 36.6868583, -76.2248288 36.6868879, -76.2250236 36.6869115, -76.22485690000002 36.6877121, -76.2248362 36.6878117, -76.2248759 36.6879226, -76.2250356 36.687952, -76.2264369 36.6882437, -76.2272074 36.6884151, -76.22953560000001 36.6889142, -76.2307763 36.6891581, -76.23116520000001 36.69036, -76.2313194 36.6907784, -76.23149549999999 36.6913077, -76.23150769999999 36.691347, -76.2316752 36.6918869, -76.2317911 36.6922729, -76.2318236 36.6923886, -76.23193790000001 36.6927952, -76.23202980000001 36.6931063, -76.23222690000001 36.6937466, -76.232236 36.693776, -76.2323732 36.6942138, -76.2324417 36.6944324, -76.2325742 36.6948538, -76.2327232 36.69533220000001, -76.2331645 36.6967527, -76.2332835 36.6971369, -76.2333857 36.6974705, -76.2334039 36.6975298, -76.2335437 36.6979727, -76.2336275 36.6982498, -76.233678 36.698406, -76.23370250000001 36.6984842, -76.23414959999999 36.6999744, -76.2343867 36.7007422, -76.23441529999999 36.7008321, -76.2345105 36.7011412)","(36.679209, -76.205175)","(36.7011412, -76.2345105)"
515500211012,6,0,1034.187,"LINESTRING (-76.1955006 36.7144219, -76.19448300000001 36.7144924, -76.1938238 36.7145381, -76.19374329999999 36.7139606, -76.19123190000001 36.714195, -76.1908478 36.714229, -76.18927619999999 36.7143641, -76.1891835 36.7143298, -76.1890825 36.7143385, -76.18758529999999 36.7144283, -76.18696180000001 36.7144625, -76.1859102 36.7145358, -76.1855111 36.71453910000001, -76.1855315 36.7146734, -76.18578130000002 36.7146859, -76.1862744 36.7146633)","(36.7144219, -76.1955006)","(36.7146633, -76.1862744)"
515500211012,5,1,1054.71,"LINESTRING (-76.1955006 36.7144219, -76.19448300000001 36.7144924, -76.1938238 36.7145381, -76.19374329999999 36.7139606, -76.19123190000001 36.714195, -76.1908478 36.714229, -76.18927619999999 36.7143641, -76.1891835 36.7143298, -76.1890825 36.7143385, -76.18758529999999 36.7144283, -76.18696180000001 36.7144625, -76.1859102 36.7145358, -76.18534490000002 36.7141006, -76.1853468 36.7138891, -76.1853428 36.71358330000001)","(36.7144219, -76.1955006)","(36.71358330000001, -76.1853428)"
515500211011,7,0,2439.965,"LINESTRING (-76.21697399999999 36.711106, -76.22189299999999 36.708989, -76.222875 36.708106, -76.2233379 36.7072715, -76.2246578 36.707547, -76.2254994 36.70773470000001, -76.2274165 36.7081641, -76.22758109999999 36.708217, -76.2282304 36.70837859999999, -76.2300367 36.7088366, -76.2311643 36.7092426, -76.2312773 36.7093066, -76.23276420000002 36.7102504, -76.23325749999999 36.7105341, -76.2336201 36.7107443, -76.23379850000001 36.7108478, -76.2343916 36.7111916, -76.2352782 36.71172150000001, -76.2359056 36.71209790000001, -76.2360451 36.7121904, -76.23679660000001 36.7126446, -76.2371594 36.7127862, -76.2373183 36.7128132, -76.2373534 36.7131126, -76.23730860000001 36.71322030000001, -76.2374956 36.7133726, -76.2376319 36.71332610000001, -76.2380659 36.7137915, -76.23818900000001 36.7139236, -76.23832899999999 36.7139212, -76.2383894 36.7142366, -76.238434 36.7144632, -76.2384761 36.7146384, -76.2385812 36.7146251)","(36.711106, -76.216974)","(36.7146251, -76.2385812)"
515500211011,3,1,2476.057,"LINESTRING (-76.21697399999999 36.711106, -76.22189299999999 36.708989, -76.222875 36.708106, -76.2233379 36.7072715, -76.2246578 36.707547, -76.2254994 36.70773470000001, -76.2274165 36.7081641, -76.22758109999999 36.708217, -76.2282304 36.70837859999999, -76.2300367 36.7088366, -76.23012480000001 36.7086706, -76.23254799999999 36.706296, -76.233527 36.705542, -76.23459680000001 36.7048809, -76.23482079999999 36.7048207, -76.23480320000002 36.7046212, -76.234781 36.704465, -76.2347398 36.704306, -76.2352163 36.7041472, -76.2353146 36.7041261, -76.2354315 36.7041002, -76.23535339999999 36.7038517, -76.235152 36.7031964, -76.23513680000001 36.703148, -76.23493790000001 36.70250990000002, -76.2347796 36.7020011, -76.23462670000001 36.7015102, -76.2346029 36.7014338, -76.2345105 36.7011412)","(36.711106, -76.216974)","(36.7011412, -76.2345105)"
517402131011,36,0,4010.578,"LINESTRING (-76.39682430000001 36.8590168, -76.3958518 36.85904019999999, -76.3957978 36.8593465, -76.395735 36.859703, -76.3957295 36.8597318, -76.39587400000001 36.8597429, -76.39667660000001 36.859822, -76.39707919999999 36.8599675, -76.3972472 36.8605674, -76.39742270000001 36.8608979, -76.39739659999999 36.8610319, -76.39741170000001 36.8610348, -76.3976746 36.8610907, -76.3983729 36.8612835, -76.3985816 36.8611976, -76.4024026 36.8595429, -76.40607129999999 36.8575629, -76.4064159 36.8579802, -76.406813 36.858434, -76.408384 36.857739, -76.409396 36.8571908, -76.41154400000001 36.855968, -76.412294 36.855538, -76.413218 36.855011, -76.414205 36.854429, -76.4148174 36.8538365, -76.415387 36.852996, -76.416832 36.852018, -76.41873790000001 36.8509853, -76.42050399999999 36.850147, -76.42228009999999 36.8497414, -76.4223698 36.8497091, -76.42360960000001 36.8491849, -76.4243489 36.8489218, -76.4255625 36.8484772, -76.4264828 36.8483131, -76.4266319 36.84830089999998, -76.42660789999999 36.8481717, -76.42642189999999 36.8462666, -76.4263705 36.8458648, -76.42620100000001 36.8453491, -76.425881 36.8448802, -76.42563199999999 36.84461)","(36.8590168, -76.3968243)","(36.84461, -76.425632)"
517402131011,34,1,6616.485,"LINESTRING (-76.39682430000001 36.8590168, -76.3958518 36.85904019999999, -76.3957978 36.8593465, -76.395735 36.859703, -76.3957295 36.8597318, -76.39587400000001 36.8597429, -76.39667660000001 36.859822, -76.39707919999999 36.8599675, -76.3972472 36.8605674, -76.39742270000001 36.8608979, -76.39739659999999 36.8610319, -76.39741170000001 36.8610348, -76.3976746 36.8610907, -76.3983729 36.8612835, -76.3985816 36.8611976, -76.4024026 36.8595429, -76.40607129999999 36.8575629, -76.4064159 36.8579802, -76.406813 36.858434, -76.408384 36.857739, -76.409396 36.8571908, -76.41154400000001 36.855968, -76.412294 36.855538, -76.413218 36.855011, -76.414205 36.854429, -76.4148174 36.8538365, -76.415387 36.852996, -76.416832 36.852018, -76.41873790000001 36.8509853, -76.42050399999999 36.850147, -76.42228009999999 36.8497414, -76.4223698 36.8497091, -76.42360960000001 36.8491849, -76.4243489 36.8489218, -76.4255625 36.8484772, -76.4264828 36.8483131, -76.4266319 36.84830089999998, -76.42660789999999 36.8481717, -76.42642189999999 36.8462666, -76.4263705 36.8458648, -76.42620100000001 36.8453491, -76.425881 36.8448802, -76.42563199999999 36.84461, -76.4254687 36.8444424, -76.42535410000001 36.8443311, -76.425031 36.84399, -76.42490530000001 36.8438542, -76.4247779 36.8437139, -76.4247135 36.8436367, -76.4243278 36.8429243, -76.4242835 36.8410784, -76.422752 36.838197, -76.42265159999999 36.83812, -76.421352 36.837141, -76.42039200000001 36.836402, -76.419437 36.835672, -76.41927699999999 36.83555, -76.418162 36.834691, -76.41810340000002 36.8346461, -76.41749 36.834176, -76.4167733 36.8336097, -76.4163113 36.83324449999999, -76.4162566 36.8331535, -76.41523890000001 36.8323494, -76.4158073 36.8316903, -76.4160219 36.831369, -76.4161385 36.8312295, -76.4162544 36.8310908, -76.4163708 36.8309515, -76.4164876 36.8308117, -76.41660400000001 36.8306724, -76.4167197 36.830534, -76.4168343 36.8303969, -76.41687109999999 36.8303528, -76.41698839999999 36.8302124, -76.4171041 36.830074, -76.4172203 36.8299349, -76.4173364 36.829796, -76.41745179999999 36.8296579, -76.41756820000001 36.8295186, -76.4176844 36.82937960000001, -76.4178002 36.82924089999999, -76.4179168 36.8291014, -76.41803419999999 36.8289609, -76.41815160000002 36.8288204, -76.41826519999999 36.8286845, -76.4182969 36.8286465, -76.41838009999999 36.82854690000001, -76.4172932 36.8277682, -76.41824579999999 36.826589, -76.418002 36.826558, -76.417962 36.82666, -76.417862 36.8269275)","(36.8590168, -76.3968243)","(36.8269275, -76.417862)"
