cbg_id,store_id,rank,distance,geometry,Origin,Destination
170310101001,588,0,730.484,"LINESTRING (-87.6675465 42.0221741, -87.67009520000001 42.0221938, -87.6706058 42.0221984, -87.6706162 42.0216161, -87.6707073 42.0216174, -87.6707194 42.0212294, -87.6708265 42.0212251, -87.6713221 42.0212289, -87.671806 42.0212326, -87.6718891 42.0212326, -87.67198809999999 42.02123279999999, -87.6719973 42.0211641, -87.6720057 42.0211005, -87.6724914 42.0211042, -87.6729704 42.0211066, -87.673072 42.0211057, -87.67308490000001 42.0197953, -87.6731925 42.0197953)","(42.0221741, -87.6675465)","(42.0197953, -87.6731925)"
170310101001,587,1,1075.725,"LINESTRING (-87.6675465 42.0221741, -87.6675484 42.0215963, -87.6672777 42.0212077, -87.6672775 42.0211351, -87.6674273 42.021136, -87.6674269 42.021047, -87.66742549999999 42.0207494, -87.66742480000001 42.0205931, -87.66815010000001 42.0199897, -87.668239 42.019949, -87.6682447 42.0194688, -87.66834299999999 42.0194403, -87.6685422 42.0193265, -87.6686416 42.0192717, -87.6686644 42.0192703, -87.6707553 42.0182658, -87.6710307 42.0181351, -87.67112880000001 42.0180881, -87.671215 42.0180468, -87.6726319 42.0173776, -87.6728815 42.017258, -87.6729105 42.01724469999998, -87.6730678 42.0171725, -87.6731362 42.01714110000001, -87.6731948 42.0171141, -87.6736753 42.0168882, -87.67371989999999 42.0168672, -87.67386569999999 42.01679870000001, -87.67460730000001 42.0164499, -87.6747373 42.0171452)","(42.0221741, -87.6675465)","(42.0171452, -87.6747373)"
170310101002,588,0,175.361,"LINESTRING (-87.67299439999999 42.02123959999999, -87.6730689 42.0212415, -87.6731678 42.0212414, -87.6731814 42.02117160000001, -87.6731951 42.0211047, -87.6731925 42.0197953)","(42.02123959999999, -87.6729944)","(42.0197953, -87.6731925)"
170310101002,587,1,736.676,"LINESTRING (-87.67299439999999 42.02123959999999, -87.67298190000001 42.0211694, -87.6729704 42.0211066, -87.6729954 42.0194685, -87.6729435 42.019383, -87.6728966 42.0193079, -87.6730634 42.0193068, -87.673097 42.0193066, -87.6732008 42.01926019999998, -87.67326439999999 42.0192435, -87.6733795 42.0190222, -87.67289470000001 42.0185982, -87.6728949 42.0183456, -87.6728937 42.0182617, -87.6728932 42.01822109999998, -87.6728821 42.0173127, -87.6728815 42.017258, -87.6729105 42.01724469999998, -87.6730678 42.0171725, -87.6731362 42.01714110000001, -87.6731948 42.0171141, -87.6736753 42.0168882, -87.67371989999999 42.0168672, -87.67386569999999 42.01679870000001, -87.67460730000001 42.0164499, -87.6747373 42.0171452)","(42.02123959999999, -87.6729944)","(42.0171452, -87.6747373)"
170310101003,588,0,643.105,"LINESTRING (-87.6662254 42.0204237, -87.6663648 42.0203592, -87.66652290000002 42.0202848, -87.6681549 42.0195007, -87.6682447 42.0194688, -87.66834299999999 42.0194403, -87.66888299999999 42.0194453, -87.66939259999999 42.0194499, -87.6694814 42.0194509, -87.66959710000002 42.0194518, -87.6701202 42.0194511, -87.6710961 42.019457, -87.6712282 42.0194578, -87.67143660000001 42.0194591, -87.67180620000001 42.0194611, -87.67192230000001 42.019462, -87.6720304 42.0194627, -87.6724902 42.0194655, -87.6729954 42.0194685, -87.67308060000001 42.0194691, -87.67308490000001 42.0197953, -87.6731925 42.0197953)","(42.0204237, -87.6662254)","(42.0197953, -87.6731925)"
170310101003,587,1,900.7,"LINESTRING (-87.6662254 42.0204237, -87.6663648 42.0203592, -87.66652290000002 42.0202848, -87.6681549 42.0195007, -87.6682447 42.0194688, -87.66834299999999 42.0194403, -87.6685422 42.0193265, -87.6686416 42.0192717, -87.6686644 42.0192703, -87.6707553 42.0182658, -87.6710307 42.0181351, -87.67112880000001 42.0180881, -87.671215 42.0180468, -87.6726319 42.0173776, -87.6728815 42.017258, -87.6729105 42.01724469999998, -87.6730678 42.0171725, -87.6731362 42.01714110000001, -87.6731948 42.0171141, -87.6736753 42.0168882, -87.67371989999999 42.0168672, -87.67386569999999 42.01679870000001, -87.67460730000001 42.0164499, -87.6747373 42.0171452)","(42.0204237, -87.6662254)","(42.0171452, -87.6747373)"
170310102011,583,0,405.485,"LINESTRING (-87.68119539999999 42.0144701, -87.6811891 42.0140963, -87.6811876 42.014009, -87.6811853 42.0139325, -87.68266620000001 42.0133355, -87.682446 42.0127231, -87.6830068 42.0124893, -87.6831162 42.0124316, -87.683235 42.0123493, -87.6832071 42.0122707, -87.6836004 42.0122167)","(42.0144701, -87.6811954)","(42.0122167, -87.6836004)"
170310102011,585,1,663.908,"LINESTRING (-87.68119539999999 42.0144701, -87.6811891 42.0140963, -87.6811876 42.014009, -87.6806072 42.01400270000001, -87.68047439999999 42.0140013, -87.68047610000001 42.0136595, -87.6803716 42.0137109, -87.6802744 42.0136523, -87.68025900000001 42.0136596, -87.68006509999999 42.0136639, -87.6799262 42.0137319, -87.6795963 42.01388910000001, -87.67899370000001 42.0141763, -87.6783561 42.0144791, -87.6782463 42.0145329, -87.6781503 42.01457829999999, -87.6774966 42.01489, -87.6768568 42.0151949, -87.67673809999999 42.0152475, -87.6766496 42.015287, -87.6758382 42.01566969999998, -87.6752992 42.015924, -87.6751869 42.0159562)","(42.0144701, -87.6811954)","(42.0159562, -87.6751869)"
170310102012,585,0,224.844,"LINESTRING (-87.6774966 42.01489, -87.6768568 42.0151949, -87.67673809999999 42.0152475, -87.6766496 42.015287, -87.6758382 42.01566969999998, -87.6752992 42.015924, -87.6751869 42.0159562)","(42.01489, -87.6774966)","(42.0159562, -87.6751869)"
170310102012,587,1,383.341,"LINESTRING (-87.6774966 42.01489, -87.6774996 42.0149708, -87.6768555 42.0152768, -87.6767401 42.0153316, -87.676276 42.0155521, -87.67587640000001 42.015742, -87.6757558 42.0157992, -87.6753222 42.016004, -87.6752042 42.0160613, -87.67509 42.0161155, -87.6751016 42.0162174, -87.67460730000001 42.0164499, -87.6747373 42.0171452)","(42.01489, -87.6774966)","(42.0171452, -87.6747373)"
