cbg_id,store_id,rank,distance,geometry,Origin,Destination
60730125023,35,0,338.169,"LINESTRING (-117.0969015 32.6442254, -117.096222 32.644402, -117.095886 32.644485, -117.0957203 32.6445326, -117.0954075 32.6446223, -117.0952241 32.6446738, -117.0949858 32.6447406, -117.094849 32.644779, -117.0948781 32.6448574, -117.0949498 32.645051, -117.0949583 32.6450739, -117.0950464 32.6453117, -117.0955145 32.6451771, -117.0957305 32.64506080000002)","(32.6442254, -117.09690149999999)","(32.64506080000002, -117.09573049999999)"
60730125023,31,1,460.843,"LINESTRING (-117.0969015 32.6442254, -117.0967984 32.6439578, -117.0967549 32.643845, -117.0967188 32.6437515, -117.0967001 32.643703, -117.0966479 32.6435679, -117.0966022 32.6434494, -117.0965695 32.6433645, -117.0965147 32.6432225, -117.0965026 32.643191, -117.0964697 32.6431058, -117.0964104 32.6429501, -117.0963992 32.6429231, -117.0963684 32.6428434, -117.0963477 32.6427899, -117.0963194 32.6427166, -117.0962969 32.6426581, -117.096222 32.642464, -117.0961689 32.64232650000001, -117.0961125 32.6421809, -117.0960445 32.6420038, -117.0958458 32.6414313, -117.095802 32.641388, -117.0956211 32.6409203, -117.095551 32.640739, -117.0958634 32.6406503, -117.0960824 32.6405881)","(32.6442254, -117.09690149999999)","(32.6405881, -117.09608240000001)"
60730134091,25,0,564.893,"LINESTRING (-117.0406359 32.6316607, -117.0404114 32.63160620000001, -117.0404696 32.6314334, -117.040531 32.63125070000001, -117.040573 32.631126, -117.040593 32.6310683, -117.0406514 32.6308997, -117.0407177 32.630708, -117.0407817 32.6305232, -117.040833 32.630375, -117.0409676 32.6304088, -117.0411808 32.6304623, -117.0413971 32.6305165, -117.041495 32.6305411, -117.041741 32.6306005, -117.0417614 32.630538, -117.0418161 32.6303699, -117.0418444 32.6302832, -117.0419148 32.630067, -117.0417108 32.6300129, -117.0418717 32.6294956, -117.0418486 32.6294897, -117.0416364 32.629437, -117.0414255 32.6293847, -117.0412758 32.6293475, -117.0411064 32.6293073, -117.0409214 32.6292639, -117.0407459 32.6292222, -117.0408841 32.628835, -117.0410504 32.62887330000002)","(32.6316607, -117.0406359)","(32.628873300000016, -117.04105039999999)"
60730134091,32,1,2141.901,"LINESTRING (-117.0406359 32.6316607, -117.0404114 32.63160620000001, -117.0403507 32.6317866, -117.040329 32.631851, -117.0402972 32.6319464, -117.040234 32.6321357, -117.0401974 32.6322451, -117.0401739 32.6323158, -117.0401253 32.6324611, -117.0401123 32.6325001, -117.0400529 32.6326335, -117.0399643 32.6327742, -117.0406543 32.6332904, -117.0412619 32.6340663, -117.0413148 32.6340455, -117.0415097 32.6339688, -117.0415971 32.6339344, -117.0417189 32.63388639999999, -117.0417776 32.6338633, -117.0419196 32.6338074, -117.0419614 32.6339205, -117.0421998 32.634566, -117.0426815 32.63447, -117.0428397 32.6344385, -117.0430266 32.6344013, -117.0432968 32.6343488, -117.0434433 32.6343234, -117.0436526 32.6342765, -117.0439183 32.6342332, -117.0439423 32.6343331, -117.0457808 32.6344586, -117.0460264 32.6346237, -117.0460712 32.6346004, -117.0461164 32.6355034, -117.0459288 32.6357429, -117.0460466 32.6359802, -117.0465329 32.6368754, -117.0474777 32.6370707, -117.0479712 32.6373101, -117.0485211 32.637789, -117.0487344 32.6378665, -117.0489824 32.638008, -117.0491112 32.6381052, -117.0498061 32.6381052, -117.0502094 32.6382118, -117.050704 32.6385125, -117.0509292 32.6386064, -117.0516577 32.6389775, -117.0516081 32.6393651, -117.0513748 32.6396584, -117.0508724 32.6401498, -117.0507083 32.6400517, -117.0506079 32.6399916, -117.0505315 32.6399459, -117.0503894 32.63985490000001, -117.0502711 32.6397783, -117.0502194 32.6397448, -117.0500806 32.6396483, -117.0496595 32.64012940000001, -117.049367 32.6404956, -117.0493127 32.640617)","(32.6316607, -117.0406359)","(32.640617, -117.04931270000002)"
60730134142,29,0,1404.754,"LINESTRING (-117.0146565 32.6336642, -117.0141297 32.634097, -117.0143495 32.6346565, -117.013634 32.634678, -117.0138754 32.6356938, -117.0141698 32.63638640000001, -117.0141901 32.6368886, -117.0169447 32.6361528, -117.0206347 32.6357122, -117.0206391 32.6358165, -117.0206565 32.6359485, -117.0206637 32.6360762, -117.0207058 32.6368201, -117.020708 32.6369026, -117.0212237 32.6368953, -117.0214168 32.6368442, -117.0215832 32.6367942, -117.021633 32.6367733, -117.0217969 32.6367305, -117.0218596 32.6367141, -117.021845 32.6362071)","(32.6336642, -117.0146565)","(32.6362071, -117.021845)"
60730134142,30,1,1670.33,"LINESTRING (-117.0146565 32.6336642, -117.0141297 32.634097, -117.0143495 32.6346565, -117.013634 32.634678, -117.0138754 32.6356938, -117.0141698 32.63638640000001, -117.0141901 32.6368886, -117.0169447 32.6361528, -117.0206347 32.6357122, -117.0207851 32.6357082, -117.0208016 32.6358087, -117.020837 32.6359422, -117.0228701 32.6359497, -117.0228536 32.6366534, -117.0228502 32.6368248, -117.0228547 32.6370106, -117.0228428 32.6372048, -117.0237359 32.6373693, -117.0238136 32.6373749, -117.0240424 32.637378, -117.0242628 32.6373506, -117.0244408 32.6373398, -117.0246902 32.637339, -117.0248861 32.6373375)","(32.6336642, -117.0146565)","(32.6373375, -117.0248861)"
60730134144,18,0,2132.94,"LINESTRING (-117.0173272 32.6268179, -117.0173892 32.6268091, -117.0175231 32.6267901, -117.0177533 32.6267574, -117.017958 32.62672840000001, -117.018211 32.626694, -117.018417 32.62669, -117.018589 32.6267151, -117.0187918 32.6267576, -117.0190856 32.626823, -117.0206346 32.624062, -117.0206585 32.6234494, -117.0206871 32.6232952, -117.0195658 32.6203104, -117.0187655 32.6182543, -117.0179686 32.6164581, -117.0192085 32.615965, -117.0205645 32.6154225, -117.0207141 32.6153622, -117.0238855 32.6143733, -117.0251934 32.6143464)","(32.6268179, -117.01732719999998)","(32.6143464, -117.02519340000002)"
60730134144,25,1,2698.394,"LINESTRING (-117.0173272 32.6268179, -117.0173892 32.6268091, -117.0175231 32.6267901, -117.0177533 32.6267574, -117.017958 32.62672840000001, -117.018211 32.626694, -117.018417 32.62669, -117.018589 32.6267151, -117.0187918 32.6267576, -117.0190856 32.626823, -117.0206346 32.624062, -117.0206585 32.6234494, -117.025458 32.6248547, -117.0255879 32.62491119999999, -117.032429 32.6266054, -117.0342953 32.6275124, -117.03441 32.6275514, -117.0367244 32.6280172, -117.0367142 32.6281038, -117.0366598 32.6285623, -117.036954 32.628587, -117.0372367 32.6286854, -117.0374318 32.6287673, -117.0376053 32.6287741, -117.0377616 32.6287803, -117.0379106 32.6287993, -117.0380933 32.6288194, -117.0382679 32.6288374, -117.0384491 32.6288512, -117.038677 32.6288627, -117.0388546 32.6288824, -117.0390278 32.6289029, -117.0392139 32.628925, -117.0393913 32.6289468, -117.0395748 32.62897, -117.0397544 32.6289997, -117.0399102 32.6290304, -117.0400596 32.6290602, -117.0403559 32.6287132, -117.040524 32.628752, -117.0407096 32.6287948, -117.0408841 32.628835, -117.0410504 32.62887330000002)","(32.6268179, -117.01732719999998)","(32.628873300000016, -117.04105039999999)"
60730134211,36,0,1690.111,"LINESTRING (-117.0107236 32.6490363, -117.0115427 32.649246, -117.0120937 32.6483742, -117.0128233 32.6472432, -117.011017 32.64632, -117.0093862 32.6464989, -117.0071839 32.6471711, -117.0061572 32.6471902, -117.0059963 32.6471902, -117.0058279 32.64716209999999, -117.0054002 32.646991, -117.0051753 32.64687, -117.0050486 32.64680449999999, -117.0048151 32.6466839, -117.0046616 32.6466047, -117.004399 32.6465251, -117.0038243 32.6465909, -117.0033427 32.6468976, -117.0032694 32.6469742, -117.0032132 32.6469402, -117.0025287 32.6465666, -117.0026524 32.6464004, -117.0024822 32.6463082, -117.0024057 32.64605, -117.0015854 32.6454255, -117.0015569 32.6452415, -117.0007682 32.6454052)","(32.6490363, -117.01072360000002)","(32.6454052, -117.00076820000001)"
60730134211,29,1,2790.913,"LINESTRING (-117.0107236 32.6490363, -117.0115427 32.649246, -117.0120937 32.6483742, -117.0128233 32.6472432, -117.011017 32.64632, -117.010857 32.645458, -117.0107891 32.64449870000001, -117.0107802 32.64441870000001, -117.010689 32.643593, -117.0102458 32.6435587, -117.0118122 32.6411535, -117.0117265 32.640876, -117.0116808 32.6407553, -117.0116473 32.640696, -117.0111684 32.6398914, -117.011803 32.639202, -117.0111423 32.63860220000002, -117.0112729 32.6384602, -117.0206565 32.6359485, -117.0206637 32.6360762, -117.0207058 32.6368201, -117.020708 32.6369026, -117.0212237 32.6368953, -117.0214168 32.6368442, -117.0215832 32.6367942, -117.021633 32.6367733, -117.0217969 32.6367305, -117.0218596 32.6367141, -117.021845 32.6362071)","(32.6490363, -117.01072360000002)","(32.6362071, -117.021845)"
