cbg_id,store_id,rank,distance,geometry,Origin,Destination
390351011011,63,0,1463.139,"LINESTRING (-81.74628180000001 41.4837849, -81.74515649999999 41.4842119, -81.7445444 41.484472, -81.74421700000001 41.484394, -81.74322600000001 41.484112, -81.74223619999999 41.4838491, -81.741516 41.483651, -81.7401821 41.4832761, -81.739293 41.483036, -81.73849 41.482805, -81.738491 41.481896, -81.737478 41.482165, -81.737495 41.480015, -81.737807 41.47993, -81.737799 41.47864, -81.73782199999999 41.477194)","(41.4837849, -81.7462818)","(41.477194, -81.737822)"
390351011011,68,1,1689.647,"LINESTRING (-81.74628180000001 41.4837849, -81.74515649999999 41.4842119, -81.7445444 41.484472, -81.74421700000001 41.484394, -81.74322600000001 41.484112, -81.74223619999999 41.4838491, -81.741516 41.483651, -81.7401821 41.4832761, -81.739293 41.483036, -81.73849 41.482805, -81.737584 41.4825527, -81.7367794 41.4823494, -81.735754 41.48262, -81.73546 41.4826977, -81.73472700000001 41.482883, -81.73344400000001 41.483217, -81.7322583 41.483532, -81.73138400000001 41.48376059999999, -81.73028100000001 41.484049, -81.7292532 41.4843272, -81.728275 41.484592, -81.727301 41.4848425)","(41.4837849, -81.7462818)","(41.4848425, -81.727301)"
390351011012,63,0,1649.411,"LINESTRING (-81.75144419999999 41.4818261, -81.75019760000001 41.4799826, -81.74955300000001 41.4800471, -81.748529 41.480138, -81.747338 41.480236, -81.746233 41.480335, -81.745108 41.480423, -81.74427300000001 41.480484, -81.743414 41.480628, -81.743402 41.4787048, -81.74326259999999 41.4771473, -81.741877 41.477153, -81.740735 41.477167, -81.74012999999999 41.477169, -81.738917 41.477175, -81.73782199999999 41.477194)","(41.4818261, -81.7514442)","(41.477194, -81.737822)"
390351011012,73,1,1728.441,"LINESTRING (-81.75144419999999 41.4818261, -81.75199720000001 41.482642, -81.75242129999999 41.484534, -81.7530843 41.4846546, -81.7551613 41.4850768, -81.75572219999999 41.485133, -81.7563243 41.4852441, -81.7575004 41.4854379, -81.7586563 41.4857144, -81.760435 41.4859968, -81.761017 41.48611, -81.76218179999999 41.48629089999999, -81.76334230000001 41.4865501, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.76739999999999 41.487254, -81.76874309999999 41.487528)","(41.4818261, -81.7514442)","(41.487528, -81.7687431)"
390351011021,73,0,1349.18,"LINESTRING (-81.7530843 41.4846546, -81.7551613 41.4850768, -81.75572219999999 41.485133, -81.7563243 41.4852441, -81.7575004 41.4854379, -81.7586563 41.4857144, -81.760435 41.4859968, -81.761017 41.48611, -81.76218179999999 41.48629089999999, -81.76334230000001 41.4865501, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.76739999999999 41.487254, -81.76874309999999 41.487528)","(41.4846546, -81.7530843)","(41.487528, -81.7687431)"
390351011021,71,1,1434.617,"LINESTRING (-81.7530843 41.4846546, -81.7551613 41.4850768, -81.75572219999999 41.485133, -81.7563243 41.4852441, -81.7575004 41.4854379, -81.7586563 41.4857144, -81.760435 41.4859968, -81.761017 41.48611, -81.76218179999999 41.48629089999999, -81.76334230000001 41.4865501, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.767422 41.48515)","(41.4846546, -81.7530843)","(41.48515, -81.767422)"
390351011022,71,0,1209.687,"LINESTRING (-81.75756199999999 41.4824482, -81.7586913 41.48277, -81.75980300000001 41.4831, -81.760949 41.483422, -81.7620783 41.4837301, -81.76280819999999 41.4820931, -81.7628699 41.4821082, -81.76394519999999 41.4824013, -81.7648939 41.4826262, -81.7650788 41.4826777, -81.76613 41.482956, -81.7662373 41.4829875, -81.7674275 41.4832718, -81.767422 41.48515)","(41.4824482, -81.757562)","(41.48515, -81.767422)"
390351011022,73,1,1345.28,"LINESTRING (-81.75756199999999 41.4824482, -81.7586913 41.48277, -81.75980300000001 41.4831, -81.760949 41.483422, -81.7620783 41.4837301, -81.761017 41.48611, -81.76218179999999 41.48629089999999, -81.76334230000001 41.4865501, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.76739999999999 41.487254, -81.76874309999999 41.487528)","(41.4824482, -81.757562)","(41.487528, -81.7687431)"
390351011023,73,0,369.849,"LINESTRING (-81.7645747 41.4866985, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.76739999999999 41.487254, -81.76874309999999 41.487528)","(41.4866985, -81.7645747)","(41.487528, -81.7687431)"
390351011023,71,1,455.286,"LINESTRING (-81.7645747 41.4866985, -81.7645388 41.4867782, -81.7661557 41.4870159, -81.767422 41.48515)","(41.4866985, -81.7645747)","(41.48515, -81.767422)"
