cbg_id,store_id,rank,distance,geometry,Origin,Destination
80410031003,5,0,3029.227,"LINESTRING (-104.8427352 38.7892081, -104.8423341 38.7892592, -104.8426951 38.7902549, -104.8427131 38.7903042, -104.842795 38.7905299, -104.8428469 38.79067289999998, -104.8425079 38.7907951, -104.8413456 38.7912155, -104.8407805 38.7914181, -104.8402019 38.7916256, -104.8399545 38.7917154, -104.8393425 38.7921171, -104.8392407 38.7923678, -104.8392185 38.7925316, -104.8379683 38.7928234, -104.8379428 38.7928293, -104.8371186 38.7930066, -104.8362201 38.7932001, -104.8354653 38.7933619, -104.8354841 38.7943407, -104.8354841 38.7955947, -104.8337769 38.7959532, -104.8337892 38.7968388, -104.8337909 38.7968896, -104.8337759 38.7971024, -104.8337704 38.7971856, -104.8334766 38.7981614, -104.8328286 38.7983012, -104.8320036 38.7984792, -104.8318453 38.79851869999999, -104.8315508 38.7985986, -104.8281277 38.8003054, -104.8267081 38.8010576, -104.8264718 38.8011794, -104.8262515 38.8012929, -104.8260027 38.8014211, -104.8256689 38.8015931, -104.8255435 38.8016589, -104.8252576 38.8017972, -104.8251925 38.8018287, -104.8245636 38.8021541, -104.8241177 38.8024369, -104.8240194 38.8025485, -104.8239876 38.8026164, -104.8239721 38.8030408, -104.8239803 38.8034725, -104.8239964 38.8044069, -104.8233781 38.804822, -104.8228341 38.80518739999999, -104.8230183 38.8054655, -104.8230217 38.8058931, -104.8227296 38.8059123, -104.8226956 38.8059131, -104.8223743 38.8058298)","(38.7892081, -104.8427352)","(38.8058298, -104.8223743)"
80410031003,6,1,3374.887,"LINESTRING (-104.8427352 38.7892081, -104.8423341 38.7892592, -104.8426951 38.7902549, -104.8427131 38.7903042, -104.842795 38.7905299, -104.8428469 38.79067289999998, -104.8425079 38.7907951, -104.8413456 38.7912155, -104.8407805 38.7914181, -104.8402019 38.7916256, -104.8399545 38.7917154, -104.8393425 38.7921171, -104.8392407 38.7923678, -104.8392185 38.7925316, -104.8379683 38.7928234, -104.8379428 38.7928293, -104.8371186 38.7930066, -104.8362201 38.7932001, -104.8354653 38.7933619, -104.8354841 38.7943407, -104.8354841 38.7955947, -104.8337769 38.7959532, -104.8337892 38.7968388, -104.8337909 38.7968896, -104.8337759 38.7971024, -104.8337704 38.7971856, -104.8334766 38.7981614, -104.8328286 38.7983012, -104.8320036 38.7984792, -104.8318453 38.79851869999999, -104.8315508 38.7985986, -104.8281277 38.8003054, -104.8267081 38.8010576, -104.8264718 38.8011794, -104.8262515 38.8012929, -104.8260027 38.8014211, -104.8256689 38.8015931, -104.8255435 38.8016589, -104.8252576 38.8017972, -104.8251925 38.8018287, -104.8245636 38.8021541, -104.8241177 38.8024369, -104.8240194 38.8025485, -104.8239876 38.8026164, -104.8239721 38.8030408, -104.8239803 38.8034725, -104.8239964 38.8044069, -104.8233781 38.804822, -104.8228341 38.80518739999999, -104.8230183 38.8054655, -104.8230217 38.8058931, -104.8227296 38.8059123, -104.8227304 38.8059946, -104.8225602 38.8065503, -104.8225375 38.8065645, -104.8224913 38.8065934, -104.8225064 38.8067005, -104.8225213 38.8068058, -104.8224618 38.8074984, -104.8224622 38.8075896, -104.8224608 38.8079203, -104.8224643 38.8082149, -104.8224653 38.8082672, -104.8224779 38.8083579, -104.8224715 38.8086007, -104.8224734 38.80867760000001, -104.822483 38.8091865)","(38.7892081, -104.8427352)","(38.8091865, -104.822483)"
80410002032,44,0,1693.977,"LINESTRING (-104.8126794 38.8936297, -104.8126789 38.89390789999999, -104.8126783 38.8942042, -104.8126782 38.8942683, -104.8126781 38.89434489999999, -104.8126775 38.89463, -104.812677 38.894915, -104.812677 38.8949315, -104.8126769 38.8949845, -104.8126767 38.8950696, -104.8126762 38.895348, -104.8126755 38.89570259999999, -104.8126748 38.8960604, -104.8126743 38.89634680000001, -104.8126742 38.8963685, -104.8126741 38.8964269, -104.812674 38.8964919, -104.8126921 38.8969777, -104.8127041 38.8970282, -104.8129317 38.897153, -104.8131663 38.8971656, -104.8133966 38.8971936, -104.8136234 38.8971922, -104.8138449 38.8971648, -104.8140731 38.8971452, -104.8142996 38.8971094, -104.8149959 38.8975045, -104.8151036 38.8975647, -104.8151067 38.8976725, -104.8180093 38.897391, -104.817992 38.8975004, -104.8179651 38.89767770000001, -104.818249 38.8976463, -104.8182307 38.8977731, -104.8181723 38.8981217, -104.818103 38.8985351, -104.8180292 38.8990205, -104.8179545 38.8994505, -104.8178794 38.899883, -104.8178549 38.9000241, -104.8178111 38.9002763, -104.8177346 38.9007327, -104.8177035 38.900918, -104.8175815 38.9010598, -104.8170748 38.90373730000001, -104.817047 38.9038919, -104.8170349 38.9040138, -104.8173042 38.9040508)","(38.8936297, -104.81267939999998)","(38.9040508, -104.8173042)"
80410002032,46,1,1838.368,"LINESTRING (-104.8126794 38.8936297, -104.8126789 38.89390789999999, -104.8126783 38.8942042, -104.8126782 38.8942683, -104.8126781 38.89434489999999, -104.8126775 38.89463, -104.812677 38.894915, -104.812677 38.8949315, -104.8126769 38.8949845, -104.8126767 38.8950696, -104.8126762 38.895348, -104.8126755 38.89570259999999, -104.8126748 38.8960604, -104.8126743 38.89634680000001, -104.8126742 38.8963685, -104.8126741 38.8964269, -104.812674 38.8964919, -104.8126921 38.8969777, -104.8127041 38.8970282, -104.8129317 38.897153, -104.8131663 38.8971656, -104.8133966 38.8971936, -104.8136234 38.8971922, -104.8138449 38.8971648, -104.8140731 38.8971452, -104.8142996 38.8971094, -104.8149959 38.8975045, -104.8151036 38.8975647, -104.8151067 38.8976725, -104.8180093 38.897391, -104.817992 38.8975004, -104.8179651 38.89767770000001, -104.818249 38.8976463, -104.8182307 38.8977731, -104.8181723 38.8981217, -104.818103 38.8985351, -104.8180292 38.8990205, -104.8179545 38.8994505, -104.8178794 38.899883, -104.8178549 38.9000241, -104.8178111 38.9002763, -104.818018 38.9003645, -104.8179903 38.9007544, -104.8179627 38.9009458, -104.8179267 38.9010986, -104.8177738 38.9018124, -104.8176155 38.9028352, -104.8174895 38.9037787, -104.8175079 38.9038219, -104.8175109 38.9038267, -104.8174963 38.9039272, -104.8174759 38.9040686, -104.8174412 38.9041753, -104.8174115 38.90422209999998, -104.8172293 38.9054214)","(38.8936297, -104.81267939999998)","(38.9054214, -104.8172293)"
80410002033,30,0,2226.723,"LINESTRING (-104.8075814 38.889485, -104.8062754 38.8884394, -104.8066399 38.8879529, -104.8066808 38.8878983, -104.8067326 38.8878312, -104.8071055 38.8873479, -104.8071538 38.8872853, -104.8063052 38.8868756, -104.806355 38.8868145, -104.8067379 38.8863448, -104.8067641 38.8862631, -104.8061661 38.8854855, -104.8044803 38.8843381, -104.8044653 38.8841627, -104.8039085 38.8837706, -104.8036384 38.8833378, -104.8035222 38.8832193, -104.8021718 38.8823968, -104.8021269 38.8823342, -104.8021752 38.8822521, -104.8026915 38.8818247, -104.8027663 38.881778, -104.8028699 38.8817051, -104.8033855 38.8810825, -104.8035297 38.8804133, -104.8044857 38.8787563, -104.8044861 38.8786853, -104.8044929 38.8774933, -104.8044933 38.8774233, -104.8044936 38.8773876, -104.8045037 38.8761906, -104.8045042 38.8749951, -104.8045049 38.8749602, -104.804504 38.8744937, -104.8045044 38.8744661, -104.804912 38.8740451, -104.8049162 38.8739378)","(38.889485, -104.8075814)","(38.8739378, -104.8049162)"
80410002033,44,1,2431.81,"LINESTRING (-104.8075814 38.889485, -104.8074918 38.8894848, -104.8075116 38.88957549999999, -104.8068726 38.8917793, -104.8073897 38.8919609, -104.8078772 38.89212529999999, -104.8079905 38.8921777, -104.808025 38.8922857, -104.8080224 38.8935705, -104.8080259 38.8939089, -104.808012 38.8946924, -104.8080123 38.8947797, -104.8080145 38.8954082, -104.8080147 38.8954645, -104.8079213 38.89558420000002, -104.8078716 38.8956491, -104.8077522 38.89686619999998, -104.807814 38.8969188, -104.8076825 38.8970197, -104.8075478 38.8971176, -104.807431 38.89719309999999, -104.806875 38.89752, -104.806752 38.8975716, -104.8067658 38.8977302, -104.8064033 38.8980487, -104.8063546 38.8981061, -104.8064689 38.8985323, -104.8064967 38.89858109999999, -104.8065016 38.8986137, -104.8064731 38.8987942, -104.8091431 38.8997399, -104.8097343 38.8998672, -104.8097956 38.89995, -104.8107457 38.90001, -104.8113312 38.90052759999998, -104.8145086 38.9021978, -104.8148703 38.9030184, -104.8149239 38.9032516, -104.8148886 38.90333050000001, -104.814823 38.9034311, -104.8149857 38.9034966, -104.8155002 38.9037358, -104.8155615 38.9037594, -104.8168642 38.9039948, -104.8170349 38.9040138, -104.8173042 38.9040508)","(38.889485, -104.8075814)","(38.9040508, -104.8173042)"
80410002031,30,0,1751.521,"LINESTRING (-104.7969506 38.885897, -104.7976844 38.8858934, -104.797873 38.8858925, -104.7980032 38.8858936, -104.7982307 38.8858954, -104.7985882 38.8858933, -104.7989113 38.8858944, -104.799068 38.8858928, -104.7995685 38.8858836, -104.7995692 38.8858141, -104.8000735 38.8842114, -104.8001771 38.8838915, -104.8013108 38.8828994, -104.8015935 38.882688, -104.8016953 38.8826401, -104.8018369 38.8825634, -104.8019842 38.8825037, -104.8020046 38.8824175, -104.8019959 38.8823937, -104.8020285 38.8822708, -104.8021351 38.8821757, -104.8026012 38.8817668, -104.8026634 38.8817207, -104.8033114 38.8810395, -104.803355 38.8809153, -104.8034222 38.8804139, -104.8035297 38.8804133, -104.8044857 38.8787563, -104.8044861 38.8786853, -104.8044929 38.8774933, -104.8044933 38.8774233, -104.8044936 38.8773876, -104.8045037 38.8761906, -104.8045042 38.8749951, -104.8045049 38.8749602, -104.804504 38.8744937, -104.8045044 38.8744661, -104.804912 38.8740451, -104.8049162 38.8739378)","(38.885897, -104.7969506)","(38.8739378, -104.8049162)"
80410002031,44,1,3189.992,"LINESTRING (-104.7969506 38.885897, -104.7976844 38.8858934, -104.7979726 38.8861099, -104.7992839 38.8870951, -104.7994007 38.8870929, -104.7995046 38.8871733, -104.7996598 38.8872948, -104.8004746 38.8879327, -104.8005593 38.8879961, -104.8009165 38.88826130000001, -104.8013442 38.8885793, -104.8015573 38.888746, -104.8021568 38.889211, -104.8028601 38.8895957, -104.8033793 38.8895985, -104.8033845 38.8896943, -104.8036993 38.8896921, -104.8041617 38.8898581, -104.8044651 38.8901452, -104.8045588 38.890239, -104.8046858 38.8903661, -104.8047985 38.8904851, -104.804878 38.890622, -104.8050549 38.8913679, -104.805182 38.891611, -104.8051611 38.8916406, -104.8057756 38.89208, -104.8058044 38.892113, -104.8071462 38.8956265, -104.8071685 38.8958063, -104.8072101 38.8960828, -104.807666 38.8968668, -104.8075831 38.8969244, -104.8074514 38.8970286, -104.8073419 38.8971154, -104.807431 38.89719309999999, -104.806875 38.89752, -104.806752 38.8975716, -104.8067658 38.8977302, -104.8064033 38.8980487, -104.8063546 38.8981061, -104.8064689 38.8985323, -104.8064967 38.89858109999999, -104.8065016 38.8986137, -104.8064731 38.8987942, -104.8091431 38.8997399, -104.8097343 38.8998672, -104.8097956 38.89995, -104.8107457 38.90001, -104.8113312 38.90052759999998, -104.8145086 38.9021978, -104.8148703 38.9030184, -104.8149239 38.9032516, -104.8148886 38.90333050000001, -104.814823 38.9034311, -104.8149857 38.9034966, -104.8155002 38.9037358, -104.8155615 38.9037594, -104.8168642 38.9039948, -104.8170349 38.9040138, -104.8173042 38.9040508)","(38.885897, -104.7969506)","(38.9040508, -104.8173042)"
80410003011,30,0,1299.978,"LINESTRING (-104.7962905 38.8797219, -104.7963966 38.8792399, -104.7963915 38.8790774, -104.7964424 38.8789981, -104.8007966 38.8787695, -104.800872 38.8787271, -104.8012689 38.8771777, -104.8026828 38.8767238, -104.803286 38.876733, -104.8032964 38.876659, -104.8033052 38.8761923, -104.8033058 38.8759924, -104.8033062 38.8758669, -104.8033068 38.8756785, -104.8033073 38.8755228, -104.8033351 38.8751883, -104.8034251 38.8751844, -104.8035317 38.8751799, -104.803535 38.8750039, -104.8039083 38.8750016, -104.8039803 38.8750008, -104.8045042 38.8749951, -104.8045049 38.8749602, -104.804504 38.8744937, -104.8045044 38.8744661, -104.804912 38.8740451, -104.8049162 38.8739378)","(38.8797219, -104.7962905)","(38.8739378, -104.8049162)"
80410003011,28,1,2887.49,"LINESTRING (-104.7962905 38.8797219, -104.7963966 38.8792399, -104.7956143 38.8793541, -104.7955911 38.8787591, -104.7954417 38.8769575, -104.7954587 38.8769355, -104.7958317 38.8766374, -104.7977383 38.8750899, -104.7978601 38.8749873, -104.7984317 38.8744782, -104.7991273 38.87387849999999, -104.7994061 38.8736387, -104.7995381 38.8735296, -104.7996749 38.8734121, -104.7997622 38.8733353, -104.8009591 38.8722716, -104.8021876 38.871187, -104.8032814 38.8702319, -104.8040793 38.8695216, -104.8044268 38.8692173, -104.804775 38.86891230000001, -104.8051211 38.8685962, -104.8053758 38.8683637, -104.805486 38.868268, -104.8056013 38.8681675, -104.8059058 38.867909, -104.8062582 38.8676099, -104.8066406 38.867263, -104.8070776 38.8668626, -104.8071591 38.8667882, -104.8074319 38.8665169, -104.8075039 38.8664453, -104.8075842 38.8663598, -104.8077189 38.8662164, -104.8078652 38.8660613, -104.8082319 38.8656735, -104.8089686 38.8649214, -104.8098894 38.8639801, -104.8100807 38.8639978, -104.8104078 38.864009, -104.8110803 38.8640308, -104.8116426 38.8640484, -104.8117785 38.8640527, -104.8118981 38.8640555, -104.8124861 38.8640695, -104.8130528 38.8640916, -104.8132219 38.8640982, -104.8133644 38.8641024, -104.814045 38.8641225, -104.8146067 38.8641396, -104.8147783 38.8641448, -104.8149222 38.8641493, -104.8155166 38.8641681, -104.8162269 38.8641906, -104.8163637 38.8641949, -104.8165663 38.8642351)","(38.8797219, -104.7962905)","(38.8642351, -104.8165663)"
