cbg_id,store_id,rank,distance,geometry,Origin,Destination
390490075341,67,0,2905.345,"LINESTRING (-82.94363079999999 40.0300217, -82.943786 40.0288161, -82.9438115 40.0286459, -82.9437965 40.0282898, -82.9435964 40.0275861, -82.943545 40.026658, -82.94462780000001 40.0267047, -82.945043 40.026722, -82.947148 40.026804, -82.94724429999999 40.0262906, -82.94772089999999 40.025681, -82.9478081 40.0252458, -82.94785400000001 40.024815, -82.947923 40.024003, -82.9495917 40.0240864, -82.950164 40.024114, -82.9503369 40.0219922, -82.950338 40.021977, -82.95216000000001 40.022062, -82.952279 40.020409, -82.952291 40.020295, -82.95235700000001 40.019352, -82.952422 40.018409, -82.952439 40.018035, -82.952511 40.017331, -82.950664 40.017195, -82.95071299999999 40.016459, -82.950884 40.01433, -82.9509937 40.0128379, -82.950998 40.01278, -82.9510303 40.0123526, -82.9502888 40.01231239999998, -82.9500254 40.0122981)","(40.0300217, -82.9436308)","(40.0122981, -82.9500254)"
390490075341,68,1,2905.345,"LINESTRING (-82.94363079999999 40.0300217, -82.943786 40.0288161, -82.9438115 40.0286459, -82.9437965 40.0282898, -82.9435964 40.0275861, -82.943545 40.026658, -82.94462780000001 40.0267047, -82.945043 40.026722, -82.947148 40.026804, -82.94724429999999 40.0262906, -82.94772089999999 40.025681, -82.9478081 40.0252458, -82.94785400000001 40.024815, -82.947923 40.024003, -82.9495917 40.0240864, -82.950164 40.024114, -82.9503369 40.0219922, -82.950338 40.021977, -82.95216000000001 40.022062, -82.952279 40.020409, -82.952291 40.020295, -82.95235700000001 40.019352, -82.952422 40.018409, -82.952439 40.018035, -82.952511 40.017331, -82.950664 40.017195, -82.95071299999999 40.016459, -82.950884 40.01433, -82.9509937 40.0128379, -82.950998 40.01278, -82.9510303 40.0123526, -82.9502888 40.01231239999998, -82.9500254 40.0122981)","(40.0300217, -82.9436308)","(40.0122981, -82.9500254)"
390490011212,64,0,673.318,"LINESTRING (-83.01307439999999 40.0036113, -83.0130223 40.0035494, -83.0130075 40.0035317, -83.0129919 40.0035131, -83.0128424 40.0035285, -83.01273140000001 40.0035417, -83.0123033 40.0036679, -83.012142 40.0036516, -83.011782 40.0037844, -83.0110918 40.0037268, -83.01106059999999 40.0037052, -83.01090979999999 40.0036991, -83.0107304 40.0036932, -83.01068750000002 40.003639, -83.0102163 40.0036573, -83.0101865 40.0036567, -83.0099321 40.0036463, -83.0095113 40.0036268, -83.0093731 40.0036203, -83.0092111 40.0034433, -83.0088015 40.0030192, -83.0086986 40.0025294, -83.00854529999999 40.0025432, -83.0085321 40.0024789, -83.0085074 40.00234879999999, -83.008404 40.001848, -83.0083678 40.001648, -83.00835480000001 40.0015761, -83.00833919999999 40.0014974, -83.00821809999999 40.0008863)","(40.0036113, -83.0130744)","(40.0008863, -83.0082181)"
390490011212,72,1,1616.694,"LINESTRING (-83.01307439999999 40.0036113, -83.0130449 40.0036146, -83.01313399999999 40.0038722, -83.01313759999999 40.0039364, -83.01313930000001 40.0040143, -83.0131298 40.0041574, -83.0131286 40.0041961, -83.01310669999999 40.004522, -83.013098 40.0046515, -83.0130844 40.0048546, -83.01307730000001 40.0049676, -83.0135678 40.0053187, -83.01363150000002 40.0053216, -83.0139085 40.0053351, -83.01395549999999 40.0054447, -83.0139499 40.0055297, -83.0139446 40.0056091, -83.0139226 40.0056084, -83.014202 40.0058515, -83.0142673 40.0058541, -83.01424630000001 40.006068, -83.01433369999999 40.0060713, -83.014321 40.0062204, -83.0142996 40.0063359, -83.0142685 40.0065038, -83.0142498 40.0066051, -83.0142209 40.0067616, -83.0141971 40.0068603, -83.0141208 40.0071992, -83.0141035 40.0072768, -83.0140849 40.0073695, -83.01401009999999 40.0077416, -83.01393400000001 40.00816240000001, -83.01391599999999 40.008237, -83.0139025 40.0083225, -83.0138287 40.0087858, -83.0138151 40.0088723, -83.01376260000001 40.0092193, -83.013751 40.0093002, -83.01373270000001 40.0093996, -83.0136662 40.00979449999998, -83.0135999 40.0101941, -83.0135847 40.0102859, -83.0135229 40.0106526, -83.0134477 40.0109762, -83.0134133 40.0110612, -83.0133708 40.0111579, -83.0132732 40.0114291, -83.0132392 40.0115292, -83.01312179999999 40.0118951, -83.01309500000001 40.0119785, -83.0130727 40.0120493, -83.0129891 40.0123884, -83.01298770000001 40.0124264, -83.0130278 40.012625, -83.0131157 40.0129555, -83.0131361 40.0130323, -83.0131595 40.0131202, -83.01328239999999 40.0135823, -83.01321059999999 40.0135937, -83.0133223 40.0140607, -83.0132893 40.0141024, -83.01330369999999 40.0141652, -83.01317940000001 40.0141847, -83.01315889999999 40.0142409, -83.0132181 40.0147555, -83.0132922 40.0152772, -83.0133026 40.0153164, -83.0123217 40.015469, -83.01233569999999 40.0155198, -83.0117827 40.0156088, -83.01175929999999 40.0156381, -83.0116609 40.0156506, -83.0117317 40.0159296, -83.011782 40.0161278)","(40.0036113, -83.0130744)","(40.0161278, -83.011782)"
390490054201,27,0,1290.762,"LINESTRING (-82.9488942 39.9508698, -82.9489505 39.9501958, -82.9489861 39.9497056, -82.9489961 39.9495737, -82.9490284 39.9491444, -82.9490363 39.9490555, -82.94905860000001 39.9487471, -82.9473064 39.9486281, -82.9466736 39.9486048, -82.94614660000001 39.94857889999999, -82.94564459999999 39.9485574, -82.9455444 39.948556, -82.94549139999999 39.9484584, -82.9454738 39.9484282, -82.9454181 39.9483325, -82.9452118 39.94827859999999, -82.945199 39.948216, -82.94516779999999 39.9479611, -82.9451596 39.9478936, -82.9451473 39.94779290000001, -82.9450949 39.9473638, -82.9450662 39.9471289, -82.94496839999999 39.94639409999998, -82.94489160000001 39.94582169999999, -82.94486499999999 39.945623, -82.94474599999999 39.944743, -82.9447236 39.944592, -82.9447048 39.9444651, -82.9446786 39.9442884, -82.9446566 39.94413959999999, -82.94462059999999 39.9438791, -82.9445918 39.9436304, -82.9445746 39.9434826, -82.9445601 39.9433581, -82.94477620000001 39.94310049999999, -82.94489369999999 39.942436, -82.9450878 39.9424467, -82.94510889999999 39.9423027)","(39.9508698, -82.9488942)","(39.9423027, -82.9451089)"
390490054201,47,1,1564.281,"LINESTRING (-82.9488942 39.9508698, -82.9489505 39.9501958, -82.9489861 39.9497056, -82.9489961 39.9495737, -82.9490284 39.9491444, -82.9490363 39.9490555, -82.94905860000001 39.9487471, -82.9473064 39.9486281, -82.9472912 39.9489224, -82.947237 39.949596, -82.947064 39.951967, -82.94690129999999 39.9544319, -82.94686660000001 39.955358, -82.94696 39.955763, -82.94717559999999 39.9565581, -82.9472567 39.9568652, -82.9471236 39.9568649, -82.94636269999999 39.95685, -82.9463636 39.9573801, -82.94616449999999 39.9573764, -82.94570450000001 39.9573708, -82.94495499999999 39.957352)","(39.9508698, -82.9488942)","(39.957352, -82.944955)"
390490072021,97,0,3481.351,"LINESTRING (-82.8946693 40.0685766, -82.894493 40.0682973, -82.89419940000001 40.0682848, -82.8934914 40.0678757, -82.892943 40.067852, -82.8922649 40.0678264, -82.8909814 40.0677775, -82.89021200000001 40.06772620000001, -82.89011619999999 40.0669533, -82.8900448 40.0663421, -82.89001620000001 40.0661447, -82.8899488 40.0655679, -82.889774 40.064593, -82.8894823 40.0640053, -82.889202 40.0635533, -82.8877057 40.0618671, -82.887266 40.061212, -82.885738 40.061155, -82.88511200000001 40.061122, -82.883011 40.061028, -82.881682 40.060965, -82.88031100000001 40.060908, -82.878292 40.060808, -82.87740700000001 40.060766, -82.876665 40.060732, -82.8760365 40.0607059, -82.8752492 40.0606685, -82.87460400000001 40.060636, -82.87414200000001 40.0606177, -82.873758 40.060603, -82.8734553 40.0605875, -82.871672 40.060513, -82.871066 40.060485, -82.87014510000002 40.0604438, -82.86874400000001 40.060207, -82.86760599999999 40.059364, -82.86694 40.058801, -82.86617 40.058374, -82.86513979999999 40.0582324, -82.8645053 40.0582059, -82.8636929 40.058172, -82.86355639999999 40.0581681, -82.86343359999999 40.0581661, -82.8633567 40.0590198, -82.8633363 40.0593396, -82.8633336 40.0593846)","(40.0685766, -82.8946693)","(40.0593846, -82.8633336)"
390490072021,92,1,3821.674,"LINESTRING (-82.8946693 40.0685766, -82.894493 40.0682973, -82.89419940000001 40.0682848, -82.8934914 40.0678757, -82.892943 40.067852, -82.8922649 40.0678264, -82.8909814 40.0677775, -82.89021200000001 40.06772620000001, -82.89011619999999 40.0669533, -82.8900448 40.0663421, -82.89001620000001 40.0661447, -82.8899488 40.0655679, -82.889774 40.064593, -82.8894823 40.0640053, -82.889202 40.0635533, -82.8877057 40.0618671, -82.887266 40.061212, -82.88720499999999 40.0609622, -82.88699200000001 40.060162, -82.886762 40.059212, -82.88661399999999 40.058146, -82.8864808 40.0572894, -82.8867772 40.0572991, -82.88716429999999 40.0573247, -82.8875201 40.0567525, -82.8876988 40.0565478, -82.88786210000002 40.0564377, -82.8901037 40.0565621, -82.8902454 40.05657089999998, -82.890321 40.0565758, -82.8905548 40.0565888, -82.892605 40.0567025, -82.8948777 40.0568286, -82.8975003 40.0569301, -82.897704 40.056941, -82.89834070000001 40.0570077, -82.89866480000001 40.0570264, -82.8990601 40.0570599, -82.9013546 40.057264, -82.9054338 40.0574658, -82.90844060000001 40.05762859999999, -82.9090516 40.0576576, -82.9094187 40.057675, -82.9104466 40.0577239, -82.9107151 40.0577312, -82.9110046 40.0577386)","(40.0685766, -82.8946693)","(40.0577386, -82.9110046)"
390490072022,97,0,3994.332,"LINESTRING (-82.899382 40.068109, -82.89842899999999 40.068064, -82.8984284 40.0680757, -82.89837199999999 40.068984, -82.896939 40.068902, -82.895427 40.0688348, -82.89419940000001 40.0682848, -82.8934914 40.0678757, -82.892943 40.067852, -82.8922649 40.0678264, -82.8909814 40.0677775, -82.89021200000001 40.06772620000001, -82.89011619999999 40.0669533, -82.8900448 40.0663421, -82.89001620000001 40.0661447, -82.8899488 40.0655679, -82.889774 40.064593, -82.8894823 40.0640053, -82.889202 40.0635533, -82.8877057 40.0618671, -82.887266 40.061212, -82.885738 40.061155, -82.88511200000001 40.061122, -82.883011 40.061028, -82.881682 40.060965, -82.88031100000001 40.060908, -82.878292 40.060808, -82.87740700000001 40.060766, -82.876665 40.060732, -82.8760365 40.0607059, -82.8752492 40.0606685, -82.87460400000001 40.060636, -82.87414200000001 40.0606177, -82.873758 40.060603, -82.8734553 40.0605875, -82.871672 40.060513, -82.871066 40.060485, -82.87014510000002 40.0604438, -82.86874400000001 40.060207, -82.86760599999999 40.059364, -82.86694 40.058801, -82.86617 40.058374, -82.86513979999999 40.0582324, -82.8645053 40.0582059, -82.8636929 40.058172, -82.86355639999999 40.0581681, -82.86343359999999 40.0581661, -82.8633567 40.0590198, -82.8633363 40.0593396, -82.8633336 40.0593846)","(40.068109, -82.899382)","(40.0593846, -82.8633336)"
390490072022,92,1,4334.655,"LINESTRING (-82.899382 40.068109, -82.89842899999999 40.068064, -82.8984284 40.0680757, -82.89837199999999 40.068984, -82.896939 40.068902, -82.895427 40.0688348, -82.89419940000001 40.0682848, -82.8934914 40.0678757, -82.892943 40.067852, -82.8922649 40.0678264, -82.8909814 40.0677775, -82.89021200000001 40.06772620000001, -82.89011619999999 40.0669533, -82.8900448 40.0663421, -82.89001620000001 40.0661447, -82.8899488 40.0655679, -82.889774 40.064593, -82.8894823 40.0640053, -82.889202 40.0635533, -82.8877057 40.0618671, -82.887266 40.061212, -82.88720499999999 40.0609622, -82.88699200000001 40.060162, -82.886762 40.059212, -82.88661399999999 40.058146, -82.8864808 40.0572894, -82.8867772 40.0572991, -82.88716429999999 40.0573247, -82.8875201 40.0567525, -82.8876988 40.0565478, -82.88786210000002 40.0564377, -82.8901037 40.0565621, -82.8902454 40.05657089999998, -82.890321 40.0565758, -82.8905548 40.0565888, -82.892605 40.0567025, -82.8948777 40.0568286, -82.8975003 40.0569301, -82.897704 40.056941, -82.89834070000001 40.0570077, -82.89866480000001 40.0570264, -82.8990601 40.0570599, -82.9013546 40.057264, -82.9054338 40.0574658, -82.90844060000001 40.05762859999999, -82.9090516 40.0576576, -82.9094187 40.057675, -82.9104466 40.0577239, -82.9107151 40.0577312, -82.9110046 40.0577386)","(40.068109, -82.899382)","(40.0577386, -82.9110046)"
