cbg_id,store_id,rank,distance,geometry,Origin,Destination
483550021022,21,0,570.289,"LINESTRING (-97.3871298 27.7576094, -97.3873229 27.7580746, -97.3881597 27.7576142, -97.38901269999999 27.7571632, -97.38993000000001 27.7567074, -97.3904173 27.7574225, -97.3906901 27.7578228, -97.39106750000001 27.7583765)","(27.7576094, -97.3871298)","(27.7583765, -97.3910675)"
483550021022,22,1,2184.904,"LINESTRING (-97.3871298 27.7576094, -97.3873229 27.7580746, -97.3881597 27.7576142, -97.38901269999999 27.7571632, -97.38993000000001 27.7567074, -97.3907895 27.7563064, -97.39089819999998 27.7562488, -97.39094470000002 27.7562242, -97.39143610000001 27.7559642, -97.3919677 27.7563473, -97.39210869999999 27.7562616, -97.3921318 27.7562954, -97.39263370000002 27.757073, -97.3927927 27.757298, -97.39310039999999 27.7577803, -97.3936583 27.7584734, -97.39421079999998 27.759157, -97.39476329999999 27.75985, -97.3952998 27.7605288, -97.39582009999999 27.7612266, -97.3963083 27.7619814, -97.39719340000001 27.7613026, -97.3989583 27.7606712, -97.3995645 27.7613596, -97.4004979 27.7618153, -97.4010126 27.7619536, -97.40134159999999 27.7622029, -97.4015146 27.7621074, -97.4018942 27.7617959, -97.4017855 27.7616325, -97.4022689 27.7613549, -97.40250810000001 27.7613347, -97.40253199999999 27.7613724)","(27.7576094, -97.3871298)","(27.7613724, -97.402532)"
483550021021,21,0,1321.285,"LINESTRING (-97.38130630000001 27.7609417, -97.38290170000001 27.7616921, -97.38368060000001 27.7613369, -97.3844249 27.7610522, -97.3850597 27.7604792, -97.38606129999999 27.7595822, -97.3863276 27.7600062, -97.3880685 27.7591095, -97.3885406 27.7597598, -97.3887498 27.7600399, -97.38953840000002 27.7596127, -97.3903699 27.7591759, -97.3912907 27.7587183, -97.39106750000001 27.7583765)","(27.7609417, -97.3813063)","(27.7583765, -97.3910675)"
483550021021,22,1,2871.231,"LINESTRING (-97.38130630000001 27.7609417, -97.38290170000001 27.7616921, -97.38368060000001 27.7613369, -97.3844249 27.7610522, -97.3850597 27.7604792, -97.38606129999999 27.7595822, -97.3863276 27.7600062, -97.38645270000001 27.7601878, -97.3866852 27.7605254, -97.386805 27.7606993, -97.387067 27.7610858, -97.3871231 27.7611685, -97.3872556 27.7613639, -97.3876365 27.7619098, -97.38770090000001 27.7620094, -97.3881568 27.7626883, -97.3899246 27.7618485, -97.3900695 27.7621333, -97.39025719999999 27.7624371, -97.39074539999999 27.7631634, -97.3912906 27.7639457, -97.391751 27.7637106, -97.39228300000001 27.7636229, -97.39265709999999 27.7635114, -97.3931293 27.7632491, -97.3940238 27.7627756, -97.3942752 27.7631396, -97.3947783 27.7639086, -97.39662920000001 27.7629229, -97.3995645 27.7613596, -97.4004979 27.7618153, -97.4010126 27.7619536, -97.40134159999999 27.7622029, -97.4015146 27.7621074, -97.4018942 27.7617959, -97.4017855 27.7616325, -97.4022689 27.7613549, -97.40250810000001 27.7613347, -97.40253199999999 27.7613724)","(27.7609417, -97.3813063)","(27.7613724, -97.402532)"
483550021011,21,0,1051.813,"LINESTRING (-97.387379 27.7505595, -97.3878823 27.7510068, -97.3872836 27.7515735, -97.3871402 27.7517008, -97.3867736 27.7519824, -97.3869883 27.7523057, -97.3871979 27.7526209, -97.38740970000001 27.7529396, -97.3876825 27.7533499, -97.38784560000002 27.7535951, -97.3879261 27.7537162, -97.3880205 27.7538581, -97.3884456 27.7544976, -97.38869659999999 27.7548752, -97.3888465 27.7551006, -97.3889389 27.7552396, -97.3895942 27.7562101, -97.38993000000001 27.7567074, -97.3904173 27.7574225, -97.3906901 27.7578228, -97.39106750000001 27.7583765)","(27.7505595, -97.387379)","(27.7583765, -97.3910675)"
483550021011,17,1,1558.847,"LINESTRING (-97.387379 27.7505595, -97.3876224 27.7501117, -97.3879669 27.7499333, -97.3878965 27.7494594, -97.3885004 27.7490936, -97.39026 27.7475277, -97.392144 27.745845, -97.3919123 27.7455147, -97.39166480000002 27.7451184, -97.391496 27.744848, -97.3914295 27.7447361, -97.3910003 27.7441189, -97.39085009999999 27.7438578, -97.39052289999998 27.743402, -97.39002429999999 27.7426759, -97.3897731 27.7422997, -97.3893266 27.7416595, -97.3892623 27.7415598, -97.38890259999999 27.7410045, -97.3885867 27.7405294, -97.3882527 27.7400292, -97.38808910000002 27.7397843)","(27.7505595, -97.387379)","(27.7397843, -97.38808910000002)"
483550021023,21,0,1799.695,"LINESTRING (-97.3799654 27.7505118, -97.3813172 27.7525342, -97.3827012 27.7545708, -97.3834263 27.7556402, -97.38364940000001 27.755982, -97.38384390000002 27.756275, -97.384173 27.7567567, -97.38442070000001 27.7571632, -97.3848874 27.7578468, -97.385338 27.7585398, -97.38563310000001 27.7589528, -97.3873229 27.7580746, -97.3881597 27.7576142, -97.38901269999999 27.7571632, -97.38993000000001 27.7567074, -97.3904173 27.7574225, -97.3906901 27.7578228, -97.39106750000001 27.7583765)","(27.7505118, -97.3799654)","(27.7583765, -97.3910675)"
483550021023,17,1,1867.005,"LINESTRING (-97.3799654 27.7505118, -97.38076959999999 27.7500281, -97.3816496 27.7495788, -97.38250789999999 27.749123, -97.383349 27.7486977, -97.38425479999999 27.7481678, -97.38401050000002 27.7478363, -97.3867893 27.7464832, -97.38673559999999 27.7462031, -97.38661759999999 27.7456334, -97.38656930000002 27.7453675, -97.3862628 27.7447081, -97.39002429999999 27.7426759, -97.3897731 27.7422997, -97.3893266 27.7416595, -97.3892623 27.7415598, -97.38890259999999 27.7410045, -97.3885867 27.7405294, -97.3882527 27.7400292, -97.38808910000002 27.7397843)","(27.7505118, -97.3799654)","(27.7397843, -97.38808910000002)"
483550022001,16,0,1293.496,"LINESTRING (-97.39977519999999 27.7473599, -97.4002165 27.7467606, -97.4011115 27.7453524, -97.40189949999998 27.744179, -97.4025808 27.7444354, -97.4030368 27.7446918, -97.4034439 27.7440563, -97.40382529999999 27.7434338, -97.40401020000002 27.7431186, -97.4041071 27.7429531, -97.4044047 27.7424746, -97.4046329 27.742105, -97.4047145 27.7419678, -97.4048128 27.7417984, -97.404893 27.7416568, -97.4050075 27.7414623, -97.4050853 27.7413302, -97.4052336 27.7410782, -97.40526 27.7410355, -97.405305 27.7409627, -97.40565580000002 27.7403921, -97.4062093 27.7395057, -97.40644469999999 27.7391234, -97.40660889999999 27.7388567, -97.40668359999999 27.7387354)","(27.7473599, -97.3997752)","(27.7387354, -97.4066836)"
483550022001,17,1,1830.02,"LINESTRING (-97.39977519999999 27.7473599, -97.3978394 27.7457732, -97.39732909999999 27.7463772, -97.39684379999998 27.7469734, -97.3961228 27.7465177, -97.3954447 27.7460847, -97.395556 27.744945, -97.3940915 27.7441284, -97.39421489999999 27.7439052, -97.3925519 27.7430839, -97.3917258 27.7426946, -97.390956 27.7421085, -97.39002429999999 27.7426759, -97.3897731 27.7422997, -97.3893266 27.7416595, -97.3892623 27.7415598, -97.38890259999999 27.7410045, -97.3885867 27.7405294, -97.3882527 27.7400292, -97.38808910000002 27.7397843)","(27.7473599, -97.3997752)","(27.7397843, -97.38808910000002)"
