cbg_id,store_id,rank,distance,geometry,Origin,Destination
480850317111,192,0,868.786,"LINESTRING (-96.84191250000001 33.0024026, -96.8430426 33.0019638, -96.84309090000001 33.00182119999999, -96.843132 33.0015537, -96.84372089999999 33.0015542, -96.8438799 33.0015663, -96.84391359999999 32.9994408, -96.843947 32.998608, -96.8441619 32.9986068, -96.8441655 32.99843460000001, -96.8441729 32.998082, -96.84417449999999 32.9979363, -96.84485119999999 32.997305, -96.845457 32.99721, -96.8454867 32.9970351)","(33.0024026, -96.8419125)","(32.9970351, -96.8454867)"
480850317111,190,1,937.122,"LINESTRING (-96.84191250000001 33.0024026, -96.8430426 33.0019638, -96.84309090000001 33.00182119999999, -96.843132 33.0015537, -96.84372089999999 33.0015542, -96.8438799 33.0015663, -96.84391359999999 32.9994408, -96.843947 32.998608, -96.843749 32.998604, -96.84353900000001 32.9985924, -96.8430528 32.9985841, -96.84267060000001 32.99805219999999, -96.84261239999999 32.9980344, -96.8425137 32.9977289, -96.84250450000002 32.9975386, -96.8424857 32.9973789, -96.84251740000001 32.9972148, -96.84255020000001 32.9972121, -96.84257119999999 32.9964772)","(33.0024026, -96.8419125)","(32.9964772, -96.8425712)"
480850317212,190,0,1684.877,"LINESTRING (-96.835015 33.006299, -96.83577 33.006275, -96.83667699999999 33.006245, -96.8366498 33.0057917, -96.83703730000001 33.0057819, -96.8374053 33.0057424, -96.8373832 33.0053805, -96.8373625 33.0049516, -96.8373406 33.004535, -96.8373237 33.0041114, -96.83729169999999 33.0036768, -96.837271 33.003259, -96.8372486 33.0028384, -96.83723000000001 33.0024132, -96.83728440000002 33.0019823, -96.83732740000002 33.0018782, -96.8374975 33.0015791, -96.8377484 33.0012266, -96.8380501 33.0008117, -96.83829509999998 33.0004478, -96.8384348 33.0001017, -96.8384764 32.9997284, -96.8384762 32.9993096, -96.83847400000001 32.998905, -96.83852349999998 32.9984772, -96.838734 32.9980528, -96.838842 32.9976037, -96.8388435 32.9975413, -96.8389382 32.9975404, -96.8400501 32.9975294, -96.84090089999999 32.9975207, -96.8409676 32.9975205, -96.84162070000001 32.9975183, -96.84182749999999 32.997523, -96.84250450000002 32.9975386, -96.8424857 32.9973789, -96.84251740000001 32.9972148, -96.84255020000001 32.9972121, -96.84257119999999 32.9964772)","(33.006299, -96.835015)","(32.9964772, -96.8425712)"
480850317212,192,1,1848.733,"LINESTRING (-96.835015 33.006299, -96.83577 33.006275, -96.83667699999999 33.006245, -96.8366498 33.0057917, -96.83703730000001 33.0057819, -96.8374053 33.0057424, -96.8373832 33.0053805, -96.8373625 33.0049516, -96.8373406 33.004535, -96.8373237 33.0041114, -96.83729169999999 33.0036768, -96.837271 33.003259, -96.8372486 33.0028384, -96.83723000000001 33.0024132, -96.83728440000002 33.0019823, -96.83732740000002 33.0018782, -96.8374975 33.0015791, -96.8377484 33.0012266, -96.8380501 33.0008117, -96.83829509999998 33.0004478, -96.8384348 33.0001017, -96.8384764 32.9997284, -96.8384762 32.9993096, -96.83847400000001 32.998905, -96.83852349999998 32.9984772, -96.838734 32.9980528, -96.838842 32.9976037, -96.8388435 32.9975413, -96.8389382 32.9975404, -96.8400501 32.9975294, -96.84090089999999 32.9975207, -96.8409676 32.9975205, -96.84162070000001 32.9975183, -96.84182749999999 32.997523, -96.84250450000002 32.9975386, -96.8430625 32.9975117, -96.84351700000001 32.997434, -96.84367 32.9973924, -96.8437728 32.9973667, -96.8439468 32.9973232, -96.8440441 32.997299, -96.84478420000001 32.9971255, -96.8454867 32.9970351)","(33.006299, -96.835015)","(32.9970351, -96.8454867)"
480850317231,193,0,1760.445,"LINESTRING (-96.8230769 33.0107922, -96.8243367 33.01079249999999, -96.8248195 33.0107889, -96.824826 33.009974, -96.82483619999999 33.0097791, -96.8248471 33.0091036, -96.8248528 33.0087477, -96.824844 33.008578, -96.8248426 33.0082477, -96.82484150000001 33.0079864, -96.8248456 33.0076915, -96.8248384 33.0072567, -96.8248275 33.0067442, -96.8248234 33.00634740000001, -96.8248212 33.0061347, -96.8248147 33.0055006, -96.82481900000001 33.0049655, -96.82481739999999 33.0045182, -96.8248202 33.0040958, -96.8248217 33.0036227, -96.824826 33.003532, -96.8248352 33.003388, -96.8248368 33.0021713, -96.82483999999999 33.0013744, -96.8248382 32.9999411, -96.8248315 32.9994606, -96.82476660000002 32.9990402, -96.8252816 32.9988692, -96.8262222 32.9982723, -96.8269099 32.9978885, -96.8274266 32.9977195)","(33.0107922, -96.8230769)","(32.9977195, -96.8274266)"
480850317231,188,1,2694.554,"LINESTRING (-96.8230769 33.0107922, -96.8243367 33.01079249999999, -96.8248195 33.0107889, -96.824826 33.009974, -96.82483619999999 33.0097791, -96.8248471 33.0091036, -96.8248528 33.0087477, -96.824844 33.008578, -96.8248426 33.0082477, -96.82484150000001 33.0079864, -96.8248456 33.0076915, -96.8248384 33.0072567, -96.8248275 33.0067442, -96.8248234 33.00634740000001, -96.8248212 33.0061347, -96.8248147 33.0055006, -96.82481900000001 33.0049655, -96.82481739999999 33.0045182, -96.8248202 33.0040958, -96.8248217 33.0036227, -96.824826 33.003532, -96.8248352 33.003388, -96.8248368 33.0021713, -96.82483999999999 33.0013744, -96.8248382 32.9999411, -96.8248315 32.9994606, -96.82476660000002 32.9990402, -96.8252816 32.9988692, -96.8262222 32.9982723, -96.8269099 32.9978885, -96.8274266 32.9977195, -96.82823740000001 32.9976207, -96.82853489999999 32.99762230000001, -96.82896949999999 32.99762470000001, -96.829076 32.99762530000001, -96.8295573 32.997622, -96.829559 32.997453, -96.8295576 32.9973684, -96.82955560000001 32.9972421, -96.8295731 32.9966913, -96.8295784 32.9963706, -96.82958379999999 32.9962595, -96.82967419999999 32.9954444, -96.8296757 32.9942431, -96.82968010000002 32.9936825, -96.82968390000001 32.9927171, -96.8296861 32.9921609, -96.8305326 32.9921546, -96.8305313 32.9919731, -96.83043000000001 32.9919753, -96.8304299 32.9918131)","(33.0107922, -96.8230769)","(32.9918131, -96.8304299)"
480850317242,193,0,1614.841,"LINESTRING (-96.817091 33.0047209, -96.81826340000002 33.0041288, -96.8184882 33.0031052, -96.818499 33.001438, -96.81801849999999 33.0000332, -96.81804820000001 32.9997665, -96.81805300000001 32.999206, -96.8225135 32.9991786, -96.82369370000001 32.9991729, -96.82414780000001 32.999153, -96.82476660000002 32.9990402, -96.8252816 32.9988692, -96.8262222 32.9982723, -96.8269099 32.9978885, -96.8274266 32.9977195)","(33.0047209, -96.817091)","(32.9977195, -96.8274266)"
480850317242,188,1,2548.95,"LINESTRING (-96.817091 33.0047209, -96.81826340000002 33.0041288, -96.8184882 33.0031052, -96.818499 33.001438, -96.81801849999999 33.0000332, -96.81804820000001 32.9997665, -96.81805300000001 32.999206, -96.8225135 32.9991786, -96.82369370000001 32.9991729, -96.82414780000001 32.999153, -96.82476660000002 32.9990402, -96.8252816 32.9988692, -96.8262222 32.9982723, -96.8269099 32.9978885, -96.8274266 32.9977195, -96.82823740000001 32.9976207, -96.82853489999999 32.99762230000001, -96.82896949999999 32.99762470000001, -96.829076 32.99762530000001, -96.8295573 32.997622, -96.829559 32.997453, -96.8295576 32.9973684, -96.82955560000001 32.9972421, -96.8295731 32.9966913, -96.8295784 32.9963706, -96.82958379999999 32.9962595, -96.82967419999999 32.9954444, -96.8296757 32.9942431, -96.82968010000002 32.9936825, -96.82968390000001 32.9927171, -96.8296861 32.9921609, -96.8305326 32.9921546, -96.8305313 32.9919731, -96.83043000000001 32.9919753, -96.8304299 32.9918131)","(33.0047209, -96.817091)","(32.9918131, -96.8304299)"
480850317084,194,0,1266.397,"LINESTRING (-96.79713700000001 32.991546, -96.79666090000001 32.992008, -96.79766239999999 32.9920244, -96.7993807 32.99204680000001, -96.79938300000001 32.992458, -96.7993835 32.9928681, -96.799384 32.99328, -96.79933699999999 32.993651, -96.79931740000001 32.9937344, -96.7997664 32.9939027, -96.79969680000001 32.9940621, -96.7994466 32.9945719, -96.7992261 32.9950212, -96.79902420000001 32.99543239999998, -96.79883359999999 32.9958146, -96.7983005 32.99691009999999, -96.79809210000001 32.9973393, -96.79788250000001 32.9977709, -96.79775390000002 32.9980216, -96.7976858 32.9981612, -96.7976479 32.9982338, -96.79755620000002 32.9983964, -96.79752259999999 32.9984602, -96.79743280000001 32.9986306, -96.79692060000001 32.9997018)","(32.991546, -96.797137)","(32.9997018, -96.7969206)"
480850317084,186,1,1728.319,"LINESTRING (-96.79713700000001 32.991546, -96.79666090000001 32.992008, -96.79766239999999 32.9920244, -96.7993807 32.99204680000001, -96.79938300000001 32.992458, -96.7993835 32.9928681, -96.799384 32.99328, -96.79933699999999 32.993651, -96.79931740000001 32.9937344, -96.7997664 32.9939027, -96.7999605 32.9939371, -96.8003185 32.9932326, -96.80108039999999 32.9916771, -96.80132159999999 32.9911745, -96.80139629999999 32.9910188, -96.80156950000001 32.990662, -96.80185229999999 32.9901015, -96.80274970000001 32.9882574, -96.80338620000001 32.9869439, -96.8034073 32.9868976, -96.8034414 32.9868238, -96.8037861 32.9860801, -96.80384290000001 32.9859133, -96.8040584 32.9852393, -96.8041654 32.9848608, -96.80401320000001 32.9848376, -96.803915 32.9852101)","(32.991546, -96.797137)","(32.9852101, -96.803915)"
