cbg_id,store_id,rank,distance,geometry,Origin,Destination
80310001021,90,0,1046.299,"LINESTRING (-105.0298145 39.7802516, -105.0298149 39.7801534, -105.0298986 39.7801532, -105.0299986 39.7801529, -105.0313825 39.780149, -105.0314655 39.7801487, -105.0315618 39.7801484, -105.032945 39.7801443, -105.0330247 39.7801441, -105.0331212 39.7801438, -105.034184 39.7801407, -105.034236 39.7801406, -105.0345108 39.7801398, -105.0345111 39.7800157, -105.0345128 39.7792169, -105.034513 39.7791477, -105.0345136 39.7790786, -105.0345193 39.778447, -105.0345196 39.7784012, -105.0345202 39.7783141, -105.0345217 39.7780317, -105.034522 39.7779603, -105.0345226 39.777891, -105.0345259 39.7772934, -105.0345275 39.7770047, -105.0345284 39.7768503, -105.0346188 39.7768324, -105.0347241 39.7768114, -105.0352005 39.7768075, -105.0356946 39.7768035, -105.035785 39.7768028, -105.0358774 39.776802, -105.0358802 39.77673360000001, -105.0358828 39.776632, -105.0365413 39.7766271, -105.0366163 39.7766266, -105.0374456 39.7766203)","(39.7802516, -105.02981449999999)","(39.7766203, -105.0374456)"
80310001021,84,1,2071.555,"LINESTRING (-105.0298145 39.7802516, -105.0298149 39.7801534, -105.0298195 39.7791634, -105.0298198 39.7790967, -105.0298202 39.7790242, -105.029825 39.7779747, -105.0298253 39.7779059, -105.0298256 39.7778383, -105.0298285 39.7772226, -105.0298305 39.7767811, -105.0298373 39.776689, -105.029844 39.7765986, -105.0298534 39.7749182, -105.0293605 39.7749037, -105.0288836 39.7748897, -105.0287889 39.7748869, -105.0287033 39.7748844, -105.0287036 39.7748209, -105.0287039 39.7747556, -105.0282129 39.7747407, -105.0277264 39.7747263, -105.0276376 39.7747234, -105.0276457 39.7730468, -105.0276216 39.7729667, -105.0275997 39.7728851, -105.0276026 39.772506, -105.0276052 39.77212880000001, -105.0276057 39.772058, -105.0275248 39.7720555, -105.0258982 39.7720055, -105.0258058 39.7720023, -105.0255047 39.7719918, -105.025406 39.7719883, -105.0253075 39.7719846, -105.0253079 39.7718994, -105.0253108 39.7712407, -105.025311 39.7711909, -105.0253114 39.771095, -105.0253117 39.771025, -105.0251997 39.7710237, -105.0251371 39.771023, -105.0251347 39.7703113, -105.0251344 39.7702329, -105.0251341 39.7701484, -105.0251328 39.76975680000001, -105.0247942 39.769389, -105.0246604 39.7693882, -105.0242481 39.7693857, -105.023954 39.7693839, -105.0235778 39.7693743, -105.0230158 39.76937559999999, -105.0229094 39.7693759, -105.0228355 39.7693761, -105.0211265 39.7693798, -105.0206457 39.7693808, -105.0206227 39.7693807, -105.0205396 39.7693802, -105.0204584 39.7693797, -105.0204466 39.7692845, -105.0202208 39.7692843, -105.0195942 39.76928430000001)","(39.7802516, -105.02981449999999)","(39.76928430000001, -105.0195942)"
80310001022,90,0,541.718,"LINESTRING (-105.0392735 39.7801252, -105.0392722 39.7784568, -105.0391793 39.778457, -105.0391786 39.7783827, -105.039178 39.7783139, -105.0386869 39.7783139, -105.0382015 39.7783139, -105.0381995 39.7767757, -105.0381881 39.7767132, -105.0381751 39.7766422, -105.0381098 39.7766432, -105.0380404 39.7766443, -105.0375485 39.7766446, -105.0374456 39.7766203)","(39.7801252, -105.0392735)","(39.7766203, -105.0374456)"
80310001022,86,1,1517.267,"LINESTRING (-105.0392735 39.7801252, -105.0393635 39.7801251, -105.0398557 39.7801245, -105.0403421 39.7801238, -105.0404363 39.7801237, -105.0405184 39.78012360000001, -105.041011 39.7801231, -105.0410121 39.7784538, -105.0414912 39.778453, -105.0415838 39.7784528, -105.0416781 39.7784526, -105.042164 39.7784518, -105.0426556 39.77845090000001, -105.0426637 39.7783818, -105.0426716 39.7783109, -105.0426722 39.77676240000001, -105.0427128 39.776689, -105.0427815 39.7766891, -105.0428608 39.7766817, -105.042907 39.7765937, -105.0434021 39.7765555, -105.0438657 39.7765198, -105.0438992 39.776496, -105.0439052 39.7754061, -105.0439054 39.775361, -105.043905 39.7752897, -105.0439064 39.7752198, -105.0439067 39.7751778, -105.0439094 39.774849, -105.0439108 39.7746799, -105.043915 39.7740499, -105.0439166 39.7739698, -105.0439172 39.7738934, -105.0439178 39.7738242, -105.0439179 39.77380890000001, -105.0439194 39.77351380000001, -105.0439239 39.7730606, -105.0439257 39.772839, -105.0439279 39.7725638, -105.043928 39.7724998, -105.0439287 39.7724419, -105.0440063 39.7724419, -105.0440141 39.7712475, -105.0440148 39.7711441, -105.044104 39.7711441, -105.0441046 39.7710781, -105.0441048 39.7710493, -105.0441152 39.7700944, -105.0441162 39.7700027)","(39.7801252, -105.0392735)","(39.7700027, -105.0441162)"
80310001023,85,0,1095.798,"LINESTRING (-105.048601 39.7783797, -105.0486014 39.77831, -105.0486102 39.7766413, -105.0486105 39.77657739999999, -105.0486101 39.7764972, -105.0486016 39.7748289, -105.0486012 39.7747606, -105.048601 39.7746981, -105.0485953 39.7730248, -105.048595 39.7729512, -105.0485232 39.7729512, -105.0480365 39.7729513, -105.0480364 39.7728855, -105.0480341 39.7712138, -105.048034 39.7711448, -105.0480339 39.7710749, -105.0479681 39.7694653, -105.0477954 39.7694659, -105.047795 39.7693647, -105.047548 39.7693653, -105.047449 39.7693655)","(39.7783797, -105.048601)","(39.7693655, -105.047449)"
80310001023,90,1,1144.653,"LINESTRING (-105.048601 39.7783797, -105.048521 39.7783797, -105.0480365 39.7783799, -105.0475456 39.7783801, -105.0474501 39.77838009999999, -105.0473653 39.7783801, -105.0468832 39.7783803, -105.0463868 39.7783805, -105.0462834 39.7783805, -105.046206 39.77838049999998, -105.045722 39.7783811, -105.045228 39.7783808, -105.0451206 39.7783808, -105.045044 39.7783809, -105.0445515 39.7783815, -105.04407 39.7783812, -105.0439732 39.7783812, -105.0438924 39.7783812, -105.043363 39.7783814, -105.0428328 39.7783819, -105.0428259 39.7783135, -105.0427464 39.7783121, -105.0426716 39.7783109, -105.0421642 39.77831, -105.0416776 39.7783091, -105.0415836 39.7783115, -105.041491 39.7783138, -105.0410122 39.7783138, -105.0405167 39.7783138, -105.0404362 39.7783138, -105.0403368 39.7783138, -105.0398522 39.7783138, -105.0393614 39.7783139, -105.039272 39.7783139, -105.039178 39.7783139, -105.0386869 39.7783139, -105.0382015 39.7783139, -105.0381995 39.7767757, -105.0381881 39.7767132, -105.0381751 39.7766422, -105.0381098 39.7766432, -105.0380404 39.7766443, -105.0375485 39.7766446, -105.0374456 39.7766203)","(39.7783797, -105.048601)","(39.7766203, -105.0374456)"
80310001024,85,0,1522.579,"LINESTRING (-105.0474988 39.7814441, -105.0482217 39.7811121, -105.0485073 39.780931, -105.0487895 39.780805, -105.0486044 39.78067889999998, -105.0486051 39.7803697, -105.0486054 39.7802724, -105.0486056 39.7801981, -105.0486052 39.7801239, -105.0486012 39.778452, -105.048601 39.7783797, -105.0486014 39.77831, -105.0486102 39.7766413, -105.0486105 39.77657739999999, -105.0486101 39.7764972, -105.0486016 39.7748289, -105.0486012 39.7747606, -105.048601 39.7746981, -105.0485953 39.7730248, -105.048595 39.7729512, -105.0485232 39.7729512, -105.0480365 39.7729513, -105.0480364 39.7728855, -105.0480341 39.7712138, -105.048034 39.7711448, -105.0480339 39.7710749, -105.0479681 39.7694653, -105.0477954 39.7694659, -105.047795 39.7693647, -105.047548 39.7693653, -105.047449 39.7693655)","(39.7814441, -105.0474988)","(39.7693655, -105.047449)"
80310001024,90,1,1530.239,"LINESTRING (-105.0474988 39.7814441, -105.0470545 39.7815194, -105.0469177 39.7816194, -105.0467712 39.7819217, -105.0466628 39.7819144, -105.0451008 39.7821018, -105.0453574 39.7807136, -105.0451357 39.7804491, -105.0451354 39.7803646, -105.0440613 39.78034, -105.0439665 39.7803124, -105.0438764 39.7802898, -105.0438658 39.7802193, -105.04385 39.7801289, -105.0436609 39.7801275, -105.043363 39.7801252, -105.0428444 39.7801212, -105.0428397 39.7784509, -105.0428328 39.7783819, -105.0428259 39.7783135, -105.0427464 39.7783121, -105.0426716 39.7783109, -105.0421642 39.77831, -105.0416776 39.7783091, -105.0415836 39.7783115, -105.041491 39.7783138, -105.0410122 39.7783138, -105.0405167 39.7783138, -105.0404362 39.7783138, -105.0403368 39.7783138, -105.0398522 39.7783138, -105.0393614 39.7783139, -105.039272 39.7783139, -105.039178 39.7783139, -105.0386869 39.7783139, -105.0382015 39.7783139, -105.0381995 39.7767757, -105.0381881 39.7767132, -105.0381751 39.7766422, -105.0381098 39.7766432, -105.0380404 39.7766443, -105.0375485 39.7766446, -105.0374456 39.7766203)","(39.7814441, -105.0474988)","(39.7766203, -105.0374456)"
80310002011,100,0,1445.052,"LINESTRING (-105.0205551 39.7874897, -105.0204923 39.78748959999999, -105.0204237 39.7874896, -105.0199011 39.7874892, -105.0193982 39.7874889, -105.0193227 39.7874888, -105.019262 39.7874888, -105.0187511 39.7874884, -105.0182346 39.787488, -105.0181662 39.787488, -105.0180791 39.7874879, -105.0175788 39.7874875, -105.0170716 39.7874871, -105.0170057 39.7874871, -105.0169499 39.7874871, -105.016433 39.7874867, -105.0159439 39.7874863, -105.0158445 39.7874862, -105.0157614 39.7874862, -105.0152824 39.7874858, -105.014769 39.78748550000001, -105.0146965 39.7874854, -105.0146322 39.78748539999999, -105.0141171 39.7874851, -105.013616 39.7874848, -105.0135405 39.7874847, -105.0134728 39.7874847, -105.0129612 39.7874844, -105.01245 39.7874841, -105.0123771 39.787484, -105.0123146 39.787484, -105.0118024 39.7874837, -105.0112797 39.7874834, -105.0112797 39.7874439, -105.0112057 39.7874508, -105.0111448 39.7874563, -105.0111448 39.7874147, -105.0106941 39.7874138, -105.0102661 39.7874129, -105.0102659 39.7871048, -105.0102658 39.7870185, -105.0102149 39.7870184, -105.0102155 39.786653, -105.0088121 39.7860288, -105.0087591 39.7860082, -105.0087058 39.78598740000001, -105.0080055 39.7857152, -105.0079558 39.7856957, -105.0079822 39.7856548, -105.0079316 39.7856356, -105.0065088 39.7853603, -105.0065104 39.7850599, -105.006511 39.7849572, -105.0065337 39.7847438, -105.0064507 39.7847425, -105.0063849 39.7847411)","(39.7874897, -105.0205551)","(39.7847411, -105.0063849)"
80310002011,90,1,2553.948,"LINESTRING (-105.0205551 39.7874897, -105.0205551 39.78743930000001, -105.0205552 39.7873822, -105.0210648 39.7873823, -105.021071 39.78567439999998, -105.0210712 39.7856259, -105.0210714 39.7855718, -105.0215811 39.785572, -105.021644 39.785572, -105.0217151 39.785572, -105.0222393 39.7855723, -105.022742 39.7855726, -105.0228127 39.7855726, -105.0228793 39.7855726, -105.0233739 39.7855728, -105.0239089 39.7855692, -105.023968 39.785566, -105.0240395 39.7855621, -105.0243767 39.7855628, -105.0247299 39.7855634, -105.0247906 39.7855636, -105.0247913 39.7855091, -105.0249754 39.7851316, -105.0250161 39.7851316, -105.0250527 39.7851316, -105.0252037 39.7851315, -105.025362 39.78513110000002, -105.0254174 39.7847442, -105.0253781 39.7846448, -105.0287237 39.78402350000001, -105.0307744 39.7837043, -105.03396 39.78371579999999, -105.034449 39.7837466, -105.0345871 39.78375470000001, -105.0345876 39.7836802, -105.034591 39.7831219, -105.0345915 39.78303959999999, -105.0345972 39.7821185, -105.0346036 39.7810837, -105.0346083 39.7803195, -105.0347225 39.7802834, -105.0347195 39.78023009999998, -105.0347147 39.7801424, -105.0347172 39.7792192, -105.0347176 39.779081, -105.0347193 39.7784475, -105.034719 39.7783842, -105.0347197 39.7783141, -105.0347205 39.7780341, -105.0347209 39.7778934, -105.0347239 39.7768678, -105.0347241 39.7768114, -105.0352005 39.7768075, -105.0356946 39.7768035, -105.035785 39.7768028, -105.0358774 39.776802, -105.0358802 39.77673360000001, -105.0358828 39.776632, -105.0365413 39.7766271, -105.0366163 39.7766266, -105.0374456 39.7766203)","(39.7874897, -105.0205551)","(39.7766203, -105.0374456)"
