cbg_id,store_id,rank,distance,geometry,Origin,Destination
261635001001,101,0,1841.225,"LINESTRING (-82.9534226 42.4392558, -82.9533991 42.4383524, -82.9533706 42.4374518, -82.9533637 42.4365573, -82.95176979999999 42.4363799, -82.9523052 42.4356729, -82.9527719 42.435047, -82.9529428 42.4346805, -82.9531664 42.4344329, -82.95215690000001 42.4340028, -82.95111559999999 42.4335768, -82.95006789999999 42.4331478, -82.9490766 42.4327428, -82.95180000000001 42.429146, -82.950805 42.428739, -82.9521256 42.4269977)","(42.4392558, -82.9534226)","(42.4269977, -82.9521256)"
261635001001,116,1,2094.894,"LINESTRING (-82.9534226 42.4392558, -82.953451 42.44015060000001, -82.95592480000001 42.4401134, -82.9583574 42.4400725, -82.95838639999999 42.4409725, -82.960815 42.440924, -82.960843 42.441814, -82.960885 42.44276, -82.96332200000001 42.442725, -82.965755 42.442677, -82.968867 42.442603, -82.971864 42.442527, -82.9728013 42.4425117, -82.97220900000001 42.443405)","(42.4392558, -82.9534226)","(42.443405, -82.972209)"
261635001002,118,0,1661.786,"LINESTRING (-82.9512138 42.44654449999999, -82.9536537 42.4465372, -82.9537017 42.4474283, -82.95616180000002 42.4473804, -82.9586023 42.447335, -82.9610589 42.4472912, -82.9635411 42.4472505, -82.963594 42.448143, -82.96602300000001 42.448099, -82.9691436 42.4480334)","(42.44654449999999, -82.9512138)","(42.4480334, -82.9691436)"
261635001002,120,1,1708.365,"LINESTRING (-82.9512138 42.44654449999999, -82.9536537 42.4465372, -82.9537017 42.4474283, -82.95616180000002 42.4473804, -82.9586023 42.447335, -82.9610589 42.4472912, -82.9635411 42.4472505, -82.963594 42.448143, -82.963639 42.449042, -82.966059 42.449001, -82.968538 42.44896)","(42.44654449999999, -82.9512138)","(42.44896, -82.968538)"
261635002001,116,0,394.154,"LINESTRING (-82.968981 42.44532, -82.9709797 42.4452634, -82.9715807 42.4443584, -82.97220900000001 42.443405)","(42.44532, -82.968981)","(42.443405, -82.972209)"
261635002001,118,1,439.855,"LINESTRING (-82.968981 42.44532, -82.9690155 42.4462284, -82.97037159999999 42.4461992, -82.96974890000001 42.4471208, -82.9691436 42.4480334)","(42.44532, -82.968981)","(42.4480334, -82.9691436)"
261635002002,118,0,857.721,"LINESTRING (-82.961021 42.446369, -82.96350099999999 42.4463574, -82.9635411 42.4472505, -82.963594 42.448143, -82.96602300000001 42.448099, -82.9691436 42.4480334)","(42.446369, -82.961021)","(42.4480334, -82.9691436)"
261635002002,120,1,904.3,"LINESTRING (-82.961021 42.446369, -82.96350099999999 42.4463574, -82.9635411 42.4472505, -82.963594 42.448143, -82.963639 42.449042, -82.966059 42.449001, -82.968538 42.44896)","(42.446369, -82.961021)","(42.44896, -82.968538)"
261635003001,116,0,591.849,"LINESTRING (-82.9717375 42.438892, -82.97174800000001 42.43927, -82.97177600000001 42.440048, -82.971805 42.440825, -82.9718359 42.4416744, -82.971864 42.442527, -82.9728013 42.4425117, -82.97220900000001 42.443405)","(42.438892, -82.9717375)","(42.443405, -82.972209)"
261635003001,113,1,705.485,"LINESTRING (-82.9717375 42.438892, -82.97174800000001 42.43927, -82.97498400000001 42.439195, -82.975373 42.438605, -82.97569300000001 42.438117, -82.9759854 42.437673, -82.9763806 42.4370712, -82.9771013 42.4359773)","(42.438892, -82.9717375)","(42.4359773, -82.9771013)"
