cbg_id,store_id,rank,distance,geometry,Origin,Destination
371350109042,41,0,1471.774,"LINESTRING (-78.9852125 36.0420223, -78.9851196 36.039319, -78.98357780000001 36.0392873, -78.98253510000001 36.0392872, -78.98203289999999 36.0392835, -78.9817872 36.0392795, -78.9810155 36.039252, -78.98102400000001 36.0391452, -78.9810559 36.0388074, -78.98124610000001 36.0365918, -78.9813917 36.0348741, -78.9813975 36.0348101, -78.9814363 36.0343819, -78.9815124 36.0334824, -78.9815277 36.0333051, -78.98153859999999 36.0331836, -78.98157500000001 36.032753, -78.9822016 36.0327002, -78.9824323 36.0326807)","(36.0420223, -78.9852125)","(36.0326807, -78.9824323)"
371350109042,42,1,1688.728,"LINESTRING (-78.9852125 36.0420223, -78.9851196 36.039319, -78.98357780000001 36.0392873, -78.98253510000001 36.0392872, -78.98203289999999 36.0392835, -78.9817872 36.0392795, -78.9810155 36.039252, -78.98102400000001 36.0391452, -78.9810559 36.0388074, -78.98124610000001 36.0365918, -78.9813917 36.0348741, -78.9813975 36.0348101, -78.9814363 36.0343819, -78.9815124 36.0334824, -78.9815277 36.0333051, -78.98153859999999 36.0331836, -78.981447 36.0331757, -78.9813492 36.03312, -78.9808261 36.0330101, -78.9808101 36.0329516, -78.98077480000002 36.0328208, -78.98061749999999 36.0328341, -78.98015119999999 36.0328736, -78.97997770000001 36.0328883, -78.9790821 36.0329642, -78.97802059999999 36.0330541)","(36.0420223, -78.9852125)","(36.0330541, -78.9780206)"
370630018013,21,0,7585.555,"LINESTRING (-78.8119149 36.03732929999999, -78.8119746 36.0373456, -78.8129556 36.0359627, -78.8135882 36.0353227, -78.8137207 36.035229, -78.81224899999999 36.0321853, -78.812274 36.031607, -78.8122089 36.0310491, -78.8118625 36.0300477, -78.8115643 36.0293699, -78.8114628 36.0291312, -78.8113446 36.0288666, -78.81114770000001 36.0284165, -78.8110982 36.0283005, -78.81095379999999 36.0279624, -78.81088699999999 36.027806, -78.8108151 36.0276443, -78.81038049999999 36.0266345, -78.8102475 36.0263124, -78.8099909 36.025575, -78.8099199 36.0253579, -78.8098418 36.0250963, -78.80978880000001 36.02491710000002, -78.809651 36.0243333, -78.8096322 36.0228144, -78.8096432 36.0223329, -78.809647 36.022108, -78.8096211 36.0218728, -78.80952980000001 36.0214491, -78.80936550000001 36.02123730000001, -78.8090861 36.0210986, -78.8090093 36.0210678, -78.807373 36.0204582, -78.8065655 36.0200697, -78.80630410000001 36.0197595, -78.80567619999999 36.0188254, -78.8056119 36.018723, -78.8050741 36.0178148, -78.80446739999999 36.0166933, -78.80402119999999 36.0158713, -78.8034296 36.0147761, -78.8033277 36.0145815, -78.8027977 36.013198, -78.8027853 36.0131587, -78.8026131 36.0125938, -78.8026031 36.0125597, -78.8025124 36.0122166, -78.80249240000001 36.0121453, -78.8024166 36.0118816, -78.80183359999999 36.0103625, -78.8012683 36.0088079, -78.80110910000001 36.0079947, -78.8007861 36.0064641, -78.8001933 36.0044038, -78.80003189999999 36.0031036, -78.80041079999999 36.001938, -78.8005229 36.0015807, -78.80061600000001 36.001269, -78.8012921 35.998995, -78.8018055 35.997248, -78.8019556 35.9953827, -78.8019163 35.9950512, -78.8016277 35.99284759999998, -78.8015702 35.9923675, -78.80150449999999 35.9918452, -78.8014424 35.9913406, -78.80142979999999 35.9912378, -78.8013576 35.9907667, -78.80124429999999 35.9903107, -78.8012007 35.99019449999999, -78.8010783 35.9899245, -78.80084340000001 35.989564, -78.8000371 35.9884861, -78.79915459999999 35.9868065, -78.79904879999999 35.98657020000002, -78.7990259 35.9865221, -78.7988464 35.9861329, -78.7985108 35.9855369, -78.7983073 35.9852816, -78.79719350000001 35.9842409, -78.79661249999999 35.983654, -78.7957151 35.9814772, -78.795242 35.9803468, -78.79505760000001 35.9800029, -78.7947236 35.9794546, -78.79468199999999 35.9793899, -78.7944487 35.979041, -78.79439840000001 35.9789587, -78.79420159999999 35.9786458, -78.7930064 35.9772746, -78.7928282 35.9771369, -78.7927301 35.9770646, -78.7929791 35.9767921, -78.793102 35.9766587, -78.79338389999999 35.97635319999998, -78.79369560000001 35.97600640000001, -78.7942766 35.9753205, -78.7943751 35.9752102)","(36.03732929999999, -78.8119149)","(35.9752102, -78.7943751)"
370630018013,25,1,7952.126,"LINESTRING (-78.8119149 36.03732929999999, -78.8119746 36.0373456, -78.8129556 36.0359627, -78.8135882 36.0353227, -78.8137207 36.035229, -78.81224899999999 36.0321853, -78.812274 36.031607, -78.8122089 36.0310491, -78.8118625 36.0300477, -78.8115643 36.0293699, -78.8114628 36.0291312, -78.8113446 36.0288666, -78.81114770000001 36.0284165, -78.8110982 36.0283005, -78.81095379999999 36.0279624, -78.81088699999999 36.027806, -78.8108151 36.0276443, -78.81038049999999 36.0266345, -78.8102475 36.0263124, -78.8099909 36.025575, -78.8099199 36.0253579, -78.8098418 36.0250963, -78.80978880000001 36.02491710000002, -78.809651 36.0243333, -78.8096322 36.0228144, -78.8096432 36.0223329, -78.809647 36.022108, -78.80995799999999 36.0220477, -78.8103533 36.021971, -78.811277 36.021787, -78.81148229999999 36.0217466, -78.81189310000001 36.0216658, -78.8124394 36.02156, -78.8132846 36.0214034, -78.8133179 36.0213967, -78.813517 36.0213566, -78.8144186 36.0211748, -78.8153815 36.0209806, -78.816203 36.020815, -78.8178803 36.0204846, -78.81838759999999 36.02038610000001, -78.81915499999999 36.0202433, -78.8199309 36.0200972, -78.8205823 36.0198351, -78.8216213 36.0190625, -78.823722 36.016302, -78.82373800000001 36.0158699, -78.82373629999999 36.0156029, -78.8237431 36.0150159, -78.82375500000001 36.014683, -78.82380620000001 36.0143451, -78.8240181 36.0138635, -78.824791 36.013069, -78.82639570000001 36.0122333, -78.826615 36.012121, -78.8269142 36.0119688, -78.82764109999999 36.01159909999998, -78.8286305 36.0110874, -78.8288342 36.0109998, -78.82933439999999 36.01086119999999, -78.8298334 36.010776, -78.8319116 36.0104297, -78.8348798 36.00914479999999, -78.83505700000001 36.009061, -78.835487 36.008857, -78.836923 36.008176, -78.83780470000001 36.00775130000002, -78.83790430000001 36.0077033, -78.83823700000001 36.007543, -78.839296 36.007018, -78.8395302 36.0069024, -78.84082979999999 36.0063759, -78.8410327 36.0063185, -78.84153619999999 36.0062053, -78.84182 36.006142, -78.84251140000001 36.0052168, -78.84287449999999 36.004889, -78.8434093 36.00444490000001, -78.8435705 36.0043112, -78.8439152 36.0040251, -78.84448159999999 36.0035579, -78.8463735 36.0020156, -78.8468606 36.0016676, -78.850357 35.999653, -78.85039190000001 35.9996394, -78.8531368 35.99794820000001, -78.854043 35.9968363, -78.8541482 35.9966703, -78.8555587 35.9943214, -78.8556092 35.9942368, -78.8564353 35.9928685, -78.8565854 35.9926171, -78.85735699999999 35.9913386, -78.85791089999999 35.990194, -78.8591146 35.99047439999999, -78.85953979999999 35.9905153)","(36.03732929999999, -78.8119149)","(35.9905153, -78.8595398)"
370630017084,47,0,3702.861,"LINESTRING (-78.8853319 36.0688912, -78.88714880000001 36.0686913, -78.8877851 36.0692557, -78.8903974 36.0677367, -78.89059570000002 36.0674896, -78.8908991 36.0672023, -78.89202830000001 36.0667258, -78.8931307 36.0667342, -78.8933265 36.0667906, -78.8937442 36.0663774, -78.89379460000001 36.0660588, -78.89389410000001 36.0657511, -78.8940521 36.0654442, -78.89414669999999 36.0652202, -78.8943235 36.0640699, -78.8943824 36.0634516, -78.8943924 36.0633494, -78.8944375 36.0621112, -78.8966185 36.0593114, -78.8971031 36.0588058, -78.897745 36.057907, -78.89993800000001 36.058384, -78.9009423 36.0585976, -78.90145699999999 36.058707, -78.90240940000001 36.0589097, -78.9026561 36.0589631, -78.9030396 36.0590462, -78.903184 36.0590774, -78.90318859999999 36.0597079, -78.903504 36.061013, -78.90414029999999 36.0628088, -78.90467 36.064174, -78.904802 36.064431, -78.9049606 36.0647075, -78.9052181 36.0650948, -78.9053411 36.0652745, -78.90567470000001 36.0657392, -78.90577879999999 36.0658803, -78.9058383 36.065961, -78.906038 36.0662317, -78.906255 36.0665258, -78.9067598 36.0672108, -78.90659650000001 36.06729959999998, -78.9065203 36.0673838, -78.9064982 36.0674082, -78.9063481 36.0676114, -78.9062838 36.067712, -78.9062423 36.0677772, -78.906485 36.067873, -78.90645670000001 36.0679397, -78.9064219 36.0680216, -78.90647269999999 36.0682116, -78.9071848 36.0682662)","(36.0688912, -78.8853319)","(36.0682662, -78.9071848)"
370630017084,48,1,4570.107,"LINESTRING (-78.8853319 36.0688912, -78.88714880000001 36.0686913, -78.8877851 36.0692557, -78.8903974 36.0677367, -78.89059570000002 36.0674896, -78.8908991 36.0672023, -78.89202830000001 36.0667258, -78.8931307 36.0667342, -78.8933265 36.0667906, -78.8937442 36.0663774, -78.89379460000001 36.0660588, -78.89389410000001 36.0657511, -78.8940521 36.0654442, -78.89414669999999 36.0652202, -78.8943235 36.0640699, -78.8943824 36.0634516, -78.8943924 36.0633494, -78.8944375 36.0621112, -78.8966185 36.0593114, -78.8971031 36.0588058, -78.897745 36.057907, -78.89993800000001 36.058384, -78.9009423 36.0585976, -78.90145699999999 36.058707, -78.90240940000001 36.0589097, -78.9026561 36.0589631, -78.9030396 36.0590462, -78.903184 36.0590774, -78.90318859999999 36.0597079, -78.903504 36.061013, -78.90414029999999 36.0628088, -78.90467 36.064174, -78.904802 36.064431, -78.9049606 36.0647075, -78.9052181 36.0650948, -78.9053411 36.0652745, -78.90567470000001 36.0657392, -78.90577879999999 36.0658803, -78.9058383 36.065961, -78.906038 36.0662317, -78.906255 36.0665258, -78.9067598 36.0672108, -78.9071333 36.06776190000001, -78.90718950000002 36.0678483, -78.9076141 36.0686589, -78.9080879 36.0700318, -78.90824139999999 36.0706517, -78.9082688 36.0707559, -78.9083294 36.0709866, -78.90840660000001 36.0712805, -78.9088869 36.0730938, -78.9089737 36.0734167, -78.9090252 36.0736081, -78.909057 36.0737264, -78.9091774 36.0741742, -78.90925110000001 36.0744486, -78.90958379999999 36.0756496, -78.90959100000001 36.075678, -78.90964959999999 36.0759018, -78.9096643 36.0759581, -78.9097306 36.0762112, -78.90983660000001 36.0766149)","(36.0688912, -78.8853319)","(36.0766149, -78.9098366)"
370630016016,48,0,7433.103,"LINESTRING (-78.87487400000001 36.111758, -78.8755827 36.1116041, -78.8758788 36.1114409, -78.8766878 36.1108056, -78.87700959999999 36.1099521, -78.87703620000001 36.1098919, -78.8783938 36.1096558, -78.8787987 36.1092289, -78.8780354 36.1086845, -78.877816 36.1084104, -78.87773780000001 36.1082974, -78.8763582 36.1068098, -78.8760089 36.106668, -78.8743432 36.1065506, -78.8743599 36.10647, -78.8731197 36.1065401, -78.87357110000001 36.1044789, -78.8736713 36.1044735, -78.87448310000001 36.1044293, -78.8780981 36.1043216, -78.8782167 36.1043296, -78.88029419999999 36.1044558, -78.8811668 36.1045054, -78.882165 36.1045693, -78.8837303 36.10496569999999, -78.8838113 36.1049988, -78.884157 36.1051403, -78.88499040000001 36.1037563, -78.88521369999999 36.1033863, -78.8866366 36.10099, -78.8844283 36.1001278, -78.88477570000001 36.0987695, -78.88509120000001 36.0975525, -78.885323 36.0966329, -78.88533860000001 36.0965732, -78.88675929999999 36.0935871, -78.8857661 36.0932366, -78.88548950000001 36.091103, -78.885339 36.0883979, -78.88669890000001 36.0883579, -78.88635050000002 36.0868666, -78.88614509999999 36.0863388, -78.887365 36.085512, -78.88879470000001 36.085021, -78.89125300000001 36.0837936, -78.8919078 36.08307389999999, -78.891651 36.0827932, -78.8916332 36.0827112, -78.8914789 36.0824136, -78.894452 36.0815727, -78.8947896 36.0814799, -78.89943 36.080205, -78.9002223 36.0799796, -78.9008103 36.0798119, -78.9011182 36.0797248, -78.90183279999999 36.0795251, -78.904372 36.0788153, -78.90597099999999 36.0783738, -78.9069518 36.0780958, -78.90700099999999 36.0780819, -78.9071373 36.0780432, -78.9090798 36.0775197, -78.9090242 36.07736580000001, -78.9091536 36.0773214, -78.90925249999999 36.0772922, -78.9094272 36.0772495, -78.9096734 36.0770246, -78.90991099999999 36.07689640000001, -78.90983660000001 36.0766149)","(36.111758, -78.874874)","(36.0766149, -78.9098366)"
370630016016,47,1,8523.056,"LINESTRING (-78.87487400000001 36.111758, -78.8755827 36.1116041, -78.8758788 36.1114409, -78.8766878 36.1108056, -78.87700959999999 36.1099521, -78.87703620000001 36.1098919, -78.8783938 36.1096558, -78.8787987 36.1092289, -78.8780354 36.1086845, -78.877816 36.1084104, -78.87773780000001 36.1082974, -78.8763582 36.1068098, -78.8760089 36.106668, -78.8743432 36.1065506, -78.8743599 36.10647, -78.8731197 36.1065401, -78.87357110000001 36.1044789, -78.8736713 36.1044735, -78.87448310000001 36.1044293, -78.8780981 36.1043216, -78.8782167 36.1043296, -78.88029419999999 36.1044558, -78.8811668 36.1045054, -78.882165 36.1045693, -78.8837303 36.10496569999999, -78.8838113 36.1049988, -78.884157 36.1051403, -78.88499040000001 36.1037563, -78.88521369999999 36.1033863, -78.8866366 36.10099, -78.8844283 36.1001278, -78.88477570000001 36.0987695, -78.88509120000001 36.0975525, -78.885323 36.0966329, -78.88533860000001 36.0965732, -78.88675929999999 36.0935871, -78.8857661 36.0932366, -78.88548950000001 36.091103, -78.885339 36.0883979, -78.88669890000001 36.0883579, -78.88635050000002 36.0868666, -78.88614509999999 36.0863388, -78.887365 36.085512, -78.88879470000001 36.085021, -78.89125300000001 36.0837936, -78.8919078 36.08307389999999, -78.891651 36.0827932, -78.8916332 36.0827112, -78.8914789 36.0824136, -78.894452 36.0815727, -78.8947896 36.0814799, -78.89943 36.080205, -78.9002223 36.0799796, -78.9008103 36.0798119, -78.9011182 36.0797248, -78.90183279999999 36.0795251, -78.904372 36.0788153, -78.90597099999999 36.0783738, -78.9069518 36.0780958, -78.90700099999999 36.0780819, -78.9071373 36.0780432, -78.9090798 36.0775197, -78.9090242 36.07736580000001, -78.9091536 36.0773214, -78.90925249999999 36.0772922, -78.9094272 36.0772495, -78.9096734 36.0770246, -78.90991099999999 36.07689640000001, -78.90983660000001 36.0766149, -78.9097306 36.0762112, -78.9096643 36.0759581, -78.90964959999999 36.0759018, -78.90959100000001 36.075678, -78.90958379999999 36.0756496, -78.90925110000001 36.0744486, -78.9091774 36.0741742, -78.909057 36.0737264, -78.9090252 36.0736081, -78.9089737 36.0734167, -78.9088869 36.0730938, -78.90840660000001 36.0712805, -78.9083294 36.0709866, -78.9082688 36.0707559, -78.90824139999999 36.0706517, -78.9080879 36.0700318, -78.9076141 36.0686589, -78.9074653 36.0686996, -78.90736889999999 36.0687259, -78.9067948 36.0688226, -78.90676110000001 36.0687093, -78.9068812 36.0686759, -78.90732130000001 36.0686158, -78.9072697 36.0684165, -78.9071848 36.0682662)","(36.111758, -78.874874)","(36.0682662, -78.9071848)"
370630020372,2,0,5579.05,"LINESTRING (-78.8498847 35.8765992, -78.8493988 35.8765849, -78.8492962 35.8765824, -78.8492925 35.8767335, -78.84941689999999 35.87715, -78.84952939999999 35.8772345, -78.8495755 35.8773507, -78.8496729 35.8776687, -78.84970410000001 35.8782596, -78.84986139999999 35.8783927, -78.85058050000001 35.8785117, -78.85056609999999 35.8785945, -78.8505136 35.8790088, -78.85049820000002 35.8790865, -78.8504628 35.8792519, -78.8503791 35.87963220000001, -78.8502869 35.8802259, -78.85013360000001 35.8810074, -78.8501191 35.8810787, -78.8500916 35.88121550000001, -78.8502192 35.881375, -78.8500998 35.8820487, -78.85009719999999 35.882328, -78.8502759 35.8825677, -78.8506757 35.88280839999999, -78.8542889 35.8857231, -78.8558767 35.8872408, -78.856003 35.8873577, -78.85737260000001 35.8885695, -78.8574988 35.8886641, -78.8603816 35.8901404, -78.8620243 35.8909519, -78.8621818 35.8910242, -78.8623126 35.8910842, -78.863603 35.8916908, -78.8643458 35.8919603, -78.86493830000001 35.8922422, -78.8668966 35.8931779, -78.8691759 35.8942671, -78.8693269 35.8943399, -78.869938 35.8946248, -78.8700556 35.8946831, -78.8720122 35.8956126, -78.87212100000001 35.8956651, -78.8725347 35.895865, -78.87308659999999 35.8961268, -78.8736432 35.8963907, -78.8799453 35.898903, -78.880117 35.8989511, -78.88230460000001 35.899539, -78.8842965 35.900086, -78.8844196 35.9001202, -78.8845742 35.9001638, -78.8858233 35.9004987, -78.8863289 35.9005805, -78.8866445 35.9006101, -78.88710840000002 35.9006314, -78.8883379 35.9006775, -78.88881189999999 35.9006805, -78.8889398 35.9006787, -78.88906110000001 35.9006802, -78.88926530000001 35.9006869, -78.8896977 35.900705, -78.8902679 35.90076160000001, -78.8910164 35.9009318, -78.8910848 35.9009546, -78.8918066 35.9012215, -78.89207949999999 35.9013256, -78.89220419999999 35.9013731, -78.89271460000001 35.9015677, -78.89278539999999 35.9015947, -78.8939587 35.9020493, -78.8941244 35.9016906, -78.894246 35.9014874, -78.8942627 35.9014551, -78.89435229999999 35.9013171, -78.8944369 35.901124, -78.89448489999999 35.9009526, -78.8945312 35.90078760000002, -78.8945744 35.9006334, -78.8946131 35.9004953)","(35.8765992, -78.8498847)","(35.9004953, -78.8946131)"
370630020372,0,1,5914.203,"LINESTRING (-78.8498847 35.8765992, -78.8493988 35.8765849, -78.8492962 35.8765824, -78.8492925 35.8767335, -78.84941689999999 35.87715, -78.84952939999999 35.8772345, -78.8495755 35.8773507, -78.8496729 35.8776687, -78.84970410000001 35.8782596, -78.84986139999999 35.8783927, -78.85058050000001 35.8785117, -78.85056609999999 35.8785945, -78.8505136 35.8790088, -78.85049820000002 35.8790865, -78.8504628 35.8792519, -78.8503791 35.87963220000001, -78.8502869 35.8802259, -78.85013360000001 35.8810074, -78.8501191 35.8810787, -78.8500916 35.88121550000001, -78.8502192 35.881375, -78.8500998 35.8820487, -78.85009719999999 35.882328, -78.8502759 35.8825677, -78.8506757 35.88280839999999, -78.8542889 35.8857231, -78.8558767 35.8872408, -78.856003 35.8873577, -78.85737260000001 35.8885695, -78.8574988 35.8886641, -78.8603816 35.8901404, -78.8620243 35.8909519, -78.8621818 35.8910242, -78.8623126 35.8910842, -78.863603 35.8916908, -78.8643458 35.8919603, -78.86493830000001 35.8922422, -78.8668966 35.8931779, -78.8691759 35.8942671, -78.8693269 35.8943399, -78.869938 35.8946248, -78.8700556 35.8946831, -78.8720122 35.8956126, -78.87212100000001 35.8956651, -78.8725347 35.895865, -78.87308659999999 35.8961268, -78.8736432 35.8963907, -78.8799453 35.898903, -78.880117 35.8989511, -78.88230460000001 35.899539, -78.8842965 35.900086, -78.8844196 35.9001202, -78.8845742 35.9001638, -78.8858233 35.9004987, -78.8863289 35.9005805, -78.8866445 35.9006101, -78.88710840000002 35.9006314, -78.8883379 35.9006775, -78.88881189999999 35.9006805, -78.8889398 35.9006787, -78.88906110000001 35.9006802, -78.88926530000001 35.9006869, -78.8896977 35.900705, -78.8902679 35.90076160000001, -78.8910164 35.9009318, -78.8910848 35.9009546, -78.8918066 35.9012215, -78.89207949999999 35.9013256, -78.89220419999999 35.9013731, -78.89271460000001 35.9015677, -78.89278539999999 35.9015947, -78.8939587 35.9020493, -78.8941244 35.9016906, -78.894246 35.9014874, -78.8942627 35.9014551, -78.89481840000002 35.9013568, -78.8949444 35.9012869, -78.8951094 35.9013219, -78.8953765 35.9013617, -78.89550920000001 35.9009504, -78.89563459999999 35.90081, -78.89567630000001 35.9006749, -78.8956857 35.9006443, -78.8957017 35.9005925, -78.8957352 35.9004864, -78.8957619 35.9004021, -78.89585339999999 35.900102, -78.8958959 35.8999626, -78.8959598 35.89997180000001, -78.8961781 35.90001379999999, -78.8965168 35.8989138, -78.8965321 35.8988275, -78.8966831 35.8988257)","(35.8765992, -78.8498847)","(35.8988257, -78.8966831)"
