cbg_id,store_id,rank,distance,geometry,Origin,Destination
481410103364,10,0,1393.012,"LINESTRING (-106.279267 31.742259, -106.281846 31.742262, -106.28184 31.741596, -106.281824 31.740925, -106.282515 31.740635, -106.282977 31.740977, -106.284442 31.742319, -106.284856 31.742631, -106.2851901 31.7428798, -106.2854839 31.7430898, -106.2859346 31.74340689999999, -106.2862554 31.7436188, -106.2864838 31.7437753, -106.286592 31.7436588, -106.2867498 31.74365119999999, -106.2868479 31.7437143, -106.2870617 31.7434963, -106.2882908 31.7422266, -106.2890115 31.7414741, -106.2889109 31.7414135, -106.2887153 31.741615)","(31.742259, -106.279267)","(31.741615, -106.2887153)"
481410103364,20,1,2693.859,"LINESTRING (-106.279267 31.742259, -106.27927 31.742916, -106.279276 31.743519, -106.279287 31.7439747, -106.2792058 31.7440486, -106.279291 31.7441425, -106.2793887 31.7440783, -106.279782 31.744146, -106.281886 31.744528, -106.282672 31.744669, -106.2836058 31.7448728, -106.2837794 31.7449637, -106.2840413 31.7451856, -106.2841924 31.7453323, -106.2846763 31.745782, -106.2839689 31.7465132, -106.2825004 31.7480283, -106.2813926 31.7491885, -106.2805171 31.7500157, -106.2792904 31.7511569, -106.2783149 31.75206879999999, -106.2773169 31.7529942, -106.276209 31.7540214, -106.2760017 31.7542222, -106.2755691 31.75461649999999, -106.2751826 31.7549831, -106.2750419 31.7551107, -106.2745105 31.7556073, -106.2740486 31.7560234, -106.2735952 31.7564492, -106.2731907 31.756829, -106.2729232 31.7570801, -106.2726409 31.7573453, -106.2720774 31.7578744, -106.2713349 31.7585875)","(31.742259, -106.279267)","(31.7585875, -106.2713349)"
481410102143,87,0,5540.564,"LINESTRING (-106.5069749 31.8660472, -106.510302 31.86235960000001, -106.510352 31.86171650000001, -106.516175 31.8618957, -106.5189197 31.8620908, -106.5190564 31.8620982, -106.520068 31.862092, -106.5203761 31.862728, -106.5204227 31.8628428, -106.5214286 31.86248740000001, -106.5223405 31.862189, -106.5233388 31.8619183, -106.5240324 31.86176759999999, -106.525183 31.8617111, -106.5342425 31.8615722, -106.5343547 31.8616379, -106.5393123 31.86253549999999, -106.5404656 31.8623897, -106.5424666 31.8621436, -106.5433785 31.8621345, -106.5442905 31.8621391, -106.5451012 31.8621289, -106.5460768 31.8620844, -106.5466416 31.8620155, -106.5476246 31.8615243, -106.547778 31.8616446, -106.5486635 31.8614729, -106.5487959 31.8615786, -106.5489932 31.8617354, -106.5491369 31.8618502, -106.549223 31.861926, -106.549339 31.862033, -106.5494131 31.8620851, -106.5495275 31.8619889, -106.5495689 31.8619479, -106.553306 31.8605993, -106.5534127 31.8605729, -106.5544913 31.8602398, -106.5552797 31.8599978, -106.557689 31.8596041, -106.5578025 31.85961389999999, -106.5579751 31.8596142, -106.5581112 31.8595891, -106.558101 31.8599998, -106.5581119 31.8603291, -106.5579945 31.86032710000001)","(31.8660472, -106.5069749)","(31.86032710000001, -106.5579945)"
481410102143,83,1,5592.546,"LINESTRING (-106.5069749 31.8660472, -106.510302 31.86235960000001, -106.510352 31.86171650000001, -106.516175 31.8618957, -106.5189197 31.8620908, -106.5190564 31.8620982, -106.520068 31.862092, -106.5203761 31.862728, -106.5204227 31.8628428, -106.5214286 31.86248740000001, -106.5223405 31.862189, -106.5233388 31.8619183, -106.5240324 31.86176759999999, -106.525183 31.8617111, -106.5342425 31.8615722, -106.5343547 31.8616379, -106.5393123 31.86253549999999, -106.5404656 31.8623897, -106.5424666 31.8621436, -106.5433785 31.8621345, -106.5442905 31.8621391, -106.5451012 31.8621289, -106.5460768 31.8620844, -106.5466416 31.8620155, -106.5476246 31.8615243, -106.547778 31.8616446, -106.5486635 31.8614729, -106.5487959 31.8615786, -106.5489932 31.8617354, -106.5491369 31.8618502, -106.549254 31.8617527, -106.5494224 31.8617764, -106.5495371 31.8618787, -106.5509696 31.8612538, -106.5532803 31.8605314, -106.5533821 31.8604995, -106.55447 31.8601618, -106.5552445 31.8599216, -106.5566076 31.8595808, -106.5565741 31.8594479, -106.5565508 31.8591705, -106.5565951 31.8587547, -106.557548 31.8583798, -106.557801 31.85784)","(31.8660472, -106.5069749)","(31.85784, -106.557801)"
481410011171,70,0,381.001,"LINESTRING (-106.5461119 31.8209459, -106.5458673 31.8209292, -106.5456624 31.820664, -106.5456329 31.8201806, -106.5455988 31.82003440000001, -106.545559 31.8198342, -106.5458012 31.8197982, -106.545391 31.81926110000001, -106.5453732 31.8191832, -106.545418 31.8191117, -106.5454019 31.8190323, -106.545159 31.818298)","(31.8209459, -106.5461119)","(31.818298, -106.545159)"
481410011171,71,1,588.268,"LINESTRING (-106.5461119 31.8209459, -106.5458673 31.8209292, -106.5456624 31.820664, -106.5456329 31.8201806, -106.5455988 31.82003440000001, -106.5443209 31.819749, -106.5442409 31.8196829, -106.543478 31.818846, -106.543371 31.818714, -106.543189 31.818755, -106.54261 31.818912, -106.5422576 31.81903450000001, -106.54211 31.81909, -106.5420545 31.819114, -106.5417109 31.8192629, -106.5415759 31.8193328)","(31.8209459, -106.5461119)","(31.8193328, -106.5415759)"
481410102242,103,0,9981.537,"LINESTRING (-106.376056 31.9868493, -106.3974273 31.973682, -106.3989294 31.973682, -106.404676 31.973687, -106.40863 31.973687, -106.4082331 31.9558386, -106.4080847 31.9494686, -106.407975 31.945097, -106.4079553 31.9439232, -106.4078776 31.940985, -106.408287 31.940339, -106.423522 31.9316253, -106.4240312 31.931698, -106.4241811 31.9328079, -106.4243292 31.9336178, -106.4245247 31.9342215, -106.4245681 31.9347598, -106.4245893 31.9355429, -106.4245922 31.93563, -106.424609 31.9364056, -106.4242459 31.9364124, -106.4242445 31.9366002, -106.4242527 31.9370893, -106.424257 31.9373679)","(31.9868493, -106.376056)","(31.9373679, -106.424257)"
481410102242,101,1,11291.851,"LINESTRING (-106.376056 31.9868493, -106.3974273 31.973682, -106.3989294 31.973682, -106.404676 31.973687, -106.40863 31.973687, -106.4082331 31.9558386, -106.4080847 31.9494686, -106.407975 31.945097, -106.4079553 31.9439232, -106.4078776 31.940985, -106.408287 31.940339, -106.423522 31.9316253, -106.4236359 31.9315695, -106.4239035 31.9314387, -106.424021 31.931377, -106.424343 31.931221, -106.4244291 31.9311794, -106.4258271 31.930505, -106.4332642 31.9268892, -106.4339439 31.9265587, -106.4345535 31.9262627, -106.4374989 31.9248314, -106.4376874 31.9247274, -106.4387717 31.9241228, -106.4397174 31.9233944, -106.439961 31.923187, -106.440212 31.922941, -106.440301 31.922849, -106.439437 31.922256, -106.439188 31.922094, -106.4390488 31.9220061, -106.4389238 31.9219273)","(31.9868493, -106.376056)","(31.9219273, -106.4389238)"
481410011114,69,0,1705.865,"LINESTRING (-106.5028764 31.8214249, -106.5030924 31.8213841, -106.5040793 31.8212681, -106.5057495 31.8216439, -106.5059649 31.8219378, -106.5060992 31.822812, -106.50626 31.823623, -106.5073922 31.8233927, -106.5084926 31.822861, -106.5093464 31.8223784, -106.5102412 31.8217833, -106.510315 31.821732, -106.5110562 31.8211359, -106.5114736 31.8207912, -106.5121483 31.8203307, -106.5128898 31.8198887, -106.5131875 31.8197116, -106.5136192 31.81946039999999, -106.5143375 31.8190721, -106.5145934 31.8189355, -106.515069 31.81864, -106.5149848 31.8185368, -106.5152191 31.8183336, -106.5151839 31.8183007, -106.515171 31.8180366, -106.5148053 31.8177013, -106.5150179 31.8175449)","(31.8214249, -106.5028764)","(31.8175449, -106.5150179)"
481410011114,73,1,3517.64,"LINESTRING (-106.5028764 31.8214249, -106.5030924 31.8213841, -106.5040793 31.8212681, -106.5057495 31.8216439, -106.5059649 31.8219378, -106.5060992 31.822812, -106.50626 31.823623, -106.5073922 31.8233927, -106.5084926 31.822861, -106.5093464 31.8223784, -106.5102412 31.8217833, -106.510315 31.821732, -106.5110562 31.8211359, -106.5114736 31.8207912, -106.5121483 31.8203307, -106.5128898 31.8198887, -106.5131875 31.8197116, -106.5136192 31.81946039999999, -106.5143375 31.8190721, -106.5145934 31.8189355, -106.515069 31.81864, -106.5153342 31.8184444, -106.5154641 31.8185671, -106.5154987 31.8185407, -106.5155768 31.8186171, -106.5156287 31.8186678, -106.5157416 31.8186995, -106.5162099 31.8188445, -106.5163615 31.8190052, -106.5165022 31.8188626, -106.516828 31.8191538, -106.5169957 31.8193037, -106.517343 31.819614, -106.5178182 31.8200336, -106.5182547 31.82041889999999, -106.518761 31.820866, -106.5189621 31.8210468, -106.5192137 31.8212729, -106.5194663 31.8214994, -106.5199075 31.821889, -106.5200321 31.8219989, -106.5204303 31.8223517, -106.5212561 31.8230848, -106.5216718 31.8234581, -106.5223334 31.8240521, -106.522674 31.824358, -106.522857 31.824514, -106.522987 31.824626, -106.5233704 31.82497140000001, -106.523746 31.825312, -106.5244745 31.8259578, -106.5249066 31.8263361, -106.525803 31.827127, -106.527525 31.828683, -106.527611 31.828756, -106.5281661 31.829233, -106.528507 31.829526, -106.52866 31.829417, -106.5288097 31.82927089999999, -106.5288369 31.8292453, -106.528954 31.8293401, -106.5291679 31.8295119, -106.5292835 31.829601, -106.5294336 31.8297047, -106.5295926 31.8298097, -106.5297404 31.8299073)","(31.8214249, -106.5028764)","(31.8299073, -106.5297404)"
