cbg_id,store_id,rank,distance,geometry,Origin,Destination
180030009002,38,0,1232.228,"LINESTRING (-85.1614257 41.0832185, -85.1610009 41.0835349, -85.1609301 41.0835958, -85.16094750000001 41.0836838, -85.1609705 41.0839369, -85.16007380000001 41.0844324, -85.1592984 41.0849509, -85.1581949 41.0849408, -85.1572278 41.084997, -85.1564691 41.0849999, -85.1557846 41.0850324, -85.15524449999999 41.0850493, -85.15456949999999 41.0850704, -85.1545753 41.0854845, -85.1545756 41.0855082, -85.1545813 41.0859143, -85.15457859999999 41.0862072, -85.1545787 41.0866951, -85.1545802 41.0871269, -85.1546124 41.0878587, -85.1546397 41.088783, -85.15454350000002 41.0887973, -85.15454440000001 41.0888412, -85.15428900000001 41.088846, -85.1542912 41.0889289, -85.15400889999999 41.088932, -85.15376550000001 41.0889355, -85.15365620000001 41.0889379, -85.1536332 41.0889543, -85.1535222 41.08896759999999, -85.1535604 41.0892288)","(41.0832185, -85.1614257)","(41.0892288, -85.1535604)"
180030009002,40,1,1789.006,"LINESTRING (-85.1614257 41.0832185, -85.1610009 41.0835349, -85.1609301 41.0835958, -85.16094750000001 41.0836838, -85.1609705 41.0839369, -85.16098580000001 41.0840999, -85.161597 41.0840879, -85.1616283 41.0844252, -85.1616854 41.0844694, -85.1616935 41.0849441, -85.1617427 41.0849453, -85.1617696 41.0853723, -85.1617735 41.0854347, -85.1618009 41.0858707, -85.161798 41.086361, -85.16179579999999 41.0867333, -85.16179510000001 41.0868486, -85.1617997 41.0869023, -85.1618364 41.08733359999999, -85.1618469 41.0877793, -85.16184360000001 41.0882682, -85.1618569 41.0887209, -85.16185919999999 41.0888078, -85.16196960000001 41.0894141, -85.16246289999999 41.0904237, -85.1624971 41.0904725, -85.1620044 41.0908731, -85.1619401 41.090925, -85.1618612 41.0909814, -85.16111479999999 41.09151529999998, -85.1610555 41.0915646, -85.1603411 41.0921017, -85.160274 41.0921545, -85.1602195 41.0922047, -85.1599865 41.0924942, -85.1599544 41.0925542, -85.1599246 41.0926192, -85.15996320000001 41.0939447, -85.15989949999999 41.093969, -85.1587274 41.0941525, -85.1587325 41.0942077, -85.1587294 41.0942753, -85.15863640000002 41.0942791, -85.1586568 41.0950354, -85.15860120000001 41.0950357, -85.15860600000001 41.0951421, -85.15842600000001 41.0951477, -85.1583583 41.0952727, -85.1581918 41.0952736, -85.1581963 41.0957671, -85.15798340000002 41.0957887, -85.15799020000001 41.0958763, -85.1579899 41.0959441, -85.1579744 41.0959443, -85.1579764 41.0960009, -85.1574653 41.0960076)","(41.0832185, -85.1614257)","(41.0960076, -85.1574653)"
180030115022,5,0,3766.638,"LINESTRING (-85.1983096 41.035239, -85.1983386 41.0359109, -85.1962242 41.0359047, -85.1928903 41.0358958, -85.19158419999999 41.0358843, -85.189199 41.0358634, -85.1891389 41.0353584, -85.1891218 41.03489679999998, -85.18910080000001 41.0343289, -85.1890607 41.0332434, -85.1890145 41.0321844, -85.1889501 41.0310594, -85.1888494 41.0297884, -85.18883769999999 41.0296406, -85.18883630000001 41.0296227, -85.188787 41.0290004, -85.1887462 41.027976, -85.18869669999999 41.0267343, -85.1886738 41.0244882, -85.18877430000001 41.02401989999998, -85.18881370000001 41.023711, -85.18881089999999 41.023115, -85.1888039 41.0229746, -85.18880040000001 41.0229043, -85.1887771 41.0224352, -85.18874769999999 41.0216553, -85.1887014 41.0204247, -85.18869909999999 41.0203382, -85.1886865 41.0197747, -85.1886806 41.0195093, -85.1886755 41.0192835, -85.1886749 41.0192573, -85.1886509 41.0181865, -85.1886492 41.0181092, -85.1886386 41.0176367, -85.1886137 41.0165222, -85.1869674 41.0165709, -85.18493770000001 41.0171226, -85.1832076 41.0176711, -85.1828781 41.01775339999999, -85.18241159999999 41.0178915, -85.1819807 41.018035, -85.18184650000001 41.0180701, -85.1812723 41.0182497, -85.18026620000001 41.0185326, -85.17994590000001 41.0186353)","(41.035239, -85.1983096)","(41.0186353, -85.1799459)"
180030115022,21,1,4575.929,"LINESTRING (-85.1983096 41.035239, -85.1983386 41.0359109, -85.1962242 41.0359047, -85.1928903 41.0358958, -85.19158419999999 41.0358843, -85.189199 41.0358634, -85.1892376 41.0363935, -85.1892797 41.03718640000001, -85.18856270000001 41.03720589999999, -85.1862936 41.0373646, -85.1850756 41.0373839, -85.18371689999999 41.0373944, -85.1819516 41.037412, -85.18189719999999 41.0378195, -85.1816456 41.0388005, -85.1817451 41.04084149999998, -85.1817515 41.042018, -85.17997920000001 41.0431092, -85.17998350000001 41.043443, -85.1800757 41.0456608, -85.17938890000001 41.0456595, -85.17894269999999 41.0456653, -85.17834310000001 41.0456731, -85.17775930000001 41.0456802, -85.17728839999999 41.045684, -85.1761844 41.0457038, -85.1757703 41.0457061, -85.1751127 41.0457096, -85.1743681 41.0457183, -85.1740314 41.0457222, -85.1728148 41.0457598, -85.1710195 41.04575410000001, -85.1705166 41.0457611, -85.16929560000001 41.0457803, -85.16893399999999 41.0457816, -85.16867980000001 41.045792, -85.16819940000001 41.0465527, -85.1672544 41.0475826, -85.1671252 41.0477117, -85.1663461 41.0484826, -85.1655456 41.0492209, -85.1653294 41.0491046, -85.1641427 41.0499005, -85.162672 41.0504995, -85.1622428 41.050673, -85.1622904 41.0507873, -85.1623275 41.0508762, -85.16234540000001 41.0509173, -85.162448 41.0511727, -85.1626438 41.0513884, -85.1625909 41.05171509999999, -85.1626097 41.0518724)","(41.035239, -85.1983096)","(41.0518724, -85.1626097)"
180030022002,21,0,2281.462,"LINESTRING (-85.1785781 41.0575814, -85.18051749999999 41.0574866, -85.18051079999999 41.0572945, -85.1805071 41.0571901, -85.18047749999999 41.0563451, -85.1804333 41.0550821, -85.18042730000001 41.0549111, -85.1804221 41.05468410000001, -85.1803578 41.05292049999998, -85.17713310000001 41.0529418, -85.1761149 41.0529497, -85.175821 41.0529521, -85.17477409999999 41.0529602, -85.1738704 41.05296569999999, -85.1725995 41.05298049999998, -85.17128649999999 41.0529957, -85.17012200000001 41.0530093, -85.16916660000001 41.05302039999999, -85.1690882 41.0530213, -85.1685449 41.05302759999999, -85.1680265 41.05303359999998, -85.1679468 41.0530345, -85.167514 41.0530395, -85.1669958 41.0530456, -85.1666153 41.05305, -85.16594120000001 41.0530578, -85.164745 41.0530717, -85.1643333 41.0530761, -85.16340580000001 41.05302970000001, -85.1633763 41.0527911, -85.1633575 41.0526398, -85.1633116 41.052269, -85.1632659 41.0520021, -85.1626097 41.0518724)","(41.0575814, -85.1785781)","(41.0518724, -85.1626097)"
180030022002,32,1,3260.581,"LINESTRING (-85.1785781 41.0575814, -85.18051749999999 41.0574866, -85.18053740000001 41.0580554, -85.1805525 41.0584856, -85.1805672 41.0589067, -85.1805722 41.0590481, -85.180583 41.059358, -85.18059909999999 41.0598164, -85.180612 41.0601837, -85.1806163 41.0620636, -85.1806548 41.0630302, -85.1806548 41.0639494, -85.1806587 41.0642516, -85.1806632 41.0646063, -85.1806717 41.0652738, -85.1806723 41.0653205, -85.1822909 41.0653093, -85.18388419999999 41.0652973, -85.1839244 41.06749090000002, -85.18415280000001 41.0674882, -85.1841572 41.0675605, -85.18457069999999 41.0675558, -85.185311 41.0675463, -85.1854087 41.067545, -85.18538959999999 41.0682667, -85.1854512 41.0683257, -85.18536899999999 41.0683789, -85.1869741 41.0694448, -85.18724469999999 41.0711984, -85.18963100000001 41.0713609, -85.1897146 41.071446, -85.1898485 41.0714736, -85.1899806 41.0714809, -85.1900646 41.0714881, -85.1900816 41.0722276, -85.1901314 41.072877, -85.1901507 41.07301360000001, -85.1902458 41.0731027, -85.1909002 41.0726923, -85.1909799 41.0726439, -85.19142050000001 41.0723764, -85.191722 41.072187, -85.19182790000001 41.0721198, -85.19212740000002 41.0719436, -85.194205 41.0707028, -85.1948757 41.0714168, -85.194795 41.071445, -85.19482189999999 41.0715004, -85.194881 41.0714847, -85.1950556 41.0714882, -85.1950786 41.0715542, -85.1951945 41.0717859, -85.1952928 41.0717689, -85.1953469 41.0719168, -85.1954649 41.0718943, -85.1957397 41.0718419)","(41.0575814, -85.1785781)","(41.0718419, -85.1957397)"
180030116052,12,0,1927.387,"LINESTRING (-85.2509439 41.0356758, -85.2507028 41.0357131, -85.2503744 41.0358467, -85.2500009 41.0362547, -85.2493235 41.0366121, -85.2488895 41.0367075, -85.2487443 41.0367101, -85.24823859999999 41.0369382, -85.2481734 41.0368917, -85.24808419999999 41.036828, -85.2475379 41.0369178, -85.2473761 41.0370298, -85.2469954 41.0368259, -85.2468587 41.036743, -85.2492774 41.0354348, -85.2508548 41.03473730000001, -85.2528916 41.0338616, -85.2537695 41.0334964, -85.2542581 41.0332806, -85.2557025 41.0325845, -85.2560895 41.0331217, -85.2563052 41.0332212, -85.25687379999999 41.0333031, -85.257001 41.0332921, -85.25864009999999 41.0326817, -85.25876100000001 41.03264549999999, -85.2603342 41.0333521, -85.2604661 41.0333151, -85.26071690000001 41.0332538, -85.2609246 41.0338507, -85.2606861 41.0338811)","(41.0356758, -85.2509439)","(41.0338811, -85.2606861)"
180030116052,27,1,3672.035,"LINESTRING (-85.2509439 41.0356758, -85.2507028 41.0357131, -85.2503744 41.0358467, -85.2500009 41.0362547, -85.2493235 41.0366121, -85.2488895 41.0367075, -85.2487443 41.0367101, -85.24823859999999 41.0369382, -85.2479718 41.0373652, -85.2477835 41.03772, -85.24771800000001 41.0378391, -85.2476712 41.0379241, -85.24749970000001 41.0382621, -85.24744320000001 41.0383082, -85.247347 41.0387177, -85.24509590000001 41.0379604, -85.24504520000001 41.0379124, -85.2449762 41.0378469, -85.2448752 41.0379177, -85.244775 41.0379941, -85.24404989999999 41.0385897, -85.2433535 41.0392083, -85.24158319999999 41.0410483, -85.239339 41.0434824, -85.2380787 41.044846, -85.2379967 41.0449468, -85.2379455 41.0450071, -85.2365398 41.04645150000001, -85.23465090000001 41.0483061, -85.234619 41.0483413, -85.2336913 41.0492675, -85.2328093 41.0501609, -85.23180929999999 41.0511396, -85.2309774 41.0519204, -85.23032240000001 41.0524593, -85.230188 41.0525621, -85.229054 41.0533773, -85.2287034 41.0536112, -85.2268961 41.0546748, -85.2257432 41.0553338, -85.22408679999999 41.05626130000001, -85.22229780000001 41.0572914, -85.2223972 41.0573994)","(41.0356758, -85.2509439)","(41.0573994, -85.2223972)"
180030117022,5,0,4243.35,"LINESTRING (-85.188981 40.9880076, -85.1878909 40.9880142, -85.1873832 40.988016, -85.18738810000001 40.9881209, -85.18723110000001 40.98811949999999, -85.1868498 40.9881308, -85.1858903 40.9881506, -85.1857708 40.9881247, -85.185665 40.988082, -85.18541949999999 40.9882681, -85.1852858 40.9883672, -85.18490920000001 40.9890917, -85.1830667 40.9891315, -85.1830885 40.9902572, -85.1831023 40.9910064, -85.18311079999999 40.991671, -85.1831291 40.9931105, -85.18313740000001 40.9940683, -85.18315800000001 40.9946238, -85.1832175 40.9972737, -85.18322619999999 40.9979728, -85.18324079999999 40.9991521, -85.1832412 40.9994154, -85.1832661 41.0004234, -85.1832763 41.0008377, -85.1832788 41.0009052, -85.1833606 41.0019889, -85.18336189999999 41.002118, -85.1858112 41.0021192, -85.18541620000001 41.002768, -85.185214 41.0030702, -85.18418070000001 41.0046141, -85.183757 41.0053648, -85.18237259999999 41.008245, -85.1817649 41.01274570000001, -85.181836 41.017588, -85.18184650000001 41.0180701, -85.1812723 41.0182497, -85.18026620000001 41.0185326, -85.17994590000001 41.0186353)","(40.9880076, -85.188981)","(41.0186353, -85.1799459)"
180030117022,3,1,4702.331,"LINESTRING (-85.188981 40.9880076, -85.1878909 40.9880142, -85.1873832 40.988016, -85.18738810000001 40.9881209, -85.18723110000001 40.98811949999999, -85.1868498 40.9881308, -85.1858903 40.9881506, -85.1857708 40.9881247, -85.185665 40.988082, -85.18541949999999 40.9882681, -85.1852858 40.9883672, -85.18490920000001 40.9890917, -85.1830667 40.9891315, -85.1830885 40.9902572, -85.1831023 40.9910064, -85.18311079999999 40.991671, -85.1831291 40.9931105, -85.18313740000001 40.9940683, -85.18315800000001 40.9946238, -85.1832175 40.9972737, -85.18322619999999 40.9979728, -85.18324079999999 40.9991521, -85.1832412 40.9994154, -85.1832661 41.0004234, -85.1832763 41.0008377, -85.1832788 41.0009052, -85.1833606 41.0019889, -85.18336189999999 41.002118, -85.1858112 41.0021192, -85.18541620000001 41.002768, -85.185214 41.0030702, -85.18418070000001 41.0046141, -85.183757 41.0053648, -85.18237259999999 41.008245, -85.18215979999999 41.0082512, -85.18164109999999 41.0087774, -85.1812463 41.0094515, -85.18077099999999 41.0102632, -85.18003710000001 41.0112076, -85.1796197 41.0115042, -85.1792306 41.01183, -85.1775612 41.0127601, -85.1759655 41.0136142, -85.17390260000001 41.0147739, -85.1739036 41.0148418, -85.17273 41.0159681, -85.172493 41.0161626, -85.1718662 41.01650559999999, -85.17188229999999 41.0167311, -85.1718827 41.0167657, -85.17178579999999 41.0167717, -85.1717096 41.0167772, -85.1716962 41.0167661, -85.16969109999999 41.0167962, -85.16969330000001 41.016871, -85.1694023 41.01691320000001, -85.1694036 41.0169827, -85.169405 41.0170516, -85.16935719999999 41.0170543, -85.1692618 41.0170595, -85.1692664 41.017486, -85.1692688 41.0177062, -85.169275 41.0182872)","(40.9880076, -85.188981)","(41.0182872, -85.169275)"
