cbg_id,store_id,rank,distance,geometry,Origin,Destination
484391057062,1,0,1585.837,"LINESTRING (-97.35431199999999 32.640365, -97.35442190000001 32.6397118, -97.35456600000001 32.6373001, -97.3554642 32.6354468, -97.355468 32.6350617, -97.3502775 32.6350593, -97.35027599999999 32.635004, -97.35027599999999 32.634822, -97.35027789999999 32.6345573, -97.35000789999999 32.6345522, -97.34980229999999 32.634548, -97.3495717 32.63453950000001, -97.3494065 32.6345326, -97.3489531 32.6342494, -97.34894850000001 32.6341728, -97.348934 32.6333267, -97.3486163 32.633208, -97.3485651 32.6323733)","(32.640365, -97.354312)","(32.6323733, -97.3485651)"
484391057062,3,1,2088.609,"LINESTRING (-97.35431199999999 32.640365, -97.35442190000001 32.6397118, -97.35456600000001 32.6373001, -97.3554642 32.6354468, -97.355468 32.6350617, -97.3562979 32.6350574, -97.3576825 32.6350544, -97.3577782 32.63505210000001, -97.35877410000001 32.6350405, -97.3596337 32.6350395, -97.36051589999998 32.6350384, -97.3614089 32.6350373, -97.3614943 32.635038, -97.36149829999999 32.6349797, -97.36161189999999 32.6349788, -97.362352 32.634973, -97.363518 32.634973, -97.3640556 32.63497430000001, -97.36472879999999 32.63497590000001, -97.3649281 32.6349764, -97.36517000000001 32.634977, -97.36520729999999 32.6349773, -97.36568490000002 32.6349813, -97.3664189 32.63498749999999, -97.36685559999999 32.6349912, -97.36787990000001 32.6349998, -97.3686941 32.6349956, -97.36902790000001 32.6349939, -97.3696681 32.6353165, -97.3696621 32.6355283, -97.3696504 32.6359454)","(32.640365, -97.354312)","(32.6359454, -97.3696504)"
483671407131,65,0,10396.776,"LINESTRING (-97.5691762 32.7421819, -97.5679846 32.7419188, -97.5678152 32.7427444, -97.5678539 32.7428456, -97.56818730000002 32.7440294, -97.56703349999999 32.7439875, -97.5670361 32.7440406, -97.56708220000002 32.7444872, -97.5661296 32.7446955, -97.5652166 32.7447744, -97.5649871 32.7447478, -97.5600233 32.7452327, -97.559782 32.745253, -97.55725150000001 32.7456394, -97.55626239999999 32.7458252, -97.55536429999999 32.7459199, -97.55214719999999 32.7445672, -97.55168209999999 32.7443644, -97.551072 32.744198, -97.5503375 32.7440541, -97.550224 32.7440319, -97.55007000000001 32.7440261, -97.5481178 32.7449338, -97.5433489 32.7416271, -97.5432297 32.741567, -97.5389739 32.741508, -97.5352518 32.7414829, -97.5349358 32.7414805, -97.534868 32.74148, -97.53199720000001 32.7414657, -97.52755050000002 32.7414436, -97.525795 32.741439, -97.5234188 32.74141010000001, -97.5232805 32.7414097, -97.52267000000001 32.7414077, -97.5225284 32.7414073, -97.5221799 32.7414062, -97.5219982 32.7414056, -97.51925919999999 32.7413901, -97.5190612 32.7413918, -97.5163879 32.74137360000001, -97.5152089 32.741364, -97.5123248 32.7413289, -97.5123095 32.7419575, -97.5113762 32.741944, -97.5104377 32.74193729999999, -97.5104082 32.7427157, -97.5094718 32.7427156, -97.50931629999999 32.7434826, -97.5090481 32.7442519, -97.5090105 32.7463838, -97.50811280000002 32.7464447, -97.5075847 32.7465677, -97.507327 32.7466553, -97.50739590000001 32.7467843, -97.5077249 32.7480698, -97.5077745 32.7488564, -97.5077611 32.7491333, -97.507715 32.749338, -97.507113 32.751015, -97.50668349999999 32.7517147, -97.506011 32.752426, -97.50543039999999 32.7529346, -97.50478099999999 32.753483, -97.504181 32.754013, -97.5037274 32.7544135, -97.5032085 32.7548648, -97.50258940000001 32.7554322, -97.501929 32.756003, -97.50130299999999 32.756579, -97.50073399999999 32.757219, -97.5002891 32.7578647, -97.499916 32.758584, -97.499657 32.759293, -97.49804 32.759237, -97.49702600000001 32.759207, -97.49608600000001 32.759199, -97.495148 32.759189, -97.49425100000001 32.759183, -97.492683 32.759182, -97.4919434 32.7591825, -97.49119 32.759183, -97.49096 32.75918, -97.490959 32.759352, -97.4909418 32.7596048, -97.4909267 32.7598265, -97.49079039999999 32.7620736, -97.49031759999998 32.7620753, -97.4903048 32.762774, -97.48865739999999 32.76278109999998, -97.4874133 32.7634303, -97.48695840000001 32.7637564, -97.48661279999999 32.7634113)","(32.7421819, -97.5691762)","(32.7634113, -97.48661279999999)"
483671407131,67,1,10597.888,"LINESTRING (-97.5691762 32.7421819, -97.5679846 32.7419188, -97.5678152 32.7427444, -97.5678539 32.7428456, -97.56818730000002 32.7440294, -97.56703349999999 32.7439875, -97.5670361 32.7440406, -97.56708220000002 32.7444872, -97.5661296 32.7446955, -97.5652166 32.7447744, -97.5649871 32.7447478, -97.5600233 32.7452327, -97.559782 32.745253, -97.55725150000001 32.7456394, -97.55626239999999 32.7458252, -97.55536429999999 32.7459199, -97.55214719999999 32.7445672, -97.55168209999999 32.7443644, -97.551072 32.744198, -97.5503375 32.7440541, -97.550224 32.7440319, -97.55007000000001 32.7440261, -97.5481178 32.7449338, -97.5433489 32.7416271, -97.5432297 32.741567, -97.5389739 32.741508, -97.5352518 32.7414829, -97.5349358 32.7414805, -97.534868 32.74148, -97.53199720000001 32.7414657, -97.52755050000002 32.7414436, -97.525795 32.741439, -97.5234188 32.74141010000001, -97.5232805 32.7414097, -97.52267000000001 32.7414077, -97.5225284 32.7414073, -97.5221799 32.7414062, -97.5219982 32.7414056, -97.51925919999999 32.7413901, -97.5190612 32.7413918, -97.5163879 32.74137360000001, -97.5152089 32.741364, -97.5123248 32.7413289, -97.5123095 32.7419575, -97.5113762 32.741944, -97.5104377 32.74193729999999, -97.5104082 32.7427157, -97.5094718 32.7427156, -97.50931629999999 32.7434826, -97.5090481 32.7442519, -97.5090105 32.7463838, -97.50811280000002 32.7464447, -97.5075847 32.7465677, -97.507327 32.7466553, -97.50739590000001 32.7467843, -97.5077249 32.7480698, -97.5077745 32.7488564, -97.5077611 32.7491333, -97.507715 32.749338, -97.507113 32.751015, -97.50668349999999 32.7517147, -97.506011 32.752426, -97.50543039999999 32.7529346, -97.50478099999999 32.753483, -97.504181 32.754013, -97.5037274 32.7544135, -97.5032085 32.7548648, -97.50258940000001 32.7554322, -97.501929 32.756003, -97.50130299999999 32.756579, -97.50073399999999 32.757219, -97.5002891 32.7578647, -97.499916 32.758584, -97.499657 32.759293, -97.49804 32.759237, -97.49702600000001 32.759207, -97.49608600000001 32.759199, -97.495148 32.759189, -97.49425100000001 32.759183, -97.492683 32.759182, -97.4919434 32.7591825, -97.49119 32.759183, -97.49096 32.75918, -97.49060900000001 32.759178, -97.48766310000001 32.7601432, -97.487557 32.760215, -97.48618070000001 32.7611189, -97.4855015 32.7615456, -97.485241 32.761694, -97.4850636 32.761796, -97.4848355 32.7619272, -97.4844104 32.7621717, -97.48406199999999 32.762372, -97.483602 32.762636, -97.4831605 32.7628895, -97.48299440000001 32.7629849, -97.4822319 32.7634663, -97.4819092 32.7636923, -97.481573 32.7638915)","(32.7421819, -97.5691762)","(32.7638915, -97.481573)"
483671407132,46,0,11530.554,"LINESTRING (-97.5633327 32.7066268, -97.569728 32.717331, -97.56993449999999 32.7177575, -97.5740304 32.7214977, -97.56617300000001 32.7205993, -97.5581495 32.7202703, -97.5577627 32.720255, -97.5576452 32.7202504, -97.5574001 32.720251, -97.55723049999999 32.7202558, -97.5568689 32.720266, -97.55431660000001 32.7204428, -97.5517716 32.7205552, -97.538138 32.720543, -97.5371311 32.7205314, -97.536376 32.720543, -97.535927 32.7205459, -97.5354797 32.7205444, -97.53482320000001 32.720525, -97.53451680000001 32.720516, -97.53409150000002 32.7205015, -97.5336942 32.7204919, -97.5334316 32.7204769, -97.5330781 32.7204652, -97.5328001 32.7204561, -97.53238 32.7204423, -97.531825 32.720424, -97.528436 32.7205846, -97.522885 32.720604, -97.519026 32.720517, -97.51803169999999 32.7205127, -97.5169166 32.7205078, -97.51641119999999 32.72050560000001, -97.515466 32.7205015, -97.51497000000001 32.72050080000001, -97.5132641 32.7204984, -97.51282089999999 32.72049780000001, -97.512614 32.7204975, -97.50949749999999 32.7205177, -97.50394900000001 32.722071, -97.503263 32.722282, -97.498942 32.723627, -97.498407 32.7237932, -97.4973652 32.7241168, -97.4967851 32.7242969, -97.4966517 32.7243302, -97.496239 32.7244332, -97.4959633 32.7244929, -97.49531229999999 32.7245963, -97.49186520000001 32.7246604, -97.4918089 32.7246595, -97.49024249999999 32.7246342, -97.489536 32.7246228, -97.488895 32.724621, -97.4886757 32.72461890000001, -97.4872616 32.7246032, -97.483721 32.724553, -97.483458 32.724549, -97.482679 32.724541, -97.48148620000001 32.7245154, -97.47923520000001 32.7244869, -97.478317 32.724471, -97.47787580000001 32.7244496, -97.47730819999998 32.72443239999998, -97.47712370000001 32.72443, -97.4763355 32.72442, -97.476001 32.7244157, -97.47601520000001 32.7245705)","(32.7066268, -97.5633327)","(32.7245705, -97.4760152)"
483671407132,65,1,13925.318,"LINESTRING (-97.5633327 32.7066268, -97.569728 32.717331, -97.56993449999999 32.7177575, -97.5740304 32.7214977, -97.56617300000001 32.7205993, -97.5581495 32.7202703, -97.5577627 32.720255, -97.5576452 32.7202504, -97.5574001 32.720251, -97.55723049999999 32.7202558, -97.5568689 32.720266, -97.55431660000001 32.7204428, -97.5517716 32.7205552, -97.538138 32.720543, -97.5371311 32.7205314, -97.536376 32.720543, -97.535927 32.7205459, -97.5354797 32.7205444, -97.53482320000001 32.720525, -97.53451680000001 32.720516, -97.53409150000002 32.7205015, -97.5336942 32.7204919, -97.5334316 32.7204769, -97.5330781 32.7204652, -97.5328001 32.7204561, -97.53238 32.7204423, -97.531825 32.720424, -97.528436 32.7205846, -97.522885 32.720604, -97.51338699999999 32.7249306, -97.5088135 32.72702180000001, -97.5043216 32.7287417, -97.50376129999999 32.7289937, -97.50328399999999 32.7292212, -97.50285949999999 32.7294235, -97.5018927 32.72985, -97.50106100000001 32.730241, -97.4967563 32.7314782, -97.495154 32.731656, -97.49515 32.73458, -97.4950769 32.7347375, -97.4950295 32.7366862, -97.4950291 32.7367819, -97.49501220000001 32.7382752, -97.4950034 32.7390522, -97.4950018 32.7391717, -97.4949608 32.7418253, -97.4946212 32.7440188, -97.492756 32.74749, -97.492003 32.748708, -97.49132299999999 32.750318, -97.4911365 32.7510602, -97.491024 32.751896, -97.491004 32.752876, -97.49099959999998 32.7532935, -97.49098499999999 32.754671, -97.4909742 32.7566547, -97.4909736 32.7567662, -97.4909672 32.7579221, -97.490962 32.758814, -97.49060900000001 32.759178, -97.48766310000001 32.7601432, -97.487557 32.760215, -97.48618070000001 32.7611189, -97.4855015 32.7615456, -97.485241 32.761694, -97.485367 32.761868, -97.4855957 32.7621685, -97.4857815 32.7624095, -97.48595690000002 32.762621, -97.48603799999999 32.7627187, -97.48629510000001 32.7630285, -97.48661279999999 32.7634113)","(32.7066268, -97.5633327)","(32.7634113, -97.48661279999999)"
483671407072,46,0,14028.532,"LINESTRING (-97.5702764 32.6773914, -97.5582933 32.6811557, -97.5542526 32.68236310000001, -97.54996370000001 32.6819856, -97.549558 32.682097, -97.5477649 32.6818158, -97.53932829999999 32.6815725, -97.52397670000001 32.6779096, -97.51776599999999 32.6775275, -97.51446780000001 32.6777969, -97.5100985 32.6791305, -97.5089754 32.6792169, -97.50680180000001 32.6792893, -97.504785 32.679236, -97.50313060000002 32.6790133, -97.50159050000001 32.6788266, -97.50087379999999 32.6787256, -97.49912070000001 32.6785003, -97.49905699999999 32.682283, -97.499061 32.6839747, -97.4990586 32.6843464, -97.4990348 32.6879712, -97.49902400000001 32.69145, -97.499021 32.691924, -97.49901300000001 32.69352, -97.49902160000001 32.6940592, -97.49901920000002 32.6942098, -97.4990181 32.6942803, -97.4989966 32.6955978, -97.4989843 32.6963524, -97.49897609999999 32.6968588, -97.498963 32.697662, -97.49896440000001 32.6983429, -97.49896459999999 32.6984361, -97.49896 32.701289, -97.4989413 32.7020932, -97.4989357 32.7067965, -97.49891100000001 32.707555, -97.49854540000001 32.7107035, -97.49813 32.711622, -97.49747000000001 32.712662, -97.4961215 32.7143114, -97.49557299999999 32.715514, -97.4921647 32.7155296, -97.490438 32.717474, -97.4868843 32.7174204, -97.483819 32.718285, -97.4838151 32.7186952, -97.48374979999998 32.7213003, -97.48374830000002 32.721781, -97.48374699999999 32.7219116, -97.48374459999999 32.7221511, -97.483743 32.7223189, -97.4837378 32.7228492, -97.4837363 32.7229988, -97.483721 32.724553, -97.483458 32.724549, -97.482679 32.724541, -97.48148620000001 32.7245154, -97.47923520000001 32.7244869, -97.478317 32.724471, -97.47787580000001 32.7244496, -97.47730819999998 32.72443239999998, -97.47712370000001 32.72443, -97.4763355 32.72442, -97.476001 32.7244157, -97.47601520000001 32.7245705)","(32.6773914, -97.5702764)","(32.7245705, -97.4760152)"
483671407072,45,1,16186.144,"LINESTRING (-97.5702764 32.6773914, -97.5582933 32.6811557, -97.5542526 32.68236310000001, -97.54996370000001 32.6819856, -97.549558 32.682097, -97.5477649 32.6818158, -97.53932829999999 32.6815725, -97.52397670000001 32.6779096, -97.51776599999999 32.6775275, -97.51446780000001 32.6777969, -97.5100985 32.6791305, -97.5089754 32.6792169, -97.50680180000001 32.6792893, -97.504785 32.679236, -97.50313060000002 32.6790133, -97.50159050000001 32.6788266, -97.50087379999999 32.6787256, -97.49912070000001 32.6785003, -97.47569540000001 32.6802835, -97.4720183 32.6821378, -97.46884799999999 32.6837365, -97.467529 32.6843913, -97.4651811 32.685558, -97.46494869999999 32.6861056, -97.4654912 32.6895526, -97.46695080000001 32.6937633, -97.4663159 32.6939744, -97.46470239999999 32.6941347, -97.4641025 32.69400670000001, -97.46284780000001 32.6933215, -97.46278839999999 32.6933816, -97.4627686 32.6934013, -97.4625305 32.6935728, -97.46248919999999 32.6937623, -97.4624534 32.6937975, -97.4617191 32.6939047, -97.46084260000001 32.694221, -97.46001149999999 32.6964346, -97.4593989 32.6970744, -97.4551601 32.6968481, -97.4547341 32.6969372, -97.4545559 32.6968817, -97.4543311 32.6968075, -97.45425130000001 32.6967797, -97.4541579 32.6969721, -97.4537316 32.6977508, -97.4528169 32.6994546, -97.4526501 32.6997546, -97.45269020000001 32.6999444, -97.452727 32.7004848, -97.4527344 32.7010123, -97.4527349 32.7011107, -97.4527346 32.7021279, -97.4527301 32.70233579999999, -97.4527393 32.7043999, -97.4527406 32.7046856, -97.45274310000001 32.705406, -97.45274550000001 32.7060844, -97.45274569999999 32.7061445, -97.4527478 32.7067735, -97.45274879999999 32.7070035, -97.4527592 32.707852, -97.45276459999999 32.7086526, -97.4527684 32.7096429, -97.45276990000001 32.7100279, -97.452772 32.7105649, -97.45277299999999 32.7108489, -97.4527755 32.7114869, -97.4527789 32.7123779, -97.45278260000001 32.7133499, -97.4527849 32.7139491, -97.45278329999999 32.714825, -97.4527829 32.7152815, -97.452782 32.716278, -97.4527786 32.7165103, -97.4527794 32.7165341, -97.45277849999999 32.7166995, -97.45277710000001 32.7168205, -97.45276990000001 32.7171539, -97.4525648 32.7179672, -97.4523722 32.7184453, -97.45225499999999 32.718736, -97.4521799 32.7189457, -97.451964 32.719549, -97.4518186 32.7199525, -97.45176189999999 32.7201098, -97.45175500000001 32.7201289, -97.45170899999999 32.7202566, -97.4515978 32.7205653, -97.451515 32.720795, -97.45146320000001 32.7209364, -97.4513213 32.7213278, -97.451109 32.722019, -97.4507758 32.7225022, -97.4505932 32.7224862, -97.4496996 32.7224469, -97.44960039999999 32.72259340000002)","(32.6773914, -97.5702764)","(32.722593400000015, -97.4496004)"
481130144091,81,0,15209.487,"LINESTRING (-97.0337399 32.8241433, -97.033942 32.8227361, -97.0339707 32.822349, -97.0341789 32.8223652, -97.035667 32.822397, -97.0368809 32.822391, -97.037753 32.822241, -97.0389545 32.8215612, -97.0393736 32.8210597, -97.040308 32.821544, -97.041455 32.821927, -97.0432811 32.8221032, -97.044185 32.822127, -97.04539590000002 32.8221579, -97.046593 32.8221698, -97.0476733 32.8221815, -97.0478158 32.8221861, -97.04888560000001 32.8221889, -97.04893199999999 32.822189, -97.049294 32.82219, -97.04939659999999 32.8221934, -97.05119639999999 32.8222528, -97.0530433 32.8223015, -97.053138 32.822304, -97.05323420000001 32.822306, -97.054513 32.822333, -97.0557913 32.8223476, -97.0558623 32.8223484, -97.0560121 32.8223521, -97.0560754 32.8223527, -97.0574563 32.8223651, -97.0582102 32.822391, -97.05890549999999 32.8224083, -97.0594062 32.8224217, -97.0601948 32.8224124, -97.0606312 32.8223945, -97.060732 32.8223913, -97.0618264 32.82231709999999, -97.0619265 32.8223122, -97.0622283 32.8222977, -97.064492 32.8224724, -97.064601 32.82249749999998, -97.0646845 32.8225171, -97.0668974 32.8230926, -97.06697370000001 32.8231, -97.0671147 32.8231156, -97.0705401 32.8221634, -97.070677 32.8220978, -97.072721 32.821126, -97.07659 32.820027, -97.0772341 32.8197634, -97.0787959 32.8194581, -97.08124890000001 32.8196436, -97.08228889999999 32.8197123, -97.082352 32.819716, -97.08242799999999 32.8197208, -97.0829205 32.819752, -97.0839709 32.819803, -97.0844973 32.8198236, -97.0857975 32.81987259999999, -97.0863275 32.8198935, -97.0864085 32.81989670000002, -97.0864718 32.8198957, -97.0905874 32.8182201, -97.0906997 32.818157, -97.09586400000001 32.816764, -97.097905 32.816771, -97.09916699999999 32.816772, -97.0994936 32.8167714, -97.0995848 32.8167713, -97.09977050000001 32.8167688, -97.0998908 32.8167719, -97.1001136 32.8167775, -97.10325159999999 32.8159885, -97.1054871 32.8149639, -97.1070412 32.8142449, -97.108002 32.8138004, -97.1094196 32.8131445, -97.11014160000002 32.81281039999998, -97.118025 32.8108557, -97.1193847 32.8108356, -97.1223036 32.8107963, -97.12279030000001 32.8107839, -97.1228911 32.8107824, -97.1230308 32.8107769, -97.12727700000001 32.80928669999999, -97.1293735 32.8083088, -97.1353883 32.8079847, -97.1378607 32.8076115, -97.13995799999999 32.8055693, -97.14338979999999 32.8017451, -97.1483289 32.8012426, -97.1520434 32.8017563, -97.1562923 32.8022507, -97.15924939999999 32.8022075, -97.16008890000001 32.8021651, -97.162728 32.8022264, -97.1651031 32.8021507, -97.1666244 32.8021395, -97.16711309999999 32.8021341, -97.16793800000001 32.802125, -97.16806620000001 32.8021236, -97.16814309999999 32.8021228, -97.16852369999999 32.8021186, -97.1690892 32.8021123, -97.1717527 32.8020769, -97.17252000000001 32.802073, -97.1737668 32.8020612, -97.1748327 32.8020511, -97.176221 32.802038, -97.18011129999999 32.8021659, -97.1835628 32.8024677, -97.18377220000001 32.8024949, -97.1836516 32.8023565, -97.183504 32.8021587, -97.1829224 32.8016443)","(32.8241433, -97.0337399)","(32.8016443, -97.1829224)"
481130144091,61,1,18408.953,"LINESTRING (-97.0337399 32.8241433, -97.033942 32.8227361, -97.0339707 32.822349, -97.0341789 32.8223652, -97.035667 32.822397, -97.0368809 32.822391, -97.037753 32.822241, -97.0389545 32.8215612, -97.0393736 32.8210597, -97.040308 32.821544, -97.041455 32.821927, -97.0432811 32.8221032, -97.044185 32.822127, -97.04539590000002 32.8221579, -97.046593 32.8221698, -97.0476733 32.8221815, -97.0478158 32.8221861, -97.04888560000001 32.8221889, -97.04893199999999 32.822189, -97.049294 32.82219, -97.04939659999999 32.8221934, -97.05119639999999 32.8222528, -97.0530433 32.8223015, -97.053138 32.822304, -97.05323420000001 32.822306, -97.054513 32.822333, -97.0557913 32.8223476, -97.0558623 32.8223484, -97.0560121 32.8223521, -97.0560754 32.8223527, -97.0574563 32.8223651, -97.0582102 32.822391, -97.05890549999999 32.8224083, -97.0594062 32.8224217, -97.0601948 32.8224124, -97.0606312 32.8223945, -97.060732 32.8223913, -97.0618264 32.82231709999999, -97.0619265 32.8223122, -97.0622283 32.8222977, -97.064492 32.8224724, -97.064601 32.82249749999998, -97.0646845 32.8225171, -97.0668974 32.8230926, -97.06697370000001 32.8231, -97.0671147 32.8231156, -97.0705401 32.8221634, -97.070677 32.8220978, -97.072721 32.821126, -97.07659 32.820027, -97.0772341 32.8197634, -97.0787959 32.8194581, -97.08124890000001 32.8196436, -97.08228889999999 32.8197123, -97.082352 32.819716, -97.08242799999999 32.8197208, -97.0829205 32.819752, -97.0839709 32.819803, -97.0844973 32.8198236, -97.0857975 32.81987259999999, -97.0863275 32.8198935, -97.0864085 32.81989670000002, -97.0864718 32.8198957, -97.0905874 32.8182201, -97.0906997 32.818157, -97.09586400000001 32.816764, -97.097905 32.816771, -97.09916699999999 32.816772, -97.0994936 32.8167714, -97.0995848 32.8167713, -97.09977050000001 32.8167688, -97.0998908 32.8167719, -97.1001136 32.8167775, -97.10325159999999 32.8159885, -97.1054871 32.8149639, -97.1070412 32.8142449, -97.108002 32.8138004, -97.1094196 32.8131445, -97.11014160000002 32.81281039999998, -97.118025 32.8108557, -97.1193847 32.8108356, -97.1223036 32.8107963, -97.12279030000001 32.8107839, -97.1228911 32.8107824, -97.1230308 32.8107769, -97.12727700000001 32.80928669999999, -97.1293735 32.8083088, -97.1353883 32.8079847, -97.1378607 32.8076115, -97.13995799999999 32.8055693, -97.14338979999999 32.8017451, -97.143292 32.8016009, -97.1403459 32.7975707, -97.14021080000001 32.7971909, -97.1401947 32.7950566, -97.14019179999998 32.79394, -97.1401908 32.7937361, -97.14019260000001 32.7934915, -97.1399765 32.779395, -97.1413683 32.7791978, -97.14213289999999 32.7785626, -97.1421179 32.778426, -97.14215230000001 32.7772563, -97.142157 32.775323, -97.14323090000001 32.7752569, -97.1441818 32.775144, -97.144193 32.77478719999998, -97.1436369 32.7747717, -97.14364809999999 32.7741824, -97.14364930000001 32.7741195, -97.1438066 32.7732945, -97.14423580000002 32.7729481, -97.14419770000001 32.7713656, -97.14418000000001 32.771268, -97.14833419999999 32.7668948, -97.1483369 32.7668434, -97.148346 32.7666754, -97.1483513 32.76657689999998, -97.148364 32.764504, -97.14926 32.759043, -97.1501197 32.7576136, -97.1501533 32.7575845, -97.15018339999999 32.7575595, -97.1502254 32.7575245, -97.1502682 32.7574969, -97.1508372 32.7571791, -97.1556813 32.7575544, -97.1560491 32.7576504, -97.1563872 32.7576997, -97.1564886 32.7577055, -97.15812230000002 32.7577052, -97.159637 32.757728, -97.16076700000001 32.757742, -97.161574 32.75772, -97.162083 32.757709, -97.1629794 32.7577154, -97.16377199999999 32.757666, -97.16486500000001 32.757402, -97.164804 32.75723, -97.1649608 32.7568096)","(32.8241433, -97.0337399)","(32.7568096, -97.1649608)"
