cbg_id,store_id,rank,distance,geometry,Origin,Destination
60014421001,29,0,879.259,"LINESTRING (-121.9482044 37.5523032, -121.9490147 37.5529724, -121.9493596 37.55318960000001, -121.9506056 37.5533887, -121.9517334 37.5541754, -121.9520215 37.55442080000001, -121.9523768 37.5547783, -121.9526003 37.5550838, -121.9528349 37.55557410000002, -121.9528595 37.5557628, -121.9519763 37.5555146, -121.9517688 37.5556941, -121.9514888 37.55594360000002, -121.9516462 37.5560549, -121.9513009 37.5563751, -121.9513525 37.5564075, -121.9510944 37.55667660000001, -121.9509585 37.5568183)","(37.5523032, -121.94820439999998)","(37.5568183, -121.95095850000001)"
60014421001,13,1,2989.561,"LINESTRING (-121.9482044 37.5523032, -121.9480853 37.5522024, -121.9469627 37.5512513, -121.9466843 37.5510154, -121.9471872 37.5506326, -121.9474982 37.5503995, -121.9478609 37.55012880000001, -121.9479201 37.5500865, -121.948366 37.5497454, -121.9488911 37.5493437, -121.9490404 37.5492295, -121.9492374 37.54907890000001, -121.9494404 37.5489235, -121.9495022 37.54887630000001, -121.9500473 37.54846580000001, -121.9505375 37.54809370000001, -121.9510846 37.5476848, -121.951613 37.54727970000001, -121.9521166 37.5465051, -121.9518927 37.545949, -121.9514764 37.5455664, -121.9512449 37.5453769, -121.9509861 37.5451579, -121.9496042 37.5439509, -121.9490635 37.54325, -121.9496794 37.5427298, -121.9498976 37.5423243, -121.9499574 37.5422291, -121.9492007 37.5418832, -121.9484562 37.5414089, -121.9483951 37.5410975, -121.9486429 37.5408344, -121.9492099 37.54019790000001, -121.9497205 37.5396423, -121.9512733 37.5379393, -121.9517732 37.5373784, -121.9522599 37.536842, -121.952313 37.53678390000001, -121.9525191 37.5365584, -121.952811 37.5361953, -121.9530649 37.5358698, -121.9534798 37.53524, -121.9534873 37.53329960000001, -121.9558714 37.5328805, -121.9559441 37.53287, -121.9562224 37.5328298, -121.9566092 37.5327739)","(37.5523032, -121.94820439999998)","(37.5327739, -121.95660919999999)"
60014422002,10,0,1763.927,"LINESTRING (-121.9363701 37.5429997, -121.9354075 37.5429097, -121.934433 37.5421664, -121.9344644 37.5417279, -121.934403 37.5413351, -121.9343582 37.5410491, -121.9342856 37.5406691, -121.9342242 37.5402922, -121.9341802 37.54002210000003, -121.9341283 37.5397004, -121.934078 37.5393883, -121.9339901 37.53870850000001, -121.933794 37.5374699, -121.9337296 37.5370746, -121.9337014 37.5369013, -121.9335856 37.5361906, -121.9335499 37.5359714, -121.9335444 37.5359328, -121.933534 37.5358381, -121.9333685 37.5346982, -121.9330634 37.5327456, -121.9329807 37.53222860000001, -121.932918 37.5318367, -121.9340557 37.5316512, -121.9342207 37.5316693, -121.9364126 37.53138950000001, -121.9373256 37.5313074)","(37.5429997, -121.93637010000002)","(37.5313074, -121.9373256)"
60014422002,13,1,2618.448,"LINESTRING (-121.9363701 37.5429997, -121.9371825 37.543402, -121.9375259 37.5426059, -121.9379221 37.5420009, -121.9389501 37.54204950000001, -121.9395709 37.5420747, -121.9399543 37.54209030000001, -121.9402452 37.5420982, -121.9409585 37.5421176, -121.9410353 37.5421223, -121.9423576 37.542104, -121.943585 37.54133490000002, -121.9444862 37.5415323, -121.9453874 37.5417296, -121.945971 37.5419007, -121.9464508 37.54210240000001, -121.9465032 37.5421244, -121.9469842 37.5423835, -121.9471337 37.5424758, -121.9480019 37.54151860000001, -121.9481568 37.5413493, -121.9482365 37.5412664, -121.9483951 37.5410975, -121.9486429 37.5408344, -121.9492099 37.54019790000001, -121.9497205 37.5396423, -121.9512733 37.5379393, -121.9517732 37.5373784, -121.9522599 37.536842, -121.952313 37.53678390000001, -121.9525191 37.5365584, -121.952811 37.5361953, -121.9530649 37.5358698, -121.9534798 37.53524, -121.9534873 37.53329960000001, -121.9558714 37.5328805, -121.9559441 37.53287, -121.9562224 37.5328298, -121.9566092 37.5327739)","(37.5429997, -121.93637010000002)","(37.5327739, -121.95660919999999)"
60014422003,10,0,1158.942,"LINESTRING (-121.9396043 37.5372659, -121.9397423 37.5364552, -121.9386506 37.53629990000001, -121.938353 37.534864, -121.9383152 37.5347724, -121.9342207 37.5316693, -121.9364126 37.53138950000001, -121.9373256 37.5313074)","(37.5372659, -121.9396043)","(37.5313074, -121.9373256)"
60014422003,13,1,1856.284,"LINESTRING (-121.9396043 37.5372659, -121.9397423 37.5364552, -121.9412528 37.5367522, -121.9412246 37.53591740000001, -121.9439197 37.5349646, -121.943851 37.5343248, -121.945399 37.5341687, -121.9461427 37.5341002, -121.9470783 37.5339913, -121.9494558 37.5337541, -121.9503734 37.5336158, -121.9506657 37.5336474, -121.9533095 37.5333264, -121.9534873 37.53329960000001, -121.9558714 37.5328805, -121.9559441 37.53287, -121.9562224 37.5328298, -121.9566092 37.5327739)","(37.5372659, -121.9396043)","(37.5327739, -121.95660919999999)"
60014426021,24,0,1119.005,"LINESTRING (-122.0009563 37.5517734, -122.0004064 37.5524466, -121.9998214 37.55307410000001, -121.9989849 37.5540216, -121.9983308 37.5536766, -121.9975975 37.553292, -121.9962896 37.55260540000001, -121.9957312 37.5523223, -121.9947593 37.5518242, -121.9947325 37.5518104, -121.9945125 37.5516977, -121.9939782 37.5514239, -121.9934822 37.55116950000001, -121.9926298 37.5507322, -121.9925066 37.5506691, -121.9924147 37.5506222, -121.9919734 37.5503972, -121.9916575 37.5502307, -121.9912476 37.5500191)","(37.5517734, -122.0009563)","(37.5500191, -121.9912476)"
60014426021,30,1,1325.527,"LINESTRING (-122.0009563 37.5517734, -122.0004064 37.5524466, -121.9998214 37.55307410000001, -121.9989849 37.5540216, -121.9989428 37.5541231, -121.9998288 37.55458990000001, -122.0000505 37.5547018, -122.0005822 37.55497, -122.0007072 37.5550402, -122.000894 37.5551319, -122.0018138 37.5555981, -122.0022242 37.5558076, -122.0023155 37.5558542, -122.0027231 37.5560602, -122.0031096 37.5562556, -122.0036991 37.5565536, -122.0037091 37.5565589, -122.0045995 37.5569719, -122.0049169 37.55713810000001, -122.0049692 37.5571655, -122.0053528 37.55736640000001, -122.0054113 37.5573968, -122.0061925 37.5577992, -122.0066982 37.55806, -122.0068066 37.5581156, -122.0069332 37.5581818, -122.0073816 37.5584148, -122.0077345 37.558598, -122.007885 37.5586791, -122.0079936 37.5587376, -122.0081184 37.5588029, -122.0083638 37.5589313, -122.0085574 37.5590273)","(37.5517734, -122.0009563)","(37.5590273, -122.0085574)"
60014424001,16,0,804.247,"LINESTRING (-121.9710495 37.5371924, -121.9712186 37.5376082, -121.9700686 37.5380395, -121.9694172 37.5376708, -121.9687305 37.5372693, -121.9668549 37.53624, -121.9666129 37.5365511, -121.9665042 37.5366908, -121.9660769 37.5367261, -121.9656012 37.5364637, -121.9654715 37.5363892, -121.9650146 37.5361318, -121.9646622 37.53593330000002, -121.9642694 37.535712)","(37.5371924, -121.9710495)","(37.535712, -121.9642694)"
60014424001,15,1,1140.054,"LINESTRING (-121.9710495 37.5371924, -121.9712186 37.5376082, -121.9700686 37.5380395, -121.9694172 37.5376708, -121.9687305 37.5372693, -121.9668549 37.53624, -121.9666129 37.5365511, -121.9665042 37.5366908, -121.9660769 37.5367261, -121.9656012 37.5364637, -121.9654715 37.5363892, -121.9650146 37.5361318, -121.9646622 37.53593330000002, -121.9642694 37.535712, -121.9642312 37.53569050000002, -121.9641439 37.5356392, -121.9639648 37.5355339, -121.9635824 37.5353091, -121.9632563 37.5351174, -121.9624378 37.5346585, -121.9624124 37.5346443, -121.9620194 37.5344251, -121.9617118 37.53434350000001, -121.9615869 37.5342768, -121.9612351 37.534089, -121.9611267 37.5340311)","(37.5371924, -121.9710495)","(37.5340311, -121.9611267)"
