cbg_id,store_id,rank,distance,geometry,Origin,Destination
60190014121,29,0,2841.575,"LINESTRING (-119.6747347 36.7433389, -119.6771352 36.742641, -119.6771543 36.741937, -119.6773752 36.7411606, -119.6780522 36.74141160000001, -119.6783822 36.7414325, -119.678506 36.7414604, -119.6785364 36.7414854, -119.6787597 36.7414911, -119.6787475 36.74124260000001, -119.6787183 36.7411459, -119.6786579 36.7408461, -119.6786575 36.7404678, -119.6793115 36.739382, -119.6813191 36.739149, -119.6816903 36.7391833, -119.6818943 36.73926260000001, -119.6819366 36.7393036, -119.6822549 36.7393248, -119.6823119 36.73928350000001, -119.6823406 36.7390564, -119.6822975 36.7390087, -119.6822154 36.7388752, -119.682191 36.7379361, -119.6824697 36.73793520000001, -119.6833724 36.73730010000001, -119.6833463 36.7369058, -119.6844407 36.7368108, -119.6845671 36.7368016, -119.6883322 36.73656410000001, -119.6895517 36.736492, -119.6896677 36.736487, -119.692148 36.736332, -119.6925324 36.7363071, -119.6930313 36.7362748, -119.6937659 36.736229, -119.6940561 36.7362109, -119.6948928 36.7361587, -119.6952684 36.7361353, -119.6956274 36.7361113, -119.6956178 36.7360035, -119.6955776 36.7355742, -119.6955618 36.7354054, -119.6960713 36.7353735, -119.6960864 36.7354832, -119.6966756 36.7357648, -119.696693 36.7359393)","(36.7433389, -119.67473470000002)","(36.7359393, -119.696693)"
60190014121,18,1,2979.001,"LINESTRING (-119.6747347 36.7433389, -119.6771352 36.742641, -119.6771543 36.741937, -119.6773752 36.7411606, -119.6780522 36.74141160000001, -119.6783822 36.7414325, -119.678506 36.7414604, -119.6785364 36.7414854, -119.6787597 36.7414911, -119.6787475 36.74124260000001, -119.6787183 36.7411459, -119.6786579 36.7408461, -119.6786575 36.7404678, -119.6793115 36.739382, -119.6813191 36.739149, -119.6816903 36.7391833, -119.6818943 36.73926260000001, -119.6819366 36.7393036, -119.6822549 36.7393248, -119.6823119 36.73928350000001, -119.6823406 36.7390564, -119.6822975 36.7390087, -119.6822154 36.7388752, -119.682191 36.7379361, -119.6824697 36.73793520000001, -119.6833724 36.73730010000001, -119.6833463 36.7369058, -119.6844407 36.7368108, -119.6845671 36.7368016, -119.6883322 36.73656410000001, -119.6895517 36.736492, -119.6896677 36.736487, -119.692148 36.736332, -119.6925324 36.7363071, -119.6930313 36.7362748, -119.6937659 36.736229, -119.6940561 36.7362109, -119.6948928 36.7361587, -119.6952684 36.7361353, -119.6956274 36.7361113, -119.6956178 36.7360035, -119.6955776 36.7355742, -119.6955618 36.7354054, -119.6960713 36.7353735, -119.6966336 36.7353437, -119.6969876 36.7353209, -119.6971913 36.7353077, -119.6973729 36.7352961, -119.6979632 36.7352584, -119.6979684 36.7352871, -119.6981573 36.7352716, -119.6983809 36.7352599, -119.6984214 36.7356536)","(36.7433389, -119.67473470000002)","(36.7356536, -119.69842139999999)"
60190029061,49,0,1300.682,"LINESTRING (-119.7228314 36.75926840000001, -119.725908 36.7587763, -119.725738 36.758653, -119.7261713 36.75805960000001, -119.7271041 36.757744, -119.7273262 36.7577383, -119.7273239 36.7574751, -119.728272 36.7574829, -119.7289891 36.75748879999998, -119.7296043 36.7574907, -119.7318727 36.7575038, -119.7341318 36.7575104, -119.7350776 36.7575632, -119.7350437 36.7577324, -119.7352122 36.7577693, -119.7353788 36.75780370000001)","(36.75926840000001, -119.7228314)","(36.75780370000001, -119.7353788)"
60190029061,46,1,1322.097,"LINESTRING (-119.7228314 36.75926840000001, -119.722826 36.7584452, -119.7228187 36.7576271, -119.7228173 36.75748760000001, -119.7220009 36.75748530000001, -119.7218422 36.7574848, -119.7208531 36.7574829, -119.7204851 36.7574826, -119.7196111 36.7574834, -119.7188167 36.75748120000002, -119.7185804 36.757302, -119.718359 36.7571355, -119.7183737 36.7558702, -119.7183726 36.755729, -119.7183718 36.7556427, -119.7183716 36.75535250000001, -119.7183707 36.7550089, -119.7183694 36.75495260000001, -119.7184033 36.7539254, -119.7183914 36.7522882, -119.7183886 36.7521858, -119.7183754 36.7514408, -119.7185453 36.7514403, -119.7187844 36.7514375, -119.7190062 36.7514354)","(36.75926840000001, -119.7228314)","(36.7514354, -119.7190062)"
60190048013,71,0,678.05,"LINESTRING (-119.8144057 36.7884617, -119.8141974 36.7866247, -119.8147603 36.7866289, -119.815115 36.7866315, -119.8153157 36.786633, -119.8156344 36.78663250000001, -119.8168132 36.7866305, -119.8175357 36.78662920000001, -119.8175398 36.7861681, -119.8177788 36.7861802, -119.8185581 36.7864412)","(36.7884617, -119.8144057)","(36.7864412, -119.8185581)"
60190048013,65,1,1332.412,"LINESTRING (-119.8144057 36.7884617, -119.8141974 36.7866247, -119.8147603 36.7866289, -119.815115 36.7866315, -119.8153157 36.786633, -119.8153106 36.7857434, -119.8153058 36.7848109, -119.8153198 36.7839043, -119.8153283 36.7829892, -119.8153543 36.7820926, -119.8153512 36.7812689, -119.8153519 36.7811998, -119.8153518 36.781129, -119.8153561 36.7807444, -119.8153602 36.7802948, -119.8153603 36.7798771, -119.8153698 36.779444, -119.8159102 36.7794409, -119.8164717 36.7793161, -119.816482 36.7791631, -119.8166299 36.7791646, -119.8176031 36.7791452)","(36.7884617, -119.8144057)","(36.7791452, -119.81760310000001)"
60190049022,65,0,1715.701,"LINESTRING (-119.804102 36.7840006, -119.8041091 36.783086, -119.8041144 36.7823736, -119.8041305 36.7806695, -119.8041267 36.780362, -119.8042353 36.7803609, -119.8048605 36.7803548, -119.8063561 36.78034, -119.8082249 36.7803309, -119.8082218 36.7802255, -119.8086623 36.7801955, -119.8086647 36.7799809, -119.8086635 36.7798738, -119.8086633 36.7798118, -119.8089138 36.7794825, -119.8108778 36.77941770000001, -119.8131242 36.77942010000001, -119.8136099 36.7794024, -119.8137376 36.7793978, -119.8139977 36.77938829999999, -119.8142226 36.7794428, -119.8153698 36.779444, -119.8159102 36.7794409, -119.8164717 36.7793161, -119.816482 36.7791631, -119.8166299 36.7791646, -119.8176031 36.7791452)","(36.7840006, -119.804102)","(36.7791452, -119.81760310000001)"
60190049022,72,1,1870.28,"LINESTRING (-119.804102 36.7840006, -119.80238 36.7840061, -119.7998771 36.7840127, -119.7997797 36.7831139, -119.7995765 36.78309070000001, -119.7994704 36.78403, -119.7994543 36.7849369, -119.7994535 36.7853881, -119.7973244 36.7854136, -119.7973283 36.7858199, -119.797331 36.7867672, -119.7970309 36.7867676, -119.7955824 36.7867781, -119.7950599 36.786783, -119.7945095 36.7867886, -119.792809 36.786786, -119.7926499 36.7867745, -119.7923577 36.7867513, -119.7919147 36.786739, -119.7916378 36.7867417, -119.7906376 36.7867574, -119.7904739 36.78676420000001, -119.7899322 36.7867634, -119.7897147 36.7867631, -119.7893611 36.78676260000001, -119.7887875 36.7867745, -119.7887929 36.7869333)","(36.7840006, -119.804102)","(36.7869333, -119.78879290000002)"
60190037023,65,0,1012.351,"LINESTRING (-119.8221436 36.7729444, -119.8221353 36.77389880000001, -119.8221219 36.7747966, -119.822119 36.7756892, -119.8207993 36.7756977, -119.8204511 36.7765866, -119.8201217 36.7774901, -119.8176163 36.7784446, -119.8176116 36.7786927, -119.8176031 36.7791452)","(36.7729444, -119.82214360000002)","(36.7791452, -119.81760310000001)"
60190037023,59,1,1045.468,"LINESTRING (-119.8221436 36.7729444, -119.8221464 36.7725134, -119.8221495 36.77203, -119.8244002 36.77201309999999, -119.8252724 36.7719988, -119.8262017 36.771983, -119.8265752 36.7719767, -119.82671 36.7719754, -119.827217 36.7719719, -119.8274484 36.7719704, -119.8276958 36.7719687, -119.8278071 36.7719653, -119.8279739 36.7719637, -119.8288727 36.7719554, -119.8306087 36.7719612, -119.83108 36.7719654, -119.8315042 36.7719678, -119.8316923 36.7719671, -119.8317431 36.77196690000002, -119.8317691 36.7719668, -119.8321313 36.77201369999999, -119.8322835 36.7719675, -119.8323397 36.7719671, -119.8326772 36.77196430000001)","(36.7729444, -119.82214360000002)","(36.771964300000015, -119.8326772)"
