cbg_id,store_id,rank,distance,geometry,Origin,Destination
481130190513,41,0,4525.614,"LINESTRING (-96.61785380000001 32.9772432, -96.6177136 32.9771237, -96.6170803 32.9776488, -96.6171571 32.9777173, -96.61698060000002 32.9778541, -96.6174747 32.97826919999999, -96.6177958 32.978452, -96.61828420000001 32.9785391, -96.618377 32.97854, -96.6193974 32.9785418, -96.6199 32.978555, -96.620541 32.978521, -96.622551 32.977902, -96.6231318 32.9777863, -96.62393710000001 32.9777706, -96.624951 32.9784637, -96.6251654 32.9789145, -96.6307346 32.9794828, -96.63299069999999 32.9799426, -96.63539919999999 32.9802205, -96.6374805 32.9809569, -96.638271 32.9817396, -96.63957019999999 32.9824771, -96.6407813 32.9826344, -96.6408728 32.9826354, -96.6410612 32.9826397, -96.64115219999999 32.9826409, -96.6432016 32.98265539999998, -96.64551899999999 32.9826791, -96.64783370000001 32.9826861, -96.64924670000001 32.9826814, -96.6499419 32.9826742, -96.65093160000001 32.9824866, -96.651076 32.9824341, -96.6516567 32.9821535, -96.6518311 32.982019, -96.65196539999999 32.9819047, -96.652023 32.9818563, -96.6529247 32.9804368, -96.6529862 32.9797491, -96.6530673 32.9797478, -96.6531069 32.978186, -96.65310890000001 32.9780901, -96.65393760000001 32.9780941, -96.6539336 32.97796139999998, -96.653949 32.9772379, -96.65417650000001 32.9767021, -96.6543996 32.9764166, -96.6544935 32.9763603, -96.6540787 32.9759528)","(32.9772432, -96.6178538)","(32.9759528, -96.6540787)"
481130190513,39,1,4890.949,"LINESTRING (-96.61785380000001 32.9772432, -96.6177136 32.9771237, -96.6173273 32.9772128, -96.61722899999999 32.977124, -96.616844 32.976806, -96.615949 32.9759811, -96.61601 32.975462, -96.616162 32.9748843, -96.61658300000001 32.974497, -96.61697479999999 32.9741744, -96.618126 32.973233, -96.6170254 32.9722713, -96.61601 32.971384, -96.61620189999999 32.9712261, -96.61661410000001 32.9708872, -96.61693 32.9706317, -96.61723439999999 32.970377, -96.6172514 32.970363, -96.61750709999998 32.9701562, -96.61764530000001 32.97004549999998, -96.61823760000001 32.96957110000001, -96.6185356 32.9693324, -96.6189595 32.9689929, -96.61913079999999 32.968856, -96.6195409 32.9682456, -96.6201152 32.9681743, -96.6202413 32.9681194, -96.6225228 32.9634487, -96.6227569 32.9636399, -96.6231911 32.9639945, -96.6246818 32.96454379999999, -96.6248626 32.9645672, -96.6250435 32.9645931, -96.62590710000001 32.964711, -96.6265461 32.9648017, -96.6270529 32.9648653, -96.628181 32.9650659, -96.6282234 32.9649769, -96.6284722 32.964697, -96.6306301 32.9635692, -96.63145020000002 32.9637339, -96.633124 32.962199, -96.633365 32.961712, -96.6341279 32.96238329999998, -96.6342054 32.9623209, -96.63429170000001 32.9622514, -96.6350221 32.9623751, -96.6351265 32.9624717, -96.63525780000001 32.9625349, -96.63535580000001 32.9626131, -96.6354764 32.9627094, -96.6363911 32.9626343, -96.63655060000001 32.9627611, -96.6366804 32.96286789999998, -96.6367838 32.9629542, -96.637118 32.9632328, -96.63737070000001 32.9634436, -96.63752770000001 32.9635708, -96.6377055 32.963715, -96.6378453 32.9638283, -96.6380757 32.96401, -96.63823710000001 32.9638677, -96.63833169999999 32.9637842, -96.6398906 32.9651628, -96.6407038 32.9658756, -96.6419684 32.9651665, -96.6413055 32.9646813, -96.6413984 32.9645883, -96.64154739999999 32.964439, -96.64180450000001 32.9641398, -96.64187440000001 32.9639813, -96.64194430000001 32.9638456, -96.641966 32.9638134, -96.6420675 32.9636632, -96.6424986 32.9632536, -96.6426445 32.963142, -96.6427915 32.9630295, -96.64293440000002 32.9629202)","(32.9772432, -96.6178538)","(32.9629202, -96.64293440000002)"
481130190502,39,0,3446.337,"LINESTRING (-96.62888409999998 32.9735057, -96.62861909999999 32.9735635, -96.62751230000001 32.9684115, -96.6275941 32.9684095, -96.6270529 32.9648653, -96.628181 32.9650659, -96.6282234 32.9649769, -96.6284722 32.964697, -96.6306301 32.9635692, -96.63145020000002 32.9637339, -96.633124 32.962199, -96.633365 32.961712, -96.6341279 32.96238329999998, -96.6342054 32.9623209, -96.63429170000001 32.9622514, -96.6350221 32.9623751, -96.6351265 32.9624717, -96.63525780000001 32.9625349, -96.63535580000001 32.9626131, -96.6354764 32.9627094, -96.6363911 32.9626343, -96.63655060000001 32.9627611, -96.6366804 32.96286789999998, -96.6367838 32.9629542, -96.637118 32.9632328, -96.63737070000001 32.9634436, -96.63752770000001 32.9635708, -96.6377055 32.963715, -96.6378453 32.9638283, -96.6380757 32.96401, -96.63823710000001 32.9638677, -96.63833169999999 32.9637842, -96.6398906 32.9651628, -96.6407038 32.9658756, -96.6419684 32.9651665, -96.6413055 32.9646813, -96.6413984 32.9645883, -96.64154739999999 32.964439, -96.64180450000001 32.9641398, -96.64187440000001 32.9639813, -96.64194430000001 32.9638456, -96.641966 32.9638134, -96.6420675 32.9636632, -96.6424986 32.9632536, -96.6426445 32.963142, -96.6427915 32.9630295, -96.64293440000002 32.9629202)","(32.9735057, -96.62888409999998)","(32.9629202, -96.64293440000002)"
481130190502,40,1,3537.512,"LINESTRING (-96.62888409999998 32.9735057, -96.62861909999999 32.9735635, -96.62751230000001 32.9684115, -96.6275941 32.9684095, -96.6270529 32.9648653, -96.628181 32.9650659, -96.6282234 32.9649769, -96.6284722 32.964697, -96.6306301 32.9635692, -96.63145020000002 32.9637339, -96.633124 32.962199, -96.633365 32.961712, -96.6341279 32.96238329999998, -96.6342054 32.9623209, -96.63429170000001 32.9622514, -96.6350221 32.9623751, -96.6351265 32.9624717, -96.63525780000001 32.9625349, -96.63535580000001 32.9626131, -96.6354764 32.9627094, -96.6363911 32.9626343, -96.63655060000001 32.9627611, -96.6366804 32.96286789999998, -96.6367838 32.9629542, -96.637118 32.9632328, -96.63737070000001 32.9634436, -96.63752770000001 32.9635708, -96.6377055 32.963715, -96.6378453 32.9638283, -96.6380757 32.96401, -96.63823710000001 32.9638677, -96.63833169999999 32.9637842, -96.6398906 32.9651628, -96.6407038 32.9658756, -96.64114779999998 32.9662257, -96.6416454 32.9665963, -96.642323 32.9654186, -96.64238570000001 32.9653717, -96.642431 32.96540319999998, -96.6425778 32.9655026, -96.6427099 32.9653694, -96.6431154 32.9649763, -96.6431766 32.9650169, -96.6432466 32.9650724, -96.6434253 32.9649906, -96.6438431 32.964775, -96.6439579 32.964709, -96.644087 32.9645941, -96.6446019 32.9642119, -96.64475659999999 32.9640847, -96.6449205 32.96395, -96.64507910000002 32.9638473, -96.6451972 32.9635782, -96.6452692 32.9635199)","(32.9735057, -96.62888409999998)","(32.9635199, -96.6452692)"
481130190501,39,0,1512.411,"LINESTRING (-96.6338461 32.9640804, -96.634199 32.9637877, -96.63450439999998 32.9634997, -96.6345719 32.9635325, -96.63478189999999 32.9631379, -96.63535580000001 32.9626131, -96.6354764 32.9627094, -96.6363911 32.9626343, -96.63655060000001 32.9627611, -96.6366804 32.96286789999998, -96.6367838 32.9629542, -96.637118 32.9632328, -96.63737070000001 32.9634436, -96.63752770000001 32.9635708, -96.6377055 32.963715, -96.6378453 32.9638283, -96.6380757 32.96401, -96.63823710000001 32.9638677, -96.63833169999999 32.9637842, -96.6398906 32.9651628, -96.6407038 32.9658756, -96.6419684 32.9651665, -96.6413055 32.9646813, -96.6413984 32.9645883, -96.64154739999999 32.964439, -96.64180450000001 32.9641398, -96.64187440000001 32.9639813, -96.64194430000001 32.9638456, -96.641966 32.9638134, -96.6420675 32.9636632, -96.6424986 32.9632536, -96.6426445 32.963142, -96.6427915 32.9630295, -96.64293440000002 32.9629202)","(32.9640804, -96.6338461)","(32.9629202, -96.64293440000002)"
481130190501,40,1,1603.586,"LINESTRING (-96.6338461 32.9640804, -96.634199 32.9637877, -96.63450439999998 32.9634997, -96.6345719 32.9635325, -96.63478189999999 32.9631379, -96.63535580000001 32.9626131, -96.6354764 32.9627094, -96.6363911 32.9626343, -96.63655060000001 32.9627611, -96.6366804 32.96286789999998, -96.6367838 32.9629542, -96.637118 32.9632328, -96.63737070000001 32.9634436, -96.63752770000001 32.9635708, -96.6377055 32.963715, -96.6378453 32.9638283, -96.6380757 32.96401, -96.63823710000001 32.9638677, -96.63833169999999 32.9637842, -96.6398906 32.9651628, -96.6407038 32.9658756, -96.64114779999998 32.9662257, -96.6416454 32.9665963, -96.642323 32.9654186, -96.64238570000001 32.9653717, -96.642431 32.96540319999998, -96.6425778 32.9655026, -96.6427099 32.9653694, -96.6431154 32.9649763, -96.6431766 32.9650169, -96.6432466 32.9650724, -96.6434253 32.9649906, -96.6438431 32.964775, -96.6439579 32.964709, -96.644087 32.9645941, -96.6446019 32.9642119, -96.64475659999999 32.9640847, -96.6449205 32.96395, -96.64507910000002 32.9638473, -96.6451972 32.9635782, -96.6452692 32.9635199)","(32.9640804, -96.6338461)","(32.9635199, -96.6452692)"
480850320182,42,0,1479.351,"LINESTRING (-96.67339680000001 32.9852384, -96.6733952 32.9850895, -96.672568 32.9850592, -96.670018 32.984053, -96.66913150000001 32.98356840000001, -96.6682394 32.9831019, -96.66826519999999 32.9830541, -96.66855700000001 32.982132, -96.66841700000001 32.981237, -96.66837 32.981119, -96.66818600000001 32.980714, -96.66777999999999 32.979841, -96.667362 32.979238, -96.667284 32.978748, -96.667091 32.977867, -96.666138 32.977077, -96.66551149999999 32.976873, -96.66543900000001 32.976871, -96.6652526 32.9768669, -96.665166 32.9768639, -96.66516319999999 32.9760866)","(32.9852384, -96.6733968)","(32.9760866, -96.6651632)"
480850320182,41,1,2386.493,"LINESTRING (-96.67339680000001 32.9852384, -96.6733952 32.9850895, -96.672568 32.9850592, -96.670018 32.984053, -96.66913150000001 32.98356840000001, -96.6682394 32.9831019, -96.66686660000001 32.9825354, -96.66580740000001 32.9824234, -96.66577789999999 32.9823604, -96.66460290000001 32.9806999, -96.66424910000001 32.9802892, -96.6641455 32.9801772, -96.6640939 32.9801215, -96.66397499999999 32.979993, -96.66357499999999 32.9795601, -96.6632889 32.979242, -96.66319489999999 32.9791433, -96.6628106 32.9787473, -96.6620005 32.97793009999999, -96.6604236 32.976547, -96.6596957 32.9760672, -96.65963259999999 32.9760234, -96.65907230000001 32.97568, -96.65847909999999 32.9753514, -96.65837980000001 32.9752964, -96.65807700000001 32.975126, -96.65585400000001 32.975121, -96.6557346 32.9751238, -96.6559807 32.9752721, -96.6561201 32.97538440000001, -96.6551254 32.9753983, -96.655176 32.9755448, -96.6546507 32.9756862, -96.6540787 32.9759528)","(32.9852384, -96.6733968)","(32.9759528, -96.6540787)"
480850320191,41,0,1719.087,"LINESTRING (-96.6440703 32.9845179, -96.64592279999999 32.9843809, -96.64614829999999 32.98432, -96.6471401 32.9841528, -96.64773599999999 32.9840887, -96.6478324 32.9827841, -96.64924499999999 32.9827546, -96.64994489999999 32.9827388, -96.6499419 32.9826742, -96.65093160000001 32.9824866, -96.651076 32.9824341, -96.6516567 32.9821535, -96.6518311 32.982019, -96.65196539999999 32.9819047, -96.652023 32.9818563, -96.6529247 32.9804368, -96.6529862 32.9797491, -96.6530673 32.9797478, -96.6531069 32.978186, -96.65310890000001 32.9780901, -96.65393760000001 32.9780941, -96.6539336 32.97796139999998, -96.653949 32.9772379, -96.65417650000001 32.9767021, -96.6543996 32.9764166, -96.6544935 32.9763603, -96.6540787 32.9759528)","(32.9845179, -96.6440703)","(32.9759528, -96.6540787)"
480850320191,42,1,2726.255,"LINESTRING (-96.6440703 32.9845179, -96.64592279999999 32.9843809, -96.64614829999999 32.98432, -96.6471401 32.9841528, -96.64773599999999 32.9840887, -96.6478324 32.9827841, -96.64924499999999 32.9827546, -96.64994489999999 32.9827388, -96.6499419 32.9826742, -96.65093160000001 32.9824866, -96.651076 32.9824341, -96.6516567 32.9821535, -96.6519823 32.9821445, -96.65396749999999 32.9826153, -96.65483399999999 32.9826092, -96.65559450000001 32.982609, -96.65630350000001 32.98260890000001, -96.657224 32.9826093, -96.6591914 32.9826103, -96.6605287 32.9826109, -96.66066499999999 32.9826092, -96.6606652 32.9824521, -96.660673 32.9823738, -96.66150469999999 32.9812875, -96.6630466 32.9809935, -96.66313700000001 32.9809614, -96.66424910000001 32.9802892, -96.66473790000001 32.9799688, -96.66538019999999 32.9784786, -96.665222 32.9784739, -96.6651244 32.9784737, -96.665166 32.9768639, -96.66516319999999 32.9760866)","(32.9845179, -96.6440703)","(32.9760866, -96.6651632)"
