cbg_id,store_id,rank,distance,geometry,Origin,Destination
40134223083,22,0,1412.579,"LINESTRING (-111.7981575 33.3750358, -111.7981621 33.3749344, -111.7981139 33.3737842, -111.7981123 33.373612, -111.798353 33.3728377, -111.7975457 33.3726942, -111.7957667 33.3721902, -111.7957686 33.3716494, -111.7939761 33.3716753, -111.7924788 33.3716836, -111.7916417 33.3716788, -111.7911708 33.3716825, -111.7908307 33.3716852, -111.7901089 33.3716808, -111.789954 33.3716799, -111.7895514 33.3716834, -111.7891549 33.3716868, -111.789159 33.3719029, -111.7891625 33.37208990000001, -111.7891661 33.3722785, -111.7883316 33.3722861, -111.7883336 33.3724669, -111.7883356 33.3726513, -111.7883375 33.3728307)","(33.3750358, -111.7981575)","(33.3728307, -111.7883375)"
40134223083,21,1,1988.881,"LINESTRING (-111.7981575 33.3750358, -111.7981621 33.3749344, -111.7981139 33.3737842, -111.7981123 33.373612, -111.798353 33.3728377, -111.7986019 33.3721496, -111.7986105 33.371655, -111.7986049 33.3714837, -111.7985958 33.3712096, -111.7985616 33.3702957, -111.7985574 33.3702061, -111.7985332 33.3689383, -111.7985317 33.3676999, -111.7976188 33.3676922, -111.7975931 33.3669825, -111.7932071 33.366323, -111.7931973 33.3656378, -111.793184 33.3649859, -111.7931738 33.3644536, -111.7930261 33.3644084, -111.7926307 33.3643787, -111.7920341 33.3643828, -111.791973 33.3643832, -111.7908445 33.3643909, -111.790084 33.3643972, -111.789946 33.364292, -111.7899288 33.3637215)","(33.3750358, -111.7981575)","(33.3637215, -111.7899288)"
40134223092,15,0,2549.407,"LINESTRING (-111.8152473 33.3534812, -111.8152387 33.3527141, -111.8142088 33.3514953, -111.8142088 33.351187, -111.8130758 33.3512013, -111.8130031 33.3504591, -111.8129942 33.3499549, -111.812993 33.3498274, -111.8130493 33.3497156, -111.8130461 33.3493584, -111.8130878 33.3492908, -111.812992 33.349219, -111.8130035 33.3484439, -111.8132298 33.3477162, -111.8133443 33.3476639, -111.8132788 33.3475696, -111.8134417 33.3467281, -111.8134374 33.3461532, -111.812828 33.34479180000001, -111.8128184 33.3447769, -111.812622 33.3444395, -111.812508 33.3439101, -111.812602 33.3438369, -111.812506 33.3437557, -111.8125 33.3430118, -111.8124951 33.3422404, -111.812488 33.341235, -111.8125544 33.340841, -111.811591 33.34055390000001, -111.8109044 33.3401237, -111.8104846 33.3396019, -111.8103127 33.33894140000001, -111.8105436 33.3381404, -111.8095346 33.3376853, -111.8091202 33.3375898, -111.8091396 33.3372063, -111.8091289 33.3360712, -111.8090043 33.3355994, -111.8090046 33.3354188, -111.8089979 33.3352943, -111.8089956 33.3350648, -111.8088213 33.3350627, -111.8086235 33.3350556, -111.8084947 33.3350283)","(33.3534812, -111.8152473)","(33.3350283, -111.8084947)"
40134223092,21,1,3694.752,"LINESTRING (-111.8152473 33.3534812, -111.8141678 33.3545964, -111.8152302 33.3551151, -111.8151101 33.3555532, -111.814954 33.3562879, -111.8148552 33.3566813, -111.8112947 33.3569706, -111.8104147 33.3569779, -111.8097993 33.3569838, -111.8071707 33.3569931, -111.8070525 33.3569998, -111.8069348 33.3570065, -111.8033809 33.3569773, -111.798386 33.3569858, -111.7981492 33.3569902, -111.7946225 33.3570945, -111.7926994 33.35711640000001, -111.7917986 33.3571224, -111.791728 33.3571223, -111.7917407 33.357814, -111.7917129 33.3591641, -111.7916324 33.3596253, -111.7912938 33.3596198, -111.7908232 33.3596203, -111.7906072 33.3596205, -111.7904421 33.3596209, -111.7902907 33.3596222, -111.7897743 33.3598869, -111.7897758 33.360077, -111.7897772 33.36016209999999, -111.7897831 33.3605443, -111.7897867 33.3607575, -111.7897889 33.3608922, -111.7897907 33.3610024, -111.7897978 33.3614499, -111.7897254 33.3623922, -111.7897343 33.3627414, -111.78991 33.3631354, -111.7899756 33.36313409999999, -111.790229 33.3631182, -111.7904087 33.3631171, -111.7904109 33.3632273, -111.7904137 33.3635863, -111.7902782 33.363587, -111.7902803 33.3637207, -111.7899288 33.3637215)","(33.3534812, -111.8152473)","(33.3637215, -111.7899288)"
40134224012,21,0,1981.129,"LINESTRING (-111.7943566 33.3535983, -111.7943552 33.3539194, -111.7932865 33.3539269, -111.7929946 33.3538016, -111.793044 33.3534448, -111.7930346 33.3531075, -111.7930309 33.3529757, -111.7930254 33.3527772, -111.7930173 33.3524876, -111.7924702 33.3524854, -111.7913336 33.3525071, -111.7910779 33.352511, -111.7907578 33.3525219, -111.7902555 33.3525235, -111.7898739 33.3525324, -111.7896343 33.3525291, -111.7896347 33.35255949999998, -111.7896445 33.35333350000001, -111.7896468 33.3534131, -111.789649 33.353578, -111.789649 33.3536366, -111.7896574 33.353896, -111.7896591 33.3539218, -111.7896739 33.3546015, -111.789672 33.3548161, -111.789673 33.3548685, -111.789674 33.3549356, -111.7896785 33.3551532, -111.7896882 33.355743, -111.789691 33.3559647, -111.789692 33.3560377, -111.789647 33.3561254, -111.7896529 33.3563158, -111.7896584 33.3567277, -111.789659 33.3567816, -111.789721 33.3571317, -111.789724 33.3572556, -111.7897274 33.3573685, -111.7897342 33.3577477, -111.7897474 33.3584211, -111.7897534 33.3587183, -111.7897646 33.3592699, -111.789771 33.3596294, -111.7897743 33.3598869, -111.7897758 33.360077, -111.7897772 33.36016209999999, -111.7897831 33.3605443, -111.7897867 33.3607575, -111.7897889 33.3608922, -111.7897907 33.3610024, -111.7897978 33.3614499, -111.7897254 33.3623922, -111.7897343 33.3627414, -111.78991 33.3631354, -111.7899756 33.36313409999999, -111.790229 33.3631182, -111.7904087 33.3631171, -111.7904109 33.3632273, -111.7904137 33.3635863, -111.7902782 33.363587, -111.7902803 33.3637207, -111.7899288 33.3637215)","(33.3535983, -111.79435659999999)","(33.3637215, -111.7899288)"
40134224012,22,1,3042.35,"LINESTRING (-111.7943566 33.3535983, -111.7943552 33.3539194, -111.7932865 33.3539269, -111.7929946 33.3538016, -111.793044 33.3534448, -111.7930346 33.3531075, -111.7930309 33.3529757, -111.7930254 33.3527772, -111.7930173 33.3524876, -111.7924702 33.3524854, -111.7913336 33.3525071, -111.7910779 33.352511, -111.7907578 33.3525219, -111.7902555 33.3525235, -111.7898739 33.3525324, -111.7896343 33.3525291, -111.7896347 33.35255949999998, -111.7896445 33.35333350000001, -111.7896468 33.3534131, -111.789649 33.353578, -111.789649 33.3536366, -111.7896574 33.353896, -111.7896591 33.3539218, -111.7896739 33.3546015, -111.789672 33.3548161, -111.789673 33.3548685, -111.789674 33.3549356, -111.7896785 33.3551532, -111.7896882 33.355743, -111.789691 33.3559647, -111.789692 33.3560377, -111.789647 33.3561254, -111.7896529 33.3563158, -111.7896584 33.3567277, -111.789659 33.3567816, -111.789721 33.3571317, -111.789724 33.3572556, -111.7897274 33.3573685, -111.7897342 33.3577477, -111.7897474 33.3584211, -111.7897534 33.3587183, -111.7897646 33.3592699, -111.789771 33.3596294, -111.7897743 33.3598869, -111.7897758 33.360077, -111.7897772 33.36016209999999, -111.7897831 33.3605443, -111.7897867 33.3607575, -111.7897889 33.3608922, -111.7897907 33.3610024, -111.7897978 33.3614499, -111.7897254 33.3623922, -111.7897343 33.3627414, -111.7897368 33.3631096, -111.789755 33.3642905, -111.789757 33.3644013, -111.78976 33.3645623, -111.789764 33.3646876, -111.7897842 33.3653859, -111.7897998 33.3657904, -111.7898242 33.3663956, -111.7898544 33.3673207, -111.7898575 33.3674934, -111.7898638 33.3678401, -111.7898695 33.36815270000001, -111.7898786 33.368659, -111.789893 33.3689768, -111.7899143 33.3696902, -111.7899226 33.3704938, -111.7896378 33.3705027, -111.7896425 33.3708706, -111.7896505 33.3712568, -111.7895514 33.3716834, -111.7891549 33.3716868, -111.789159 33.3719029, -111.7891625 33.37208990000001, -111.7891661 33.3722785, -111.7883316 33.3722861, -111.7883336 33.3724669, -111.7883356 33.3726513, -111.7883375 33.3728307)","(33.3535983, -111.79435659999999)","(33.3728307, -111.7883375)"
40134224021,21,0,1142.666,"LINESTRING (-111.7819846 33.3608989, -111.7829522 33.3608962, -111.7848984 33.3602878, -111.7863657 33.3605172, -111.7872957 33.3605108, -111.7879284 33.3606459, -111.7879676 33.3606735, -111.7886098 33.3611255, -111.7886986 33.361188, -111.7889057 33.3613215, -111.7890497 33.3614037, -111.7897978 33.3614499, -111.7897254 33.3623922, -111.7897343 33.3627414, -111.78991 33.3631354, -111.7899756 33.36313409999999, -111.790229 33.3631182, -111.7904087 33.3631171, -111.7904109 33.3632273, -111.7904137 33.3635863, -111.7902782 33.363587, -111.7902803 33.3637207, -111.7899288 33.3637215)","(33.3608989, -111.7819846)","(33.3637215, -111.7899288)"
40134224021,22,1,1884.068,"LINESTRING (-111.7819846 33.3608989, -111.7819952 33.3614515, -111.782014 33.3622095, -111.7820332 33.3630466, -111.7820675 33.3643876, -111.78207 33.3645236, -111.782073 33.3646461, -111.7820863 33.3651132, -111.7821031 33.3655358, -111.7821218 33.3659707, -111.7821507 33.3668258, -111.7821678 33.36725220000001, -111.7821791 33.367685, -111.7821953 33.368191, -111.7822084 33.3684825, -111.7822278 33.36912419999999, -111.7822333 33.3693594, -111.7822447 33.3697678, -111.7822643 33.370406, -111.782322 33.3717436, -111.7828995 33.3717388, -111.7838114 33.3717313, -111.7846817 33.3717049, -111.7861824 33.3717045, -111.7867907 33.3717076, -111.7882168 33.3716951, -111.7882446 33.3716949, -111.7882447 33.3719085, -111.7883282 33.3720946, -111.7883316 33.3722861, -111.7883336 33.3724669, -111.7883356 33.3726513, -111.7883375 33.3728307)","(33.3608989, -111.7819846)","(33.3728307, -111.7883375)"
40134224022,19,0,2743.583,"LINESTRING (-111.7773508 33.3532848, -111.777436 33.3526031, -111.7786039 33.3525679, -111.778946 33.35253989999999, -111.7789301 33.3517362, -111.7788762 33.3510393, -111.778928 33.3506283, -111.7789257 33.3500621, -111.7787104 33.3500571, -111.7772699 33.350063, -111.7770079 33.35006420000001, -111.7754943 33.3500656, -111.7748031 33.3500701, -111.7746044 33.3500708, -111.773677 33.3500749, -111.773456 33.3500756, -111.7731992 33.3500764, -111.773029 33.3500769, -111.7728468 33.3500775, -111.7725389 33.3500785, -111.7722083 33.350081, -111.7721194 33.3500818, -111.771783 33.35008469999999, -111.7715884 33.3500864, -111.7709702 33.3500918, -111.7701737 33.3500988, -111.769523 33.3501012, -111.769283 33.3501013, -111.76917 33.3501014, -111.768688 33.3501011, -111.768596 33.350101, -111.7684999 33.3501019, -111.765976 33.3501153, -111.764528 33.3501262, -111.764447 33.3501272, -111.764303 33.3501306, -111.764206 33.3501305, -111.7600231 33.350146, -111.7576905 33.3501575, -111.7576757 33.3496527, -111.7575105 33.34964990000001, -111.7571431 33.3496403, -111.7570772 33.3494851, -111.7569674 33.34932640000001, -111.7568783 33.3491681, -111.7568774 33.3489968, -111.7568764 33.3488312, -111.7560707 33.3488312)","(33.3532848, -111.7773508)","(33.3488312, -111.7560707)"
40134224022,16,1,2795.504,"LINESTRING (-111.7773508 33.3532848, -111.777436 33.3526031, -111.7786039 33.3525679, -111.778946 33.35253989999999, -111.7789301 33.3517362, -111.7788762 33.3510393, -111.778928 33.3506283, -111.7789257 33.3500621, -111.7787104 33.3500571, -111.7772699 33.350063, -111.7770079 33.35006420000001, -111.7754943 33.3500656, -111.7754875 33.3495446, -111.7755765 33.3488134, -111.77368 33.3479297, -111.773011 33.3479272, -111.7730074 33.3475001, -111.7730067 33.3471918, -111.7730068 33.3468629, -111.7730028 33.3463902, -111.7730018 33.3463301, -111.7729964 33.3451569, -111.7729933 33.3449241, -111.7729839 33.3428167, -111.7729763 33.3420225, -111.772972 33.3413113, -111.7729684 33.3409145, -111.772967 33.3408702, -111.772964 33.3404703, -111.7729576 33.3392111, -111.7729431 33.3375928, -111.773 33.3372925, -111.7730019 33.3368023, -111.7729989 33.3361827, -111.772997 33.33575350000001, -111.772878 33.3357596, -111.772783 33.33566720000001, -111.772767 33.3355259, -111.7720515 33.3355319, -111.7720402 33.3352579, -111.7718086 33.3352608)","(33.3532848, -111.7773508)","(33.3352608, -111.7718086)"
