cbg_id,store_id,rank,distance,geometry,Origin,Destination
40131057011,22,0,637.968,"LINESTRING (-112.1516449 33.563902, -112.1516441 33.5639431, -112.1516445 33.5640832, -112.151646 33.5646272, -112.1516465 33.5647996, -112.1516475 33.5651322, -112.1516479 33.5652724, -112.151648 33.5653208, -112.1516489 33.5656515, -112.1516499 33.5656718, -112.151652 33.5660321, -112.1516531 33.5661237, -112.1516537 33.5663011, -112.1516563 33.5667093, -112.1516566 33.5667599, -112.1516574 33.5668934, -112.1516572 33.5670737, -112.151658 33.5675062, -112.1519191 33.5675582, -112.152128 33.5675587, -112.1523174 33.5675591, -112.1523215 33.5677272, -112.1524494 33.5677276, -112.1525595 33.567728, -112.1527525 33.56773960000001, -112.1528889 33.5677511, -112.1530312 33.5677513, -112.1532335 33.5677516, -112.1534175 33.5677518, -112.1536189 33.56775209999999, -112.1536118 33.568074)","(33.563902, -112.1516449)","(33.568074, -112.15361179999998)"
40131057011,18,1,1355.146,"LINESTRING (-112.1516449 33.563902, -112.1516419 33.5628313, -112.1516351 33.561894, -112.1516285 33.56138, -112.1516279 33.56035090000001, -112.1516279 33.5603106, -112.1516234 33.56001939999999, -112.151623 33.5599507, -112.151618 33.5580345, -112.1516187 33.55780179999999, -112.151611 33.5567252, -112.1516049 33.55504039999999, -112.1516017 33.55447179999999, -112.1516018 33.55430319999999, -112.1516019 33.5541503, -112.151602 33.5539592, -112.1516029 33.5538792, -112.1518722 33.55387730000001, -112.1525068 33.5534122, -112.1525046 33.5531573, -112.1528875 33.5531565, -112.1533978 33.553094)","(33.563902, -112.1516449)","(33.553094, -112.1533978)"
40131093001,6,0,2199.198,"LINESTRING (-112.1561127 33.5094306, -112.1555067 33.5094296, -112.154531 33.5094297, -112.1538446 33.5094283, -112.1535481 33.509429, -112.1533241 33.5094295, -112.1528742 33.5093703, -112.1518379 33.5093817, -112.151685 33.5093831, -112.151501 33.5093849, -112.15149 33.509512, -112.1514684 33.5096376, -112.1514621 33.5102388, -112.1514415 33.5112218, -112.151445 33.5113308, -112.1515316 33.5116894, -112.1515402 33.5117005, -112.1515492 33.5119737, -112.1515505 33.5120238, -112.1515544 33.5121793, -112.1515633 33.5125358, -112.151565 33.51260220000001, -112.1515705 33.5128191, -112.1515696 33.5131039, -112.151569 33.5133246, -112.1515676 33.5134987, -112.1515687 33.513752, -112.1515689 33.5139454, -112.1515689 33.5140719, -112.151568 33.5143249, -112.1515663 33.5145457, -112.1515642 33.5147229, -112.1515606 33.5150301, -112.15156 33.5152375, -112.1515606 33.5158978, -112.151561 33.51666250000001, -112.1515594 33.5169664, -112.151557 33.5173569, -112.1515566 33.5178628, -112.1515518 33.5184079, -112.1515379 33.5201271, -112.1515382 33.5202999, -112.1515353 33.5210047, -112.1515419 33.5215933, -112.1515398 33.5221109, -112.1515392 33.5222338, -112.1515376 33.5226275, -112.1515366 33.5228745, -112.1515349 33.5232841, -112.1515343 33.5234277, -112.151533 33.5236173, -112.1515329 33.5237854, -112.151532 33.5238642, -112.151532 33.5239741, -112.1522319 33.5239843, -112.1529367 33.5239999, -112.1529366 33.5238688)","(33.5094306, -112.1561127)","(33.5238688, -112.1529366)"
40131093001,1,1,2258.501,"LINESTRING (-112.1561127 33.5094306, -112.1569726 33.5094324, -112.1586016 33.5094375, -112.1594241 33.5094399, -112.160178 33.5094422, -112.1604143 33.5094405, -112.1606194 33.5094424, -112.161257 33.5094454, -112.1616888 33.50944670000001, -112.1620382 33.5094477, -112.162215 33.5094482, -112.1629519 33.5094488, -112.1634921 33.509452, -112.1644737 33.5094548, -112.1661458 33.5094586, -112.1667127 33.5094612, -112.1670642 33.5094622, -112.168803 33.509518, -112.1697538 33.5095216, -112.1700665 33.5095226, -112.170246 33.5094698, -112.1705075 33.5094706, -112.1708779 33.5094718, -112.1709699 33.5094726, -112.171489 33.5094778, -112.1718534 33.5094814, -112.1720143 33.509483, -112.1723704 33.5094865, -112.173174 33.5094956, -112.1737247 33.5094998, -112.1743515 33.5095026, -112.1746873 33.5095046, -112.1754313 33.509509, -112.1761219 33.5095116, -112.1761957 33.5095118, -112.1767004 33.5095149, -112.17746 33.5095198, -112.177664 33.5095212, -112.1781957 33.5095226, -112.1787119 33.5095278, -112.1791534 33.5095307, -112.1804517 33.5095387)","(33.5094306, -112.1561127)","(33.5095387, -112.1804517)"
40131095001,3,0,800.125,"LINESTRING (-112.1899174 33.5093844, -112.189456 33.5093893, -112.1890036 33.5093941, -112.1885541 33.5093989, -112.1885632 33.5095385, -112.1879144 33.5095474, -112.1868789 33.5095016, -112.186358 33.5095046, -112.186359 33.5096243, -112.1862841 33.5101047, -112.1862794 33.5106844, -112.1863416 33.5112297, -112.1863407 33.5113872, -112.1863397 33.5118023, -112.1863362 33.5127524, -112.1863361 33.5128354, -112.1863378 33.5132001, -112.1863375 33.5132633, -112.1863364 33.5135448)","(33.5093844, -112.18991739999998)","(33.5135448, -112.1863364)"
40131095001,1,1,896.87,"LINESTRING (-112.1899174 33.5093844, -112.189456 33.5093893, -112.1890036 33.5093941, -112.1885541 33.5093989, -112.1885632 33.5095385, -112.1879144 33.5095474, -112.1868789 33.5095016, -112.186358 33.5095046, -112.1857603 33.5095064, -112.1854859 33.509507, -112.1848618 33.5095706, -112.1842728 33.5095691, -112.1840228 33.509567, -112.1836494 33.5095638, -112.1830536 33.5095586, -112.1828824 33.5095579, -112.1823268 33.5095518, -112.1819537 33.50954780000001, -112.181057 33.5095425, -112.1804517 33.5095387)","(33.5093844, -112.18991739999998)","(33.5095387, -112.1804517)"
40131042142,25,0,1871.032,"LINESTRING (-112.1760494 33.6334972, -112.1761115 33.6339241, -112.1767439 33.6338664, -112.1770051 33.6345205, -112.1770044 33.6331252, -112.1769764 33.6323538, -112.1813069 33.6323717, -112.185658 33.6323972, -112.1857132 33.63295750000001, -112.1857544 33.6332429, -112.1857964 33.6335999, -112.1858787 33.6341958, -112.185904 33.6343837, -112.1859196 33.6344997, -112.1859238 33.6345307, -112.186053 33.6355741, -112.1861361 33.6368872, -112.1857702 33.6370184, -112.1856144 33.6370201, -112.1853988 33.637024, -112.1851946 33.6370274, -112.1849793 33.6370337)","(33.6334972, -112.1760494)","(33.6370337, -112.1849793)"
40131042142,28,1,2012.163,"LINESTRING (-112.1760494 33.6334972, -112.1761115 33.6339241, -112.1767439 33.6338664, -112.1770051 33.6345205, -112.1770044 33.6331252, -112.1769764 33.6323538, -112.1813069 33.6323717, -112.185658 33.6323972, -112.1857132 33.63295750000001, -112.1857544 33.6332429, -112.1857964 33.6335999, -112.1858787 33.6341958, -112.185904 33.6343837, -112.1859196 33.6344997, -112.1859238 33.6345307, -112.186053 33.6355741, -112.1861361 33.6368872, -112.1861538 33.637011, -112.1862541 33.637708, -112.1864679 33.6386352, -112.1864862 33.6381505)","(33.6334972, -112.1760494)","(33.6381505, -112.18648620000002)"
40131042153,25,0,661.278,"LINESTRING (-112.1903425 33.6355202, -112.188404 33.6355416, -112.1877652 33.63554789999998, -112.1869582 33.63556, -112.186861 33.6355603, -112.1865832 33.635561, -112.186053 33.6355741, -112.1861361 33.6368872, -112.1857702 33.6370184, -112.1856144 33.6370201, -112.1853988 33.637024, -112.1851946 33.6370274, -112.1849793 33.6370337)","(33.6355202, -112.19034249999999)","(33.6370337, -112.1849793)"
40131042153,28,1,747.484,"LINESTRING (-112.1903425 33.6355202, -112.1904363 33.6363993, -112.1906132 33.6372536, -112.1907534 33.6379467, -112.1903746 33.6379506, -112.1903768 33.638122, -112.190164 33.6383986, -112.1899503 33.6384005, -112.1897399 33.6384024, -112.1895166 33.6384043, -112.1892758 33.6384065, -112.1890236 33.638409, -112.1882078 33.6383992, -112.1882071 33.6382399, -112.1876528 33.6382446, -112.1876503 33.638138, -112.1874635 33.63814, -112.1872407 33.6381424, -112.1870322 33.6381446, -112.1866919 33.6381483, -112.1864862 33.6381505)","(33.6355202, -112.19034249999999)","(33.6381505, -112.18648620000002)"
