cbg_id,store_id,rank,distance,geometry,Origin,Destination
370810128041,11,0,1553.516,"LINESTRING (-79.7888633 36.0273815, -79.78977020000001 36.0275645, -79.7901284 36.02757350000001, -79.79065850000001 36.0275868, -79.79084 36.0275929, -79.7912352 36.0276013, -79.7912312 36.0277182, -79.79134910000002 36.02799, -79.79155539999999 36.0279844, -79.7915543 36.0281444, -79.7915521 36.028275, -79.7915259 36.0291627, -79.7916649 36.029163, -79.7928783 36.0291668, -79.7936813 36.0292488, -79.7948258 36.0296709, -79.7955977 36.0300818, -79.79613999999999 36.0303067, -79.798078 36.030514, -79.7999391 36.030118, -79.8004397 36.0301011, -79.8004402 36.0299625, -79.80060949999999 36.0297624, -79.80080190000001 36.0295978, -79.8008368 36.0295699, -79.8012937 36.0292332, -79.80154159999999 36.0291723, -79.8017859 36.0291874, -79.80188080000001 36.0288377, -79.8019154 36.0287072, -79.8016875 36.0286845, -79.80148610000001 36.028676, -79.801265 36.0286715)","(36.0273815, -79.7888633)","(36.0286715, -79.801265)"
370810128041,20,1,1672.201,"LINESTRING (-79.7888633 36.0273815, -79.78977020000001 36.0275645, -79.7901284 36.02757350000001, -79.79065850000001 36.0275868, -79.79084 36.0275929, -79.7912352 36.0276013, -79.7912312 36.0277182, -79.79134910000002 36.02799, -79.79155539999999 36.0279844, -79.7915543 36.0281444, -79.7915521 36.028275, -79.7915259 36.0291627, -79.7915119 36.030275, -79.79150180000002 36.0307656, -79.7914291 36.0322425, -79.79140630000001 36.03265050000001, -79.79139619999999 36.0328103, -79.7913733 36.0331731, -79.79131030000001 36.0342076, -79.7913025 36.0345008, -79.791365 36.0351493, -79.791433 36.036736, -79.79144960000001 36.0371644, -79.79146799999999 36.03764, -79.79147500000001 36.0378055, -79.7914974 36.0382927, -79.791515 36.038752, -79.791518 36.0388337, -79.7920798 36.0391764, -79.79219780000001 36.0391762, -79.79262300000001 36.0393985, -79.7927759 36.039399)","(36.0273815, -79.7888633)","(36.039399, -79.7927759)"
370810128042,3,0,1028.191,"LINESTRING (-79.79881090000001 36.0125536, -79.7989207 36.01203850000001, -79.80092500000001 36.01219, -79.80077900000001 36.01346049999999, -79.800693 36.01420559999998, -79.8006376 36.0146849, -79.8012842 36.0146041, -79.8018824 36.0148955, -79.80201190000001 36.0149371, -79.8020987 36.015272, -79.80210390000001 36.0153336, -79.8036436 36.0152513, -79.8038908 36.0152378, -79.80395300000001 36.0152345, -79.80398060000002 36.015468, -79.80438150000001 36.01548949999999, -79.8043718 36.01572440000001, -79.8043701 36.0157651, -79.804345 36.016371)","(36.0125536, -79.7988109)","(36.016371, -79.804345)"
370810128042,1,1,1276.927,"LINESTRING (-79.79881090000001 36.0125536, -79.7989207 36.01203850000001, -79.80092500000001 36.01219, -79.801045 36.011593, -79.80152699999999 36.011624, -79.80172899999999 36.011169, -79.8023821 36.0111168, -79.802993 36.011337, -79.8030773 36.0110604, -79.80327699999999 36.010484, -79.8044665 36.0105663, -79.8044944 36.0105685, -79.80484 36.0106264, -79.8049432 36.0101865, -79.80496100000001 36.0101106, -79.8050525 36.0097155, -79.8050574 36.0096939, -79.8050848 36.0095723, -79.8051494 36.0092858, -79.8051703 36.0091932, -79.8052117 36.0090096, -79.8054226 36.008194, -79.80558310000001 36.0075735, -79.80600080000001 36.007583, -79.806342 36.007595, -79.8063501 36.0074754, -79.80635239999999 36.0074406, -79.806354 36.0073029, -79.8063635 36.0071219, -79.8058824 36.00704120000001)","(36.0125536, -79.7988109)","(36.00704120000001, -79.8058824)"
370810157052,76,0,1500.321,"LINESTRING (-79.8437868 36.1315866, -79.8444751 36.1319521, -79.84470210000001 36.1319839, -79.8447468 36.1319906, -79.8449035 36.1320124, -79.8449825 36.1323357, -79.8450819 36.1324535, -79.84561239999999 36.1322001, -79.8457204 36.13216349999998, -79.8460676 36.1320769, -79.8460956 36.1320693, -79.8471941 36.1317701, -79.8475887 36.131563, -79.8479806 36.13143939999998, -79.8483495 36.1313462, -79.84881300000001 36.1312417, -79.84933530000001 36.131125, -79.849935 36.130991, -79.85003570000001 36.13097019999999, -79.850702 36.130812, -79.8508118 36.1307863, -79.85113699999999 36.1307102, -79.85161960000001 36.1306, -79.85215669999999 36.1304683, -79.85344600000001 36.13018, -79.8540998 36.1300056, -79.8543706 36.1302333, -79.8544887 36.1303326, -79.85456619999999 36.1303978, -79.85477729999999 36.1305753, -79.85588660000001 36.1315802, -79.85649859999999 36.1311543, -79.85665109999999 36.1312962, -79.8568046 36.1314389, -79.85704610000001 36.1316582, -79.8566821 36.1319076, -79.85678919999999 36.1320874)","(36.1315866, -79.8437868)","(36.1320874, -79.8567892)"
370810157052,72,1,1597.577,"LINESTRING (-79.8437868 36.1315866, -79.8439175 36.1305517, -79.8450588 36.130408, -79.84494429999999 36.1303179, -79.8434061 36.1253658, -79.8435341 36.12516619999999, -79.84368069999999 36.1249466, -79.84379640000002 36.1247733, -79.8437399 36.1246847, -79.84327209999999 36.1238198, -79.84352079999999 36.1237692, -79.8437698 36.1237185, -79.8438931 36.1236999, -79.8445115 36.1226967, -79.8447492 36.1228104, -79.8452004 36.123035, -79.8455005 36.1232396, -79.84573349999999 36.1230475, -79.84600709999999 36.1227452, -79.8458602 36.1222898, -79.845837 36.122271, -79.84571149999999 36.1221692, -79.8455125 36.1220077, -79.84534840000001 36.1218745, -79.845156 36.1222903)","(36.1315866, -79.8437868)","(36.1222903, -79.845156)"
370810157053,79,0,1785.337,"LINESTRING (-79.8359035 36.1260766, -79.8360728 36.1271011, -79.836174 36.12802, -79.8360923 36.1291459, -79.83606589999999 36.1294322, -79.836038 36.130785, -79.8360624 36.1320382, -79.8323149 36.1322372, -79.832381 36.1334036, -79.8323994 36.1337281, -79.83241030000001 36.1339612, -79.8324142 36.1342023, -79.8322802 36.13577, -79.8324331 36.1367395, -79.8325972 36.1373631, -79.8327917 36.138096, -79.8329189 36.13864010000002, -79.8329901 36.138983, -79.8330344 36.139207)","(36.1260766, -79.8359035)","(36.139207, -79.8330344)"
370810157053,71,1,2233.539,"LINESTRING (-79.8359035 36.1260766, -79.8360728 36.1271011, -79.836174 36.12802, -79.8360923 36.1291459, -79.8358061 36.1286023, -79.8356345 36.1287124, -79.8355634 36.1287505, -79.8353019 36.1295642, -79.8352466 36.1294362, -79.8350906 36.12937219999998, -79.8348979 36.1293596, -79.83487959999999 36.1294751, -79.8346772 36.1294589, -79.8344683 36.1294422, -79.8342707 36.1294914, -79.8341786 36.1294864, -79.8339605 36.1294829, -79.833787 36.1294909, -79.83266260000001 36.129813, -79.8325737 36.1298559, -79.83218320000002 36.1298897, -79.8320963 36.1283901, -79.83207550000002 36.128009, -79.83199999999999 36.12685840000001, -79.8318982 36.1262375, -79.8317184 36.1254918, -79.8315439 36.12481, -79.8314444 36.1244138, -79.8312256 36.1235215, -79.83119379999999 36.1233952, -79.83093169999999 36.1223561, -79.8307404 36.1215968, -79.8306333 36.1211768, -79.8305223 36.1207231, -79.8303971 36.1202508, -79.8303679 36.1201546, -79.83032580000001 36.1200321, -79.8302059 36.1197535, -79.8301134 36.1195583, -79.8297546 36.1189919, -79.82912829999999 36.1183299, -79.82902140000002 36.1182355)","(36.1260766, -79.8359035)","(36.1182355, -79.82902140000002)"
370810157062,78,0,3335.044,"LINESTRING (-79.7854553 36.156544, -79.78693680000001 36.1573597, -79.78725590000001 36.155639, -79.7871191 36.1550252, -79.7878041 36.1538912, -79.78856260000001 36.1544183, -79.7894508 36.1533651, -79.7901792 36.15193129999999, -79.791009 36.152006, -79.7911101 36.1515361, -79.7911752 36.1512103, -79.7911999 36.1510867, -79.7912505 36.150857, -79.7913058 36.1496172, -79.79130850000001 36.1490357, -79.7913099 36.1487336, -79.7913112 36.1485775, -79.7913123 36.148447, -79.7913068 36.1480104, -79.79131340000001 36.1467555, -79.79132980000001 36.145829, -79.7913301 36.1455274, -79.7913046 36.1453348, -79.79104959999999 36.14453480000001, -79.79063660000001 36.1434216, -79.7904291 36.1428606, -79.79031999999999 36.1426168, -79.7902502 36.142425, -79.7901289 36.1421005, -79.7900818 36.1419598, -79.7899918 36.1414612, -79.7902301 36.138798, -79.79024990000001 36.1386578, -79.7902466 36.1374693, -79.7901401 36.1368908, -79.7900356 36.1363232, -79.7899637 36.1359324, -79.78991890000002 36.1356892, -79.78989780000001 36.1355745, -79.7898402 36.1352617, -79.78980319999999 36.1350604, -79.789759 36.1348204, -79.78972880000001 36.1346151, -79.7890096 36.1344114, -79.7884737 36.13465, -79.7884251 36.1346717, -79.78824539999999 36.1343635, -79.7881809 36.1341915, -79.78811260000001 36.1340093, -79.78804140000001 36.1338192, -79.78725609999999 36.1337957)","(36.156544, -79.7854553)","(36.1337957, -79.7872561)"
370810157062,75,1,3711.508,"LINESTRING (-79.7854553 36.156544, -79.78693680000001 36.1573597, -79.78725590000001 36.155639, -79.7871191 36.1550252, -79.7878041 36.1538912, -79.78856260000001 36.1544183, -79.7894508 36.1533651, -79.7901792 36.15193129999999, -79.791009 36.152006, -79.7911101 36.1515361, -79.7911752 36.1512103, -79.7911999 36.1510867, -79.7912505 36.150857, -79.7913058 36.1496172, -79.79130850000001 36.1490357, -79.7913099 36.1487336, -79.7913112 36.1485775, -79.7913123 36.148447, -79.7913068 36.1480104, -79.79131340000001 36.1467555, -79.79132980000001 36.145829, -79.7913301 36.1455274, -79.7913046 36.1453348, -79.79104959999999 36.14453480000001, -79.79063660000001 36.1434216, -79.7904291 36.1428606, -79.79031999999999 36.1426168, -79.7902502 36.142425, -79.7901289 36.1421005, -79.7900818 36.1419598, -79.7899918 36.1414612, -79.7902301 36.138798, -79.79024990000001 36.1386578, -79.7902466 36.1374693, -79.7901401 36.1368908, -79.7900356 36.1363232, -79.7899637 36.1359324, -79.78991890000002 36.1356892, -79.78989780000001 36.1355745, -79.7898402 36.1352617, -79.78980319999999 36.1350604, -79.789759 36.1348204, -79.78972880000001 36.1346151, -79.7897038 36.1344314, -79.7896614 36.1341189, -79.7900223 36.1339622, -79.7900583 36.1339466, -79.7903094 36.1338376, -79.79055380000001 36.13373150000001, -79.790858 36.1335995, -79.791066 36.1335092, -79.7912587 36.1334249, -79.7913437 36.1333872, -79.79186249999999 36.1331569, -79.7922512 36.1329844, -79.7930178 36.1326441, -79.7936115 36.132382, -79.79480169999999 36.13203429999999, -79.79558110000001 36.1318674, -79.796041 36.131771)","(36.156544, -79.7854553)","(36.131771, -79.796041)"
