cbg_id,store_id,rank,distance,geometry,Origin,Destination
320030053561,11,0,2933.429,"LINESTRING (-115.0551081 36.0042042, -115.0552279 36.0045905, -115.0564975 36.0058368, -115.0565896 36.0061247, -115.0572106 36.0065427, -115.0573481 36.0066123, -115.0574448 36.0066538, -115.057591 36.0067163, -115.0581935 36.0076656, -115.0597717 36.0084683, -115.0605045 36.0089274, -115.060109 36.0091958, -115.0600418 36.0092432, -115.0599684 36.0092911, -115.0603227 36.009829, -115.0606889 36.0103405, -115.0619846 36.0115987, -115.061893 36.0116669, -115.0619596 36.01172, -115.0607078 36.0127152, -115.0591516 36.0139094, -115.0590678 36.013982, -115.0584274 36.0144839, -115.0574911 36.0152069, -115.0570202 36.0155761, -115.0564632 36.0160045, -115.05637 36.0160692, -115.0562858 36.0161344, -115.0562384 36.0161744, -115.055638 36.016638, -115.0555419 36.0167122, -115.0554004 36.0168206, -115.0550213 36.0171135, -115.053729 36.0181154, -115.0522379 36.0192676, -115.0521489 36.0193369, -115.0520491 36.019404, -115.0519809 36.01946260000001, -115.0512472 36.0200215, -115.0505592 36.0204661, -115.0493297 36.0210513, -115.0490782 36.0211422, -115.0488983 36.0212043, -115.0482769 36.0214026, -115.0478616 36.021493, -115.0475304 36.0215653)","(36.0042042, -115.05510810000001)","(36.0215653, -115.04753039999999)"
320030053561,14,1,2975.669,"LINESTRING (-115.0551081 36.0042042, -115.0552279 36.0045905, -115.0564975 36.0058368, -115.0565896 36.0061247, -115.0572106 36.0065427, -115.0573481 36.0066123, -115.0574448 36.0066538, -115.057591 36.0067163, -115.0581935 36.0076656, -115.0597717 36.0084683, -115.0605045 36.0089274, -115.060109 36.0091958, -115.0604315 36.0096682, -115.060488 36.00975, -115.0621481 36.0114375, -115.0621576 36.0114698, -115.0622273 36.0115312, -115.0623136 36.0116076, -115.0623997 36.011684, -115.0631574 36.01236989999999, -115.0632223 36.0124181, -115.0631668 36.0125286, -115.0638371 36.0129119, -115.0647051 36.0133658, -115.064146 36.0171308, -115.0640688 36.0172053, -115.063993 36.0172835, -115.0629548 36.0188039, -115.0624028 36.0218299, -115.0623556 36.022336, -115.062315 36.0230763, -115.062289 36.0235889, -115.062283 36.0237125, -115.062282 36.0238573, -115.0623569 36.0254112, -115.0623659 36.0255058)","(36.0042042, -115.05510810000001)","(36.0255058, -115.06236590000002)"
320030053351,9,0,2434.971,"LINESTRING (-114.9984176 36.0221211, -114.9985056 36.0221206, -114.9982158 36.0205893, -114.997308 36.0201442, -114.9972179 36.0201436, -114.9970798 36.0201427, -114.9963539 36.0201382, -114.9962325 36.0201375, -114.9962328 36.0200636, -114.9962349 36.0194689, -114.9962353 36.0193641, -114.9961593 36.0193637, -114.9941741 36.0175359, -114.9940877 36.0175304, -114.9922616 36.0170971, -114.99226 36.016193, -114.9900386 36.0152938, -114.990042 36.0146223, -114.9900432 36.01438490000001, -114.9886206 36.0134839, -114.988621 36.0134182, -114.9879598 36.0134096, -114.9879711 36.0127146, -114.9879586 36.012593, -114.9880788 36.0125831, -114.9888961 36.0122633, -114.989413 36.01197689999999, -114.9905935 36.0114799, -114.9911076 36.0113655, -114.9914609 36.0113224, -114.9922022 36.0110215, -114.9923101 36.0109828, -114.9924588 36.0109177, -114.9924058 36.0108126, -114.9923571 36.01072049999998, -114.991965 36.010082, -114.9920732 36.0100387, -114.9920261 36.0099836)","(36.0221211, -114.99841760000001)","(36.0099836, -114.9920261)"
320030053351,17,1,2884.485,"LINESTRING (-114.9984176 36.0221211, -114.998404 36.0229852, -114.998404 36.02306029999998, -114.9984039 36.0231442, -114.9984011 36.0236693, -114.9975151 36.023685, -114.9975146 36.0237589, -114.9967123 36.0237565, -114.9966227 36.023756, -114.9950548 36.0237482, -114.9950539 36.023818, -114.9941435 36.023842, -114.9941317 36.0246487, -114.9940562 36.02464819999999, -114.9940532 36.0252558, -114.994051 36.026161, -114.9922314 36.0261686, -114.9899993 36.0261765, -114.9883837 36.0261855, -114.9879105 36.02618810000001, -114.9877674 36.0261889, -114.9877664 36.0264009, -114.9877027 36.0272493, -114.9876137 36.0285098, -114.9875979 36.0285914, -114.9875807 36.0286877, -114.9875612 36.0287754, -114.9874523 36.02924380000001, -114.9874856 36.02930660000001, -114.9874308 36.0294752, -114.9872911 36.0299248, -114.992826 36.032173, -114.99459 36.034158, -114.9950275 36.0353092, -114.9950353 36.0353414, -114.9950468 36.0354272, -114.9950853 36.0356102, -114.99508 36.0356558, -114.9950699 36.0357425, -114.9950873 36.0358709, -114.9951233 36.0360352, -114.9952136 36.0360248)","(36.0221211, -114.99841760000001)","(36.0360248, -114.99521360000001)"
320030053553,3,0,1325.376,"LINESTRING (-115.0984942 35.9907344, -115.0982908 35.9919665, -115.0982412 35.9923926, -115.0982328 35.9924781, -115.0982433 35.9926048, -115.0982912 35.9926398, -115.0982945 35.9926801, -115.0984242 35.9926613, -115.0999475 35.9926344, -115.0999506 35.992818, -115.0999529 35.9929687, -115.0999592 35.9933878, -115.0999677 35.9939357, -115.0999737 35.9943153, -115.1001984 35.9943144, -115.1005174 35.99431309999999, -115.1008034 35.9943568, -115.1007908 35.9945209, -115.1008361 35.9953195, -115.1008522 35.9953979, -115.1009666 35.9958682, -115.1017621 35.997059, -115.1018353 35.9971201, -115.1016079 35.9973114, -115.1017365 35.9974183, -115.1019785 35.9976193, -115.1020189 35.997653, -115.1021345 35.9977463, -115.1021751 35.9977801, -115.1025932 35.9981277, -115.1027493 35.9982584, -115.1028902 35.9983677, -115.1029168 35.9983931, -115.1030401 35.9984922, -115.1030705 35.9985168, -115.103221 35.9986385, -115.1033867 35.9987723, -115.1035274 35.9988861, -115.1037285 35.9987171)","(35.9907344, -115.0984942)","(35.9987171, -115.10372850000002)"
320030053553,4,1,1776.035,"LINESTRING (-115.0984942 35.9907344, -115.0982908 35.9919665, -115.0982412 35.9923926, -115.0982328 35.9924781, -115.0982433 35.9926048, -115.0983475 35.9925958, -115.0999461 35.9925522, -115.1007398 35.9925639, -115.100862 35.9925687, -115.101042 35.9925688, -115.1011454 35.9925682, -115.1011478 35.9926326, -115.1011719 35.9926444, -115.1011992 35.99265780000001, -115.1011814 35.9933819, -115.1011845 35.99344580000001, -115.1011884 35.9935273, -115.1011856 35.9941901, -115.1011861 35.9942312, -115.1011875 35.9943441, -115.1011884 35.9944167, -115.1011657 35.9953233, -115.1013389 35.9958935, -115.1013665 35.99594969999998, -115.1013946 35.9960096, -115.1025441 35.9972248, -115.102599 35.99727059999999, -115.1026674 35.9973223, -115.1027141 35.9973578, -115.1042426 35.9985978, -115.1043187 35.9986578, -115.1043986 35.9987207, -115.1047042 35.99893740000001, -115.10481 35.999035, -115.1049426 35.9991326, -115.1050069 35.9991969, -115.1050588 35.9992007, -115.1050995 35.9992007, -115.1057913 35.9997897, -115.1058439 35.9998311, -115.1060288 35.9996771, -115.1063031 35.999457, -115.1066052 35.9994434, -115.1070277 35.9994453, -115.107234 35.9995201, -115.1073932 35.9996449, -115.1074513 35.9996905, -115.1075468 35.9997697, -115.1077008 35.9999065, -115.1078288 36.0000477, -115.1079777 36.0001651, -115.1081485 36.0002998)","(35.9907344, -115.0984942)","(36.0002998, -115.10814850000001)"
320030053541,17,0,3008.591,"LINESTRING (-115.0167873 36.0296556, -115.0165311 36.0289893, -115.0164806 36.028928, -115.0164043 36.0289554, -115.0156288 36.02927660000001, -115.0154827 36.0298119, -115.0154027 36.0298127, -115.0148327 36.0298181, -115.0137098 36.02944990000001, -115.0136507 36.0295461, -115.0136007 36.0295951, -115.0135246 36.0296507, -115.0110668 36.0280982, -115.0063237 36.0281129, -115.005902 36.0281759, -115.0059452 36.0285235, -115.0059401 36.0285851, -115.005861 36.0285879, -115.005741 36.0285925, -115.0056766 36.028595, -115.0029204 36.0287131, -115.0029162 36.0292618, -115.0029 36.029372, -115.000026 36.029344, -114.9972638 36.0295719, -114.997242 36.0300795, -114.9972419 36.0301019, -114.997236 36.0314, -114.9972437 36.0321595, -114.997245 36.0322886, -114.9972439 36.0324274, -114.997241 36.032801, -114.9972223 36.0329786, -114.996432 36.0337, -114.995428 36.03395, -114.99459 36.034158, -114.9950275 36.0353092, -114.9950353 36.0353414, -114.9950468 36.0354272, -114.9950853 36.0356102, -114.99508 36.0356558, -114.9950699 36.0357425, -114.9950873 36.0358709, -114.9951233 36.0360352, -114.9952136 36.0360248)","(36.0296556, -115.0167873)","(36.0360248, -114.99521360000001)"
320030053541,20,1,3500.857,"LINESTRING (-115.0167873 36.0296556, -115.0165311 36.0289893, -115.0164806 36.028928, -115.0164043 36.0289554, -115.0156288 36.02927660000001, -115.0154827 36.0298119, -115.0154027 36.0298127, -115.0148327 36.0298181, -115.0137098 36.02944990000001, -115.0136507 36.0295461, -115.0136007 36.0295951, -115.0135246 36.0296507, -115.0110668 36.0280982, -115.0063237 36.0281129, -115.005902 36.0281759, -115.0059452 36.0285235, -115.0059401 36.0285851, -115.005861 36.0285879, -115.005741 36.0285925, -115.0056766 36.028595, -115.0029204 36.0287131, -115.0029162 36.0292618, -115.0029 36.029372, -115.000026 36.029344, -114.9972638 36.0295719, -114.997242 36.0300795, -114.9972419 36.0301019, -114.997236 36.0314, -114.9972437 36.0321595, -114.997245 36.0322886, -114.9972439 36.0324274, -114.997241 36.032801, -114.9972223 36.0329786, -114.996432 36.0337, -114.995428 36.03395, -114.99459 36.034158, -114.994024 36.034298, -114.99385 36.034341, -114.993479 36.034431, -114.993042 36.034539, -114.9928251 36.0345926, -114.992181 36.034752, -114.9923957 36.0356015, -114.9924332 36.035761, -114.9924485 36.0358259, -114.9925075 36.0361949, -114.9925351 36.0363658, -114.992562 36.0364918, -114.9927834 36.037572, -114.9925511 36.0376032, -114.9923577 36.0376291, -114.9921532 36.037657, -114.9923404 36.0386719)","(36.0296556, -115.0167873)","(36.0386719, -114.9923404)"
320030053411,9,0,1246.706,"LINESTRING (-114.9846178 36.0091667, -114.9852811 36.0099331, -114.9853774 36.009921, -114.9853776 36.009989, -114.9862224 36.010001, -114.9863351 36.0100039, -114.9876261 36.0100374, -114.9877118 36.0100396, -114.9877537 36.0107404, -114.9877623 36.0114838, -114.9877751 36.011938, -114.9877871 36.0123736, -114.9879362 36.0123741, -114.987946 36.0124693, -114.9879586 36.012593, -114.9880788 36.0125831, -114.9888961 36.0122633, -114.989413 36.01197689999999, -114.9905935 36.0114799, -114.9911076 36.0113655, -114.9914609 36.0113224, -114.9922022 36.0110215, -114.9923101 36.0109828, -114.9924588 36.0109177, -114.9924058 36.0108126, -114.9923571 36.01072049999998, -114.991965 36.010082, -114.9920732 36.0100387, -114.9920261 36.0099836)","(36.0091667, -114.98461779999997)","(36.0099836, -114.9920261)"
320030053411,10,1,2389.46,"LINESTRING (-114.9846178 36.0091667, -114.9846401 36.0099861, -114.9845257 36.0099855, -114.9844283 36.0099849, -114.9837804 36.0099872, -114.9836753 36.0099884, -114.9835798 36.0099894, -114.9832872 36.010367, -114.9829403 36.010376, -114.9828316 36.010376, -114.9827327 36.010376, -114.9820792 36.010376, -114.9819827 36.010376, -114.9818883 36.010376, -114.9812181 36.0103692, -114.9811178 36.0103691, -114.9810291 36.010369, -114.9810282 36.0102556, -114.9808626 36.0102556, -114.9805645 36.0102558, -114.9805671 36.0106541, -114.9804447 36.0106521, -114.9803345 36.0106514, -114.9801027 36.0106499, -114.9800467 36.0109899, -114.9800757 36.0110033, -114.9795483 36.0114953, -114.979484 36.011735, -114.9794889 36.0118066, -114.9795493 36.0119676, -114.979065 36.0122186, -114.9789117 36.0124232, -114.9788824 36.0125069, -114.9778887 36.0125117, -114.976816 36.0125106, -114.9767288 36.0125117, -114.9766116 36.01250970000001, -114.976522 36.012511, -114.9761698 36.0125137, -114.9754467 36.0125076, -114.9745295 36.012515, -114.9726526 36.0125163, -114.9717442 36.0125178, -114.9699498 36.0125249, -114.9682928 36.0125289, -114.9676591 36.0126545, -114.967642 36.01272980000001, -114.9675229 36.01272880000001, -114.9667162 36.0127503, -114.9665921 36.0127619, -114.9664877 36.0127717, -114.9656001 36.0127908, -114.9654745 36.0127911, -114.9653505 36.0127913, -114.9646009 36.0127959, -114.9645204 36.0128086, -114.9643503 36.012835, -114.9637524 36.01280710000002, -114.9635674 36.01280710000001, -114.9634818 36.0128225, -114.9634518 36.0129188, -114.963452 36.0129856, -114.9634547 36.0132366, -114.963455 36.0133064, -114.9634554 36.0134036, -114.9634053 36.014046)","(36.0091667, -114.98461779999997)","(36.014046, -114.9634053)"
