cbg_id,store_id,rank,distance,geometry,Origin,Destination
180973101041,218,0,4807.103,"LINESTRING (-86.2515521 39.9168112, -86.2481679 39.9190898, -86.2483909 39.9243741, -86.25063489999999 39.9248704, -86.2519534 39.9252498, -86.24848160000001 39.925704, -86.24835830000001 39.9257112, -86.24718390000001 39.9257769, -86.2467781 39.925799, -86.24615729999999 39.9258324, -86.2459305 39.9258446, -86.2455664 39.9258641, -86.2453383 39.9258764, -86.2452909 39.9258789, -86.2452031 39.9258836, -86.24454830000001 39.9259188, -86.2439133 39.9259529, -86.24297919999999 39.9260058, -86.2422488 39.9260471, -86.2419962 39.9260614, -86.24125890000001 39.9260954, -86.2410905 39.9260943, -86.24085340000001 39.9260809, -86.2397869 39.9260573, -86.2391672 39.9260646, -86.23870100000001 39.9260692, -86.23862149999999 39.92607, -86.237908 39.926077, -86.2374205 39.9260832, -86.2370449 39.9260894, -86.2367364 39.9260915, -86.2353495 39.9261067, -86.2349188 39.9261137, -86.2346307 39.9261184, -86.23358 39.92613539999999, -86.23306220000001 39.9261438, -86.23168339999999 39.9261602, -86.2312422 39.9261644, -86.23068290000001 39.9261697, -86.2297238 39.9261797, -86.2292222 39.9250643, -86.2289337 39.9245323, -86.22814120000001 39.9228816, -86.22803500000001 39.9226499, -86.226671 39.9198383, -86.2269402 39.9197925, -86.22720959999999 39.9197738, -86.2274936 39.9197649, -86.2276529 39.9197592, -86.22770319999999 39.9197557, -86.2279068 39.91974169999999, -86.2281971 39.9197217, -86.2288803 39.9196746, -86.22873629999999 39.9193568, -86.2286703 39.9192111, -86.228503 39.918842, -86.2284992 39.9185591, -86.2273677 39.9183704, -86.22623729999999 39.9184032, -86.2259902 39.9178793, -86.22591300000001 39.9177157)","(39.9168112, -86.2515521)","(39.9177157, -86.225913)"
180973101041,217,1,5015.627,"LINESTRING (-86.2515521 39.9168112, -86.2481679 39.9190898, -86.2483909 39.9243741, -86.25063489999999 39.9248704, -86.2519534 39.9252498, -86.24848160000001 39.925704, -86.24835830000001 39.9257112, -86.24718390000001 39.9257769, -86.2467781 39.925799, -86.24615729999999 39.9258324, -86.2459305 39.9258446, -86.2455664 39.9258641, -86.2453383 39.9258764, -86.2452909 39.9258789, -86.2452031 39.9258836, -86.24454830000001 39.9259188, -86.2439133 39.9259529, -86.24297919999999 39.9260058, -86.2422488 39.9260471, -86.2419962 39.9260614, -86.24125890000001 39.9260954, -86.2410905 39.9260943, -86.24085340000001 39.9260809, -86.2397869 39.9260573, -86.2391672 39.9260646, -86.23870100000001 39.9260692, -86.23862149999999 39.92607, -86.237908 39.926077, -86.2374205 39.9260832, -86.2370449 39.9260894, -86.2367364 39.9260915, -86.2353495 39.9261067, -86.2349188 39.9261137, -86.2346307 39.9261184, -86.23358 39.92613539999999, -86.23306220000001 39.9261438, -86.23168339999999 39.9261602, -86.2312422 39.9261644, -86.23068290000001 39.9261697, -86.2297238 39.9261797, -86.2292222 39.9250643, -86.2289337 39.9245323, -86.22814120000001 39.9228816, -86.22803500000001 39.9226499, -86.226671 39.9198383, -86.22660370000001 39.9196999, -86.2245843 39.9154873, -86.22452749999999 39.91536889999998, -86.22448799999999 39.9152865, -86.22443819999999 39.9151825, -86.22365430000001 39.9135057, -86.2236054 39.9134204, -86.2234055 39.9134832, -86.2229971 39.9135989, -86.2226745 39.9136838, -86.2227214 39.9137899)","(39.9168112, -86.2515521)","(39.9137899, -86.2227214)"
180973101042,207,0,1380.05,"LINESTRING (-86.2082714 39.9170502, -86.2090587 39.9170399, -86.210071 39.91702449999999, -86.2100696 39.9169541, -86.210151 39.916953, -86.210274 39.916949, -86.21092400000001 39.917098, -86.21275 39.917155, -86.213902 39.917141, -86.214406 39.917131, -86.215231 39.917123, -86.2158108 39.9171196, -86.2159413 39.9171174, -86.2159295 39.916531, -86.215802 39.915703, -86.21399630000001 39.9146913, -86.2138865 39.9146411, -86.2138465 39.9146212, -86.21343469999999 39.9126752, -86.213444 39.9119191, -86.2133436 39.9119187, -86.21321589999999 39.911921)","(39.9170502, -86.2082714)","(39.911921, -86.2132159)"
180973101042,208,1,1597.486,"LINESTRING (-86.2082714 39.9170502, -86.206728 39.917511, -86.2067303 39.9180335, -86.206638 39.918033, -86.20663999999999 39.918253, -86.206643 39.918659, -86.206644 39.918771, -86.20664600000001 39.919136, -86.20441099999999 39.919171, -86.204398 39.918752, -86.204037 39.918533, -86.2033491 39.9175263, -86.2030517 39.9174907, -86.2030486 39.9161173, -86.20304640000001 39.9159941, -86.2030426 39.91578, -86.20304160000001 39.9157008, -86.2029364 39.9157012, -86.2029014 39.9145128, -86.2028909 39.913806, -86.20288360000001 39.9128381, -86.2028643 39.9121396, -86.20279859999999 39.9121066, -86.20280200000001 39.9120074, -86.2028061 39.911887, -86.20149050000001 39.9119064, -86.2013937 39.91190790000001, -86.2014502 39.912026)","(39.9170502, -86.2082714)","(39.912026, -86.2014502)"
180973101043,217,0,801.777,"LINESTRING (-86.2219506 39.919395, -86.2215874 39.91853589999999, -86.2215116 39.9183693, -86.2209812 39.9172032, -86.2214109 39.9170932, -86.2213788 39.9169523, -86.2215173 39.91671219999998, -86.221647 39.9164874, -86.22193300000001 39.9164054, -86.22185519999999 39.9162326, -86.2217684 39.9160398, -86.2223195 39.9158912, -86.22223169999999 39.9157036, -86.2222371 39.9151708, -86.2225799 39.915079, -86.2228312 39.9150113, -86.2226301 39.9145702, -86.2224507 39.914164, -86.22280000000001 39.91394319999998, -86.2227838 39.9139116, -86.2227214 39.9137899)","(39.919395, -86.2219506)","(39.9137899, -86.2227214)"
180973101043,218,1,1039.633,"LINESTRING (-86.2219506 39.919395, -86.2215874 39.91853589999999, -86.2215116 39.9183693, -86.2209812 39.9172032, -86.2214109 39.9170932, -86.2213788 39.9169523, -86.2215173 39.91671219999998, -86.221647 39.9164874, -86.22193300000001 39.9164054, -86.22185519999999 39.9162326, -86.2217684 39.9160398, -86.2223195 39.9158912, -86.2228813 39.9157397, -86.2229662 39.9157172, -86.22417009999999 39.9154648, -86.22431690000001 39.9154254, -86.22452749999999 39.91536889999998, -86.2253994 39.9152816, -86.2254002 39.9153276, -86.22541510000001 39.91621259999999, -86.22575740000001 39.9173859, -86.2258361 39.9175527, -86.22591300000001 39.9177157)","(39.919395, -86.2219506)","(39.9177157, -86.225913)"
180973101051,187,0,2965.468,"LINESTRING (-86.25090400000001 39.9042146, -86.2504996 39.9042117, -86.25050950000001 39.9036832, -86.2505022 39.9034695, -86.250441 39.903052, -86.25032760000001 39.9026699, -86.2501384 39.9018256, -86.250139 39.900266, -86.2501379 39.899747, -86.2501376 39.8996189, -86.2501371 39.8993896, -86.2501354 39.8986158, -86.2501328 39.8975714, -86.2501324 39.8974032, -86.2501311 39.8968824, -86.25013 39.896473, -86.25010779999999 39.89604229999998, -86.2500646 39.8952059, -86.2500191 39.8943258, -86.250005 39.894053, -86.24783450000001 39.8941134, -86.247057 39.894133, -86.24705350000001 39.8936786, -86.2470484 39.8930242, -86.2470472 39.8928698, -86.2470434 39.892375, -86.247034 39.89116, -86.247034 39.889786, -86.247034 39.8893631, -86.247034 39.8886931, -86.247034 39.888614, -86.247034 39.887934, -86.24713 39.887255, -86.24738859999999 39.8869067, -86.2472657 39.8868282, -86.2473633 39.8853834, -86.2473569 39.8839385, -86.2473086 39.8839375, -86.2471504 39.8838325, -86.2469868 39.8838346, -86.2468231 39.88383670000001, -86.2468044 39.8822939, -86.24664610000001 39.88229429999998, -86.2464852 39.8822947, -86.2463162 39.8822951, -86.2464852 39.8819688, -86.2459741 39.8819817, -86.24567759999999 39.8819876, -86.24538819999999 39.8819956)","(39.9042146, -86.250904)","(39.8819956, -86.2453882)"
180973101051,188,1,3102.262,"LINESTRING (-86.25090400000001 39.9042146, -86.2504996 39.9042117, -86.25050950000001 39.9036832, -86.2505022 39.9034695, -86.250441 39.903052, -86.25032760000001 39.9026699, -86.2501384 39.9018256, -86.250139 39.900266, -86.2501379 39.899747, -86.2501376 39.8996189, -86.2501371 39.8993896, -86.2501354 39.8986158, -86.2501328 39.8975714, -86.2501324 39.8974032, -86.2475737 39.8968758, -86.24755089999999 39.8965593, -86.2467329 39.8965859, -86.2467096 39.8962026, -86.2458374 39.8952389, -86.24578510000001 39.8943618, -86.24577410000001 39.8941725, -86.24465530000001 39.8942069, -86.2440963 39.8942241, -86.24357639999999 39.894237, -86.243426 39.894222, -86.242873 39.893984, -86.242642 39.893708, -86.242344 39.893467, -86.2417475 39.8932917, -86.2419539 39.8924274, -86.2418042 39.8923967, -86.2423759 39.8902602, -86.24251390000001 39.8896879, -86.2426559 39.8890793, -86.24293830000001 39.8878698, -86.24319149999999 39.8867848, -86.24328629999999 39.8863787, -86.24350320000001 39.8854494, -86.24383760000001 39.8840165, -86.2440179 39.883187, -86.24409180000001 39.8827551)","(39.9042146, -86.250904)","(39.8827551, -86.2440918)"
180973101052,217,0,1685.873,"LINESTRING (-86.22255199999999 39.903788, -86.222441 39.90403, -86.222887 39.905065, -86.2229662 39.9051051, -86.223337 39.905293, -86.224479 39.905882, -86.2245604 39.9059284, -86.225257 39.906594, -86.2253078 39.9066493, -86.22698800000001 39.907016, -86.2269964 39.9080335, -86.227014 39.9101627, -86.2270206 39.91090679999999, -86.2269026 39.9109083, -86.2266699 39.9111608, -86.22640610000001 39.9113622, -86.2263938 39.9114834, -86.2258073 39.9115036, -86.22517190000001 39.9115247, -86.22517209999999 39.9115835, -86.2251364 39.9117176, -86.22514080000001 39.911788, -86.2252075 39.9120685, -86.22521399999999 39.912687, -86.2244353 39.9126945, -86.2244372 39.9129026, -86.2244381 39.9130033, -86.22419780000001 39.9130083, -86.22411889999999 39.91301, -86.2241222 39.91319, -86.22412559999999 39.9133722, -86.22389889999999 39.9133844, -86.2236054 39.9134204, -86.2234055 39.9134832, -86.2229971 39.9135989, -86.2226745 39.9136838, -86.2227214 39.9137899)","(39.903788, -86.222552)","(39.9137899, -86.2227214)"
180973101052,218,1,1948.818,"LINESTRING (-86.22255199999999 39.903788, -86.222441 39.90403, -86.222887 39.905065, -86.2229662 39.9051051, -86.223337 39.905293, -86.224479 39.905882, -86.2245604 39.9059284, -86.225257 39.906594, -86.2253078 39.9066493, -86.22698800000001 39.907016, -86.2269964 39.9080335, -86.227014 39.9101627, -86.2270206 39.91090679999999, -86.2269026 39.9109083, -86.2266699 39.9111608, -86.22640610000001 39.9113622, -86.2263938 39.9114834, -86.2258073 39.9115036, -86.22517190000001 39.9115247, -86.22517209999999 39.9115835, -86.2251364 39.9117176, -86.22514080000001 39.911788, -86.2252075 39.9120685, -86.22521399999999 39.912687, -86.225312 39.912686, -86.22531720000001 39.9128891, -86.2253212 39.9130424, -86.22532649999999 39.9131976, -86.2253328 39.9133865, -86.22533850000001 39.9135526, -86.22534419999999 39.9137076, -86.2253489 39.9138509, -86.22535449999999 39.9140219, -86.2253596 39.9141603, -86.2253718 39.9143189, -86.22538520000001 39.9145046, -86.2253882 39.9146945, -86.22539380000001 39.9150491, -86.22539620000001 39.9151994, -86.2253994 39.9152816, -86.2254002 39.9153276, -86.22541510000001 39.91621259999999, -86.22575740000001 39.9173859, -86.2258361 39.9175527, -86.22591300000001 39.9177157)","(39.903788, -86.222552)","(39.9177157, -86.225913)"
