cbg_id,store_id,rank,distance,geometry,Origin,Destination
60590626572,2,0,2344.938,"LINESTRING (-117.8558054 33.6390501, -117.8552186 33.6396346, -117.8553712 33.6397396, -117.8555242 33.6398448, -117.8556804 33.6399523, -117.8558212 33.6400492, -117.8552967 33.6408601, -117.8543099 33.6415493, -117.854193 33.6415966, -117.854107 33.6416405, -117.8540338 33.6416796, -117.853435 33.6419952, -117.8533013 33.64202, -117.8531399 33.6419739, -117.8529547 33.6418649, -117.8528509 33.64182979999999, -117.8526575 33.6419336, -117.852163 33.64233, -117.8521029 33.6423698, -117.8516693 33.64231640000001, -117.8515159 33.64231430000001, -117.8513521 33.6423143, -117.8511172 33.64202170000002, -117.8510339 33.6421141, -117.8492847 33.6430827, -117.8491783 33.643135, -117.849066 33.6431852, -117.8480028 33.64331660000001, -117.847421 33.6432912, -117.8471035 33.6433026, -117.8461579 33.6436683, -117.8461194 33.6436376, -117.845904 33.6438529, -117.8450426 33.6445083, -117.844975 33.6445493, -117.844488 33.6448062, -117.84419 33.644948, -117.8440945 33.64532880000002, -117.8442258 33.6456174, -117.8439536 33.6458211, -117.8438765 33.6460439, -117.8434269 33.6465511, -117.8430503 33.6465932, -117.842814 33.6465484, -117.8421466 33.6470996, -117.842082 33.6471704, -117.8417201 33.6470555, -117.8414836 33.6473119, -117.8413949 33.6474086, -117.8410411 33.6477993, -117.8408288 33.648026, -117.840676 33.6479388, -117.8406548 33.6479533, -117.8403468 33.6483054, -117.840299 33.6483602, -117.8402667 33.64839669999999, -117.8401747 33.6485015, -117.8400621 33.64863, -117.8402153 33.6487325, -117.8399052 33.6490834, -117.8396556 33.6493598, -117.8395835 33.6494266, -117.8396658 33.6493353, -117.8395225 33.6492434)","(33.6390501, -117.85580539999997)","(33.6492434, -117.8395225)"
60590626572,1,1,2923.794,"LINESTRING (-117.8558054 33.6390501, -117.8552186 33.6396346, -117.8553712 33.6397396, -117.8555242 33.6398448, -117.8556804 33.6399523, -117.8558212 33.6400492, -117.8552967 33.6408601, -117.8543099 33.6415493, -117.854193 33.6415966, -117.854107 33.6416405, -117.8540338 33.6416796, -117.853435 33.6419952, -117.8533013 33.64202, -117.8531399 33.6419739, -117.8529547 33.6418649, -117.8528509 33.64182979999999, -117.8526575 33.6419336, -117.852163 33.64233, -117.8521029 33.6423698, -117.8516693 33.64231640000001, -117.8515159 33.64231430000001, -117.8513521 33.6423143, -117.8511172 33.64202170000002, -117.8510339 33.6421141, -117.8492847 33.6430827, -117.8491783 33.643135, -117.849066 33.6431852, -117.8480028 33.64331660000001, -117.847421 33.6432912, -117.8471035 33.6433026, -117.8461579 33.6436683, -117.8461194 33.6436376, -117.845904 33.6438529, -117.8450426 33.6445083, -117.844975 33.6445493, -117.844488 33.6448062, -117.84419 33.644948, -117.8439028 33.6451133, -117.8437269 33.6449681, -117.8433158 33.6447618, -117.8431221 33.6447072, -117.8430836 33.6447022, -117.8428917 33.64471010000002, -117.842788 33.6447073, -117.8425872 33.6446714, -117.8424074 33.6446974, -117.8421665 33.6447605, -117.842121 33.6447754, -117.8415281 33.6451172, -117.8413197 33.6454055, -117.8412406 33.6455809, -117.8409565 33.6455878, -117.8406705 33.6460289, -117.8399408 33.6462532, -117.8396567 33.6462881, -117.8395467 33.6463032, -117.8394313 33.646316, -117.838468 33.6464334, -117.837603 33.6463994, -117.8373488 33.6462399, -117.83715 33.6464182, -117.8371234 33.6464772, -117.8369439 33.646564, -117.8369517 33.6465787, -117.8369094 33.6465949, -117.83688 33.6466066, -117.8368337 33.6466535, -117.836789 33.6466693, -117.8367404 33.6466864, -117.8367298 33.6468664, -117.8366979 33.6468851, -117.8363941 33.647379, -117.8363608 33.6475178, -117.8355344 33.6477069, -117.835462 33.6476897, -117.8354758 33.6477675, -117.8354869 33.6478682, -117.8354903 33.6479616, -117.8353174 33.64797740000002, -117.8351605 33.6479891, -117.8349259 33.6479911, -117.8336889 33.648235, -117.8324264 33.6485288, -117.8323498 33.6485516, -117.8322418 33.6485739, -117.8319571 33.6486396)","(33.6390501, -117.85580539999997)","(33.6486396, -117.8319571)"
60590626105,2,0,2293.885,"LINESTRING (-117.8507464 33.6657349, -117.8508235 33.6656663, -117.8509213 33.6655559, -117.8508414 33.665548, -117.8502454 33.6651054, -117.8511712 33.66413810000001, -117.8509855 33.664035, -117.8494884 33.66266769999999, -117.8483288 33.6606238, -117.8479451 33.6594914, -117.8466164 33.6566986, -117.84646 33.6564617, -117.8458301 33.6559629, -117.844794 33.655198, -117.8446863 33.6551263, -117.8445612 33.6550393, -117.8444613 33.6549682, -117.8416983 33.6512452, -117.8416337 33.65112770000002, -117.8415707 33.6509935, -117.8415073 33.65089050000001, -117.8409822 33.650246, -117.840872 33.65015, -117.8405079 33.6498707, -117.8397479 33.6493871, -117.8396658 33.6493353, -117.8395225 33.6492434)","(33.6657349, -117.8507464)","(33.6492434, -117.8395225)"
60590626105,12,1,2966.737,"LINESTRING (-117.8507464 33.6657349, -117.8508235 33.6656663, -117.8509213 33.6655559, -117.8508414 33.665548, -117.8502454 33.6651054, -117.8501759 33.6651779, -117.8492477 33.6661172, -117.8477592 33.66758259999999, -117.846828 33.6685741, -117.8467122 33.6686885, -117.8458591 33.66964240000001, -117.8457554 33.6697693, -117.8449978 33.6710592, -117.8448531 33.6709782, -117.8422711 33.6704531, -117.8411121 33.6704572, -117.8401289 33.6705014, -117.8392345 33.6705393, -117.8381294 33.6705697, -117.8372332 33.6705898, -117.8371113 33.6705925, -117.8369862 33.6705886, -117.836584 33.6706057, -117.8353005 33.670681, -117.835187 33.670617, -117.8350547 33.670622, -117.8347532 33.6706321, -117.8344072 33.6706302, -117.833577 33.670567, -117.8334664 33.6706725, -117.833386 33.6707437, -117.8314974 33.6748156, -117.8313829 33.6748596, -117.8315609 33.6756336, -117.8315768 33.6757495, -117.8315061 33.6758752, -117.831186 33.677442, -117.8313661 33.6775036, -117.8316577 33.6766692)","(33.6657349, -117.8507464)","(33.6766692, -117.8316577)"
60590626147,1,0,1965.807,"LINESTRING (-117.8314343 33.6373308, -117.831308 33.63713030000001, -117.8314401 33.6370194, -117.8314642 33.6369679, -117.8318894 33.6372126, -117.8320785 33.63712, -117.8322902 33.637038, -117.8325447 33.6369749, -117.8327192 33.6368942, -117.8330392 33.63687910000002, -117.8331402 33.6368691, -117.8335667 33.6368515, -117.8336029 33.63697989999999, -117.8336121 33.6370407, -117.8336106 33.6371038, -117.8304757 33.6390598, -117.8304558 33.6391375, -117.8304245 33.639205, -117.8303805 33.6392706, -117.8300741 33.6401787, -117.8299245 33.6410692, -117.8299445 33.6411652, -117.8297651 33.64231270000001, -117.8293337 33.6442944, -117.829329 33.6443697, -117.8293207 33.6444401, -117.829296 33.6446393, -117.8292804 33.6449263, -117.829318 33.6449291, -117.8298072 33.6451754, -117.8303183 33.6453325, -117.830426 33.6453486, -117.830402 33.645432, -117.8303679 33.6455711, -117.8307846 33.6456933, -117.8311278 33.6457273, -117.83126 33.6464222, -117.8313482 33.6466927, -117.8314365 33.6469634, -117.8314865 33.6470712, -117.8315251 33.6471125, -117.8317331 33.6477482, -117.831756 33.647813, -117.8317767 33.6478734, -117.8318418 33.6480767, -117.831936 33.6483707, -117.832168 33.6483206, -117.8321823 33.6483762, -117.8322107 33.6484869, -117.8322418 33.6485739, -117.8319571 33.6486396)","(33.6373308, -117.83143429999998)","(33.6486396, -117.8319571)"
60590626147,2,1,2083.457,"LINESTRING (-117.8314343 33.6373308, -117.831308 33.63713030000001, -117.8314401 33.6370194, -117.8314642 33.6369679, -117.8318894 33.6372126, -117.8320785 33.63712, -117.8322902 33.637038, -117.8325447 33.6369749, -117.8327192 33.6368942, -117.8330392 33.63687910000002, -117.8331402 33.6368691, -117.8335667 33.6368515, -117.8336029 33.63697989999999, -117.8336121 33.6370407, -117.8336106 33.6371038, -117.833638 33.637357, -117.8336484 33.6374223, -117.83366 33.6375012, -117.8342072 33.6380092, -117.8342739 33.6380712, -117.8343375 33.6381358, -117.8356589 33.6391744, -117.8356537 33.6392545, -117.8356476 33.639348, -117.8353668 33.63985809999998, -117.8353377 33.6399382, -117.835376 33.6399529, -117.8351147 33.6405922, -117.83506 33.6406446, -117.8360524 33.641231, -117.8361112 33.64130250000002, -117.8355331 33.64157740000001, -117.8354659 33.6416287, -117.8354149 33.6416712, -117.8354894 33.6417532, -117.8354242 33.6418029, -117.8362405 33.6427222, -117.8362787 33.6427679, -117.836347 33.6428352, -117.836442 33.642914, -117.8366876 33.6433587, -117.8366925 33.6434266, -117.8365414 33.6439861, -117.8365423 33.6440538, -117.8365443 33.6443279, -117.8365451 33.6444188, -117.8365465 33.6444423, -117.83655 33.6444984, -117.8365625 33.6446901, -117.8365762 33.6447581, -117.8366025 33.64488870000001, -117.8367048 33.64525960000002, -117.8367307 33.6453477, -117.8367442 33.6453948, -117.8367551 33.6459121, -117.8367639 33.6461045, -117.8368021 33.6464964, -117.83688 33.6466066, -117.8375186 33.647, -117.8375175 33.6470212, -117.8375081 33.6470729, -117.8377503 33.6471334, -117.8377339 33.64717120000001, -117.8377011 33.6472458, -117.8382685 33.64739440000001, -117.838256 33.6475473, -117.8381566 33.6481434, -117.8381068 33.6482078, -117.8380372 33.648302, -117.8389183 33.648746, -117.8389288 33.6488699, -117.8390311 33.6489321, -117.8390954 33.6489723, -117.8394286 33.6491838, -117.8395225 33.6492434)","(33.6373308, -117.83143429999998)","(33.6492434, -117.8395225)"
60590626553,2,0,2937.95,"LINESTRING (-117.8357438 33.6299393, -117.8364607 33.6302046, -117.8367567 33.6303346, -117.8367231 33.6307229, -117.8362457 33.630839, -117.8352175 33.6310888, -117.8352573 33.6311916, -117.8352747 33.6312678, -117.8359084 33.6331037, -117.835812 33.633132, -117.835673 33.6331734, -117.8355887 33.63320729999999, -117.835616 33.6332865, -117.835665 33.6334277, -117.835694 33.6335107, -117.8338977 33.6337651, -117.8353948 33.6339216, -117.835374 33.6350669, -117.8353984 33.6350794, -117.8354796 33.6350981, -117.8354665 33.6351668, -117.8354439 33.6352312, -117.8352359 33.636886, -117.8352703 33.6369614, -117.8352982 33.6370266, -117.8359239 33.63819560000001, -117.8359548 33.6382729, -117.8364236 33.63917, -117.836698 33.6395223, -117.8370138 33.6399231, -117.8374668 33.6410528, -117.8374793 33.6411161, -117.8374831 33.6411912, -117.8374667 33.6416245, -117.8374017 33.6419348, -117.8373047 33.6423786, -117.8373067 33.6424504, -117.8365496 33.642627, -117.8365969 33.64270350000001, -117.8366527 33.6427921, -117.8365363 33.6428593, -117.836442 33.642914, -117.8366876 33.6433587, -117.8366925 33.6434266, -117.8365414 33.6439861, -117.8365423 33.6440538, -117.8365443 33.6443279, -117.8365451 33.6444188, -117.8365465 33.6444423, -117.83655 33.6444984, -117.8365625 33.6446901, -117.8365762 33.6447581, -117.8366025 33.64488870000001, -117.8367048 33.64525960000002, -117.8367307 33.6453477, -117.8367442 33.6453948, -117.8367551 33.6459121, -117.8367639 33.6461045, -117.8368021 33.6464964, -117.83688 33.6466066, -117.8375186 33.647, -117.8375175 33.6470212, -117.8375081 33.6470729, -117.8377503 33.6471334, -117.8377339 33.64717120000001, -117.8377011 33.6472458, -117.8382685 33.64739440000001, -117.838256 33.6475473, -117.8381566 33.6481434, -117.8381068 33.6482078, -117.8380372 33.648302, -117.8389183 33.648746, -117.8389288 33.6488699, -117.8390311 33.6489321, -117.8390954 33.6489723, -117.8394286 33.6491838, -117.8395225 33.6492434)","(33.6299393, -117.83574379999999)","(33.6492434, -117.8395225)"
60590626553,1,1,2952.203,"LINESTRING (-117.8357438 33.6299393, -117.8364607 33.6302046, -117.8367567 33.6303346, -117.8367231 33.6307229, -117.8362457 33.630839, -117.8352175 33.6310888, -117.8352573 33.6311916, -117.8352747 33.6312678, -117.8359084 33.6331037, -117.835812 33.633132, -117.835673 33.6331734, -117.8355887 33.63320729999999, -117.835616 33.6332865, -117.835665 33.6334277, -117.835694 33.6335107, -117.8338977 33.6337651, -117.8353948 33.6339216, -117.835374 33.6350669, -117.8353984 33.6350794, -117.8354796 33.6350981, -117.8354665 33.6351668, -117.8354439 33.6352312, -117.8352359 33.636886, -117.8352703 33.6369614, -117.8352982 33.6370266, -117.8359239 33.63819560000001, -117.8359548 33.6382729, -117.8364236 33.63917, -117.836698 33.6395223, -117.8370138 33.6399231, -117.8374668 33.6410528, -117.8374793 33.6411161, -117.8374831 33.6411912, -117.8374667 33.6416245, -117.8374017 33.6419348, -117.8373047 33.6423786, -117.8372438 33.6423699, -117.8365893 33.6425212, -117.8364993 33.6425543, -117.8364225 33.6426017, -117.8363146 33.642668, -117.8362405 33.6427222, -117.8356317 33.6433316, -117.835597 33.6434021, -117.8355588 33.64346960000001, -117.8351348 33.6453538, -117.8351153 33.645498, -117.8350517 33.6459053, -117.8350588 33.6459754, -117.8350641 33.64608040000001, -117.83506 33.6461553, -117.8350877 33.6461918, -117.8351481 33.6475743, -117.8351343 33.6477084, -117.8351406 33.6477867, -117.8351482 33.6478895, -117.8351605 33.6479891, -117.8349259 33.6479911, -117.8336889 33.648235, -117.8324264 33.6485288, -117.8323498 33.6485516, -117.8322418 33.6485739, -117.8319571 33.6486396)","(33.6299393, -117.83574379999999)","(33.6486396, -117.8319571)"
60590626551,1,0,3250.369,"LINESTRING (-117.824462 33.6299966, -117.8266086 33.631738, -117.8266856 33.6318182, -117.8268001 33.63175239999999, -117.8275683 33.6315913, -117.828482 33.6315482, -117.828488 33.631632, -117.8304654 33.6315401, -117.8305556 33.6315471, -117.8307164 33.6336052, -117.8308553 33.6336006, -117.8309678 33.6335974, -117.8309736 33.6336849, -117.8309802 33.6338178, -117.8309647 33.6339147, -117.8308964 33.6351231, -117.8308915 33.6351429, -117.830893 33.63522119999999, -117.8308239 33.635221, -117.8308237 33.6352903, -117.8308199 33.6355232, -117.8308828 33.6359318, -117.8285128 33.6359973, -117.828003 33.63606160000001, -117.8280195 33.6361469, -117.8302805 33.6389489, -117.8302405 33.6390192, -117.830209 33.6390827, -117.8301825 33.6391599, -117.830235 33.639195, -117.8298138 33.6410558, -117.8298874 33.6410655, -117.8299245 33.6410692, -117.8299445 33.6411652, -117.8297651 33.64231270000001, -117.8293337 33.6442944, -117.829329 33.6443697, -117.8293207 33.6444401, -117.829296 33.6446393, -117.8292804 33.6449263, -117.829318 33.6449291, -117.8298072 33.6451754, -117.8303183 33.6453325, -117.830426 33.6453486, -117.830402 33.645432, -117.8303679 33.6455711, -117.8307846 33.6456933, -117.8311278 33.6457273, -117.83126 33.6464222, -117.8313482 33.6466927, -117.8314365 33.6469634, -117.8314865 33.6470712, -117.8315251 33.6471125, -117.8317331 33.6477482, -117.831756 33.647813, -117.8317767 33.6478734, -117.8318418 33.6480767, -117.831936 33.6483707, -117.832168 33.6483206, -117.8321823 33.6483762, -117.8322107 33.6484869, -117.8322418 33.6485739, -117.8319571 33.6486396)","(33.6299966, -117.824462)","(33.6486396, -117.8319571)"
60590626551,2,1,3401.597,"LINESTRING (-117.824462 33.6299966, -117.8266086 33.631738, -117.8266856 33.6318182, -117.8268001 33.63175239999999, -117.8275683 33.6315913, -117.828482 33.6315482, -117.828488 33.631632, -117.8304654 33.6315401, -117.8305556 33.6315471, -117.8307164 33.6336052, -117.8308553 33.6336006, -117.8309678 33.6335974, -117.8309736 33.6336849, -117.8309802 33.6338178, -117.8309647 33.6339147, -117.8308964 33.6351231, -117.8308915 33.6351429, -117.830893 33.63522119999999, -117.8309012 33.6352837, -117.8313205 33.63529350000001, -117.8318021 33.6353699, -117.8318465 33.6353584, -117.8318665 33.6354016, -117.8326705 33.6355637, -117.8327919 33.6360975, -117.8328271 33.6361338, -117.8328575 33.63619770000001, -117.8328868 33.6362592, -117.8330218 33.6364753, -117.8331211 33.6368293, -117.8331402 33.6368691, -117.8335667 33.6368515, -117.8336029 33.63697989999999, -117.8336121 33.6370407, -117.8336106 33.6371038, -117.833638 33.637357, -117.8336484 33.6374223, -117.83366 33.6375012, -117.8342072 33.6380092, -117.8342739 33.6380712, -117.8343375 33.6381358, -117.8356589 33.6391744, -117.8356537 33.6392545, -117.8356476 33.639348, -117.8353668 33.63985809999998, -117.8353377 33.6399382, -117.835376 33.6399529, -117.8351147 33.6405922, -117.83506 33.6406446, -117.8360524 33.641231, -117.8361112 33.64130250000002, -117.8355331 33.64157740000001, -117.8354659 33.6416287, -117.8354149 33.6416712, -117.8354894 33.6417532, -117.8354242 33.6418029, -117.8362405 33.6427222, -117.8362787 33.6427679, -117.836347 33.6428352, -117.836442 33.642914, -117.8366876 33.6433587, -117.8366925 33.6434266, -117.8365414 33.6439861, -117.8365423 33.6440538, -117.8365443 33.6443279, -117.8365451 33.6444188, -117.8365465 33.6444423, -117.83655 33.6444984, -117.8365625 33.6446901, -117.8365762 33.6447581, -117.8366025 33.64488870000001, -117.8367048 33.64525960000002, -117.8367307 33.6453477, -117.8367442 33.6453948, -117.8367551 33.6459121, -117.8367639 33.6461045, -117.8368021 33.6464964, -117.83688 33.6466066, -117.8375186 33.647, -117.8375175 33.6470212, -117.8375081 33.6470729, -117.8377503 33.6471334, -117.8377339 33.64717120000001, -117.8377011 33.6472458, -117.8382685 33.64739440000001, -117.838256 33.6475473, -117.8381566 33.6481434, -117.8381068 33.6482078, -117.8380372 33.648302, -117.8389183 33.648746, -117.8389288 33.6488699, -117.8390311 33.6489321, -117.8390954 33.6489723, -117.8394286 33.6491838, -117.8395225 33.6492434)","(33.6299966, -117.824462)","(33.6492434, -117.8395225)"
