cbg_id,store_id,rank,distance,geometry,Origin,Destination
481130141443,31,0,2484.88,"LINESTRING (-96.93969130000001 32.8864662, -96.939716 32.8864, -96.9397499 32.8863093, -96.93988710000001 32.8861025, -96.94063670000001 32.8860927, -96.94070120000001 32.8860805, -96.94073090000001 32.88614209999999, -96.9421608 32.8878275, -96.9425356 32.88820019999999, -96.9427079 32.8883691, -96.9443524 32.889554, -96.947041 32.89047, -96.947267 32.890703, -96.9474012 32.890853, -96.948449 32.8920185, -96.94871480000002 32.89228849999999, -96.9487915 32.8923547, -96.9490114 32.8925555, -96.95126260000001 32.8954268, -96.9512874 32.8957402, -96.95130159999999 32.8959153, -96.9521562 32.8959178, -96.95272509999998 32.8959298, -96.95495320000002 32.8959161, -96.95535270000001 32.8959136, -96.9554407 32.895913, -96.95682389999999 32.8959202, -96.95874390000002 32.8959302, -96.95874240000001 32.8959854, -96.9589258 32.8959874, -96.9591016 32.8960176, -96.9590575 32.8965602, -96.95906530000001 32.8967037)","(32.8864662, -96.9396913)","(32.8967037, -96.9590653)"
481130141443,32,1,3685.081,"LINESTRING (-96.93969130000001 32.8864662, -96.939716 32.8864, -96.9397499 32.8863093, -96.93988710000001 32.8861025, -96.94063670000001 32.8860927, -96.94070120000001 32.8860805, -96.94073090000001 32.88614209999999, -96.9421608 32.8878275, -96.9425356 32.88820019999999, -96.9427079 32.8883691, -96.9443524 32.889554, -96.947041 32.89047, -96.947267 32.890703, -96.9474012 32.890853, -96.948449 32.8920185, -96.94871480000002 32.89228849999999, -96.9487915 32.8923547, -96.9490114 32.8925555, -96.95126260000001 32.8954268, -96.9512874 32.8957402, -96.95130159999999 32.8959153, -96.951345 32.896268, -96.95146889999999 32.89727029999999, -96.9519284 32.89809609999999, -96.9523324 32.8984868, -96.9526407 32.89875640000001, -96.95356219999999 32.9000505, -96.953585 32.9001434, -96.95420249999999 32.9001489, -96.95447849999999 32.900146, -96.9550222 32.9001063, -96.95565040000001 32.900107, -96.95659620000001 32.90010860000001, -96.95659790000001 32.9003455, -96.9570404 32.90035369999999, -96.9574501 32.90035240000001, -96.9575124 32.9003535, -96.9577486 32.9003584, -96.9577486 32.9005207, -96.95774859999999 32.9009041, -96.95776170000001 32.9015841, -96.9579351 32.9016318, -96.95814540000001 32.9016332, -96.9583083 32.9016342, -96.95830359999999 32.9020519, -96.95830359999999 32.9021672, -96.9585881 32.9021684, -96.9586766 32.9021694, -96.9586759 32.9022127, -96.95866289999999 32.90389490000002, -96.9586585 32.9051468, -96.9586552 32.9054551, -96.9586496 32.9057845, -96.9586391 32.9063283, -96.9586353 32.9065211, -96.95862270000001 32.9070161, -96.9586213 32.9071111, -96.9586182 32.9079096, -96.9586189 32.9084114, -96.9586199 32.9089186, -96.95861810000001 32.9090142, -96.9588251 32.9090175)","(32.8864662, -96.9396913)","(32.9090175, -96.9588251)"
481130141243,36,0,3657.582,"LINESTRING (-96.99206210000001 32.9157236, -96.9928443 32.9157272, -96.9928439 32.9155504, -96.9928436 32.91541229999999, -96.99236519999998 32.9153055, -96.9916516 32.9153099, -96.99145660000001 32.9154253, -96.99185660000001 32.9159275, -96.99152080000002 32.9159316, -96.98953229999999 32.915916, -96.9895312 32.9166213, -96.9887143 32.916614, -96.9880193 32.9163938, -96.9875725 32.9169732, -96.9870677 32.9177123, -96.9866064 32.9183899, -96.986569 32.9184449, -96.9862079 32.9190028, -96.9859488 32.9195392, -96.9859043 32.9196579, -96.985816 32.9198723, -96.9854069 32.9204723, -96.9852717 32.9207183, -96.98503580000001 32.9208549, -96.983278 32.9204735, -96.98181339999999 32.9201521, -96.9805721 32.9198741, -96.98019480000001 32.9197893, -96.9795405 32.9196422, -96.9769493 32.9190545, -96.97646020000001 32.9189417, -96.9747448 32.9185332, -96.9746564 32.9205776, -96.974637 32.9206373, -96.9746064 32.9207234, -96.9744567 32.9207206, -96.9741801 32.9207521, -96.97140159999999 32.9191796, -96.97131640000001 32.9190904, -96.9710911 32.9190462, -96.9709249 32.9196725, -96.9707496 32.9196222, -96.97041179999999 32.9195588, -96.9702667 32.9195226, -96.9701803 32.9197199, -96.96949030000002 32.9195376, -96.96895120000001 32.9194144, -96.9685971 32.9193367, -96.9685109 32.9193174, -96.96816920000001 32.9192407, -96.967786 32.91915469999999)","(32.9157236, -96.99206210000001)","(32.919154699999986, -96.967786)"
481130141243,34,1,3901.158,"LINESTRING (-96.99206210000001 32.9157236, -96.9928443 32.9157272, -96.9928439 32.9155504, -96.9928436 32.91541229999999, -96.99236519999998 32.9153055, -96.9916516 32.9153099, -96.99145660000001 32.9154253, -96.9913234 32.915292, -96.9908686 32.9150594, -96.9906762 32.9149617, -96.9898165 32.9145253, -96.9894699 32.9143449, -96.98858799999999 32.91395, -96.98845009999999 32.91413750000001, -96.9882333 32.9144326, -96.98815190000001 32.9145497, -96.98796729999999 32.914815, -96.9875857 32.9146331, -96.9871953 32.9144782, -96.9865499 32.9141742, -96.98646669999999 32.9142938, -96.9860614 32.9148108, -96.985755 32.915101, -96.9851989 32.9154866, -96.9849869 32.9156328, -96.9844882 32.9159736, -96.98429590000001 32.916105, -96.98409100000001 32.916245, -96.98391970000002 32.9160658, -96.9832854 32.9154264, -96.98294660000001 32.9150984, -96.98280130000001 32.9149579, -96.982696 32.9148528, -96.9813608 32.9157066, -96.98015599999999 32.9161962, -96.9800019 32.916235, -96.97990540000001 32.9162581, -96.979074 32.916424, -96.9779207 32.9164941, -96.9769703 32.9165292, -96.97670069999998 32.9165392, -96.9756332 32.916584, -96.9755285 32.9165861, -96.9706023 32.9158258, -96.97054900000001 32.9159689, -96.9703986 32.9164917, -96.9702164 32.9170281, -96.9696756 32.9173792, -96.9688445 32.9171729, -96.9680615 32.9169786, -96.9630976 32.915542, -96.96266679999999 32.9154319, -96.9617643 32.91523750000001, -96.9612521 32.91512680000001, -96.96051060000001 32.9149764, -96.960077 32.9148903, -96.9594578 32.914769, -96.9590975 32.9147011, -96.9588632 32.9145157, -96.9588613 32.9139275, -96.9588658 32.91380989999998)","(32.9157236, -96.99206210000001)","(32.91380989999998, -96.9588658)"
481130141411,38,0,728.878,"LINESTRING (-96.95041399999999 32.937832, -96.94987399999999 32.937832, -96.94948450000001 32.9378222, -96.948251 32.939014, -96.94814719999999 32.9390961, -96.94922800000001 32.939997, -96.950671 32.940506, -96.95192480000001 32.9405172, -96.95199599999999 32.940519, -96.9519961 32.94056839999999, -96.9519964 32.9408556)","(32.937832, -96.950414)","(32.9408556, -96.9519964)"
481130141411,37,1,893.796,"LINESTRING (-96.95041399999999 32.937832, -96.94987399999999 32.937832, -96.94948450000001 32.9378222, -96.94953 32.9376505, -96.94957920000002 32.9369637, -96.9495926 32.9358312, -96.9498871 32.935835, -96.950459 32.9358396, -96.95101219999999 32.935844, -96.9513311 32.9358466, -96.95154719999999 32.9358483, -96.9519552 32.9358516, -96.95203909999999 32.9358523, -96.95221549999999 32.9358542, -96.9522166 32.93578, -96.9522346 32.934219, -96.9522363 32.93383, -96.9522377 32.9335091, -96.9522399 32.9330181, -96.95204680000001 32.9330185, -96.95197520000001 32.9330186)","(32.937832, -96.950414)","(32.9330186, -96.9519752)"
481130100032,3,0,8615.747,"LINESTRING (-96.902689 32.7963681, -96.9041747 32.79591, -96.9135976 32.7831683, -96.917691 32.7825808, -96.91838789999998 32.7823269, -96.92074030000001 32.7817093, -96.9244908 32.77925789999998, -96.9247378 32.7786583, -96.9228875 32.7786416, -96.92206179999999 32.7786341, -96.92188779999999 32.7786316, -96.92155510000001 32.7786269, -96.9215177 32.7786264, -96.92066979999998 32.7786145, -96.9200998 32.7786065, -96.9195611 32.778599, -96.9191031 32.7785925, -96.91857210000001 32.7785851, -96.9182019 32.7785799, -96.91806099999999 32.7785779, -96.91796669999999 32.77857779999999, -96.917906 32.7787069, -96.91648360000001 32.7786685, -96.9165146 32.7787977, -96.91755089999999 32.7813732, -96.92085299999999 32.796066, -96.9210374 32.7988004, -96.92109960000001 32.7994866, -96.9211119 32.7996444, -96.92114460000001 32.8001169, -96.9209512 32.8012094, -96.92096890000001 32.801484, -96.9202549 32.8015028, -96.9206236 32.8026133, -96.92064670000001 32.8027983, -96.9206454 32.8030829, -96.92064360000001 32.8034911, -96.9206401 32.8042479, -96.9206344 32.8055163, -96.920633 32.805818, -96.92060600000001 32.80608070000001, -96.92060619999999 32.8060863, -96.9225117 32.806923, -96.92267740000001 32.8069859, -96.92314399999999 32.807135, -96.9242014 32.8074869, -96.924509 32.807575, -96.925641 32.807854, -96.9261618 32.8079704, -96.9264421 32.8080331, -96.92686879999999 32.8081294, -96.9270243 32.8084233, -96.92713430000001 32.8085382, -96.9275071 32.8084751, -96.9277506 32.8084752, -96.92839499999999 32.8086496, -96.9288897 32.808888, -96.9292241 32.8090562, -96.92979099999999 32.80934, -96.930707 32.8098029, -96.93170790000002 32.81031320000001, -96.93310430000001 32.8110052, -96.93335279999999 32.811129, -96.9336759 32.8112896, -96.93431230000002 32.8116013, -96.93443499999999 32.81166140000001, -96.9344318 32.811753, -96.93454029999998 32.8118067, -96.9345738 32.8118487, -96.934606 32.811889)","(32.7963681, -96.902689)","(32.811889, -96.934606)"
481130100032,2,1,8660.233,"LINESTRING (-96.902689 32.7963681, -96.9041747 32.79591, -96.9135976 32.7831683, -96.917691 32.7825808, -96.91838789999998 32.7823269, -96.92074030000001 32.7817093, -96.9244908 32.77925789999998, -96.9247378 32.7786583, -96.9228875 32.7786416, -96.92206179999999 32.7786341, -96.92188779999999 32.7786316, -96.92155510000001 32.7786269, -96.9215177 32.7786264, -96.92066979999998 32.7786145, -96.9200998 32.7786065, -96.9195611 32.778599, -96.9191031 32.7785925, -96.91857210000001 32.7785851, -96.9182019 32.7785799, -96.91806099999999 32.7785779, -96.91796669999999 32.77857779999999, -96.917906 32.7787069, -96.91648360000001 32.7786685, -96.9165146 32.7787977, -96.91755089999999 32.7813732, -96.92085299999999 32.796066, -96.9210374 32.7988004, -96.92109960000001 32.7994866, -96.9211119 32.7996444, -96.92114460000001 32.8001169, -96.9209512 32.8012094, -96.92096890000001 32.801484, -96.9202549 32.8015028, -96.9206236 32.8026133, -96.92064670000001 32.8027983, -96.9206454 32.8030829, -96.92064360000001 32.8034911, -96.9206401 32.8042479, -96.9206344 32.8055163, -96.920633 32.805818, -96.92060600000001 32.80608070000001, -96.92060619999999 32.8060863, -96.9225117 32.806923, -96.92267740000001 32.8069859, -96.92314399999999 32.807135, -96.9242014 32.8074869, -96.924509 32.807575, -96.925641 32.807854, -96.9261618 32.8079704, -96.9264421 32.8080331, -96.92686879999999 32.8081294, -96.9270243 32.8084233, -96.92713430000001 32.8085382, -96.9275071 32.8084751, -96.9277506 32.8084752, -96.92839499999999 32.8086496, -96.9288897 32.808888, -96.9292241 32.8090562, -96.92979099999999 32.80934, -96.930707 32.8098029, -96.93170790000002 32.81031320000001, -96.93310430000001 32.8110052, -96.93335279999999 32.811129, -96.9336759 32.8112896, -96.93431230000002 32.8116013, -96.93443499999999 32.81166140000001, -96.9345671 32.81172680000001, -96.93470790000001 32.8117965, -96.93503870000001 32.8119603, -96.93510120000001 32.8118662)","(32.7963681, -96.902689)","(32.8118662, -96.9351012)"
481130141612,29,0,2128.153,"LINESTRING (-97.0079976 32.8627645, -97.00783060000001 32.8625763, -97.0099914 32.8608297, -97.010891 32.860092, -97.0114763 32.8596113, -97.0132188 32.8579695, -97.0136028 32.857557, -97.0139106 32.8572121, -97.0139707 32.8571446, -97.01407829999999 32.8570152, -97.01215259999999 32.8570059, -97.01201519999999 32.8570053, -97.0115629 32.8570022, -97.010518 32.8569952, -97.00930870000001 32.8569871, -97.00887280000001 32.8569841, -97.00833969999999 32.8569806, -97.0080229 32.8569784, -97.0079096 32.8569789, -97.00687240000001 32.8569653, -97.006378 32.8569637, -97.0057374 32.8569617, -97.005571 32.8569612, -97.0052652 32.8569602, -97.004932 32.8569592, -97.0040881 32.8569565, -97.0038601 32.8569558, -97.00364999999999 32.8569551, -97.0023865 32.8569469, -97.0017064 32.8569424, -97.00170380000002 32.8570875, -97.0025421 32.8570929)","(32.8627645, -97.0079976)","(32.8570929, -97.0025421)"
481130141612,28,1,2926.477,"LINESTRING (-97.0079976 32.8627645, -97.00799000000001 32.8637024, -97.0079849 32.864331, -97.007966 32.8653804, -97.0079614 32.8656344, -97.00759690000001 32.8656367, -97.00610059999998 32.8655494, -97.005696 32.86544770000001, -97.00515230000001 32.8659846, -97.005107 32.866159, -97.0041942 32.8660792, -97.0037603 32.8660362, -97.001879 32.865693, -97.000787 32.865454, -96.999291 32.865302, -96.999182 32.8652897, -96.99893220000001 32.8652782, -96.9977347 32.8653335, -96.9977221 32.8645831, -96.9968552 32.8645809, -96.99643810000001 32.8645799, -96.996444 32.8642544, -96.9964501 32.863682, -96.9964516 32.86327879999999, -96.9964562 32.86307750000001, -96.9964623 32.8626787, -96.99646610000001 32.8625864, -96.9964676 32.8620726, -96.99646559999999 32.8619029, -96.9964421 32.8612631, -96.9963399 32.8609007, -96.99632540000002 32.8605229, -96.9964341 32.8593739, -96.99645560000002 32.859259, -96.9964579 32.8587882, -96.9964611 32.8581477, -96.9964614 32.85809, -96.9964622 32.8579409, -96.9962249 32.8579412, -96.9953288 32.8574568, -96.9952481 32.8570666, -96.99524529999999 32.8569104, -96.9943857 32.8569089, -96.9943311 32.8569089, -96.9941579 32.8569089, -96.99373129999999 32.8569089, -96.9932608 32.8569052, -96.99326189999999 32.8566395, -96.9932664 32.8564797, -96.993268 32.8564208, -96.99327460000001 32.8561866, -96.9931345 32.8560592, -96.9929051 32.8560546, -96.99257900000001 32.856048, -96.9925764 32.85577449999999, -96.9925741 32.8555304, -96.9922274 32.8555227)","(32.8627645, -97.0079976)","(32.8555227, -96.9922274)"
