cbg_id,store_id,rank,distance,geometry,Origin,Destination
120310001011,172,0,1479.303,"LINESTRING (-81.64065100000001 30.376499, -81.6410087 30.3765174, -81.64190259999999 30.3765055, -81.6454573 30.3764747, -81.6504496 30.3764221, -81.6510296 30.3764158, -81.65110540000001 30.375759, -81.6511118 30.3755885, -81.65111829999999 30.3754938, -81.6511197 30.3754381, -81.65118630000001 30.3754415, -81.6513322 30.375453, -81.651405 30.3754592, -81.6525697 30.37555860000001, -81.6528122 30.3755794, -81.6532705 30.3756188, -81.65391750000001 30.3756742, -81.6545086 30.3757215, -81.6549898 30.3757548)","(30.376499, -81.640651)","(30.3757548, -81.6549898)"
120310001011,171,1,1994.015,"LINESTRING (-81.64065100000001 30.376499, -81.6410087 30.3765174, -81.64190259999999 30.3765055, -81.6454573 30.3764747, -81.6504496 30.3764221, -81.6510296 30.3764158, -81.65110540000001 30.375759, -81.6511118 30.3755885, -81.65111829999999 30.3754938, -81.6511197 30.3754381, -81.65118630000001 30.3754415, -81.6513322 30.375453, -81.65133520000001 30.3753809, -81.6514251 30.3733577, -81.65143759999999 30.3730299, -81.6514454 30.3728267, -81.6515246 30.3728185, -81.6516683 30.3728037, -81.6517178 30.3727986, -81.65192399999999 30.3727772, -81.6519263 30.37271349999999, -81.6547892 30.3726824, -81.65478659999999 30.3726183, -81.654839 30.372618, -81.656524 30.372605, -81.6566057 30.3726042, -81.65673150000001 30.3726064, -81.6568233 30.3726089, -81.65688369999999 30.3726125, -81.656879 30.3724456, -81.6568754 30.3722706)","(30.376499, -81.640651)","(30.3722706, -81.6568754)"
120310001012,172,0,1933.276,"LINESTRING (-81.64783799999999 30.3895698, -81.6481489 30.3884169, -81.648259 30.3879981, -81.6484537 30.3872571, -81.648546 30.386906, -81.6486913 30.386362, -81.6488734 30.385685, -81.6489449 30.3854185, -81.6490603 30.3849789, -81.6490816 30.3848997, -81.6491011 30.384826, -81.6494513 30.3835001, -81.64947170000001 30.383423, -81.6496569 30.3827319, -81.6497442 30.3824062, -81.64999539999999 30.3814586, -81.6501672 30.38081219999999, -81.6502098 30.3806518, -81.6502615 30.3804562, -81.6503642 30.3800677, -81.65043450000002 30.379802, -81.6504898 30.3795928, -81.6505269 30.3794527, -81.6505523 30.3793683, -81.6505956 30.3791929, -81.6506428 30.3790145, -81.6507349 30.3786735, -81.6507994 30.3784345, -81.65089570000001 30.3780778, -81.65096629999999 30.37807919999999, -81.65104460000001 30.3777898, -81.6511986 30.3772165, -81.6525309 30.3770928, -81.65326709999999 30.3770789, -81.6532687 30.3769, -81.6532703 30.3767264, -81.6532718 30.3765585, -81.6532733 30.3763894, -81.65327480000001 30.3762176, -81.6532735 30.3760358, -81.6544653 30.3760249, -81.6544652 30.3759131, -81.6545086 30.3757215, -81.6549898 30.3757548)","(30.3895698, -81.647838)","(30.3757548, -81.6549898)"
120310001012,171,1,2474.348,"LINESTRING (-81.64783799999999 30.3895698, -81.6481489 30.3884169, -81.648259 30.3879981, -81.6484537 30.3872571, -81.648546 30.386906, -81.6486913 30.386362, -81.6488734 30.385685, -81.6489449 30.3854185, -81.6490603 30.3849789, -81.6490816 30.3848997, -81.6491011 30.384826, -81.6494513 30.3835001, -81.64947170000001 30.383423, -81.6496569 30.3827319, -81.6497442 30.3824062, -81.64999539999999 30.3814586, -81.6501672 30.38081219999999, -81.6502098 30.3806518, -81.6502615 30.3804562, -81.6503642 30.3800677, -81.65043450000002 30.379802, -81.6504898 30.3795928, -81.6505269 30.3794527, -81.6505523 30.3793683, -81.6505956 30.3791929, -81.6506428 30.3790145, -81.6507349 30.3786735, -81.6507994 30.3784345, -81.65089570000001 30.3780778, -81.65097350000001 30.377785, -81.65112860000001 30.37721040000001, -81.651279 30.3765879, -81.6512934 30.3764103, -81.65132920000001 30.3755259, -81.6513322 30.375453, -81.65133520000001 30.3753809, -81.6514251 30.3733577, -81.65143759999999 30.3730299, -81.6514454 30.3728267, -81.6515246 30.3728185, -81.6516683 30.3728037, -81.6517178 30.3727986, -81.65192399999999 30.3727772, -81.6519263 30.37271349999999, -81.6547892 30.3726824, -81.65478659999999 30.3726183, -81.654839 30.372618, -81.656524 30.372605, -81.6566057 30.3726042, -81.65673150000001 30.3726064, -81.6568233 30.3726089, -81.65688369999999 30.3726125, -81.656879 30.3724456, -81.6568754 30.3722706)","(30.3895698, -81.647838)","(30.3722706, -81.6568754)"
120310001021,172,0,2115.822,"LINESTRING (-81.6454086 30.3822633, -81.64504100000001 30.382229, -81.64494000000001 30.383032, -81.6456823 30.3838378, -81.6456239 30.3842959, -81.6454786 30.3848321, -81.6455308 30.3848334, -81.6462057 30.3848296, -81.64623659999999 30.3848294, -81.6462623 30.3848306, -81.6471635 30.3848217, -81.64721539999999 30.3848209, -81.6480037 30.3848164, -81.64820940000001 30.3848162, -81.6483959 30.38481349999999, -81.6487279 30.384811, -81.64888569999999 30.3848044, -81.64895490000001 30.3848114, -81.6491011 30.384826, -81.6494513 30.3835001, -81.64947170000001 30.383423, -81.6496569 30.3827319, -81.6497442 30.3824062, -81.64999539999999 30.3814586, -81.6501672 30.38081219999999, -81.6502098 30.3806518, -81.6502615 30.3804562, -81.6503642 30.3800677, -81.65043450000002 30.379802, -81.6504898 30.3795928, -81.6505269 30.3794527, -81.6505523 30.3793683, -81.6505956 30.3791929, -81.6506428 30.3790145, -81.6507349 30.3786735, -81.6507994 30.3784345, -81.65089570000001 30.3780778, -81.65096629999999 30.37807919999999, -81.65104460000001 30.3777898, -81.6511986 30.3772165, -81.6525309 30.3770928, -81.65326709999999 30.3770789, -81.6532687 30.3769, -81.6532703 30.3767264, -81.6532718 30.3765585, -81.6532733 30.3763894, -81.65327480000001 30.3762176, -81.6532735 30.3760358, -81.6544653 30.3760249, -81.6544652 30.3759131, -81.6545086 30.3757215, -81.6549898 30.3757548)","(30.3822633, -81.6454086)","(30.3757548, -81.6549898)"
120310001021,171,1,2656.894,"LINESTRING (-81.6454086 30.3822633, -81.64504100000001 30.382229, -81.64494000000001 30.383032, -81.6456823 30.3838378, -81.6456239 30.3842959, -81.6454786 30.3848321, -81.6455308 30.3848334, -81.6462057 30.3848296, -81.64623659999999 30.3848294, -81.6462623 30.3848306, -81.6471635 30.3848217, -81.64721539999999 30.3848209, -81.6480037 30.3848164, -81.64820940000001 30.3848162, -81.6483959 30.38481349999999, -81.6487279 30.384811, -81.64888569999999 30.3848044, -81.64895490000001 30.3848114, -81.6491011 30.384826, -81.6494513 30.3835001, -81.64947170000001 30.383423, -81.6496569 30.3827319, -81.6497442 30.3824062, -81.64999539999999 30.3814586, -81.6501672 30.38081219999999, -81.6502098 30.3806518, -81.6502615 30.3804562, -81.6503642 30.3800677, -81.65043450000002 30.379802, -81.6504898 30.3795928, -81.6505269 30.3794527, -81.6505523 30.3793683, -81.6505956 30.3791929, -81.6506428 30.3790145, -81.6507349 30.3786735, -81.6507994 30.3784345, -81.65089570000001 30.3780778, -81.65097350000001 30.377785, -81.65112860000001 30.37721040000001, -81.651279 30.3765879, -81.6512934 30.3764103, -81.65132920000001 30.3755259, -81.6513322 30.375453, -81.65133520000001 30.3753809, -81.6514251 30.3733577, -81.65143759999999 30.3730299, -81.6514454 30.3728267, -81.6515246 30.3728185, -81.6516683 30.3728037, -81.6517178 30.3727986, -81.65192399999999 30.3727772, -81.6519263 30.37271349999999, -81.6547892 30.3726824, -81.65478659999999 30.3726183, -81.654839 30.372618, -81.656524 30.372605, -81.6566057 30.3726042, -81.65673150000001 30.3726064, -81.6568233 30.3726089, -81.65688369999999 30.3726125, -81.656879 30.3724456, -81.6568754 30.3722706)","(30.3822633, -81.6454086)","(30.3722706, -81.6568754)"
120310001022,172,0,103.258,"LINESTRING (-81.65391750000001 30.3756742, -81.6545086 30.3757215, -81.6549898 30.3757548)","(30.3756742, -81.6539175)","(30.3757548, -81.6549898)"
120310001022,171,1,673.416,"LINESTRING (-81.65391750000001 30.3756742, -81.6545086 30.3757215, -81.6549898 30.3757548, -81.6554486 30.3758032, -81.655486 30.375807, -81.65554640000001 30.3757342, -81.65558299999999 30.3756826, -81.6557098 30.3752438, -81.65570940000001 30.3745207, -81.65570940000001 30.3744555, -81.6559003 30.37445460000001, -81.656544 30.3744482, -81.6565428 30.3743915, -81.6565306 30.3733975, -81.6565293 30.3733187, -81.6566144 30.3733185, -81.65673769999999 30.3733183, -81.65673649999999 30.3731781, -81.6568274 30.373178, -81.6568228 30.3726963, -81.6568233 30.3726089, -81.65688369999999 30.3726125, -81.656879 30.3724456, -81.6568754 30.3722706)","(30.3756742, -81.6539175)","(30.3722706, -81.6568754)"
120310002001,158,0,2851.147,"LINESTRING (-81.6278817 30.3640539, -81.62756170000002 30.3626915, -81.627653 30.3626901, -81.6301787 30.3626515, -81.6327991 30.3626114, -81.6328032 30.3625689, -81.63278270000001 30.3619697, -81.6327812 30.3619349, -81.6327666 30.3613575, -81.63276310000001 30.3612804, -81.6327603 30.3612255, -81.6327553 30.3608493, -81.63275280000001 30.3606615, -81.63275109999999 30.3606149, -81.63274440000001 30.3603686, -81.6327416 30.3602563, -81.6327288 30.3597435, -81.6327254 30.3596666, -81.63272259999999 30.3596196, -81.6327218 30.3595902, -81.6327071 30.3589984, -81.63270679999999 30.35892360000001, -81.63270420000001 30.3588485, -81.6326924 30.35817929999999, -81.6327476 30.3581787, -81.632745 30.3576404, -81.6327534 30.357546, -81.6341451 30.3575217, -81.635519 30.3575337, -81.63717930000001 30.3574954, -81.6373179 30.3574193, -81.6373547 30.3573839, -81.63876019999999 30.356627, -81.64080730000001 30.3565703, -81.64110340000001 30.3565699, -81.6411756 30.3565698, -81.64116490000001 30.3560385, -81.6411638 30.3559667, -81.64115870000001 30.355651, -81.6411478 30.3549632, -81.64113690000001 30.354281, -81.64113159999999 30.353946, -81.6411256 30.353572, -81.64111490000001 30.352898, -81.6411131 30.352788, -81.6411047 30.3522583, -81.64110380000001 30.3522021, -81.6411032 30.352164, -81.6410934 30.3515532, -81.64109259999999 30.3514986, -81.64109190000001 30.3514539, -81.64108 30.3507129, -81.64107919999999 30.3506601, -81.64107850000001 30.3506163, -81.6410642 30.3497306, -81.6410635 30.34967169999998, -81.6410626 30.3496166)","(30.3640539, -81.6278817)","(30.3496166, -81.6410626)"
120310002001,171,1,3323.327,"LINESTRING (-81.6278817 30.3640539, -81.6286686 30.36456279999999, -81.6293216 30.3646299, -81.63094769999999 30.3648893, -81.6315692 30.3652261, -81.6322819 30.365506, -81.63303430000001 30.3657784, -81.63375739999999 30.3660367, -81.634496 30.366293, -81.635222 30.366587, -81.6359135 30.3670104, -81.6365534 30.3674516, -81.636584 30.3674751, -81.63716959999999 30.3678717, -81.63749559999999 30.3681233, -81.6377801 30.3682892, -81.6386084 30.3686223, -81.6388706 30.3689876, -81.639217 30.3702699, -81.6393592 30.3709724, -81.6396769 30.3721574, -81.63982710000001 30.3727206, -81.64062300000001 30.372716, -81.641429 30.372706, -81.64448779999999 30.3726801, -81.64528180000001 30.3726764, -81.6459041 30.3726736, -81.64644199999999 30.3726683, -81.6484301 30.3726497, -81.6510265 30.3726331, -81.65122940000001 30.3726326, -81.65130790000001 30.3726342, -81.6514526 30.3726371, -81.6515291 30.3726386, -81.6516731 30.3726377, -81.6519291 30.3726361, -81.6520204 30.3726355, -81.65478659999999 30.3726183, -81.654839 30.372618, -81.656524 30.372605, -81.6566057 30.3726042, -81.65673150000001 30.3726064, -81.6568233 30.3726089, -81.65688369999999 30.3726125, -81.656879 30.3724456, -81.6568754 30.3722706)","(30.3640539, -81.6278817)","(30.3722706, -81.6568754)"
