cbg_id,store_id,rank,distance,geometry,Origin,Destination
340170061012,5,0,825.887,"LINESTRING (-74.1032573 40.698479, -74.10149819999999 40.6987173, -74.10124500000001 40.699358, -74.100483 40.699207, -74.099953 40.698155, -74.0992049 40.6985058, -74.0984995 40.69885, -74.0984249 40.6988857, -74.0983849 40.698837, -74.0977748 40.6991191, -74.0977257 40.6991465, -74.09716589999999 40.6985015, -74.0967594 40.6980512, -74.09667570000001 40.6979585)","(40.698479, -74.1032573)","(40.6979585, -74.0966757)"
340170061012,2,1,1095.462,"LINESTRING (-74.1032573 40.698479, -74.10149819999999 40.6987173, -74.10124500000001 40.699358, -74.100483 40.699207, -74.099953 40.698155, -74.0983944 40.696281, -74.09844150000001 40.6962576, -74.0984175 40.6962272, -74.0983501 40.696142, -74.09833039999999 40.6961426, -74.09816840000001 40.6959519, -74.0980449 40.6958063, -74.09601069999999 40.693408, -74.0960602 40.6933123, -74.09602839999999 40.6932714, -74.09598819999999 40.6932198)","(40.698479, -74.1032573)","(40.6932198, -74.0959882)"
340170061011,5,0,608.19,"LINESTRING (-74.1009408 40.6972537, -74.09962659999999 40.6963365, -74.0995326 40.69622380000001, -74.09908160000001 40.6956832, -74.09901050000001 40.6956003, -74.0989494 40.6956599, -74.0986669 40.6959452, -74.0984175 40.6962272, -74.0983944 40.696281, -74.0983133 40.6963608, -74.0978078 40.6968579, -74.0973204 40.6973298, -74.0972776 40.6973718, -74.0971983 40.6974488, -74.09667570000001 40.6979585)","(40.6972537, -74.1009408)","(40.6979585, -74.0966757)"
340170061011,2,1,736.218,"LINESTRING (-74.1009408 40.6972537, -74.09962659999999 40.6963365, -74.0995326 40.69622380000001, -74.09908160000001 40.6956832, -74.09901050000001 40.6956003, -74.0989494 40.6956599, -74.0986669 40.6959452, -74.09859590000001 40.6959004, -74.0984335 40.6957978, -74.0981338 40.6957646, -74.0980449 40.6958063, -74.09601069999999 40.693408, -74.0960602 40.6933123, -74.09602839999999 40.6932714, -74.09598819999999 40.6932198)","(40.6972537, -74.1009408)","(40.6932198, -74.0959882)"
340170059011,5,0,642.054,"LINESTRING (-74.0993392 40.7020676, -74.09999000000001 40.70064, -74.0994979 40.7000367, -74.0984995 40.69885, -74.0984249 40.6988857, -74.0983849 40.698837, -74.0977748 40.6991191, -74.0977257 40.6991465, -74.09716589999999 40.6985015, -74.0967594 40.6980512, -74.09667570000001 40.6979585)","(40.7020676, -74.0993392)","(40.6979585, -74.0966757)"
340170059011,14,1,1104.937,"LINESTRING (-74.0993392 40.7020676, -74.099163 40.702887, -74.099059 40.703655, -74.098753 40.703819, -74.0985984 40.7038946, -74.0986652 40.7039851, -74.0987403 40.7040868, -74.0984266 40.7045308, -74.0983165 40.704587, -74.0982271 40.7046327, -74.0982472 40.70465810000001, -74.09822149999999 40.7048086, -74.0981685 40.70511, -74.0980806 40.7056712, -74.0980746 40.7057032, -74.0980392 40.705893, -74.098033 40.7059316, -74.09796160000002 40.7059236, -74.0975193 40.707072, -74.0974722 40.7070893, -74.0974362 40.70712670000001, -74.0973784 40.7071868, -74.0973463 40.7072176, -74.0971241 40.707432, -74.0969406 40.7075958, -74.0969137 40.7076192, -74.09686809999999 40.707661, -74.0968048 40.7077203, -74.09532280000001 40.7066973, -74.09355650000001 40.7062583)","(40.7020676, -74.0993392)","(40.7062583, -74.0935565)"
340170059012,5,0,207.319,"LINESTRING (-74.09639369999999 40.699534, -74.0963486 40.6994768, -74.09631950000001 40.6994399, -74.096318 40.6985297, -74.0963466 40.6984712, -74.09636089999999 40.6984421, -74.0963936 40.6983788, -74.0963261 40.6983032, -74.09667570000001 40.6979585)","(40.699534, -74.0963937)","(40.6979585, -74.0966757)"
340170059012,2,1,829.062,"LINESTRING (-74.09639369999999 40.699534, -74.0963486 40.6994768, -74.09631950000001 40.6994399, -74.096318 40.6985297, -74.0963466 40.6984712, -74.09636089999999 40.6984421, -74.0963936 40.6983788, -74.0963261 40.6983032, -74.09667570000001 40.6979585, -74.0971983 40.6974488, -74.0971163 40.69738239999999, -74.0971143 40.6973499, -74.09715180000001 40.6973068, -74.09719250000001 40.6972601, -74.0972094 40.6972617, -74.0971729 40.6968764, -74.0972531 40.6968016, -74.0971378 40.6964437, -74.09710560000001 40.6963319, -74.09718580000001 40.6962908, -74.09660820000001 40.6956109, -74.09621070000001 40.6951431, -74.0959072 40.6947859, -74.0953688 40.6941522, -74.09541220000001 40.6940904, -74.09543650000001 40.69405409999999, -74.0954473 40.6940119, -74.0958916 40.69352, -74.0958701 40.69344579999999, -74.0958519 40.6933828, -74.0958823 40.6933058, -74.095928 40.69326, -74.09596740000001 40.6932206, -74.09598819999999 40.6932198)","(40.699534, -74.0963937)","(40.6932198, -74.0959882)"
340170061023,2,0,375.572,"LINESTRING (-74.0982363 40.6933099, -74.098179 40.6933401, -74.09813320000002 40.6933642, -74.0968944 40.6919305, -74.0968608 40.6919386, -74.0967971 40.6919129, -74.09664410000001 40.6922107, -74.09659689999999 40.6921984, -74.0964582 40.6924793, -74.096422 40.6925068, -74.0963934 40.6925582, -74.0963627 40.6926135, -74.09636709999999 40.6926517, -74.09598819999999 40.6932198)","(40.6933099, -74.0982363)","(40.6932198, -74.0959882)"
340170061023,1,1,505.47,"LINESTRING (-74.0982363 40.6933099, -74.098179 40.6933401, -74.09813320000002 40.6933642, -74.0968944 40.6919305, -74.0968608 40.6919386, -74.0967971 40.6919129, -74.09664410000001 40.6922107, -74.09659689999999 40.6921984, -74.0964582 40.6924793, -74.096422 40.6925068, -74.0956521 40.6916529, -74.0956193 40.6916793, -74.095572 40.6917175, -74.09552859999999 40.691715, -74.0954716 40.6916642, -74.09542020000001 40.69161840000001, -74.09492299999999 40.6920202, -74.0949021 40.69201530000002, -74.0948624 40.6920524, -74.0948118 40.6920995)","(40.6933099, -74.0982363)","(40.6920995, -74.0948118)"
