cbg_id,store_id,rank,distance,geometry,Origin,Destination
290950069002,22,0,996.818,"LINESTRING (-94.594443 39.046649, -94.5945191 39.0466516, -94.5945172 39.0466919, -94.5944882 39.0472236, -94.59448500000001 39.0472707, -94.5944827 39.0473105, -94.5946137 39.0478527, -94.59461039999999 39.0479115, -94.5946043 39.0479686, -94.59458739999999 39.0483063, -94.59465400000001 39.048309, -94.594629 39.04874, -94.5946261 39.0487936, -94.5946071 39.0491432, -94.5946034 39.0492115, -94.59459 39.0494636, -94.5945839 39.0495778, -94.59449619999999 39.0495744, -94.5942884 39.0495659, -94.5943652 39.0496524, -94.5943894 39.0496882, -94.59437149999999 39.0499604, -94.59433 39.0507535, -94.59432099999999 39.0509245, -94.5943176 39.0510463, -94.5943147 39.0511543, -94.59431170000001 39.051263, -94.5944173 39.05152120000001, -94.594446 39.05158, -94.5941871 39.0516601, -94.59400340000001 39.0517159, -94.5936688 39.0518205, -94.59370850000001 39.0518896, -94.59365519999999 39.051917, -94.59356459999999 39.0519548, -94.59315479999999 39.0521452, -94.5926123 39.0523969, -94.5926947 39.0525122, -94.5931756 39.05311789999998, -94.5930504 39.05319, -94.59294170000001 39.053252, -94.59297990000002 39.0533001, -94.5932213 39.0534302, -94.5932748 39.0533669, -94.5937591 39.0534823)","(39.046649, -94.594443)","(39.0534823, -94.5937591)"
290950069002,20,1,2019.212,"LINESTRING (-94.594443 39.046649, -94.5945191 39.0466516, -94.5945224 39.0466039, -94.5945531 39.0460635, -94.59455939999999 39.0460079, -94.594477 39.046005, -94.59453379999999 39.0448654, -94.5944729 39.0448627, -94.5941053 39.0448424, -94.59391650000001 39.0447891, -94.5934426 39.0447708, -94.5933778 39.0447684, -94.59339820000001 39.0443401, -94.59332860000001 39.0443261, -94.59320390000001 39.0442149, -94.5932 39.0441594, -94.59243410000001 39.0441325, -94.592332 39.044129, -94.5918564 39.0441138, -94.5915439 39.0441038, -94.591455 39.044101, -94.5913917 39.04409879999999, -94.58982520000001 39.0440432, -94.589735 39.04404, -94.58959369999999 39.04355029999999, -94.5895517 39.0432283, -94.589483 39.0431624, -94.5893731 39.0431616, -94.5889116 39.0431487, -94.58838129999999 39.0431291, -94.58819769999999 39.043135, -94.58809100000001 39.0431422, -94.5880279 39.0428989, -94.5877788 39.0427861, -94.58768809999999 39.0426601, -94.5876751 39.04256149999998, -94.5875826 39.042506, -94.5874879 39.0425093, -94.58726679999999 39.0424208, -94.58717790000001 39.0423488, -94.58712679999999 39.0423274, -94.58700690000001 39.0423249, -94.586972 39.0422294, -94.586929 39.042109, -94.58678500000001 39.042101, -94.58675770000001 39.0420338, -94.58635010000002 39.0411064, -94.5861501 39.0407054, -94.5860948 39.0406074, -94.58550889999999 39.0395313, -94.58535740000001 39.039258, -94.5851479 39.0388461, -94.5849451 39.0384567, -94.5849194 39.0383959, -94.58482119999999 39.0381592, -94.5843325 39.0366694, -94.5842804 39.0348525, -94.5842794 39.0347929, -94.58411030000001 39.03478619999999, -94.5839483 39.03477739999998, -94.58367990000001 39.0347614, -94.5836943 39.0346508, -94.5836176 39.0346503)","(39.046649, -94.594443)","(39.0346503, -94.5836176)"
290950058012,27,0,695.496,"LINESTRING (-94.53232300000001 39.0656044, -94.53238639999999 39.0656063, -94.5334139 39.0656377, -94.53338530000001 39.0662735, -94.5334513 39.0662822, -94.5334052 39.0673236, -94.5334797 39.0673265, -94.5344731 39.0673569, -94.5344731 39.067383, -94.53447009999999 39.0674716, -94.53455580000002 39.0674743, -94.53455080000001 39.06759670000001, -94.5346401 39.0676113, -94.5356314 39.0676431, -94.5356939 39.0676449, -94.5356283 39.06923590000001, -94.53570360000001 39.0692327)","(39.0656044, -94.532323)","(39.0692327, -94.5357036)"
290950058012,28,1,2143.157,"LINESTRING (-94.53232300000001 39.0656044, -94.53238639999999 39.0656063, -94.5334139 39.0656377, -94.53347979999999 39.0656397, -94.5335522 39.0656411, -94.5345495 39.0656749, -94.53463290000001 39.065677, -94.5347263 39.0656798, -94.53578450000001 39.0657112, -94.5370605 39.0657512, -94.5380662 39.0657861, -94.5381311 39.0657884, -94.5382066 39.0657902, -94.5391494 39.0658133, -94.539219 39.065815, -94.5393195 39.0658197, -94.539903 39.0658385, -94.5403804 39.0658573, -94.54062020000002 39.0658649, -94.54061849999999 39.0659137, -94.54221459999999 39.0659613, -94.54331460000002 39.066854, -94.5436802 39.0670623, -94.5436493 39.067637, -94.5437428 39.0676489, -94.5438372 39.0676558, -94.54394929999999 39.0676619, -94.5442319 39.0676693, -94.5442292 39.0677743, -94.5448871 39.0677968, -94.54592649999999 39.0678326, -94.5460786 39.0678378, -94.5462182 39.0678428, -94.5472635 39.0678799, -94.54833820000002 39.0679157, -94.54932049999999 39.0679487, -94.5494678 39.0679536, -94.54964390000001 39.0679582, -94.55005189999999 39.0679688, -94.550625 39.0679838, -94.55175800000001 39.068012, -94.55230659999999 39.0680312, -94.5524971 39.0680378, -94.5527974 39.0680483, -94.552932 39.068053, -94.5530818 39.06805849999999, -94.55372789999998 39.0680817, -94.5537301 39.0682081, -94.5537563 39.06833919999998, -94.55385809999999 39.0684897, -94.55399370000001 39.0686465, -94.55403459999999 39.0688448, -94.55403 39.0690197)","(39.0656044, -94.532323)","(39.0690197, -94.55403)"
290950018001,44,0,253.965,"LINESTRING (-94.54186540000001 39.104139, -94.54186390000001 39.1041991, -94.5418616 39.1042546, -94.54192949999999 39.1042573, -94.5418866 39.1050431, -94.54188320000002 39.105106, -94.5418804 39.1051653, -94.5418456 39.1059107, -94.5418408 39.1060134, -94.5423019 39.1060282)","(39.104139, -94.5418654)","(39.1060282, -94.5423019)"
290950018001,41,1,469.057,"LINESTRING (-94.54186540000001 39.104139, -94.54186390000001 39.1041991, -94.5418616 39.1042546, -94.54192949999999 39.1042573, -94.5420088 39.1042606, -94.54357039999999 39.1043106, -94.5440421 39.1043231, -94.54404 39.10436729999999, -94.54417719999999 39.1043726, -94.544161 39.104727, -94.5441448 39.10508189999999, -94.54414060000001 39.10517339999998, -94.54413440000002 39.10527809999999, -94.5441094 39.1056998, -94.5441081 39.1057221, -94.54421259999999 39.1059427, -94.5443396 39.1060983, -94.5445866 39.10610669999998, -94.5449375 39.1061186, -94.54496810000001 39.1061196)","(39.104139, -94.5418654)","(39.1061196, -94.5449681)"
290950167002,26,0,1204.14,"LINESTRING (-94.58811 39.062068, -94.5881053 39.0621452, -94.588049 39.0630774, -94.5880248 39.0634785, -94.5880073 39.0637692, -94.58800100000001 39.063873, -94.58799449999999 39.06399069999998, -94.5879734 39.0643695, -94.587907 39.0655628, -94.58790399999999 39.065615, -94.5878994 39.0656784, -94.5878788 39.0661126, -94.5878412 39.066854, -94.5878168 39.0673363, -94.587799 39.0676871, -94.5877034 39.0677064, -94.58733909999999 39.0677893, -94.5867609 39.0679208, -94.58668059999999 39.067938, -94.5866151 39.067953, -94.58644330000001 39.067992, -94.5861139 39.0680667, -94.58560110000001 39.068183, -94.58545169999999 39.0682161, -94.585447 39.068327, -94.585279 39.0683642, -94.5847622 39.0684365, -94.58452870000001 39.0684277, -94.58404539999999 39.0684095, -94.58379830000001 39.0684002, -94.583522 39.0683898, -94.5834332 39.0683864, -94.58321410000001 39.0683782, -94.58304 39.0683716, -94.58291869999999 39.068367, -94.582583 39.068354, -94.5825443 39.0683529, -94.5824207 39.0683483, -94.581352 39.06831)","(39.062068, -94.58811)","(39.06831, -94.581352)"
290950167002,22,1,1431.44,"LINESTRING (-94.58811 39.062068, -94.58811489999999 39.0619893, -94.58821949999999 39.06032479999999, -94.588223 39.060269, -94.58822670000001 39.060209, -94.58833009999999 39.0585355, -94.588334 39.058473, -94.58833679999999 39.0584251, -94.5883652 39.0579348, -94.588374 39.0577815, -94.5883863 39.0575693, -94.5884133 39.05710359999998, -94.588431 39.0567985, -94.58843640000001 39.0567358, -94.58851420000001 39.056739, -94.58852290000002 39.0566623, -94.5885292 39.0565974, -94.58855459999999 39.0561621, -94.5886438 39.0546304, -94.58865160000001 39.0542894, -94.58900680000001 39.05410479999998, -94.5893129 39.05397, -94.5893619 39.053954, -94.5894217 39.0539329, -94.589427 39.0539038, -94.5896496 39.053797, -94.5902311 39.0535258, -94.59024100000001 39.0535212, -94.5903191 39.0534859, -94.59046499999999 39.05341649999998, -94.5905807 39.0533596, -94.5907172 39.0532955, -94.59073410000001 39.0532875, -94.5914361 39.05296060000001, -94.5915092 39.0529177, -94.5915803 39.05288440000001, -94.5922728 39.0525597, -94.5922788 39.0525549, -94.5923567 39.0525158, -94.59294170000001 39.053252, -94.59297990000002 39.0533001, -94.5932213 39.0534302, -94.5932748 39.0533669, -94.5937591 39.0534823)","(39.062068, -94.58811)","(39.0534823, -94.5937591)"
290950018003,50,0,816.218,"LINESTRING (-94.54710170000001 39.1004951, -94.54706040000001 39.10136, -94.54705749999999 39.1014168, -94.54705389999999 39.10148679999999, -94.5469786 39.1014842, -94.5469203 39.1014824, -94.54689639999999 39.1018715, -94.54590020000001 39.1018354, -94.54587170000001 39.1022323, -94.545866 39.102312, -94.5461061 39.10232, -94.5460997 39.1024044, -94.54608469999999 39.1028379, -94.5460611 39.1032671, -94.54605789999999 39.1033264, -94.54605479999999 39.10338739999999, -94.5460329 39.1038251, -94.5460159 39.1042652, -94.5460135 39.104326, -94.5460113 39.1043905, -94.5459977 39.10478770000001, -94.5459838 39.1051822, -94.54598180000001 39.1052388, -94.545979 39.1053008, -94.54594590000001 39.1060431, -94.5459465 39.1061529, -94.5460245 39.1061556, -94.5460209 39.1062641, -94.5461681 39.1062685, -94.5465524 39.10628049999998)","(39.1004951, -94.54710170000001)","(39.10628049999998, -94.5465524)"
290950018003,41,1,836.018,"LINESTRING (-94.54710170000001 39.1004951, -94.54706040000001 39.10136, -94.54705749999999 39.1014168, -94.54705389999999 39.10148679999999, -94.5469786 39.1014842, -94.5469203 39.1014824, -94.54689639999999 39.1018715, -94.54590020000001 39.1018354, -94.54587170000001 39.1022323, -94.545866 39.102312, -94.5461061 39.10232, -94.5460997 39.1024044, -94.54608469999999 39.1028379, -94.5460611 39.1032671, -94.54605789999999 39.1033264, -94.54605479999999 39.10338739999999, -94.5460329 39.1038251, -94.5460159 39.1042652, -94.5460135 39.104326, -94.5460113 39.1043905, -94.5459977 39.10478770000001, -94.5459838 39.1051822, -94.54598180000001 39.1052388, -94.545979 39.1053008, -94.54594590000001 39.1060431, -94.5459465 39.1061529, -94.54524720000001 39.1061291, -94.54496810000001 39.1061196)","(39.1004951, -94.54710170000001)","(39.1061196, -94.5449681)"
