cbg_id,store_id,rank,distance,geometry,Origin,Destination
484790017164,44,0,2227.054,"LINESTRING (-99.5277205 27.5838852, -99.5256625 27.5846663, -99.5259125 27.5852541, -99.52547850000001 27.5854148, -99.5257809 27.5860457, -99.5230541 27.5877884, -99.5221789 27.5879702, -99.5214471 27.5882441, -99.520662 27.5885401, -99.5198642 27.5888385, -99.5191401 27.5892619, -99.51840300000001 27.5896973, -99.5190867 27.5911057, -99.51929479999998 27.5915074, -99.51845470000001 27.5918962, -99.51776460000001 27.5925308, -99.5171467 27.5931571, -99.5165129 27.5935064, -99.5157377 27.5937939, -99.5149756 27.5940825, -99.5134841 27.5946371)","(27.5838852, -99.5277205)","(27.5946371, -99.5134841)"
484790017164,40,1,4720.164,"LINESTRING (-99.5277205 27.5838852, -99.5273238 27.5832451, -99.52689100000001 27.5828113, -99.5265546 27.5821068, -99.525817 27.58238, -99.525081 27.5826559, -99.5243102 27.5829501, -99.523533 27.5832422, -99.5227653 27.5835315, -99.521996 27.5838195, -99.521225 27.5841095, -99.52046900000001 27.5843969, -99.5196859 27.5846917, -99.5189297 27.5849771, -99.51815809999999 27.5852679, -99.5173868 27.5855557, -99.5166093 27.5858487, -99.5133763 27.5870269, -99.511594 27.58687589999999, -99.51070319999999 27.5870394, -99.5103458 27.5858877, -99.5102894 27.5857057, -99.5100075 27.5848047, -99.509698 27.5838155, -99.5096619 27.5837002, -99.50958719999998 27.5834614, -99.5095752 27.5834208, -99.50924929999999 27.5823316, -99.508571 27.5802076, -99.5078658 27.5779775, -99.5076486 27.5774412, -99.5075188 27.5771708, -99.50318110000001 27.5704778, -99.50386039999999 27.5674586, -99.5039171 27.5670494, -99.5034205 27.5669989, -99.5024737 27.5669489, -99.50219130000001 27.5669744, -99.5016303 27.5670471, -99.5010625 27.5671271, -99.50046279999999 27.567216, -99.5001638 27.5672625, -99.4998094 27.5673285)","(27.5838852, -99.5277205)","(27.5673285, -99.4998094)"
484790016022,42,0,1070.923,"LINESTRING (-99.4677995 27.5720393, -99.4677573 27.5721495, -99.46770359999999 27.5725752, -99.4676316 27.5739004, -99.4676126 27.5746509, -99.46763460000001 27.5747501, -99.46781230000001 27.5747132, -99.46823980000001 27.5745535, -99.46837069999999 27.5745052, -99.46853520000002 27.5748485, -99.469047 27.5748242, -99.46903190000002 27.5749023, -99.4692946 27.5749479, -99.46950750000001 27.5749446, -99.4697541 27.5748472, -99.4698916 27.5751973, -99.4699868 27.5753673, -99.47035179999999 27.5752305, -99.4704832 27.5751813, -99.4706073 27.5754026, -99.4710602 27.5752316, -99.47122520000001 27.5755788, -99.47134339999999 27.575675, -99.47148520000002 27.5757632, -99.47161970000001 27.5758468, -99.47182530000001 27.5759051, -99.4719889 27.575959, -99.4721253 27.5760721, -99.4722546 27.5761618, -99.47239879999999 27.576282, -99.4725174 27.5763967, -99.4726412 27.5764887, -99.4730418 27.5767458, -99.473348 27.5768134)","(27.5720393, -99.4677995)","(27.5768134, -99.473348)"
484790016022,43,1,3677.18,"LINESTRING (-99.4677995 27.5720393, -99.4677573 27.5721495, -99.46770359999999 27.5725752, -99.4676316 27.5739004, -99.4676126 27.5746509, -99.46763460000001 27.5747501, -99.46781230000001 27.5747132, -99.46823980000001 27.5745535, -99.46837069999999 27.5745052, -99.46853520000002 27.5748485, -99.469047 27.5748242, -99.46903190000002 27.5749023, -99.4692946 27.5749479, -99.46950750000001 27.5749446, -99.4697541 27.5748472, -99.4698916 27.5751973, -99.4699868 27.5753673, -99.47035179999999 27.5752305, -99.4704832 27.5751813, -99.4706073 27.5754026, -99.47213530000001 27.5772228, -99.4724324 27.5774072, -99.472899 27.5775054, -99.4732118 27.5775472, -99.47315500000001 27.5778529, -99.4729462 27.5789961, -99.4727747 27.579888, -99.472649 27.5809406, -99.4729646 27.5818511, -99.47471880000001 27.5841255, -99.4751114 27.584421, -99.47562720000001 27.5850111, -99.47586020000001 27.5854799, -99.4758811 27.5855241, -99.47620190000001 27.5862038, -99.47643650000001 27.5866918, -99.4766387 27.5871096, -99.4768832 27.5876185, -99.47707480000001 27.5880176, -99.4771764 27.588229, -99.47734680000001 27.5885922, -99.4775538 27.5890157, -99.4778331 27.5895998, -99.47793950000001 27.5898221, -99.478048 27.5900491, -99.47816080000001 27.5902885, -99.47819800000001 27.5903682, -99.4784301 27.5908658, -99.47854719999999 27.5911168, -99.47862840000001 27.5912907, -99.4787522 27.5915561, -99.4791979 27.5914002, -99.4794617 27.5912962, -99.48029819999999 27.5909665, -99.48066900000001 27.5908203, -99.4812608 27.5906602, -99.4823142 27.5903635, -99.4853877 27.5891822, -99.48556499999999 27.5895148, -99.48461090000001 27.5898957)","(27.5720393, -99.4677995)","(27.5898957, -99.4846109)"
484790017242,43,0,2171.558,"LINESTRING (-99.49214139999998 27.5835744, -99.4902407 27.5824527, -99.4901869 27.5824133, -99.48816340000002 27.58067589999999, -99.48762929999999 27.5808824, -99.4871436 27.5810727, -99.48673859999998 27.5812286, -99.48772080000001 27.5832615, -99.4880862 27.5840155, -99.4875342 27.585202, -99.48783520000001 27.5858623, -99.4875904 27.5872098, -99.48664170000001 27.5875803, -99.4870951 27.5885259, -99.48673839999999 27.588663, -99.4864893 27.5887588, -99.4860085 27.5889436, -99.4853877 27.5891822, -99.48556499999999 27.5895148, -99.48461090000001 27.5898957)","(27.5835744, -99.49214139999998)","(27.5898957, -99.4846109)"
484790017242,41,1,2773.354,"LINESTRING (-99.49214139999998 27.5835744, -99.4902407 27.5824527, -99.4901869 27.5824133, -99.48816340000002 27.58067589999999, -99.48895899999999 27.580372, -99.4908509 27.5796468, -99.49110640000001 27.5795499, -99.4919484 27.5794115, -99.49223910000001 27.5793351, -99.4938942 27.5787074, -99.49592259999999 27.578228, -99.49606799999999 27.5777782, -99.4967314 27.5758746, -99.4971613 27.574676, -99.4972954 27.5743045, -99.4984429 27.5736338, -99.4991283 27.573613, -99.500488 27.5735772, -99.50048580000001 27.5734072, -99.5004835 27.5728781, -99.501147 27.5727731, -99.5011499 27.5721374, -99.50121350000001 27.5721372, -99.5012964 27.5721369, -99.501439 27.5721363, -99.501439 27.57199539999999, -99.50146959999999 27.5715618, -99.501507 27.5713849, -99.5016603 27.571386, -99.5016596 27.5709297, -99.50165930000001 27.5707579, -99.50165970000002 27.5705933, -99.50164479999999 27.5701993)","(27.5835744, -99.49214139999998)","(27.5701993, -99.5016448)"
484790017203,41,0,774.946,"LINESTRING (-99.49745489999998 27.5736733, -99.4982062 27.5736455, -99.4984429 27.5736338, -99.4991283 27.573613, -99.500488 27.5735772, -99.50048580000001 27.5734072, -99.5004835 27.5728781, -99.501147 27.5727731, -99.5011499 27.5721374, -99.50121350000001 27.5721372, -99.5012964 27.5721369, -99.501439 27.5721363, -99.501439 27.57199539999999, -99.50146959999999 27.5715618, -99.501507 27.5713849, -99.5016603 27.571386, -99.5016596 27.5709297, -99.50165930000001 27.5707579, -99.50165970000002 27.5705933, -99.50164479999999 27.5701993)","(27.5736733, -99.49745489999998)","(27.5701993, -99.5016448)"
484790017203,40,1,975.146,"LINESTRING (-99.49745489999998 27.5736733, -99.4973004 27.572481, -99.4972223 27.5718868, -99.4971053 27.5709867, -99.49690769999999 27.5702722, -99.49767679999999 27.5698286, -99.49843300000001 27.5692933, -99.4986966 27.5690826, -99.49884230000002 27.5690652, -99.50002790000001 27.5690188, -99.5001492 27.5688369, -99.50022850000001 27.5685823, -99.5002653 27.5680681, -99.5002559 27.5676351, -99.50018570000002 27.5673962, -99.5001638 27.5672625, -99.4998094 27.5673285)","(27.5736733, -99.49745489999998)","(27.5673285, -99.4998094)"
484790017253,45,0,2319.833,"LINESTRING (-99.4546727 27.6021843, -99.4549226 27.6035441, -99.45571459999999 27.6034628, -99.45683459999999 27.6030842, -99.4570291 27.6034917, -99.4571493 27.6037414, -99.4575121 27.6044986, -99.4576041 27.6046853, -99.4577058 27.6048915, -99.45789499999999 27.6052754, -99.4582068 27.6059621, -99.4587397 27.6073676, -99.45893679999999 27.6077592, -99.45970120000001 27.6074965, -99.45973789999999 27.6075705, -99.45978030000001 27.6077275, -99.4599125 27.6079232, -99.4611882 27.6086059, -99.4620448 27.6084781, -99.46509450000002 27.6087099, -99.4650851 27.6090771, -99.4656517 27.6090961, -99.465728 27.6100666, -99.4659209 27.6107255, -99.4646369 27.6107958, -99.46462440000001 27.6108467, -99.4644282 27.6116464, -99.4636271 27.6116549, -99.4634556 27.6122617)","(27.6021843, -99.4546727)","(27.6122617, -99.4634556)"
484790017253,43,1,4126.659,"LINESTRING (-99.4546727 27.6021843, -99.4549226 27.6035441, -99.45571459999999 27.6034628, -99.45651669999999 27.6024165, -99.4561843 27.6017077, -99.4569156 27.6015221, -99.4576284 27.6014402, -99.4584208 27.6007291, -99.45925769999999 27.600838, -99.4600441 27.600806, -99.4617497 27.5996361, -99.46366329999999 27.5989061, -99.46335209999999 27.5982487, -99.46677800000001 27.5969444, -99.4664585 27.5961352, -99.4671432 27.5959004, -99.46769959999999 27.5956885, -99.4690463 27.5952869, -99.46968060000002 27.5950521, -99.47092309999999 27.594576, -99.4715331 27.5943422, -99.47243880000001 27.5939906, -99.473268 27.5936733, -99.476214 27.5925339, -99.4770331 27.592222, -99.4777053 27.5919515, -99.4782762 27.5917359, -99.4787522 27.5915561, -99.4791979 27.5914002, -99.4794617 27.5912962, -99.48029819999999 27.5909665, -99.48066900000001 27.5908203, -99.4812608 27.5906602, -99.4823142 27.5903635, -99.4853877 27.5891822, -99.48556499999999 27.5895148, -99.48461090000001 27.5898957)","(27.6021843, -99.4546727)","(27.5898957, -99.4846109)"
484790018201,1,0,1676.398,"LINESTRING (-99.48084540000001 27.4477925, -99.48266460000001 27.4491855, -99.4823816 27.4491894, -99.4812098 27.4492058, -99.4808668 27.4492105, -99.4808421 27.4492109, -99.47826970000001 27.4478062, -99.47857030000002 27.4448809, -99.47889790000001 27.44164)","(27.4477925, -99.4808454)","(27.44164, -99.4788979)"
484790018201,3,1,1813.6,"LINESTRING (-99.48084540000001 27.4477925, -99.48266460000001 27.4491855, -99.4823816 27.4491894, -99.4812098 27.4492058, -99.4808668 27.4492105, -99.4808421 27.4492109, -99.48085769999999 27.4499348, -99.48087630000001 27.4507318, -99.4808853 27.4514393, -99.4800594 27.4514511, -99.4789802 27.451464, -99.4788355 27.4514657, -99.4785334 27.4514702, -99.47789160000002 27.4515273, -99.47757330000002 27.4515677, -99.47677290000001 27.45156, -99.47509239999999 27.4515901, -99.475093 27.4516961, -99.47623 27.4516688, -99.476237 27.4520599, -99.47624070000001 27.4522618, -99.4762415 27.4523066, -99.47624450000001 27.4524753, -99.47624740000001 27.4526343, -99.47624759999998 27.4526484, -99.47624999999999 27.452783, -99.476251 27.4528369, -99.47625290000001 27.4529408, -99.47625549999998 27.4530896, -99.47625840000001 27.4532474, -99.47625960000001 27.4533172, -99.476471 27.4533144, -99.4769079 27.4533114, -99.4771021 27.45331, -99.47709999999999 27.4534635)","(27.4477925, -99.4808454)","(27.4534635, -99.4771)"
484790017232,43,0,467.596,"LINESTRING (-99.48765179999999 27.5897436, -99.4875808 27.5895487, -99.487414 27.5891858, -99.48738580000001 27.5891275, -99.4873106 27.5889719, -99.4866009 27.5889608, -99.4864893 27.5887588, -99.4860085 27.5889436, -99.4853877 27.5891822, -99.48556499999999 27.5895148, -99.48461090000001 27.5898957)","(27.5897436, -99.4876518)","(27.5898957, -99.4846109)"
484790017232,42,1,2823.083,"LINESTRING (-99.48765179999999 27.5897436, -99.4875808 27.5895487, -99.487414 27.5891858, -99.48738580000001 27.5891275, -99.4873106 27.5889719, -99.4866009 27.5889608, -99.4864893 27.5887588, -99.4860085 27.5889436, -99.4853877 27.5891822, -99.4823142 27.5903635, -99.4812608 27.5906602, -99.48066900000001 27.5908203, -99.48029819999999 27.5909665, -99.4794617 27.5912962, -99.4793344 27.5910833, -99.4787979 27.5911495, -99.47854719999999 27.5911168, -99.4784301 27.5908658, -99.47819800000001 27.5903682, -99.47816080000001 27.5902885, -99.478048 27.5900491, -99.47793950000001 27.5898221, -99.4778331 27.5895998, -99.4775538 27.5890157, -99.47734680000001 27.5885922, -99.4771764 27.588229, -99.47707480000001 27.5880176, -99.4768832 27.5876185, -99.4766387 27.5871096, -99.47643650000001 27.5866918, -99.47620190000001 27.5862038, -99.4758811 27.5855241, -99.47586020000001 27.5854799, -99.47562720000001 27.5850111, -99.4751114 27.584421, -99.47471880000001 27.5841255, -99.4729646 27.5818511, -99.472649 27.5809406, -99.4727747 27.579888, -99.4729462 27.5789961, -99.47315500000001 27.5778529, -99.4732118 27.5775472, -99.473348 27.5768134)","(27.5897436, -99.4876518)","(27.5768134, -99.473348)"
484790015023,35,0,680.249,"LINESTRING (-99.4865392 27.53421189999999, -99.4855154 27.5342097, -99.4855106 27.5351323, -99.48444499999999 27.5351304, -99.4844396 27.5360484, -99.48436030000001 27.5369623, -99.48408499999999 27.5384483)","(27.53421189999999, -99.4865392)","(27.5384483, -99.484085)"
484790015023,33,1,918.195,"LINESTRING (-99.4865392 27.53421189999999, -99.48756849999999 27.5342142, -99.4885907 27.5342165, -99.4887688 27.5350254, -99.4893234 27.5350281, -99.48984609999999 27.5350306, -99.4908732 27.53585839999998, -99.49167720000001 27.5363488, -99.491676 27.5369759, -99.4927089 27.53697430000001, -99.4937247 27.53697789999999)","(27.53421189999999, -99.4865392)","(27.53697789999999, -99.4937247)"
484790018251,12,0,1962.393,"LINESTRING (-99.45216720000001 27.5057803, -99.4518267 27.5063669, -99.45104019999999 27.5077906, -99.4499577 27.5075163, -99.4490129 27.5073569, -99.4488747 27.5061753, -99.44877990000001 27.5053222, -99.4484667 27.5025213, -99.44817430000001 27.5009647, -99.448054 27.4997456, -99.4479817 27.4991231, -99.4478929 27.498377, -99.4478634 27.4981482, -99.44781999999999 27.4978122, -99.4477814 27.497513, -99.4477546 27.4972233, -99.44775439999999 27.4970875, -99.44790519999999 27.4964028, -99.44800499999999 27.4962298, -99.44814839999999 27.4961258, -99.4485404 27.4959353, -99.44879539999999 27.4958194, -99.4490828 27.4956812, -99.45028010000001 27.4951256)","(27.5057803, -99.4521672)","(27.4951256, -99.45028010000001)"
484790018251,10,1,2202.027,"LINESTRING (-99.45216720000001 27.5057803, -99.45250780000001 27.5051936, -99.4528483 27.504607, -99.45462360000001 27.5046816, -99.45497140000001 27.5040956, -99.4551127 27.5034619, -99.4572893 27.5004737, -99.4576869 27.4997564, -99.4579133 27.4989856, -99.4579402 27.4988516, -99.45717930000001 27.4987179, -99.4563093 27.4974846, -99.45558920000001 27.4963666, -99.4537885 27.4934882, -99.4562198 27.4923689)","(27.5057803, -99.4521672)","(27.4923689, -99.4562198)"
484790018232,5,0,1518.979,"LINESTRING (-99.4532057 27.4724149, -99.4532219 27.4731543, -99.4556281 27.4731138, -99.4556472 27.4738629, -99.45883480000002 27.4735337, -99.45934339999999 27.4731833, -99.4622696 27.4740715, -99.46266209999999 27.4740694, -99.46329950000001 27.474066, -99.4643294 27.4740604, -99.46492859999998 27.4740572, -99.4653593 27.4740549, -99.4663893 27.4740494)","(27.4724149, -99.4532057)","(27.4740494, -99.4663893)"
484790018232,4,1,1718.49,"LINESTRING (-99.4532057 27.4724149, -99.45561290000001 27.4723741, -99.4555976 27.4716299, -99.45588720000002 27.4707001, -99.4569134 27.469602, -99.457252 27.4689683, -99.45690169999999 27.4675093, -99.4565942 27.4665686, -99.45685570000001 27.465096, -99.45727560000002 27.4639284, -99.46057209999999 27.4644658, -99.4611135 27.4644751, -99.4612413 27.4644717, -99.4619678 27.4644525)","(27.4724149, -99.4532057)","(27.4644525, -99.4619678)"
484790017263,45,0,2298.962,"LINESTRING (-99.47668120000002 27.6133318, -99.4768641 27.6133031, -99.4769658 27.6138028, -99.4771416 27.6137776, -99.4773156 27.614671, -99.47799569999999 27.614566, -99.47818479999999 27.6128693, -99.47788660000001 27.6113022, -99.4778304 27.6111378, -99.47774330000001 27.6107318, -99.47748890000001 27.6102065, -99.4773211 27.6098535, -99.4769811 27.6091246, -99.4768498 27.6091753, -99.47648719999999 27.6093022, -99.47558410000001 27.6096362, -99.4753348 27.6097316, -99.4739792 27.6102506, -99.47139900000001 27.6112443, -99.4696838 27.6119029, -99.46765470000001 27.6124883, -99.46685220000001 27.6125793, -99.4666933 27.6125904, -99.4662694 27.6126043, -99.46608860000001 27.6126049, -99.4654931 27.61257949999999, -99.4634556 27.6122617)","(27.6133318, -99.47668120000002)","(27.6122617, -99.4634556)"
484790017263,43,1,3833.156,"LINESTRING (-99.47668120000002 27.6133318, -99.4768641 27.6133031, -99.4769658 27.6138028, -99.4771416 27.6137776, -99.4773156 27.614671, -99.47799569999999 27.614566, -99.47818479999999 27.6128693, -99.47788660000001 27.6113022, -99.4778304 27.6111378, -99.47774330000001 27.6107318, -99.47748890000001 27.6102065, -99.4773211 27.6098535, -99.4769811 27.6091246, -99.4768674 27.6088814, -99.47652050000001 27.6082925, -99.4763176 27.607542, -99.4762624 27.6071098, -99.47625410000001 27.6069853, -99.47627799999999 27.6062619, -99.47638259999999 27.6056941, -99.4766121 27.6050054, -99.4770426 27.6042036, -99.4771719 27.6040239, -99.4776062 27.6033963, -99.47827100000001 27.6024354, -99.47864370000001 27.6019152, -99.4789365 27.6015066, -99.47920329999999 27.6011202, -99.479823 27.6002231, -99.4799024 27.6001083, -99.48012629999999 27.5997699, -99.48036020000002 27.599343, -99.48039489999999 27.5992705, -99.4805796 27.598844, -99.4807366 27.5983253, -99.480834 27.5978499, -99.4808815 27.5973979, -99.48088490000001 27.5972774, -99.48088629999998 27.596939, -99.4808544 27.5965241, -99.48080289999999 27.5961941, -99.4807945 27.596143, -99.48066710000001 27.5956524, -99.4805527 27.5953415, -99.4803533 27.594885, -99.47982450000001 27.5937878, -99.479817 27.5937722, -99.47943720000001 27.5929805, -99.47916669999999 27.592418, -99.4791979 27.5914002, -99.4794617 27.5912962, -99.48029819999999 27.5909665, -99.48066900000001 27.5908203, -99.4812608 27.5906602, -99.4823142 27.5903635, -99.4853877 27.5891822, -99.48556499999999 27.5895148, -99.48461090000001 27.5898957)","(27.6133318, -99.47668120000002)","(27.5898957, -99.4846109)"
484790017251,45,0,1931.85,"LINESTRING (-99.4616977 27.6020285, -99.4646303 27.6009082, -99.4649837 27.6016465, -99.4651767 27.6020436, -99.4652076 27.6025047, -99.4659717 27.6043301, -99.46610250000001 27.6045428, -99.4666706 27.60528369999999, -99.4674072 27.6060171, -99.4661929 27.6071982, -99.4656517 27.6090961, -99.465728 27.6100666, -99.4659209 27.6107255, -99.4646369 27.6107958, -99.46462440000001 27.6108467, -99.4644282 27.6116464, -99.4636271 27.6116549, -99.4634556 27.6122617)","(27.6020285, -99.4616977)","(27.6122617, -99.4634556)"
