cbg_id,store_id,rank,distance,geometry,Origin,Destination
320030001011,42,0,991.183,"LINESTRING (-115.1842396 36.1780125, -115.1841976 36.1789237, -115.183772 36.17941439999998, -115.1836744 36.17956619999999, -115.1838585 36.1797136, -115.1836516 36.1798715, -115.1832003 36.1800734, -115.1831384 36.1800886, -115.1833456 36.18104880000001, -115.1833377 36.1811577, -115.1824398 36.1811424, -115.1815458 36.1811271, -115.181159 36.182577, -115.1808599 36.1827967, -115.1804147 36.1823055, -115.1802666 36.182382, -115.180212 36.1824111, -115.1800927 36.1824701, -115.1799417 36.1824883, -115.179514 36.1824775, -115.1794255 36.1826303, -115.1794041 36.1827853, -115.1794009 36.1829349)","(36.1780125, -115.1842396)","(36.1829349, -115.1794009)"
320030001011,39,1,2356.723,"LINESTRING (-115.1842396 36.1780125, -115.1841976 36.1789237, -115.184398 36.1790522, -115.1845221 36.1792436, -115.1846321 36.1794671, -115.1849858 36.1797378, -115.1850075 36.1798108, -115.185039 36.1799618, -115.1850685 36.18011950000001, -115.1849959 36.180492, -115.184996 36.1805804, -115.185378 36.1805869, -115.1858493 36.1805996, -115.1862617 36.180624, -115.1862627 36.1807253, -115.1861821 36.1807413, -115.1861752 36.1809331, -115.1861837 36.1810939, -115.1861903 36.1812085, -115.1870365 36.1812171, -115.1879866 36.1812271, -115.1882808 36.1812273, -115.1888908 36.1812193, -115.1897271 36.1812083, -115.1909201 36.1811893, -115.1919842 36.1811715, -115.192496 36.1811646, -115.1929292 36.1811573, -115.1938501 36.1811427, -115.1941109 36.1811388, -115.1950862 36.181123, -115.1959492 36.1811092, -115.1967187 36.181097, -115.1968122 36.1810955, -115.1977001 36.18108139999999, -115.1982853 36.1810702, -115.1985323 36.1810696, -115.1986272 36.1810677, -115.1988441 36.1810632, -115.1997222 36.1810494, -115.203348 36.1809915, -115.2044076 36.1809785, -115.2049146 36.1809723, -115.2049569 36.18075549999999, -115.2049571 36.1802775, -115.2052552 36.180274, -115.20579 36.1802564, -115.2059807 36.1802598)","(36.1780125, -115.1842396)","(36.1802598, -115.2059807)"
320030001012,39,0,790.913,"LINESTRING (-115.2007289 36.1773566, -115.2014237 36.1773597, -115.2014645 36.1773597, -115.2016609 36.1773597, -115.2018882 36.1773598, -115.2041358 36.17735540000002, -115.2043545 36.177354, -115.2046568 36.1773534, -115.2046551 36.1775537, -115.2046595 36.1779011, -115.2052766 36.1779008, -115.2052943 36.1783766, -115.2057493 36.1783706, -115.2057645 36.1794558, -115.2059729 36.1794603, -115.2059741 36.17958010000001, -115.2059771 36.1798855, -115.2059807 36.1802598)","(36.1773566, -115.20072889999999)","(36.1802598, -115.2059807)"
320030001012,30,1,1484.592,"LINESTRING (-115.2007289 36.1773566, -115.2014237 36.1773597, -115.2014645 36.1773597, -115.2016609 36.1773597, -115.2018882 36.1773598, -115.2041358 36.17735540000002, -115.2043545 36.177354, -115.2046568 36.1773534, -115.2053952 36.1773509, -115.2059526 36.1773512, -115.2061539 36.177351, -115.2061338 36.1761295, -115.2061112 36.1753377, -115.2061111 36.1751847, -115.2061084 36.174649, -115.2061042 36.1743877, -115.2060978 36.17398390000001, -115.2060965 36.1739009, -115.2060984 36.1728796, -115.2061188 36.172248, -115.2061278 36.1718466, -115.2061337 36.1711753, -115.2061329 36.1707466, -115.2061325 36.1705416, -115.2061321 36.1703337, -115.2061317 36.1701219, -115.2061314 36.1700132, -115.2059151 36.1700109, -115.2049504 36.1700418, -115.2043903 36.1701977, -115.2046265 36.1702276)","(36.1773566, -115.20072889999999)","(36.1702276, -115.20462649999997)"
320030001013,39,0,1427.257,"LINESTRING (-115.1978261 36.1853436, -115.1982231 36.185322, -115.1993712 36.1852553, -115.1997044 36.1845062, -115.1995462 36.1844247, -115.1995654 36.184315, -115.1993105 36.1842446, -115.1994447 36.1838861, -115.1993622 36.1836918, -115.1988021 36.18347450000002, -115.1986815 36.1832972, -115.198559 36.1831163, -115.198516 36.182942, -115.198516 36.1828856, -115.1985378 36.1823831, -115.1985388 36.1822071, -115.1985695 36.1816952, -115.1986272 36.1810677, -115.1988441 36.1810632, -115.1997222 36.1810494, -115.203348 36.1809915, -115.2044076 36.1809785, -115.2049146 36.1809723, -115.2049569 36.18075549999999, -115.2049571 36.1802775, -115.2052552 36.180274, -115.20579 36.1802564, -115.2059807 36.1802598)","(36.1853436, -115.19782610000001)","(36.1802598, -115.2059807)"
320030001013,50,1,1926.728,"LINESTRING (-115.1978261 36.1853436, -115.1982231 36.185322, -115.1993712 36.1852553, -115.1999818 36.185258, -115.1994324 36.1877367, -115.1994476 36.1883044, -115.199654 36.188301, -115.200196 36.188291, -115.201177 36.188277, -115.20163 36.1882679, -115.202176 36.188259, -115.2027795 36.1882508, -115.2028979 36.1882492, -115.2030801 36.1882467, -115.2032955 36.1882438, -115.2037906 36.1882371, -115.2038323 36.1882366, -115.2039877 36.1882349, -115.2043463 36.1882297, -115.20473 36.1882245, -115.2048388 36.188225, -115.2055325 36.18825440000001, -115.2055513 36.1884233, -115.2058378 36.18842630000001, -115.206063 36.1884286, -115.2060463 36.1888285, -115.2060263 36.1892961, -115.2060156 36.1895445, -115.2060101 36.1896731, -115.2060099 36.1896783, -115.2059982 36.1902666, -115.2059884 36.19075740000001, -115.205986 36.19085659999999, -115.2059764 36.1913605, -115.2059736 36.1914475, -115.2059617 36.19181190000001, -115.2059302 36.1927759, -115.2059133 36.1936129, -115.2059126 36.1941317, -115.2061027 36.1941613, -115.2063554 36.1941684, -115.2063541 36.1942123, -115.2063539 36.1943985, -115.2063436 36.1945576, -115.2063335 36.1948927, -115.2061039 36.1948887)","(36.1853436, -115.19782610000001)","(36.1948887, -115.2061039)"
320030001014,42,0,825.252,"LINESTRING (-115.1857539 36.18476540000001, -115.1855585 36.1848733, -115.185342 36.184636, -115.184832 36.1840695, -115.1841203 36.1844843, -115.183415 36.184899, -115.1830107 36.1851553, -115.1813758 36.1833611, -115.1812352 36.18343740000001, -115.1808083 36.1836901, -115.1805097 36.1833881, -115.180459 36.1833323, -115.1803426 36.1831566, -115.1803043 36.1830697, -115.1799442 36.1830761, -115.1793988 36.1830713, -115.1794009 36.1829349)","(36.18476540000001, -115.1857539)","(36.1829349, -115.1794009)"
320030001014,39,1,2273.78,"LINESTRING (-115.1857539 36.18476540000001, -115.1860569 36.1848029, -115.1865878 36.1851412, -115.1871461 36.1849999, -115.187569 36.184746, -115.189703 36.184124, -115.1897271 36.1812083, -115.1909201 36.1811893, -115.1919842 36.1811715, -115.192496 36.1811646, -115.1929292 36.1811573, -115.1938501 36.1811427, -115.1941109 36.1811388, -115.1950862 36.181123, -115.1959492 36.1811092, -115.1967187 36.181097, -115.1968122 36.1810955, -115.1977001 36.18108139999999, -115.1982853 36.1810702, -115.1985323 36.1810696, -115.1986272 36.1810677, -115.1988441 36.1810632, -115.1997222 36.1810494, -115.203348 36.1809915, -115.2044076 36.1809785, -115.2049146 36.1809723, -115.2049569 36.18075549999999, -115.2049571 36.1802775, -115.2052552 36.180274, -115.20579 36.1802564, -115.2059807 36.1802598)","(36.18476540000001, -115.1857539)","(36.1802598, -115.2059807)"
320030001015,42,0,448.473,"LINESTRING (-115.181741 36.185905, -115.1801885 36.18395, -115.1793807 36.1839517, -115.1793908 36.1834604, -115.1793932 36.18334259999999, -115.1793964 36.1831887, -115.1793988 36.1830713, -115.1794009 36.1829349)","(36.185905, -115.181741)","(36.1829349, -115.1794009)"
320030001015,39,1,2586.245,"LINESTRING (-115.181741 36.185905, -115.182439 36.185486, -115.1828754 36.1852415, -115.1830107 36.1851553, -115.183415 36.184899, -115.1841203 36.1844843, -115.184832 36.1840695, -115.185514 36.183638, -115.1862498 36.1832263, -115.1861308 36.1812054, -115.1861903 36.1812085, -115.1870365 36.1812171, -115.1879866 36.1812271, -115.1882808 36.1812273, -115.1888908 36.1812193, -115.1897271 36.1812083, -115.1909201 36.1811893, -115.1919842 36.1811715, -115.192496 36.1811646, -115.1929292 36.1811573, -115.1938501 36.1811427, -115.1941109 36.1811388, -115.1950862 36.181123, -115.1959492 36.1811092, -115.1967187 36.181097, -115.1968122 36.1810955, -115.1977001 36.18108139999999, -115.1982853 36.1810702, -115.1985323 36.1810696, -115.1986272 36.1810677, -115.1988441 36.1810632, -115.1997222 36.1810494, -115.203348 36.1809915, -115.2044076 36.1809785, -115.2049146 36.1809723, -115.2049569 36.18075549999999, -115.2049571 36.1802775, -115.2052552 36.180274, -115.20579 36.1802564, -115.2059807 36.1802598)","(36.185905, -115.181741)","(36.1802598, -115.2059807)"
