cbg_id,store_id,rank,distance,geometry,Origin,Destination
311090028004,14,0,1964.211,"LINESTRING (-96.7044425 40.7792937, -96.7038546 40.7792937, -96.70296380000001 40.7793073, -96.7028524 40.7793068, -96.7028399 40.7795287, -96.7028382 40.7795776, -96.702838 40.7796577, -96.7028373 40.7799701, -96.7027339 40.7799706, -96.70273280000001 40.7802106, -96.70269860000001 40.7808587, -96.70267420000002 40.78097439999998, -96.7026551 40.7810623, -96.702219 40.7810615, -96.7016948 40.7810596, -96.701695 40.7816486, -96.70169420000001 40.7825583, -96.701694 40.7826226, -96.7016919 40.78348, -96.7016919 40.7835308, -96.7016919 40.783584, -96.701688 40.7844417, -96.7016869 40.7845218, -96.7016862 40.7846055, -96.70167120000001 40.7857385, -96.7016703 40.7858062, -96.7016694 40.7858858, -96.7016526 40.78728919999999, -96.70165179999999 40.7873592, -96.7016508 40.7874381, -96.70164389999999 40.7880199, -96.70155020000001 40.78803079999999, -96.70144879999999 40.7880574, -96.70144759999999 40.7881147, -96.7014472 40.7881697, -96.70144139999999 40.7887505, -96.7014288 40.7899392, -96.70140840000001 40.7916431, -96.7008908 40.79167179999999, -96.7008895 40.7917431, -96.7006346 40.7917409, -96.7004427 40.7917393, -96.7003048 40.7917381, -96.6997338 40.7917388, -96.69973299999999 40.79183989999999, -96.6996327 40.7918403, -96.69853089999998 40.7918239, -96.69841330000001 40.7918236, -96.69831550000001 40.791812, -96.69745890000002 40.79181)","(40.7792937, -96.7044425)","(40.79181, -96.69745890000002)"
311090028004,15,1,2606.594,"LINESTRING (-96.7044425 40.7792937, -96.7038546 40.7792937, -96.70296380000001 40.7793073, -96.7028524 40.7793068, -96.7028399 40.7795287, -96.7028382 40.7795776, -96.702838 40.7796577, -96.7028373 40.7799701, -96.7027339 40.7799706, -96.70273280000001 40.7802106, -96.70269860000001 40.7808587, -96.70267420000002 40.78097439999998, -96.7026551 40.7810623, -96.702219 40.7810615, -96.7016948 40.7810596, -96.701695 40.7816486, -96.70169420000001 40.7825583, -96.701694 40.7826226, -96.7016919 40.78348, -96.7016919 40.7835308, -96.7016919 40.783584, -96.701688 40.7844417, -96.7016869 40.7845218, -96.7016862 40.7846055, -96.70167120000001 40.7857385, -96.7016703 40.7858062, -96.7015777 40.785806, -96.7014793 40.7858186, -96.7014731 40.7858869, -96.7014738 40.7862993, -96.7014731 40.78635669999998, -96.7014586 40.78729009999999, -96.70035710000002 40.7873552, -96.6992655 40.78731139999999, -96.69926479999999 40.7873677, -96.6992563 40.7881073, -96.69925560000001 40.7881622, -96.69916670000001 40.7881619, -96.6991649 40.7885456, -96.69875129999998 40.7885472, -96.6987508 40.788676, -96.698239 40.7888118, -96.6973376 40.7890103, -96.6968619 40.7890116, -96.6968506 40.7899118, -96.6967569 40.7899217, -96.6967566 40.790359, -96.6967564 40.7905851, -96.6967562 40.7908186, -96.6967526 40.79116489999998, -96.69675220000001 40.7912098, -96.6967515 40.7912742, -96.69674809999999 40.791596, -96.69674740000001 40.79166489999999, -96.6967449 40.7917676, -96.6967441 40.7918269, -96.6967401 40.7921387, -96.69673960000002 40.7921747, -96.6967351 40.7925131, -96.69673349999999 40.7926332, -96.69673109999999 40.7928039, -96.696727 40.793089, -96.696724 40.793289, -96.6967204 40.7935431, -96.69671719999999 40.7937706, -96.696714 40.793999, -96.6967116 40.7942579, -96.6967078 40.7944569, -96.69670360000001 40.7947371, -96.696701 40.794906, -96.696697 40.795219, -96.69669519999999 40.7953544, -96.69669039999999 40.79570769999999, -96.69668900000001 40.795811, -96.6966833 40.7961873, -96.69668230000001 40.7962574, -96.6966767 40.7966661, -96.696676 40.796718, -96.69667099999999 40.797117)","(40.7792937, -96.7044425)","(40.797117, -96.696671)"
311090030023,51,0,188.643,"LINESTRING (-96.7077446 40.84011329999998, -96.70774179999999 40.8397629, -96.70606410000001 40.8397445, -96.7059627 40.8397434)","(40.840113299999985, -96.7077446)","(40.8397434, -96.7059627)"
311090030023,52,1,805.428,"LINESTRING (-96.7077446 40.84011329999998, -96.70774179999999 40.8397629, -96.70606410000001 40.8397445, -96.7059627 40.8397434, -96.70587209999999 40.8397424, -96.7039978 40.83971979999998, -96.7039777 40.840128, -96.70397699999999 40.8401811, -96.70390570000001 40.8401805, -96.70382750000002 40.8401799, -96.7015439 40.8401624, -96.7014293 40.840224, -96.7013528 40.8406048, -96.70133840000001 40.8410084, -96.70133640000002 40.8410658, -96.7013343 40.8411252, -96.7013244 40.8415176, -96.701232 40.84151689999999, -96.7012282 40.8417637)","(40.840113299999985, -96.7077446)","(40.8417637, -96.7012282)"
311090030031,52,0,908.268,"LINESTRING (-96.6952098 40.8392093, -96.6951834 40.8398975, -96.69520420000001 40.8407041, -96.6952003 40.8408642, -96.6962097 40.8408833, -96.6977011 40.8409124, -96.6982069 40.8409178, -96.6988648 40.8405069, -96.6988917 40.8405332, -96.69833199999999 40.8409843, -96.6984947 40.8410236, -96.6986673 40.8410264, -96.69873459999999 40.84102809999999, -96.6990521 40.8410362, -96.699603 40.841026, -96.69995080000001 40.8410343, -96.7002667 40.8410418, -96.7007732 40.8410539, -96.70101200000001 40.8410596, -96.7011546 40.8410621, -96.70115060000001 40.8412262, -96.70113990000002 40.8417575, -96.7012282 40.8417637)","(40.8392093, -96.6952098)","(40.8417637, -96.7012282)"
311090030031,53,1,1229.094,"LINESTRING (-96.6952098 40.8392093, -96.6951834 40.8398975, -96.69520420000001 40.8407041, -96.6952003 40.8408642, -96.69416029999999 40.8408398, -96.6933264 40.8408541, -96.6930308 40.8408416, -96.69302969999998 40.8408964, -96.6927304 40.8408904, -96.6927261 40.8409746, -96.69272239999999 40.8410931, -96.6924262 40.841583, -96.6923384 40.8415805, -96.6922603 40.8415783, -96.69217730000001 40.8415797, -96.6920641 40.8423411, -96.6917388 40.8423156, -96.69085200000001 40.8423702, -96.6906465 40.8423698, -96.689958 40.8423683, -96.689736 40.8423678, -96.68905650000001 40.84236639999999, -96.68905650000001 40.8424056, -96.6890566 40.8425368, -96.6881983 40.84266250000001, -96.688194 40.8427816, -96.68807889999999 40.8427801, -96.68515490000001 40.8427555)","(40.8392093, -96.6952098)","(40.8427555, -96.68515490000001)"
311090031041,51,0,2615.518,"LINESTRING (-96.7319474 40.8337011, -96.7317299 40.8337031, -96.73092939999999 40.8337133, -96.73067 40.83371669999999, -96.73030759999999 40.8337213, -96.72935560000001 40.8337337, -96.7290905 40.83373719999999, -96.72891370000001 40.8337392, -96.7288441 40.833712, -96.728556 40.8337465, -96.7251746 40.8355286, -96.72045199999999 40.835568, -96.7202987 40.8355689, -96.7202025 40.8355702, -96.7148018 40.8362861, -96.7140737 40.8364052, -96.71281620000001 40.8365994, -96.70981829999999 40.83709180000001, -96.7077359 40.83736819999999, -96.7068364 40.8375022, -96.7062004 40.8375942, -96.70620839999999 40.8377348, -96.7062162 40.8378457, -96.7061812 40.8384011, -96.7060951 40.8388019, -96.7059915 40.8388066, -96.70596980000002 40.8392884, -96.7059627 40.8397434)","(40.8337011, -96.7319474)","(40.8397434, -96.7059627)"
311090031041,52,1,3132.628,"LINESTRING (-96.7319474 40.8337011, -96.7317299 40.8337031, -96.73092939999999 40.8337133, -96.73067 40.83371669999999, -96.73030759999999 40.8337213, -96.72935560000001 40.8337337, -96.7290905 40.83373719999999, -96.72891370000001 40.8337392, -96.7288441 40.833712, -96.728556 40.8337465, -96.7251746 40.8355286, -96.72045199999999 40.835568, -96.7202987 40.8355689, -96.7202025 40.8355702, -96.7148018 40.8362861, -96.7140737 40.8364052, -96.71281620000001 40.8365994, -96.70981829999999 40.83709180000001, -96.7077359 40.83736819999999, -96.7068364 40.8375022, -96.7062004 40.8375942, -96.7060977 40.8376064, -96.7059543 40.8376241, -96.70583790000001 40.8376384, -96.7058263 40.83778009999999, -96.7058174 40.83788590000001, -96.7018522 40.8390647, -96.70179419999999 40.8390503, -96.7015633 40.8399878, -96.7015439 40.8401624, -96.7014293 40.840224, -96.7013528 40.8406048, -96.70133840000001 40.8410084, -96.70133640000002 40.8410658, -96.7013343 40.8411252, -96.7013244 40.8415176, -96.701232 40.84151689999999, -96.7012282 40.8417637)","(40.8337011, -96.7319474)","(40.8417637, -96.7012282)"
311090031032,51,0,1935.902,"LINESTRING (-96.716418 40.8373032, -96.7173221 40.8373603, -96.71730379999998 40.8379918, -96.7155819 40.8379778, -96.7155746 40.8384799, -96.714974 40.838479, -96.71371860000001 40.8385997, -96.71256769999999 40.8429038, -96.71256700000001 40.842971, -96.7107735 40.8429621, -96.7088246 40.8429487, -96.70882659999999 40.8428948, -96.70881850000001 40.8424827, -96.7087827 40.8420406, -96.7087696 40.8415818, -96.708764 40.841124, -96.7087665 40.84067269999998, -96.70876869999999 40.8402762, -96.708769 40.840218, -96.7087056 40.8402197, -96.706059 40.8401972, -96.70606410000001 40.8397445, -96.7059627 40.8397434)","(40.8373032, -96.716418)","(40.8397434, -96.7059627)"
311090031032,52,1,2105.005,"LINESTRING (-96.716418 40.8373032, -96.7173221 40.8373603, -96.71730379999998 40.8379918, -96.7155819 40.8379778, -96.7155746 40.8384799, -96.714974 40.838479, -96.71371860000001 40.8385997, -96.71256769999999 40.8429038, -96.71256700000001 40.842971, -96.7107735 40.8429621, -96.7088246 40.8429487, -96.70838000000001 40.842941, -96.707187 40.842933, -96.705994 40.842925, -96.705916 40.842924, -96.7058521 40.8429235, -96.704801 40.842916, -96.70386569999999 40.84291, -96.703819 40.8429095, -96.70378220000001 40.8428556, -96.7013079 40.8427916, -96.7013228 40.8424189, -96.7013153 40.84202470000001, -96.7013163 40.8419717, -96.70122499999999 40.841971, -96.7012282 40.8417637)","(40.8373032, -96.716418)","(40.8417637, -96.7012282)"
