cbg_id,store_id,rank,distance,geometry,Origin,Destination
60375741004,56,0,1583.032,"LINESTRING (-118.129277 33.81315270000001, -118.1292851 33.8114968, -118.1292755 33.8107325, -118.1264156 33.8107148, -118.1264137 33.8106095, -118.126413 33.8104771, -118.125964 33.810476, -118.125346 33.810474, -118.125174 33.8104712, -118.123936 33.8104692, -118.1232992 33.8104661, -118.1224716 33.8104661, -118.1215625 33.8104613, -118.1176124 33.8104629, -118.117494 33.8104671, -118.1170278 33.8104666, -118.115907 33.8104626, -118.1159062 33.8106043, -118.115913 33.8107647, -118.1157079 33.8107685)","(33.81315270000001, -118.129277)","(33.8107685, -118.1157079)"
60375741004,57,1,2113.499,"LINESTRING (-118.129277 33.81315270000001, -118.1292851 33.8114968, -118.1292755 33.8107325, -118.1264156 33.8107148, -118.1264137 33.8106095, -118.126413 33.8104771, -118.125964 33.810476, -118.125346 33.810474, -118.125174 33.8104712, -118.123936 33.8104692, -118.1232992 33.8104661, -118.1224716 33.8104661, -118.1215625 33.8104613, -118.1176124 33.8104629, -118.117494 33.8104671, -118.1170278 33.8104666, -118.115907 33.8104626, -118.1146485 33.8104558, -118.1145087 33.8104585, -118.1120893 33.8104361, -118.1117943 33.8104388, -118.1110015 33.8104242, -118.1108708 33.8104225, -118.1107674 33.8105706, -118.1107645 33.8110015, -118.1106164 33.8110015, -118.1104103 33.81100150000001, -118.1102154 33.8110015)","(33.81315270000001, -118.129277)","(33.8110015, -118.11021540000002)"
60375766013,5,0,610.539,"LINESTRING (-118.1806278 33.76778920000001, -118.1805193 33.7683479, -118.1804125 33.7689357, -118.1817101 33.7691107, -118.1820695 33.76924440000001, -118.1824307 33.769385, -118.1827378 33.7693992, -118.1827393 33.7694927, -118.1827413 33.7696187, -118.1827447 33.76984130000001, -118.1830575 33.7698406, -118.1836889 33.7698391, -118.1843641 33.7698418, -118.1843689 33.7693175)","(33.76778920000001, -118.1806278)","(33.7693175, -118.18436890000001)"
60375766013,7,1,770.516,"LINESTRING (-118.1806278 33.76778920000001, -118.1805193 33.7683479, -118.1804125 33.7689357, -118.1803003 33.76953180000001, -118.1801915 33.7700823, -118.180098 33.7706173, -118.1799953 33.771153, -118.1799602 33.7713368, -118.179897 33.7717283, -118.1796686 33.7717257, -118.179411 33.7717271, -118.1790742 33.7717258, -118.1780846 33.77173040000001, -118.1779859 33.7717301, -118.1771457 33.7717301, -118.1769301 33.77173279999999, -118.1763564 33.7717308)","(33.76778920000001, -118.1806278)","(33.7717308, -118.17635640000002)"
60375702021,84,0,744.857,"LINESTRING (-118.1727911 33.879007, -118.1730622 33.8782583, -118.172522 33.8782607, -118.1723443 33.8782615, -118.1719728 33.8782633, -118.1718043 33.878264, -118.1715791 33.8782651, -118.1714476 33.8782657, -118.171298 33.8782663, -118.1709022 33.8782682, -118.1708712 33.8782683, -118.1704344 33.8782703, -118.1703587 33.8782707, -118.1698098 33.8782732, -118.1697099 33.8782736, -118.1692531 33.8782757, -118.1687715 33.8782843, -118.1686509 33.878284, -118.1680096 33.878287, -118.1676449 33.878289, -118.1676461 33.8780927, -118.1677628 33.8780931, -118.1679438 33.8780938, -118.1679387 33.8778594, -118.1684345 33.87785920000001, -118.1684346 33.87767)","(33.879007, -118.1727911)","(33.87767, -118.16843460000001)"
60375702021,80,1,768.099,"LINESTRING (-118.1727911 33.879007, -118.1730622 33.8782583, -118.1730629 33.877813, -118.1730678 33.8773495, -118.1730585 33.876448, -118.1735772 33.87644410000001, -118.1741281 33.87644, -118.1746451 33.8764336, -118.1751795 33.876427, -118.1751751 33.875852, -118.1751746 33.8757796, -118.1751691 33.8750649, -118.1751662 33.8746854, -118.175764 33.874676, -118.175976 33.8746755)","(33.879007, -118.1727911)","(33.8746755, -118.175976)"
60375733002,36,0,752.814,"LINESTRING (-118.1741442 33.7916768, -118.1754078 33.7916733, -118.1754044 33.7915099, -118.175406 33.79134910000001, -118.175419 33.7911906, -118.1763134 33.7912706, -118.177369 33.7912673, -118.1784217 33.7912681, -118.178415 33.7908299, -118.1784118 33.7903373, -118.1784118 33.7902712, -118.1784701 33.78985990000001, -118.178837 33.7898656, -118.1790627 33.78986629999999, -118.1792941 33.7898688, -118.1796056 33.7898657, -118.1796667 33.7898667, -118.1800556 33.7898639)","(33.7916768, -118.1741442)","(33.7898639, -118.1800556)"
60375733002,32,1,961.103,"LINESTRING (-118.1741442 33.7916768, -118.174145 33.7917694, -118.1738641 33.79165359999999, -118.1735746 33.7916493, -118.1731416 33.7916512, -118.1730267 33.7916465, -118.173025 33.790899, -118.1730311 33.78987080000001, -118.1728451 33.7898691, -118.1720074 33.7898705, -118.1714855 33.7898609, -118.1709099 33.7895233, -118.170911 33.7893899, -118.1709156 33.7888522, -118.1709168 33.7886446, -118.1709243 33.7880713, -118.1709229 33.7880356, -118.170375 33.7880277, -118.1703764 33.7862424)","(33.7916768, -118.1741442)","(33.7862424, -118.1703764)"
60375734023,32,0,1170.824,"LINESTRING (-118.1732682 33.7949961, -118.1720992 33.7940388, -118.1720067 33.7939669, -118.1720068 33.7938792, -118.1720041 33.7919757, -118.1720037 33.7916782, -118.1720027 33.7915408, -118.1720031 33.7905875, -118.1720074 33.7898705, -118.1714855 33.7898609, -118.1709099 33.7895233, -118.170911 33.7893899, -118.1709156 33.7888522, -118.1709168 33.7886446, -118.1709243 33.7880713, -118.1709229 33.7880356, -118.170375 33.7880277, -118.1703764 33.7862424)","(33.7949961, -118.1732682)","(33.7862424, -118.1703764)"
60375734023,36,1,1189.531,"LINESTRING (-118.1732682 33.7949961, -118.1733552 33.7948511, -118.1743315 33.7948425, -118.1758017 33.7948378, -118.1763363 33.794832, -118.1763278 33.7939233, -118.176302 33.7934897, -118.1763124 33.792383, -118.1763134 33.7912706, -118.177369 33.7912673, -118.1784217 33.7912681, -118.178415 33.7908299, -118.1784118 33.7903373, -118.1784118 33.7902712, -118.1784701 33.78985990000001, -118.178837 33.7898656, -118.1790627 33.78986629999999, -118.1792941 33.7898688, -118.1796056 33.7898657, -118.1796667 33.7898667, -118.1800556 33.7898639)","(33.7949961, -118.1732682)","(33.7898639, -118.1800556)"
