cbg_id,store_id,rank,distance,geometry,Origin,Destination
60371011101,709,0,961.078,"LINESTRING (-118.2885691 34.2595402, -118.2885851 34.2586194, -118.2885858 34.2585764, -118.2885959 34.2579962, -118.2885997 34.2577756, -118.2886057 34.2573845, -118.288612 34.2569915, -118.2886149 34.2568118, -118.2886173 34.25666539999999, -118.2886187 34.256617, -118.2886239 34.2563776, -118.2886252 34.2563039, -118.2886318 34.2559236, -118.2886296 34.2550886, -118.2886289 34.254839, -118.2886285 34.2546585, -118.2886273 34.2542475, -118.2886273 34.2542362, -118.2886256 34.2536073, -118.2886252 34.2532614, -118.2886294 34.2526641, -118.28841 34.25266160000001, -118.2882223 34.2525098, -118.2882092 34.2523087, -118.2880492 34.2523072, -118.2880518 34.2518465, -118.2880525 34.2517328, -118.2880536 34.2515567, -118.2883027 34.2515617)","(34.2595402, -118.2885691)","(34.2515617, -118.2883027)"
60371011101,726,1,1356.702,"LINESTRING (-118.2885691 34.2595402, -118.2893118 34.259545, -118.2901565 34.25955050000001, -118.2913487 34.25955829999999, -118.2919741 34.2595624, -118.2923363 34.25956469999998, -118.2926837 34.259567, -118.2931946 34.2595703, -118.2941423 34.2595765, -118.2943687 34.2595779, -118.2950933 34.25958270000001, -118.2951765 34.2595832, -118.2960317 34.2595888, -118.296975 34.2595949, -118.2978489 34.2596006, -118.2979355 34.2596012, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3017293 34.2596249, -118.3022664 34.2596278, -118.3025971 34.2596296, -118.3027016 34.25963010000002, -118.3027009 34.2595364, -118.3027043 34.2591098)","(34.2595402, -118.2885691)","(34.2591098, -118.30270429999999)"
60371011102,713,0,707.936,"LINESTRING (-118.2954353 34.2583118, -118.2950918 34.25831910000002, -118.2950883 34.2559657, -118.2954966 34.2559706, -118.2960329 34.2559733, -118.2963945 34.2559755, -118.2969726 34.2559802, -118.2979379 34.2559837, -118.299247 34.2559815, -118.2995586 34.25608)","(34.2583118, -118.2954353)","(34.25608, -118.29955859999998)"
60371011102,726,1,929.185,"LINESTRING (-118.2954353 34.2583118, -118.2950918 34.25831910000002, -118.2950933 34.25958270000001, -118.2951765 34.2595832, -118.2960317 34.2595888, -118.296975 34.2595949, -118.2978489 34.2596006, -118.2979355 34.2596012, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3017293 34.2596249, -118.3022664 34.2596278, -118.3025971 34.2596296, -118.3027016 34.25963010000002, -118.3027009 34.2595364, -118.3027043 34.2591098)","(34.2583118, -118.2954353)","(34.2591098, -118.30270429999999)"
60371011103,726,0,870.471,"LINESTRING (-118.2960291 34.2613908, -118.2969712 34.26139680000001, -118.2979354 34.2614029, -118.2979354 34.2611013, -118.2979354 34.2609616, -118.2979354 34.2608615, -118.2979355 34.2596838, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3017293 34.2596249, -118.3022664 34.2596278, -118.3025971 34.2596296, -118.3027016 34.25963010000002, -118.3027009 34.2595364, -118.3027043 34.2591098)","(34.2613908, -118.29602909999998)","(34.2591098, -118.30270429999999)"
60371011103,723,1,875.153,"LINESTRING (-118.2960291 34.2613908, -118.2969712 34.26139680000001, -118.2979354 34.2614029, -118.2979354 34.2611013, -118.2979354 34.2609616, -118.2979354 34.2608615, -118.2979355 34.2596838, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3015152 34.2594525, -118.3015175 34.2592906, -118.3015197 34.2591343, -118.301522 34.2589769, -118.3015242 34.258822, -118.3021319 34.258893, -118.3023356 34.2587541)","(34.2613908, -118.29602909999998)","(34.2587541, -118.3023356)"
60371011221,726,0,2038.804,"LINESTRING (-118.2950001 34.270754, -118.2945161 34.2690532, -118.2946837 34.268752, -118.2947363 34.2675029, -118.2951102 34.267452, -118.2961444 34.2671215, -118.2960076 34.2668337, -118.2979315 34.266868, -118.297932 34.2667768, -118.2979332 34.2665042, -118.2979358 34.2660839, -118.2979361 34.2660315, -118.2979378 34.265711, -118.2979374 34.265073, -118.2979373 34.26491269999999, -118.2979373 34.2646149, -118.2979354 34.2641794, -118.2979327 34.26375050000001, -118.2979353 34.2633132, -118.2979358 34.2632312, -118.2979358 34.2631509, -118.2979356 34.2622319, -118.2979354 34.2614029, -118.2979354 34.2611013, -118.2979354 34.2609616, -118.2979354 34.2608615, -118.2979355 34.2596838, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3017293 34.2596249, -118.3022664 34.2596278, -118.3025971 34.2596296, -118.3027016 34.25963010000002, -118.3027009 34.2595364, -118.3027043 34.2591098)","(34.270754, -118.2950001)","(34.2591098, -118.30270429999999)"
60371011221,723,1,2043.486,"LINESTRING (-118.2950001 34.270754, -118.2945161 34.2690532, -118.2946837 34.268752, -118.2947363 34.2675029, -118.2951102 34.267452, -118.2961444 34.2671215, -118.2960076 34.2668337, -118.2979315 34.266868, -118.297932 34.2667768, -118.2979332 34.2665042, -118.2979358 34.2660839, -118.2979361 34.2660315, -118.2979378 34.265711, -118.2979374 34.265073, -118.2979373 34.26491269999999, -118.2979373 34.2646149, -118.2979354 34.2641794, -118.2979327 34.26375050000001, -118.2979353 34.2633132, -118.2979358 34.2632312, -118.2979358 34.2631509, -118.2979356 34.2622319, -118.2979354 34.2614029, -118.2979354 34.2611013, -118.2979354 34.2609616, -118.2979354 34.2608615, -118.2979355 34.2596838, -118.2980461 34.2596019, -118.2985092 34.2596049, -118.2988359 34.259607, -118.2990639 34.2596085, -118.3000229 34.2596148, -118.3006907 34.2596191, -118.3007732 34.2596196, -118.3007987 34.2596198, -118.3008865 34.2596203, -118.3015127 34.2596237, -118.3015152 34.2594525, -118.3015175 34.2592906, -118.3015197 34.2591343, -118.301522 34.2589769, -118.3015242 34.258822, -118.3021319 34.258893, -118.3023356 34.2587541)","(34.270754, -118.2950001)","(34.2587541, -118.3023356)"
60371011222,709,0,1850.345,"LINESTRING (-118.2833485 34.2629074, -118.2839886 34.2625827, -118.2836919 34.2618218, -118.2849221 34.2617828, -118.2849213 34.2611646, -118.2849217 34.2604965, -118.2849226 34.2600428, -118.2849193 34.2594902, -118.284929 34.2590447, -118.2849361 34.258723, -118.2849405 34.258494, -118.2849441 34.2582838, -118.2849516 34.2579919, -118.28496 34.2575381, -118.284968 34.2572629, -118.2849813 34.2568088, -118.2849987 34.2559076, -118.2859328 34.255902, -118.2859414 34.2546756, -118.2859463 34.2542426, -118.2865399 34.2542434, -118.2873357 34.2542454, -118.2873346 34.2540797, -118.2873394 34.2537548, -118.2873408 34.2536385, -118.287347 34.2532882, -118.2873471 34.2532552, -118.2873482 34.2530109, -118.287349 34.2528405, -118.2873495 34.2526987, -118.2873514 34.2523005, -118.2873521 34.2519481, -118.2876056 34.251954, -118.2876242 34.251839, -118.2880518 34.2518465, -118.2880525 34.2517328, -118.2880536 34.2515567, -118.2883027 34.2515617)","(34.2629074, -118.28334849999999)","(34.2515617, -118.2883027)"
60371011222,705,1,2047.168,"LINESTRING (-118.2833485 34.2629074, -118.2839886 34.2625827, -118.2836919 34.2618218, -118.2849221 34.2617828, -118.2849213 34.2611646, -118.2849217 34.2604965, -118.2849226 34.2600428, -118.2849193 34.2594902, -118.284929 34.2590447, -118.2849361 34.258723, -118.2849405 34.258494, -118.2849441 34.2582838, -118.2849516 34.2579919, -118.28496 34.2575381, -118.284968 34.2572629, -118.2849813 34.2568088, -118.2849987 34.2559076, -118.2859328 34.255902, -118.2859414 34.2546756, -118.2859463 34.2542426, -118.2859459 34.2542272, -118.2859397 34.2539431, -118.2859381 34.2533049, -118.2859372 34.2530792, -118.2859345 34.2523652, -118.2859342 34.2522863, -118.2859367 34.2518056, -118.2859376 34.25162190000001, -118.2859382 34.2515036, -118.2859394 34.2512615, -118.2859414 34.2510325, -118.285941 34.2508583, -118.2859417 34.2508128, -118.2859456 34.250062, -118.2859665 34.2489668, -118.2859614 34.2482339, -118.2859609 34.2481444, -118.2858669 34.2480275, -118.2857252 34.2480204)","(34.2629074, -118.28334849999999)","(34.2480204, -118.2857252)"
