cbg_id,store_id,rank,distance,geometry,Origin,Destination
210290209002,0,0,6583.278,"LINESTRING (-85.90836059999999 38.0188781, -85.90822489999999 38.0191079, -85.9080211 38.0192679, -85.908332 38.0195181, -85.91626239999999 38.0218133, -85.91713780000001 38.0214385, -85.9174768 38.0214643, -85.9173972 38.0221441, -85.9164839 38.0265374, -85.91098 38.035318, -85.9105948 38.0356909, -85.9091626 38.0370813, -85.908198 38.03802, -85.9070804 38.0391054, -85.90140529999999 38.0447005, -85.90103550000001 38.0450882, -85.89965460000001 38.0464644, -85.8988124 38.0473, -85.8974934 38.0486091, -85.8970163 38.0490875, -85.8961486 38.0499688, -85.89585889999999 38.0502667, -85.895382 38.050737, -85.8951057 38.0510205, -85.89471880000001 38.0514175, -85.89457899999999 38.051561, -85.89406030000001 38.0520974, -85.8938686 38.0522953, -85.8934548 38.0527655, -85.89319759999999 38.0530586, -85.89305179999999 38.0532318, -85.89268010000001 38.0536732, -85.89234930000001 38.0540728, -85.8921792 38.0542782, -85.89174850000001 38.0547976, -85.8916925 38.0548665, -85.89144770000001 38.0551636, -85.89062699999999 38.056175, -85.8901987 38.0566979, -85.88942729999999 38.0576244, -85.888192 38.059124, -85.88817709999999 38.0591446, -85.8880857 38.05927109999998, -85.88688019999999 38.0615839, -85.8867218 38.0619339, -85.886562 38.062296, -85.88637350000002 38.06273480000002, -85.886261 38.06295329999998, -85.8857218 38.06282050000002)","(38.0188781, -85.9083606)","(38.06282050000002, -85.8857218)"
210290209002,1,1,8035.957,"LINESTRING (-85.90836059999999 38.0188781, -85.90822489999999 38.0191079, -85.9080211 38.0192679, -85.908332 38.0195181, -85.91626239999999 38.0218133, -85.91713780000001 38.0214385, -85.9174768 38.0214643, -85.9173972 38.0221441, -85.9164839 38.0265374, -85.91098 38.035318, -85.9105948 38.0356909, -85.9091626 38.0370813, -85.908198 38.03802, -85.9070804 38.0391054, -85.90140529999999 38.0447005, -85.90103550000001 38.0450882, -85.89965460000001 38.0464644, -85.8988124 38.0473, -85.8974934 38.0486091, -85.8970163 38.0490875, -85.8961486 38.0499688, -85.89585889999999 38.0502667, -85.895382 38.050737, -85.8951057 38.0510205, -85.89471880000001 38.0514175, -85.89457899999999 38.051561, -85.89406030000001 38.0520974, -85.8938686 38.0522953, -85.8934548 38.0527655, -85.89319759999999 38.0530586, -85.89305179999999 38.0532318, -85.89268010000001 38.0536732, -85.89234930000001 38.0540728, -85.8921792 38.0542782, -85.89174850000001 38.0547976, -85.8916925 38.0548665, -85.89144770000001 38.0551636, -85.89062699999999 38.056175, -85.8901987 38.0566979, -85.88942729999999 38.0576244, -85.888192 38.059124, -85.88817709999999 38.0591446, -85.8880857 38.05927109999998, -85.88688019999999 38.0615839, -85.8867218 38.0619339, -85.886562 38.062296, -85.88637350000002 38.06273480000002, -85.886261 38.06295329999998, -85.8860926 38.063326, -85.8859073 38.06373889999998, -85.8855133 38.0647688, -85.88526899999999 38.065746, -85.88519220000001 38.0662639, -85.885159 38.066641, -85.8851346 38.0667945, -85.8851332 38.0668151, -85.8851119 38.0671366, -85.8850851 38.06761, -85.88500190000001 38.0685243, -85.8850042 38.0686736, -85.88495469999999 38.069196, -85.8849431 38.069347, -85.8849369 38.0694274, -85.8849183 38.0696693, -85.8849106 38.0697685, -85.88490059999999 38.0698977, -85.88486109999999 38.07041069999999, -85.8848381 38.0706948, -85.8848351 38.0707311, -85.8848088 38.0710559, -85.8847979 38.07119, -85.8847806 38.0714041, -85.8847664 38.0715792, -85.884756 38.071707, -85.88437070000001 38.0716064, -85.8832098 38.071237, -85.87965 38.070101, -85.87929200000001 38.0700137)","(38.0188781, -85.9083606)","(38.0700137, -85.879292)"
211110122051,12,0,1600.225,"LINESTRING (-85.7815521 38.13253759999998, -85.781824 38.131909, -85.78067900000001 38.131528, -85.7788623 38.1324716, -85.77835039999999 38.1322374, -85.77603120000001 38.13100349999998, -85.7738404 38.1297991, -85.77462149999999 38.1288737, -85.7746669 38.1288193, -85.77535330000001 38.1279967, -85.77537150000001 38.1279749, -85.7755895 38.1277113, -85.7757955 38.1274256, -85.7760662 38.1274767, -85.7762807 38.1274622, -85.7765228 38.1274298, -85.77662309999999 38.1274164, -85.7768454 38.1274361, -85.77706139999999 38.127434, -85.77727779999999 38.1274463, -85.77745849999999 38.1274585, -85.7776708 38.1274722, -85.7778953 38.1274861, -85.77809070000001 38.12750669999998, -85.778239 38.1275398, -85.7783203 38.127745, -85.7785248 38.12781160000002, -85.77880039999999 38.1272432, -85.77878010000001 38.1272363, -85.778818 38.1269833)","(38.132537599999985, -85.7815521)","(38.1269833, -85.778818)"
211110122051,33,1,2659.95,"LINESTRING (-85.7815521 38.13253759999998, -85.781824 38.131909, -85.78067900000001 38.131528, -85.7788623 38.1324716, -85.77835039999999 38.1322374, -85.77603120000001 38.13100349999998, -85.7738404 38.1297991, -85.7734512 38.1302644, -85.7733753 38.1303602, -85.773352 38.1303895, -85.7725652 38.1320829, -85.7725743 38.1332856, -85.77260389999999 38.1334662, -85.7728936 38.1346029, -85.7729051 38.1346512, -85.773044 38.1352339, -85.77331030000001 38.1363515, -85.77346230000001 38.1371618, -85.77362119999999 38.1380087, -85.7737173 38.1385206, -85.7738394 38.1391714, -85.7739704 38.1398187, -85.7741157 38.14047179999999, -85.7742123 38.1409346, -85.7744024 38.14185069999998, -85.7744608 38.142132, -85.774747 38.1434106, -85.7746143 38.1436131, -85.77447859999999 38.1436643, -85.7744869 38.1436906, -85.77426579999999 38.1437261, -85.7742262 38.1437339, -85.77419089999999 38.1437408, -85.7741266 38.143754, -85.7741425 38.14382, -85.77420170000001 38.1439771, -85.77382780000001 38.1440779, -85.7738919 38.1442396, -85.7739741 38.1444467)","(38.132537599999985, -85.7815521)","(38.1444467, -85.7739741)"
211110122063,33,0,1779.862,"LINESTRING (-85.789164 38.138514, -85.788962 38.1384852, -85.785402 38.13735, -85.7847896 38.13787339999998, -85.78469370000001 38.1379493, -85.7840985 38.1384521, -85.7840305 38.1385095, -85.78326110000002 38.1391595, -85.7831946 38.1392165, -85.782985 38.139396, -85.78234740000001 38.139949, -85.7819981 38.1402476, -85.781741 38.140457, -85.781711 38.1404792, -85.780629 38.141384, -85.77935979999999 38.1424508, -85.7793101 38.1424925, -85.778751 38.1429617, -85.7786133 38.1430772, -85.77834300000001 38.143304, -85.77817 38.143449, -85.7781131 38.1434967, -85.7779488 38.1436344, -85.77747100000001 38.144035, -85.77722300000001 38.144256, -85.7769134 38.14450510000001, -85.7768185 38.1443961, -85.7767664 38.1444034, -85.77661240000002 38.144425, -85.7758283 38.1445389, -85.7757948 38.144367, -85.7757577 38.1442119, -85.7757192 38.144051, -85.77527809999999 38.1440983, -85.77522840000002 38.1440871, -85.7751856 38.1440774, -85.7751603 38.1440805, -85.77503539999999 38.1440957, -85.7748928 38.1441131, -85.77477759999999 38.144133, -85.7742922 38.1442171, -85.7743569 38.1443594, -85.7739741 38.1444467)","(38.138514, -85.789164)","(38.1444467, -85.7739741)"
211110122063,39,1,2062.734,"LINESTRING (-85.789164 38.138514, -85.788962 38.1384852, -85.785402 38.13735, -85.7847896 38.13787339999998, -85.78469370000001 38.1379493, -85.7840985 38.1384521, -85.7840305 38.1385095, -85.78326110000002 38.1391595, -85.7831946 38.1392165, -85.782985 38.139396, -85.78234740000001 38.139949, -85.7819981 38.1402476, -85.781741 38.140457, -85.781711 38.1404792, -85.780629 38.141384, -85.77935979999999 38.1424508, -85.7793101 38.1424925, -85.778751 38.1429617, -85.7786133 38.1430772, -85.77834300000001 38.143304, -85.77817 38.143449, -85.7781131 38.1434967, -85.7779488 38.1436344, -85.77747100000001 38.144035, -85.77722300000001 38.144256, -85.7769134 38.14450510000001, -85.77661879999999 38.1447329, -85.77643399999999 38.144879, -85.77628690000002 38.1449945, -85.7760605 38.1451722, -85.7759164 38.1453085, -85.7758414 38.14536849999999, -85.7756773 38.1455047, -85.7752687 38.1458224, -85.7753867 38.1463219, -85.7754139 38.1464286, -85.77542149999999 38.146461, -85.7754477 38.1465816, -85.7754803 38.1467182, -85.7754916 38.1467706, -85.77554240000001 38.1469915, -85.7755729 38.1471257, -85.77561740000002 38.1473146, -85.775661 38.1474623, -85.77570940000001 38.14770579999998, -85.7757774 38.1479949, -85.7758209 38.1481886, -85.77587800000001 38.148446, -85.7760423 38.1492101, -85.7761 38.149492)","(38.138514, -85.789164)","(38.149492, -85.7761)"
211110122062,39,0,1561.3,"LINESTRING (-85.787969 38.148238, -85.787751 38.149422, -85.78743900000001 38.151199, -85.7848643 38.150822, -85.784525 38.1519315, -85.7833545 38.1517429, -85.7826803 38.15162870000001, -85.7821163 38.1515379, -85.78152040000001 38.15147970000001, -85.78038100000001 38.151174, -85.77966379999999 38.1510373, -85.7790413 38.1509965, -85.77849860000001 38.1509572, -85.777531 38.150893, -85.7772142 38.1508597, -85.7770854 38.1508461, -85.7763808 38.150767, -85.77624489999999 38.1501116, -85.77620760000001 38.1499337, -85.7761501 38.1496855, -85.7761 38.149492)","(38.148238, -85.787969)","(38.149492, -85.7761)"
211110122062,43,1,1796.353,"LINESTRING (-85.787969 38.148238, -85.787751 38.149422, -85.78922900000001 38.15048, -85.789427 38.151339, -85.79060800000001 38.151737, -85.79091200000001 38.152233, -85.79111949999999 38.1528517, -85.79256549999999 38.1536904, -85.7955528 38.1540224, -85.797082 38.1541055, -85.7983239 38.1543315, -85.79893199999999 38.15455, -85.79941599999999 38.1546863, -85.7997168 38.1547644, -85.8003823 38.1549371, -85.801025 38.1551039, -85.8013942 38.1551997, -85.80194299999999 38.155399, -85.8019513 38.15539109999999, -85.8024302 38.1549332, -85.8020337 38.1547322)","(38.148238, -85.787969)","(38.1547322, -85.8020337)"
211110122064,33,0,1467.831,"LINESTRING (-85.78401169999999 38.1370317, -85.78469370000001 38.1379493, -85.7840985 38.1384521, -85.7840305 38.1385095, -85.78326110000002 38.1391595, -85.7831946 38.1392165, -85.782985 38.139396, -85.78234740000001 38.139949, -85.7819981 38.1402476, -85.781741 38.140457, -85.781711 38.1404792, -85.780629 38.141384, -85.77935979999999 38.1424508, -85.7793101 38.1424925, -85.778751 38.1429617, -85.7786133 38.1430772, -85.77834300000001 38.143304, -85.77817 38.143449, -85.7781131 38.1434967, -85.7779488 38.1436344, -85.77747100000001 38.144035, -85.77722300000001 38.144256, -85.7769134 38.14450510000001, -85.7768185 38.1443961, -85.7767664 38.1444034, -85.77661240000002 38.144425, -85.7758283 38.1445389, -85.7757948 38.144367, -85.7757577 38.1442119, -85.7757192 38.144051, -85.77527809999999 38.1440983, -85.77522840000002 38.1440871, -85.7751856 38.1440774, -85.7751603 38.1440805, -85.77503539999999 38.1440957, -85.7748928 38.1441131, -85.77477759999999 38.144133, -85.7742922 38.1442171, -85.7743569 38.1443594, -85.7739741 38.1444467)","(38.1370317, -85.7840117)","(38.1444467, -85.7739741)"
211110122064,39,1,1750.703,"LINESTRING (-85.78401169999999 38.1370317, -85.78469370000001 38.1379493, -85.7840985 38.1384521, -85.7840305 38.1385095, -85.78326110000002 38.1391595, -85.7831946 38.1392165, -85.782985 38.139396, -85.78234740000001 38.139949, -85.7819981 38.1402476, -85.781741 38.140457, -85.781711 38.1404792, -85.780629 38.141384, -85.77935979999999 38.1424508, -85.7793101 38.1424925, -85.778751 38.1429617, -85.7786133 38.1430772, -85.77834300000001 38.143304, -85.77817 38.143449, -85.7781131 38.1434967, -85.7779488 38.1436344, -85.77747100000001 38.144035, -85.77722300000001 38.144256, -85.7769134 38.14450510000001, -85.77661879999999 38.1447329, -85.77643399999999 38.144879, -85.77628690000002 38.1449945, -85.7760605 38.1451722, -85.7759164 38.1453085, -85.7758414 38.14536849999999, -85.7756773 38.1455047, -85.7752687 38.1458224, -85.7753867 38.1463219, -85.7754139 38.1464286, -85.77542149999999 38.146461, -85.7754477 38.1465816, -85.7754803 38.1467182, -85.7754916 38.1467706, -85.77554240000001 38.1469915, -85.7755729 38.1471257, -85.77561740000002 38.1473146, -85.775661 38.1474623, -85.77570940000001 38.14770579999998, -85.7757774 38.1479949, -85.7758209 38.1481886, -85.77587800000001 38.148446, -85.7760423 38.1492101, -85.7761 38.149492)","(38.1370317, -85.7840117)","(38.149492, -85.7761)"
