cbg_id,store_id,rank,distance,geometry,Origin,Destination
483030009021,31,0,1802.607,"LINESTRING (-101.8012966 33.60701779999999, -101.8011096 33.60701720000002, -101.8011612 33.6033688, -101.8011612 33.6029302, -101.8011618 33.6024853, -101.802994 33.6024872, -101.805436 33.6024832, -101.805436 33.6020345, -101.805436 33.6015862, -101.805436 33.6011365, -101.805436 33.6006812, -101.805435 33.6002384, -101.805434 33.5997732, -101.8054335 33.5993147, -101.805433 33.5988556, -101.8054351 33.5986821, -101.8070506 33.5985205, -101.8070114 33.5984088, -101.8070144 33.5976314, -101.8080002 33.5973232, -101.8081734 33.597616, -101.8089172 33.5973159)","(33.60701779999999, -101.80129659999999)","(33.5973159, -101.80891720000001)"
483030009021,30,1,5362.971,"LINESTRING (-101.8012966 33.60701779999999, -101.8097071 33.60698220000001, -101.8098606 33.6069812, -101.8145012 33.60696990000001, -101.8149883 33.6069689, -101.8154675 33.6069685, -101.8159363 33.6069681, -101.8164198 33.6069653, -101.8168843 33.6069626, -101.8173629 33.6069653, -101.8184657 33.6069715, -101.8184496 33.6061893, -101.8184475 33.6060898, -101.8205248 33.6058642, -101.8213211 33.6055487, -101.8223364 33.6051463, -101.8223783 33.6052181, -101.8250309 33.6087112, -101.82528 33.6091399, -101.8255278 33.6095665, -101.8257801 33.6100083, -101.8260442 33.6104708, -101.8270581 33.6100709, -101.8279496 33.6097193, -101.82973 33.60901710000001, -101.8318119 33.6081961, -101.8360419 33.6047678, -101.8369864 33.602966, -101.8379761 33.601386, -101.8389856 33.6005167, -101.8393131 33.6003697, -101.8408037 33.6000374, -101.8410355 33.59998429999999, -101.8412537 33.5999236, -101.8417815 33.5997455, -101.8420638 33.5996203, -101.8422325 33.5995339, -101.842448 33.599416, -101.843665 33.5983977, -101.8440725 33.5977602, -101.8443444 33.5970278, -101.8444422 33.5954187, -101.8450112 33.5954027)","(33.60701779999999, -101.80129659999999)","(33.5954027, -101.8450112)"
483030102041,31,0,4677.963,"LINESTRING (-101.787261 33.572752, -101.786857 33.575015, -101.7870347 33.5780199, -101.788316 33.5780201, -101.7923072 33.5780066, -101.7925221 33.5851397, -101.7946082 33.5850538, -101.7967672 33.5850518, -101.7989612 33.5850678, -101.8011152 33.5850658, -101.8011095 33.5855817, -101.8011042 33.5860668, -101.8011012 33.5874018, -101.8011002 33.58797080000002, -101.8011002 33.5883518, -101.8034046 33.5897498, -101.8032588 33.5899264, -101.8042216 33.5899439, -101.804224 33.5906614, -101.8042356 33.5911986, -101.8042372 33.5918028, -101.8042372 33.5924688, -101.8043422 33.5924678, -101.8043465 33.59296729999998, -101.8043469 33.5930075, -101.8043502 33.5933948, -101.8043481 33.5938654, -101.8043462 33.5943098, -101.8043387 33.594782, -101.8043452 33.5952188, -101.8043431 33.5956974, -101.8043412 33.5961328, -101.8054442 33.5961338, -101.8054437 33.5965913, -101.8063668 33.5965965, -101.8070184 33.5966002, -101.807018 33.5967067, -101.8080002 33.5973232, -101.8081734 33.597616, -101.8089172 33.5973159)","(33.572752, -101.787261)","(33.5973159, -101.80891720000001)"
483030102041,30,1,7694.434,"LINESTRING (-101.787261 33.572752, -101.786857 33.575015, -101.7870347 33.5780199, -101.788316 33.5780201, -101.7923072 33.5780066, -101.7953383 33.5779599, -101.7955403 33.5779603, -101.7965357 33.5779913, -101.7989965 33.578017, -101.8011023 33.5780031, -101.8024583 33.5779356, -101.803204 33.5779388, -101.8056115 33.5779267, -101.8072697 33.5779211, -101.8076085 33.5779141, -101.8099224 33.5778507, -101.8102069 33.5778496, -101.8116958 33.5779588, -101.8130454 33.5783308, -101.8135535 33.57847490000001, -101.8139678 33.578592, -101.8144126 33.5787053, -101.8148412 33.5788143, -101.8153715 33.5790531, -101.8155895 33.5792519, -101.8166409 33.5790688, -101.8177731 33.5790121, -101.8183469 33.5789834, -101.8184004 33.5795039, -101.8183989 33.5796289, -101.820398 33.5788639, -101.8249722 33.5781767, -101.8294265 33.5780495, -101.8345999 33.5822822, -101.836157 33.5836284, -101.8363659 33.5836299, -101.8364033 33.5845556, -101.8363987 33.58557, -101.83671 33.5855691, -101.8375129 33.5855669, -101.8383561 33.5855709, -101.8383701 33.5895529, -101.8383285 33.5897285, -101.8382404 33.5904554, -101.8383627 33.5919121, -101.8401823 33.5922292, -101.8405411 33.5922487, -101.8409895 33.5922549, -101.8414277 33.5922241, -101.8421625 33.592297, -101.8433023 33.5925165, -101.844457 33.5926634, -101.844463 33.5932856, -101.8444402 33.5943547, -101.8444403 33.5945153, -101.8444406 33.5946805, -101.8444422 33.5954187, -101.8450112 33.5954027)","(33.572752, -101.787261)","(33.5954027, -101.8450112)"
483030102042,31,0,5887.969,"LINESTRING (-101.7611987 33.6118146, -101.7653513 33.6089482, -101.7664448 33.60822, -101.7661284 33.6072052, -101.7664324 33.6072026, -101.7694641 33.6071613, -101.7718068 33.60714629999999, -101.7750767 33.6071252, -101.77503 33.602999, -101.7750296 33.6009629, -101.7748244 33.5998494, -101.7771306 33.59986549999999, -101.7783902 33.5998562, -101.783805 33.5998042, -101.783805 33.59976910000001, -101.7859103 33.5998, -101.7859107 33.5998288, -101.7881057 33.5998187, -101.7899572 33.5997178, -101.7903352 33.6000878, -101.7908622 33.6005441, -101.7916262 33.6011798, -101.7924312 33.6006368, -101.7927092 33.6004548, -101.7966729 33.5986283, -101.7981822 33.5986398, -101.8010872 33.5986868, -101.8032662 33.5986851, -101.8054351 33.5986821, -101.8070506 33.5985205, -101.8070114 33.5984088, -101.8070144 33.5976314, -101.8080002 33.5973232, -101.8081734 33.597616, -101.8089172 33.5973159)","(33.6118146, -101.7611987)","(33.5973159, -101.80891720000001)"
483030102042,30,1,9630.051,"LINESTRING (-101.7611987 33.6118146, -101.7653513 33.6089482, -101.7664448 33.60822, -101.7661284 33.6072052, -101.7664324 33.6072026, -101.7694641 33.6071613, -101.7718068 33.60714629999999, -101.7750767 33.6071252, -101.77503 33.602999, -101.7750296 33.6009629, -101.7748244 33.5998494, -101.7771306 33.59986549999999, -101.7783902 33.5998562, -101.783805 33.5998042, -101.783805 33.59976910000001, -101.7859103 33.5998, -101.7859107 33.5998288, -101.7881057 33.5998187, -101.7899572 33.5997178, -101.7903352 33.6000878, -101.7908622 33.6005441, -101.7916262 33.6011798, -101.7924312 33.6006368, -101.7927092 33.6004548, -101.7966729 33.5986283, -101.7981822 33.5986398, -101.8010872 33.5986868, -101.8032662 33.5986851, -101.8054351 33.5986821, -101.8070506 33.5985205, -101.8092479 33.5976679, -101.8098019 33.5973594, -101.8114327 33.5964554, -101.8118893 33.59620170000002, -101.8125348 33.5958419, -101.8134979 33.595304, -101.8150378 33.5944469, -101.8154622 33.5942183, -101.816017 33.5939074, -101.8162267 33.5938005, -101.816682 33.5935808, -101.8171475 33.593372, -101.8182439 33.59295130000001, -101.8183919 33.592897, -101.8190838 33.5926957, -101.8199725 33.5924689, -101.8202544 33.5924098, -101.8322015 33.5906646, -101.8383627 33.5919121, -101.8401823 33.5922292, -101.8405411 33.5922487, -101.8409895 33.5922549, -101.8414277 33.5922241, -101.8421625 33.592297, -101.8433023 33.5925165, -101.844457 33.5926634, -101.844463 33.5932856, -101.8444402 33.5943547, -101.8444403 33.5945153, -101.8444406 33.5946805, -101.8444422 33.5954187, -101.8450112 33.5954027)","(33.6118146, -101.7611987)","(33.5954027, -101.8450112)"
483030003041,32,0,1012.156,"LINESTRING (-101.8745234 33.6058909, -101.8733833 33.6058965, -101.8720822 33.6060853, -101.8719216 33.6059986, -101.8713094 33.60565229999999, -101.8707894 33.6050379, -101.8704881 33.6044123, -101.8704727 33.6041154, -101.8703963 33.6038991, -101.8703948 33.6032489, -101.8703943 33.6029752, -101.8703936 33.6026568, -101.8703931 33.6024, -101.870393 33.6023149, -101.8703913 33.6014465, -101.8703907 33.6011425, -101.8703895 33.6005029, -101.8703887 33.600064, -101.8703883 33.5998954, -101.8703881 33.599755, -101.8703878 33.5996428)","(33.6058909, -101.8745234)","(33.5996428, -101.87038780000002)"
483030003041,29,1,2914.435,"LINESTRING (-101.8745234 33.6058909, -101.8733833 33.6058965, -101.8720822 33.6060853, -101.8719216 33.6059986, -101.8713094 33.60565229999999, -101.8709016 33.6054205, -101.8704776 33.6051709, -101.8703491 33.6050979, -101.8677094 33.60331690000001, -101.8671687 33.6029513, -101.8660134 33.6021774, -101.8655599 33.6018735, -101.8651275 33.6015833, -101.8650276 33.6015147, -101.8645293 33.6011817, -101.8638132 33.6007031, -101.8625286 33.5998447, -101.8623012 33.5996926, -101.8618652 33.5993991, -101.8612698 33.5990028, -101.8610746 33.5988724, -101.8606951 33.5986195, -101.8596924 33.5979364, -101.8595947 33.5978698, -101.8586072 33.5972193, -101.8575458 33.5965019, -101.8573742 33.5963602, -101.8570041 33.5960547, -101.856494 33.5956184, -101.855699 33.5949494, -101.8555608 33.5948372, -101.8554036 33.594243, -101.8552695 33.5939908, -101.8552634 33.593201, -101.8552683 33.5923434, -101.8552634 33.5922788, -101.855324 33.5917603, -101.8559295 33.5917609, -101.8559296 33.5916067, -101.8563227 33.591605, -101.8565237 33.5916042, -101.856524 33.5915433, -101.8570351 33.5915567, -101.8572954 33.5915567, -101.8575381 33.5915567, -101.857874 33.5915883, -101.8577956 33.5917131, -101.8577162 33.5919525, -101.8577206 33.59234270000001)","(33.6058909, -101.8745234)","(33.59234270000001, -101.8577206)"
483030021041,12,0,1084.925,"LINESTRING (-101.8750193 33.5333527, -101.875018 33.5327428, -101.8750189 33.53224980000001, -101.8750078 33.531778, -101.8748544 33.531346, -101.8746954 33.5309085, -101.8733076 33.5312627, -101.8727968 33.5313966, -101.8721178 33.5315471, -101.8721148 33.5310928, -101.8704041 33.5310949, -101.870404 33.5310289, -101.8704136 33.5306277, -101.8704672 33.5304481, -101.8704841 33.5298139, -101.8704912 33.52883, -101.8704864 33.5284984, -101.8704152 33.5281279, -101.8703201 33.528277)","(33.5333527, -101.8750193)","(33.528277, -101.8703201)"
483030021041,9,1,2487.46,"LINESTRING (-101.8750193 33.5333527, -101.875018 33.5327428, -101.8750189 33.53224980000001, -101.8750078 33.531778, -101.8748544 33.531346, -101.8746954 33.5309085, -101.8733076 33.5312627, -101.8727968 33.5313966, -101.8721178 33.5315471, -101.8721148 33.5310928, -101.8704041 33.5310949, -101.870404 33.5310289, -101.8704136 33.5306277, -101.8704672 33.5304481, -101.8704841 33.5298139, -101.8704912 33.52883, -101.8704864 33.5284984, -101.8704152 33.5281279, -101.8704074 33.5276297, -101.8704066 33.5275476, -101.8704019 33.5270422, -101.8704016 33.52678209999998, -101.8704014 33.5266347, -101.8704014 33.5266089, -101.8704012 33.5264686, -101.8704009 33.5263796, -101.8703997 33.5252105, -101.8706993 33.525204, -101.8708529 33.5252019, -101.871171 33.5250158, -101.8712738 33.525016, -101.8712754 33.5234167, -101.8717844 33.5234166, -101.8727446 33.5234175, -101.8727437 33.5229663, -101.8727428 33.5225038, -101.8727419 33.522048, -101.872741 33.5216524, -101.872741 33.5216012, -101.8727401 33.5211478, -101.874727 33.5211429, -101.874726 33.5206906, -101.8747251 33.5202609, -101.8747241 33.5197878, -101.8752701 33.5197875, -101.8752701 33.519566, -101.8750587 33.5195661)","(33.5333527, -101.8750193)","(33.5195661, -101.8750587)"
