cbg_id,store_id,rank,distance,geometry,Origin,Destination
550250026024,43,0,1593.948,"LINESTRING (-89.3019875 43.1388563, -89.3019848 43.1386397, -89.3019977 43.1384901, -89.302044 43.138391, -89.301722 43.1383467, -89.30173449999999 43.1382999, -89.3017272 43.1381375, -89.3017164 43.137885, -89.3017182 43.1376716, -89.3009531 43.13747, -89.30041430000001 43.1367965, -89.3002838 43.1367967, -89.3002657 43.1366842, -89.30020500000001 43.136473, -89.2999142 43.1361466, -89.2996879 43.1357008, -89.299685 43.135579, -89.3000646 43.1346577, -89.3001903 43.1345518, -89.301287 43.133574, -89.3013674 43.1334955, -89.30194620000002 43.1329858, -89.3021583 43.1328212, -89.3028288 43.1323009, -89.3039424 43.13149939999999, -89.3042054 43.1313132, -89.3043825 43.1311942, -89.3052727 43.1305648, -89.3054288 43.130456, -89.30596250000001 43.1300837, -89.30602279999999 43.1300434, -89.306082 43.130003, -89.3062111 43.1299107, -89.3063001 43.129854, -89.30737499999999 43.129104, -89.3080274 43.1286506, -89.3081404 43.1285721, -89.30857899999999 43.128276, -89.30863220000001 43.1283156, -89.308712 43.128375)","(43.1388563, -89.3019875)","(43.128375, -89.308712)"
550250026024,42,1,1672.969,"LINESTRING (-89.3019875 43.1388563, -89.3019848 43.1386397, -89.3019977 43.1384901, -89.302044 43.138391, -89.301722 43.1383467, -89.30173449999999 43.1382999, -89.3017272 43.1381375, -89.3017164 43.137885, -89.3017182 43.1376716, -89.3009531 43.13747, -89.30041430000001 43.1367965, -89.3002838 43.1367967, -89.3002657 43.1366842, -89.30020500000001 43.136473, -89.2999142 43.1361466, -89.2996879 43.1357008, -89.299685 43.135579, -89.3000646 43.1346577, -89.3001903 43.1345518, -89.301287 43.133574, -89.3011905 43.1335125, -89.301147 43.13326639999999, -89.3018376 43.1326881, -89.30290420000001 43.1316894, -89.3029403 43.1315496, -89.3028042 43.1314582, -89.3027171 43.1313996, -89.3019817 43.1309121, -89.3020021 43.130864, -89.30204380000001 43.1308281, -89.3026089 43.130292, -89.30327610000001 43.1298277, -89.3031939 43.1297298, -89.30345699999999 43.129626, -89.3033873 43.1295259, -89.30328299999999 43.129376, -89.30322529999999 43.1293235, -89.3031012 43.1292271, -89.3029401 43.1291126, -89.3027957 43.1290057, -89.3026551 43.1289011, -89.30251010000001 43.1287935, -89.3023256 43.1286752, -89.302182 43.1285777, -89.30202319999999 43.1284645, -89.30187789999999 43.1283593, -89.3017212 43.1282457, -89.3015743 43.1281392, -89.30143169999999 43.1280359, -89.30127760000001 43.12792429999999, -89.3011369 43.1278222, -89.30097670000001 43.1277062, -89.3008518 43.1276138, -89.3007956 43.1276563, -89.30071770000001 43.1277151, -89.300556 43.1278351)","(43.1388563, -89.3019875)","(43.1278351, -89.300556)"
550250026022,43,0,441.506,"LINESTRING (-89.3098853 43.1311786, -89.31052 43.131174, -89.3106092 43.1307638, -89.310616 43.130673, -89.31006290000001 43.1305323, -89.309985 43.130495, -89.30994440000001 43.1293869, -89.309578 43.12906, -89.30955530000001 43.129042, -89.3093301 43.1288652, -89.308712 43.128375)","(43.1311786, -89.3098853)","(43.128375, -89.308712)"
550250026022,42,1,1247.611,"LINESTRING (-89.3098853 43.1311786, -89.31052 43.131174, -89.3106092 43.1307638, -89.31001790000001 43.130634, -89.3100084 43.1305909, -89.3099332 43.13055, -89.30988040000001 43.1305121, -89.3090596 43.1307323, -89.3088942 43.1303789, -89.3087979 43.1304102, -89.308651 43.130139, -89.30856350000001 43.130178, -89.3081705 43.1298177, -89.3073751 43.1292247, -89.30636440000001 43.1299063, -89.3063001 43.129854, -89.3062111 43.1299107, -89.3061194 43.1297822, -89.3061177 43.1297753, -89.3060279 43.1297028, -89.3059232 43.12961840000001, -89.30582320000001 43.1295381, -89.3056706 43.1294665, -89.3055875 43.1295193, -89.304849 43.1290197, -89.3047301 43.1289396, -89.30463810000001 43.1288732, -89.3045008 43.12895480000001, -89.30443699999999 43.1289928, -89.3043926 43.1289973, -89.3033873 43.1295259, -89.30328299999999 43.129376, -89.30322529999999 43.1293235, -89.3031012 43.1292271, -89.3029401 43.1291126, -89.3027957 43.1290057, -89.3026551 43.1289011, -89.30251010000001 43.1287935, -89.3023256 43.1286752, -89.302182 43.1285777, -89.30202319999999 43.1284645, -89.30187789999999 43.1283593, -89.3017212 43.1282457, -89.3015743 43.1281392, -89.30143169999999 43.1280359, -89.30127760000001 43.12792429999999, -89.3011369 43.1278222, -89.30097670000001 43.1277062, -89.3008518 43.1276138, -89.3007956 43.1276563, -89.30071770000001 43.1277151, -89.300556 43.1278351)","(43.1311786, -89.3098853)","(43.1278351, -89.300556)"
550250015024,3,0,2836.482,"LINESTRING (-89.375383 43.032176, -89.377731 43.032402, -89.37898300000001 43.032411, -89.3789829 43.0324796, -89.3796385 43.0332499, -89.3804762 43.0334051, -89.3805955 43.0334247, -89.3801824 43.0345632, -89.38034530000002 43.03458409999998, -89.3804797 43.0345939, -89.3810308 43.0346032, -89.3810252 43.0346737, -89.38102929999999 43.0347418, -89.3811031 43.0347458, -89.38110440000001 43.0348164, -89.3810014 43.0351232, -89.38097569999999 43.0351937, -89.3811674 43.0353761, -89.38114880000001 43.035734, -89.38114469999999 43.0358071, -89.3819288 43.0357824, -89.38200139999999 43.0357617, -89.3820559 43.03585639999999, -89.3821483 43.0361925, -89.3827045 43.0362015, -89.38270660000001 43.0363741, -89.38273049999999 43.0365685, -89.3827467 43.03816150000002, -89.382746 43.0382582, -89.3839749 43.0382724, -89.38406500000001 43.0382724, -89.3840845 43.0382608, -89.38680110000001 43.0376254, -89.38695300000001 43.037585, -89.3870963 43.037552, -89.3885568 43.0384232, -89.3903526 43.03843949999999, -89.39085300000001 43.0384453, -89.3914628 43.0384525, -89.39179799999999 43.0384564, -89.391989 43.0384586, -89.3919898 43.0385355, -89.39330940000001 43.0385576, -89.3933181 43.0386809, -89.3937683 43.0389533, -89.39385249999999 43.0389678, -89.39384939999999 43.0394884, -89.3938467 43.03977489999998, -89.3938461 43.0398461, -89.3938461 43.0399654, -89.3938452 43.0400795, -89.3939428 43.0401135, -89.39393939999999 43.0404254, -89.3939402 43.04136290000001, -89.3939324 43.0416603, -89.393935 43.0417636, -89.3939333 43.0418426, -89.39393120000001 43.0420892, -89.3939214 43.0425416, -89.3939159 43.0430959, -89.39391550000001 43.0432626, -89.39411320000001 43.0432762, -89.3942026 43.0432824)","(43.032176, -89.375383)","(43.0432824, -89.3942026)"
550250015024,11,1,3928.035,"LINESTRING (-89.375383 43.032176, -89.377731 43.032402, -89.37898300000001 43.032411, -89.3789829 43.0324796, -89.3796385 43.0332499, -89.3804762 43.0334051, -89.3805955 43.0334247, -89.3801824 43.0345632, -89.38034530000002 43.03458409999998, -89.3804797 43.0345939, -89.3810308 43.0346032, -89.3810252 43.0346737, -89.38102929999999 43.0347418, -89.3811031 43.0347458, -89.38110440000001 43.0348164, -89.3810014 43.0351232, -89.38097569999999 43.0351937, -89.3811674 43.0353761, -89.38114880000001 43.035734, -89.38114469999999 43.0358071, -89.3819288 43.0357824, -89.38200139999999 43.0357617, -89.3820559 43.03585639999999, -89.3821483 43.0361925, -89.3827045 43.0362015, -89.38270660000001 43.0363741, -89.38273049999999 43.0365685, -89.3827467 43.03816150000002, -89.382746 43.0382582, -89.3839749 43.0382724, -89.38406500000001 43.0382724, -89.3840845 43.0382608, -89.38680110000001 43.0376254, -89.38695300000001 43.037585, -89.3870963 43.037552, -89.3885568 43.0384232, -89.3903526 43.03843949999999, -89.39085300000001 43.0384453, -89.3914628 43.0384525, -89.39179799999999 43.0384564, -89.391989 43.0384586, -89.3919898 43.0385355, -89.39330940000001 43.0385576, -89.3933181 43.0386809, -89.3937683 43.0389533, -89.39385249999999 43.0389678, -89.39384939999999 43.0394884, -89.3938467 43.03977489999998, -89.3938461 43.0398461, -89.3938461 43.0399654, -89.3938452 43.0400795, -89.3939428 43.0401135, -89.39393939999999 43.0404254, -89.3939402 43.04136290000001, -89.3939324 43.0416603, -89.393935 43.0417636, -89.3939333 43.0418426, -89.39393120000001 43.0420892, -89.3939214 43.0425416, -89.3939159 43.0430959, -89.39391550000001 43.0432626, -89.3939154 43.0433401, -89.393917 43.0433876, -89.39394679999999 43.0441449, -89.39394849999999 43.0442351, -89.3939498 43.0442786, -89.39397099999999 43.0449534, -89.3939732 43.0450175, -89.39397409999999 43.0455832, -89.3939747 43.047088, -89.39397380000001 43.0472059, -89.3939718 43.0474477, -89.3939656 43.0479212, -89.3939591 43.0485555, -89.3939498 43.0486799, -89.3939436 43.0487628, -89.3939496 43.0491044, -89.3939548 43.0492088, -89.39412729999999 43.0492213, -89.3942364 43.0492311, -89.394243 43.0493205, -89.3943369 43.0500408, -89.3945817 43.050892, -89.39472730000001 43.0512214, -89.3948941 43.0516048, -89.39492389999999 43.0516525, -89.39497350000001 43.0517321, -89.39508910000001 43.0519501, -89.3952135 43.052152, -89.39563440000001 43.052742, -89.3957625 43.0528953)","(43.032176, -89.375383)","(43.0528953, -89.3957625)"
550250026033,33,0,1524.363,"LINESTRING (-89.2915678 43.1139536, -89.2916067 43.1140186, -89.290713 43.1141663, -89.2905781 43.11416209999999, -89.2913586 43.1125864, -89.2913416 43.1125094, -89.2913271 43.1124478, -89.2914122 43.1124429, -89.2911922 43.1115642, -89.2912832 43.1115587, -89.292463 43.111195, -89.2953753 43.1091192, -89.295393 43.109062, -89.2962136 43.1091034, -89.296316 43.109105, -89.29635589999999 43.10821269999999, -89.2964602 43.1082148, -89.29652129999999 43.1065123, -89.2971783 43.106136, -89.29717650000001 43.1060708, -89.2971763 43.1059019)","(43.1139536, -89.2915678)","(43.1059019, -89.2971763)"
550250026033,34,1,2263.448,"LINESTRING (-89.2915678 43.1139536, -89.2916067 43.1140186, -89.290713 43.1141663, -89.2905781 43.11416209999999, -89.2913586 43.1125864, -89.2913416 43.1125094, -89.291432 43.112502, -89.29152139999999 43.11249379999998, -89.2915034 43.11243609999999, -89.2915423 43.1124009, -89.2931521 43.1118125, -89.29603640000001 43.1117909, -89.29606870000001 43.11164309999999, -89.29619270000001 43.1116442, -89.29634009999999 43.1116455, -89.2977758 43.11165729999998, -89.2977904 43.1120109, -89.297905 43.112016, -89.297999 43.112264, -89.299328 43.111426, -89.29932610000002 43.1112409, -89.29941719999999 43.111238, -89.3015414 43.1112389, -89.3022718 43.1103339, -89.30597899999999 43.110152, -89.306439 43.1101964, -89.307199 43.110193, -89.308314 43.1101901, -89.30880759999999 43.1101904, -89.30882699999999 43.1101904, -89.30997000000001 43.110185, -89.31068500000001 43.110083, -89.3109874 43.1100271, -89.3109396 43.1099772)","(43.1139536, -89.2915678)","(43.1099772, -89.3109396)"
550250019013,30,0,1582.701,"LINESTRING (-89.362904 43.0857018, -89.36280840000001 43.0863992, -89.3627552 43.086358, -89.3628245 43.0856922, -89.3634004 43.0852794, -89.36347429999999 43.0852202, -89.36356000000001 43.0851626, -89.3635517 43.0851562, -89.3651953 43.0840241, -89.3654284 43.0841381, -89.3658478 43.08430340000001, -89.36763379999999 43.083275, -89.3677144 43.0832166, -89.36779110000001 43.0831612, -89.3683936 43.0836156, -89.36843349999999 43.08358909999998, -89.36913029999999 43.0833768, -89.369247 43.0834667, -89.3694311 43.0833341, -89.3695701 43.0832386, -89.37033219999999 43.0827079, -89.37039900000001 43.0827585, -89.370468 43.08271, -89.37055530000001 43.08265, -89.3712632 43.0821629, -89.3716192 43.081918, -89.37168130000001 43.0819643, -89.3717256 43.0819332, -89.37260379999999 43.0818335, -89.3726472 43.0818667, -89.3727264 43.0818113, -89.3732024 43.0821739, -89.3732873 43.0821146, -89.3733053 43.082102, -89.3734201 43.0821895, -89.3735523 43.0822803, -89.37365939999999 43.0823366, -89.3743959 43.0818141, -89.3744741 43.0817595, -89.3752282 43.0812328)","(43.0857018, -89.362904)","(43.0812328, -89.3752282)"
550250019013,22,1,3089.326,"LINESTRING (-89.362904 43.0857018, -89.36280840000001 43.0863992, -89.3627552 43.086358, -89.3628245 43.0856922, -89.36274400000001 43.085633, -89.3633158 43.0852138, -89.363392 43.085158, -89.36347720000001 43.0850985, -89.363694 43.0849472, -89.3638428 43.0848434, -89.3641238 43.0846473, -89.3643639 43.0844798, -89.36461250000001 43.0843063, -89.3648405 43.084147, -89.365099 43.0839665, -89.365179 43.083911, -89.36523889999999 43.0838669, -89.3653893 43.083763, -89.3657755 43.0834917, -89.36596400000001 43.0833592, -89.3660544 43.0832957, -89.36689240000001 43.0827065, -89.36697409999999 43.0826491, -89.3670516 43.0825985, -89.3676948 43.0821711, -89.36868920000001 43.081469, -89.3687717 43.0814094, -89.36885409999999 43.0813524, -89.3704812 43.0802111, -89.37055530000001 43.0801571, -89.37064650000001 43.08009320000001, -89.3722788 43.0789612, -89.37236780000001 43.0789045, -89.3724426 43.0788512, -89.3729227 43.0785057, -89.37407229999999 43.0777168, -89.37410890000001 43.0776927, -89.3741486 43.0776665, -89.3742385 43.0776048, -89.3753554 43.0766677, -89.3756147 43.0763076, -89.37579460000001 43.0762474, -89.3760523 43.0762135, -89.3764951 43.0760528, -89.37679369999999 43.0758491, -89.3768752 43.0757933, -89.3769466 43.0757421, -89.37750509999999 43.075355, -89.37748850000001 43.0753368, -89.37759339999999 43.075305, -89.37769520000001 43.0752737, -89.3780553 43.0750343, -89.3784532 43.0747653, -89.37854539999999 43.0747279, -89.378649 43.0746967, -89.379116 43.0746964, -89.3800622 43.0747072, -89.3800806 43.0747076, -89.3802877 43.0747122, -89.38044309999999 43.0747132, -89.38057000000001 43.0747141, -89.38073510000001 43.0747152, -89.3815912 43.0747269, -89.38169499999999 43.0747288, -89.38175 43.0747269, -89.3818926 43.07472189999999, -89.3819127 43.0747537, -89.3820322 43.0748618, -89.3821591 43.0747599, -89.38226860000002 43.074672, -89.3822869 43.07466, -89.38231930000001 43.0746254, -89.3824178 43.0746673, -89.3832848 43.0746802, -89.3841674 43.0746914, -89.3851585 43.0747091, -89.3859379 43.0746868, -89.3859922 43.0746476, -89.38607140000001 43.0747039, -89.38616949999999 43.0746277, -89.3863085 43.074538, -89.38643829999999 43.0746594, -89.38654819999999 43.0746613, -89.38682660000001 43.07444910000001, -89.3869244 43.0743993, -89.3872653 43.07415670000001, -89.3873285 43.0741132, -89.38741899999999 43.0740477, -89.38816140000002 43.0735375, -89.3882392 43.0734786, -89.38831410000002 43.0734262, -89.38858759999999 43.0732285, -89.3887615 43.0731077, -89.38886960000001 43.0730314, -89.3889361 43.0730742, -89.3895986 43.0726169, -89.38965520000001 43.0725778, -89.3900039 43.0723336)","(43.0857018, -89.362904)","(43.0723336, -89.3900039)"
