cbg_id,store_id,rank,distance,geometry,Origin,Destination
471570001001,93,0,1847.152,"LINESTRING (-90.0439758 35.1822671, -90.04423989999999 35.1822744, -90.0443401 35.1809966, -90.04480650000001 35.1809994, -90.04473299999999 35.1801228, -90.04472070000001 35.1799757, -90.04412379999999 35.1793652, -90.04399720000001 35.1792357, -90.04307310000002 35.1782904, -90.0420975 35.1773019, -90.0405135 35.1756503, -90.0404563 35.1755534, -90.0393885 35.1729799, -90.03900950000001 35.17184290000002, -90.03887050000002 35.17115290000001, -90.03873160000001 35.17055330000002, -90.0387135 35.1704919, -90.038483 35.1694982, -90.03843890000002 35.1693035, -90.0382635 35.1684879, -90.03807550000001 35.1677379)","(35.1822671, -90.0439758)","(35.1677379, -90.0380755)"
471570001001,97,1,2762.588,"LINESTRING (-90.0439758 35.1822671, -90.04423989999999 35.1822744, -90.0443401 35.1809966, -90.04480650000001 35.1809994, -90.04473299999999 35.1801228, -90.04472070000001 35.1799757, -90.04412379999999 35.1793652, -90.04399720000001 35.1792357, -90.04307310000002 35.1782904, -90.0420975 35.1773019, -90.0405135 35.1756503, -90.03842280000001 35.1755809, -90.0370885 35.1755129, -90.0365025 35.175492, -90.03585750000001 35.1754689, -90.0358725 35.1748859, -90.0353547 35.1748754, -90.034964 35.1748674, -90.03434849999999 35.1748549, -90.0336003 35.1748308, -90.0328145 35.1748119, -90.03210180000001 35.1747888, -90.03155550000001 35.1747709, -90.03126020000001 35.17476280000001, -90.0310776 35.1747578, -90.0304836 35.1747411, -90.028171 35.1746814, -90.02494950000001 35.17452689999998, -90.0242945 35.1745049, -90.0232295 35.1744609, -90.02261489999999 35.1744375, -90.0214713 35.1744268, -90.0214945 35.1741929)","(35.1822671, -90.0439758)","(35.1741929, -90.0214945)"
471570001002,93,0,3812.958,"LINESTRING (-90.05562260000001 35.1754022, -90.0555854 35.1764949, -90.05540070000001 35.1765148, -90.0555418 35.177507, -90.0555512 35.1775984, -90.0557908 35.1792171, -90.0558315 35.1796503, -90.05591339999999 35.1803002, -90.0559762 35.1812219, -90.0556558 35.1812992, -90.05402789999999 35.1815196, -90.05390470000002 35.1815363, -90.0531309 35.1816506, -90.0518845 35.1821922, -90.04649209999999 35.1850671, -90.04554039999999 35.1848326, -90.04552990000001 35.1847033, -90.045168 35.1836967, -90.04515830000001 35.1836654, -90.04494269999999 35.1827624, -90.04487589999999 35.1822971, -90.04480650000001 35.1809994, -90.04473299999999 35.1801228, -90.04472070000001 35.1799757, -90.04412379999999 35.1793652, -90.04399720000001 35.1792357, -90.04307310000002 35.1782904, -90.0420975 35.1773019, -90.0405135 35.1756503, -90.0404563 35.1755534, -90.0393885 35.1729799, -90.03900950000001 35.17184290000002, -90.03887050000002 35.17115290000001, -90.03873160000001 35.17055330000002, -90.0387135 35.1704919, -90.038483 35.1694982, -90.03843890000002 35.1693035, -90.0382635 35.1684879, -90.03807550000001 35.1677379)","(35.1754022, -90.0556226)","(35.1677379, -90.0380755)"
471570001002,97,1,4728.394,"LINESTRING (-90.05562260000001 35.1754022, -90.0555854 35.1764949, -90.05540070000001 35.1765148, -90.0555418 35.177507, -90.0555512 35.1775984, -90.0557908 35.1792171, -90.0558315 35.1796503, -90.05591339999999 35.1803002, -90.0559762 35.1812219, -90.0556558 35.1812992, -90.05402789999999 35.1815196, -90.05390470000002 35.1815363, -90.0531309 35.1816506, -90.0518845 35.1821922, -90.04649209999999 35.1850671, -90.04554039999999 35.1848326, -90.04552990000001 35.1847033, -90.045168 35.1836967, -90.04515830000001 35.1836654, -90.04494269999999 35.1827624, -90.04487589999999 35.1822971, -90.04480650000001 35.1809994, -90.04473299999999 35.1801228, -90.04472070000001 35.1799757, -90.04412379999999 35.1793652, -90.04399720000001 35.1792357, -90.04307310000002 35.1782904, -90.0420975 35.1773019, -90.0405135 35.1756503, -90.03842280000001 35.1755809, -90.0370885 35.1755129, -90.0365025 35.175492, -90.03585750000001 35.1754689, -90.0358725 35.1748859, -90.0353547 35.1748754, -90.034964 35.1748674, -90.03434849999999 35.1748549, -90.0336003 35.1748308, -90.0328145 35.1748119, -90.03210180000001 35.1747888, -90.03155550000001 35.1747709, -90.03126020000001 35.17476280000001, -90.0310776 35.1747578, -90.0304836 35.1747411, -90.028171 35.1746814, -90.02494950000001 35.17452689999998, -90.0242945 35.1745049, -90.0232295 35.1744609, -90.02261489999999 35.1744375, -90.0214713 35.1744268, -90.0214945 35.1741929)","(35.1754022, -90.0556226)","(35.1741929, -90.0214945)"
471570001003,93,0,2825.259,"LINESTRING (-90.0560002 35.16163019999998, -90.0560043 35.1615857, -90.05586049999999 35.1615691, -90.05600370000001 35.1608309, -90.05593709999999 35.1608202, -90.0561881 35.159672, -90.0560069 35.1596804, -90.05556919999999 35.1593499, -90.0502558 35.157812, -90.0501696 35.1577894, -90.0494307 35.157588, -90.04894460000001 35.1585468, -90.0488685 35.1585265, -90.0484931 35.1594617, -90.04811340000001 35.1604176, -90.04808730000001 35.1604825, -90.0477245 35.1613865, -90.04769229999999 35.1614666, -90.04727750000001 35.1624619, -90.0468746 35.1634712, -90.0460839 35.165445, -90.04584010000001 35.1660854, -90.04522679999999 35.1661469, -90.0448241 35.166095, -90.0444835 35.1678024, -90.044039 35.1677587, -90.0430064 35.16764770000001, -90.0429546 35.1679837, -90.041962 35.1679045, -90.0403524 35.1679108, -90.0391425 35.1678159, -90.03807550000001 35.1677379)","(35.16163019999998, -90.0560002)","(35.1677379, -90.0380755)"
471570001003,92,1,3441.731,"LINESTRING (-90.0560002 35.16163019999998, -90.0560043 35.1615857, -90.05586049999999 35.1615691, -90.05600370000001 35.1608309, -90.05593709999999 35.1608202, -90.0561881 35.159672, -90.0560069 35.1596804, -90.05556919999999 35.1593499, -90.0502558 35.157812, -90.0501696 35.1577894, -90.0494307 35.157588, -90.04894460000001 35.1585468, -90.0488685 35.1585265, -90.0484931 35.1594617, -90.04811340000001 35.1604176, -90.04808730000001 35.1604825, -90.0477245 35.1613865, -90.04769229999999 35.1614666, -90.04727750000001 35.1624619, -90.0466821 35.1622996, -90.0461502 35.1632557, -90.04565650000001 35.1631088, -90.0454575 35.1636097, -90.0448092 35.1634435, -90.0440023 35.1637344, -90.0433515 35.1635729, -90.0427145 35.1634829, -90.0420436 35.1634376, -90.0413655 35.1633919, -90.04070470000001 35.1633552, -90.0400005 35.1633149, -90.0393505 35.1632679, -90.0386615 35.1632249, -90.03843890000002 35.1632179, -90.03757589999999 35.1634007, -90.037378 35.1634718, -90.036709 35.1637179, -90.0361827 35.1639071, -90.0360266 35.1639651, -90.0351715 35.16428290000001, -90.0335225 35.1648689, -90.0328322 35.16511529999999, -90.0319746 35.1654813, -90.03107439999999 35.1658023, -90.02976889999999 35.1662691, -90.0284135 35.16676089999999)","(35.16163019999998, -90.0560002)","(35.166760899999986, -90.0284135)"
471570002001,93,0,489.319,"LINESTRING (-90.0429563 35.1683757, -90.0429546 35.1679837, -90.041962 35.1679045, -90.0403524 35.1679108, -90.0391425 35.1678159, -90.03807550000001 35.1677379)","(35.1683757, -90.0429563)","(35.1677379, -90.0380755)"
471570002001,92,1,1544.057,"LINESTRING (-90.0429563 35.1683757, -90.0429546 35.1679837, -90.041962 35.1679045, -90.0403524 35.1679108, -90.0391425 35.1678159, -90.03807550000001 35.1677379, -90.0362195 35.1675289, -90.03474 35.1673531, -90.03317749999999 35.1671779, -90.03182200000001 35.1670655, -90.0309006 35.1669854, -90.03107439999999 35.1658023, -90.02976889999999 35.1662691, -90.0284135 35.16676089999999)","(35.1683757, -90.0429563)","(35.166760899999986, -90.0284135)"
471570003001,97,0,1470.826,"LINESTRING (-90.0314235 35.1795479, -90.02412959999999 35.1790167, -90.0242945 35.1745049, -90.0232295 35.1744609, -90.02261489999999 35.1744375, -90.0214713 35.1744268, -90.0214945 35.1741929)","(35.1795479, -90.0314235)","(35.1741929, -90.0214945)"
471570003001,93,1,1986.112,"LINESTRING (-90.0314235 35.1795479, -90.0323489 35.1795811, -90.0327862 35.1795967, -90.0356486 35.1796993, -90.03569450000001 35.1788459, -90.03572749999999 35.1779179, -90.0357405 35.1776099, -90.0357691 35.1770988, -90.0357745 35.1770029, -90.03578330000001 35.1768411, -90.0358171 35.17621549999998, -90.03585750000001 35.1754689, -90.0358725 35.1748859, -90.0359206 35.1739493, -90.03592980000001 35.1737698, -90.0359941 35.17286709999998, -90.03601829999999 35.1723523, -90.03603510000001 35.1720286, -90.03604850000001 35.1717689, -90.0360542 35.171486, -90.0360625 35.1710749, -90.0384049 35.17114, -90.03887050000002 35.17115290000001, -90.03873160000001 35.17055330000002, -90.0387135 35.1704919, -90.038483 35.1694982, -90.03843890000002 35.1693035, -90.0382635 35.1684879, -90.03807550000001 35.1677379)","(35.1795479, -90.0314235)","(35.1677379, -90.0380755)"
