cbg_id,store_id,rank,distance,geometry,Origin,Destination
40134223083,7,0,599.607,"LINESTRING (-111.7983246 33.3789078, -111.7981117 33.3789079, -111.797017 33.3789043, -111.7948495 33.3789114, -111.7936854 33.3789155, -111.7927989 33.3789189, -111.7918671 33.3789208)","(33.3789078, -111.7983246)","(33.3789208, -111.79186710000002)"
40134223083,15,1,901.893,"LINESTRING (-111.7983246 33.3789078, -111.7981117 33.3789079, -111.797017 33.3789043, -111.797013 33.379037, -111.8002354 33.3790303, -111.8014084 33.3790344, -111.802089 33.3790286, -111.8020908 33.3792468, -111.8023977 33.3792481, -111.8028469 33.3792491, -111.8035023 33.3792491, -111.8035858 33.3794222, -111.8036768 33.3796107, -111.8035627 33.379735, -111.8035427 33.3799137, -111.8035445 33.3800857, -111.8035482 33.3802525, -111.8035507 33.3804238)","(33.3789078, -111.7983246)","(33.3804238, -111.80355069999999)"
40134225011,40,0,1726.83,"LINESTRING (-111.758116 33.4045893, -111.758111 33.4053331, -111.7608916 33.4053286, -111.7609051 33.4060878, -111.7624675 33.40608679999998, -111.7624643 33.4063354, -111.7624576 33.4071872, -111.7624548 33.4075502, -111.762452 33.4082036, -111.7626226 33.40820260000001, -111.7642426 33.4081931, -111.764492 33.4081917, -111.7647277 33.4081907, -111.7665502 33.408183, -111.7666578 33.4081825, -111.7668872 33.4081816, -111.767549 33.4081787, -111.768361 33.4081753, -111.7692231 33.4081687, -111.7697347 33.408163, -111.769892 33.4081611, -111.7701147 33.4081585, -111.7703934 33.4081539, -111.7705203 33.408155, -111.771149 33.4081519, -111.7723756 33.4081537)","(33.4045893, -111.758116)","(33.4081537, -111.7723756)"
40134225011,31,1,1731.885,"LINESTRING (-111.758116 33.4045893, -111.757711 33.404591, -111.7577119 33.4037589, -111.7577033 33.4030761, -111.7576962 33.4023751, -111.7576926 33.4017012, -111.757566 33.4009483, -111.7576682 33.4002336, -111.7577119 33.3995312, -111.757714 33.3988471, -111.7544531 33.3983959, -111.7544516 33.3976963, -111.7537977 33.3976958, -111.7537978 33.3965879, -111.7537987 33.3963612, -111.7537994 33.3959603, -111.7538004 33.3956249, -111.753801 33.3953722, -111.7538021 33.3948803, -111.7538025 33.394714, -111.7538035 33.3942725, -111.7538036 33.3942284, -111.753807 33.3937015, -111.7533091 33.3937374, -111.7533129 33.3934636, -111.7527913 33.3934302, -111.7525955 33.393425, -111.7523984 33.3934252)","(33.4045893, -111.758116)","(33.3934252, -111.7523984)"
40134225012,40,0,966.63,"LINESTRING (-111.766558 33.4043426, -111.7677473 33.4045193, -111.7704986 33.4043839, -111.7704872 33.4047286, -111.7711685 33.4047213, -111.771158 33.40593569999999, -111.7711574 33.4060094, -111.771155 33.4065997, -111.771153 33.4070298, -111.7711525 33.40727430000001, -111.771149 33.4081519, -111.7723756 33.4081537)","(33.4043426, -111.766558)","(33.4081537, -111.7723756)"
40134225012,31,1,2453.802,"LINESTRING (-111.766558 33.4043426, -111.7655343 33.40435620000002, -111.7645199 33.40435690000001, -111.7632501 33.4043618, -111.7624744 33.4043664, -111.7624768 33.4033946, -111.7624768 33.4030061, -111.7624783 33.4026523, -111.7624797 33.4023414, -111.7624828 33.4016403, -111.7624858 33.40094, -111.7624925 33.4004237, -111.762493 33.40024970000002, -111.7624931 33.4002231, -111.762495 33.3995351, -111.7624972 33.3988459, -111.7624954 33.3980038, -111.7624129 33.3971117, -111.7623664 33.3969755, -111.7622011 33.3966936, -111.7620928 33.3965019, -111.7619971 33.3963221, -111.7615578 33.3955896, -111.7613775 33.3950331, -111.7613697 33.394981, -111.7613647 33.394223, -111.761372 33.3936788, -111.759095 33.3936829, -111.7580887 33.3936859, -111.7577658 33.3936868, -111.7569619 33.3936892, -111.756904 33.3936892, -111.7564554 33.3936911, -111.7560606 33.3936928, -111.7552482 33.3936963, -111.7552041 33.3936965, -111.754764 33.3936981, -111.754525 33.393699, -111.753807 33.3937015, -111.7533091 33.3937374, -111.7533129 33.3934636, -111.7527913 33.3934302, -111.7525955 33.393425, -111.7523984 33.3934252)","(33.4043426, -111.766558)","(33.3934252, -111.7523984)"
40134225013,31,0,1766.667,"LINESTRING (-111.7656306 33.3975199, -111.7655542 33.3965585, -111.7659908 33.3954679, -111.7660006 33.3954157, -111.7659996 33.3953374, -111.7654851 33.3953404, -111.765487 33.3937707, -111.7654877 33.3936615, -111.7647577 33.3936665, -111.7632447 33.393669, -111.7630743 33.3936699, -111.761372 33.3936788, -111.759095 33.3936829, -111.7580887 33.3936859, -111.7577658 33.3936868, -111.7569619 33.3936892, -111.756904 33.3936892, -111.7564554 33.3936911, -111.7560606 33.3936928, -111.7552482 33.3936963, -111.7552041 33.3936965, -111.754764 33.3936981, -111.754525 33.393699, -111.753807 33.3937015, -111.7533091 33.3937374, -111.7533129 33.3934636, -111.7527913 33.3934302, -111.7525955 33.393425, -111.7523984 33.3934252)","(33.3975199, -111.7656306)","(33.3934252, -111.7523984)"
40134225013,40,1,2026.215,"LINESTRING (-111.7656306 33.3975199, -111.7655542 33.3965585, -111.766025 33.39655410000001, -111.7683616 33.3958958, -111.7684164 33.3958713, -111.7685177 33.3958623, -111.7688545 33.3960878, -111.7711297 33.4008645, -111.7711758 33.4012152, -111.771172 33.4021872, -111.7711685 33.4047213, -111.771158 33.40593569999999, -111.7711574 33.4060094, -111.771155 33.4065997, -111.771153 33.4070298, -111.7711525 33.40727430000001, -111.771149 33.4081519, -111.7723756 33.4081537)","(33.3975199, -111.7656306)","(33.4081537, -111.7723756)"
40134225022,40,0,1666.832,"LINESTRING (-111.7755079 33.3980602, -111.7755025 33.3990724, -111.7727225 33.3996866, -111.7721518 33.3993818, -111.7719705 33.3993293, -111.771188 33.399256, -111.7711818 33.4002736, -111.7711263 33.4004257, -111.7711297 33.4008645, -111.7711758 33.4012152, -111.771172 33.4021872, -111.7711685 33.4047213, -111.771158 33.40593569999999, -111.7711574 33.4060094, -111.771155 33.4065997, -111.771153 33.4070298, -111.7711525 33.40727430000001, -111.771149 33.4081519, -111.7723756 33.4081537)","(33.3980602, -111.7755079)","(33.4081537, -111.7723756)"
40134225022,34,1,1926.471,"LINESTRING (-111.7755079 33.3980602, -111.7798262 33.3972406, -111.7798155 33.3965061, -111.7798105 33.3964169, -111.7798129 33.3954139, -111.7798379 33.3943258, -111.77983 33.3936043, -111.7804482 33.3936037, -111.7820315 33.3935968, -111.78358 33.393585, -111.7839768 33.3935862, -111.7845441 33.393585, -111.7849516 33.3935885, -111.785628 33.3935942, -111.7858475 33.3935955, -111.786036 33.3935966, -111.7860478 33.3938388, -111.7870678 33.3940032, -111.7870722 33.3941674, -111.7870729 33.3941918, -111.787453 33.3941847, -111.7874546 33.3942433, -111.7876246 33.3942404, -111.7876657 33.3942408, -111.7879715 33.394244, -111.7879963 33.3943735, -111.7879971 33.3945455, -111.7880002 33.395188, -111.788001 33.3953456, -111.7882388 33.3953416, -111.788411 33.3953125, -111.7884132 33.3950385, -111.788414 33.3949122)","(33.3980602, -111.7755079)","(33.3949122, -111.788414)"
