cbg_id,store_id,rank,distance,geometry,Origin,Destination
120860010041,76,0,1429.688,"LINESTRING (-80.2080031 25.8433914, -80.2082126 25.8433869, -80.2085392 25.8433799, -80.20874980000001 25.8433754, -80.2090039 25.8433699, -80.20897410000001 25.8426595, -80.2089486 25.8420429, -80.2089459 25.8419757, -80.2088978 25.840791, -80.2088519 25.8396904, -80.2088074 25.8387592, -80.2087926 25.8384427, -80.2087897 25.8383535, -80.2087741 25.8380746, -80.2087607 25.8378224, -80.20873690000001 25.8372921, -80.2087099 25.8367681, -80.2087028 25.8366333, -80.20869 25.8363215, -80.20867490000001 25.8359915, -80.2086656 25.835808, -80.2086496 25.8354812, -80.20863850000001 25.8352627, -80.2086285 25.8350558, -80.2086101 25.8346869, -80.2086027 25.8345384, -80.2085842 25.8341304, -80.2085678 25.8338148, -80.2085486 25.8333996, -80.2085403 25.8332109, -80.2085344 25.8331032, -80.2085247 25.832926, -80.2085156 25.8327365, -80.2084931 25.83229, -80.2076277 25.8323178, -80.2075305 25.8323209)","(25.8433914, -80.2080031)","(25.8323209, -80.2075305)"
120860010041,77,1,1429.777,"LINESTRING (-80.2080031 25.8433914, -80.207928 25.843393, -80.20764029999999 25.8433992, -80.2071636 25.8434094, -80.206998 25.843413, -80.2068747 25.8434168, -80.2058059 25.8434504, -80.2049167 25.8434801, -80.20441599999999 25.8435, -80.203541 25.843518, -80.202656 25.843541, -80.201791 25.843577, -80.200926 25.8436012, -80.20082499999999 25.843604, -80.20068190000001 25.8436081, -80.199617 25.843639, -80.199473 25.843638, -80.19860300000001 25.843664, -80.19818600000001 25.843675, -80.197264 25.843722, -80.19697530000001 25.8437339, -80.19670619999999 25.843745, -80.1966473 25.8430127, -80.1960096 25.8430374, -80.19571000000001 25.843049, -80.19567499999999 25.842381, -80.19566690000001 25.8421911, -80.19539279999999 25.8422038)","(25.8433914, -80.2080031)","(25.8422038, -80.1953928)"
120860010042,76,0,1174.367,"LINESTRING (-80.2089459 25.8419757, -80.2088978 25.840791, -80.2088519 25.8396904, -80.2088074 25.8387592, -80.2087926 25.8384427, -80.2087897 25.8383535, -80.2087741 25.8380746, -80.2087607 25.8378224, -80.20873690000001 25.8372921, -80.2087099 25.8367681, -80.2087028 25.8366333, -80.20869 25.8363215, -80.20867490000001 25.8359915, -80.2086656 25.835808, -80.2086496 25.8354812, -80.20863850000001 25.8352627, -80.2086285 25.8350558, -80.2086101 25.8346869, -80.2086027 25.8345384, -80.2085842 25.8341304, -80.2085678 25.8338148, -80.2085486 25.8333996, -80.2085403 25.8332109, -80.2085344 25.8331032, -80.2085247 25.832926, -80.2085156 25.8327365, -80.2084931 25.83229, -80.2076277 25.8323178, -80.2075305 25.8323209)","(25.8419757, -80.2089459)","(25.8323209, -80.2075305)"
120860010042,77,1,1649.683,"LINESTRING (-80.2089459 25.8419757, -80.2089486 25.8420429, -80.20818 25.8420485, -80.2078573 25.8420566, -80.207565 25.8420638, -80.20710750000001 25.8420752, -80.20680980000002 25.8420826, -80.205747 25.84211, -80.2056551 25.8421139, -80.20537400000001 25.8421259, -80.2048288 25.8421422, -80.2047567 25.8421437, -80.20431360000001 25.8421744, -80.20388800000001 25.842285, -80.203593 25.842594, -80.203519 25.84301, -80.203541 25.843518, -80.202656 25.843541, -80.201791 25.843577, -80.200926 25.8436012, -80.20082499999999 25.843604, -80.20068190000001 25.8436081, -80.199617 25.843639, -80.199473 25.843638, -80.19860300000001 25.843664, -80.19818600000001 25.843675, -80.197264 25.843722, -80.19697530000001 25.8437339, -80.19670619999999 25.843745, -80.1966473 25.8430127, -80.1960096 25.8430374, -80.19571000000001 25.843049, -80.19567499999999 25.842381, -80.19566690000001 25.8421911, -80.19539279999999 25.8422038)","(25.8419757, -80.2089459)","(25.8422038, -80.1953928)"
120860010061,77,0,1277.309,"LINESTRING (-80.19708749999999 25.8525402, -80.19708 25.8523247, -80.197059 25.8518297, -80.197028 25.8511397, -80.19701940000002 25.8508606, -80.1970108 25.8506044, -80.19699369999999 25.8501335, -80.19699300000001 25.8501156, -80.1969852 25.8499069, -80.196984 25.8498736, -80.1969782 25.8496913, -80.19696690000001 25.8493941, -80.1969498 25.8488529, -80.1969395 25.8485952, -80.19692809999999 25.8482878, -80.1969189 25.8480232, -80.1969132 25.8478829, -80.19690799999999 25.8477562, -80.1969039 25.8476527, -80.19689750000001 25.8474975, -80.1968938 25.847406, -80.196883 25.8470808, -80.19688240000002 25.8470302, -80.1968804 25.8468452, -80.19687709999999 25.8467576, -80.1968609 25.846325, -80.196842 25.8459756, -80.1968322 25.8457945, -80.19682 25.845569, -80.19679499999999 25.845022, -80.19676800000001 25.844541, -80.19670619999999 25.843745, -80.1966473 25.8430127, -80.1960096 25.8430374, -80.19571000000001 25.843049, -80.19567499999999 25.842381, -80.19566690000001 25.8421911, -80.19539279999999 25.8422038)","(25.8525402, -80.1970875)","(25.8422038, -80.1953928)"
120860010061,79,1,1664.961,"LINESTRING (-80.19708749999999 25.8525402, -80.19708 25.8523247, -80.1965421 25.8523373, -80.19552539999999 25.8523749, -80.1951414 25.8523787, -80.1947685 25.8523825, -80.1944653 25.8523886, -80.19386830000001 25.8524009, -80.19383120000001 25.8514902, -80.1937253 25.8514925, -80.1936681 25.8514938, -80.1934985 25.8514976, -80.1929536 25.8515096, -80.1929499 25.8514033, -80.1929313 25.8508613, -80.1929269 25.850733, -80.1929126 25.8503181, -80.1928958 25.8498286, -80.1928733 25.8493054, -80.1928581 25.8489195, -80.1919724 25.8489467, -80.1917617 25.8489528, -80.191619 25.848957, -80.19145260000001 25.8489618, -80.19125219999999 25.8489677, -80.190642 25.8489854, -80.1901197 25.8490006, -80.189763 25.849011, -80.1897314 25.8490119, -80.189492 25.8490191, -80.1894624 25.84902, -80.1892311 25.8490269, -80.18902869999999 25.8485769, -80.18900240000001 25.8480959, -80.1889766 25.8477078, -80.18831779999999 25.847722, -80.1869974 25.8477173, -80.18640689999999 25.8477444, -80.1864279 25.8478379, -80.1864388 25.8481042, -80.1864412 25.84817, -80.18644380000002 25.8482942)","(25.8525402, -80.1970875)","(25.8482942, -80.18644380000002)"
120860010062,77,0,1617.818,"LINESTRING (-80.2056516 25.8476424, -80.2051506 25.8476405, -80.2051221 25.8471787, -80.20455420000002 25.8471962, -80.20353230000001 25.8472301, -80.20345390000001 25.8472326, -80.20270410000001 25.8472561, -80.20241849999999 25.8472652, -80.2022037 25.847271, -80.2019246 25.8472796, -80.2016678 25.8472887, -80.2009681 25.8473134, -80.20093300000001 25.846486, -80.200621 25.8464959, -80.20011370000002 25.8465112, -80.20001259999999 25.8464916, -80.19957960000001 25.8464076, -80.19884999999999 25.846385, -80.1988226 25.8455194, -80.1984949 25.8455289, -80.198386 25.845532, -80.19808039999999 25.8455392, -80.1975996 25.8455506, -80.19682 25.845569, -80.19679499999999 25.845022, -80.19676800000001 25.844541, -80.19670619999999 25.843745, -80.1966473 25.8430127, -80.1960096 25.8430374, -80.19571000000001 25.843049, -80.19567499999999 25.842381, -80.19566690000001 25.8421911, -80.19539279999999 25.8422038)","(25.8476424, -80.2056516)","(25.8422038, -80.1953928)"
120860010062,79,1,2037.459,"LINESTRING (-80.2056516 25.8476424, -80.2051506 25.8476405, -80.2051221 25.8471787, -80.20455420000002 25.8471962, -80.20353230000001 25.8472301, -80.20345390000001 25.8472326, -80.20270410000001 25.8472561, -80.20241849999999 25.8472652, -80.2022037 25.847271, -80.2019246 25.8472796, -80.2016678 25.8472887, -80.2009681 25.8473134, -80.2004714 25.8473258, -80.20029510000001 25.8473318, -80.2001301 25.8473379, -80.19954559999999 25.8473551, -80.1993166 25.8473638, -80.19888560000001 25.8473521, -80.1984506 25.8473573, -80.1980593 25.8473696, -80.19796289999999 25.8473726, -80.19767299999999 25.84738169999999, -80.1968938 25.847406, -80.1963619 25.8474228, -80.1953434 25.8474881, -80.19483210000001 25.8475038, -80.1939977 25.8475285, -80.1936472 25.8475383, -80.1928107 25.8475641, -80.19236069999999 25.8475807, -80.1922022 25.8475855, -80.19202490000001 25.8475912, -80.1913668 25.8476136, -80.19131280000001 25.8476153, -80.1909471 25.8476279, -80.1905713 25.8476408, -80.19041350000001 25.8476462, -80.18995580000001 25.8476606, -80.1894624 25.8476807, -80.1889766 25.8477078, -80.18831779999999 25.847722, -80.1869974 25.8477173, -80.18640689999999 25.8477444, -80.1864279 25.8478379, -80.1864388 25.8481042, -80.1864412 25.84817, -80.18644380000002 25.8482942)","(25.8476424, -80.2056516)","(25.8482942, -80.18644380000002)"
120860010063,77,0,1018.175,"LINESTRING (-80.2001301 25.8473379, -80.20011370000002 25.8465112, -80.20001259999999 25.8464916, -80.19957960000001 25.8464076, -80.19884999999999 25.846385, -80.1988226 25.8455194, -80.1984949 25.8455289, -80.198386 25.845532, -80.19808039999999 25.8455392, -80.1975996 25.8455506, -80.19682 25.845569, -80.19679499999999 25.845022, -80.19676800000001 25.844541, -80.19670619999999 25.843745, -80.1966473 25.8430127, -80.1960096 25.8430374, -80.19571000000001 25.843049, -80.19567499999999 25.842381, -80.19566690000001 25.8421911, -80.19539279999999 25.8422038)","(25.8473379, -80.2001301)","(25.8422038, -80.1953928)"
120860010063,79,1,1436.001,"LINESTRING (-80.2001301 25.8473379, -80.19954559999999 25.8473551, -80.1993166 25.8473638, -80.19888560000001 25.8473521, -80.1984506 25.8473573, -80.1980593 25.8473696, -80.19796289999999 25.8473726, -80.19767299999999 25.84738169999999, -80.1968938 25.847406, -80.1963619 25.8474228, -80.1953434 25.8474881, -80.19483210000001 25.8475038, -80.1939977 25.8475285, -80.1936472 25.8475383, -80.1928107 25.8475641, -80.19236069999999 25.8475807, -80.1922022 25.8475855, -80.19202490000001 25.8475912, -80.1913668 25.8476136, -80.19131280000001 25.8476153, -80.1909471 25.8476279, -80.1905713 25.8476408, -80.19041350000001 25.8476462, -80.18995580000001 25.8476606, -80.1894624 25.8476807, -80.1889766 25.8477078, -80.18831779999999 25.847722, -80.1869974 25.8477173, -80.18640689999999 25.8477444, -80.1864279 25.8478379, -80.1864388 25.8481042, -80.1864412 25.84817, -80.18644380000002 25.8482942)","(25.8473379, -80.2001301)","(25.8482942, -80.18644380000002)"
