cbg_id,store_id,rank,distance,geometry,Origin,Destination
550790001011,131,0,1247.257,"LINESTRING (-88.01468130000001 43.1885145, -88.01476169999999 43.1860806, -88.01477819999999 43.1859935, -88.0148014 43.1859297, -88.0149337 43.1857022, -88.01601530000001 43.184912, -88.01612950000001 43.1848419, -88.0155314 43.1843404, -88.0152764 43.1841266, -88.01538549999999 43.18403969999999, -88.0156741 43.1836867, -88.0157303 43.1834997, -88.0157392 43.1833129, -88.0157432 43.183111, -88.015747 43.1830047, -88.01576470000001 43.1825048, -88.01579099999999 43.1816702, -88.01581950000001 43.1809508, -88.01584680000001 43.1800902, -88.0158502 43.1800238, -88.0158826 43.17924539999999, -88.0158758 43.1791358, -88.01589290000001 43.1787636, -88.01599940000001 43.1787612, -88.0169073 43.1787566)","(43.1885145, -88.0146813)","(43.1787566, -88.0169073)"
550790001011,130,1,1411.899,"LINESTRING (-88.01468130000001 43.1885145, -88.01476169999999 43.1860806, -88.01477819999999 43.1859935, -88.0148014 43.1859297, -88.0149337 43.1857022, -88.01601530000001 43.184912, -88.01593769999999 43.1848509, -88.0151532 43.184185, -88.01509440000001 43.1840874, -88.01517870000001 43.1840501, -88.0155247 43.18366739999998, -88.0155773 43.1834942, -88.01558919999999 43.1833082, -88.01559779999999 43.1831083, -88.0156004 43.1830464, -88.0156029 43.1829757, -88.01561649999999 43.1825946, -88.0156197 43.1825033, -88.01564620000001 43.1817337, -88.0156494 43.1816687, -88.0156626 43.1812961, -88.0146381 43.18129, -88.0140602 43.1812838, -88.0140718 43.18089029999999, -88.0140863 43.1804335, -88.0139599 43.1798505, -88.01385710000001 43.1797685, -88.0134707 43.1794389, -88.0132395 43.1792504, -88.0129464 43.1790256, -88.0130395 43.1789325, -88.01302800000001 43.1784304, -88.01302320000001 43.1781325, -88.0130212 43.17802169999999)","(43.1885145, -88.0146813)","(43.17802169999999, -88.0130212)"
550790001012,130,0,399.207,"LINESTRING (-88.0140602 43.1812838, -88.0140718 43.18089029999999, -88.0140863 43.1804335, -88.0139599 43.1798505, -88.01385710000001 43.1797685, -88.0134707 43.1794389, -88.0132395 43.1792504, -88.0129464 43.1790256, -88.0130395 43.1789325, -88.01302800000001 43.1784304, -88.01302320000001 43.1781325, -88.0130212 43.17802169999999)","(43.1812838, -88.0140602)","(43.17802169999999, -88.0130212)"
550790001012,131,1,489.224,"LINESTRING (-88.0140602 43.1812838, -88.0146381 43.18129, -88.0149742 43.1804791, -88.01537399999999 43.1803885, -88.0156949 43.1803886, -88.015702 43.1801887, -88.0157055 43.1800889, -88.01570700000001 43.1800214, -88.0157085 43.1799539, -88.0157202 43.1794248, -88.0157241 43.1792463, -88.01572659999999 43.1791366, -88.0157339 43.1789888, -88.0157449 43.1787669, -88.01589290000001 43.1787636, -88.01599940000001 43.1787612, -88.0169073 43.1787566)","(43.1812838, -88.0140602)","(43.1787566, -88.0169073)"
550790001013,130,0,1623.643,"LINESTRING (-87.9994923 43.185059, -87.99961740000002 43.1851237, -88.00105670000001 43.185135, -88.0014063 43.1850177, -88.00150069999999 43.1847629, -88.0019702 43.18476969999998, -88.0020432 43.1843622, -88.0024907 43.1843254, -88.0024793 43.1842727, -88.00257240000001 43.1841489, -88.0025851 43.1838603, -88.0026125 43.1832937, -88.0028295 43.1832747, -88.0027307 43.1829601, -88.00300300000001 43.1828926, -88.004153 43.182732, -88.0042373 43.1827353, -88.0044776 43.1827368, -88.0044808 43.1826233, -88.0045976 43.182625, -88.004912 43.1826296, -88.00573040000002 43.1825664, -88.0057779 43.1821064, -88.0058387 43.1818953, -88.0058741 43.1818132, -88.0059035 43.1817512, -88.0060261 43.18156780000001, -88.00611670000001 43.1814524, -88.0062626 43.18129539999999, -88.006355 43.18121189999999, -88.00651520000001 43.1810837, -88.006912 43.18082419999999, -88.0069975 43.1807679, -88.00716629999999 43.1806567, -88.00731159999999 43.1805609, -88.0074817 43.1804489, -88.0076265 43.1803552, -88.0078015 43.180242, -88.0078616 43.1802031, -88.0079456 43.1801488, -88.0081115 43.1800415, -88.00827649999999 43.1799348, -88.00828980000001 43.1799262, -88.00848240000001 43.1798016, -88.0086388 43.1796958, -88.0088104 43.1795916, -88.0088288 43.1795774, -88.0089795 43.1794797, -88.00904989999999 43.1794341, -88.0095505 43.1792647, -88.00987840000001 43.1791869, -88.0100978 43.17913479999999, -88.0103537 43.1790754, -88.01097799999999 43.1789304, -88.01112809999999 43.1788949, -88.0115577 43.1788163, -88.0116323 43.178035, -88.0122235 43.1780297, -88.0130212 43.17802169999999)","(43.185059, -87.9994923)","(43.17802169999999, -88.0130212)"
550790001013,131,1,1936.571,"LINESTRING (-87.9994923 43.185059, -87.99961740000002 43.1851237, -88.00105670000001 43.185135, -88.0014063 43.1850177, -88.00150069999999 43.1847629, -88.0019702 43.18476969999998, -88.0020432 43.1843622, -88.0024907 43.1843254, -88.0024793 43.1842727, -88.00257240000001 43.1841489, -88.0025851 43.1838603, -88.0026125 43.1832937, -88.0028295 43.1832747, -88.0027307 43.1829601, -88.00300300000001 43.1828926, -88.004153 43.182732, -88.0042373 43.1827353, -88.0044776 43.1827368, -88.0044808 43.1826233, -88.0045976 43.182625, -88.004912 43.1826296, -88.00573040000002 43.1825664, -88.0057779 43.1821064, -88.0058387 43.1818953, -88.0058741 43.1818132, -88.0059035 43.1817512, -88.0060261 43.18156780000001, -88.00611670000001 43.1814524, -88.0062626 43.18129539999999, -88.006355 43.18121189999999, -88.00651520000001 43.1810837, -88.006912 43.18082419999999, -88.0069975 43.1807679, -88.00716629999999 43.1806567, -88.00731159999999 43.1805609, -88.0074817 43.1804489, -88.0076265 43.1803552, -88.0078015 43.180242, -88.0078616 43.1802031, -88.0079456 43.1801488, -88.0081115 43.1800415, -88.00827649999999 43.1799348, -88.00828980000001 43.1799262, -88.00848240000001 43.1798016, -88.0086388 43.1796958, -88.0088104 43.1795916, -88.0088288 43.1795774, -88.0089795 43.1794797, -88.00904989999999 43.1794341, -88.0095505 43.1792647, -88.00987840000001 43.1791869, -88.0100978 43.17913479999999, -88.0103537 43.1790754, -88.01097799999999 43.1789304, -88.01112809999999 43.1788949, -88.0115577 43.1788163, -88.01219709999999 43.1788133, -88.0129082 43.179007, -88.0129464 43.1790256, -88.0132395 43.1792504, -88.0134707 43.1794389, -88.0138745 43.1791624, -88.01401869999999 43.1791232, -88.0141868 43.1791109, -88.0142093 43.1791113, -88.014482 43.1791158, -88.01457520000001 43.1791182, -88.01500160000002 43.1791245, -88.01506259999999 43.1791255, -88.01560360000002 43.17913450000001, -88.01572659999999 43.1791366, -88.0157339 43.1789888, -88.0157449 43.1787669, -88.01589290000001 43.1787636, -88.01599940000001 43.1787612, -88.0169073 43.1787566)","(43.185059, -87.9994923)","(43.1787566, -88.0169073)"
550790001021,130,0,785.965,"LINESTRING (-88.0116994 43.17398219999998, -88.0116582 43.1741457, -88.0110657 43.1742062, -88.0108101 43.1741553, -88.0105142 43.1741773, -88.0105272 43.1742183, -88.01053709999999 43.1742705, -88.0105729 43.1751642, -88.01064169999999 43.1757328, -88.0104056 43.1764633, -88.01045929999999 43.1764692, -88.0104564 43.176514, -88.01045420000001 43.1770108, -88.0106758 43.1770196, -88.0108783 43.1770276, -88.0110942 43.1770361, -88.0113123 43.1770447, -88.0115236 43.1770504, -88.0115358 43.1776524, -88.01153760000001 43.177741, -88.011461 43.17793790000001, -88.01161430000001 43.1779368, -88.01222439999999 43.1779319, -88.0130193 43.1779258, -88.0130212 43.17802169999999)","(43.17398219999998, -88.0116994)","(43.17802169999999, -88.0130212)"
550790001021,131,1,1177.506,"LINESTRING (-88.0116994 43.17398219999998, -88.0116582 43.1741457, -88.0110657 43.1742062, -88.0108101 43.1741553, -88.0105142 43.1741773, -88.0105272 43.1742183, -88.01053709999999 43.1742705, -88.0105729 43.1751642, -88.01064169999999 43.1757328, -88.0104056 43.1764633, -88.01045929999999 43.1764692, -88.0104564 43.176514, -88.01045420000001 43.1770108, -88.0106758 43.1770196, -88.0108783 43.1770276, -88.0110942 43.1770361, -88.0113123 43.1770447, -88.0115236 43.1770504, -88.0115358 43.1776524, -88.0131514 43.1776251, -88.0136469 43.17763090000001, -88.0136504 43.1777268, -88.0136519 43.1779209, -88.01365560000001 43.1780192, -88.0145163 43.1780128, -88.0151455 43.1780064, -88.0151429 43.1780535, -88.0155657 43.1782358, -88.01555879999999 43.1784106, -88.01563 43.1784119, -88.0157581 43.1784155, -88.0157449 43.1787669, -88.01589290000001 43.1787636, -88.01599940000001 43.1787612, -88.0169073 43.1787566)","(43.17398219999998, -88.0116994)","(43.1787566, -88.0169073)"
550790001022,129,0,1595.029,"LINESTRING (-88.0150885 43.1612201, -88.0164892 43.1613372, -88.0169468 43.1613364, -88.0169271 43.1617935, -88.01702640000001 43.1617957, -88.0169781 43.1631376, -88.01697470000001 43.1632316, -88.0167843 43.1632312, -88.0164424 43.1632305, -88.01533120000001 43.1632024, -88.0151743 43.1632029, -88.01483500000001 43.163204, -88.0146012 43.1632047, -88.01376790000002 43.1632093, -88.0134462 43.1632106, -88.01320990000001 43.1632116, -88.01277410000002 43.16321339999999, -88.0122906 43.1632154, -88.0121489 43.163216, -88.0121288 43.1632161, -88.01156469999999 43.1632184, -88.01050050000001 43.16322280000001, -88.01042630000001 43.1632231, -88.00954950000001 43.1632267, -88.0075063 43.1632521, -88.0063791 43.1632659, -88.00599920000001 43.1632219, -88.0053259 43.1632239, -88.00529880000001 43.163224, -88.0052974 43.1633575, -88.0052946 43.1634965, -88.0050303 43.1635062, -88.0048846 43.16356149999999, -88.00488009999999 43.1638158, -88.00487819999999 43.1639223, -88.0048634 43.1645374, -88.00478360000001 43.1645357, -88.0045179 43.1645367)","(43.1612201, -88.0150885)","(43.1645367, -88.0045179)"
550790001022,131,1,3212.856,"LINESTRING (-88.0150885 43.1612201, -88.0164892 43.1613372, -88.0169468 43.1613364, -88.0169271 43.1617935, -88.01702640000001 43.1617957, -88.0169781 43.1631376, -88.01697470000001 43.1632316, -88.017279 43.1632304, -88.0184359 43.1632257, -88.0184299 43.16348859999999, -88.0184229 43.1637932, -88.01841570000001 43.1641092, -88.01840970000001 43.1643707, -88.01839940000001 43.1648181, -88.018393 43.165098, -88.0183789 43.165862, -88.0183629 43.1667331, -88.0183115 43.1695217, -88.0183071 43.1697582, -88.0183047 43.169919, -88.01829530000001 43.17055, -88.018291 43.1708356, -88.0182942 43.1712144, -88.0183902 43.1715065, -88.0184521 43.1716949, -88.01846279999999 43.17172750000001, -88.0187166 43.1721301, -88.0189194 43.1723327, -88.01942040000002 43.1727187, -88.0197039 43.1728745, -88.0208459 43.1734286, -88.0211874 43.1735527, -88.02160720000001 43.173663, -88.0218641 43.17370059999999, -88.0222957 43.1737144, -88.0227108 43.1737153, -88.0232039 43.17371640000001, -88.0242147 43.1737187, -88.0243749 43.1737191, -88.02437310000001 43.1738184, -88.02434430000001 43.1753899, -88.0243038 43.1758572, -88.0242897 43.1765281, -88.0242882 43.1766077, -88.02403289999999 43.1766449, -88.02335840000001 43.1768303, -88.02334740000001 43.1775378, -88.023346 43.177631, -88.02288040000001 43.1776362, -88.02241189999999 43.1776415, -88.0220041 43.1776461, -88.0207604 43.17766, -88.02076580000001 43.1778568, -88.02077079999999 43.177953, -88.02004290000001 43.1779591, -88.01946510000001 43.1779634, -88.0189192 43.1779674, -88.018632 43.1779704, -88.0186349 43.1780751, -88.01780530000001 43.1780844, -88.01780530000001 43.17825719999998, -88.0178054 43.1784243, -88.0178054 43.1785854, -88.0169073 43.1787566)","(43.1612201, -88.0150885)","(43.1787566, -88.0169073)"
