cbg_id,store_id,rank,distance,geometry,Origin,Destination
270530001011,90,0,1838.406,"LINESTRING (-93.3036446 45.0493696, -93.3030218 45.0493615, -93.3030031 45.0476291, -93.302379 45.0476191, -93.30237870000001 45.0475503, -93.3017389 45.047543, -93.30164910000001 45.0475427, -93.3016665 45.0472339, -93.30166610000001 45.0471878, -93.30154229999999 45.0471875, -93.3005726 45.0471855, -93.3005271 45.0471854, -93.3000059 45.0465026, -93.30000939999999 45.0464859, -93.30003440000002 45.046411, -93.30003379999999 45.0463576, -93.2996832 45.0450024, -93.29958379999999 45.0440546, -93.2994375 45.0440419, -93.29943560000001 45.0439166, -93.29942629999999 45.0437926, -93.29923630000002 45.0421039, -93.2991476 45.04060040000001, -93.2991468 45.0405365, -93.29906440000001 45.0404964, -93.29897750000001 45.039714, -93.2989537 45.039568, -93.29887189999999 45.0389541, -93.2988699 45.0388859, -93.298934 45.0385034, -93.29898559999999 45.0370007, -93.29899 45.0369313, -93.29899349999999 45.036875, -93.2989863 45.0366384, -93.29898369999999 45.0365693, -93.2989814 45.0365067, -93.2989707 45.0361008, -93.2989694 45.0360591, -93.2987816 45.0360603, -93.2983974 45.03605389999998, -93.2983936 45.03590389999999, -93.2984178 45.035722)","(45.0493696, -93.3036446)","(45.035722, -93.2984178)"
270530001011,89,1,4189.991,"LINESTRING (-93.3036446 45.0493696, -93.3030218 45.0493615, -93.3030031 45.0476291, -93.302379 45.0476191, -93.30237870000001 45.0475503, -93.3017389 45.047543, -93.30164910000001 45.0475427, -93.3016665 45.0472339, -93.30166610000001 45.0471878, -93.30154229999999 45.0471875, -93.3005726 45.0471855, -93.3005271 45.0471854, -93.3000059 45.0465026, -93.30000939999999 45.0464859, -93.30003440000002 45.046411, -93.30003379999999 45.0463576, -93.2996832 45.0450024, -93.29958379999999 45.0440546, -93.2995967 45.0439164, -93.2995987 45.0438134, -93.2995568 45.0434344, -93.2992703 45.0408498, -93.2992375 45.0405855, -93.29924509999999 45.0402608, -93.29922379999999 45.0398267, -93.2991779 45.0395203, -93.29910270000001 45.0389502, -93.29919419999999 45.0375773, -93.29919700000001 45.0370018, -93.299193 45.0369308, -93.299193 45.0368795, -93.302846 45.036817, -93.302834 45.036655, -93.3028212 45.0359834, -93.30281890000001 45.0358586, -93.30281290000001 45.0355438, -93.30407219999999 45.0355366, -93.30485109999999 45.0355299, -93.30484970000001 45.03545, -93.3048484 45.035384, -93.30484620000001 45.0352684, -93.30591920000001 45.0349296, -93.3059914 45.0349289, -93.305966 45.033383, -93.30664539999999 45.0333857, -93.307236 45.033388, -93.3078764 45.033391, -93.3085257 45.0333873, -93.3085128 45.0329897, -93.3084971 45.0313261, -93.3084958 45.0312555, -93.30846450000001 45.0295254, -93.30842920000001 45.0277276, -93.3083925 45.0259156, -93.3083458 45.0247759, -93.3083582 45.0244041, -93.3083522 45.0241741, -93.3083501 45.0240938, -93.30834969999999 45.0240139, -93.30834919999999 45.0238969, -93.30831480000001 45.02228520000001, -93.3082797 45.02074349999999)","(45.0493696, -93.3036446)","(45.02074349999999, -93.3082797)"
270530001012,90,0,2546.028,"LINESTRING (-93.3152202 45.0494994, -93.31400530000002 45.0494593, -93.3139322 45.0493541, -93.3137928 45.049416, -93.31317319999999 45.04942359999998, -93.31252689999999 45.049416, -93.3119061 45.049416, -93.31128230000002 45.0494141, -93.310608 45.049412, -93.30946630000001 45.04997370000001, -93.308375 45.0492673, -93.3061287 45.0478418, -93.30585149999999 45.0477226, -93.30581650000001 45.0477032, -93.30245290000001 45.0460522, -93.3011815 45.0450618, -93.3008394 45.0448709, -93.3002182 45.044241, -93.2999568 45.043612, -93.2992703 45.0408498, -93.2992375 45.0405855, -93.2991468 45.0405365, -93.29906440000001 45.0404964, -93.29897750000001 45.039714, -93.2989537 45.039568, -93.29887189999999 45.0389541, -93.2988699 45.0388859, -93.298934 45.0385034, -93.29898559999999 45.0370007, -93.29899 45.0369313, -93.29899349999999 45.036875, -93.2989863 45.0366384, -93.29898369999999 45.0365693, -93.2989814 45.0365067, -93.2989707 45.0361008, -93.2989694 45.0360591, -93.2987816 45.0360603, -93.2983974 45.03605389999998, -93.2983936 45.03590389999999, -93.2984178 45.035722)","(45.0494994, -93.3152202)","(45.035722, -93.2984178)"
270530001012,89,1,3866.511,"LINESTRING (-93.3152202 45.0494994, -93.31559180000001 45.0493604, -93.3157069 45.0494408, -93.3162975 45.0494154, -93.3163065 45.0476017, -93.3169288 45.0476055, -93.3175645 45.04760739999998, -93.31819900000001 45.0476093, -93.318184 45.045784, -93.318793 45.045786, -93.3187976 45.04418970000001, -93.3187981 45.044022, -93.3187983 45.0439652, -93.3191942 45.0439542, -93.3191156 45.04383579999998, -93.315673 45.0399807, -93.3154972 45.03979109999999, -93.3155438 45.03976220000001, -93.31538020000001 45.03963629999998, -93.3150359 45.0394412, -93.31495839999999 45.0393865, -93.3147819 45.03926340000001, -93.31436069999999 45.0389715, -93.3141229 45.0388108, -93.3137139 45.0385398, -93.3134963 45.0383907, -93.3133952 45.0383188, -93.31280700000001 45.0378992, -93.31244030000001 45.0376381, -93.3121805 45.0374651, -93.3117094 45.0371593, -93.31150100000001 45.037022, -93.3113817 45.0369397, -93.31124819999999 45.03685, -93.3110368 45.0366468, -93.31095790000001 45.0365949, -93.31084850000001 45.0365227, -93.3103644 45.0362095, -93.31009 45.0360292, -93.30937419999999 45.0355655, -93.30929860000001 45.0355172, -93.3091965 45.0354707, -93.3092226 45.03542309999999, -93.3086895 45.03537829999998, -93.3085897 45.0353793, -93.30858120000001 45.0350296, -93.3085257 45.0333873, -93.3085128 45.0329897, -93.3084971 45.0313261, -93.3084958 45.0312555, -93.30846450000001 45.0295254, -93.30842920000001 45.0277276, -93.3083925 45.0259156, -93.3083458 45.0247759, -93.3083582 45.0244041, -93.3083522 45.0241741, -93.3083501 45.0240938, -93.30834969999999 45.0240139, -93.30834919999999 45.0238969, -93.30831480000001 45.02228520000001, -93.3082797 45.02074349999999)","(45.0494994, -93.3152202)","(45.02074349999999, -93.3082797)"
270530001013,90,0,1688.921,"LINESTRING (-93.30910350000001 45.0432335, -93.3089688 45.0438652, -93.3089645 45.043938, -93.30860439999999 45.0439399, -93.307976 45.043938, -93.3073948 45.0439362, -93.3067411 45.0439321, -93.3058334 45.0439283, -93.30549449999999 45.043926, -93.30487890000001 45.043926, -93.3049556 45.0437272, -93.3009745 45.0408331, -93.3007197 45.0402918, -93.300382 45.040262, -93.29965199999999 45.0402678, -93.29924509999999 45.0402608, -93.2991493 45.0402591, -93.2991102 45.039828, -93.2990564 45.0397022, -93.2990384 45.0395682, -93.2990337 45.039533, -93.2989644 45.0389525, -93.29896669999999 45.0388958, -93.2990973 45.03757539999999, -93.2990837 45.0370015, -93.29908260000001 45.0369314, -93.2990784 45.0368761, -93.29899349999999 45.036875, -93.2989863 45.0366384, -93.29898369999999 45.0365693, -93.2989814 45.0365067, -93.2989707 45.0361008, -93.2989694 45.0360591, -93.2987816 45.0360603, -93.2983974 45.03605389999998, -93.2983936 45.03590389999999, -93.2984178 45.035722)","(45.0432335, -93.3091035)","(45.035722, -93.2984178)"
270530001013,89,1,3824.544,"LINESTRING (-93.30910350000001 45.0432335, -93.3089688 45.0438652, -93.3089645 45.043938, -93.3092511 45.043938, -93.309314 45.0439389, -93.30989049999999 45.0439383, -93.3105247 45.0439435, -93.31115370000001 45.043941, -93.31140069999999 45.043941, -93.3117895 45.043941, -93.311854 45.0439413, -93.3124371 45.0439432, -93.31307049999999 45.043945, -93.3137128 45.0439471, -93.31435089999999 45.0439452, -93.3149734 45.0439511, -93.3150498 45.0439513, -93.3154045 45.0439524, -93.315613 45.043953, -93.31623409999999 45.043955, -93.3168881 45.0439579, -93.3175055 45.0439605, -93.3181422 45.043964, -93.3183439 45.0439643, -93.3187983 45.0439652, -93.3191942 45.0439542, -93.3191156 45.04383579999998, -93.315673 45.0399807, -93.3154972 45.03979109999999, -93.3155438 45.03976220000001, -93.31538020000001 45.03963629999998, -93.3150359 45.0394412, -93.31495839999999 45.0393865, -93.3147819 45.03926340000001, -93.31436069999999 45.0389715, -93.3141229 45.0388108, -93.3137139 45.0385398, -93.3134963 45.0383907, -93.3133952 45.0383188, -93.31280700000001 45.0378992, -93.31244030000001 45.0376381, -93.3121805 45.0374651, -93.3117094 45.0371593, -93.31150100000001 45.037022, -93.3113817 45.0369397, -93.31124819999999 45.03685, -93.3110368 45.0366468, -93.31095790000001 45.0365949, -93.31084850000001 45.0365227, -93.3103644 45.0362095, -93.31009 45.0360292, -93.30937419999999 45.0355655, -93.30929860000001 45.0355172, -93.3091965 45.0354707, -93.3092226 45.03542309999999, -93.3086895 45.03537829999998, -93.3085897 45.0353793, -93.30858120000001 45.0350296, -93.3085257 45.0333873, -93.3085128 45.0329897, -93.3084971 45.0313261, -93.3084958 45.0312555, -93.30846450000001 45.0295254, -93.30842920000001 45.0277276, -93.3083925 45.0259156, -93.3083458 45.0247759, -93.3083582 45.0244041, -93.3083522 45.0241741, -93.3083501 45.0240938, -93.30834969999999 45.0240139, -93.30834919999999 45.0238969, -93.30831480000001 45.02228520000001, -93.3082797 45.02074349999999)","(45.0432335, -93.3091035)","(45.02074349999999, -93.3082797)"
270530001014,90,0,1684.753,"LINESTRING (-93.3074001 45.04575909999998, -93.3067722 45.045757, -93.30674260000001 45.0440198, -93.3067411 45.0439321, -93.3058334 45.0439283, -93.30549449999999 45.043926, -93.30487890000001 45.043926, -93.3049556 45.0437272, -93.3009745 45.0408331, -93.3007197 45.0402918, -93.300382 45.040262, -93.29965199999999 45.0402678, -93.29924509999999 45.0402608, -93.2991493 45.0402591, -93.2991102 45.039828, -93.2990564 45.0397022, -93.2990384 45.0395682, -93.2990337 45.039533, -93.2989644 45.0389525, -93.29896669999999 45.0388958, -93.2990973 45.03757539999999, -93.2990837 45.0370015, -93.29908260000001 45.0369314, -93.2990784 45.0368761, -93.29899349999999 45.036875, -93.2989863 45.0366384, -93.29898369999999 45.0365693, -93.2989814 45.0365067, -93.2989707 45.0361008, -93.2989694 45.0360591, -93.2987816 45.0360603, -93.2983974 45.03605389999998, -93.2983936 45.03590389999999, -93.2984178 45.035722)","(45.045759099999984, -93.3074001)","(45.035722, -93.2984178)"
270530001014,89,1,4021.246,"LINESTRING (-93.3074001 45.04575909999998, -93.3067722 45.045757, -93.30674260000001 45.0440198, -93.3067411 45.0439321, -93.3058334 45.0439283, -93.30549449999999 45.043926, -93.30487890000001 45.043926, -93.3049556 45.0437272, -93.3009745 45.0408331, -93.3007197 45.0402918, -93.300382 45.040262, -93.29965199999999 45.0402678, -93.29924509999999 45.0402608, -93.29922379999999 45.0398267, -93.2991779 45.0395203, -93.29910270000001 45.0389502, -93.29919419999999 45.0375773, -93.29919700000001 45.0370018, -93.299193 45.0369308, -93.299193 45.0368795, -93.302846 45.036817, -93.302834 45.036655, -93.3028212 45.0359834, -93.30281890000001 45.0358586, -93.30281290000001 45.0355438, -93.30407219999999 45.0355366, -93.30485109999999 45.0355299, -93.30484970000001 45.03545, -93.3048484 45.035384, -93.30484620000001 45.0352684, -93.30591920000001 45.0349296, -93.3059914 45.0349289, -93.305966 45.033383, -93.30664539999999 45.0333857, -93.307236 45.033388, -93.3078764 45.033391, -93.3085257 45.0333873, -93.3085128 45.0329897, -93.3084971 45.0313261, -93.3084958 45.0312555, -93.30846450000001 45.0295254, -93.30842920000001 45.0277276, -93.3083925 45.0259156, -93.3083458 45.0247759, -93.3083582 45.0244041, -93.3083522 45.0241741, -93.3083501 45.0240938, -93.30834969999999 45.0240139, -93.30834919999999 45.0238969, -93.30831480000001 45.02228520000001, -93.3082797 45.02074349999999)","(45.045759099999984, -93.3074001)","(45.02074349999999, -93.3082797)"
270530001021,90,0,1106.142,"LINESTRING (-93.2875098 45.0385423, -93.2877325 45.0373893, -93.28775640000001 45.0372748, -93.28780150000001 45.0370586, -93.2878185 45.03698570000001, -93.28783230000001 45.0369108, -93.2879549 45.0369, -93.28820570000001 45.03685429999999, -93.28884480000001 45.03672060000001, -93.2894945 45.0367122, -93.2895364 45.0367119, -93.290115 45.0367065, -93.29076440000001 45.0367012, -93.2913964 45.03669270000001, -93.2920335 45.0366878, -93.2926781 45.0366826, -93.2929106 45.036675, -93.2931183 45.0366305, -93.29490699999999 45.036282, -93.29577430000001 45.0360647, -93.29590010000001 45.0360276, -93.2958624 45.0359528, -93.2959675 45.0359324, -93.2959618 45.03586, -93.29593 45.0355677, -93.29700149999999 45.0355333, -93.2971893 45.0355331, -93.29756740000002 45.0355326, -93.2982581 45.0355317, -93.2984165 45.0355315, -93.2984178 45.035722)","(45.0385423, -93.2875098)","(45.035722, -93.2984178)"
270530001021,85,1,3433.094,"LINESTRING (-93.2875098 45.0385423, -93.2877325 45.0373893, -93.28775640000001 45.0372748, -93.28780150000001 45.0370586, -93.2878185 45.03698570000001, -93.28783230000001 45.0369108, -93.2878639 45.0367717, -93.2879037 45.0365967, -93.2879338 45.036405, -93.28795959999999 45.036302, -93.2880364 45.0359326, -93.28806059999999 45.0357761, -93.2881225 45.035454, -93.2881295 45.0351973, -93.28812929999999 45.0350013, -93.2881271 45.034688, -93.2881105 45.0341181, -93.28811090000001 45.0324812, -93.2882721 45.0324821, -93.28828009999999 45.0323649, -93.2887236 45.0323721, -93.28872800000001 45.0323025, -93.2887271 45.03223680000001, -93.2892126 45.0320414, -93.2893923 45.0320004, -93.29058980000001 45.0319957, -93.29065180000001 45.0319955, -93.2906634 45.0315879, -93.2906651 45.0315274, -93.29064200000001 45.029533, -93.29064200000001 45.029377, -93.290634 45.02758, -93.2906174 45.02577260000001, -93.29060389999999 45.0239708, -93.2912336 45.02397469999999, -93.2918609 45.023208, -93.2918501 45.022155, -93.29183310000001 45.0203407, -93.2918342 45.0202744, -93.2924608 45.0202707, -93.29247359999999 45.0185432, -93.29246790000001 45.0167296, -93.2924648 45.0149395, -93.29244869999999 45.01315429999998, -93.2930777 45.013141, -93.293712 45.0131408, -93.2943499 45.0131476, -93.29481850000001 45.0131527, -93.2948201 45.0130405, -93.2944316 45.012671, -93.29434430000001 45.0126705)","(45.0385423, -93.2875098)","(45.0126705, -93.2943443)"
