cbg_id,store_id,rank,distance,geometry,Origin,Destination
471650210021,157,0,5462.978,"LINESTRING (-86.6839188 36.3178014, -86.6834339 36.3198068, -86.68347199999999 36.3199704, -86.6838243 36.3207061, -86.68408340000001 36.32071679999999, -86.68396 36.3219362, -86.6837491 36.321966, -86.68313089999999 36.3223227, -86.6820895 36.3221932, -86.6819697 36.3221817, -86.6819625 36.322321, -86.681969 36.32249620000001, -86.6819485 36.3225945, -86.6814274 36.3226465, -86.6803848 36.3227593, -86.6791697 36.3228815, -86.6753456 36.3224531, -86.67405890000001 36.3221346, -86.67371609999999 36.3220404, -86.672113 36.3210171, -86.67039320000001 36.3199584, -86.67024290000001 36.3198885, -86.6688116 36.3192154, -86.66864700000001 36.3191324, -86.6684394 36.3190067, -86.66785299999999 36.3185697, -86.667575 36.3182154, -86.66724859999999 36.3172059, -86.6670629 36.3167517, -86.6670185 36.3166798, -86.66688499999999 36.3164634, -86.66661259999999 36.3160551, -86.6663643 36.3156938, -86.6662638 36.3155457, -86.6658168 36.3149389, -86.66447890000001 36.3141412, -86.6639248 36.3139067, -86.6645587 36.313037, -86.66526260000001 36.3119054, -86.6654133 36.31159130000001, -86.66565170000001 36.31109989999999, -86.6657675 36.3107397, -86.66581189999999 36.3105802, -86.66583559999999 36.3104952, -86.6660579 36.3093764, -86.66644890000001 36.3094165, -86.6669134 36.3094697, -86.6676743 36.3095346, -86.6737512 36.3093774, -86.67394760000001 36.309364, -86.6742495 36.3093433, -86.6745126 36.3093235, -86.67459239999999 36.3093175, -86.6749518 36.3092908, -86.6751861 36.3092732, -86.67545610000001 36.3092531, -86.6757666 36.3092295, -86.67598630000001 36.3092128, -86.6761916 36.3091971, -86.67631710000001 36.3091893, -86.6768749 36.3091547, -86.6772933 36.3091287, -86.6776404 36.3091072, -86.67773200000001 36.3091018, -86.6787917 36.3090397, -86.67929590000001 36.3090102, -86.6798744 36.3089763, -86.6801921 36.3089484, -86.68147279999999 36.3086365, -86.6815936 36.3086034, -86.6821487 36.308438, -86.68277999999999 36.3082116, -86.683499 36.307917, -86.6848986 36.3072775, -86.68553550000001 36.3080921, -86.6858446 36.3079735, -86.6862895 36.3077679, -86.6861998 36.3076385, -86.6860015 36.3077257, -86.68566370000001 36.3072386)","(36.3178014, -86.6839188)","(36.3072386, -86.6856637)"
471650210021,156,1,5677.31,"LINESTRING (-86.6839188 36.3178014, -86.6834339 36.3198068, -86.68347199999999 36.3199704, -86.6838243 36.3207061, -86.68408340000001 36.32071679999999, -86.68396 36.3219362, -86.68560180000001 36.3224492, -86.6865346 36.322484, -86.6864643 36.3228177, -86.6896302 36.3245095, -86.6896773 36.3245623, -86.6897197 36.3246003, -86.6908607 36.3256419, -86.6917681 36.3261725, -86.6927953 36.3267479, -86.6931135 36.3269261, -86.6933451 36.32705579999999, -86.694226 36.3275492, -86.6953316 36.3281616, -86.6963423 36.3287488, -86.69686299999999 36.3288968, -86.6972627 36.3289691, -86.6976427 36.3285174, -86.6978282 36.3283713, -86.6980014 36.3282428, -86.6984159 36.3278746, -86.6988672 36.3282108, -86.69892530000001 36.328144, -86.69947070000001 36.3274951, -86.69957170000001 36.3273809, -86.6998085 36.3271098, -86.70004520000001 36.3268387, -86.70011280000001 36.3267613, -86.7005193 36.3262914, -86.7006136 36.3261895, -86.70067040000001 36.3261183, -86.70083 36.325927, -86.7009395 36.3258263, -86.7009747 36.3257939, -86.7010847 36.3256927, -86.70119620000001 36.3255902, -86.7012474 36.3255431, -86.7013583 36.3254506, -86.7012033 36.3253168, -86.7012842 36.325055, -86.7012587 36.3247521, -86.7013967 36.3246986, -86.7012996 36.3245297, -86.7011225 36.3241025, -86.70108430000001 36.3239235, -86.70106730000001 36.3235566, -86.7012525 36.3230065, -86.70138470000001 36.3227038, -86.7014815 36.3225265, -86.7016169 36.3222097, -86.7016457 36.322091, -86.7017326 36.3215837, -86.7016477 36.3211191, -86.70140739999999 36.3206424, -86.7011928 36.3202878, -86.70099519999999 36.3199647, -86.7007345 36.3190565, -86.70072469999999 36.319011, -86.70054469999999 36.3183142, -86.70035350000001 36.3177882, -86.6998439 36.316753, -86.6997009 36.3164893, -86.699461 36.3160426, -86.6991282 36.3146841, -86.69911500000001 36.3145639, -86.6985868 36.3120453, -86.6967276 36.3108805, -86.6959301 36.3097515, -86.695103 36.3078825, -86.69448989999999 36.3068308, -86.693928 36.3059048, -86.6933884 36.305203, -86.6933385 36.3051149, -86.6931608 36.3048254, -86.6926354 36.303874, -86.69249929999999 36.3036461, -86.6919402 36.3029004, -86.6918251 36.3027772, -86.6919113 36.3027143, -86.6926874 36.3021793, -86.6928006 36.3020992, -86.6934686 36.3016461)","(36.3178014, -86.6839188)","(36.3016461, -86.6934686)"
471650211051,157,0,2439.169,"LINESTRING (-86.6677759 36.3067392, -86.6659494 36.3071684, -86.6660035 36.3074538, -86.6660376 36.3077521, -86.66605010000001 36.3082264, -86.66608010000002 36.3087175, -86.6660823 36.3087516, -86.6660897 36.3090059, -86.66607190000001 36.3092766, -86.6660579 36.3093764, -86.66644890000001 36.3094165, -86.6669134 36.3094697, -86.6676743 36.3095346, -86.6737512 36.3093774, -86.67394760000001 36.309364, -86.6742495 36.3093433, -86.6745126 36.3093235, -86.67459239999999 36.3093175, -86.6749518 36.3092908, -86.6751861 36.3092732, -86.67545610000001 36.3092531, -86.6757666 36.3092295, -86.67598630000001 36.3092128, -86.6761916 36.3091971, -86.67631710000001 36.3091893, -86.6768749 36.3091547, -86.6772933 36.3091287, -86.6776404 36.3091072, -86.67773200000001 36.3091018, -86.6787917 36.3090397, -86.67929590000001 36.3090102, -86.6798744 36.3089763, -86.6801921 36.3089484, -86.68147279999999 36.3086365, -86.6815936 36.3086034, -86.6821487 36.308438, -86.68277999999999 36.3082116, -86.683499 36.307917, -86.6848986 36.3072775, -86.68553550000001 36.3080921, -86.6858446 36.3079735, -86.6862895 36.3077679, -86.6861998 36.3076385, -86.6860015 36.3077257, -86.68566370000001 36.3072386)","(36.3067392, -86.6677759)","(36.3072386, -86.6856637)"
471650211051,156,1,3148.242,"LINESTRING (-86.6677759 36.3067392, -86.6659494 36.3071684, -86.6660035 36.3074538, -86.6660376 36.3077521, -86.66605010000001 36.3082264, -86.66608010000002 36.3087175, -86.6660823 36.3087516, -86.6660897 36.3090059, -86.66607190000001 36.3092766, -86.6660579 36.3093764, -86.66644890000001 36.3094165, -86.6669134 36.3094697, -86.6676743 36.3095346, -86.6737512 36.3093774, -86.67394760000001 36.309364, -86.6742495 36.3093433, -86.6745126 36.3093235, -86.67459239999999 36.3093175, -86.6749518 36.3092908, -86.6751861 36.3092732, -86.67545610000001 36.3092531, -86.6757666 36.3092295, -86.67598630000001 36.3092128, -86.6761916 36.3091971, -86.67631710000001 36.3091893, -86.6768749 36.3091547, -86.6772933 36.3091287, -86.6776404 36.3091072, -86.67773200000001 36.3091018, -86.6787917 36.3090397, -86.67929590000001 36.3090102, -86.6798744 36.3089763, -86.6801921 36.3089484, -86.68147279999999 36.3086365, -86.6815936 36.3086034, -86.6821487 36.308438, -86.68277999999999 36.3082116, -86.683499 36.307917, -86.6848986 36.3072775, -86.6863288 36.30647730000001, -86.68710419999999 36.3059751, -86.6874275 36.3057501, -86.6875063 36.30569659999998, -86.6877494 36.3055316, -86.6879301 36.305409, -86.68841879999999 36.3050773, -86.6886087 36.3049484, -86.6889511 36.3047154, -86.689753 36.3041727, -86.69048479999999 36.30369030000001, -86.69174529999999 36.3028337, -86.6918251 36.3027772, -86.6919113 36.3027143, -86.6926874 36.3021793, -86.6928006 36.3020992, -86.6934686 36.3016461)","(36.3067392, -86.6677759)","(36.3016461, -86.6934686)"
470370154023,130,0,2946.758,"LINESTRING (-86.628507 36.209488, -86.629474 36.21083, -86.6305291 36.2122691, -86.631506 36.211949, -86.632259 36.211037, -86.6323269 36.2109865, -86.6333903 36.2101456, -86.633377 36.208522, -86.633241 36.20744, -86.633178 36.206414, -86.632401 36.2061922, -86.62790699999999 36.2045168, -86.62806430000001 36.2035147, -86.628124 36.202527, -86.6275335 36.2014074, -86.6278117 36.2007517, -86.62670180000001 36.200381, -86.6256784 36.1981298, -86.6250636 36.1974332, -86.62306190000001 36.1967125, -86.622658 36.1961697, -86.62242000000001 36.1960225, -86.6221118 36.1958419)","(36.209488, -86.628507)","(36.1958419, -86.6221118)"
470370154023,129,1,3102.124,"LINESTRING (-86.628507 36.209488, -86.629474 36.21083, -86.6305291 36.2122691, -86.631506 36.211949, -86.632259 36.211037, -86.6323269 36.2109865, -86.6333903 36.2101456, -86.633377 36.208522, -86.633241 36.20744, -86.633178 36.206414, -86.633492 36.204799, -86.63374399999999 36.203669, -86.6344641 36.20270369999999, -86.63382 36.20197, -86.63313549999999 36.2011704, -86.63308069999999 36.2011064, -86.6330025 36.2010301, -86.632291 36.200335, -86.62871 36.199914, -86.626031 36.19691, -86.62360409999999 36.1953094, -86.62350309999999 36.1954153, -86.6232637 36.1952983, -86.62277940000001 36.1950283, -86.62291190000001 36.1948725, -86.62301770000001 36.1947482, -86.623149 36.1945939)","(36.209488, -86.628507)","(36.1945939, -86.623149)"
470370107022,145,0,477.899,"LINESTRING (-86.7134428 36.2491203, -86.7132354 36.2495619, -86.714951 36.2510532, -86.71542700000001 36.251015, -86.71589280000001 36.2512139, -86.7167549 36.2515819)","(36.2491203, -86.7134428)","(36.2515819, -86.7167549)"
470370107022,144,1,722.49,"LINESTRING (-86.7134428 36.2491203, -86.713959 36.24871169999999, -86.714496 36.2485457, -86.715208 36.2485637, -86.7155767 36.2486593, -86.71797530000001 36.2491356, -86.7184128 36.2492264, -86.71862470000001 36.249269, -86.71869839999999 36.2492838, -86.71903469999999 36.2493437, -86.7194052 36.2493841, -86.7200555 36.2496538, -86.7201735 36.24951419999999, -86.7201815 36.2495039, -86.7208522 36.2497924)","(36.2491203, -86.7134428)","(36.2497924, -86.7208522)"
470370108013,152,0,2226.626,"LINESTRING (-86.72825899999999 36.27103129999998, -86.72765680000001 36.2710157, -86.72768480000001 36.2705991, -86.72768929999999 36.2705327, -86.72771419999999 36.2701637, -86.72771880000001 36.2700953, -86.72775129999999 36.26965, -86.7277935 36.2691283, -86.72779490000001 36.2691078, -86.7278029 36.2686472, -86.7277674 36.2684785, -86.72775059999999 36.2684141, -86.7274448 36.2680016, -86.7271927 36.2677194, -86.7261359 36.267242, -86.7262329 36.266644, -86.7263256 36.2659049, -86.72639959999999 36.2653145, -86.72641160000001 36.2652189, -86.72644940000001 36.2649168, -86.7264802 36.2646715, -86.7265416 36.2641416, -86.72606260000002 36.2641308, -86.72520660000001 36.2641114, -86.7241641 36.2641141, -86.7231268 36.26408510000001, -86.7225092 36.2640553, -86.7220777 36.2640343, -86.72194330000001 36.2640273, -86.72166230000002 36.2640081, -86.7210565 36.2639624, -86.7194568 36.2638343, -86.7189772 36.2637908, -86.7183206 36.2637308, -86.71778840000002 36.2636842, -86.7175558 36.2636605, -86.71655989999999 36.2635599, -86.714589 36.2633379, -86.7145072 36.2633293, -86.7130791 36.2631916, -86.7130609 36.2632516, -86.71295379999999 36.2633001, -86.71258469999999 36.2632615, -86.7122279 36.2632242, -86.71211060000002 36.263212, -86.7118475 36.263234)","(36.27103129999998, -86.728259)","(36.263234, -86.7118475)"
470370108013,149,1,2399.339,"LINESTRING (-86.72825899999999 36.27103129999998, -86.72765680000001 36.2710157, -86.72768480000001 36.2705991, -86.72768929999999 36.2705327, -86.72771419999999 36.2701637, -86.72771880000001 36.2700953, -86.72775129999999 36.26965, -86.7277935 36.2691283, -86.72779490000001 36.2691078, -86.7278029 36.2686472, -86.7277674 36.2684785, -86.72775059999999 36.2684141, -86.7274448 36.2680016, -86.7271927 36.2677194, -86.7261359 36.267242, -86.7262329 36.266644, -86.7263256 36.2659049, -86.72639959999999 36.2653145, -86.72641160000001 36.2652189, -86.72644940000001 36.2649168, -86.7264802 36.2646715, -86.7265416 36.2641416, -86.72606260000002 36.2641308, -86.72520660000001 36.2641114, -86.7241641 36.2641141, -86.7231268 36.26408510000001, -86.7225092 36.2640553, -86.7220777 36.2640343, -86.72194330000001 36.2640273, -86.72166230000002 36.2640081, -86.7210565 36.2639624, -86.7194568 36.2638343, -86.7189772 36.2637908, -86.7183206 36.2637308, -86.71778840000002 36.2636842, -86.7175558 36.2636605, -86.71655989999999 36.2635599, -86.714589 36.2633379, -86.7145072 36.2633293, -86.7145252 36.2631925, -86.7131175 36.2630608, -86.7131455 36.2629654, -86.7131943 36.2628009, -86.713296 36.2625595, -86.71294210000001 36.26226779999999, -86.7130738 36.2619394, -86.7125099 36.2618122, -86.7123527 36.2617714, -86.7124609 36.2614569, -86.71253 36.2612844)","(36.27103129999998, -86.728259)","(36.2612844, -86.71253)"
