cbg_id,store_id,rank,distance,geometry,Origin,Destination
220710001001,30,0,793.106,"LINESTRING (-90.0478985 29.9532292, -90.0468085 29.9531962, -90.04671949999999 29.9543132, -90.04579649999999 29.9542782, -90.0448294 29.9542304, -90.0447985 29.9547892, -90.0440102 29.9546865, -90.0436065 29.9546262, -90.0433062 29.954577, -90.0425712 29.9544368, -90.0415575 29.9542142)","(29.9532292, -90.0478985)","(29.9542142, -90.0415575)"
220710001001,26,1,1008.352,"LINESTRING (-90.0478985 29.9532292, -90.04797250000001 29.9520602, -90.0480451 29.9508851, -90.04810689999999 29.949712, -90.04913000000001 29.949763, -90.0498717 29.949739, -90.05070000000001 29.949717, -90.05068869999999 29.9496438, -90.05111909999999 29.949239, -90.051226 29.949365, -90.0521663 29.9487973, -90.05214410000001 29.9486808, -90.0523953 29.9486701, -90.05238850000001 29.9485578, -90.052328 29.9475623)","(29.9532292, -90.0478985)","(29.9475623, -90.052328)"
220710001002,26,0,446.494,"LINESTRING (-90.0498717 29.949739, -90.05070000000001 29.949717, -90.05068869999999 29.9496438, -90.05111909999999 29.949239, -90.051226 29.949365, -90.0521663 29.9487973, -90.05214410000001 29.9486808, -90.0523953 29.9486701, -90.05238850000001 29.9485578, -90.052328 29.9475623)","(29.949739, -90.0498717)","(29.9475623, -90.052328)"
220710001002,23,1,1228.463,"LINESTRING (-90.0498717 29.949739, -90.04913000000001 29.949763, -90.04810689999999 29.949712, -90.04701470000001 29.9496583, -90.0470674 29.94871569999999, -90.0470744 29.9485945, -90.04615800000001 29.9485468, -90.045205 29.9484969, -90.04295689999999 29.9483763, -90.0429767 29.9479829, -90.0430147 29.9473979, -90.0430817 29.9463319, -90.0420685 29.9462692, -90.0421321 29.9452687)","(29.949739, -90.0498717)","(29.9452687, -90.0421321)"
220710001003,26,0,886.759,"LINESTRING (-90.05371100000001 29.954173, -90.054671 29.953543, -90.05503 29.953309, -90.054956 29.952486, -90.054877 29.952144, -90.0545596 29.9516998, -90.0542215 29.9512992, -90.0535515 29.9504602, -90.05284640000001 29.9496303, -90.0522563 29.9489164, -90.0523953 29.9486701, -90.05238850000001 29.9485578, -90.052328 29.9475623)","(29.954173, -90.053711)","(29.9475623, -90.052328)"
220710001003,30,1,1622.133,"LINESTRING (-90.05371100000001 29.954173, -90.054671 29.953543, -90.05503 29.953309, -90.0551294 29.9532594, -90.05355110000001 29.9549865, -90.05076800000001 29.9552261, -90.04677770000001 29.955307, -90.04672859999999 29.9550243, -90.0466807 29.9550211, -90.0457605 29.9549092, -90.0447985 29.9547892, -90.0440102 29.9546865, -90.0436065 29.9546262, -90.0433062 29.954577, -90.0425712 29.9544368, -90.0415575 29.9542142)","(29.954173, -90.053711)","(29.9542142, -90.0415575)"
220710002001,26,0,392.717,"LINESTRING (-90.048258 29.947642, -90.049286 29.9476939, -90.0504347 29.9476388, -90.051124 29.947607, -90.052328 29.9475623)","(29.947642, -90.048258)","(29.9475623, -90.052328)"
220710002001,23,1,841.501,"LINESTRING (-90.048258 29.947642, -90.0471525 29.9475822, -90.0462375 29.9475362, -90.0462945 29.9464812, -90.0463507 29.9454735, -90.0463531 29.9454305, -90.045402 29.945384, -90.04443820000002 29.9453367, -90.044051 29.9453178, -90.04382029999999 29.9453065, -90.0435619 29.9452938, -90.0431516 29.9452737, -90.04213489999999 29.9452239, -90.0421321 29.9452687)","(29.947642, -90.048258)","(29.9452687, -90.0421321)"
220710002002,26,0,447.77,"LINESTRING (-90.054408 29.945344, -90.0534067 29.9453832, -90.0522027 29.9454523, -90.05226999999999 29.9464945, -90.052328 29.9475623)","(29.945344, -90.054408)","(29.9475623, -90.052328)"
220710002002,23,1,1189.165,"LINESTRING (-90.054408 29.945344, -90.0534067 29.9453832, -90.0522027 29.9454523, -90.050984 29.945509, -90.050152 29.945548, -90.04941650000001 29.9455597, -90.0483838 29.9455193, -90.04745490000001 29.945483, -90.04730549999999 29.9454772, -90.0463531 29.9454305, -90.045402 29.945384, -90.04443820000002 29.9453367, -90.044051 29.9453178, -90.04382029999999 29.9453065, -90.0435619 29.9452938, -90.0431516 29.9452737, -90.04213489999999 29.9452239, -90.0421321 29.9452687)","(29.945344, -90.054408)","(29.9452687, -90.0421321)"
