cbg_id,store_id,rank,distance,geometry,Origin,Destination
340170138002,72,0,737.755,"LINESTRING (-74.1654418 40.7415172, -74.1652832 40.7407712, -74.1650341 40.7390881, -74.1651189 40.7390988, -74.16534 40.7391316, -74.16547850000001 40.7392242, -74.1656054 40.7392162, -74.165643 40.739214, -74.1657731 40.7390963, -74.1667607 40.73928020000001, -74.16693560000002 40.7393403, -74.1670554 40.7393814, -74.16742290000001 40.7395315, -74.167704 40.7396994, -74.1678124 40.73965430000001, -74.1678737 40.7397136, -74.1679314 40.739781, -74.1680381 40.7397286, -74.1683426 40.7401063, -74.1685859 40.7398942, -74.1691706 40.7401041, -74.1693547 40.7402478)","(40.7415172, -74.1654418)","(40.7402478, -74.1693547)"
340170138002,52,1,1282.821,"LINESTRING (-74.1654418 40.7415172, -74.1652832 40.7407712, -74.1650341 40.7390881, -74.1649831 40.7390323, -74.1649946 40.7389608, -74.16501909999999 40.738717, -74.16514410000001 40.7387217, -74.16535330000001 40.73872630000001, -74.1654052 40.73827269999999, -74.1656184 40.7366811, -74.1657981 40.7360889, -74.165853 40.7359338, -74.16565810000002 40.7358757, -74.16508589999999 40.7357003, -74.1645003 40.73552049999999, -74.16429309999999 40.7354569, -74.1642749 40.7354513, -74.16404350000001 40.7353802, -74.1638536 40.7352994, -74.162792 40.7346858, -74.1613732 40.7333438, -74.1611202 40.7331581, -74.1609905 40.7330886, -74.16102979999999 40.7330357, -74.16106069999999 40.7329971, -74.161331 40.7327011, -74.1615422 40.7324879)","(40.7415172, -74.1654418)","(40.7324879, -74.1615422)"
340399800001,15,0,7201.288,"LINESTRING (-74.1550135 40.681606, -74.1564048 40.6801224, -74.1564056 40.6796446, -74.15574410000001 40.6784778, -74.1558435 40.678412, -74.16278459999999 40.6827138, -74.1640482 40.6837468, -74.16255839999999 40.6858521, -74.1625013 40.6859364, -74.16050199999999 40.6888147, -74.1573277 40.6934622, -74.15682080000001 40.6941969, -74.15676860000001 40.69428609999999, -74.15647570000002 40.6946996, -74.15639779999999 40.6948097, -74.15550159999999 40.6960751, -74.1551477 40.696575, -74.1548063 40.6971242, -74.1546432 40.6976491, -74.1543865 40.6985855, -74.15266 40.701135, -74.15231369999999 40.7016516, -74.1519909 40.70210920000001, -74.1478807 40.7042421, -74.1471257 40.7054815, -74.1469699 40.7102264, -74.1469079 40.7103021, -74.1466259 40.7111284, -74.1463396 40.7119675, -74.145726 40.7127037, -74.1446895 40.7144481, -74.1450845 40.7145802, -74.1455582 40.7147439, -74.14627460000001 40.71499, -74.1469498 40.71522769999999, -74.1469786 40.7152378, -74.1497703 40.7162144, -74.1499441 40.71627519999998, -74.15042320000001 40.7164414, -74.15107980000001 40.7166692, -74.1523153 40.717082, -74.1531286 40.7163803, -74.15469950000001 40.7162988, -74.1560041 40.7167755, -74.1600763 40.7181353, -74.1608478 40.71839880000001, -74.16140729999999 40.71859320000002, -74.16162869999999 40.7186694, -74.16153509999999 40.7188289)","(40.681606, -74.1550135)","(40.7188289, -74.1615351)"
340399800001,29,1,7320.187,"LINESTRING (-74.1550135 40.681606, -74.1564048 40.6801224, -74.1564056 40.6796446, -74.15574410000001 40.6784778, -74.1558435 40.678412, -74.16278459999999 40.6827138, -74.1640482 40.6837468, -74.16255839999999 40.6858521, -74.1625013 40.6859364, -74.16050199999999 40.6888147, -74.1573277 40.6934622, -74.15682080000001 40.6941969, -74.15676860000001 40.69428609999999, -74.15647570000002 40.6946996, -74.15639779999999 40.6948097, -74.15550159999999 40.6960751, -74.1551477 40.696575, -74.1548063 40.6971242, -74.1546432 40.6976491, -74.1543865 40.6985855, -74.15266 40.701135, -74.15231369999999 40.7016516, -74.1519909 40.70210920000001, -74.1478807 40.7042421, -74.1471257 40.7054815, -74.1469699 40.7102264, -74.1469079 40.7103021, -74.1466259 40.7111284, -74.1463396 40.7119675, -74.145726 40.7127037, -74.1446895 40.7144481, -74.1450845 40.7145802, -74.1455582 40.7147439, -74.14627460000001 40.71499, -74.1469498 40.71522769999999, -74.1469786 40.7152378, -74.1497703 40.7162144, -74.1499441 40.71627519999998, -74.15042320000001 40.7164414, -74.15107980000001 40.7166692, -74.1523153 40.717082, -74.15182950000001 40.71773120000001, -74.1517162 40.7178815, -74.1511095 40.7186866, -74.1509734 40.7188687, -74.1506895 40.7192496, -74.1504111 40.7196149, -74.1500308 40.7201091, -74.14981419999999 40.7203558, -74.1497502 40.72041989999999, -74.1496688 40.7204945, -74.14925409999999 40.7207836, -74.14886919999999 40.7212385, -74.1489878 40.7212971, -74.1496133 40.7218001, -74.1497103 40.7218856, -74.150165 40.7223662, -74.1502766 40.7224748, -74.15067790000001 40.7228898, -74.1507203 40.722935, -74.1510016 40.7232092, -74.1510565 40.723265, -74.1512273 40.72343869999999, -74.1512664 40.7234784, -74.1515232 40.7237383, -74.15157069999999 40.723786, -74.1518143 40.7240351, -74.151847 40.7240687, -74.15195850000001 40.724183, -74.1520002 40.72422569999998, -74.1523002 40.7245361, -74.1523366 40.7245739)","(40.681606, -74.1550135)","(40.7245739, -74.1523366)"
340390316024,0,0,733.607,"LINESTRING (-74.2078018 40.6900414, -74.20762999999999 40.69018939999999, -74.2063814 40.6912653, -74.2063318 40.69130809999998, -74.20626559999999 40.69136279999999, -74.205029 40.6923159, -74.20495219999999 40.6923496, -74.20510899999999 40.690978, -74.2050131 40.6909698, -74.2050182 40.690915, -74.2051086 40.69029369999998, -74.2051177 40.6901884, -74.20511999999999 40.6901614, -74.2041229 40.6900695, -74.2038484 40.6899765, -74.2036454 40.6899078)","(40.6900414, -74.2078018)","(40.6899078, -74.2036454)"
340390316024,1,1,1345.192,"LINESTRING (-74.2078018 40.6900414, -74.20762999999999 40.69018939999999, -74.2063814 40.6912653, -74.2063318 40.69130809999998, -74.2063785 40.6913422, -74.2065982 40.6915026, -74.2066289 40.691525, -74.20487799999999 40.692999, -74.2047354 40.6929781, -74.20388800000001 40.692854, -74.20294800000001 40.692727, -74.2021084 40.6926553, -74.20134299999999 40.69259, -74.2008177 40.6934547, -74.2007309 40.6936064, -74.20023190000001 40.6944678, -74.1999249 40.6949601, -74.1995403 40.6955763, -74.1992132 40.6961053, -74.19902380000001 40.6964456, -74.19883539999999 40.6967839, -74.1987316 40.6969517, -74.1983899 40.6975039)","(40.6900414, -74.2078018)","(40.6975039, -74.1983899)"
340390316023,0,0,266.071,"LINESTRING (-74.2040185 40.6881005, -74.2039158 40.68827910000001, -74.2033823 40.6891707, -74.2030242 40.6898025, -74.20362 40.6899536, -74.2036454 40.6899078)","(40.6881005, -74.2040185)","(40.6899078, -74.2036454)"
340390316023,1,1,1148.376,"LINESTRING (-74.2040185 40.6881005, -74.2039158 40.68827910000001, -74.2033823 40.6891707, -74.2030242 40.6898025, -74.20284580000001 40.6900916, -74.202668 40.690383, -74.2025376 40.6905999, -74.20237969999999 40.6908636, -74.2023094 40.690982, -74.2021507 40.69125309999998, -74.20197570000001 40.691544, -74.201774 40.6918764, -74.2016534 40.6920789, -74.2014918 40.6923449, -74.20134299999999 40.69259, -74.2008177 40.6934547, -74.2007309 40.6936064, -74.20023190000001 40.6944678, -74.1999249 40.6949601, -74.1995403 40.6955763, -74.1992132 40.6961053, -74.19902380000001 40.6964456, -74.19883539999999 40.6967839, -74.1987316 40.6969517, -74.1983899 40.6975039)","(40.6881005, -74.2040185)","(40.6975039, -74.1983899)"
340130068003,18,0,403.036,"LINESTRING (-74.1745095 40.722289, -74.17386019999999 40.7220434, -74.173151 40.721803, -74.17261540000001 40.7216214, -74.1716503 40.7212942, -74.17104500000001 40.721089, -74.1706745 40.7217707)","(40.722289, -74.1745095)","(40.7217707, -74.1706745)"
340130068003,28,1,444.341,"LINESTRING (-74.1745095 40.722289, -74.1754238 40.7225984, -74.175155 40.723335, -74.175884 40.7235716, -74.176965 40.723961, -74.1774334 40.724127, -74.1781155 40.7243733)","(40.722289, -74.1745095)","(40.7243733, -74.1781155)"
