cbg_id,store_id,rank,distance,geometry,Origin,Destination
517402109003,0,0,4789.483,"LINESTRING (-76.2959166 36.8405047, -76.2958762 36.8402751, -76.2959958 36.8402598, -76.2961275 36.8397905, -76.2978155 36.83954369999999, -76.298022 36.8395137, -76.2981248 36.8394892, -76.29797569999999 36.8392106, -76.29795150000001 36.8391401, -76.2978739 36.83857419999999, -76.2978755 36.8385032, -76.2978768 36.8384485, -76.29785510000002 36.8383633, -76.2978512 36.8382662, -76.2978359 36.8380006, -76.2978208 36.837738, -76.29781850000001 36.8376979, -76.29783209999999 36.8376114, -76.2978129 36.8370169, -76.29792639999999 36.8370129, -76.29792430000001 36.8369568, -76.29795059999999 36.8368884, -76.29796109999999 36.8362346, -76.29795970000001 36.8362036, -76.29794590000002 36.8358935, -76.2979283 36.8354987, -76.29792550000001 36.8354368, -76.2979222 36.8353613, -76.2979189 36.8352984, -76.2978817 36.8345996, -76.2978751 36.8344544, -76.2978487 36.8338782, -76.2978444 36.8337858, -76.2978141 36.83313050000001, -76.2978116 36.8330786, -76.2978834 36.8321817, -76.2979294 36.8321356, -76.29916369999999 36.8320509, -76.2992658 36.8320478, -76.2992629 36.83193550000001, -76.29958929999999 36.8310014, -76.300225 36.830746, -76.30057100000001 36.830691, -76.300713 36.830687, -76.30103889999999 36.8306879, -76.30465700000001 36.8301548, -76.30457029999999 36.8305446, -76.3043777 36.8306409, -76.3036268 36.8307998, -76.3031508 36.8308747, -76.287702 36.835248, -76.2875191 36.835678, -76.28781410000001 36.8357666, -76.2890036 36.8344575, -76.2888593 36.8343224, -76.289159 36.8341224, -76.2891049 36.8339031, -76.2890179 36.8335203, -76.28896279999999 36.83326790000001, -76.2888871 36.8329212, -76.28885029999999 36.8327527, -76.28870999999999 36.832122, -76.28860299999999 36.832146, -76.287865 36.832259, -76.28711800000001 36.832551, -76.28635300000001 36.83286, -76.286016 36.832993, -76.28514699999999 36.833132, -76.283231 36.832634, -76.28337000000001 36.832332, -76.2831985 36.8322655, -76.2828361 36.8321544, -76.2828841 36.8320099, -76.2821285 36.8317986, -76.2819865 36.8317385, -76.281851 36.8316042)","(36.8405047, -76.2959166)","(36.8316042, -76.281851)"
517402109003,13,1,7272.093,"LINESTRING (-76.2959166 36.8405047, -76.2958762 36.8402751, -76.2959958 36.8402598, -76.2961275 36.8397905, -76.2978155 36.83954369999999, -76.298022 36.8395137, -76.2981248 36.8394892, -76.29797569999999 36.8392106, -76.29795150000001 36.8391401, -76.2978739 36.83857419999999, -76.2978755 36.8385032, -76.2978768 36.8384485, -76.29785510000002 36.8383633, -76.2978512 36.8382662, -76.2978359 36.8380006, -76.2978208 36.837738, -76.29781850000001 36.8376979, -76.29783209999999 36.8376114, -76.2978129 36.8370169, -76.29792639999999 36.8370129, -76.29792430000001 36.8369568, -76.29795059999999 36.8368884, -76.29796109999999 36.8362346, -76.29795970000001 36.8362036, -76.29794590000002 36.8358935, -76.2979283 36.8354987, -76.29792550000001 36.8354368, -76.2979222 36.8353613, -76.2979189 36.8352984, -76.2978817 36.8345996, -76.2978751 36.8344544, -76.2978487 36.8338782, -76.2978444 36.8337858, -76.2978141 36.83313050000001, -76.2978116 36.8330786, -76.2978834 36.8321817, -76.2979294 36.8321356, -76.29916369999999 36.8320509, -76.2992658 36.8320478, -76.2992629 36.83193550000001, -76.29958929999999 36.8310014, -76.300225 36.830746, -76.30057100000001 36.830691, -76.300713 36.830687, -76.30103889999999 36.8306879, -76.30465700000001 36.8301548, -76.30457029999999 36.8305446, -76.3043777 36.8306409, -76.3036268 36.8307998, -76.3031508 36.8308747, -76.287702 36.835248, -76.2875191 36.835678, -76.2869099 36.83872250000002, -76.28600059999999 36.8419644, -76.284284 36.844627, -76.28388579999999 36.8480308, -76.28418929999999 36.84819, -76.28429370000001 36.8482459, -76.28442 36.848305, -76.28432599999999 36.849044, -76.2844959 36.8498014, -76.28466040000001 36.8502449, -76.2846981 36.8503469, -76.28512470000001 36.8514483, -76.2851481 36.8515137, -76.2851766 36.8516146, -76.28535340000001 36.8523791, -76.2853729 36.8525184, -76.28534689999999 36.8537122, -76.2853288 36.8538358, -76.285307 36.8539578, -76.2852968 36.8540529, -76.2856962 36.8559676, -76.2860171 36.8565082, -76.28609 36.856626, -76.2866772 36.857652, -76.2868256 36.8579203, -76.28685400000001 36.857975, -76.28698009999999 36.85809669999998, -76.28700499999999 36.8582019, -76.28702920000001 36.8583043, -76.287162 36.8588709, -76.2871708 36.8589615, -76.2873125 36.8589654, -76.28733699999999 36.858966, -76.28780399999999 36.860046, -76.2879006 36.8600725, -76.2881022 36.8601277, -76.288124 36.8601337, -76.2882077 36.86015659999999, -76.28818029999999 36.8602295, -76.2880109 36.860643, -76.2879348 36.8608288, -76.2879114 36.8608425, -76.28789740000001 36.8608981, -76.2878809 36.8609639, -76.2879514 36.8609887, -76.2878815 36.8611535, -76.28767499999999 36.86164, -76.287358 36.862383, -76.287054 36.863095, -76.2870185 36.8631784, -76.286925 36.863398, -76.286438 36.864549, -76.286125 36.865292, -76.2860187 36.8655403, -76.2858387 36.8659607, -76.28581800000001 36.866009, -76.2857886 36.8660774, -76.28568540000001 36.8663178, -76.28567049999999 36.8663527, -76.2856405 36.8664226)","(36.8405047, -76.2959166)","(36.8664226, -76.2856405)"
517100002011,36,0,1828.299,"LINESTRING (-76.24089650000001 36.944638, -76.242181 36.945722, -76.241315 36.946504, -76.2409518 36.9468312, -76.2408478 36.9469248, -76.2407923 36.9469748, -76.24047899999999 36.947257, -76.240786 36.9474749, -76.24081750000001 36.9474984, -76.241303 36.947845, -76.24154900000001 36.948021, -76.241799 36.948199, -76.2418622 36.9482441, -76.242012 36.948351, -76.24225480000001 36.94852439999999, -76.2424623 36.9486651, -76.2427033 36.9488451, -76.24299600000001 36.949051, -76.243084 36.949106, -76.243623 36.949374, -76.244089 36.949521, -76.24545019999999 36.9497978, -76.246281 36.950113, -76.246585 36.950296, -76.247142 36.950776, -76.24800399999999 36.951401, -76.248895 36.9520923, -76.24892920000001 36.9521179, -76.2497128 36.9527863, -76.25045799999999 36.953504, -76.251268 36.954283, -76.2513269 36.9543361, -76.25249410000002 36.9553272, -76.2526269 36.9552851)","(36.944638, -76.2408965)","(36.9552851, -76.2526269)"
517100002011,29,1,3675.579,"LINESTRING (-76.24089650000001 36.944638, -76.241331 36.9442, -76.239436 36.943009, -76.23994500000001 36.942454, -76.240419 36.941942, -76.24093999999999 36.941367, -76.241122 36.941036, -76.241202 36.940669, -76.241147 36.939754, -76.241899 36.939712, -76.241724 36.938492, -76.241536 36.937264, -76.24144 36.936647, -76.241348 36.936035, -76.24122800000001 36.935218, -76.2412113 36.9341233, -76.241265 36.933604, -76.24215 36.933545, -76.242001 36.930374, -76.24175200000001 36.9305, -76.2415845 36.9296037, -76.241427 36.928606, -76.24127799999999 36.927651, -76.24113199999999 36.926697, -76.240982 36.925743, -76.240846 36.924856, -76.24072200000001 36.924058, -76.24057999999999 36.923102, -76.240442 36.922206, -76.24030999999999 36.921357, -76.240099 36.920577, -76.239835 36.919645, -76.23980400000001 36.919452, -76.23958 36.918117, -76.240757 36.917996, -76.24052 36.916887, -76.2408435 36.9168358, -76.24147240000002 36.9167297, -76.24145470000001 36.9166586, -76.2414186 36.91633370000001, -76.2416154 36.9163131)","(36.944638, -76.2408965)","(36.9163131, -76.2416154)"
517100044002,9,0,1494.838,"LINESTRING (-76.255309 36.854417, -76.25534399999999 36.855131, -76.255396 36.855845, -76.255444 36.856286, -76.25368 36.857408, -76.2523429 36.85825959999998, -76.25197799999999 36.858497, -76.2508694 36.8592079, -76.250494 36.859461, -76.24970999999999 36.860023, -76.24938109999999 36.8602644, -76.2492092 36.8603905, -76.24916630000001 36.860422, -76.248932 36.860594, -76.248626 36.860805, -76.24818500000001 36.861106, -76.2471717 36.8617035, -76.2470028 36.8617761, -76.246775 36.861874, -76.2460899 36.8621713, -76.245936 36.8622377, -76.2451422 36.8625493, -76.24413 36.863047, -76.244005 36.863106, -76.24408099999999 36.863196)","(36.854417, -76.255309)","(36.863196, -76.244081)"
517100044002,14,1,2857.456,"LINESTRING (-76.255309 36.854417, -76.25534399999999 36.855131, -76.255396 36.855845, -76.255444 36.856286, -76.25368 36.857408, -76.2523429 36.85825959999998, -76.25197799999999 36.858497, -76.2508694 36.8592079, -76.250494 36.859461, -76.24970999999999 36.860023, -76.24938109999999 36.8602644, -76.2492092 36.8603905, -76.24916630000001 36.860422, -76.248932 36.860594, -76.248626 36.860805, -76.24818500000001 36.861106, -76.2471717 36.8617035, -76.2470028 36.8617761, -76.246775 36.861874, -76.2460899 36.8621713, -76.245936 36.8622377, -76.2451422 36.8625493, -76.24413 36.863047, -76.244005 36.863106, -76.242994 36.863475, -76.242948 36.863491, -76.2421217 36.8637943, -76.241649 36.8640467, -76.24133999999999 36.864216, -76.2412738 36.8642502, -76.2405921 36.8645994, -76.2400288 36.8648773, -76.23929889999999 36.8652106, -76.23906700000001 36.865317, -76.2388799 36.8654015, -76.23770690000001 36.8659266, -76.237362 36.866076, -76.2363878 36.86641159999999, -76.23597599999999 36.866525, -76.23483899999999 36.866755, -76.2339364 36.8668428, -76.2329553 36.8668835, -76.2321728 36.8669167, -76.23159200000001 36.8669946, -76.2310785 36.8671152, -76.230834 36.867182, -76.230896 36.867319, -76.231768 36.867096)","(36.854417, -76.255309)","(36.867096, -76.231768)"
517402109001,0,0,4827.885,"LINESTRING (-76.295976 36.8357664, -76.2957876 36.8370633, -76.29567179999999 36.83780680000001, -76.29576160000001 36.8379441, -76.2957327 36.8380634, -76.29578840000001 36.8381702, -76.29592820000002 36.8382142, -76.2960343 36.8381892, -76.2960338 36.8382905, -76.29647370000001 36.8382754, -76.2968608 36.8382621, -76.2968906 36.8382611, -76.2969246 36.8381388, -76.2970035 36.8381366, -76.2969914 36.837899, -76.296982 36.837716, -76.29704340000001 36.8377147, -76.29702760000001 36.8372554, -76.2978129 36.8370169, -76.29792639999999 36.8370129, -76.29792430000001 36.8369568, -76.29795059999999 36.8368884, -76.29796109999999 36.8362346, -76.29795970000001 36.8362036, -76.29794590000002 36.8358935, -76.2979283 36.8354987, -76.29792550000001 36.8354368, -76.2979222 36.8353613, -76.2979189 36.8352984, -76.2978817 36.8345996, -76.2978751 36.8344544, -76.2978487 36.8338782, -76.2978444 36.8337858, -76.2978141 36.83313050000001, -76.2978116 36.8330786, -76.2978834 36.8321817, -76.2979294 36.8321356, -76.29916369999999 36.8320509, -76.2992658 36.8320478, -76.2992629 36.83193550000001, -76.29958929999999 36.8310014, -76.300225 36.830746, -76.30057100000001 36.830691, -76.300713 36.830687, -76.30103889999999 36.8306879, -76.30465700000001 36.8301548, -76.30457029999999 36.8305446, -76.3043777 36.8306409, -76.3036268 36.8307998, -76.3031508 36.8308747, -76.287702 36.835248, -76.2875191 36.835678, -76.28781410000001 36.8357666, -76.2890036 36.8344575, -76.2888593 36.8343224, -76.289159 36.8341224, -76.2891049 36.8339031, -76.2890179 36.8335203, -76.28896279999999 36.83326790000001, -76.2888871 36.8329212, -76.28885029999999 36.8327527, -76.28870999999999 36.832122, -76.28860299999999 36.832146, -76.287865 36.832259, -76.28711800000001 36.832551, -76.28635300000001 36.83286, -76.286016 36.832993, -76.28514699999999 36.833132, -76.283231 36.832634, -76.28337000000001 36.832332, -76.2831985 36.8322655, -76.2828361 36.8321544, -76.2828841 36.8320099, -76.2821285 36.8317986, -76.2819865 36.8317385, -76.281851 36.8316042)","(36.8357664, -76.295976)","(36.8316042, -76.281851)"
517402109001,13,1,7310.495,"LINESTRING (-76.295976 36.8357664, -76.2957876 36.8370633, -76.29567179999999 36.83780680000001, -76.29576160000001 36.8379441, -76.2957327 36.8380634, -76.29578840000001 36.8381702, -76.29592820000002 36.8382142, -76.2960343 36.8381892, -76.2960338 36.8382905, -76.29647370000001 36.8382754, -76.2968608 36.8382621, -76.2968906 36.8382611, -76.2969246 36.8381388, -76.2970035 36.8381366, -76.2969914 36.837899, -76.296982 36.837716, -76.29704340000001 36.8377147, -76.29702760000001 36.8372554, -76.2978129 36.8370169, -76.29792639999999 36.8370129, -76.29792430000001 36.8369568, -76.29795059999999 36.8368884, -76.29796109999999 36.8362346, -76.29795970000001 36.8362036, -76.29794590000002 36.8358935, -76.2979283 36.8354987, -76.29792550000001 36.8354368, -76.2979222 36.8353613, -76.2979189 36.8352984, -76.2978817 36.8345996, -76.2978751 36.8344544, -76.2978487 36.8338782, -76.2978444 36.8337858, -76.2978141 36.83313050000001, -76.2978116 36.8330786, -76.2978834 36.8321817, -76.2979294 36.8321356, -76.29916369999999 36.8320509, -76.2992658 36.8320478, -76.2992629 36.83193550000001, -76.29958929999999 36.8310014, -76.300225 36.830746, -76.30057100000001 36.830691, -76.300713 36.830687, -76.30103889999999 36.8306879, -76.30465700000001 36.8301548, -76.30457029999999 36.8305446, -76.3043777 36.8306409, -76.3036268 36.8307998, -76.3031508 36.8308747, -76.287702 36.835248, -76.2875191 36.835678, -76.2869099 36.83872250000002, -76.28600059999999 36.8419644, -76.284284 36.844627, -76.28388579999999 36.8480308, -76.28418929999999 36.84819, -76.28429370000001 36.8482459, -76.28442 36.848305, -76.28432599999999 36.849044, -76.2844959 36.8498014, -76.28466040000001 36.8502449, -76.2846981 36.8503469, -76.28512470000001 36.8514483, -76.2851481 36.8515137, -76.2851766 36.8516146, -76.28535340000001 36.8523791, -76.2853729 36.8525184, -76.28534689999999 36.8537122, -76.2853288 36.8538358, -76.285307 36.8539578, -76.2852968 36.8540529, -76.2856962 36.8559676, -76.2860171 36.8565082, -76.28609 36.856626, -76.2866772 36.857652, -76.2868256 36.8579203, -76.28685400000001 36.857975, -76.28698009999999 36.85809669999998, -76.28700499999999 36.8582019, -76.28702920000001 36.8583043, -76.287162 36.8588709, -76.2871708 36.8589615, -76.2873125 36.8589654, -76.28733699999999 36.858966, -76.28780399999999 36.860046, -76.2879006 36.8600725, -76.2881022 36.8601277, -76.288124 36.8601337, -76.2882077 36.86015659999999, -76.28818029999999 36.8602295, -76.2880109 36.860643, -76.2879348 36.8608288, -76.2879114 36.8608425, -76.28789740000001 36.8608981, -76.2878809 36.8609639, -76.2879514 36.8609887, -76.2878815 36.8611535, -76.28767499999999 36.86164, -76.287358 36.862383, -76.287054 36.863095, -76.2870185 36.8631784, -76.286925 36.863398, -76.286438 36.864549, -76.286125 36.865292, -76.2860187 36.8655403, -76.2858387 36.8659607, -76.28581800000001 36.866009, -76.2857886 36.8660774, -76.28568540000001 36.8663178, -76.28567049999999 36.8663527, -76.2856405 36.8664226)","(36.8357664, -76.295976)","(36.8664226, -76.2856405)"
517100033001,9,0,1293.439,"LINESTRING (-76.253348 36.863708, -76.25248000000001 36.863845, -76.251614 36.863983, -76.25094009999999 36.8640899, -76.250725 36.864124, -76.2505044 36.8632357, -76.25035699999999 36.862642, -76.25022 36.862084, -76.25009900000001 36.861597, -76.24928800000001 36.862076, -76.2484113 36.8620295, -76.24818500000001 36.861106, -76.2471717 36.8617035, -76.2470028 36.8617761, -76.246775 36.861874, -76.2460899 36.8621713, -76.245936 36.8622377, -76.2451422 36.8625493, -76.24413 36.863047, -76.244005 36.863106, -76.24408099999999 36.863196)","(36.863708, -76.253348)","(36.863196, -76.244081)"
517100033001,14,1,2656.057,"LINESTRING (-76.253348 36.863708, -76.25248000000001 36.863845, -76.251614 36.863983, -76.25094009999999 36.8640899, -76.250725 36.864124, -76.2505044 36.8632357, -76.25035699999999 36.862642, -76.25022 36.862084, -76.25009900000001 36.861597, -76.24928800000001 36.862076, -76.2484113 36.8620295, -76.24818500000001 36.861106, -76.2471717 36.8617035, -76.2470028 36.8617761, -76.246775 36.861874, -76.2460899 36.8621713, -76.245936 36.8622377, -76.2451422 36.8625493, -76.24413 36.863047, -76.244005 36.863106, -76.242994 36.863475, -76.242948 36.863491, -76.2421217 36.8637943, -76.241649 36.8640467, -76.24133999999999 36.864216, -76.2412738 36.8642502, -76.2405921 36.8645994, -76.2400288 36.8648773, -76.23929889999999 36.8652106, -76.23906700000001 36.865317, -76.2388799 36.8654015, -76.23770690000001 36.8659266, -76.237362 36.866076, -76.2363878 36.86641159999999, -76.23597599999999 36.866525, -76.23483899999999 36.866755, -76.2339364 36.8668428, -76.2329553 36.8668835, -76.2321728 36.8669167, -76.23159200000001 36.8669946, -76.2310785 36.8671152, -76.230834 36.867182, -76.230896 36.867319, -76.231768 36.867096)","(36.863708, -76.253348)","(36.867096, -76.231768)"
