cbg_id,store_id,rank,distance,geometry,Origin,Destination
320030036201,21,0,1044.02,"LINESTRING (-115.1833932 36.2814811, -115.1836219 36.2810046, -115.1831263 36.28081640000001, -115.1824129 36.28039480000001, -115.1829547 36.2797548, -115.1819043 36.2794074, -115.1802662 36.2790045, -115.1796751 36.2788356, -115.1799127 36.2779744, -115.1799301 36.2773168, -115.1799141 36.276584, -115.1799127 36.2764327, -115.179916 36.2755491, -115.1799189 36.2747826)","(36.2814811, -115.18339319999998)","(36.2747826, -115.1799189)"
320030036201,27,1,1597.763,"LINESTRING (-115.1833932 36.2814811, -115.1836219 36.2810046, -115.1831263 36.28081640000001, -115.1824129 36.28039480000001, -115.1829547 36.2797548, -115.1819043 36.2794074, -115.1802662 36.2790045, -115.1796751 36.2788356, -115.1795297 36.27879020000001, -115.1788343 36.2798366, -115.1777743 36.2809938, -115.1773472 36.2818013, -115.1771151 36.2830435, -115.1771375 36.2839221, -115.1771394 36.2840549, -115.1771744 36.2860643, -115.177186 36.2861849, -115.177419 36.2861696, -115.1774199 36.2860614, -115.1773891 36.28534629999999)","(36.2814811, -115.18339319999998)","(36.285346299999986, -115.17738909999998)"
320030036311,21,0,633.88,"LINESTRING (-115.184261 36.2726456, -115.1821991 36.2727047, -115.1804135 36.2727701, -115.1798486 36.2727896, -115.1797577 36.2737691, -115.1797522 36.2747783, -115.1799189 36.2747826)","(36.2726456, -115.184261)","(36.2747826, -115.1799189)"
320030036311,17,1,1450.266,"LINESTRING (-115.184261 36.2726456, -115.1842823 36.2715153, -115.1842944 36.2708055, -115.184341 36.268941, -115.1843951 36.2659706, -115.184396 36.265247, -115.1844282 36.2641505, -115.1844324 36.26390409999998, -115.1844376 36.2636013, -115.1844514 36.2627925, -115.1842113 36.262794, -115.1837372 36.2627059, -115.1837343 36.26242160000001, -115.1837325 36.2622452, -115.1836722 36.2621966, -115.1834831 36.2621628, -115.1831451 36.2621649, -115.1829681 36.262166, -115.1829465 36.2621661, -115.1824611 36.26216920000001, -115.1822506 36.26217170000001, -115.18225 36.2621198, -115.1817897 36.262112, -115.1817961 36.2616837)","(36.2726456, -115.184261)","(36.2616837, -115.18179610000001)"
320030036312,17,0,627.479,"LINESTRING (-115.184396 36.265247, -115.1844282 36.2641505, -115.1844324 36.26390409999998, -115.1844376 36.2636013, -115.1844514 36.2627925, -115.1842113 36.262794, -115.1837372 36.2627059, -115.1837343 36.26242160000001, -115.1837325 36.2622452, -115.1836722 36.2621966, -115.1834831 36.2621628, -115.1831451 36.2621649, -115.1829681 36.262166, -115.1829465 36.2621661, -115.1824611 36.26216920000001, -115.1822506 36.26217170000001, -115.18225 36.2621198, -115.1817897 36.262112, -115.1817961 36.2616837)","(36.265247, -115.184396)","(36.2616837, -115.18179610000001)"
320030036312,14,1,847.569,"LINESTRING (-115.184396 36.265247, -115.1844282 36.2641505, -115.1844324 36.26390409999998, -115.1844376 36.2636013, -115.1844514 36.2627925, -115.1842113 36.262794, -115.1837372 36.2627059, -115.1837343 36.26242160000001, -115.1837325 36.2622452, -115.1836722 36.2621966, -115.1834831 36.2621628, -115.1831451 36.2621649, -115.1829681 36.262166, -115.1829465 36.2621661, -115.1824611 36.26216920000001, -115.1822506 36.26217170000001, -115.18225 36.2621198, -115.1822477 36.2616733, -115.1822777 36.2615114, -115.1822358 36.2613023, -115.1812042 36.2613102, -115.1812279 36.2610817, -115.1812291 36.26090760000001, -115.1812304 36.2607249, -115.1812315 36.2605691, -115.181233 36.2603615, -115.1812342 36.2601864)","(36.265247, -115.184396)","(36.2601864, -115.1812342)"
320030036202,27,0,730.206,"LINESTRING (-115.1735765 36.2846918, -115.1735428 36.2841705, -115.1751661 36.2841199, -115.1762159 36.2840871, -115.1771394 36.2840549, -115.1771744 36.2860643, -115.177186 36.2861849, -115.177419 36.2861696, -115.1774199 36.2860614, -115.1773891 36.28534629999999)","(36.2846918, -115.1735765)","(36.285346299999986, -115.17738909999998)"
320030036202,21,1,1489.872,"LINESTRING (-115.1735765 36.2846918, -115.1735428 36.2841705, -115.1751661 36.2841199, -115.1762159 36.2840871, -115.1771394 36.2840549, -115.1773525 36.2840488, -115.1773541 36.2839165, -115.1774899 36.2818383, -115.1779108 36.281059, -115.1789677 36.2799154, -115.1796751 36.2788356, -115.1799127 36.2779744, -115.1799301 36.2773168, -115.1799141 36.276584, -115.1799127 36.2764327, -115.179916 36.2755491, -115.1799189 36.2747826)","(36.2846918, -115.1735765)","(36.2747826, -115.1799189)"
320030036191,27,0,1997.63,"LINESTRING (-115.1905916 36.2897286, -115.191691 36.2904475, -115.1916799 36.2906853, -115.1916699 36.290944, -115.189637 36.29087530000001, -115.1875698 36.2908334, -115.1866736 36.2909642, -115.1861874 36.2910952, -115.1850779 36.2915996, -115.1845697 36.2919443, -115.1844923 36.291879, -115.1843751 36.2917854, -115.1840945 36.2920093, -115.183539 36.2919993, -115.1834236 36.2921024, -115.1827795 36.291571, -115.1827331 36.2915308, -115.1826078 36.2915829, -115.1815324 36.2906888, -115.1811005 36.2903298, -115.1796925 36.2891424, -115.1794645 36.2889659, -115.1780897 36.2877775, -115.177419 36.2861696, -115.1774199 36.2860614, -115.1773891 36.28534629999999)","(36.2897286, -115.19059160000002)","(36.285346299999986, -115.17738909999998)"
320030036191,21,1,3232.023,"LINESTRING (-115.1905916 36.2897286, -115.191691 36.2904475, -115.1916799 36.2906853, -115.1916699 36.290944, -115.189637 36.29087530000001, -115.1875698 36.2908334, -115.1866736 36.2909642, -115.1861874 36.2910952, -115.1850779 36.2915996, -115.1845697 36.2919443, -115.1844923 36.291879, -115.1843751 36.2917854, -115.1840945 36.2920093, -115.183539 36.2919993, -115.1834236 36.2921024, -115.1827795 36.291571, -115.1827331 36.2915308, -115.1826078 36.2915829, -115.1815324 36.2906888, -115.1811005 36.2903298, -115.1796925 36.2891424, -115.1794645 36.2889659, -115.1780897 36.2877775, -115.177419 36.2861696, -115.1774199 36.2860614, -115.1773891 36.28534629999999, -115.1773525 36.2840488, -115.1773541 36.2839165, -115.1774899 36.2818383, -115.1779108 36.281059, -115.1789677 36.2799154, -115.1796751 36.2788356, -115.1799127 36.2779744, -115.1799301 36.2773168, -115.1799141 36.276584, -115.1799127 36.2764327, -115.179916 36.2755491, -115.1799189 36.2747826)","(36.2897286, -115.19059160000002)","(36.2747826, -115.1799189)"
