cbg_id,store_id,rank,distance,geometry,Origin,Destination
60014043002,104,0,1409.042,"LINESTRING (-122.2411275 37.8445184, -122.2427394 37.8444023, -122.2429216 37.8443832, -122.2445183 37.8437937, -122.2453566 37.8441252, -122.2461609 37.8444356, -122.24603 37.8446462, -122.2479722 37.84393330000001, -122.248404 37.8446182, -122.2510782 37.8435129, -122.2515807 37.8433178, -122.2515907 37.8433799, -122.2516821 37.8433779, -122.2517362 37.8439492, -122.2517435 37.8440202, -122.2517505 37.8440866, -122.251842 37.84504170000001, -122.2518515 37.84510010000002, -122.251859 37.8451562, -122.2519112 37.8456551, -122.252125 37.84560350000001, -122.2521298 37.8457632)","(37.8445184, -122.2411275)","(37.8457632, -122.2521298)"
60014043002,99,1,1696.145,"LINESTRING (-122.2411275 37.8445184, -122.2409973 37.8439351, -122.2417188 37.8437392, -122.2426213 37.8435189, -122.2432086 37.84328490000001, -122.2435715 37.8431423, -122.2444908 37.8428305, -122.2454518 37.8424439, -122.2465387 37.8420468, -122.2473427 37.841698, -122.2478313 37.8415294, -122.2478987 37.8414199, -122.2479326 37.841367, -122.2480358 37.84120320000001, -122.2489772 37.839696, -122.249294 37.8391943, -122.2503674 37.83746740000002, -122.2504618 37.8373156, -122.2505426 37.8372209, -122.250568 37.8371512, -122.2506547 37.8369077, -122.2506918 37.8368455, -122.2507227 37.8367947, -122.2508755 37.836624, -122.2509774 37.8364599, -122.251292 37.8359537, -122.2514762 37.8356572, -122.2515415 37.8355346, -122.25011 37.8346596, -122.2498556 37.8345179, -122.2496389 37.8347511)","(37.8445184, -122.2411275)","(37.8347511, -122.2496389)"
60014043003,99,0,1457.153,"LINESTRING (-122.242183 37.8418048, -122.241824 37.8406732, -122.2424887 37.8396404, -122.243758 37.839376, -122.2438561 37.8393523, -122.2439473 37.8393299, -122.2444504 37.839137, -122.2468681 37.8381767, -122.2482196 37.8376284, -122.2496092 37.8371798, -122.2501425 37.8371651, -122.250568 37.8371512, -122.2506547 37.8369077, -122.2506918 37.8368455, -122.2507227 37.8367947, -122.2508755 37.836624, -122.2509774 37.8364599, -122.251292 37.8359537, -122.2514762 37.8356572, -122.2515415 37.8355346, -122.25011 37.8346596, -122.2498556 37.8345179, -122.2496389 37.8347511)","(37.8418048, -122.242183)","(37.8347511, -122.2496389)"
60014043003,104,1,1599.034,"LINESTRING (-122.242183 37.8418048, -122.2420555 37.8430048, -122.2418289 37.8434221, -122.2417188 37.8437392, -122.2426213 37.8435189, -122.2432086 37.84328490000001, -122.2445183 37.8437937, -122.2453566 37.8441252, -122.2461609 37.8444356, -122.24603 37.8446462, -122.2479722 37.84393330000001, -122.248404 37.8446182, -122.2510782 37.8435129, -122.2515807 37.8433178, -122.2515907 37.8433799, -122.2516821 37.8433779, -122.2517362 37.8439492, -122.2517435 37.8440202, -122.2517505 37.8440866, -122.251842 37.84504170000001, -122.2518515 37.84510010000002, -122.251859 37.8451562, -122.2519112 37.8456551, -122.252125 37.84560350000001, -122.2521298 37.8457632)","(37.8418048, -122.242183)","(37.8457632, -122.2521298)"
60014045011,91,0,727.616,"LINESTRING (-122.2154843 37.82676170000001, -122.2148737 37.8268722, -122.21473 37.8265518, -122.2142776 37.8259071, -122.2132993 37.8258503, -122.212099 37.8252603, -122.2116487 37.8254812, -122.2111465 37.82587130000002, -122.2105547 37.8262253, -122.2102182 37.8258119, -122.2101131 37.8256827, -122.2097728 37.8252646, -122.2095579 37.8250009)","(37.82676170000001, -122.21548429999999)","(37.8250009, -122.2095579)"
60014045011,95,1,811.205,"LINESTRING (-122.2154843 37.82676170000001, -122.2148737 37.8268722, -122.21473 37.8265518, -122.2142776 37.8259071, -122.2132993 37.8258503, -122.2120488 37.8282309, -122.2118859 37.8287344, -122.2115341 37.82864210000001, -122.2108986 37.8283392, -122.210625 37.8283614, -122.2104969 37.8280135)","(37.82676170000001, -122.21548429999999)","(37.8280135, -122.2104969)"
60014048001,72,0,518.047,"LINESTRING (-122.2122422 37.8032252, -122.2128008 37.80336190000001, -122.2130581 37.8034304, -122.2132319 37.8034762, -122.213479 37.8035418, -122.2136462 37.803586, -122.2137435 37.80360640000002, -122.2140018 37.8036289, -122.2148108 37.80372040000001, -122.2148349 37.8036604, -122.2151538 37.80286790000001, -122.2151745 37.8028158, -122.2154924 37.8020174, -122.2155576 37.8018536, -122.2156521 37.8016164, -122.2156617 37.80159230000001, -122.215787 37.8012776)","(37.8032252, -122.2122422)","(37.8012776, -122.215787)"
60014048001,69,1,625.644,"LINESTRING (-122.2122422 37.8032252, -122.2128008 37.80336190000001, -122.2130581 37.8034304, -122.2132319 37.8034762, -122.213479 37.8035418, -122.2136462 37.803586, -122.2137435 37.80360640000002, -122.2140018 37.8036289, -122.2148108 37.80372040000001, -122.2148349 37.8036604, -122.2151538 37.80286790000001, -122.2151745 37.8028158, -122.2154924 37.8020174, -122.2155576 37.8018536, -122.2156521 37.8016164, -122.2156617 37.80159230000001, -122.215787 37.8012776, -122.2159018 37.80098940000001, -122.215995 37.8007655, -122.2160872 37.8005437, -122.2161668 37.80035770000001)","(37.8032252, -122.2122422)","(37.80035770000001, -122.2161668)"
60014078001,53,0,1396.536,"LINESTRING (-122.1966927 37.78381730000001, -122.1971991 37.7834578, -122.19817 37.7828312, -122.1990275 37.7835972, -122.1994903 37.784016, -122.2001384 37.7846077, -122.2000507 37.7846532, -122.1993619 37.7850113, -122.199008 37.785194, -122.1987342 37.7853363, -122.1985468 37.7854337, -122.1984466 37.7854808, -122.1980346 37.7856878, -122.1977 37.7858581, -122.197578 37.78591940000001, -122.1974157 37.7860062, -122.1973531 37.7860385, -122.1972739 37.78608090000002, -122.1972255 37.7861049, -122.1972794 37.7861947, -122.1967704 37.7864526, -122.1966956 37.786497, -122.1965265 37.7865837, -122.19639 37.7866539, -122.1956034 37.7870596, -122.1953218 37.7872047, -122.1949973 37.787372, -122.1949076 37.78744, -122.1950812 37.7876404, -122.1953345 37.7879167, -122.1953521 37.7879363, -122.1954952 37.7880951, -122.1956238 37.7882379, -122.1957584 37.788388, -122.1958807 37.7885231, -122.1961104 37.7887761, -122.1962514 37.7889312, -122.1964257 37.7891232, -122.196878 37.7896212, -122.1969866 37.78974010000001, -122.1971374 37.7899062, -122.1972098 37.7899858, -122.1972367 37.7900153, -122.1972832 37.7900665, -122.1975296 37.7903373)","(37.78381730000001, -122.19669269999997)","(37.7903373, -122.1975296)"
60014078001,49,1,1512.935,"LINESTRING (-122.1966927 37.78381730000001, -122.1971991 37.7834578, -122.19817 37.7828312, -122.1990275 37.7835972, -122.1994903 37.784016, -122.2001384 37.7846077, -122.200719 37.7843114, -122.2009643 37.7841849, -122.2011566 37.7840867, -122.2016067 37.7838553, -122.2018094 37.7837515, -122.2018529 37.7837284, -122.2019929 37.7836549, -122.2025667 37.7833563, -122.2034212 37.7841588, -122.2034837 37.784213, -122.2036859 37.7843897, -122.2037147 37.7844168, -122.2038039 37.7845002, -122.2044795 37.7851102, -122.2051932 37.7857374, -122.2057424 37.7862559, -122.2062675 37.786759, -122.2063424 37.7868286, -122.2067794 37.7872433, -122.2069154 37.7873759, -122.2072783 37.7877165, -122.2074885 37.7879204, -122.2078487 37.78826140000001, -122.2080624 37.7884661, -122.2083093 37.78869630000001, -122.2086481 37.7890128)","(37.78381730000001, -122.19669269999997)","(37.7890128, -122.2086481)"
