cbg_id,store_id,rank,distance,geometry,Origin,Destination
310550036004,39,0,1567.133,"LINESTRING (-96.009593 41.246933, -96.011898 41.246936, -96.011897 41.246042, -96.0118945 41.2456054, -96.011892 41.245158, -96.01268520000001 41.245161, -96.01327790000001 41.245, -96.01330350000001 41.245, -96.01448449999999 41.2449715, -96.01453710000001 41.2449667, -96.0146099 41.2449731, -96.01470759999999 41.2449856, -96.01469710000001 41.2449055, -96.0147341 41.2449058, -96.0150039 41.2449079, -96.0152077 41.2449091, -96.01542560000001 41.24491050000001, -96.01563969999999 41.2449117, -96.0157492 41.2449124, -96.0157775 41.2449126, -96.01596379999999 41.2449137, -96.0161849 41.244915, -96.0164472 41.2449166, -96.0166413 41.2449178, -96.01706489999999 41.2448876, -96.01726290000001 41.2448881, -96.017493 41.2448887, -96.0177128 41.2448893, -96.01797139999999 41.24489, -96.01817610000001 41.2448905, -96.0184053 41.244891, -96.01845400000001 41.2448916, -96.018556 41.2448928, -96.0188416 41.2438662, -96.0189438 41.243869, -96.0209352 41.2440657, -96.0210435 41.2440772, -96.0229549 41.2446269, -96.0229642 41.2445745, -96.0238605 41.244623, -96.0241096 41.2446352, -96.02410759999999 41.24451959999998)","(41.246933, -96.009593)","(41.244519599999975, -96.0241076)"
310550036004,44,1,1658.487,"LINESTRING (-96.009593 41.246933, -96.011898 41.246936, -96.011899 41.24783, -96.0119074 41.24829, -96.01190200000001 41.2487409, -96.013188 41.2488106, -96.0132686 41.2488128, -96.0143411 41.2488161, -96.01533360000002 41.2487802, -96.01546070000001 41.2487777, -96.0155831 41.2487783, -96.01570649999999 41.2487739, -96.016581 41.2487282, -96.01796040000001 41.248739, -96.0199198 41.2487422, -96.0201895 41.2487426, -96.02030999999999 41.2487428, -96.02042280000001 41.2487904, -96.0204304 41.2488362, -96.0211833 41.24884389999998, -96.0213012 41.248848, -96.02146620000001 41.2490337, -96.02192650000001 41.2494919, -96.0219498 41.2495198, -96.0219843 41.2495533, -96.0222256 41.2497876, -96.0224565 41.2500116, -96.0227823 41.2505222, -96.02272530000002 41.250522, -96.02272480000001 41.250662, -96.02272419999998 41.2508493, -96.02272360000001 41.2510306, -96.022723 41.2512023, -96.02272240000001 41.2513854, -96.0227218 41.2515721, -96.0227213 41.2517218, -96.0227208 41.2518783, -96.0233399 41.2518818, -96.0235541 41.2519094, -96.023552 41.25205849999998)","(41.246933, -96.009593)","(41.25205849999998, -96.023552)"
310550036005,38,0,1395.63,"LINESTRING (-96.00714499999999 41.241495, -96.0065534 41.2414936, -96.00597070000001 41.241492, -96.00474699999999 41.241488, -96.004745 41.241035, -96.00408710000001 41.2410299, -96.00408710000001 41.2405983, -96.00408710000001 41.2401605, -96.002309 41.240162, -95.99993499999999 41.240162, -95.999241 41.240148, -95.99885140000001 41.24014549999998, -95.99861540000001 41.240144, -95.997979 41.24014, -95.9979773 41.2405099, -95.9979766 41.240656, -95.99797599999999 41.240788, -95.9977646 41.24078819999998, -95.9976927 41.2407883, -95.99715089999999 41.2407887, -95.997032 41.2407888, -95.9968968 41.240789, -95.99684999999999 41.240789, -95.99672850000002 41.2407891, -95.99605750000001 41.2407898, -95.995341 41.240775, -95.99518209999999 41.24083819999998, -95.99487739999999 41.2409192, -95.99456859999999 41.2409957, -95.99429499999999 41.2410613, -95.994095 41.241102, -95.993939 41.241126, -95.9937499 41.2411516, -95.99348449999999 41.2411857, -95.9931601 41.2412179)","(41.241495, -96.007145)","(41.2412179, -95.9931601)"
310550036005,39,1,1655.607,"LINESTRING (-96.00714499999999 41.241495, -96.007751 41.2414965, -96.008347 41.241498, -96.0089419 41.241498, -96.0093116 41.24150120000002, -96.00952340000001 41.2415232, -96.009567 41.2415631, -96.00966469999999 41.2415653, -96.009709 41.2415317, -96.0097858 41.2415193, -96.0107974 41.2416026, -96.010835 41.2418065, -96.01089729999998 41.2418066, -96.0109116 41.2427884, -96.0111655 41.2434239, -96.0117553 41.2437235, -96.0122279 41.2437551, -96.01241210000002 41.2437539, -96.0131841 41.2437536, -96.0132655 41.2437537, -96.01347819999999 41.243754, -96.01447450000001 41.2437554, -96.0146359 41.2437556, -96.0147965 41.243756, -96.0170406 41.2437623, -96.017067 41.2437624, -96.0171186 41.2437625, -96.01792399999999 41.2437648, -96.0188424 41.2437638, -96.01918449999999 41.2437696, -96.0209586 41.2439653, -96.0229642 41.2445745, -96.0238605 41.244623, -96.0241096 41.2446352, -96.02410759999999 41.24451959999998)","(41.241495, -96.007145)","(41.244519599999975, -96.0241076)"
310550037002,43,0,1216.69,"LINESTRING (-95.980605 41.245145, -95.98197500000001 41.245146, -95.982451 41.246054, -95.982838 41.2464807, -95.98329 41.246882, -95.983277 41.246962, -95.98541 41.246967, -95.98541 41.247876, -95.9854095 41.2483519, -95.985409 41.248777, -95.98792400000001 41.248791, -95.98739869999999 41.2494635, -95.98729419999999 41.2495995, -95.9868202 41.2502079, -95.9862394 41.2509434)","(41.245145, -95.980605)","(41.2509434, -95.9862394)"
310550037002,38,1,1328.506,"LINESTRING (-95.980605 41.245145, -95.98197500000001 41.245146, -95.982568 41.244363, -95.983335 41.243675, -95.98402400000001 41.242967, -95.984227 41.242265, -95.9842235 41.2416117, -95.9854199 41.2416122, -95.98542 41.241524, -95.9860351 41.2415262, -95.98662469999999 41.2415283, -95.98722600000001 41.2415286, -95.98782 41.241529, -95.9883435 41.2415303, -95.988421 41.2415305, -95.98894009999999 41.2415318, -95.98902200000001 41.241532, -95.989131 41.2415316, -95.9896172 41.24153, -95.9899001 41.2415271, -95.990223 41.24151, -95.9904473 41.2414933, -95.99081959999999 41.2414565, -95.99089309999999 41.2414489, -95.991546 41.241382, -95.99169790000001 41.241367, -95.99240500000001 41.241297, -95.992746 41.241259, -95.9931601 41.2412179)","(41.245145, -95.980605)","(41.2412179, -95.9931601)"
310550038001,42,0,1566.409,"LINESTRING (-95.9688218 41.2455085, -95.9688163 41.24527239999998, -95.96866350000001 41.2452704, -95.9675659 41.2452697, -95.9662818 41.2452757, -95.9662632 41.2453028, -95.9661657 41.245321, -95.966165 41.2456312, -95.9655643 41.2472815, -95.964966 41.247248, -95.9649658 41.2473037, -95.9626822 41.247173, -95.9625609 41.2477805, -95.9625533 41.2478635, -95.9622196 41.2487081, -95.962215 41.248784, -95.961403 41.248784, -95.9606421 41.2487849, -95.95986030000002 41.2487888, -95.9592675 41.2487914, -95.958658 41.248794, -95.958522 41.248792, -95.95792899999999 41.2487929, -95.95775999999999 41.2487932, -95.957235 41.248794, -95.95665200000001 41.248795, -95.95595079999998 41.2487967, -95.9559539 41.24938429999999, -95.95583689999999 41.2493859)","(41.2455085, -95.9688218)","(41.2493859, -95.9558369)"
310550038001,46,1,1972.11,"LINESTRING (-95.9688218 41.2455085, -95.9688163 41.24527239999998, -95.96866350000001 41.2452704, -95.9675659 41.2452697, -95.9662818 41.2452757, -95.9662632 41.2453028, -95.9661657 41.245321, -95.966165 41.2456312, -95.966161 41.247315, -95.966159 41.24877, -95.96555840000001 41.2487715, -95.964961 41.248773, -95.96496089999998 41.2488231, -95.964958 41.250571, -95.9643648 41.250573, -95.96386529999999 41.2505747, -95.963764 41.250575, -95.96369280000002 41.2505752, -95.9631766 41.250577, -95.9626816 41.25057869999998, -95.962591 41.250579, -95.961401 41.250588, -95.9606339 41.2505951, -95.9594298 41.2505988, -95.958654 41.250601, -95.9579047 41.2506021, -95.957273 41.250603, -95.95665200000001 41.250606, -95.956637 41.250745, -95.956626 41.25152, -95.9566268 41.251842, -95.956596 41.252411, -95.9558552 41.2524108, -95.9551756 41.2524135, -95.9550576 41.2524139, -95.95489240000001 41.2524145)","(41.2455085, -95.9688218)","(41.2524145, -95.9548924)"
310550038003,42,0,1108.694,"LINESTRING (-95.9579787 41.2404763, -95.9582041 41.2415422, -95.958186 41.2416152, -95.9581888 41.2418731, -95.95809850000001 41.2418834, -95.95806140000001 41.2418853, -95.95774160000001 41.2421889, -95.9573956 41.2431509, -95.95727549999999 41.2432547, -95.95651580000001 41.2435482, -95.956379 41.2436631, -95.9559284 41.2445606, -95.95593909999998 41.2451374, -95.95594680000001 41.2452741, -95.95594680000001 41.2460444, -95.9559455 41.2469617, -95.955949 41.2476707, -95.95595079999998 41.2487967, -95.9559539 41.24938429999999, -95.95583689999999 41.2493859)","(41.2404763, -95.9579787)","(41.2493859, -95.9558369)"
310550038003,46,1,1525.492,"LINESTRING (-95.9579787 41.2404763, -95.9582041 41.2415422, -95.958186 41.2416152, -95.9581888 41.2418731, -95.95809850000001 41.2418834, -95.95806140000001 41.2418853, -95.95774160000001 41.2421889, -95.9573956 41.2431509, -95.95727549999999 41.2432547, -95.95651580000001 41.2435482, -95.956379 41.2436631, -95.9559284 41.2445606, -95.95593909999998 41.2451374, -95.95594680000001 41.2452741, -95.95594680000001 41.2460444, -95.9559455 41.2469617, -95.955949 41.2476707, -95.95595079999998 41.2487967, -95.955833 41.248797, -95.9551568 41.2487995, -95.95516220000002 41.2507497, -95.9551721 41.2519837, -95.9551756 41.2524135, -95.9550576 41.2524139, -95.95489240000001 41.2524145)","(41.2404763, -95.9579787)","(41.2524145, -95.9548924)"
