cbg_id,store_id,rank,distance,geometry,Origin,Destination
120950144001,18,0,813.696,"LINESTRING (-81.3825866 28.5115038, -81.38291270000001 28.5121866, -81.38295930000001 28.5123185, -81.3830055 28.5124485, -81.3825238 28.5127978, -81.38165360000001 28.5127985, -81.3809631 28.5128014, -81.3799819 28.51280560000001, -81.3795715 28.5128068, -81.37899830000001 28.5128188, -81.3788273 28.5128224, -81.3783471 28.5128324, -81.37751919999999 28.512866, -81.3772845 28.5128729, -81.377281 28.5127999, -81.37680570000001 28.5127969, -81.3765009 28.5127925, -81.37643850000001 28.5127348, -81.3763127 28.5127419)","(28.5115038, -81.3825866)","(28.5127419, -81.3763127)"
120950144001,17,1,989.574,"LINESTRING (-81.3825866 28.5115038, -81.38048360000001 28.5109764, -81.38049700000001 28.5101307, -81.3805009 28.5092466, -81.3798572 28.5092523, -81.3793335 28.5092644, -81.37872590000001 28.5092717, -81.3779949 28.5092806, -81.377635 28.5092849, -81.37728610000001 28.5092855, -81.37717809999999 28.5092857, -81.376896 28.5092861, -81.3768962 28.5093729, -81.3764663 28.5093944, -81.3764663 28.5094628, -81.376464 28.5098107, -81.3764613 28.5099627, -81.3764219 28.5104134, -81.37630559999999 28.5104246, -81.37630590000001 28.5104779, -81.3761693 28.5104785)","(28.5115038, -81.3825866)","(28.5104785, -81.3761693)"
120950144002,17,0,1652.833,"LINESTRING (-81.38042059999999 28.505629, -81.381173 28.5051045, -81.3816305 28.504913, -81.38133860000001 28.5042945, -81.3811584 28.5035327, -81.38039860000001 28.5034712, -81.3796653 28.5030721, -81.3792953 28.5030712, -81.3791561 28.5030729, -81.3786654 28.5030789, -81.3786331 28.5030793, -81.37720299999999 28.5030932, -81.3765104 28.5031021, -81.3764369 28.503103, -81.3763943 28.5039629, -81.3763835 28.5045582, -81.37626710000001 28.5045591, -81.37626520000001 28.5046715, -81.3762589 28.5050526, -81.3762522 28.505463, -81.376251 28.5055326, -81.3762476 28.5057415, -81.3762444 28.505936, -81.37623950000001 28.5062327, -81.3762389 28.5062715, -81.37623750000002 28.5066049, -81.37624820000001 28.5069374, -81.37613210000001 28.5069524, -81.37615649999999 28.5076564, -81.3761713 28.5082117, -81.37615510000001 28.5091547, -81.3761429 28.5091715, -81.37617280000001 28.5092879, -81.37617400000001 28.5093936, -81.3761693 28.5104785)","(28.505629, -81.3804206)","(28.5104785, -81.3761693)"
120950144002,18,1,1892.197,"LINESTRING (-81.38042059999999 28.505629, -81.381173 28.5051045, -81.3816305 28.504913, -81.38133860000001 28.5042945, -81.3811584 28.5035327, -81.38039860000001 28.5034712, -81.3796653 28.5030721, -81.3792953 28.5030712, -81.3791561 28.5030729, -81.3786654 28.5030789, -81.3786331 28.5030793, -81.37720299999999 28.5030932, -81.3765104 28.5031021, -81.3764369 28.503103, -81.3763943 28.5039629, -81.3763835 28.5045582, -81.37626710000001 28.5045591, -81.37626520000001 28.5046715, -81.3762589 28.5050526, -81.3762522 28.505463, -81.376251 28.5055326, -81.3762476 28.5057415, -81.3762444 28.505936, -81.37623950000001 28.5062327, -81.3762389 28.5062715, -81.37623750000002 28.5066049, -81.37624820000001 28.5069374, -81.37627500000001 28.5075955, -81.3762772 28.507657, -81.37630299999999 28.5082133, -81.3763191 28.5086191, -81.3763161 28.5091746, -81.3763144 28.5092876, -81.3763129 28.509394, -81.3763119 28.5094618, -81.37630660000001 28.5098131, -81.3763053 28.5099627, -81.37630559999999 28.5104246, -81.37630590000001 28.5104779, -81.37630580000001 28.5108105, -81.3763057 28.5111107, -81.3763053 28.5115225, -81.3763069 28.511784, -81.3763093 28.5121883, -81.37630969999999 28.51225469999999, -81.3763127 28.5127419)","(28.505629, -81.3804206)","(28.5127419, -81.3763127)"
120970428002,0,0,17856.74,"LINESTRING (-81.2779353 28.3476232, -81.27730510000001 28.3456841, -81.2770184 28.3447415, -81.2770424 28.3428557, -81.2779767 28.3379105, -81.27809379999999 28.3360275, -81.27857349999999 28.3349899, -81.2787062 28.3345541, -81.2786978 28.3335577, -81.28065359999999 28.3335759, -81.2840394 28.3335559, -81.2880603 28.3335828, -81.2914554 28.3335926, -81.2915368 28.3335928, -81.2936543 28.3335989, -81.294399 28.3336007, -81.29604730000001 28.3337583, -81.29611420000001 28.3337744, -81.2972675 28.334145, -81.29857869999999 28.3349279, -81.2986427 28.3349771, -81.2990654 28.3353019, -81.29940360000001 28.3355635, -81.29952919999999 28.3356607, -81.2999276 28.335969, -81.30029039999999 28.3362497, -81.30067889999999 28.3365503, -81.3011375 28.3369051, -81.3012536 28.3369949, -81.30226570000001 28.337777, -81.3022871 28.3377935, -81.3029299 28.3382902, -81.3031462 28.3384574, -81.30323079999999 28.3385227, -81.3033368 28.3386045, -81.3034851 28.338719, -81.30445109999999 28.3394647, -81.30461270000001 28.3395897, -81.3047522 28.3396978, -81.30536499999999 28.3401724, -81.3053922 28.3401935, -81.3059165 28.3405996, -81.3063513 28.3409363, -81.3064352 28.3410013, -81.3067733 28.3412608, -81.307078 28.3414947, -81.30741500000001 28.3417534, -81.30852590000001 28.3428294, -81.3090157 28.3435891, -81.309192 28.3439592, -81.3092709 28.3441609, -81.30936850000001 28.3444219, -81.3094067 28.34456, -81.30943980000001 28.3446798, -81.30952929999999 28.3451526, -81.3095407 28.3452641, -81.30956999999999 28.3457275, -81.30952569999999 28.3461866, -81.3094852 28.3468082, -81.3094893 28.3473304, -81.30949320000001 28.3479621, -81.30949080000001 28.3480216, -81.30947650000002 28.3482007, -81.3095429 28.3505089, -81.3095824 28.3516936, -81.3096001 28.3522238, -81.3096287 28.3534671, -81.3096764 28.3559206, -81.30970910000001 28.3576458, -81.3097085 28.3577322, -81.3097336 28.3589293, -81.309752 28.3594902, -81.30977230000001 28.3604498, -81.30978140000001 28.3608585, -81.3097875 28.3610212, -81.30978589999999 28.3625778, -81.3097631 28.3628593, -81.30961689999999 28.364891, -81.3096094 28.3650283, -81.30959970000001 28.3651962, -81.309589 28.3653406, -81.30945699999999 28.3679447, -81.30944580000001 28.3683872, -81.3094364 28.368576, -81.3094163 28.3696062, -81.30940560000001 28.3699967, -81.3093904 28.3704015, -81.308395 28.3751974, -81.3083898 28.3753615, -81.30835690000001 28.3761202, -81.3095184 28.3831189, -81.31180070000001 28.3845195, -81.31376779999999 28.3858528, -81.3142771 28.3861976, -81.3143819 28.3862685, -81.3168416 28.388013, -81.3263302 28.3946532, -81.32727060000001 28.3951537, -81.3285814 28.3958237, -81.33006829999999 28.3963152, -81.3305314 28.3964447, -81.3312719 28.3966615, -81.3317571 28.3968473, -81.332487 28.3973975, -81.3330074 28.3981386, -81.3332025 28.3988147, -81.33331630000001 28.3998343, -81.33343379999999 28.4008302, -81.3340424 28.4024484, -81.3329219 28.402878, -81.33340320000001 28.4045732, -81.3342186 28.4054565, -81.3328676 28.4117856, -81.3323391 28.4120927, -81.3304361 28.411929, -81.3302927 28.4127229, -81.33045629999999 28.4129576, -81.3315655 28.4145198, -81.3320597 28.4151636, -81.33249139999999 28.4158404, -81.33301489999999 28.4165737, -81.333146 28.4167912, -81.3342478 28.4177276, -81.3339038 28.4184925, -81.3338394 28.419702, -81.333855 28.4214863, -81.3338626 28.4222171, -81.3338631 28.422265, -81.3338708 28.4229987, -81.3338811 28.4239375, -81.3338911 28.4248535, -81.33391090000001 28.4266583, -81.3339288 28.4285273, -81.3339478 28.430402, -81.3339659 28.4322872, -81.3339993 28.4345766, -81.3342274 28.4364045, -81.3347402 28.4393251, -81.3347447 28.4397895)","(28.3476232, -81.2779353)","(28.4397895, -81.3347447)"
120970428002,3,1,20795.037,"LINESTRING (-81.2779353 28.3476232, -81.27730510000001 28.3456841, -81.2770184 28.3447415, -81.2770424 28.3428557, -81.2779767 28.3379105, -81.27809379999999 28.3360275, -81.27857349999999 28.3349899, -81.2787062 28.3345541, -81.2786978 28.3335577, -81.27615609999999 28.3335506, -81.27548470000001 28.3335487, -81.27543850000001 28.3335485, -81.27491329999999 28.3335463, -81.2745996 28.333545, -81.2736551 28.3335424, -81.2723835 28.3336329, -81.2721657 28.3336759, -81.2710982 28.3340614, -81.2705175 28.3344067, -81.2699066 28.3349343, -81.2695509 28.3353452, -81.26888340000001 28.3369862, -81.268879 28.3370131, -81.26877039999999 28.338045, -81.2687442 28.3382915, -81.2687098 28.338623, -81.2683868 28.3417556, -81.26838170000001 28.3418055, -81.26837310000001 28.341887, -81.2681427 28.3431624, -81.2677073 28.3440191, -81.2661188 28.345383, -81.2652866 28.3457975, -81.2649471 28.3459666, -81.264273 28.3463023, -81.2623693 28.3472504, -81.2611625 28.3478081, -81.26071580000001 28.3479301, -81.2594544 28.348057, -81.2589704 28.3480587, -81.2578998 28.3480626, -81.256956 28.348068, -81.2569293 28.3480682, -81.2568539 28.3480683, -81.2568595 28.3482029, -81.2568756 28.3490943, -81.25643549999999 28.3499107, -81.2563901 28.3499614, -81.2557424 28.3509845, -81.25571600000001 28.3510724, -81.255492 28.3517436, -81.25545169999999 28.3518119, -81.2552081 28.352102, -81.2551631 28.3521576, -81.25498140000001 28.3527351, -81.25497110000001 28.3528099, -81.2548611 28.3535905, -81.25484969999999 28.3536696, -81.2546613 28.3549967, -81.2546564 28.355077, -81.2546442 28.3552554, -81.25466590000002 28.3560136, -81.2546342 28.3561618, -81.25458949999999 28.3562974, -81.25452129999999 28.3563415, -81.25432600000001 28.356391, -81.25188780000001 28.3564635, -81.25176260000001 28.3564639, -81.2454863 28.3584744, -81.2453486 28.3585042, -81.2452953 28.3584885, -81.2450829 28.358559, -81.2450731 28.3585724, -81.24489680000002 28.3587707, -81.24400679999999 28.3592914, -81.2433255 28.3596096, -81.2431625 28.3596858, -81.24302470000001 28.3597447, -81.24309100000001 28.3598653, -81.2431478 28.3599738, -81.2438159 28.3614999, -81.2443524 28.3637173, -81.24436969999999 28.3638499, -81.2444418 28.3646458, -81.24444350000002 28.3680214, -81.2444215 28.3726607, -81.244422 28.3727782, -81.2443973 28.3782259, -81.24439510000001 28.378798, -81.24439099999999 28.3798701, -81.2443932 28.3799051, -81.2443878 28.380687, -81.2443823 28.381947, -81.24438189999999 28.3820495, -81.24437810000001 28.3830916, -81.244377 28.3832024, -81.2443768 28.3832981, -81.244371 28.383745, -81.24436799999999 28.384093, -81.24436780000001 28.3844238, -81.2443667 28.3845483, -81.2443602 28.3852986, -81.2443523 28.3862123, -81.2443404 28.3869533, -81.24433620000002 28.3872146, -81.24431130000002 28.3887741, -81.2443098 28.3888643, -81.24428450000001 28.3903434, -81.244236 28.3918568, -81.24423590000001 28.3919716, -81.2442454 28.3930807, -81.24424639999999 28.3938995, -81.24424689999999 28.3942622, -81.2442475 28.394744, -81.24424759999999 28.3948196, -81.2442504 28.3950905, -81.24425180000001 28.3954597, -81.2442664 28.3960393, -81.2442793 28.3963843, -81.24428519999999 28.396542, -81.24429019999999 28.3966759, -81.2443243 28.3975868, -81.2444182 28.3997635, -81.24441760000001 28.4013638, -81.24438240000001 28.4021194, -81.2443506 28.4024781, -81.24431920000001 28.4027226, -81.2442947 28.4029138, -81.2442666 28.403132, -81.2440916 28.4044804, -81.2440771 28.404605, -81.24406159999999 28.404717, -81.2440429 28.4048545, -81.2430409 28.4101728, -81.2430354 28.4102068, -81.2428931 28.4113093, -81.2428774 28.4114975, -81.24284470000001 28.4120527, -81.24284129999999 28.4121921, -81.24283370000001 28.4129523, -81.2428299 28.4137772, -81.24282340000001 28.4145165, -81.2428235 28.4146493, -81.24282150000001 28.4155554, -81.2429137 28.4163983, -81.2431777 28.4173498, -81.2434822 28.4180434, -81.2435344 28.4181354, -81.2495778 28.4235646, -81.2496798 28.4236454, -81.2521854 28.4256165, -81.2547513 28.4276438, -81.25487990000001 28.4277489, -81.25651360000001 28.4299627, -81.25684510000001 28.4322223, -81.2568505 28.4323414, -81.2568898 28.4331699, -81.2569488 28.4344266, -81.2569556 28.4345893, -81.2570836 28.4364588, -81.2573658 28.4376153, -81.2578943 28.4388223, -81.2591982 28.4408508, -81.26050789999999 28.4428384, -81.2617937 28.44478159999999, -81.2627445 28.4462206, -81.2634486 28.4473142, -81.26370420000001 28.4477194, -81.26396160000002 28.4481259, -81.2647145 28.4492673, -81.26477130000001 28.449349, -81.2648907 28.4495216, -81.2653811 28.4502272, -81.2663501 28.4516835, -81.267122 28.4530176, -81.267409 28.4534919, -81.2680694 28.4544906, -81.2684292 28.4550346, -81.26916369999999 28.4561426, -81.2694865 28.4566295, -81.269599 28.4568062, -81.26982 28.4571406, -81.270107 28.4575754, -81.27074410000002 28.4585405, -81.27096709999999 28.4588783, -81.2717857 28.4601181, -81.272009 28.4604533, -81.27135730000001 28.4607907, -81.2712659 28.460838, -81.2713622 28.4609937, -81.2714658 28.461168, -81.2715393 28.4612771, -81.27170460000001 28.4615181, -81.27178859999999 28.4616496, -81.2718572 28.4617553, -81.27198319999999 28.4619419, -81.27204050000002 28.4620273, -81.27210169999999 28.4621189, -81.27221369999999 28.4622917, -81.2723101 28.4624304, -81.27212230000001 28.4625691, -81.2724796 28.4631075, -81.27273930000001 28.4634987, -81.2730882 28.4641759, -81.273095 28.4645731, -81.27310079999999 28.4649142, -81.2731019 28.4649481, -81.2730462 28.4655906, -81.2730995 28.4658041, -81.27309990000001 28.4658803, -81.2726181 28.4658899, -81.2676761 28.4685133, -81.2675672 28.4685845, -81.26750269999999 28.468632, -81.2676366 28.4687763, -81.268289 28.4694549, -81.2679828 28.4696715, -81.26795540000001 28.4696909, -81.26787779999999 28.4696012, -81.2680438 28.4694784, -81.2679023 28.4693194, -81.2676945 28.4691004)","(28.3476232, -81.2779353)","(28.4691004, -81.2676945)"
120950137012,19,0,1077.073,"LINESTRING (-81.3356311 28.5162543, -81.3351041 28.5162558, -81.33509650000001 28.5154171, -81.33509599999999 28.515356, -81.3350863 28.5142921, -81.33507830000002 28.5134084, -81.3350774 28.513306, -81.3339685 28.5132971, -81.3328369 28.5133033, -81.3327816 28.513304, -81.33240170000001 28.5133118, -81.33112199999999 28.5132677, -81.3310238 28.5132684, -81.330887 28.5132692, -81.3307939 28.5132697, -81.3296335 28.5132762, -81.3294436 28.5132773, -81.3286827 28.5133233, -81.32797950000001 28.5135108)","(28.5162543, -81.3356311)","(28.5135108, -81.32797950000001)"
120950137012,29,1,1343.323,"LINESTRING (-81.3356311 28.5162543, -81.3351041 28.5162558, -81.3351134 28.5170437, -81.33512170000002 28.5177491, -81.33111630000001 28.5177788, -81.3311197 28.5183269, -81.33113 28.5192124, -81.3310658 28.5192154, -81.3309263 28.5192293, -81.3308651 28.5192321, -81.33087089999999 28.5209806, -81.33088770000001 28.5217821, -81.33088499999999 28.5225834, -81.3308643 28.5231829, -81.33085629999999 28.5237019, -81.3308423 28.5241433)","(28.5162543, -81.3356311)","(28.5241433, -81.3308423)"
120950148072,21,0,924.164,"LINESTRING (-81.4808293 28.5202108, -81.48419 28.5179579, -81.48381329999999 28.5174696, -81.4838108 28.5174038, -81.4837488 28.5173518, -81.4838254 28.5172895, -81.4839885 28.5171387, -81.48381170000002 28.516977, -81.4837192 28.5168925, -81.4837665 28.5168305, -81.4832804 28.5163767, -81.4834342 28.5162545, -81.4835674 28.5161478, -81.48369959999999 28.5160425, -81.48382220000001 28.5159449, -81.48392459999999 28.5158633, -81.4841538 28.516065, -81.484268 28.516154)","(28.5202108, -81.4808293)","(28.516154, -81.484268)"
120950148072,30,1,2331.075,"LINESTRING (-81.4808293 28.5202108, -81.48419 28.5179579, -81.48381329999999 28.5174696, -81.4781409 28.5192388, -81.478087 28.5192353, -81.477957 28.5192269, -81.47788509999999 28.5192222, -81.4736807 28.5198637, -81.4732999 28.520068, -81.4714839 28.5223951, -81.4713485 28.5223798, -81.4711223 28.5223672, -81.4709742 28.5240547, -81.4710846 28.5246196)","(28.5202108, -81.4808293)","(28.5246196, -81.4710846)"
