cbg_id,store_id,rank,distance,geometry,Origin,Destination
421010001011,148,0,524.837,"LINESTRING (-75.1499388 39.9521699, -75.1502318 39.9508547, -75.15035810000001 39.9508699, -75.15049089999999 39.9508821, -75.1518384 39.9510455, -75.1518909 39.9509283, -75.15199800000001 39.9509415, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.1534932 39.9510306, -75.1535461 39.9509465, -75.1535398 39.9509768, -75.1537378 39.9509983, -75.1536705 39.9513298)","(39.9521699, -75.1499388)","(39.9513298, -75.1536705)"
421010001011,152,1,722.69,"LINESTRING (-75.1499388 39.9521699, -75.14957389999999 39.9521202, -75.1491594 39.9520624, -75.14915190000001 39.9520765, -75.1489377 39.95237339999998, -75.1487834 39.9525459, -75.1486024 39.9525235, -75.14858630000001 39.9526032, -75.1485722 39.9526732, -75.1484415 39.9532901, -75.1484246 39.9533391, -75.1483478 39.9533289, -75.1481598 39.9535997, -75.14785209999999 39.9543366, -75.1478427 39.9543868, -75.14650519999999 39.9542214, -75.146407 39.9542102, -75.1457745 39.9541317, -75.145449 39.9540911, -75.1448546 39.9540169, -75.14427670000001 39.9539446, -75.1441336 39.9539283, -75.1441451 39.9538751, -75.1441894 39.9536707)","(39.9521699, -75.1499388)","(39.9536707, -75.1441894)"
421010001012,148,0,451.908,"LINESTRING (-75.150023 39.9501539, -75.1500126 39.9502089, -75.1499433 39.9505699, -75.1501701 39.9505964, -75.1502825 39.9506096, -75.1503926 39.9506231, -75.150543 39.9506423, -75.15128559999999 39.9507443, -75.1519314 39.9508336, -75.1519773 39.95084, -75.1520194 39.9508451, -75.1520972 39.9508553, -75.1521382 39.950872, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.1534932 39.9510306, -75.1535461 39.9509465, -75.1535398 39.9509768, -75.1537378 39.9509983, -75.1536705 39.9513298)","(39.9501539, -75.150023)","(39.9513298, -75.1536705)"
421010001012,144,1,912.742,"LINESTRING (-75.150023 39.9501539, -75.1500126 39.9502089, -75.1499433 39.9505699, -75.1501701 39.9505964, -75.1502825 39.9506096, -75.1503926 39.9506231, -75.150543 39.9506423, -75.15128559999999 39.9507443, -75.1519314 39.9508336, -75.1519773 39.95084, -75.1520194 39.9508451, -75.1520972 39.9508553, -75.1521382 39.950872, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.15357419999999 39.9511376, -75.15515600000001 39.9513341, -75.1559152 39.9514288, -75.1567349 39.95153040000001, -75.1568427 39.9515438, -75.15820429999999 39.9517127, -75.1582214 39.9516228, -75.1582509 39.9516217, -75.158337 39.9516298, -75.15839290000001 39.9516377, -75.15853490000001 39.9511078, -75.1585336 39.9510544, -75.1585328 39.9510234, -75.15860739999999 39.950683, -75.15853869999999 39.9506742)","(39.9501539, -75.150023)","(39.9506742, -75.1585387)"
421010001013,148,0,765.256,"LINESTRING (-75.1476241 39.9514076, -75.14711490000001 39.9513384, -75.14717539999999 39.9510643, -75.1471975 39.9509625, -75.1472371 39.9508722, -75.14734350000001 39.9504841, -75.14736499999999 39.9504043, -75.14878899999999 39.9505714, -75.14893379999999 39.950563, -75.1490505 39.950577, -75.1502526 39.9507279, -75.1503781 39.9507428, -75.15051390000001 39.9507592, -75.1518909 39.9509283, -75.15199800000001 39.9509415, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.1534932 39.9510306, -75.1535461 39.9509465, -75.1535398 39.9509768, -75.1537378 39.9509983, -75.1536705 39.9513298)","(39.9514076, -75.1476241)","(39.9513298, -75.1536705)"
421010001013,152,1,782.304,"LINESTRING (-75.1476241 39.9514076, -75.14711490000001 39.9513384, -75.14717539999999 39.9510643, -75.1471975 39.9509625, -75.1471122 39.9509507, -75.1472177 39.9504687, -75.1471425 39.9504595, -75.14644389999999 39.9503722, -75.1456747 39.95027610000001, -75.1455579 39.9507847, -75.1454694 39.95117170000001, -75.14544549999999 39.9512763, -75.1454354 39.9513229, -75.1454195 39.9513918, -75.1453818 39.9515612, -75.1452455 39.9521871, -75.145062 39.9530505, -75.14504650000001 39.9531221, -75.1449686 39.9534934, -75.1448661 39.9539618, -75.1441451 39.9538751, -75.1441894 39.9536707)","(39.9514076, -75.1476241)","(39.9536707, -75.1441894)"
421010001014,152,0,500.841,"LINESTRING (-75.1456747 39.95027610000001, -75.1455579 39.9507847, -75.1454694 39.95117170000001, -75.14544549999999 39.9512763, -75.1454354 39.9513229, -75.1454195 39.9513918, -75.1453818 39.9515612, -75.1452455 39.9521871, -75.145062 39.9530505, -75.14504650000001 39.9531221, -75.1449686 39.9534934, -75.1448661 39.9539618, -75.1441451 39.9538751, -75.1441894 39.9536707)","(39.95027610000001, -75.1456747)","(39.9536707, -75.1441894)"
421010001014,148,1,767.604,"LINESTRING (-75.1456747 39.95027610000001, -75.14644389999999 39.9503722, -75.1471425 39.9504595, -75.1472177 39.9504687, -75.1472437 39.9503891, -75.14736499999999 39.9504043, -75.14878899999999 39.9505714, -75.14893379999999 39.950563, -75.1490505 39.950577, -75.1502526 39.9507279, -75.1503781 39.9507428, -75.15051390000001 39.9507592, -75.1518909 39.9509283, -75.15199800000001 39.9509415, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.1534932 39.9510306, -75.1535461 39.9509465, -75.1535398 39.9509768, -75.1537378 39.9509983, -75.1536705 39.9513298)","(39.95027610000001, -75.1456747)","(39.9513298, -75.1536705)"
421010001015,152,0,691.964,"LINESTRING (-75.14270850000001 39.9501213, -75.14285680000002 39.950136, -75.14366750000001 39.9500259, -75.1437124 39.9500311, -75.1441743 39.9500928, -75.14407129999999 39.9505668, -75.14423549999999 39.9505912, -75.1442607 39.95059489999998, -75.14445430000001 39.9506234, -75.1443317 39.9511211, -75.1444199 39.9511332, -75.1443642 39.9513881, -75.1440952 39.9513549, -75.1439482 39.9520252, -75.1442705 39.9520654, -75.14417330000001 39.9524918, -75.144077 39.9529148, -75.1439737 39.9533741, -75.14387840000001 39.9538446, -75.1441451 39.9538751, -75.1441894 39.9536707)","(39.9501213, -75.14270850000001)","(39.9536707, -75.1441894)"
421010001015,148,1,1036.367,"LINESTRING (-75.14270850000001 39.9501213, -75.14285680000002 39.950136, -75.14366750000001 39.9500259, -75.1437124 39.9500311, -75.1441743 39.9500928, -75.1456747 39.95027610000001, -75.14644389999999 39.9503722, -75.1471425 39.9504595, -75.1472177 39.9504687, -75.1472437 39.9503891, -75.14736499999999 39.9504043, -75.14878899999999 39.9505714, -75.14893379999999 39.950563, -75.1490505 39.950577, -75.1502526 39.9507279, -75.1503781 39.9507428, -75.15051390000001 39.9507592, -75.1518909 39.9509283, -75.15199800000001 39.9509415, -75.1521092 39.9509553, -75.1534735 39.95112490000001, -75.1534932 39.9510306, -75.1535461 39.9509465, -75.1535398 39.9509768, -75.1537378 39.9509983, -75.1536705 39.9513298)","(39.9501213, -75.14270850000001)","(39.9513298, -75.1536705)"
