cbg_id,store_id,rank,distance,geometry,Origin,Destination
40130610111,103,0,9333.727,"LINESTRING (-112.3239546 33.5174031, -112.3239632 33.5135472, -112.3239673 33.5121219, -112.323944 33.5075097, -112.3153585 33.5074931, -112.302775 33.5076368, -112.3022922 33.5076614, -112.3013526 33.5077071, -112.298743 33.5078314, -112.2985689 33.5078403, -112.298383 33.5078457, -112.2938557 33.5080236, -112.2922488 33.5080936, -112.2920988 33.5081002, -112.291548 33.5081244, -112.2914029 33.5081308, -112.2909795 33.5081494, -112.290022 33.5081804, -112.288403 33.5081979, -112.288344 33.5081984, -112.2856619 33.5082197, -112.2836989 33.5082338, -112.2829387 33.5081963, -112.2822445 33.5082456, -112.281284 33.5082536, -112.279165 33.508267, -112.2769462 33.5082861, -112.2758683 33.5082932, -112.274782 33.508302, -112.2740445 33.5083073, -112.2737344 33.5083095, -112.2734535 33.5083117, -112.272506 33.5083184, -112.2713788 33.5082911, -112.270691 33.5083026, -112.269711 33.5083272, -112.2693119 33.508338, -112.269144 33.5083417, -112.2687324 33.5083564, -112.2682256 33.5083726, -112.267153 33.5084137, -112.2666974 33.5084263, -112.2653737 33.5084598, -112.2652353 33.5084642, -112.263857 33.5085594, -112.2627253 33.5085873, -112.2616956 33.5086135, -112.2615276 33.5086177, -112.2602654 33.5086498, -112.2572725 33.5087324, -112.2568371 33.5087451, -112.256293 33.5087611, -112.256132 33.5087654, -112.255003 33.5087945, -112.2545309 33.5087932, -112.2529287 33.5087904, -112.2526661 33.5087901, -112.2507589 33.50879, -112.2463872 33.5087949, -112.2441448 33.5087918, -112.242529 33.5087977, -112.2418952 33.5088015, -112.2411934 33.5088016, -112.2411691 33.5088012, -112.2404862 33.5088012, -112.2398987 33.5088005, -112.2398138 33.5088004, -112.239017 33.5087997, -112.2387939 33.5087995, -112.2387101 33.5085941, -112.2387105 33.5085024, -112.2387139 33.5082132, -112.2387009 33.5079472, -112.2381016 33.5079454, -112.2381014 33.507877, -112.2380328 33.5078774, -112.2377218 33.5078789, -112.2377201 33.5071046, -112.2377197 33.5066516)","(33.5174031, -112.3239546)","(33.5066516, -112.23771970000001)"
40130610111,83,1,10218.437,"LINESTRING (-112.3239546 33.5174031, -112.3239632 33.5135472, -112.3239673 33.5121219, -112.323944 33.5075097, -112.3153585 33.5074931, -112.302775 33.5076368, -112.3022922 33.5076614, -112.3013526 33.5077071, -112.298743 33.5078314, -112.2985689 33.5078403, -112.298383 33.5078457, -112.2938557 33.5080236, -112.2922488 33.5080936, -112.2920988 33.5081002, -112.291548 33.5081244, -112.2914029 33.5081308, -112.2909795 33.5081494, -112.290022 33.5081804, -112.288403 33.5081979, -112.288344 33.5081984, -112.2856619 33.5082197, -112.2836989 33.5082338, -112.2829387 33.5081963, -112.2822445 33.5082456, -112.281284 33.5082536, -112.279165 33.508267, -112.2769462 33.5082861, -112.2758683 33.5082932, -112.274782 33.508302, -112.2740445 33.5083073, -112.2737344 33.5083095, -112.2734535 33.5083117, -112.272506 33.5083184, -112.2713788 33.5082911, -112.270691 33.5083026, -112.2698001 33.5076947, -112.2680195 33.5022714, -112.2668041 33.5000688, -112.264662 33.4941004, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2591179 33.4941521, -112.2567168 33.4942129, -112.2562149 33.4942221, -112.2557847 33.49423010000001, -112.2551209 33.4942371, -112.2543887 33.494242, -112.2541568 33.4942461, -112.2539985 33.4942498, -112.2534487 33.4942464, -112.2523153 33.494249, -112.2508078 33.4942453, -112.2493384 33.4942545, -112.2490475 33.4942554, -112.2485277 33.4942533, -112.2480025 33.4942512, -112.2472334 33.4942567, -112.246558 33.4942558, -112.2447874 33.4942569, -112.2432094 33.4942639, -112.2423839 33.4942707, -112.242327 33.4942716, -112.2415407 33.4942711, -112.2406475 33.4942738, -112.2404548 33.4942758, -112.2399217 33.4942677, -112.2398203 33.494268, -112.239365 33.4942684, -112.2389608 33.4942687, -112.2386865 33.4942689, -112.2385772 33.494269)","(33.5174031, -112.3239546)","(33.494269, -112.2385772)"
40130610112,103,0,8746.482,"LINESTRING (-112.3239673 33.5121219, -112.323944 33.5075097, -112.3153585 33.5074931, -112.302775 33.5076368, -112.3022922 33.5076614, -112.3013526 33.5077071, -112.298743 33.5078314, -112.2985689 33.5078403, -112.298383 33.5078457, -112.2938557 33.5080236, -112.2922488 33.5080936, -112.2920988 33.5081002, -112.291548 33.5081244, -112.2914029 33.5081308, -112.2909795 33.5081494, -112.290022 33.5081804, -112.288403 33.5081979, -112.288344 33.5081984, -112.2856619 33.5082197, -112.2836989 33.5082338, -112.2829387 33.5081963, -112.2822445 33.5082456, -112.281284 33.5082536, -112.279165 33.508267, -112.2769462 33.5082861, -112.2758683 33.5082932, -112.274782 33.508302, -112.2740445 33.5083073, -112.2737344 33.5083095, -112.2734535 33.5083117, -112.272506 33.5083184, -112.2713788 33.5082911, -112.270691 33.5083026, -112.269711 33.5083272, -112.2693119 33.508338, -112.269144 33.5083417, -112.2687324 33.5083564, -112.2682256 33.5083726, -112.267153 33.5084137, -112.2666974 33.5084263, -112.2653737 33.5084598, -112.2652353 33.5084642, -112.263857 33.5085594, -112.2627253 33.5085873, -112.2616956 33.5086135, -112.2615276 33.5086177, -112.2602654 33.5086498, -112.2572725 33.5087324, -112.2568371 33.5087451, -112.256293 33.5087611, -112.256132 33.5087654, -112.255003 33.5087945, -112.2545309 33.5087932, -112.2529287 33.5087904, -112.2526661 33.5087901, -112.2507589 33.50879, -112.2463872 33.5087949, -112.2441448 33.5087918, -112.242529 33.5087977, -112.2418952 33.5088015, -112.2411934 33.5088016, -112.2411691 33.5088012, -112.2404862 33.5088012, -112.2398987 33.5088005, -112.2398138 33.5088004, -112.239017 33.5087997, -112.2387939 33.5087995, -112.2387101 33.5085941, -112.2387105 33.5085024, -112.2387139 33.5082132, -112.2387009 33.5079472, -112.2381016 33.5079454, -112.2381014 33.507877, -112.2380328 33.5078774, -112.2377218 33.5078789, -112.2377201 33.5071046, -112.2377197 33.5066516)","(33.5121219, -112.3239673)","(33.5066516, -112.23771970000001)"
40130610112,83,1,9631.192,"LINESTRING (-112.3239673 33.5121219, -112.323944 33.5075097, -112.3153585 33.5074931, -112.302775 33.5076368, -112.3022922 33.5076614, -112.3013526 33.5077071, -112.298743 33.5078314, -112.2985689 33.5078403, -112.298383 33.5078457, -112.2938557 33.5080236, -112.2922488 33.5080936, -112.2920988 33.5081002, -112.291548 33.5081244, -112.2914029 33.5081308, -112.2909795 33.5081494, -112.290022 33.5081804, -112.288403 33.5081979, -112.288344 33.5081984, -112.2856619 33.5082197, -112.2836989 33.5082338, -112.2829387 33.5081963, -112.2822445 33.5082456, -112.281284 33.5082536, -112.279165 33.508267, -112.2769462 33.5082861, -112.2758683 33.5082932, -112.274782 33.508302, -112.2740445 33.5083073, -112.2737344 33.5083095, -112.2734535 33.5083117, -112.272506 33.5083184, -112.2713788 33.5082911, -112.270691 33.5083026, -112.2698001 33.5076947, -112.2680195 33.5022714, -112.2668041 33.5000688, -112.264662 33.4941004, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2591179 33.4941521, -112.2567168 33.4942129, -112.2562149 33.4942221, -112.2557847 33.49423010000001, -112.2551209 33.4942371, -112.2543887 33.494242, -112.2541568 33.4942461, -112.2539985 33.4942498, -112.2534487 33.4942464, -112.2523153 33.494249, -112.2508078 33.4942453, -112.2493384 33.4942545, -112.2490475 33.4942554, -112.2485277 33.4942533, -112.2480025 33.4942512, -112.2472334 33.4942567, -112.246558 33.4942558, -112.2447874 33.4942569, -112.2432094 33.4942639, -112.2423839 33.4942707, -112.242327 33.4942716, -112.2415407 33.4942711, -112.2406475 33.4942738, -112.2404548 33.4942758, -112.2399217 33.4942677, -112.2398203 33.494268, -112.239365 33.4942684, -112.2389608 33.4942687, -112.2386865 33.4942689, -112.2385772 33.494269)","(33.5121219, -112.3239673)","(33.494269, -112.2385772)"
40130610131,66,0,8797.682,"LINESTRING (-112.3209442 33.4989042, -112.3225878 33.49902, -112.3238661 33.4991189, -112.3238328 33.4970942, -112.3238344 33.4966849, -112.323739 33.4932253, -112.32224 33.4932088, -112.3189751 33.4931748, -112.3088406 33.4930811, -112.3066331 33.4930739, -112.3035934 33.4931821, -112.3029053 33.4932097, -112.3025111 33.4932195, -112.30178 33.4932421, -112.298532 33.4933357, -112.2984472 33.4915236, -112.2974792 33.4914642, -112.2966199 33.490975, -112.2960843 33.4905659, -112.2957003 33.4902803, -112.2948078 33.4896196, -112.2942447 33.4891973, -112.2941701 33.489138, -112.2935183 33.4886464, -112.2929998 33.4883681, -112.2917696 33.4881013, -112.2917064 33.4881016, -112.2910431 33.4881096, -112.290189 33.4881242, -112.2900947 33.4863851, -112.2900908 33.4863252, -112.2900883 33.4862355, -112.2900838 33.4860722, -112.290015 33.4835863, -112.2899881 33.4826165, -112.288841 33.4826342, -112.28824 33.4826417, -112.2882236 33.4814809, -112.2856403 33.4815103, -112.2856128 33.4803487, -112.2821116 33.480404, -112.2820911 33.4792442, -112.2820889 33.4790958, -112.281175 33.4791129, -112.2807715 33.4791214, -112.2805755 33.4791232, -112.2777092 33.4791258, -112.2754224 33.4791715, -112.2736171 33.4792605, -112.272467 33.47928189999998, -112.2682689 33.4793824, -112.2675226 33.4794002, -112.264641 33.4793671, -112.263215 33.4794072, -112.2627094 33.4794195, -112.2612401 33.4794763, -112.261082 33.4794787, -112.2597257 33.4795097, -112.259549 33.4795142, -112.2593438 33.4795209, -112.2578841 33.4795543, -112.2569068 33.4795815, -112.2566589 33.4796606, -112.2563229 33.4796687, -112.2558638 33.4796774, -112.2554096 33.4796862, -112.255186 33.4796899, -112.2550067 33.47969230000001, -112.2544644 33.4796966, -112.2544001 33.4796973, -112.2531594 33.4797089)","(33.4989042, -112.3209442)","(33.4797089, -112.2531594)"
40130610131,83,1,8829.691,"LINESTRING (-112.3209442 33.4989042, -112.3225878 33.49902, -112.3238661 33.4991189, -112.3238328 33.4970942, -112.3238344 33.4966849, -112.323739 33.4932253, -112.32224 33.4932088, -112.3189751 33.4931748, -112.3088406 33.4930811, -112.3066331 33.4930739, -112.3035934 33.4931821, -112.3029053 33.4932097, -112.3025111 33.4932195, -112.30178 33.4932421, -112.298532 33.4933357, -112.2960244 33.4934247, -112.2953745 33.4934488, -112.2946572 33.4934765, -112.2938937 33.4935041, -112.2933456 33.4935247, -112.292637 33.4935506, -112.2923587 33.4935595, -112.2914802 33.4935965, -112.2912427 33.4936018, -112.290843 33.4936186, -112.2903929 33.4936415, -112.290247 33.4936419, -112.2900865 33.4936418, -112.2895065 33.4936486, -112.2892896 33.4936515, -112.2892479 33.4936518, -112.2889469 33.4936541, -112.2887068 33.493656, -112.2879797 33.4936611, -112.2877638 33.4936633, -112.2874318 33.4936656, -112.2872391 33.4936656, -112.2862963 33.4936657, -112.2850775 33.4936689, -112.284971 33.4936695, -112.2848522 33.4936702, -112.2823805 33.4936932, -112.281743 33.493701, -112.2817079 33.4937012, -112.2812801 33.4937075, -112.2810649 33.4937101, -112.2803813 33.4937286, -112.2798282 33.4937364, -112.2783321 33.4937474, -112.277247 33.4937575, -112.2759473 33.493767, -112.2751215 33.493774, -112.2742961 33.4937805, -112.2735035 33.4937781, -112.272464 33.4937829, -112.2689481 33.4938816, -112.2669811 33.4939342, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2591179 33.4941521, -112.2567168 33.4942129, -112.2562149 33.4942221, -112.2557847 33.49423010000001, -112.2551209 33.4942371, -112.2543887 33.494242, -112.2541568 33.4942461, -112.2539985 33.4942498, -112.2534487 33.4942464, -112.2523153 33.494249, -112.2508078 33.4942453, -112.2493384 33.4942545, -112.2490475 33.4942554, -112.2485277 33.4942533, -112.2480025 33.4942512, -112.2472334 33.4942567, -112.246558 33.4942558, -112.2447874 33.4942569, -112.2432094 33.4942639, -112.2423839 33.4942707, -112.242327 33.4942716, -112.2415407 33.4942711, -112.2406475 33.4942738, -112.2404548 33.4942758, -112.2399217 33.4942677, -112.2398203 33.494268, -112.239365 33.4942684, -112.2389608 33.4942687, -112.2386865 33.4942689, -112.2385772 33.494269)","(33.4989042, -112.3209442)","(33.494269, -112.2385772)"
40130820021,83,0,5259.663,"LINESTRING (-112.2814671 33.5050806, -112.2807605 33.5053816, -112.2803655 33.5047381, -112.2801961 33.5040013, -112.2802892 33.5036798, -112.2803652 33.5034347, -112.2805012 33.5029784, -112.2805381 33.5028627, -112.2807125 33.5022829, -112.2808478 33.501837, -112.278411 33.5014308, -112.2763947 33.5018124, -112.2754086 33.5017392, -112.274526 33.5014921, -112.2738153 33.5012348, -112.272484 33.5012052, -112.2724822 33.49945, -112.2724861 33.4984538, -112.2724834 33.4981729, -112.2724776 33.496475, -112.2724677 33.4955573, -112.2724617 33.4950462, -112.2724608 33.4945, -112.272464 33.4937829, -112.2689481 33.4938816, -112.2669811 33.4939342, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2591179 33.4941521, -112.2567168 33.4942129, -112.2562149 33.4942221, -112.2557847 33.49423010000001, -112.2551209 33.4942371, -112.2543887 33.494242, -112.2541568 33.4942461, -112.2539985 33.4942498, -112.2534487 33.4942464, -112.2523153 33.494249, -112.2508078 33.4942453, -112.2493384 33.4942545, -112.2490475 33.4942554, -112.2485277 33.4942533, -112.2480025 33.4942512, -112.2472334 33.4942567, -112.246558 33.4942558, -112.2447874 33.4942569, -112.2432094 33.4942639, -112.2423839 33.4942707, -112.242327 33.4942716, -112.2415407 33.4942711, -112.2406475 33.4942738, -112.2404548 33.4942758, -112.2399217 33.4942677, -112.2398203 33.494268, -112.239365 33.4942684, -112.2389608 33.4942687, -112.2386865 33.4942689, -112.2385772 33.494269)","(33.5050806, -112.28146709999999)","(33.494269, -112.2385772)"
40130820021,103,1,5335.93,"LINESTRING (-112.2814671 33.5050806, -112.2807605 33.5053816, -112.2803655 33.5047381, -112.2801961 33.5040013, -112.2802892 33.5036798, -112.2803652 33.5034347, -112.2805012 33.5029784, -112.2805381 33.5028627, -112.2807125 33.5022829, -112.2808478 33.501837, -112.278411 33.5014308, -112.2763947 33.5018124, -112.2754086 33.5017392, -112.2752239 33.5025002, -112.274993 33.5030997, -112.2744391 33.5036766, -112.2739543 33.5041915, -112.273795 33.5047072, -112.2724903 33.5047148, -112.2724919 33.5050941, -112.2724934 33.5054356, -112.2724979 33.5065074, -112.2725009 33.5072188, -112.272237 33.5074299, -112.2713932 33.5076362, -112.2713741 33.5078743, -112.2713787 33.5080467, -112.2713788 33.5082911, -112.270691 33.5083026, -112.269711 33.5083272, -112.2693119 33.508338, -112.269144 33.5083417, -112.2687324 33.5083564, -112.2682256 33.5083726, -112.267153 33.5084137, -112.2666974 33.5084263, -112.2653737 33.5084598, -112.2652353 33.5084642, -112.263857 33.5085594, -112.2627253 33.5085873, -112.2616956 33.5086135, -112.2615276 33.5086177, -112.2602654 33.5086498, -112.2572725 33.5087324, -112.2568371 33.5087451, -112.256293 33.5087611, -112.256132 33.5087654, -112.255003 33.5087945, -112.2545309 33.5087932, -112.2529287 33.5087904, -112.2526661 33.5087901, -112.2507589 33.50879, -112.2463872 33.5087949, -112.2441448 33.5087918, -112.242529 33.5087977, -112.2418952 33.5088015, -112.2411934 33.5088016, -112.2411691 33.5088012, -112.2404862 33.5088012, -112.2398987 33.5088005, -112.2398138 33.5088004, -112.239017 33.5087997, -112.2387939 33.5087995, -112.2387101 33.5085941, -112.2387105 33.5085024, -112.2387139 33.5082132, -112.2387009 33.5079472, -112.2381016 33.5079454, -112.2381014 33.507877, -112.2380328 33.5078774, -112.2377218 33.5078789, -112.2377201 33.5071046, -112.2377197 33.5066516)","(33.5050806, -112.28146709999999)","(33.5066516, -112.23771970000001)"
40130820022,83,0,4565.044,"LINESTRING (-112.2786152 33.4978517, -112.2789651 33.49717720000001, -112.2810346 33.4965383, -112.2810396 33.4962772, -112.2810397 33.4956438, -112.2810425 33.4953424, -112.2810451 33.4951261, -112.2810503 33.4947803, -112.2810548 33.4944838, -112.2808077 33.494481, -112.2804742 33.4944772, -112.2803839 33.4939705, -112.2803813 33.4937286, -112.2798282 33.4937364, -112.2783321 33.4937474, -112.277247 33.4937575, -112.2759473 33.493767, -112.2751215 33.493774, -112.2742961 33.4937805, -112.2735035 33.4937781, -112.272464 33.4937829, -112.2689481 33.4938816, -112.2669811 33.4939342, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2591179 33.4941521, -112.2567168 33.4942129, -112.2562149 33.4942221, -112.2557847 33.49423010000001, -112.2551209 33.4942371, -112.2543887 33.494242, -112.2541568 33.4942461, -112.2539985 33.4942498, -112.2534487 33.4942464, -112.2523153 33.494249, -112.2508078 33.4942453, -112.2493384 33.4942545, -112.2490475 33.4942554, -112.2485277 33.4942533, -112.2480025 33.4942512, -112.2472334 33.4942567, -112.246558 33.4942558, -112.2447874 33.4942569, -112.2432094 33.4942639, -112.2423839 33.4942707, -112.242327 33.4942716, -112.2415407 33.4942711, -112.2406475 33.4942738, -112.2404548 33.4942758, -112.2399217 33.4942677, -112.2398203 33.494268, -112.239365 33.4942684, -112.2389608 33.4942687, -112.2386865 33.4942689, -112.2385772 33.494269)","(33.4978517, -112.2786152)","(33.494269, -112.2385772)"
40130820022,66,1,4693.201,"LINESTRING (-112.2786152 33.4978517, -112.2789651 33.49717720000001, -112.2810346 33.4965383, -112.2810396 33.4962772, -112.2810397 33.4956438, -112.2810425 33.4953424, -112.2810451 33.4951261, -112.2810503 33.4947803, -112.2810548 33.4944838, -112.2808077 33.494481, -112.2804742 33.4944772, -112.2803839 33.4939705, -112.2803813 33.4937286, -112.2798282 33.4937364, -112.2783321 33.4937474, -112.277247 33.4937575, -112.2759473 33.493767, -112.2751215 33.493774, -112.2742961 33.4937805, -112.2735035 33.4937781, -112.272464 33.4937829, -112.2689481 33.4938816, -112.2669811 33.4939342, -112.264633 33.493902, -112.263278 33.49392910000001, -112.2615722 33.4940847, -112.2595203 33.4941398, -112.2595021 33.4938973, -112.2596803 33.4868362, -112.2596061 33.4852228, -112.2583773 33.484866, -112.2578737 33.4841666, -112.2578589 33.4840925, -112.2578197 33.4833618, -112.2555402 33.4831372, -112.255191 33.483137, -112.2551846 33.4822247, -112.2551868 33.4817428, -112.2548517 33.4817393, -112.2548488 33.4814099, -112.2544917 33.4813883, -112.2544468 33.4813515, -112.2542946 33.4812267, -112.2541727 33.4811234, -112.2540683 33.4810381, -112.2539259 33.4809217, -112.2537795 33.4808021, -112.2536484 33.480695, -112.2535244 33.4805937, -112.2531947 33.48032429999999, -112.2531747 33.480308, -112.2531629 33.4801495, -112.2531616 33.4799877, -112.2531594 33.4797089)","(33.4978517, -112.2786152)","(33.4797089, -112.2531594)"
