cbg_id,store_id,rank,distance,geometry,Origin,Destination
480850316212,15,0,2070.346,"LINESTRING (-96.78103 33.021509, -96.78103900000001 33.020527, -96.7805438 33.0205228, -96.779988 33.020518, -96.77944119999999 33.0205103, -96.778914 33.020508, -96.778903 33.0209439, -96.77889999999999 33.021371, -96.7788122 33.0213705, -96.7775424 33.0218327, -96.777542 33.0218938, -96.7774569 33.0218969, -96.7774378 33.0219809, -96.77695470000002 33.0268083, -96.7761059 33.0268004, -96.77458 33.026777, -96.774451 33.026772, -96.7725506 33.0267547, -96.77231039999999 33.0267517, -96.771798 33.0267452, -96.77183479999999 33.0268755, -96.7718637 33.0270819, -96.7715594 33.027087, -96.77156119999999 33.027281, -96.7715628 33.0274609, -96.7715646 33.0276561, -96.7715662 33.0278315, -96.7715681 33.0280358, -96.77156960000001 33.0282041, -96.7713445 33.0282022, -96.77105570000001 33.0281999, -96.77096400000001 33.0281991, -96.7709607 33.0284987, -96.77095869999999 33.028686, -96.7707666 33.028747, -96.7705086 33.0287712, -96.77042 33.0287795, -96.7704191 33.0289616, -96.77041819999999 33.0291446, -96.770184 33.029162, -96.770004 33.029162)","(33.021509, -96.78103)","(33.029162, -96.770004)"
480850316212,17,1,2070.563,"LINESTRING (-96.78103 33.021509, -96.78103900000001 33.020527, -96.7805438 33.0205228, -96.779988 33.020518, -96.77944119999999 33.0205103, -96.778914 33.020508, -96.778903 33.0209439, -96.77889999999999 33.021371, -96.7788122 33.0213705, -96.7775424 33.0218327, -96.777542 33.0218938, -96.7774569 33.0218969, -96.7774378 33.0219809, -96.77695470000002 33.0268083, -96.7761059 33.0268004, -96.77458 33.026777, -96.774451 33.026772, -96.7725506 33.0267547, -96.77231039999999 33.0267517, -96.771798 33.0267452, -96.77183479999999 33.0268755, -96.7718637 33.0270819, -96.7715594 33.027087, -96.77156119999999 33.027281, -96.7715628 33.0274609, -96.7715646 33.0276561, -96.7715662 33.0278315, -96.7715681 33.0280358, -96.77156960000001 33.0282041, -96.7715717 33.0284428, -96.771574 33.0286894, -96.77157560000001 33.0288724, -96.7715776 33.0290964, -96.7714387 33.0293313, -96.7713055 33.0294404, -96.7711576 33.0295616, -96.77104079999999 33.0296572, -96.7706767 33.0297128, -96.7704154 33.0297121)","(33.021509, -96.78103)","(33.0297121, -96.7704154)"
480850316281,40,0,975.617,"LINESTRING (-96.71674 33.05375, -96.713809 33.053783, -96.713823 33.05418, -96.71382 33.054563, -96.710246 33.054687, -96.71008399999999 33.054687, -96.71008089999999 33.0547421, -96.7100545 33.0552094, -96.710031 33.055627, -96.7100172 33.0560733, -96.71001149999999 33.0562788, -96.70990430000001 33.0563806, -96.7091787 33.05638419999999)","(33.05375, -96.71674)","(33.05638419999999, -96.7091787)"
480850316281,44,1,1933.114,"LINESTRING (-96.71674 33.05375, -96.717225 33.053753, -96.71721890000001 33.0541817, -96.717213 33.054595, -96.71827999999999 33.054689, -96.7180419 33.0550397, -96.717885 33.055477, -96.71839300000001 33.055487, -96.71894 33.055529, -96.71886619999999 33.0559497, -96.7188587 33.0563923, -96.7189518 33.0564632, -96.7189516 33.0566167, -96.7192036 33.0566208, -96.72292040000001 33.0557906, -96.7231693 33.0557349, -96.7232219 33.0557231, -96.7235587 33.0557003, -96.72776560000001 33.0572009, -96.7279764 33.0573377, -96.72801629999999 33.0573636, -96.72812999999999 33.057242, -96.72817619999999 33.0571944, -96.72825709999999 33.0572446, -96.7289359 33.0576071, -96.7299884 33.0581752, -96.7316703 33.0585827, -96.73169040000001 33.0584667, -96.73169079999998 33.0582539, -96.731909 33.0582534)","(33.05375, -96.71674)","(33.0582534, -96.731909)"
480850316553,16,0,1416.497,"LINESTRING (-96.7837858 33.0312052, -96.78428049999999 33.0312065, -96.784752 33.0312106, -96.7852541 33.031215, -96.7858083 33.0312222, -96.78623150000001 33.0312186, -96.78634049999999 33.0303395, -96.786607 33.0300432, -96.78789 33.02956319999998, -96.78818920000001 33.0293185, -96.7882975 33.0292534, -96.7884171 33.0291396, -96.7881105 33.0286442, -96.78882590000002 33.0286498, -96.7888384 33.0284936, -96.7893047 33.0285772, -96.78954560000001 33.0285423, -96.7897495 33.0285411, -96.78996359999998 33.0285399, -96.7901222 33.028539, -96.7904755 33.0285285, -96.7907228 33.028522, -96.7913818 33.02849169999999, -96.7916008 33.0284719, -96.7918088 33.0284529, -96.7920173 33.0284412, -96.79223260000001 33.0284356, -96.7924222 33.0284407, -96.792642 33.0284545, -96.7928489 33.0284724, -96.79305340000001 33.0284963, -96.79328080000001 33.0285229, -96.7934801 33.02853540000001, -96.7941328 33.0285501, -96.7942595 33.02855120000001, -96.7948373 33.0285559, -96.79479980000001 33.0295508)","(33.0312052, -96.7837858)","(33.0295508, -96.7947998)"
480850316553,18,1,1437.248,"LINESTRING (-96.7837858 33.0312052, -96.78428049999999 33.0312065, -96.784752 33.0312106, -96.7852541 33.031215, -96.7858083 33.0312222, -96.78623150000001 33.0312186, -96.78634049999999 33.0303395, -96.786607 33.0300432, -96.78789 33.02956319999998, -96.78818920000001 33.0293185, -96.7882975 33.0292534, -96.7884171 33.0291396, -96.7881105 33.0286442, -96.78882590000002 33.0286498, -96.7888384 33.0284936, -96.7893047 33.0285772, -96.78954560000001 33.0285423, -96.7897495 33.0285411, -96.78996359999998 33.0285399, -96.7901222 33.028539, -96.7904755 33.0285285, -96.7907228 33.028522, -96.7913818 33.02849169999999, -96.7916008 33.0284719, -96.7918088 33.0284529, -96.7920173 33.0284412, -96.79223260000001 33.0284356, -96.7924222 33.0284407, -96.792642 33.0284545, -96.7928489 33.0284724, -96.79305340000001 33.0284963, -96.79328080000001 33.0285229, -96.7934801 33.02853540000001, -96.7941328 33.0285501, -96.79414149999999 33.0287002, -96.794141 33.0290603, -96.7941371 33.0292399, -96.79413340000001 33.0294075, -96.79412939999999 33.0295935, -96.7941257 33.0297626, -96.7942379 33.0297642, -96.7947934 33.0297736)","(33.0312052, -96.7837858)","(33.0297736, -96.7947934)"
480850316291,30,0,1275.659,"LINESTRING (-96.718451 33.047483, -96.71871 33.04719, -96.7189219 33.0468818, -96.719115 33.046557, -96.71933199999999 33.045947, -96.7193951 33.0455606, -96.719416 33.045161, -96.715504 33.044845, -96.7157153 33.044516, -96.71594 33.044174, -96.7161819 33.0433553, -96.7161935 33.0428516, -96.7162074 33.0422467, -96.71620799999999 33.042219, -96.71621829999999 33.041825, -96.716227 33.0414793, -96.7162343 33.0411134, -96.71623630000001 33.0410549, -96.7162434 33.0409329, -96.7160896 33.0409279, -96.7160107 33.0409272, -96.71572620000001 33.0409246, -96.7154401 33.040922, -96.715441 33.0407782, -96.7153478 33.040734, -96.7148636 33.0407467, -96.714522 33.040741)","(33.047483, -96.718451)","(33.040741, -96.714522)"
480850316291,40,1,1778.971,"LINESTRING (-96.718451 33.047483, -96.717242 33.049007, -96.7172351 33.0494222, -96.71668 33.049805, -96.7166749 33.0502062, -96.71666999999999 33.05059, -96.71339999999999 33.050635, -96.709981 33.050756, -96.709829 33.05075, -96.709903 33.051536, -96.70997 33.052301, -96.70999500000001 33.053113, -96.710066 33.053891, -96.7100839 33.0546426, -96.71008399999999 33.054687, -96.71008089999999 33.0547421, -96.7100545 33.0552094, -96.710031 33.055627, -96.7100172 33.0560733, -96.71001149999999 33.0562788, -96.70990430000001 33.0563806, -96.7091787 33.05638419999999)","(33.047483, -96.718451)","(33.05638419999999, -96.7091787)"
480850320034,8,0,666.869,"LINESTRING (-96.6860181 33.0216526, -96.685496 33.021647, -96.68490300000001 33.021625, -96.6849186 33.0212151, -96.6828453 33.0211817, -96.6827195 33.02075450000001, -96.68256100000001 33.0199313, -96.6825575 33.0192257, -96.6825546 33.0186681, -96.6825582 33.0183001)","(33.0216526, -96.6860181)","(33.0183001, -96.6825582)"
480850320034,7,1,681.326,"LINESTRING (-96.6860181 33.0216526, -96.685496 33.021647, -96.68490300000001 33.021625, -96.6849186 33.0212151, -96.6828453 33.0211817, -96.6827195 33.02075450000001, -96.68256100000001 33.0199313, -96.6825575 33.0192257, -96.6825546 33.0186681, -96.6825582 33.0183001, -96.6825607 33.0181701)","(33.0216526, -96.6860181)","(33.0181701, -96.6825607)"
